"aar","fylke_nr","innvkat_3","vreg_3","enhet","tabellvariabel","tabell_navn","bydel_nr","kommune_nr","naringsregion_nr"
"2013","03","befolkningen_ellers","alle","prosent","2.3","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","03","innvandrere","1","personer","2536","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","03","innvandrere","1","prosent","6.3","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","03","innvandrere","2","personer","6480","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","03","innvandrere","2","prosent","12.6","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","03","innvandrere","alle","personer","9016","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","03","innvandrere","alle","prosent","9.8","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","04","alle","alle","personer","3126","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","04","alle","alle","prosent","3.5","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","04","befolkningen_ellers","alle","personer","2294","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","04","befolkningen_ellers","alle","prosent","2.8","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","04","innvandrere","1","personer","314","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","04","innvandrere","1","prosent","6.9","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","04","innvandrere","2","personer","518","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","04","innvandrere","2","prosent","16.6","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","04","innvandrere","alle","personer","832","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","04","innvandrere","alle","prosent","10.9","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","05","alle","alle","personer","2483","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","05","alle","alle","prosent","2.8","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","05","befolkningen_ellers","alle","personer","1742","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","05","befolkningen_ellers","alle","prosent","2.2","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","05","innvandrere","1","personer","294","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","05","innvandrere","1","prosent","6.3","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","05","innvandrere","2","personer","447","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","05","innvandrere","2","prosent","14.6","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","05","innvandrere","alle","personer","741","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","05","innvandrere","alle","prosent","9.6","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","06","alle","alle","personer","4360","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","06","alle","alle","prosent","3.2","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","06","befolkningen_ellers","alle","personer","2492","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","06","befolkningen_ellers","alle","prosent","2.2","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","06","innvandrere","1","personer","731","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","06","innvandrere","1","prosent","5.9","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","06","innvandrere","2","personer","1137","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","06","innvandrere","2","prosent","11.7","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","06","innvandrere","alle","personer","1868","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","06","innvandrere","alle","prosent","8.5","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","07","alle","alle","personer","4291","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","07","alle","alle","prosent","3.8","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","07","befolkningen_ellers","alle","personer","2862","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","07","befolkningen_ellers","alle","prosent","2.9","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","07","innvandrere","1","personer","578","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","07","innvandrere","1","prosent","6.9","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","07","innvandrere","2","personer","851","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","07","innvandrere","2","prosent","14.8","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","07","innvandrere","alle","personer","1429","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","07","innvandrere","alle","prosent","10.1","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","08","alle","alle","personer","3239","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","08","alle","alle","prosent","4","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","08","befolkningen_ellers","alle","personer","2236","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","08","befolkningen_ellers","alle","prosent","3.1","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","08","innvandrere","1","personer","309","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","08","innvandrere","1","prosent","7.4","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","08","innvandrere","2","personer","694","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","08","innvandrere","2","prosent","17.4","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","08","innvandrere","alle","personer","1003","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","08","innvandrere","alle","prosent","12.3","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","09","alle","alle","personer","2201","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","09","alle","alle","prosent","4.2","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","09","befolkningen_ellers","alle","personer","1505","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","09","befolkningen_ellers","alle","prosent","3.2","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","09","innvandrere","1","personer","316","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","09","innvandrere","1","prosent","9","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","09","innvandrere","2","personer","380","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","09","innvandrere","2","prosent","16.6","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","09","innvandrere","alle","personer","696","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","09","innvandrere","alle","prosent","12","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","10","alle","alle","personer","2823","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","10","alle","alle","prosent","3.3","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","10","befolkningen_ellers","alle","personer","1775","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","10","befolkningen_ellers","alle","prosent","2.4","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","10","innvandrere","1","personer","379","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","10","innvandrere","1","prosent","7.1","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","10","innvandrere","2","personer","669","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","10","innvandrere","2","prosent","12.7","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","10","innvandrere","alle","personer","1048","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","10","innvandrere","alle","prosent","9.9","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","11","alle","alle","personer","5475","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","11","alle","alle","prosent","2.3","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","11","befolkningen_ellers","alle","personer","3006","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","11","befolkningen_ellers","alle","prosent","1.5","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","11","innvandrere","1","personer","1228","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","11","innvandrere","1","prosent","4.9","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","11","innvandrere","2","personer","1241","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","11","innvandrere","2","prosent","8","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","11","innvandrere","alle","personer","2469","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","11","innvandrere","alle","prosent","6.1","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","12","alle","alle","personer","6775","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","12","alle","alle","prosent","2.6","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","12","befolkningen_ellers","alle","personer","4120","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","12","befolkningen_ellers","alle","prosent","1.8","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","12","innvandrere","1","personer","1132","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","12","innvandrere","1","prosent","5.5","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","12","innvandrere","2","personer","1523","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","12","innvandrere","2","prosent","11.6","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","12","innvandrere","alle","personer","2655","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","12","innvandrere","alle","prosent","7.8","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","14","alle","alle","personer","1041","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","14","alle","alle","prosent","2","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","14","befolkningen_ellers","alle","personer","677","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","14","befolkningen_ellers","alle","prosent","1.4","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","14","innvandrere","1","personer","199","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","14","innvandrere","1","prosent","4.8","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","14","innvandrere","2","personer","165","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","14","innvandrere","2","prosent","10.1","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","14","innvandrere","alle","personer","364","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","14","innvandrere","alle","prosent","6.3","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","15","alle","alle","personer","3265","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","15","alle","alle","prosent","2.5","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","15","befolkningen_ellers","alle","personer","2107","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","15","befolkningen_ellers","alle","prosent","1.9","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","15","innvandrere","1","personer","685","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","15","innvandrere","1","prosent","6.2","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","15","innvandrere","2","personer","473","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","15","innvandrere","2","prosent","9.9","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","15","innvandrere","alle","personer","1158","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","15","innvandrere","alle","prosent","7.4","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","16","alle","alle","personer","4057","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","16","alle","alle","prosent","2.6","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","16","befolkningen_ellers","alle","personer","2781","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","16","befolkningen_ellers","alle","prosent","2","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","16","innvandrere","1","personer","509","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","16","innvandrere","1","prosent","5.1","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","16","innvandrere","2","personer","767","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","16","innvandrere","2","prosent","10.2","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","16","innvandrere","alle","personer","1276","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","16","innvandrere","alle","prosent","7.3","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","17","alle","alle","personer","1747","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","17","alle","alle","prosent","2.8","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","17","befolkningen_ellers","alle","personer","1338","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","17","befolkningen_ellers","alle","prosent","2.3","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","17","innvandrere","1","personer","193","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","17","innvandrere","1","prosent","7.4","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","17","innvandrere","2","personer","216","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","17","innvandrere","2","prosent","12.3","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","17","innvandrere","alle","personer","409","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","17","innvandrere","alle","prosent","9.3","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","18","alle","alle","personer","3731","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","18","alle","alle","prosent","3.3","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","18","befolkningen_ellers","alle","personer","2833","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","18","befolkningen_ellers","alle","prosent","2.7","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","18","innvandrere","1","personer","358","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","18","innvandrere","1","prosent","6.6","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","18","innvandrere","2","personer","540","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","18","innvandrere","2","prosent","13.2","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","18","innvandrere","alle","personer","898","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","18","innvandrere","alle","prosent","9.5","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","19","alle","alle","personer","1994","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","19","alle","alle","prosent","2.5","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","19","befolkningen_ellers","alle","personer","1553","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","19","befolkningen_ellers","alle","prosent","2.2","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","19","innvandrere","1","personer","160","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","19","innvandrere","1","prosent","3.4","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","19","innvandrere","2","personer","281","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","19","innvandrere","2","prosent","8.5","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","19","innvandrere","alle","personer","441","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","19","innvandrere","alle","prosent","5.5","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","20","alle","alle","personer","1509","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","20","alle","alle","prosent","4.2","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","20","befolkningen_ellers","alle","personer","1026","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","20","befolkningen_ellers","alle","prosent","3.3","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","20","innvandrere","1","personer","272","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","20","innvandrere","1","prosent","9.6","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","20","innvandrere","2","personer","211","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","20","innvandrere","2","prosent","9.8","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","20","innvandrere","alle","personer","483","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","20","innvandrere","alle","prosent","9.7","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","99","alle","alle","personer","403","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","99","alle","alle","prosent","0","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","99","befolkningen_ellers","alle","personer","403","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","99","befolkningen_ellers","alle","prosent","0","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","99","innvandrere","1","personer","0","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","99","innvandrere","1","prosent","0","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","99","innvandrere","2","personer","0","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","99","innvandrere","2","prosent","0","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","99","innvandrere","alle","personer","0","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","99","innvandrere","alle","prosent","0","arbledige_innvkat_land","NULL","NULL","NULL"
"2013","NULL","alle","alle","personer","14633","arbledige_innvkat_land","000301","NULL","NULL"
"2013","NULL","alle","alle","prosent","4.3","arbledige_innvkat_land","000301","NULL","NULL"
"2013","NULL","befolkningen_ellers","alle","personer","5617","arbledige_innvkat_land","000301","NULL","NULL"
"2013","NULL","befolkningen_ellers","alle","prosent","2.3","arbledige_innvkat_land","000301","NULL","NULL"
"2013","NULL","innvandrere","1","personer","2536","arbledige_innvkat_land","000301","NULL","NULL"
"2013","NULL","innvandrere","1","prosent","6.3","arbledige_innvkat_land","000301","NULL","NULL"
"2013","NULL","innvandrere","2","personer","6480","arbledige_innvkat_land","000301","NULL","NULL"
"2013","NULL","innvandrere","2","prosent","12.6","arbledige_innvkat_land","000301","NULL","NULL"
"2013","NULL","innvandrere","alle","personer","9016","arbledige_innvkat_land","000301","NULL","NULL"
"2013","NULL","innvandrere","alle","prosent","9.8","arbledige_innvkat_land","000301","NULL","NULL"
"2013","NULL","alle","alle","personer","1516","arbledige_innvkat_land","030101","NULL","NULL"
"2013","NULL","alle","alle","prosent","5.3","arbledige_innvkat_land","030101","NULL","NULL"
"2013","NULL","befolkningen_ellers","alle","personer","512","arbledige_innvkat_land","030101","NULL","NULL"
"2013","NULL","befolkningen_ellers","alle","prosent","2.5","arbledige_innvkat_land","030101","NULL","NULL"
"2013","NULL","innvandrere","1","personer","261","arbledige_innvkat_land","030101","NULL","NULL"
"2013","NULL","innvandrere","1","prosent","7.2","arbledige_innvkat_land","030101","NULL","NULL"
"2013","NULL","innvandrere","2","personer","743","arbledige_innvkat_land","030101","NULL","NULL"
"2013","NULL","innvandrere","2","prosent","15.5","arbledige_innvkat_land","030101","NULL","NULL"
"2013","NULL","innvandrere","alle","personer","1004","arbledige_innvkat_land","030101","NULL","NULL"
"2013","NULL","innvandrere","alle","prosent","11.9","arbledige_innvkat_land","030101","NULL","NULL"
"2013","NULL","alle","alle","personer","1532","arbledige_innvkat_land","030102","NULL","NULL"
"2013","NULL","alle","alle","prosent","4.6","arbledige_innvkat_land","030102","NULL","NULL"
"2013","NULL","befolkningen_ellers","alle","personer","584","arbledige_innvkat_land","030102","NULL","NULL"
"2013","NULL","befolkningen_ellers","alle","prosent","2.4","arbledige_innvkat_land","030102","NULL","NULL"
"2013","NULL","innvandrere","1","personer","344","arbledige_innvkat_land","030102","NULL","NULL"
"2013","NULL","innvandrere","1","prosent","6.8","arbledige_innvkat_land","030102","NULL","NULL"
"2013","NULL","innvandrere","2","personer","604","arbledige_innvkat_land","030102","NULL","NULL"
"2013","NULL","innvandrere","2","prosent","13.9","arbledige_innvkat_land","030102","NULL","NULL"
"2013","NULL","innvandrere","alle","personer","948","arbledige_innvkat_land","030102","NULL","NULL"
"2013","NULL","innvandrere","alle","prosent","10.1","arbledige_innvkat_land","030102","NULL","NULL"
"2013","NULL","alle","alle","personer","830","arbledige_innvkat_land","030103","NULL","NULL"
"2013","NULL","alle","alle","prosent","3.4","arbledige_innvkat_land","030103","NULL","NULL"
"2013","NULL","befolkningen_ellers","alle","personer","359","arbledige_innvkat_land","030103","NULL","NULL"
"2013","NULL","befolkningen_ellers","alle","prosent","1.8","arbledige_innvkat_land","030103","NULL","NULL"
"2013","NULL","innvandrere","1","personer","144","arbledige_innvkat_land","030103","NULL","NULL"
"2013","NULL","innvandrere","1","prosent","5.8","arbledige_innvkat_land","030103","NULL","NULL"
"2013","NULL","innvandrere","2","personer","327","arbledige_innvkat_land","030103","NULL","NULL"
"2013","NULL","innvandrere","2","prosent","14.4","arbledige_innvkat_land","030103","NULL","NULL"
"2013","NULL","innvandrere","alle","personer","471","arbledige_innvkat_land","030103","NULL","NULL"
"2013","NULL","innvandrere","alle","prosent","9.9","arbledige_innvkat_land","030103","NULL","NULL"
"2013","NULL","alle","alle","personer","793","arbledige_innvkat_land","030104","NULL","NULL"
"2013","NULL","alle","alle","prosent","3.4","arbledige_innvkat_land","030104","NULL","NULL"
"2013","NULL","befolkningen_ellers","alle","personer","343","arbledige_innvkat_land","030104","NULL","NULL"
"2013","NULL","befolkningen_ellers","alle","prosent","2","arbledige_innvkat_land","030104","NULL","NULL"
"2013","NULL","innvandrere","1","personer","195","arbledige_innvkat_land","030104","NULL","NULL"
"2013","NULL","innvandrere","1","prosent","5.4","arbledige_innvkat_land","030104","NULL","NULL"
"2013","NULL","innvandrere","2","personer","255","arbledige_innvkat_land","030104","NULL","NULL"
"2013","NULL","innvandrere","2","prosent","12.4","arbledige_innvkat_land","030104","NULL","NULL"
"2013","NULL","innvandrere","alle","personer","450","arbledige_innvkat_land","030104","NULL","NULL"
"2013","NULL","innvandrere","alle","prosent","8","arbledige_innvkat_land","030104","NULL","NULL"
"2013","NULL","alle","alle","personer","1135","arbledige_innvkat_land","030105","NULL","NULL"
"2013","NULL","alle","alle","prosent","3.5","arbledige_innvkat_land","030105","NULL","NULL"
"2013","NULL","befolkningen_ellers","alle","personer","575","arbledige_innvkat_land","030105","NULL","NULL"
"2013","NULL","befolkningen_ellers","alle","prosent","2.4","arbledige_innvkat_land","030105","NULL","NULL"
"2013","NULL","innvandrere","1","personer","242","arbledige_innvkat_land","030105","NULL","NULL"
"2013","NULL","innvandrere","1","prosent","4.1","arbledige_innvkat_land","030105","NULL","NULL"
"2013","NULL","innvandrere","2","personer","318","arbledige_innvkat_land","030105","NULL","NULL"
"2013","NULL","innvandrere","2","prosent","11.8","arbledige_innvkat_land","030105","NULL","NULL"
"2013","NULL","innvandrere","alle","personer","560","arbledige_innvkat_land","030105","NULL","NULL"
"2013","NULL","innvandrere","alle","prosent","6.6","arbledige_innvkat_land","030105","NULL","NULL"
"2013","NULL","alle","alle","personer","401","arbledige_innvkat_land","030106","NULL","NULL"
"2013","NULL","alle","alle","prosent","2.6","arbledige_innvkat_land","030106","NULL","NULL"
"2013","NULL","befolkningen_ellers","alle","personer","208","arbledige_innvkat_land","030106","NULL","NULL"
"2013","NULL","befolkningen_ellers","alle","prosent","1.6","arbledige_innvkat_land","030106","NULL","NULL"
"2013","NULL","innvandrere","1","personer","93","arbledige_innvkat_land","030106","NULL","NULL"
"2013","NULL","innvandrere","1","prosent","4.9","arbledige_innvkat_land","030106","NULL","NULL"
"2013","NULL","innvandrere","2","personer","100","arbledige_innvkat_land","030106","NULL","NULL"
"2013","NULL","innvandrere","2","prosent","9.5","arbledige_innvkat_land","030106","NULL","NULL"
"2013","NULL","innvandrere","alle","personer","193","arbledige_innvkat_land","030106","NULL","NULL"
"2013","NULL","innvandrere","alle","prosent","6.5","arbledige_innvkat_land","030106","NULL","NULL"
"2013","NULL","alle","alle","personer","571","arbledige_innvkat_land","030107","NULL","NULL"
"2013","NULL","alle","alle","prosent","2.6","arbledige_innvkat_land","030107","NULL","NULL"
"2013","NULL","befolkningen_ellers","alle","personer","273","arbledige_innvkat_land","030107","NULL","NULL"
"2013","NULL","befolkningen_ellers","alle","prosent","1.5","arbledige_innvkat_land","030107","NULL","NULL"
"2013","NULL","innvandrere","1","personer","153","arbledige_innvkat_land","030107","NULL","NULL"
"2013","NULL","innvandrere","1","prosent","5.8","arbledige_innvkat_land","030107","NULL","NULL"
"2013","NULL","innvandrere","2","personer","145","arbledige_innvkat_land","030107","NULL","NULL"
"2013","NULL","innvandrere","2","prosent","11.2","arbledige_innvkat_land","030107","NULL","NULL"
"2013","NULL","innvandrere","alle","personer","298","arbledige_innvkat_land","030107","NULL","NULL"
"2013","NULL","innvandrere","alle","prosent","7.6","arbledige_innvkat_land","030107","NULL","NULL"
"2013","NULL","alle","alle","personer","623","arbledige_innvkat_land","030108","NULL","NULL"
"2013","NULL","alle","alle","prosent","2.5","arbledige_innvkat_land","030108","NULL","NULL"
"2013","NULL","befolkningen_ellers","alle","personer","316","arbledige_innvkat_land","030108","NULL","NULL"
"2013","NULL","befolkningen_ellers","alle","prosent","1.5","arbledige_innvkat_land","030108","NULL","NULL"
"2013","NULL","innvandrere","1","personer","110","arbledige_innvkat_land","030108","NULL","NULL"
"2013","NULL","innvandrere","1","prosent","4.7","arbledige_innvkat_land","030108","NULL","NULL"
