"aar","bydel_nr","innvgrunn_5","kjonn","enhet","tabellvariabel","tabell_navn","fylke_nr","naringsregion_nr","kommune_nr"
"2013","030102","flukt","0","personer","701","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030102","flukt","0","prosent","46.1","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030102","flukt","1","personer","1062","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030102","flukt","1","prosent","54.1","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030102","flukt","alle","personer","1763","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030102","flukt","alle","prosent","50.6","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030102","annet_uoppgitt","0","personer","1502","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030102","annet_uoppgitt","0","prosent","73.1","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030102","annet_uoppgitt","1","personer","1829","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030102","annet_uoppgitt","1","prosent","76.5","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030102","annet_uoppgitt","alle","personer","3331","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030102","annet_uoppgitt","alle","prosent","74.9","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030103","alle","0","personer","1942","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030103","alle","0","prosent","59.8","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030103","alle","1","personer","2433","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030103","alle","1","prosent","64.6","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030103","alle","alle","personer","4375","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030103","alle","alle","prosent","62.4","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030103","arbeid","0","personer","356","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030103","arbeid","0","prosent","82","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030103","arbeid","1","personer","786","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030103","arbeid","1","prosent","80.3","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030103","arbeid","alle","personer","1142","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030103","arbeid","alle","prosent","80.8","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030103","familie","0","personer","349","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030103","familie","0","prosent","49.9","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030103","familie","1","personer","244","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030103","familie","1","prosent","60","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030103","familie","alle","personer","593","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030103","familie","alle","prosent","53.6","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030103","flukt","0","personer","377","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030103","flukt","0","prosent","40.4","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030103","flukt","1","personer","526","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030103","flukt","1","prosent","46.8","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030103","flukt","alle","personer","903","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030103","flukt","alle","prosent","43.9","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030103","annet_uoppgitt","0","personer","860","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030103","annet_uoppgitt","0","prosent","73","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030103","annet_uoppgitt","1","personer","877","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030103","annet_uoppgitt","1","prosent","69.8","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030103","annet_uoppgitt","alle","personer","1737","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030103","annet_uoppgitt","alle","prosent","71.4","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030104","alle","0","personer","2248","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030104","alle","0","prosent","69.1","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030104","alle","1","personer","3072","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030104","alle","1","prosent","73.1","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030104","alle","alle","personer","5320","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030104","alle","alle","prosent","71.4","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030104","arbeid","0","personer","470","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030104","arbeid","0","prosent","78.2","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030104","arbeid","1","personer","1226","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030104","arbeid","1","prosent","81.5","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030104","arbeid","alle","personer","1696","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030104","arbeid","alle","prosent","80.5","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030104","familie","0","personer","327","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030104","familie","0","prosent","54.9","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030104","familie","1","personer","220","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030104","familie","1","prosent","64.1","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030104","familie","alle","personer","547","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030104","familie","alle","prosent","58.3","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030104","flukt","0","personer","299","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030104","flukt","0","prosent","53.1","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030104","flukt","1","personer","410","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030104","flukt","1","prosent","51.3","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030104","flukt","alle","personer","709","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030104","flukt","alle","prosent","52","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030104","annet_uoppgitt","0","personer","1152","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030104","annet_uoppgitt","0","prosent","77.2","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030104","annet_uoppgitt","1","personer","1216","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030104","annet_uoppgitt","1","prosent","78.1","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030104","annet_uoppgitt","alle","personer","2368","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030104","annet_uoppgitt","alle","prosent","77.7","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030105","alle","0","personer","3730","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030105","alle","0","prosent","67.5","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030105","alle","1","personer","4536","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030105","alle","1","prosent","76.8","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030105","alle","alle","personer","8266","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030105","alle","alle","prosent","72.3","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030105","arbeid","0","personer","861","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030105","arbeid","0","prosent","81.5","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030105","arbeid","1","personer","1991","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030105","arbeid","1","prosent","82.8","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030105","arbeid","alle","personer","2852","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030105","arbeid","alle","prosent","82.4","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030105","familie","0","personer","561","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030105","familie","0","prosent","46.4","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030105","familie","1","personer","266","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030105","familie","1","prosent","63.2","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030105","familie","alle","personer","827","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030105","familie","alle","prosent","50.7","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030105","flukt","0","personer","371","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030105","flukt","0","prosent","54","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030105","flukt","1","personer","394","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030105","flukt","1","prosent","51.9","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030105","flukt","alle","personer","765","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030105","flukt","alle","prosent","52.9","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030105","annet_uoppgitt","0","personer","1937","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030105","annet_uoppgitt","0","prosent","75.3","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030105","annet_uoppgitt","1","personer","1885","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030105","annet_uoppgitt","1","prosent","81.3","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030105","annet_uoppgitt","alle","personer","3822","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030105","annet_uoppgitt","alle","prosent","78.1","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030106","alle","0","personer","1345","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030106","alle","0","prosent","65.6","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030106","alle","1","personer","1477","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030106","alle","1","prosent","77.1","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030106","alle","alle","personer","2822","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030106","alle","alle","prosent","71.2","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030106","arbeid","0","personer","305","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030106","arbeid","0","prosent","81.3","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030106","arbeid","1","personer","715","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030106","arbeid","1","prosent","81.3","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030106","arbeid","alle","personer","1020","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030106","arbeid","alle","prosent","81.3","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030106","familie","0","personer","259","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030106","familie","0","prosent","54.4","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030106","familie","1","personer","110","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030106","familie","1","prosent","66.7","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030106","familie","alle","personer","369","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030106","familie","alle","prosent","57.6","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030106","flukt","0","personer","152","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030106","flukt","0","prosent","57.6","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030106","flukt","1","personer","160","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030106","flukt","1","prosent","59.7","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030106","flukt","alle","personer","312","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030106","flukt","alle","prosent","58.6","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030106","annet_uoppgitt","0","personer","629","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030106","annet_uoppgitt","0","prosent","67.3","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030106","annet_uoppgitt","1","personer","492","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030106","annet_uoppgitt","1","prosent","81.7","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030106","annet_uoppgitt","alle","personer","1121","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030106","annet_uoppgitt","alle","prosent","72.9","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030107","alle","0","personer","1837","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030107","alle","0","prosent","60.2","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030107","alle","1","personer","1892","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030107","alle","1","prosent","75.7","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030107","alle","alle","personer","3729","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030107","alle","alle","prosent","67.2","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030107","arbeid","0","personer","386","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030107","arbeid","0","prosent","80.6","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030107","arbeid","1","personer","959","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030107","arbeid","1","prosent","79.7","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030107","arbeid","alle","personer","1345","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030107","arbeid","alle","prosent","80","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030107","familie","0","personer","365","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030107","familie","0","prosent","55","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030107","familie","1","personer","142","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030107","familie","1","prosent","71","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030107","familie","alle","personer","507","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030107","familie","alle","prosent","58.7","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030107","flukt","0","personer","162","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030107","flukt","0","prosent","46.8","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030107","flukt","1","personer","188","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030107","flukt","1","prosent","56.3","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030107","flukt","alle","personer","350","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030107","flukt","alle","prosent","51.5","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030107","annet_uoppgitt","0","personer","924","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030107","annet_uoppgitt","0","prosent","59.2","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030107","annet_uoppgitt","1","personer","603","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030107","annet_uoppgitt","1","prosent","79.2","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030107","annet_uoppgitt","alle","personer","1527","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030107","annet_uoppgitt","alle","prosent","65.8","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030108","alle","0","personer","1855","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030108","alle","0","prosent","60.4","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030108","alle","1","personer","2209","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030108","alle","1","prosent","69","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030108","alle","alle","personer","4064","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030108","alle","alle","prosent","64.8","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030108","arbeid","0","personer","319","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030108","arbeid","0","prosent","75.4","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030108","arbeid","1","personer","816","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030108","arbeid","1","prosent","82.6","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030108","arbeid","alle","personer","1135","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030108","arbeid","alle","prosent","80.4","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030108","familie","0","personer","322","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030108","familie","0","prosent","57.1","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030108","familie","1","personer","181","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030108","familie","1","prosent","68.6","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030108","familie","alle","personer","503","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030108","familie","alle","prosent","60.7","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030108","flukt","0","personer","244","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030108","flukt","0","prosent","53.3","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030108","flukt","1","personer","309","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030108","flukt","1","prosent","55.9","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030108","flukt","alle","personer","553","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030108","flukt","alle","prosent","54.7","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030108","annet_uoppgitt","0","personer","970","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030108","annet_uoppgitt","0","prosent","59.6","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030108","annet_uoppgitt","1","personer","903","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030108","annet_uoppgitt","1","prosent","64.7","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030108","annet_uoppgitt","alle","personer","1873","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030108","annet_uoppgitt","alle","prosent","61.9","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
"2013","030109","alle","0","personer","2014","sysselsatte_innvandringsgrunn","NULL","NULL","NULL"
