"aar","bydel_nr","flytting","innvkat_3","vreg_3","enhet","tabellvariabel","tabell_navn","fylke_nr","Fylke","naringsregion_nr","kommune_nr"
"2013","030101","utflytting","innvandrere","2","personer","311","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030101","utflytting","innvandrere","alle","personer","550","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030101","utflytting","befolkningen_ellers","alle","personer","1984","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030101","nettoinnflytting","alle","alle","personer","424","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030101","nettoinnflytting","innvandrere","1","personer","2","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030101","nettoinnflytting","innvandrere","2","personer","135","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030101","nettoinnflytting","innvandrere","alle","personer","137","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030101","nettoinnflytting","befolkningen_ellers","alle","personer","287","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030101","innvandring_og_innflytting","alle","alle","personer","4465","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030101","innvandring_og_innflytting","innvandrere","1","personer","1074","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030101","innvandring_og_innflytting","innvandrere","2","personer","932","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030101","innvandring_og_innflytting","innvandrere","alle","personer","2006","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030101","innvandring_og_innflytting","befolkningen_ellers","alle","personer","2459","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030101","utvandring_og_utflytting","alle","alle","personer","3456","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030101","utvandring_og_utflytting","innvandrere","1","personer","623","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030101","utvandring_og_utflytting","innvandrere","2","personer","563","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030101","utvandring_og_utflytting","innvandrere","alle","personer","1186","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030101","utvandring_og_utflytting","befolkningen_ellers","alle","personer","2270","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030101","nettoinnvandring_og_nettoinnflytting","alle","alle","personer","1009","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030101","nettoinnvandring_og_nettoinnflytting","innvandrere","1","personer","451","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030101","nettoinnvandring_og_nettoinnflytting","innvandrere","2","personer","369","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030101","nettoinnvandring_og_nettoinnflytting","innvandrere","alle","personer","820","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030101","nettoinnvandring_og_nettoinnflytting","befolkningen_ellers","alle","personer","189","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030102","innvandring","alle","alle","personer","1993","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030102","innvandring","innvandrere","1","personer","1234","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030102","innvandring","innvandrere","2","personer","544","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030102","innvandring","innvandrere","alle","personer","1778","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030102","innvandring","befolkningen_ellers","alle","personer","215","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030102","utvandring","alle","alle","personer","1171","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030102","utvandring","innvandrere","1","personer","665","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030102","utvandring","innvandrere","2","personer","256","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030102","utvandring","innvandrere","alle","personer","921","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030102","utvandring","befolkningen_ellers","alle","personer","250","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030102","nettoinnvandring","alle","alle","personer","822","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030102","nettoinnvandring","innvandrere","1","personer","569","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030102","nettoinnvandring","innvandrere","2","personer","288","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030102","nettoinnvandring","innvandrere","alle","personer","857","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030102","nettoinnvandring","befolkningen_ellers","alle","personer","-35","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030102","innflytting","alle","alle","personer","4165","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030102","innflytting","innvandrere","1","personer","297","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030102","innflytting","innvandrere","2","personer","502","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030102","innflytting","innvandrere","alle","personer","799","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030102","innflytting","befolkningen_ellers","alle","personer","3366","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030102","utflytting","alle","alle","personer","3367","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030102","utflytting","innvandrere","1","personer","351","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030102","utflytting","innvandrere","2","personer","357","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030102","utflytting","innvandrere","alle","personer","708","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030102","utflytting","befolkningen_ellers","alle","personer","2659","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030102","nettoinnflytting","alle","alle","personer","798","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030102","nettoinnflytting","innvandrere","1","personer","-54","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030102","nettoinnflytting","innvandrere","2","personer","145","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030102","nettoinnflytting","innvandrere","alle","personer","91","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030102","nettoinnflytting","befolkningen_ellers","alle","personer","707","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030102","innvandring_og_innflytting","alle","alle","personer","6158","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030102","innvandring_og_innflytting","innvandrere","1","personer","1531","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030102","innvandring_og_innflytting","innvandrere","2","personer","1046","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030102","innvandring_og_innflytting","innvandrere","alle","personer","2577","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030102","innvandring_og_innflytting","befolkningen_ellers","alle","personer","3581","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030102","utvandring_og_utflytting","alle","alle","personer","4538","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030102","utvandring_og_utflytting","innvandrere","1","personer","1016","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030102","utvandring_og_utflytting","innvandrere","2","personer","613","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030102","utvandring_og_utflytting","innvandrere","alle","personer","1629","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030102","utvandring_og_utflytting","befolkningen_ellers","alle","personer","2909","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030102","nettoinnvandring_og_nettoinnflytting","alle","alle","personer","1620","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030102","nettoinnvandring_og_nettoinnflytting","innvandrere","1","personer","515","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030102","nettoinnvandring_og_nettoinnflytting","innvandrere","2","personer","433","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030102","nettoinnvandring_og_nettoinnflytting","innvandrere","alle","personer","948","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030102","nettoinnvandring_og_nettoinnflytting","befolkningen_ellers","alle","personer","672","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030103","innvandring","alle","alle","personer","920","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030103","innvandring","innvandrere","1","personer","511","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030103","innvandring","innvandrere","2","personer","263","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030103","innvandring","innvandrere","alle","personer","774","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030103","innvandring","befolkningen_ellers","alle","personer","146","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030103","utvandring","alle","alle","personer","499","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030103","utvandring","innvandrere","1","personer","231","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030103","utvandring","innvandrere","2","personer","105","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030103","utvandring","innvandrere","alle","personer","336","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030103","utvandring","befolkningen_ellers","alle","personer","163","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030103","nettoinnvandring","alle","alle","personer","421","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030103","nettoinnvandring","innvandrere","1","personer","280","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030103","nettoinnvandring","innvandrere","2","personer","158","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030103","nettoinnvandring","innvandrere","alle","personer","438","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030103","nettoinnvandring","befolkningen_ellers","alle","personer","-17","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030103","innflytting","alle","alle","personer","2738","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030103","innflytting","innvandrere","1","personer","146","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030103","innflytting","innvandrere","2","personer","205","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030103","innflytting","innvandrere","alle","personer","351","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030103","innflytting","befolkningen_ellers","alle","personer","2387","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030103","utflytting","alle","alle","personer","2554","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030103","utflytting","innvandrere","1","personer","173","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030103","utflytting","innvandrere","2","personer","186","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030103","utflytting","innvandrere","alle","personer","359","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030103","utflytting","befolkningen_ellers","alle","personer","2195","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030103","nettoinnflytting","alle","alle","personer","184","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030103","nettoinnflytting","innvandrere","1","personer","-27","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030103","nettoinnflytting","innvandrere","2","personer","19","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030103","nettoinnflytting","innvandrere","alle","personer","-8","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030103","nettoinnflytting","befolkningen_ellers","alle","personer","192","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030103","innvandring_og_innflytting","alle","alle","personer","3658","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030103","innvandring_og_innflytting","innvandrere","1","personer","657","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030103","innvandring_og_innflytting","innvandrere","2","personer","468","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030103","innvandring_og_innflytting","innvandrere","alle","personer","1125","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030103","innvandring_og_innflytting","befolkningen_ellers","alle","personer","2533","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030103","utvandring_og_utflytting","alle","alle","personer","3053","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030103","utvandring_og_utflytting","innvandrere","1","personer","404","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030103","utvandring_og_utflytting","innvandrere","2","personer","291","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030103","utvandring_og_utflytting","innvandrere","alle","personer","695","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030103","utvandring_og_utflytting","befolkningen_ellers","alle","personer","2358","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030103","nettoinnvandring_og_nettoinnflytting","alle","alle","personer","605","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030103","nettoinnvandring_og_nettoinnflytting","innvandrere","1","personer","253","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030103","nettoinnvandring_og_nettoinnflytting","innvandrere","2","personer","177","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030103","nettoinnvandring_og_nettoinnflytting","innvandrere","alle","personer","430","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030103","nettoinnvandring_og_nettoinnflytting","befolkningen_ellers","alle","personer","175","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030104","innvandring","alle","alle","personer","1595","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030104","innvandring","innvandrere","1","personer","891","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030104","innvandring","innvandrere","2","personer","530","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030104","innvandring","innvandrere","alle","personer","1421","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030104","innvandring","befolkningen_ellers","alle","personer","174","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030104","utvandring","alle","alle","personer","854","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030104","utvandring","innvandrere","1","personer","506","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030104","utvandring","innvandrere","2","personer","192","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030104","utvandring","innvandrere","alle","personer","698","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030104","utvandring","befolkningen_ellers","alle","personer","156","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030104","nettoinnvandring","alle","alle","personer","741","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030104","nettoinnvandring","innvandrere","1","personer","385","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030104","nettoinnvandring","innvandrere","2","personer","338","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030104","nettoinnvandring","innvandrere","alle","personer","723","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030104","nettoinnvandring","befolkningen_ellers","alle","personer","18","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030104","innflytting","alle","alle","personer","3105","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030104","innflytting","innvandrere","1","personer","218","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030104","innflytting","innvandrere","2","personer","244","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030104","innflytting","innvandrere","alle","personer","462","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030104","innflytting","befolkningen_ellers","alle","personer","2643","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030104","utflytting","alle","alle","personer","2428","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030104","utflytting","innvandrere","1","personer","250","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030104","utflytting","innvandrere","2","personer","181","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030104","utflytting","innvandrere","alle","personer","431","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030104","utflytting","befolkningen_ellers","alle","personer","1997","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030104","nettoinnflytting","alle","alle","personer","677","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030104","nettoinnflytting","innvandrere","1","personer","-32","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030104","nettoinnflytting","innvandrere","2","personer","63","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030104","nettoinnflytting","innvandrere","alle","personer","31","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030104","nettoinnflytting","befolkningen_ellers","alle","personer","646","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030104","innvandring_og_innflytting","alle","alle","personer","4700","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030104","innvandring_og_innflytting","innvandrere","1","personer","1109","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030104","innvandring_og_innflytting","innvandrere","2","personer","774","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030104","innvandring_og_innflytting","innvandrere","alle","personer","1883","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030104","innvandring_og_innflytting","befolkningen_ellers","alle","personer","2817","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030104","utvandring_og_utflytting","alle","alle","personer","3282","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030104","utvandring_og_utflytting","innvandrere","1","personer","756","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030104","utvandring_og_utflytting","innvandrere","2","personer","373","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030104","utvandring_og_utflytting","innvandrere","alle","personer","1129","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030104","utvandring_og_utflytting","befolkningen_ellers","alle","personer","2153","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030104","nettoinnvandring_og_nettoinnflytting","alle","alle","personer","1418","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030104","nettoinnvandring_og_nettoinnflytting","innvandrere","1","personer","353","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030104","nettoinnvandring_og_nettoinnflytting","innvandrere","2","personer","401","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030104","nettoinnvandring_og_nettoinnflytting","innvandrere","alle","personer","754","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030104","nettoinnvandring_og_nettoinnflytting","befolkningen_ellers","alle","personer","664","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030105","innvandring","alle","alle","personer","2501","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030105","innvandring","innvandrere","1","personer","1484","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030105","innvandring","innvandrere","2","personer","713","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030105","innvandring","innvandrere","alle","personer","2197","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030105","innvandring","befolkningen_ellers","alle","personer","304","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030105","utvandring","alle","alle","personer","1454","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030105","utvandring","innvandrere","1","personer","815","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030105","utvandring","innvandrere","2","personer","333","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030105","utvandring","innvandrere","alle","personer","1148","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030105","utvandring","befolkningen_ellers","alle","personer","306","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030105","nettoinnvandring","alle","alle","personer","1047","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030105","nettoinnvandring","innvandrere","1","personer","669","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030105","nettoinnvandring","innvandrere","2","personer","380","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030105","nettoinnvandring","innvandrere","alle","personer","1049","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030105","nettoinnvandring","befolkningen_ellers","alle","personer","-2","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030105","innflytting","alle","alle","personer","4263","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030105","innflytting","innvandrere","1","personer","388","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030105","innflytting","innvandrere","2","personer","331","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030105","innflytting","innvandrere","alle","personer","719","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030105","innflytting","befolkningen_ellers","alle","personer","3544","befolkning_flytting","NULL","NULL","NULL","NULL"
"2013","030105","utflytting","alle","alle","personer","3248","befolkning_flytting","NULL","NULL","NULL","NULL"
