kommune_nr;bosetting.bosatt_enhet.personer_maned.alle;bosetting.bosatt_enhet.personer_maned.januar;bosetting.bosatt_enhet.personer_maned.februar;bosetting.bosatt_enhet.personer_maned.mars;bosetting.bosatt_enhet.personer_maned.april;bosetting.bosatt_enhet.personer_maned.mai;bosetting.bosatt_enhet.personer_maned.juni;bosetting.bosatt_enhet.personer_maned.juli;bosetting.bosatt_enhet.personer_maned.august;bosetting.bosatt_enhet.personer_maned.september;bosetting.bosatt_enhet.personer_maned.oktober;bosetting.bosatt_enhet.personer_maned.november;bosetting.bosatt_enhet.personer_maned.desember
532;33;2;5;2;4;1;5;1;1;2;0;5;5
533;163;10;33;3;4;9;1;17;6;24;6;18;32
534;155;21;22;26;17;9;14;13;18;6;4;4;1
536;52;6;7;0;7;7;1;5;6;4;3;2;4
538;98;13;7;8;4;14;3;1;13;4;14;13;4
540;25;3;0;1;0;4;3;1;4;3;1;1;4
541;10;0;0;1;0;0;1;0;2;2;0;2;2
542;62;6;12;7;8;4;9;0;3;2;3;4;4
543;0;0;0;0;0;0;0;0;0;0;0;0;0
544;15;2;2;2;0;1;2;2;2;1;1;0;0
545;11;2;0;1;1;1;1;1;2;0;1;1;0
602;850;49;107;111;41;63;125;99;90;18;66;25;56
604;107;6;7;0;4;4;15;6;12;9;11;13;20
605;179;0;18;23;26;4;11;14;19;23;14;27;0
612;19;2;0;2;4;1;0;3;4;0;0;1;2
615;0;0;0;0;0;0;0;0;0;0;0;0;0
616;72;6;8;7;9;8;5;4;9;0;5;8;3
617;74;0;4;10;9;5;11;6;8;2;7;10;2
618;42;0;1;2;6;2;6;1;7;3;5;3;6
619;92;2;7;9;3;12;6;11;9;12;7;2;12
620;26;2;0;2;2;3;3;3;3;1;1;3;3
621;24;1;3;1;4;4;1;4;0;4;0;0;2
622;0;0;0;0;0;0;0;0;0;0;0;0;0
623;109;17;5;5;0;9;14;4;1;15;19;0;20
624;94;11;12;10;8;15;5;8;1;3;15;6;0
625;55;8;1;2;3;11;2;5;10;4;5;0;4
626;89;2;4;10;8;11;11;12;14;0;5;3;9
627;115;16;3;12;0;13;6;7;9;6;14;16;13
628;111;14;13;0;13;12;14;12;6;1;11;9;6
631;32;2;2;0;0;1;1;2;8;7;2;6;1
632;28;4;0;4;4;2;2;2;0;2;3;3;2
633;33;0;2;2;6;3;6;0;5;3;3;1;2
701;113;3;13;10;13;9;16;8;7;17;3;1;13
702;41;0;2;2;1;9;8;3;4;2;1;1;8
704;113;12;6;3;12;18;7;4;9;7;13;11;11
706;175;25;2;24;13;14;17;24;18;1;12;5;20
709;214;29;16;24;7;18;13;14;24;27;1;24;17
711;34;4;4;1;3;5;0;4;0;5;4;0;4
713;73;2;9;11;4;4;10;5;7;3;5;8;5
714;0;0;0;0;0;0;0;0;0;0;0;0;0
716;31;2;2;0;1;4;3;1;5;4;1;5;3
719;4;0;0;1;1;0;1;1;0;0;0;0;0
720;121;0;8;2;9;21;10;13;11;6;24;13;4
722;131;13;18;13;8;13;5;17;6;15;14;9;0
723;33;0;3;4;5;5;3;1;0;4;3;0;5
728;23;2;4;4;1;1;0;1;1;2;2;3;2
805;251;20;4;36;18;6;13;31;38;24;19;42;0
806;573;48;3;95;27;10;92;40;83;27;91;11;46
807;258;9;34;12;19;32;28;23;32;28;19;16;6
811;124;15;15;12;6;10;14;5;8;14;15;3;7
814;257;20;18;36;23;3;21;27;4;33;0;41;31
815;210;37;1;32;33;15;27;22;14;4;12;2;11
817;29;4;0;4;4;1;0;1;3;3;2;2;5
819;59;1;7;2;7;2;6;8;8;6;5;0;7
821;47;0;6;5;1;6;4;6;5;2;4;3;5
822;119;7;0;18;19;1;12;0;0;21;7;23;11
826;96;11;1;13;14;3;15;6;7;2;13;0;11
827;0;0;0;0;0;0;0;0;0;0;0;0;0
828;6;0;0;1;1;1;1;0;1;0;0;1;0
829;0;0;0;0;0;0;0;0;0;0;0;0;0
830;0;0;0;0;0;0;0;0;0;0;0;0;0
831;28;2;5;5;3;2;1;1;3;3;3;0;0
833;0;0;0;0;0;0;0;0;0;0;0;0;0
834;25;2;5;0;0;3;1;0;0;5;4;3;2
901;126;11;14;7;9;12;3;14;17;4;13;14;8
904;118;16;1;16;4;13;19;8;15;5;10;1;10
906;301;3;8;50;30;37;24;1;30;2;44;0;72
911;72;10;9;0;5;0;10;0;11;11;6;2;8
912;0;0;0;0;0;0;0;0;0;0;0;0;0
914;15;1;2;1;1;2;2;0;0;1;2;2;1
919;59;2;0;2;4;9;2;11;7;1;7;6;8
926;88;12;2;10;11;3;5;7;7;7;12;4;8
928;35;2;0;2;3;4;4;6;5;1;3;4;1
929;57;4;2;4;6;3;5;6;6;6;3;6;6
935;41;1;6;4;1;2;3;1;5;6;5;0;7
937;0;0;0;0;0;0;0;0;0;0;0;0;0
938;0;0;0;0;0;0;0;0;0;0;0;0;0
940;0;0;0;0;0;0;0;0;0;0;0;0;0
941;35;2;0;0;5;4;4;5;3;2;1;4;5
1001;657;96;50;115;125;55;99;19;3;0;26;14;55
1002;139;13;9;6;4;14;15;12;11;9;22;23;1
1003;135;9;16;15;2;12;15;17;5;10;16;14;4
1004;39;2;2;4;4;2;4;0;6;5;0;6;4
1014;115;11;9;0;17;4;19;13;4;7;9;13;9
1017;88;7;1;6;21;1;16;0;0;0;16;15;5
1018;134;6;12;12;7;11;16;19;15;14;12;5;5
1021;20;0;0;2;1;2;3;2;2;3;1;3;1
1026;0;0;0;0;0;0;0;0;0;0;0;0;0
1027;0;0;0;0;0;0;0;0;0;0;0;0;0
1029;32;5;5;1;4;2;5;0;2;0;3;2;3
1032;111;13;8;13;11;4;3;10;5;7;13;7;17
1034;5;0;1;0;1;0;1;0;1;0;0;1;0
1037;79;13;7;15;9;8;1;9;3;3;5;5;1
1046;25;1;0;1;5;0;4;4;1;4;2;1;2
1101;115;2;0;14;20;11;7;16;6;11;20;3;5
1102;324;23;43;39;21;21;45;23;1;43;37;27;1
1103;682;103;88;41;42;61;70;19;32;64;52;25;85
1106;173;34;0;6;2;20;15;11;23;6;25;19;12
1111;0;0;0;0;0;0;0;0;0;0;0;0;0
1112;54;6;3;7;5;2;5;4;0;6;5;6;5
1114;0;0;0;0;0;0;0;0;0;0;0;0;0
1119;58;1;11;9;4;2;6;5;0;8;5;0;7
1120;93;13;7;9;18;11;8;1;2;15;2;0;7
1121;92;1;5;13;9;10;8;14;14;13;5;0;0
1122;103;10;13;9;0;8;8;12;14;8;5;8;8
1124;98;13;8;12;0;3;6;5;14;10;12;5;10
1127;130;15;17;7;14;0;24;3;15;3;0;12;20
1129;0;0;0;0;0;0;0;0;0;0;0;0;0
1130;103;10;13;3;8;5;5;2;7;11;14;13;12
1133;48;10;1;11;0;8;2;2;5;5;1;2;1
1134;5;0;0;0;1;0;1;1;0;1;1;0;0
1135;0;0;0;0;0;0;0;0;0;0;0;0;0
1141;0;0;0;0;0;0;0;0;0;0;0;0;0
1142;51;1;7;0;4;3;7;10;0;9;1;0;9
1144;0;0;0;0;0;0;0;0;0;0;0;0;0
1145;0;0;0;0;0;0;0;0;0;0;0;0;0
1146;112;8;19;8;11;7;16;7;3;18;8;7;0
1149;229;5;4;28;39;23;21;27;2;41;5;25;9
1151;0;0;0;0;0;0;0;0;0;0;0;0;0
1160;132;11;21;4;0;21;4;8;6;22;18;12;5
1201;1346;219;138;140;96;2;65;91;139;141;152;43;120
1211;0;0;0;0;0;0;0;0;0;0;0;0;0
1216;69;9;7;4;0;9;3;8;8;9;5;6;1
1219;66;16;5;16;2;7;1;3;8;0;2;1;5
1221;53;6;2;8;0;3;10;7;5;1;7;0;4
1222;0;0;0;0;0;0;0;0;0;0;0;0;0
1223;0;0;0;0;0;0;0;0;0;0;0;0;0
1224;147;21;0;1;18;23;19;20;12;20;0;6;7
1227;0;0;0;0;0;0;0;0;0;0;0;0;0
1228;0;0;0;0;0;0;0;0;0;0;0;0;0
1231;94;15;10;11;2;6;13;1;2;5;14;1;14
1232;0;0;0;0;0;0;0;0;0;0;0;0;0
1233;0;0;0;0;0;0;0;0;0;0;0;0;0
1234;0;0;0;0;0;0;0;0;0;0;0;0;0
1235;98;15;13;5;0;10;12;12;15;0;0;1;15
1238;59;8;10;0;0;4;1;0;11;6;10;1;8
1241;0;0;0;0;0;0;0;0;0;0;0;0;0
1242;0;0;0;0;0;0;0;0;0;0;0;0;0
1243;71;9;8;9;8;7;1;0;9;4;6;3;7
1244;0;0;0;0;0;0;0;0;0;0;0;0;0
1245;14;0;1;2;2;2;2;1;2;0;2;0;0
1246;80;7;8;15;3;1;2;14;14;3;3;5;5
1247;170;11;4;25;11;20;3;20;12;15;25;2;22
1251;53;3;2;4;8;2;1;3;7;3;8;6;6
1252;0;0;0;0;0;0;0;0;0;0;0;0;0
1253;0;0;0;0;0;0;0;0;0;0;0;0;0
1256;0;0;0;0;0;0;0;0;0;0;0;0;0
1259;58;6;9;1;13;6;6;1;1;0;3;8;4
1260;8;0;0;1;1;1;1;1;0;0;1;0;2
1263;61;7;7;8;1;5;0;7;10;3;7;3;3
1264;0;0;0;0;0;0;0;0;0;0;0;0;0
1265;0;0;0;0;0;0;0;0;0;0;0;0;0
1266;0;0;0;0;0;0;0;0;0;0;0;0;0
1401;203;19;23;14;17;11;13;27;27;11;5;14;22
1411;0;0;0;0;0;0;0;0;0;0;0;0;0
1412;0;0;0;0;0;0;0;0;0;0;0;0;0
1413;0;0;0;0;0;0;0;0;0;0;0;0;0
1416;6;0;0;1;1;0;1;0;0;0;1;1;1
1417;0;0;0;0;0;0;0;0;0;0;0;0;0
1418;0;0;0;0;0;0;0;0;0;0;0;0;0
1419;14;1;2;0;2;0;1;1;2;2;0;1;2
1420;98;2;1;15;4;10;14;4;0;16;14;5;13
1421;0;0;0;0;0;0;0;0;0;0;0;0;0
1422;0;0;0;0;0;0;0;0;0;0;0;0;0
1424;0;0;0;0;0;0;0;0;0;0;0;0;0
1426;22;0;4;1;5;1;1;4;1;0;1;4;0
1428;0;0;0;0;0;0;0;0;0;0;0;0;0
1429;0;0;0;0;0;0;0;0;0;0;0;0;0
1430;0;0;0;0;0;0;0;0;0;0;0;0;0
1431;45;6;3;6;4;1;0;6;3;5;5;0;6
1432;125;11;15;14;18;2;6;12;3;8;17;5;14
1433;0;0;0;0;0;0;0;0;0;0;0;0;0
1438;0;0;0;0;0;0;0;0;0;0;0;0;0
1439;0;0;0;0;0;0;0;0;0;0;0;0;0
1441;0;0;0;0;0;0;0;0;0;0;0;0;0
1443;29;3;3;3;0;1;3;3;2;3;2;3;3
1444;0;0;0;0;0;0;0;0;0;0;0;0;0
1445;87;1;6;8;3;0;11;10;12;11;14;11;0
1449;79;2;5;4;8;13;9;4;11;6;6;11;0
1502;300;37;1;6;32;2;52;25;9;22;27;47;40
1504;219;6;19;21;16;31;21;32;28;3;23;2;17
1505;185;29;16;2;16;2;7;7;26;15;25;15;25
1511;0;0;0;0;0;0;0;0;0;0;0;0;0
1514;0;0;0;0;0;0;0;0;0;0;0;0;0
1515;37;1;6;6;5;2;0;0;5;6;2;2;2
1516;92;2;1;16;4;19;10;7;7;18;6;0;2
1517;74;5;6;10;10;10;5;5;11;2;0;6;4
1519;216;23;21;17;26;18;12;9;6;29;27;8;20
1520;170;20;0;7;23;17;7;22;18;18;14;17;7
1523;8;1;0;1;1;1;1;1;0;1;0;1;0
1524;0;0;0;0;0;0;0;0;0;0;0;0;0
1525;0;0;0;0;0;0;0;0;0;0;0;0;0
1526;0;0;0;0;0;0;0;0;0;0;0;0;0
1528;68;5;4;8;3;8;8;10;9;5;7;0;1
1529;0;0;0;0;0;0;0;0;0;0;0;0;0
1531;0;0;0;0;0;0;0;0;0;0;0;0;0
1532;37;6;2;4;5;2;4;2;3;3;3;0;3
1534;74;11;3;0;3;5;5;7;4;3;12;15;6
1535;11;2;2;1;0;1;0;1;1;1;0;0;2
1539;0;0;0;0;0;0;0;0;0;0;0;0;0
1543;0;0;0;0;0;0;0;0;0;0;0;0;0
1545;0;0;0;0;0;0;0;0;0;0;0;0;0
1546;0;0;0;0;0;0;0;0;0;0;0;0;0
1547;26;2;0;4;0;1;3;3;2;3;5;0;3
1548;0;0;0;0;0;0;0;0;0;0;0;0;0
1551;33;2;1;0;5;5;4;2;4;5;3;2;0
1554;0;0;0;0;0;0;0;0;0;0;0;0;0
1557;0;0;0;0;0;0;0;0;0;0;0;0;0
1560;10;2;0;1;2;0;0;0;2;0;2;1;0
1563;129;12;16;0;12;15;7;4;10;12;19;6;16
1566;0;0;0;0;0;0;0;0;0;0;0;0;0
1567;0;0;0;0;0;0;0;0;0;0;0;0;0
1571;0;0;0;0;0;0;0;0;0;0;0;0;0
1573;0;0;0;0;0;0;0;0;0;0;0;0;0
1576;48;1;9;7;9;7;2;1;0;5;7;0;0
1601;1276;0;239;61;168;9;204;150;95;3;187;63;97
1612;27;0;3;3;4;4;1;4;2;0;2;1;3
1613;0;0;0;0;0;0;0;0;0;0;0;0;0
1617;0;0;0;0;0;0;0;0;0;0;0;0;0
1620;0;0;0;0;0;0;0;0;0;0;0;0;0
1621;0;0;0;0;0;0;0;0;0;0;0;0;0
1622;0;0;0;0;0;0;0;0;0;0;0;0;0
1624;43;4;0;1;1;7;5;0;6;4;6;3;6
1627;0;0;0;0;0;0;0;0;0;0;0;0;0
1630;0;0;0;0;0;0;0;0;0;0;0;0;0
1632;0;0;0;0;0;0;0;0;0;0;0;0;0
1633;0;0;0;0;0;0;0;0;0;0;0;0;0
1634;106;14;5;11;15;0;1;8;15;5;9;11;12
1635;0;0;0;0;0;0;0;0;0;0;0;0;0
1636;0;0;0;0;0;0;0;0;0;0;0;0;0
1638;149;15;19;13;20;7;18;13;10;10;8;1;15
1640;37;5;0;6;4;1;6;5;5;2;2;1;0
1644;0;0;0;0;0;0;0;0;0;0;0;0;0
1648;71;3;0;1;1;5;12;13;5;1;14;0;16
1653;86;0;7;6;11;14;14;7;2;10;0;1;14
1657;13;0;2;0;0;0;1;1;1;3;2;3;0
1662;0;0;0;0;0;0;0;0;0;0;0;0;0
1663;36;4;3;1;1;1;6;6;3;4;3;2;2
1664;0;0;0;0;0;0;0;0;0;0;0;0;0
1665;0;0;0;0;0;0;0;0;0;0;0;0;0
1702;233;14;10;13;25;9;28;28;19;26;22;25;14
1703;201;14;22;2;27;0;8;16;6;33;21;21;31
1711;80;10;8;1;1;3;12;10;13;6;1;7;8
1714;280;17;23;26;5;23;19;39;10;38;32;9;39
1717;0;0;0;0;0;0;0;0;0;0;0;0;0
1718;57;7;7;1;4;7;5;0;4;7;5;6;4
1719;254;38;31;14;29;29;4;21;19;7;18;7;37
1721;97;0;0;9;11;14;3;10;20;4;16;4;6
1724;31;2;1;3;0;6;5;2;1;0;1;4;6
1725;0;0;0;0;0;0;0;0;0;0;0;0;0
1736;0;0;0;0;0;0;0;0;0;0;0;0;0
1738;0;0;0;0;0;0;0;0;0;0;0;0;0
1739;0;0;0;0;0;0;0;0;0;0;0;0;0
1740;0;0;0;0;0;0;0;0;0;0;0;0;0
1742;118;12;15;14;5;6;13;12;9;9;6;13;4
1743;0;0;0;0;0;0;0;0;0;0;0;0;0
1744;24;3;2;1;3;4;0;3;0;3;2;1;2
1748;0;0;0;0;0;0;0;0;0;0;0;0;0
1749;0;0;0;0;0;0;0;0;0;0;0;0;0
1750;80;1;7;3;7;4;7;7;11;13;7;6;7
1751;122;7;12;0;18;16;16;1;10;14;10;14;4
1755;0;0;0;0;0;0;0;0;0;0;0;0;0
1756;68;11;7;1;4;4;7;6;10;4;5;2;7
1804;311;37;61;7;48;5;32;1;7;62;33;7;11
1805;146;12;11;12;21;10;21;10;12;8;14;7;8
1811;0;0;0;0;0;0;0;0;0;0;0;0;0
1812;63;10;1;8;5;3;8;6;0;3;5;8;6
1813;67;5;3;7;4;3;11;7;3;12;0;12;0
1815;0;0;0;0;0;0;0;0;0;0;0;0;0
1816;0;0;0;0;0;0;0;0;0;0;0;0;0
1818;0;0;0;0;0;0;0;0;0;0;0;0;0
1820;192;11;16;28;12;14;27;5;4;25;17;5;28
1822;67;7;1;2;5;10;10;8;1;11;0;2;10
1824;82;0;13;8;0;4;7;6;3;5;6;18;12
1825;0;0;0;0;0;0;0;0;0;0;0;0;0
1826;55;4;4;0;10;3;3;7;3;7;8;5;1
1827;0;0;0;0;0;0;0;0;0;0;0;0;0
1828;127;16;12;10;17;15;3;12;4;12;12;1;13
1832;32;3;1;1;0;5;4;2;0;0;5;6;5
1833;266;2;19;39;1;32;36;36;8;8;30;23;32
1834;0;0;0;0;0;0;0;0;0;0;0;0;0
1835;0;0;0;0;0;0;0;0;0;0;0;0;0
1836;0;0;0;0;0;0;0;0;0;0;0;0;0
1837;69;7;7;6;9;3;8;4;1;1;7;7;9
1838;7;1;1;1;0;0;1;0;0;0;1;1;1
1839;0;0;0;0;0;0;0;0;0;0;0;0;0
1840;45;7;2;1;5;4;3;7;6;3;2;4;1
1841;102;10;12;6;4;7;9;5;14;13;13;0;9
1845;0;0;0;0;0;0;0;0;0;0;0;0;0
1848;7;1;0;0;0;1;1;1;1;1;1;0;0
1849;40;0;4;8;3;6;0;6;1;2;6;2;2
1850;12;2;1;0;2;2;1;0;0;1;2;0;1
1851;71;1;0;2;7;10;5;6;2;13;13;5;7
1852;0;0;0;0;0;0;0;0;0;0;0;0;0
1853;80;4;10;10;6;7;5;6;9;2;0;9;12
1854;32;0;6;4;0;1;2;6;1;4;2;1;5
1856;0;0;0;0;0;0;0;0;0;0;0;0;0
1857;0;0;0;0;0;0;0;0;0;0;0;0;0
1859;0;0;0;0;0;0;0;0;0;0;0;0;0
1860;281;27;20;8;29;33;44;36;4;10;19;33;18
1865;189;8;1;26;17;17;12;27;20;16;0;28;17
1866;73;10;2;11;2;7;11;2;0;2;7;7;12
1867;0;0;0;0;0;0;0;0;0;0;0;0;0
1868;37;5;3;2;2;0;2;5;4;2;3;6;3
1870;183;27;9;9;29;4;8;20;2;11;29;12;23
1871;176;22;18;19;11;19;10;0;7;17;18;12;23
1874;0;0;0;0;0;0;0;0;0;0;0;0;0
1902;519;11;75;110;1;19;8;112;77;55;16;6;29
1903;371;47;1;33;32;1;41;30;39;56;26;41;24
1911;54;5;6;5;4;5;6;2;1;3;3;6;8
1913;62;11;10;6;1;1;10;10;0;3;2;1;7
1917;30;4;2;1;4;0;4;0;3;1;4;5;2
1919;38;5;5;4;2;5;3;2;1;1;1;4;5
1920;0;0;0;0;0;0;0;0;0;0;0;0;0
1922;22;0;4;3;1;2;0;2;4;1;0;3;2
1923;119;10;10;13;8;12;4;15;11;13;11;12;0
1924;81;2;9;10;10;7;9;3;9;6;7;8;1
1925;0;0;0;0;0;0;0;0;0;0;0;0;0
1926;0;0;0;0;0;0;0;0;0;0;0;0;0
1927;87;11;3;4;7;6;5;11;11;7;10;10;2
1928;0;0;0;0;0;0;0;0;0;0;0;0;0
1929;0;0;0;0;0;0;0;0;0;0;0;0;0
1931;131;4;13;9;0;11;0;27;4;6;24;8;25
1933;0;0;0;0;0;0;0;0;0;0;0;0;0
1936;0;0;0;0;0;0;0;0;0;0;0;0;0
1938;0;0;0;0;0;0;0;0;0;0;0;0;0
1939;35;3;3;2;5;3;1;0;3;2;4;5;4
1940;0;0;0;0;0;0;0;0;0;0;0;0;0
1941;7;1;1;1;0;1;1;0;0;0;1;1;0
1942;85;14;5;7;11;4;2;7;5;3;11;13;3
1943;0;0;0;0;0;0;0;0;0;0;0;0;0
2002;0;0;0;0;0;0;0;0;0;0;0;0;0
2003;548;57;44;15;69;59;43;33;63;35;51;54;25
2004;138;12;11;23;13;0;4;23;0;23;9;6;14
2011;0;0;0;0;0;0;0;0;0;0;0;0;0
2012;200;0;9;28;7;18;7;30;18;30;7;17;29
2014;0;0;0;0;0;0;0;0;0;0;0;0;0
2015;0;0;0;0;0;0;0;0;0;0;0;0;0
2017;0;0;0;0;0;0;0;0;0;0;0;0;0
2018;0;0;0;0;0;0;0;0;0;0;0;0;0
2019;3;1;0;0;0;0;0;0;1;0;1;0;0
2020;89;11;7;6;8;0;9;6;10;8;11;8;5
2021;0;0;0;0;0;0;0;0;0;0;0;0;0
2022;0;0;0;0;0;0;0;0;0;0;0;0;0
2023;0;0;0;0;0;0;0;0;0;0;0;0;0
2024;0;0;0;0;0;0;0;0;0;0;0;0;0
2025;0;0;0;0;0;0;0;0;0;0;0;0;0
2027;0;0;0;0;0;0;0;0;0;0;0;0;0
2028;21;2;1;4;0;5;2;3;1;1;1;1;0
2030;169;25;17;9;6;26;20;6;19;7;13;3;18
