kommune_nr;aar;bosetting.anmodning;bosetting.vedtak;bosetting.bosatt
1922;2015;15;19;14
1923;2015;20;25;26
1924;2015;20;10;13
1925;2015;20;17;21
1926;2015;15;;0
1927;2015;15;15;9
1928;2015;10;14;23
1929;2015;10;10;11
1931;2015;45;55;61
1933;2015;20;20;22
1936;2015;10;7;0
1938;2015;15;0;0
1939;2015;10;5;5
1940;2015;10;10;8
1941;2015;10;20;18
1942;2015;20;25;25
1943;2015;15;;0
2002;2015;20;;0
2003;2015;90;70;88
2004;2015;30;48;49
2011;2015;20;0;0
2012;2015;40;50;60
2014;2015;15;;0
2015;2015;15;0;0
2017;2015;10;12;5
2018;2015;15;0;0
2019;2015;10;10;13
2020;2015;20;15;15
2021;2015;20;10;0
2022;2015;15;;0
2023;2015;15;;0
2024;2015;15;0;0
2025;2015;15;15;15
2027;2015;10;10;14
2028;2015;10;14;14
2030;2015;40;80;38
9999;2015;;;74
