"tabell_navn","aar","kommune_nr","fylke_nr","bydel_nr","naringsregion_nr","innvkat_3","kjonn","enhet","tabellvariabel"
"sosialhjelp","2013","NULL","02","NULL","NULL","befolkningen_ellers","1","prosent","1.79"
"sosialhjelp","2013","NULL","02","NULL","NULL","befolkningen_ellers","0","personer","2589"
"sosialhjelp","2013","NULL","02","NULL","NULL","befolkningen_ellers","0","prosent","1.40"
"sosialhjelp","2013","NULL","02","NULL","NULL","innvandrere","alle","personer","4252"
"sosialhjelp","2013","NULL","02","NULL","NULL","innvandrere","alle","prosent","5.83"
"sosialhjelp","2013","NULL","02","NULL","NULL","innvandrere","1","personer","2242"
"sosialhjelp","2013","NULL","02","NULL","NULL","innvandrere","1","prosent","5.94"
"sosialhjelp","2013","NULL","02","NULL","NULL","innvandrere","0","personer","2010"
"sosialhjelp","2013","NULL","02","NULL","NULL","innvandrere","0","prosent","5.72"
"sosialhjelp","2013","NULL","03","NULL","NULL","alle","alle","personer","16911"
"sosialhjelp","2013","NULL","03","NULL","NULL","alle","alle","prosent","3.32"
"sosialhjelp","2013","NULL","03","NULL","NULL","alle","1","personer","9411"
"sosialhjelp","2013","NULL","03","NULL","NULL","alle","1","prosent","3.73"
"sosialhjelp","2013","NULL","03","NULL","NULL","alle","0","personer","7500"
"sosialhjelp","2013","NULL","03","NULL","NULL","alle","0","prosent","2.92"
"sosialhjelp","2013","NULL","03","NULL","NULL","befolkningen_ellers","alle","personer","7029"
"sosialhjelp","2013","NULL","03","NULL","NULL","befolkningen_ellers","alle","prosent","1.92"
"sosialhjelp","2013","NULL","03","NULL","NULL","befolkningen_ellers","1","personer","4115"
"sosialhjelp","2013","NULL","03","NULL","NULL","befolkningen_ellers","1","prosent","2.32"
"sosialhjelp","2013","NULL","03","NULL","NULL","befolkningen_ellers","0","personer","2914"
"sosialhjelp","2013","NULL","03","NULL","NULL","befolkningen_ellers","0","prosent","1.54"
"sosialhjelp","2013","NULL","03","NULL","NULL","innvandrere","alle","personer","9882"
"sosialhjelp","2013","NULL","03","NULL","NULL","innvandrere","alle","prosent","6.95"
"sosialhjelp","2013","NULL","03","NULL","NULL","innvandrere","1","personer","5296"
"sosialhjelp","2013","NULL","03","NULL","NULL","innvandrere","1","prosent","7.11"
"sosialhjelp","2013","NULL","03","NULL","NULL","innvandrere","0","personer","4586"
"sosialhjelp","2013","NULL","03","NULL","NULL","innvandrere","0","prosent","6.76"
"sosialhjelp","2013","NULL","04","NULL","NULL","alle","alle","personer","5599"
"sosialhjelp","2013","NULL","04","NULL","NULL","alle","alle","prosent","3.60"
"sosialhjelp","2013","NULL","04","NULL","NULL","alle","1","personer","2972"
"sosialhjelp","2013","NULL","04","NULL","NULL","alle","1","prosent","3.88"
"sosialhjelp","2013","NULL","04","NULL","NULL","alle","0","personer","2627"
"sosialhjelp","2013","NULL","04","NULL","NULL","alle","0","prosent","3.34"
"sosialhjelp","2013","NULL","04","NULL","NULL","befolkningen_ellers","alle","personer","4236"
"sosialhjelp","2013","NULL","04","NULL","NULL","befolkningen_ellers","alle","prosent","2.97"
"sosialhjelp","2013","NULL","04","NULL","NULL","befolkningen_ellers","1","personer","2241"
"sosialhjelp","2013","NULL","04","NULL","NULL","befolkningen_ellers","1","prosent","3.19"
"sosialhjelp","2013","NULL","04","NULL","NULL","befolkningen_ellers","0","personer","1995"
"sosialhjelp","2013","NULL","04","NULL","NULL","befolkningen_ellers","0","prosent","2.76"
"sosialhjelp","2013","NULL","04","NULL","NULL","innvandrere","alle","personer","1363"
"sosialhjelp","2013","NULL","04","NULL","NULL","innvandrere","alle","prosent","10.68"
"sosialhjelp","2013","NULL","04","NULL","NULL","innvandrere","1","personer","731"
"sosialhjelp","2013","NULL","04","NULL","NULL","innvandrere","1","prosent","11.37"
"sosialhjelp","2013","NULL","04","NULL","NULL","innvandrere","0","personer","632"
"sosialhjelp","2013","NULL","04","NULL","NULL","innvandrere","0","prosent","9.98"
"sosialhjelp","2013","NULL","05","NULL","NULL","alle","alle","personer","4501"
"sosialhjelp","2013","NULL","05","NULL","NULL","alle","alle","prosent","3.00"
"sosialhjelp","2013","NULL","05","NULL","NULL","alle","1","personer","2362"
"sosialhjelp","2013","NULL","05","NULL","NULL","alle","1","prosent","3.17"
"sosialhjelp","2013","NULL","05","NULL","NULL","alle","0","personer","2139"
"sosialhjelp","2013","NULL","05","NULL","NULL","alle","0","prosent","2.84"
"sosialhjelp","2013","NULL","05","NULL","NULL","befolkningen_ellers","alle","personer","3207"
"sosialhjelp","2013","NULL","05","NULL","NULL","befolkningen_ellers","alle","prosent","2.33"
"sosialhjelp","2013","NULL","05","NULL","NULL","befolkningen_ellers","1","personer","1667"
"sosialhjelp","2013","NULL","05","NULL","NULL","befolkningen_ellers","1","prosent","2.45"
"sosialhjelp","2013","NULL","05","NULL","NULL","befolkningen_ellers","0","personer","1540"
"sosialhjelp","2013","NULL","05","NULL","NULL","befolkningen_ellers","0","prosent","2.22"
"sosialhjelp","2013","NULL","05","NULL","NULL","innvandrere","alle","personer","1294"
"sosialhjelp","2013","NULL","05","NULL","NULL","innvandrere","alle","prosent","10.36"
"sosialhjelp","2013","NULL","05","NULL","NULL","innvandrere","1","personer","695"
"sosialhjelp","2013","NULL","05","NULL","NULL","innvandrere","1","prosent","10.68"
"sosialhjelp","2013","NULL","05","NULL","NULL","innvandrere","0","personer","599"
"sosialhjelp","2013","NULL","05","NULL","NULL","innvandrere","0","prosent","10.02"
"sosialhjelp","2013","NULL","06","NULL","NULL","alle","alle","personer","6647"
"sosialhjelp","2013","NULL","06","NULL","NULL","alle","alle","prosent","3.12"
"sosialhjelp","2013","NULL","06","NULL","NULL","alle","1","personer","3535"
"sosialhjelp","2013","NULL","06","NULL","NULL","alle","1","prosent","3.33"
"sosialhjelp","2013","NULL","06","NULL","NULL","alle","0","personer","3112"
"sosialhjelp","2013","NULL","06","NULL","NULL","alle","0","prosent","2.91"
"sosialhjelp","2013","NULL","06","NULL","NULL","befolkningen_ellers","alle","personer","4232"
"sosialhjelp","2013","NULL","06","NULL","NULL","befolkningen_ellers","alle","prosent","2.35"
"sosialhjelp","2013","NULL","06","NULL","NULL","befolkningen_ellers","1","personer","2281"
"sosialhjelp","2013","NULL","06","NULL","NULL","befolkningen_ellers","1","prosent","2.57"
"sosialhjelp","2013","NULL","06","NULL","NULL","befolkningen_ellers","0","personer","1951"
"sosialhjelp","2013","NULL","06","NULL","NULL","befolkningen_ellers","0","prosent","2.14"
"sosialhjelp","2013","NULL","06","NULL","NULL","innvandrere","alle","personer","2415"
"sosialhjelp","2013","NULL","06","NULL","NULL","innvandrere","alle","prosent","7.30"
"sosialhjelp","2013","NULL","06","NULL","NULL","innvandrere","1","personer","1254"
"sosialhjelp","2013","NULL","06","NULL","NULL","innvandrere","1","prosent","7.25"
"sosialhjelp","2013","NULL","06","NULL","NULL","innvandrere","0","personer","1161"
"sosialhjelp","2013","NULL","06","NULL","NULL","innvandrere","0","prosent","7.35"
"sosialhjelp","2013","NULL","07","NULL","NULL","alle","alle","personer","5926"
"sosialhjelp","2013","NULL","07","NULL","NULL","alle","alle","prosent","3.14"
"sosialhjelp","2013","NULL","07","NULL","NULL","alle","1","personer","3295"
"sosialhjelp","2013","NULL","07","NULL","NULL","alle","1","prosent","3.55"
"sosialhjelp","2013","NULL","07","NULL","NULL","alle","0","personer","2631"
"sosialhjelp","2013","NULL","07","NULL","NULL","alle","0","prosent","2.74"
"sosialhjelp","2013","NULL","07","NULL","NULL","befolkningen_ellers","alle","personer","4214"
"sosialhjelp","2013","NULL","07","NULL","NULL","befolkningen_ellers","alle","prosent","2.52"
"sosialhjelp","2013","NULL","07","NULL","NULL","befolkningen_ellers","1","personer","2347"
"sosialhjelp","2013","NULL","07","NULL","NULL","befolkningen_ellers","1","prosent","2.87"
"sosialhjelp","2013","NULL","07","NULL","NULL","befolkningen_ellers","0","personer","1867"
"sosialhjelp","2013","NULL","07","NULL","NULL","befolkningen_ellers","0","prosent","2.19"
"sosialhjelp","2013","NULL","07","NULL","NULL","innvandrere","alle","personer","1712"
"sosialhjelp","2013","NULL","07","NULL","NULL","innvandrere","alle","prosent","7.76"
"sosialhjelp","2013","NULL","07","NULL","NULL","innvandrere","1","personer","948"
"sosialhjelp","2013","NULL","07","NULL","NULL","innvandrere","1","prosent","8.52"
"sosialhjelp","2013","NULL","07","NULL","NULL","innvandrere","0","personer","764"
"sosialhjelp","2013","NULL","07","NULL","NULL","innvandrere","0","prosent","6.98"
"sosialhjelp","2013","NULL","08","NULL","NULL","alle","alle","personer","5043"
"sosialhjelp","2013","NULL","08","NULL","NULL","alle","alle","prosent","3.71"
"sosialhjelp","2013","NULL","08","NULL","NULL","alle","1","personer","2952"
"sosialhjelp","2013","NULL","08","NULL","NULL","alle","1","prosent","4.39"
"sosialhjelp","2013","NULL","08","NULL","NULL","alle","0","personer","2091"
"sosialhjelp","2013","NULL","08","NULL","NULL","alle","0","prosent","3.04"
"sosialhjelp","2013","NULL","08","NULL","NULL","befolkningen_ellers","alle","personer","3370"
"sosialhjelp","2013","NULL","08","NULL","NULL","befolkningen_ellers","alle","prosent","2.76"
"sosialhjelp","2013","NULL","08","NULL","NULL","befolkningen_ellers","1","personer","1939"
"sosialhjelp","2013","NULL","08","NULL","NULL","befolkningen_ellers","1","prosent","3.22"
"sosialhjelp","2013","NULL","08","NULL","NULL","befolkningen_ellers","0","personer","1431"
"sosialhjelp","2013","NULL","08","NULL","NULL","befolkningen_ellers","0","prosent","2.31"
"sosialhjelp","2013","NULL","08","NULL","NULL","innvandrere","alle","personer","1673"
"sosialhjelp","2013","NULL","08","NULL","NULL","innvandrere","alle","prosent","11.96"
"sosialhjelp","2013","NULL","08","NULL","NULL","innvandrere","1","personer","1013"
"sosialhjelp","2013","NULL","08","NULL","NULL","innvandrere","1","prosent","14.34"
"sosialhjelp","2013","NULL","08","NULL","NULL","innvandrere","0","personer","660"
"sosialhjelp","2013","NULL","08","NULL","NULL","innvandrere","0","prosent","9.54"
"sosialhjelp","2013","NULL","09","NULL","NULL","alle","alle","personer","3199"
"sosialhjelp","2013","NULL","09","NULL","NULL","alle","alle","prosent","3.64"
"sosialhjelp","2013","NULL","09","NULL","NULL","alle","1","personer","1770"
"sosialhjelp","2013","NULL","09","NULL","NULL","alle","1","prosent","4.04"
"sosialhjelp","2013","NULL","09","NULL","NULL","alle","0","personer","1429"
"sosialhjelp","2013","NULL","09","NULL","NULL","alle","0","prosent","3.25"
"sosialhjelp","2013","NULL","09","NULL","NULL","befolkningen_ellers","alle","personer","2291"
"sosialhjelp","2013","NULL","09","NULL","NULL","befolkningen_ellers","alle","prosent","2.92"
"sosialhjelp","2013","NULL","09","NULL","NULL","befolkningen_ellers","1","personer","1275"
"sosialhjelp","2013","NULL","09","NULL","NULL","befolkningen_ellers","1","prosent","3.27"
"sosialhjelp","2013","NULL","09","NULL","NULL","befolkningen_ellers","0","personer","1016"
"sosialhjelp","2013","NULL","09","NULL","NULL","befolkningen_ellers","0","prosent","2.58"
"sosialhjelp","2013","NULL","09","NULL","NULL","innvandrere","alle","personer","908"
"sosialhjelp","2013","NULL","09","NULL","NULL","innvandrere","alle","prosent","9.66"
"sosialhjelp","2013","NULL","09","NULL","NULL","innvandrere","1","personer","495"
"sosialhjelp","2013","NULL","09","NULL","NULL","innvandrere","1","prosent","10.30"
"sosialhjelp","2013","NULL","09","NULL","NULL","innvandrere","0","personer","413"
"sosialhjelp","2013","NULL","09","NULL","NULL","innvandrere","0","prosent","8.99"
"sosialhjelp","2013","NULL","10","NULL","NULL","alle","alle","personer","3983"
"sosialhjelp","2013","NULL","10","NULL","NULL","alle","alle","prosent","2.92"
"sosialhjelp","2013","NULL","10","NULL","NULL","alle","1","personer","2208"
"sosialhjelp","2013","NULL","10","NULL","NULL","alle","1","prosent","3.25"
"sosialhjelp","2013","NULL","10","NULL","NULL","alle","0","personer","1775"
"sosialhjelp","2013","NULL","10","NULL","NULL","alle","0","prosent","2.60"
"sosialhjelp","2013","NULL","10","NULL","NULL","befolkningen_ellers","alle","personer","2418"
"sosialhjelp","2013","NULL","10","NULL","NULL","befolkningen_ellers","alle","prosent","2.03"
"sosialhjelp","2013","NULL","10","NULL","NULL","befolkningen_ellers","1","personer","1324"
"sosialhjelp","2013","NULL","10","NULL","NULL","befolkningen_ellers","1","prosent","2.24"
"sosialhjelp","2013","NULL","10","NULL","NULL","befolkningen_ellers","0","personer","1094"
"sosialhjelp","2013","NULL","10","NULL","NULL","befolkningen_ellers","0","prosent","1.82"
"sosialhjelp","2013","NULL","10","NULL","NULL","innvandrere","alle","personer","1565"
"sosialhjelp","2013","NULL","10","NULL","NULL","innvandrere","alle","prosent","9.18"
"sosialhjelp","2013","NULL","10","NULL","NULL","innvandrere","1","personer","884"
"sosialhjelp","2013","NULL","10","NULL","NULL","innvandrere","1","prosent","10.10"
"sosialhjelp","2013","NULL","10","NULL","NULL","innvandrere","0","personer","681"
"sosialhjelp","2013","NULL","10","NULL","NULL","innvandrere","0","prosent","8.21"
"sosialhjelp","2013","NULL","11","NULL","NULL","alle","alle","personer","8914"
"sosialhjelp","2013","NULL","11","NULL","NULL","alle","alle","prosent","2.57"
"sosialhjelp","2013","NULL","11","NULL","NULL","alle","1","personer","4942"
"sosialhjelp","2013","NULL","11","NULL","NULL","alle","1","prosent","2.80"
"sosialhjelp","2013","NULL","11","NULL","NULL","alle","0","personer","3972"
"sosialhjelp","2013","NULL","11","NULL","NULL","alle","0","prosent","2.32"
"sosialhjelp","2013","NULL","11","NULL","NULL","befolkningen_ellers","alle","personer","5728"
"sosialhjelp","2013","NULL","11","NULL","NULL","befolkningen_ellers","alle","prosent","1.96"
"sosialhjelp","2013","NULL","11","NULL","NULL","befolkningen_ellers","1","personer","3153"
"sosialhjelp","2013","NULL","11","NULL","NULL","befolkningen_ellers","1","prosent","2.16"
"sosialhjelp","2013","NULL","11","NULL","NULL","befolkningen_ellers","0","personer","2575"
"sosialhjelp","2013","NULL","11","NULL","NULL","befolkningen_ellers","0","prosent","1.76"
"sosialhjelp","2013","NULL","11","NULL","NULL","innvandrere","alle","personer","3186"
"sosialhjelp","2013","NULL","11","NULL","NULL","innvandrere","alle","prosent","5.80"
"sosialhjelp","2013","NULL","11","NULL","NULL","innvandrere","1","personer","1789"
"sosialhjelp","2013","NULL","11","NULL","NULL","innvandrere","1","prosent","5.93"
"sosialhjelp","2013","NULL","11","NULL","NULL","innvandrere","0","personer","1397"
"sosialhjelp","2013","NULL","11","NULL","NULL","innvandrere","0","prosent","5.63"
"sosialhjelp","2013","NULL","12","NULL","NULL","alle","alle","personer","10767"
"sosialhjelp","2013","NULL","12","NULL","NULL","alle","alle","prosent","2.76"
"sosialhjelp","2013","NULL","12","NULL","NULL","alle","1","personer","6136"
"sosialhjelp","2013","NULL","12","NULL","NULL","alle","1","prosent","3.12"
"sosialhjelp","2013","NULL","12","NULL","NULL","alle","0","personer","4631"
"sosialhjelp","2013","NULL","12","NULL","NULL","alle","0","prosent","2.39"
"sosialhjelp","2013","NULL","12","NULL","NULL","befolkningen_ellers","alle","personer","7521"
"sosialhjelp","2013","NULL","12","NULL","NULL","befolkningen_ellers","alle","prosent","2.20"
"sosialhjelp","2013","NULL","12","NULL","NULL","befolkningen_ellers","1","personer","4363"
"sosialhjelp","2013","NULL","12","NULL","NULL","befolkningen_ellers","1","prosent","2.56"
"sosialhjelp","2013","NULL","12","NULL","NULL","befolkningen_ellers","0","personer","3158"
"sosialhjelp","2013","NULL","12","NULL","NULL","befolkningen_ellers","0","prosent","1.84"
"sosialhjelp","2013","NULL","12","NULL","NULL","innvandrere","alle","personer","3246"
"sosialhjelp","2013","NULL","12","NULL","NULL","innvandrere","alle","prosent","6.64"
"sosialhjelp","2013","NULL","12","NULL","NULL","innvandrere","1","personer","1773"
"sosialhjelp","2013","NULL","12","NULL","NULL","innvandrere","1","prosent","6.65"
"sosialhjelp","2013","NULL","12","NULL","NULL","innvandrere","0","personer","1473"
"sosialhjelp","2013","NULL","12","NULL","NULL","innvandrere","0","prosent","6.62"
"sosialhjelp","2013","NULL","14","NULL","NULL","alle","alle","personer","1944"
"sosialhjelp","2013","NULL","14","NULL","NULL","alle","alle","prosent","2.31"
"sosialhjelp","2013","NULL","14","NULL","NULL","alle","1","personer","1059"
"sosialhjelp","2013","NULL","14","NULL","NULL","alle","1","prosent","2.49"
"sosialhjelp","2013","NULL","14","NULL","NULL","alle","0","personer","885"
"sosialhjelp","2013","NULL","14","NULL","NULL","alle","0","prosent","2.13"
"sosialhjelp","2013","NULL","14","NULL","NULL","befolkningen_ellers","alle","personer","1394"
"sosialhjelp","2013","NULL","14","NULL","NULL","befolkningen_ellers","alle","prosent","1.83"
"sosialhjelp","2013","NULL","14","NULL","NULL","befolkningen_ellers","1","personer","768"
"sosialhjelp","2013","NULL","14","NULL","NULL","befolkningen_ellers","1","prosent","2.01"
"sosialhjelp","2013","NULL","14","NULL","NULL","befolkningen_ellers","0","personer","626"
"sosialhjelp","2013","NULL","14","NULL","NULL","befolkningen_ellers","0","prosent","1.66"
"sosialhjelp","2013","NULL","14","NULL","NULL","innvandrere","alle","personer","550"
"sosialhjelp","2013","NULL","14","NULL","NULL","innvandrere","alle","prosent","6.84"
"sosialhjelp","2013","NULL","14","NULL","NULL","innvandrere","1","personer","291"
"sosialhjelp","2013","NULL","14","NULL","NULL","innvandrere","1","prosent","6.70"
"sosialhjelp","2013","NULL","14","NULL","NULL","innvandrere","0","personer","259"
"sosialhjelp","2013","NULL","14","NULL","NULL","innvandrere","0","prosent","7.00"
"sosialhjelp","2013","NULL","15","NULL","NULL","alle","alle","personer","4475"
"sosialhjelp","2013","NULL","15","NULL","NULL","alle","alle","prosent","2.20"
"sosialhjelp","2013","NULL","15","NULL","NULL","alle","1","personer","2407"
"sosialhjelp","2013","NULL","15","NULL","NULL","alle","1","prosent","2.33"
"sosialhjelp","2013","NULL","15","NULL","NULL","alle","0","personer","2068"
"sosialhjelp","2013","NULL","15","NULL","NULL","alle","0","prosent","2.07"
"sosialhjelp","2013","NULL","15","NULL","NULL","befolkningen_ellers","alle","personer","3225"
"sosialhjelp","2013","NULL","15","NULL","NULL","befolkningen_ellers","alle","prosent","1.77"
"sosialhjelp","2013","NULL","15","NULL","NULL","befolkningen_ellers","1","personer","1748"
"sosialhjelp","2013","NULL","15","NULL","NULL","befolkningen_ellers","1","prosent","1.91"
"sosialhjelp","2013","NULL","15","NULL","NULL","befolkningen_ellers","0","personer","1477"
"sosialhjelp","2013","NULL","15","NULL","NULL","befolkningen_ellers","0","prosent","1.64"
"sosialhjelp","2013","NULL","15","NULL","NULL","innvandrere","alle","personer","1250"
"sosialhjelp","2013","NULL","15","NULL","NULL","innvandrere","alle","prosent","5.81"
"sosialhjelp","2013","NULL","15","NULL","NULL","innvandrere","1","personer","659"
"sosialhjelp","2013","NULL","15","NULL","NULL","innvandrere","1","prosent","5.67"
"sosialhjelp","2013","NULL","15","NULL","NULL","innvandrere","0","personer","591"
"sosialhjelp","2013","NULL","15","NULL","NULL","innvandrere","0","prosent","5.97"
"sosialhjelp","2013","NULL","16","NULL","NULL","alle","alle","personer","6174"
"sosialhjelp","2013","NULL","16","NULL","NULL","alle","alle","prosent","2.57"
"sosialhjelp","2013","NULL","16","NULL","NULL","alle","1","personer","3409"
"sosialhjelp","2013","NULL","16","NULL","NULL","alle","1","prosent","2.82"
"sosialhjelp","2013","NULL","16","NULL","NULL","alle","0","personer","2765"
"sosialhjelp","2013","NULL","16","NULL","NULL","alle","0","prosent","2.32"
"sosialhjelp","2013","NULL","16","NULL","NULL","befolkningen_ellers","alle","personer","4247"
"sosialhjelp","2013","NULL","16","NULL","NULL","befolkningen_ellers","alle","prosent","1.98"
"sosialhjelp","2013","NULL","16","NULL","NULL","befolkningen_ellers","1","personer","2327"
"sosialhjelp","2013","NULL","16","NULL","NULL","befolkningen_ellers","1","prosent","2.17"
"sosialhjelp","2013","NULL","16","NULL","NULL","befolkningen_ellers","0","personer","1920"
"sosialhjelp","2013","NULL","16","NULL","NULL","befolkningen_ellers","0","prosent","1.79"
"sosialhjelp","2013","NULL","16","NULL","NULL","innvandrere","alle","personer","1927"
"sosialhjelp","2013","NULL","16","NULL","NULL","innvandrere","alle","prosent","7.49"
"sosialhjelp","2013","NULL","16","NULL","NULL","innvandrere","1","personer","1082"
"sosialhjelp","2013","NULL","16","NULL","NULL","innvandrere","1","prosent","7.79"
"sosialhjelp","2013","NULL","16","NULL","NULL","innvandrere","0","personer","845"
"sosialhjelp","2013","NULL","16","NULL","NULL","innvandrere","0","prosent","7.13"
"sosialhjelp","2013","NULL","17","NULL","NULL","alle","alle","personer","2820"
"sosialhjelp","2013","NULL","17","NULL","NULL","alle","alle","prosent","2.70"
"sosialhjelp","2013","NULL","17","NULL","NULL","alle","1","personer","1446"
"sosialhjelp","2013","NULL","17","NULL","NULL","alle","1","prosent","2.77"
"sosialhjelp","2013","NULL","17","NULL","NULL","alle","0","personer","1374"
"sosialhjelp","2013","NULL","17","NULL","NULL","alle","0","prosent","2.63"
"sosialhjelp","2013","NULL","17","NULL","NULL","befolkningen_ellers","alle","personer","2164"
"sosialhjelp","2013","NULL","17","NULL","NULL","befolkningen_ellers","alle","prosent","2.22"
"sosialhjelp","2013","NULL","17","NULL","NULL","befolkningen_ellers","1","personer","1113"
"sosialhjelp","2013","NULL","17","NULL","NULL","befolkningen_ellers","1","prosent","2.29"
"sosialhjelp","2013","NULL","17","NULL","NULL","befolkningen_ellers","0","personer","1051"
"sosialhjelp","2013","NULL","17","NULL","NULL","befolkningen_ellers","0","prosent","2.15"
"sosialhjelp","2013","NULL","17","NULL","NULL","innvandrere","alle","personer","656"
"sosialhjelp","2013","NULL","17","NULL","NULL","innvandrere","alle","prosent","9.19"
"sosialhjelp","2013","NULL","17","NULL","NULL","innvandrere","1","personer","333"
"sosialhjelp","2013","NULL","17","NULL","NULL","innvandrere","1","prosent","8.90"
"sosialhjelp","2013","NULL","17","NULL","NULL","innvandrere","0","personer","323"
"sosialhjelp","2013","NULL","17","NULL","NULL","innvandrere","0","prosent","9.50"
"sosialhjelp","2013","NULL","18","NULL","NULL","alle","alle","personer","6435"
"sosialhjelp","2013","NULL","18","NULL","NULL","alle","alle","prosent","3.39"
"sosialhjelp","2013","NULL","18","NULL","NULL","alle","1","personer","3555"
"sosialhjelp","2013","NULL","18","NULL","NULL","alle","1","prosent","3.73"
"sosialhjelp","2013","NULL","18","NULL","NULL","alle","0","personer","2880"
"sosialhjelp","2013","NULL","18","NULL","NULL","alle","0","prosent","3.05"
"sosialhjelp","2013","NULL","18","NULL","NULL","befolkningen_ellers","alle","personer","4858"
"sosialhjelp","2013","NULL","18","NULL","NULL","befolkningen_ellers","alle","prosent","2.78"
"sosialhjelp","2013","NULL","18","NULL","NULL","befolkningen_ellers","1","personer","2679"
"sosialhjelp","2013","NULL","18","NULL","NULL","befolkningen_ellers","1","prosent","3.06"
"sosialhjelp","2013","NULL","18","NULL","NULL","befolkningen_ellers","0","personer","2179"
"sosialhjelp","2013","NULL","18","NULL","NULL","befolkningen_ellers","0","prosent","2.50"
"sosialhjelp","2013","NULL","18","NULL","NULL","innvandrere","alle","personer","1577"
"sosialhjelp","2013","NULL","18","NULL","NULL","innvandrere","alle","prosent","10.50"
"sosialhjelp","2013","NULL","18","NULL","NULL","innvandrere","1","personer","876"
"sosialhjelp","2013","NULL","18","NULL","NULL","innvandrere","1","prosent","11.37"
"sosialhjelp","2013","NULL","18","NULL","NULL","innvandrere","0","personer","701"
"sosialhjelp","2013","NULL","18","NULL","NULL","innvandrere","0","prosent","9.57"
"sosialhjelp","2013","NULL","19","NULL","NULL","alle","alle","personer","3511"
