"fylke_nr","provetype","enhet","aar","tabell_navn","spraaknivaa","tabellvariabel"
"17","lese","personer","2015","norsk_prover","a1","51"
"17","lese","prosent","2015","norsk_prover","a1","25"
"17","lytting","personer","2015","norsk_prover","a1","37"
"17","lytting","prosent","2015","norsk_prover","a1","18"
"17","muntlig","personer","2015","norsk_prover","a1","24"
"17","muntlig","prosent","2015","norsk_prover","a1","12"
"17","skriftlig","personer","2015","norsk_prover","a1","71"
"17","skriftlig","prosent","2015","norsk_prover","a1","33"
"18","lese","personer","2015","norsk_prover","a1","79"
"18","lese","prosent","2015","norsk_prover","a1","22"
"18","lytting","personer","2015","norsk_prover","a1","62"
"18","lytting","prosent","2015","norsk_prover","a1","17"
"18","muntlig","personer","2015","norsk_prover","a1","51"
"18","muntlig","prosent","2015","norsk_prover","a1","16"
"18","skriftlig","personer","2015","norsk_prover","a1","118"
"18","skriftlig","prosent","2015","norsk_prover","a1","31"
"19","lese","personer","2015","norsk_prover","a1","64"
"19","lese","prosent","2015","norsk_prover","a1","20"
"19","lytting","personer","2015","norsk_prover","a1","38"
"19","lytting","prosent","2015","norsk_prover","a1","12"
"19","muntlig","personer","2015","norsk_prover","a1","51"
"19","muntlig","prosent","2015","norsk_prover","a1","16"
"19","skriftlig","personer","2015","norsk_prover","a1","114"
"19","skriftlig","prosent","2015","norsk_prover","a1","34"
"20","lese","personer","2015","norsk_prover","a1","33"
"20","lese","prosent","2015","norsk_prover","a1","20"
"20","lytting","personer","2015","norsk_prover","a1","24"
"20","lytting","prosent","2015","norsk_prover","a1","14"
"20","muntlig","personer","2015","norsk_prover","a1","15"
"20","muntlig","prosent","2015","norsk_prover","a1","9"
"20","skriftlig","personer","2015","norsk_prover","a1","52"
"20","skriftlig","prosent","2015","norsk_prover","a1","27"
"00","lese","personer","2015","norsk_prover","a2","1848"
"00","lese","prosent","2015","norsk_prover","a2","23"
"00","lytting","personer","2015","norsk_prover","a2","2510"
"00","lytting","prosent","2015","norsk_prover","a2","31"
"00","muntlig","personer","2015","norsk_prover","a2","3985"
"00","muntlig","prosent","2015","norsk_prover","a2","50"
"00","skriftlig","personer","2015","norsk_prover","a2","4473"
"00","skriftlig","prosent","2015","norsk_prover","a2","50"
"01","lese","personer","2015","norsk_prover","a2","54"
"01","lese","prosent","2015","norsk_prover","a2","23"
"01","lytting","personer","2015","norsk_prover","a2","70"
"01","lytting","prosent","2015","norsk_prover","a2","30"
"01","muntlig","personer","2015","norsk_prover","a2","110"
"01","muntlig","prosent","2015","norsk_prover","a2","47"
"01","skriftlig","personer","2015","norsk_prover","a2","119"
"01","skriftlig","prosent","2015","norsk_prover","a2","46"
"02","lese","personer","2015","norsk_prover","a2","226"
"02","lese","prosent","2015","norsk_prover","a2","20"
"02","lytting","personer","2015","norsk_prover","a2","298"
"02","lytting","prosent","2015","norsk_prover","a2","26"
"02","muntlig","personer","2015","norsk_prover","a2","520"
"02","muntlig","prosent","2015","norsk_prover","a2","49"
"02","skriftlig","personer","2015","norsk_prover","a2","679"
"02","skriftlig","prosent","2015","norsk_prover","a2","53"
"03","lese","personer","2015","norsk_prover","a2","303"
"03","lese","prosent","2015","norsk_prover","a2","20"
"03","lytting","personer","2015","norsk_prover","a2","418"
"03","lytting","prosent","2015","norsk_prover","a2","27"
"03","muntlig","personer","2015","norsk_prover","a2","780"
"03","muntlig","prosent","2015","norsk_prover","a2","50"
"03","skriftlig","personer","2015","norsk_prover","a2","960"
"03","skriftlig","prosent","2015","norsk_prover","a2","53"
"04","lese","personer","2015","norsk_prover","a2","46"
"04","lese","prosent","2015","norsk_prover","a2","23"
"04","lytting","personer","2015","norsk_prover","a2","56"
"04","lytting","prosent","2015","norsk_prover","a2","29"
"04","muntlig","personer","2015","norsk_prover","a2","89"
"04","muntlig","prosent","2015","norsk_prover","a2","46"
"04","skriftlig","personer","2015","norsk_prover","a2","95"
"04","skriftlig","prosent","2015","norsk_prover","a2","44"
"05","lese","personer","2015","norsk_prover","a2","71"
"05","lese","prosent","2015","norsk_prover","a2","28"
"05","lytting","personer","2015","norsk_prover","a2","98"
"05","lytting","prosent","2015","norsk_prover","a2","38"
"05","muntlig","personer","2015","norsk_prover","a2","141"
"05","muntlig","prosent","2015","norsk_prover","a2","53"
"05","skriftlig","personer","2015","norsk_prover","a2","150"
"05","skriftlig","prosent","2015","norsk_prover","a2","50"
"06","lese","personer","2015","norsk_prover","a2","96"
"06","lese","prosent","2015","norsk_prover","a2","24"
"06","lytting","personer","2015","norsk_prover","a2","112"
"06","lytting","prosent","2015","norsk_prover","a2","28"
"06","muntlig","personer","2015","norsk_prover","a2","162"
"06","muntlig","prosent","2015","norsk_prover","a2","40"
"06","skriftlig","personer","2015","norsk_prover","a2","206"
"06","skriftlig","prosent","2015","norsk_prover","a2","46"
"07","lese","personer","2015","norsk_prover","a2","42"
"07","lese","prosent","2015","norsk_prover","a2","21"
"07","lytting","personer","2015","norsk_prover","a2","50"
"07","lytting","prosent","2015","norsk_prover","a2","25"
"07","muntlig","personer","2015","norsk_prover","a2","73"
"07","muntlig","prosent","2015","norsk_prover","a2","39"
"07","skriftlig","personer","2015","norsk_prover","a2","92"
"07","skriftlig","prosent","2015","norsk_prover","a2","42"
"08","lese","personer","2015","norsk_prover","a2","98"
"08","lese","prosent","2015","norsk_prover","a2","34"
"08","lytting","personer","2015","norsk_prover","a2","108"
"08","lytting","prosent","2015","norsk_prover","a2","37"
"08","muntlig","personer","2015","norsk_prover","a2","173"
"08","muntlig","prosent","2015","norsk_prover","a2","61"
"08","skriftlig","personer","2015","norsk_prover","a2","157"
"08","skriftlig","prosent","2015","norsk_prover","a2","50"
"09","lese","personer","2015","norsk_prover","a2","42"
"09","lese","prosent","2015","norsk_prover","a2","26"
"09","lytting","personer","2015","norsk_prover","a2","52"
"09","lytting","prosent","2015","norsk_prover","a2","33"
"09","muntlig","personer","2015","norsk_prover","a2","99"
"09","muntlig","prosent","2015","norsk_prover","a2","59"
"09","skriftlig","personer","2015","norsk_prover","a2","98"
"09","skriftlig","prosent","2015","norsk_prover","a2","55"
"10","lese","personer","2015","norsk_prover","a2","73"
"10","lese","prosent","2015","norsk_prover","a2","27"
"10","lytting","personer","2015","norsk_prover","a2","95"
"10","lytting","prosent","2015","norsk_prover","a2","35"
"10","muntlig","personer","2015","norsk_prover","a2","155"
"10","muntlig","prosent","2015","norsk_prover","a2","59"
"10","skriftlig","personer","2015","norsk_prover","a2","132"
"10","skriftlig","prosent","2015","norsk_prover","a2","48"
"11","lese","personer","2015","norsk_prover","a2","162"
"11","lese","prosent","2015","norsk_prover","a2","20"
"11","lytting","personer","2015","norsk_prover","a2","232"
"11","lytting","prosent","2015","norsk_prover","a2","29"
"11","muntlig","personer","2015","norsk_prover","a2","374"
"11","muntlig","prosent","2015","norsk_prover","a2","46"
"11","skriftlig","personer","2015","norsk_prover","a2","423"
"11","skriftlig","prosent","2015","norsk_prover","a2","49"
"12","lese","personer","2015","norsk_prover","a2","176"
"12","lese","prosent","2015","norsk_prover","a2","26"
"12","lytting","personer","2015","norsk_prover","a2","205"
"12","lytting","prosent","2015","norsk_prover","a2","30"
"12","muntlig","personer","2015","norsk_prover","a2","376"
"12","muntlig","prosent","2015","norsk_prover","a2","54"
"12","skriftlig","personer","2015","norsk_prover","a2","367"
"12","skriftlig","prosent","2015","norsk_prover","a2","49"
"14","lese","personer","2015","norsk_prover","a2","41"
"14","lese","prosent","2015","norsk_prover","a2","28"
"14","lytting","personer","2015","norsk_prover","a2","63"
"14","lytting","prosent","2015","norsk_prover","a2","44"
"14","muntlig","personer","2015","norsk_prover","a2","54"
"14","muntlig","prosent","2015","norsk_prover","a2","36"
"14","skriftlig","personer","2015","norsk_prover","a2","73"
"14","skriftlig","prosent","2015","norsk_prover","a2","48"
"15","lese","personer","2015","norsk_prover","a2","97"
"15","lese","prosent","2015","norsk_prover","a2","29"
"15","lytting","personer","2015","norsk_prover","a2","119"
"15","lytting","prosent","2015","norsk_prover","a2","35"
"15","muntlig","personer","2015","norsk_prover","a2","185"
"15","muntlig","prosent","2015","norsk_prover","a2","55"
"15","skriftlig","personer","2015","norsk_prover","a2","187"
"15","skriftlig","prosent","2015","norsk_prover","a2","51"
"16","lese","personer","2015","norsk_prover","a2","100"
"16","lese","prosent","2015","norsk_prover","a2","27"
"16","lytting","personer","2015","norsk_prover","a2","138"
"16","lytting","prosent","2015","norsk_prover","a2","37"
"16","muntlig","personer","2015","norsk_prover","a2","204"
"16","muntlig","prosent","2015","norsk_prover","a2","58"
"16","skriftlig","personer","2015","norsk_prover","a2","191"
"16","skriftlig","prosent","2015","norsk_prover","a2","49"
"17","lese","personer","2015","norsk_prover","a2","47"
"17","lese","prosent","2015","norsk_prover","a2","23"
"17","lytting","personer","2015","norsk_prover","a2","72"
"17","lytting","prosent","2015","norsk_prover","a2","35"
"17","muntlig","personer","2015","norsk_prover","a2","95"
"17","muntlig","prosent","2015","norsk_prover","a2","47"
"17","skriftlig","personer","2015","norsk_prover","a2","90"
"17","skriftlig","prosent","2015","norsk_prover","a2","42"
"18","lese","personer","2015","norsk_prover","a2","76"
"18","lese","prosent","2015","norsk_prover","a2","21"
"18","lytting","personer","2015","norsk_prover","a2","119"
"18","lytting","prosent","2015","norsk_prover","a2","33"
"18","muntlig","personer","2015","norsk_prover","a2","154"
"18","muntlig","prosent","2015","norsk_prover","a2","48"
"18","skriftlig","personer","2015","norsk_prover","a2","160"
"18","skriftlig","prosent","2015","norsk_prover","a2","42"
"19","lese","personer","2015","norsk_prover","a2","89"
"19","lese","prosent","2015","norsk_prover","a2","28"
"19","lytting","personer","2015","norsk_prover","a2","120"
"19","lytting","prosent","2015","norsk_prover","a2","38"
"19","muntlig","personer","2015","norsk_prover","a2","183"
"19","muntlig","prosent","2015","norsk_prover","a2","58"
"19","skriftlig","personer","2015","norsk_prover","a2","164"
"19","skriftlig","prosent","2015","norsk_prover","a2","49"
"20","lese","personer","2015","norsk_prover","a2","46"
"20","lese","prosent","2015","norsk_prover","a2","28"
"20","lytting","personer","2015","norsk_prover","a2","58"
"20","lytting","prosent","2015","norsk_prover","a2","34"
"20","muntlig","personer","2015","norsk_prover","a2","87"
"20","muntlig","prosent","2015","norsk_prover","a2","54"
"20","skriftlig","personer","2015","norsk_prover","a2","92"
"20","skriftlig","prosent","2015","norsk_prover","a2","48"
"00","lese","personer","2015","norsk_prover","alle","8034"
"00","lese","prosent","2015","norsk_prover","alle","."
"00","lytting","personer","2015","norsk_prover","alle","8097"
"00","lytting","prosent","2015","norsk_prover","alle","."
"00","muntlig","personer","2015","norsk_prover","alle","7970"
"00","muntlig","prosent","2015","norsk_prover","alle","."
"00","skriftlig","personer","2015","norsk_prover","alle","8946"
"00","skriftlig","prosent","2015","norsk_prover","alle","."
"01","lese","personer","2015","norsk_prover","alle","234"
"01","lese","prosent","2015","norsk_prover","alle","."
"01","lytting","personer","2015","norsk_prover","alle","232"
"01","lytting","prosent","2015","norsk_prover","alle","."
"01","muntlig","personer","2015","norsk_prover","alle","234"
"01","muntlig","prosent","2015","norsk_prover","alle","."
"01","skriftlig","personer","2015","norsk_prover","alle","259"
"01","skriftlig","prosent","2015","norsk_prover","alle","."
"02","lese","personer","2015","norsk_prover","alle","1129"
"02","lese","prosent","2015","norsk_prover","alle","."
"02","lytting","personer","2015","norsk_prover","alle","1148"
"02","lytting","prosent","2015","norsk_prover","alle","."
"02","muntlig","personer","2015","norsk_prover","alle","1062"
"02","muntlig","prosent","2015","norsk_prover","alle","."
"02","skriftlig","personer","2015","norsk_prover","alle","1281"
"02","skriftlig","prosent","2015","norsk_prover","alle","."
"03","lese","personer","2015","norsk_prover","alle","1516"
"03","lese","prosent","2015","norsk_prover","alle","."
"03","lytting","personer","2015","norsk_prover","alle","1549"
"03","lytting","prosent","2015","norsk_prover","alle","."
"03","muntlig","personer","2015","norsk_prover","alle","1559"
"03","muntlig","prosent","2015","norsk_prover","alle","."
"03","skriftlig","personer","2015","norsk_prover","alle","1812"
"03","skriftlig","prosent","2015","norsk_prover","alle","."
"04","lese","personer","2015","norsk_prover","alle","198"
"04","lese","prosent","2015","norsk_prover","alle","."
"04","lytting","personer","2015","norsk_prover","alle","193"
"04","lytting","prosent","2015","norsk_prover","alle","."
"04","muntlig","personer","2015","norsk_prover","alle","193"
"04","muntlig","prosent","2015","norsk_prover","alle","."
"04","skriftlig","personer","2015","norsk_prover","alle","216"
"04","skriftlig","prosent","2015","norsk_prover","alle","."
"05","lese","personer","2015","norsk_prover","alle","254"
"05","lese","prosent","2015","norsk_prover","alle","."
"05","lytting","personer","2015","norsk_prover","alle","259"
"05","lytting","prosent","2015","norsk_prover","alle","."
"05","muntlig","personer","2015","norsk_prover","alle","266"
"05","muntlig","prosent","2015","norsk_prover","alle","."
"05","skriftlig","personer","2015","norsk_prover","alle","299"
"05","skriftlig","prosent","2015","norsk_prover","alle","."
"06","lese","personer","2015","norsk_prover","alle","400"
"06","lese","prosent","2015","norsk_prover","alle","."
"06","lytting","personer","2015","norsk_prover","alle","400"
"06","lytting","prosent","2015","norsk_prover","alle","."
"06","muntlig","personer","2015","norsk_prover","alle","406"
"06","muntlig","prosent","2015","norsk_prover","alle","."
"06","skriftlig","personer","2015","norsk_prover","alle","448"
"06","skriftlig","prosent","2015","norsk_prover","alle","."
"07","lese","personer","2015","norsk_prover","alle","198"
"07","lese","prosent","2015","norsk_prover","alle","."
"07","lytting","personer","2015","norsk_prover","alle","201"
"07","lytting","prosent","2015","norsk_prover","alle","."
"07","muntlig","personer","2015","norsk_prover","alle","188"
"07","muntlig","prosent","2015","norsk_prover","alle","."
"07","skriftlig","personer","2015","norsk_prover","alle","219"
"07","skriftlig","prosent","2015","norsk_prover","alle","."
"08","lese","personer","2015","norsk_prover","alle","288"
"08","lese","prosent","2015","norsk_prover","alle","."
"08","lytting","personer","2015","norsk_prover","alle","293"
"08","lytting","prosent","2015","norsk_prover","alle","."
"08","muntlig","personer","2015","norsk_prover","alle","283"
"08","muntlig","prosent","2015","norsk_prover","alle","."
"08","skriftlig","personer","2015","norsk_prover","alle","314"
"08","skriftlig","prosent","2015","norsk_prover","alle","."
"09","lese","personer","2015","norsk_prover","alle","162"
"09","lese","prosent","2015","norsk_prover","alle","."
"09","lytting","personer","2015","norsk_prover","alle","159"
"09","lytting","prosent","2015","norsk_prover","alle","."
"09","muntlig","personer","2015","norsk_prover","alle","167"
"09","muntlig","prosent","2015","norsk_prover","alle","."
"09","skriftlig","personer","2015","norsk_prover","alle","179"
"09","skriftlig","prosent","2015","norsk_prover","alle","."
"10","lese","personer","2015","norsk_prover","alle","270"
"10","lese","prosent","2015","norsk_prover","alle","."
"10","lytting","personer","2015","norsk_prover","alle","270"
"10","lytting","prosent","2015","norsk_prover","alle","."
"10","muntlig","personer","2015","norsk_prover","alle","263"
"10","muntlig","prosent","2015","norsk_prover","alle","."
"10","skriftlig","personer","2015","norsk_prover","alle","276"
"10","skriftlig","prosent","2015","norsk_prover","alle","."
"11","lese","personer","2015","norsk_prover","alle","810"
"11","lese","prosent","2015","norsk_prover","alle","."
"11","lytting","personer","2015","norsk_prover","alle","800"
"11","lytting","prosent","2015","norsk_prover","alle","."
"11","muntlig","personer","2015","norsk_prover","alle","812"
"11","muntlig","prosent","2015","norsk_prover","alle","."
"11","skriftlig","personer","2015","norsk_prover","alle","864"
"11","skriftlig","prosent","2015","norsk_prover","alle","."
"12","lese","personer","2015","norsk_prover","alle","675"
"12","lese","prosent","2015","norsk_prover","alle","."
"12","lytting","personer","2015","norsk_prover","alle","684"
"12","lytting","prosent","2015","norsk_prover","alle","."
"12","muntlig","personer","2015","norsk_prover","alle","697"
"12","muntlig","prosent","2015","norsk_prover","alle","."
"12","skriftlig","personer","2015","norsk_prover","alle","749"
"12","skriftlig","prosent","2015","norsk_prover","alle","."
"14","lese","personer","2015","norsk_prover","alle","145"
"14","lese","prosent","2015","norsk_prover","alle","."
"14","lytting","personer","2015","norsk_prover","alle","144"
"14","lytting","prosent","2015","norsk_prover","alle","."
"14","muntlig","personer","2015","norsk_prover","alle","149"
"14","muntlig","prosent","2015","norsk_prover","alle","."
"14","skriftlig","personer","2015","norsk_prover","alle","153"
"14","skriftlig","prosent","2015","norsk_prover","alle","."
"15","lese","personer","2015","norsk_prover","alle","335"
"15","lese","prosent","2015","norsk_prover","alle","."
"15","lytting","personer","2015","norsk_prover","alle","339"
"15","lytting","prosent","2015","norsk_prover","alle","."
"15","muntlig","personer","2015","norsk_prover","alle","337"
"15","muntlig","prosent","2015","norsk_prover","alle","."
"15","skriftlig","personer","2015","norsk_prover","alle","367"
"15","skriftlig","prosent","2015","norsk_prover","alle","."
"16","lese","personer","2015","norsk_prover","alle","372"
"16","lese","prosent","2015","norsk_prover","alle","."
"16","lytting","personer","2015","norsk_prover","alle","373"
"16","lytting","prosent","2015","norsk_prover","alle","."
"16","muntlig","personer","2015","norsk_prover","alle","352"
"16","muntlig","prosent","2015","norsk_prover","alle","."
"16","skriftlig","personer","2015","norsk_prover","alle","389"
"16","skriftlig","prosent","2015","norsk_prover","alle","."
"17","lese","personer","2015","norsk_prover","alle","204"
"17","lese","prosent","2015","norsk_prover","alle","."
"17","lytting","personer","2015","norsk_prover","alle","206"
"17","lytting","prosent","2015","norsk_prover","alle","."
"17","muntlig","personer","2015","norsk_prover","alle","203"
"17","muntlig","prosent","2015","norsk_prover","alle","."
"17","skriftlig","personer","2015","norsk_prover","alle","215"
"17","skriftlig","prosent","2015","norsk_prover","alle","."
"18","lese","personer","2015","norsk_prover","alle","361"
"18","lese","prosent","2015","norsk_prover","alle","."
"18","lytting","personer","2015","norsk_prover","alle","362"
"18","lytting","prosent","2015","norsk_prover","alle","."
"18","muntlig","personer","2015","norsk_prover","alle","321"
"18","muntlig","prosent","2015","norsk_prover","alle","."
"18","skriftlig","personer","2015","norsk_prover","alle","380"
"18","skriftlig","prosent","2015","norsk_prover","alle","."
"19","lese","personer","2015","norsk_prover","alle","319"
"19","lese","prosent","2015","norsk_prover","alle","."
"19","lytting","personer","2015","norsk_prover","alle","315"
"19","lytting","prosent","2015","norsk_prover","alle","."
"19","muntlig","personer","2015","norsk_prover","alle","316"
"19","muntlig","prosent","2015","norsk_prover","alle","."
"19","skriftlig","personer","2015","norsk_prover","alle","334"
"19","skriftlig","prosent","2015","norsk_prover","alle","."
"20","lese","personer","2015","norsk_prover","alle","164"
"20","lese","prosent","2015","norsk_prover","alle","."
"20","lytting","personer","2015","norsk_prover","alle","170"
"20","lytting","prosent","2015","norsk_prover","alle","."
"20","muntlig","personer","2015","norsk_prover","alle","162"
"20","muntlig","prosent","2015","norsk_prover","alle","."
"20","skriftlig","personer","2015","norsk_prover","alle","192"
"20","skriftlig","prosent","2015","norsk_prover","alle","."
"00","lese","personer","2015","norsk_prover","b1","4820"
"00","lese","prosent","2015","norsk_prover","b1","60"
"00","lytting","personer","2015","norsk_prover","b1","4777"
"00","lytting","prosent","2015","norsk_prover","b1","59"
"00","muntlig","personer","2015","norsk_prover","b1","3188"
"00","muntlig","prosent","2015","norsk_prover","b1","40"
"00","skriftlig","personer","2015","norsk_prover","b1","2326"
"00","skriftlig","prosent","2015","norsk_prover","b1","26"
"01","lese","personer","2015","norsk_prover","b1","150"
"01","lese","prosent","2015","norsk_prover","b1","64"
"01","lytting","personer","2015","norsk_prover","b1","148"
"01","lytting","prosent","2015","norsk_prover","b1","64"
"01","muntlig","personer","2015","norsk_prover","b1","115"
"01","muntlig","prosent","2015","norsk_prover","b1","49"
"01","skriftlig","personer","2015","norsk_prover","b1","80"
"01","skriftlig","prosent","2015","norsk_prover","b1","31"
"02","lese","personer","2015","norsk_prover","b1","779"
"02","lese","prosent","2015","norsk_prover","b1","69"
"02","lytting","personer","2015","norsk_prover","b1","758"
"02","lytting","prosent","2015","norsk_prover","b1","66"
"02","muntlig","personer","2015","norsk_prover","b1","478"
"02","muntlig","prosent","2015","norsk_prover","b1","45"
"02","skriftlig","personer","2015","norsk_prover","b1","397"
"02","skriftlig","prosent","2015","norsk_prover","b1","31"
"03","lese","personer","2015","norsk_prover","b1","1061"
"03","lese","prosent","2015","norsk_prover","b1","70"
"03","lytting","personer","2015","norsk_prover","b1","1038"
"03","lytting","prosent","2015","norsk_prover","b1","67"
"03","muntlig","personer","2015","norsk_prover","b1","686"
"03","muntlig","prosent","2015","norsk_prover","b1","44"
"03","skriftlig","personer","2015","norsk_prover","b1","598"
"03","skriftlig","prosent","2015","norsk_prover","b1","33"
"04","lese","personer","2015","norsk_prover","b1","97"
"04","lese","prosent","2015","norsk_prover","b1","49"
"04","lytting","personer","2015","norsk_prover","b1","104"
"04","lytting","prosent","2015","norsk_prover","b1","54"
"04","muntlig","personer","2015","norsk_prover","b1","79"
