"aar","kommune_nr","botid_5","tabellvariabel","tabell_navn","enhet"
"2009","0938","5_9","0","sysselsatte_botid","personer"
"2009","1151","0_4","0","sysselsatte_botid","personer"
"2009","1252","5_9","0","sysselsatte_botid","personer"
"2009","1633","10+","0","sysselsatte_botid","personer"
"2009","1743","10+","0","sysselsatte_botid","personer"
"2009","1749","5_9","0","sysselsatte_botid","personer"
"2009","1839","5_9","0","sysselsatte_botid","personer"
"2009","1920","5_9","0","sysselsatte_botid","personer"
"2010","1633","10+","0","sysselsatte_botid","personer"
"2011","0436","5_9","0","sysselsatte_botid","personer"
"2011","1633","10+","0","sysselsatte_botid","personer"
"2011","1845","5_9","0","sysselsatte_botid","personer"
"2011","1852","5_9","0","sysselsatte_botid","personer"
"2012","1151","5_9","0","sysselsatte_botid","personer"
"2012","1633","10+","0","sysselsatte_botid","personer"
"2012","1740","5_9","0","sysselsatte_botid","personer"
"2012","1839","5_9","0","sysselsatte_botid","personer"
"2013","1633","5_9","0","sysselsatte_botid","personer"
"2014","1633","10+","0","sysselsatte_botid","personer"
"2006","0118","5_9","0","sysselsatte_botid","personer"
"2006","0121","0_4","0","sysselsatte_botid","personer"
"2006","0432","5_9","0","sysselsatte_botid","personer"
"2006","0632","0_4","0","sysselsatte_botid","personer"
"2006","1129","0_4","0","sysselsatte_botid","personer"
"2006","1144","5_9","0","sysselsatte_botid","personer"
"2006","1145","0_4","0","sysselsatte_botid","personer"
"2006","1145","5_9","0","sysselsatte_botid","personer"
"2006","1151","0_4","0","sysselsatte_botid","personer"
"2006","1151","10+","0","sysselsatte_botid","personer"
"2006","1151","5_9","0","sysselsatte_botid","personer"
"2006","1227","5_9","0","sysselsatte_botid","personer"
"2006","1265","0_4","0","sysselsatte_botid","personer"
"2006","1265","10+","0","sysselsatte_botid","personer"
"2006","1413","5_9","0","sysselsatte_botid","personer"
"2006","1567","10+","0","sysselsatte_botid","personer"
"2006","1633","0_4","0","sysselsatte_botid","personer"
"2006","1635","5_9","0","sysselsatte_botid","personer"
"2006","1723","0_4","0","sysselsatte_botid","personer"
"2006","1725","10+","0","sysselsatte_botid","personer"
"2006","1740","5_9","0","sysselsatte_botid","personer"
"2006","1743","10+","0","sysselsatte_botid","personer"
"2006","1749","10+","0","sysselsatte_botid","personer"
"2006","1749","5_9","0","sysselsatte_botid","personer"
"2006","1755","0_4","0","sysselsatte_botid","personer"
"2006","1815","10+","0","sysselsatte_botid","personer"
"2006","1816","5_9","0","sysselsatte_botid","personer"
"2006","1835","5_9","0","sysselsatte_botid","personer"
"2006","1836","0_4","0","sysselsatte_botid","personer"
"2006","1836","5_9","0","sysselsatte_botid","personer"
"2006","1839","5_9","0","sysselsatte_botid","personer"
"2006","1839","alle","0","sysselsatte_botid","personer"
"2006","1859","5_9","0","sysselsatte_botid","personer"
"2006","1915","0_4","0","sysselsatte_botid","personer"
"2006","1920","0_4","0","sysselsatte_botid","personer"
"2006","1929","10+","0","sysselsatte_botid","personer"
"2007","0432","5_9","0","sysselsatte_botid","personer"
"2007","0439","5_9","0","sysselsatte_botid","personer"
"2007","1144","5_9","0","sysselsatte_botid","personer"
"2007","1151","10+","0","sysselsatte_botid","personer"
"2007","1151","5_9","0","sysselsatte_botid","personer"
"2007","1252","0_4","0","sysselsatte_botid","personer"
"2007","1252","alle","0","sysselsatte_botid","personer"
"2007","1265","10+","0","sysselsatte_botid","personer"
"2007","1632","10+","0","sysselsatte_botid","personer"
"2007","1633","0_4","0","sysselsatte_botid","personer"
"2007","1665","5_9","0","sysselsatte_botid","personer"
"2007","1725","10+","0","sysselsatte_botid","personer"
"2007","1815","10+","0","sysselsatte_botid","personer"
"2007","1818","5_9","0","sysselsatte_botid","personer"
"2007","1835","10+","0","sysselsatte_botid","personer"
"2007","1836","5_9","0","sysselsatte_botid","personer"
"2007","1839","5_9","0","sysselsatte_botid","personer"
"2007","1839","alle","0","sysselsatte_botid","personer"
"2007","1845","10+","0","sysselsatte_botid","personer"
"2007","1850","5_9","0","sysselsatte_botid","personer"
"2007","1852","0_4","0","sysselsatte_botid","personer"
"2008","1111","5_9","0","sysselsatte_botid","personer"
"2008","1151","0_4","0","sysselsatte_botid","personer"
"2008","1151","5_9","0","sysselsatte_botid","personer"
"2008","1252","10+","0","sysselsatte_botid","personer"
"2008","1266","5_9","0","sysselsatte_botid","personer"
"2008","1632","10+","0","sysselsatte_botid","personer"
"2008","1723","10+","0","sysselsatte_botid","personer"
"2008","1739","5_9","0","sysselsatte_botid","personer"
"2008","1740","5_9","0","sysselsatte_botid","personer"
"2008","1836","0_4","0","sysselsatte_botid","personer"
"2008","1839","10+","0","sysselsatte_botid","personer"
"2009","0432","5_9","0","sysselsatte_botid","personer"
"2009","0513","5_9","0","sysselsatte_botid","personer"
"2009","1144","10+","0","sysselsatte_botid","personer"
"2009","1252","10+","0","sysselsatte_botid","personer"
"2009","1632","5_9","0","sysselsatte_botid","personer"
"2009","1635","5_9","0","sysselsatte_botid","personer"
"2009","1739","5_9","0","sysselsatte_botid","personer"
"2009","1740","5_9","0","sysselsatte_botid","personer"
"2009","1825","5_9","0","sysselsatte_botid","personer"
"2009","1839","10+","0","sysselsatte_botid","personer"
"2009","1853","0_4","0","sysselsatte_botid","personer"
"2009","1856","5_9","0","sysselsatte_botid","personer"
"2009","1915","0_4","0","sysselsatte_botid","personer"
"2010","0938","5_9","0","sysselsatte_botid","personer"
"2010","1145","5_9","0","sysselsatte_botid","personer"
"2010","1252","10+","0","sysselsatte_botid","personer"
"2010","1252","5_9","0","sysselsatte_botid","personer"
"2010","1444","5_9","0","sysselsatte_botid","personer"
"2010","1632","5_9","0","sysselsatte_botid","personer"
"2010","1633","0_4","0","sysselsatte_botid","personer"
"2010","1633","5_9","0","sysselsatte_botid","personer"
"2010","1739","5_9","0","sysselsatte_botid","personer"
"2010","1740","5_9","0","sysselsatte_botid","personer"
"2010","1811","5_9","0","sysselsatte_botid","personer"
"2010","1856","5_9","0","sysselsatte_botid","personer"
"2010","1920","5_9","0","sysselsatte_botid","personer"
"2011","1144","10+","0","sysselsatte_botid","personer"
"2011","1151","5_9","0","sysselsatte_botid","personer"
"2011","1252","10+","0","sysselsatte_botid","personer"
"2011","1252","5_9","0","sysselsatte_botid","personer"
"2011","1632","5_9","0","sysselsatte_botid","personer"
"2011","1811","5_9","0","sysselsatte_botid","personer"
"2011","1839","10+","0","sysselsatte_botid","personer"
"2011","1915","0_4","0","sysselsatte_botid","personer"
"2011","1920","5_9","0","sysselsatte_botid","personer"
"2011","2015","5_9","0","sysselsatte_botid","personer"
"2012","1144","10+","0","sysselsatte_botid","personer"
"2012","1252","5_9","0","sysselsatte_botid","personer"
"2012","1743","10+","0","sysselsatte_botid","personer"
"2013","1265","0_4","0","sysselsatte_botid","personer"
"2013","1633","10+","0","sysselsatte_botid","personer"
"2014","1567","5_9","0","sysselsatte_botid","personer"
"2006","0118","0_4","3","sysselsatte_botid","personer"
"2006","0436","0_4","3","sysselsatte_botid","personer"
"2006","0830","5_9","3","sysselsatte_botid","personer"
"2006","0911","5_9","3","sysselsatte_botid","personer"
"2006","0938","5_9","3","sysselsatte_botid","personer"
"2006","1026","10+","3","sysselsatte_botid","personer"
"2006","1412","10+","3","sysselsatte_botid","personer"
"2006","1511","5_9","3","sysselsatte_botid","personer"
"2006","1567","0_4","3","sysselsatte_botid","personer"
"2006","1571","5_9","3","sysselsatte_botid","personer"
"2006","1613","0_4","3","sysselsatte_botid","personer"
"2006","1613","5_9","3","sysselsatte_botid","personer"
"2006","1632","0_4","3","sysselsatte_botid","personer"
"2006","1632","5_9","3","sysselsatte_botid","personer"
"2006","1633","alle","3","sysselsatte_botid","personer"
"2006","1739","5_9","3","sysselsatte_botid","personer"
"2006","1816","0_4","3","sysselsatte_botid","personer"
"2006","1816","10+","3","sysselsatte_botid","personer"
"2006","1818","0_4","3","sysselsatte_botid","personer"
"2006","1845","5_9","3","sysselsatte_botid","personer"
"2006","1850","5_9","3","sysselsatte_botid","personer"
"2006","1852","5_9","3","sysselsatte_botid","personer"
"2006","1856","0_4","3","sysselsatte_botid","personer"
"2006","1915","5_9","3","sysselsatte_botid","personer"
"2006","1917","10+","3","sysselsatte_botid","personer"
"2006","1920","10+","3","sysselsatte_botid","personer"
"2006","1926","10+","3","sysselsatte_botid","personer"
"2007","0118","5_9","3","sysselsatte_botid","personer"
"2007","0121","0_4","3","sysselsatte_botid","personer"
"2007","1026","10+","3","sysselsatte_botid","personer"
"2007","1026","5_9","3","sysselsatte_botid","personer"
"2007","1145","0_4","3","sysselsatte_botid","personer"
"2007","1233","0_4","3","sysselsatte_botid","personer"
"2007","1412","10+","3","sysselsatte_botid","personer"
"2007","1567","10+","3","sysselsatte_botid","personer"
"2007","1633","alle","3","sysselsatte_botid","personer"
"2007","1723","5_9","3","sysselsatte_botid","personer"
"2007","1744","5_9","3","sysselsatte_botid","personer"
"2007","1811","5_9","3","sysselsatte_botid","personer"
"2007","1815","5_9","3","sysselsatte_botid","personer"
"2007","1836","0_4","3","sysselsatte_botid","personer"
"2007","1857","10+","3","sysselsatte_botid","personer"
"2007","1859","0_4","3","sysselsatte_botid","personer"
"2007","1915","0_4","3","sysselsatte_botid","personer"
"2007","1926","0_4","3","sysselsatte_botid","personer"
"2007","1926","5_9","3","sysselsatte_botid","personer"
"2007","1928","5_9","3","sysselsatte_botid","personer"
"2007","1929","5_9","3","sysselsatte_botid","personer"
"2007","1940","0_4","3","sysselsatte_botid","personer"
"2007","1943","0_4","3","sysselsatte_botid","personer"
"2007","1943","5_9","3","sysselsatte_botid","personer"
"2007","2027","0_4","3","sysselsatte_botid","personer"
"2008","0432","5_9","3","sysselsatte_botid","personer"
"2008","0434","5_9","3","sysselsatte_botid","personer"
"2008","0830","5_9","3","sysselsatte_botid","personer"
"2008","1026","5_9","3","sysselsatte_botid","personer"
"2008","1151","10+","3","sysselsatte_botid","personer"
"2008","1266","0_4","3","sysselsatte_botid","personer"
"2008","1412","5_9","3","sysselsatte_botid","personer"
"2008","1428","5_9","3","sysselsatte_botid","personer"
"2008","1567","5_9","3","sysselsatte_botid","personer"
"2008","1665","5_9","3","sysselsatte_botid","personer"
"2008","1725","10+","3","sysselsatte_botid","personer"
"2008","1739","0_4","3","sysselsatte_botid","personer"
"2008","1811","5_9","3","sysselsatte_botid","personer"
"2008","1815","10+","3","sysselsatte_botid","personer"
"2008","1816","0_4","3","sysselsatte_botid","personer"
"2008","1816","5_9","3","sysselsatte_botid","personer"
"2008","1825","5_9","3","sysselsatte_botid","personer"
"2008","1836","5_9","3","sysselsatte_botid","personer"
"2008","1839","alle","3","sysselsatte_botid","personer"
"2008","1845","10+","3","sysselsatte_botid","personer"
"2008","1852","0_4","3","sysselsatte_botid","personer"
"2008","1856","10+","3","sysselsatte_botid","personer"
"2008","1920","0_4","3","sysselsatte_botid","personer"
"2008","1929","10+","3","sysselsatte_botid","personer"
"2009","0434","5_9","3","sysselsatte_botid","personer"
"2009","0632","5_9","3","sysselsatte_botid","personer"
"2009","0830","5_9","3","sysselsatte_botid","personer"
"2009","1145","5_9","3","sysselsatte_botid","personer"
"2009","1266","5_9","3","sysselsatte_botid","personer"
"2009","1444","5_9","3","sysselsatte_botid","personer"
"2009","1567","0_4","3","sysselsatte_botid","personer"
"2009","1567","5_9","3","sysselsatte_botid","personer"
"2009","1723","10+","3","sysselsatte_botid","personer"
"2009","1723","5_9","3","sysselsatte_botid","personer"
"2009","1748","10+","3","sysselsatte_botid","personer"
"2009","1755","5_9","3","sysselsatte_botid","personer"
"2009","1811","5_9","3","sysselsatte_botid","personer"
"2009","1815","5_9","3","sysselsatte_botid","personer"
"2009","1816","0_4","3","sysselsatte_botid","personer"
"2009","1816","5_9","3","sysselsatte_botid","personer"
"2009","1835","5_9","3","sysselsatte_botid","personer"
"2009","1839","alle","3","sysselsatte_botid","personer"
"2009","1859","5_9","3","sysselsatte_botid","personer"
"2009","1920","0_4","3","sysselsatte_botid","personer"
"2009","1928","5_9","3","sysselsatte_botid","personer"
"2010","0632","5_9","3","sysselsatte_botid","personer"
"2010","1027","5_9","3","sysselsatte_botid","personer"
"2010","1144","10+","3","sysselsatte_botid","personer"
"2010","1227","5_9","3","sysselsatte_botid","personer"
"2010","1723","0_4","3","sysselsatte_botid","personer"
"2010","1723","10+","3","sysselsatte_botid","personer"
"2010","1739","0_4","3","sysselsatte_botid","personer"
"2010","1748","10+","3","sysselsatte_botid","personer"
"2010","1748","5_9","3","sysselsatte_botid","personer"
"2010","1815","5_9","3","sysselsatte_botid","personer"
"2010","1816","5_9","3","sysselsatte_botid","personer"
"2010","1825","5_9","3","sysselsatte_botid","personer"
"2010","1836","5_9","3","sysselsatte_botid","personer"
"2010","1839","0_4","3","sysselsatte_botid","personer"
"2010","1852","5_9","3","sysselsatte_botid","personer"
"2010","1915","0_4","3","sysselsatte_botid","personer"
"2010","1920","0_4","3","sysselsatte_botid","personer"
"2010","2017","0_4","3","sysselsatte_botid","personer"
"2011","0118","5_9","3","sysselsatte_botid","personer"
"2011","0432","5_9","3","sysselsatte_botid","personer"
"2011","1227","5_9","3","sysselsatte_botid","personer"
"2011","1234","10+","3","sysselsatte_botid","personer"
"2011","1234","5_9","3","sysselsatte_botid","personer"
"2011","1567","5_9","3","sysselsatte_botid","personer"
"2011","1739","5_9","3","sysselsatte_botid","personer"
"2011","1740","5_9","3","sysselsatte_botid","personer"
"2011","1748","10+","3","sysselsatte_botid","personer"
"2011","1815","5_9","3","sysselsatte_botid","personer"
"2011","1825","5_9","3","sysselsatte_botid","personer"
"2011","1856","5_9","3","sysselsatte_botid","personer"
"2011","2017","5_9","3","sysselsatte_botid","personer"
"2012","1567","5_9","3","sysselsatte_botid","personer"
"2012","1632","5_9","3","sysselsatte_botid","personer"
"2012","1748","10+","3","sysselsatte_botid","personer"
"2012","1811","5_9","3","sysselsatte_botid","personer"
"2012","1856","10+","3","sysselsatte_botid","personer"
"2012","1920","5_9","3","sysselsatte_botid","personer"
"2012","1943","5_9","3","sysselsatte_botid","personer"
"2012","2017","5_9","3","sysselsatte_botid","personer"
"2013","1151","5_9","3","sysselsatte_botid","personer"
"2013","1252","5_9","3","sysselsatte_botid","personer"
"2013","1567","5_9","3","sysselsatte_botid","personer"
"2013","1740","5_9","3","sysselsatte_botid","personer"
"2013","1811","5_9","3","sysselsatte_botid","personer"
"2013","1835","10+","3","sysselsatte_botid","personer"
"2014","1151","10+","3","sysselsatte_botid","personer"
"2014","1567","10+","3","sysselsatte_botid","personer"
"2014","1633","5_9","3","sysselsatte_botid","personer"
"2014","1839","10+","3","sysselsatte_botid","personer"
"2006","0434","0_4","4","sysselsatte_botid","personer"
"2006","0434","5_9","4","sysselsatte_botid","personer"
"2006","0515","5_9","4","sysselsatte_botid","personer"
"2006","0541","0_4","4","sysselsatte_botid","personer"
"2006","0827","10+","4","sysselsatte_botid","personer"
"2006","1034","10+","4","sysselsatte_botid","personer"
"2006","1141","5_9","4","sysselsatte_botid","personer"
"2006","1144","10+","4","sysselsatte_botid","personer"
"2006","1232","10+","4","sysselsatte_botid","personer"
"2006","1234","5_9","4","sysselsatte_botid","personer"
"2006","1242","5_9","4","sysselsatte_botid","personer"
"2006","1252","5_9","0","sysselsatte_botid","personer"
"2006","1265","5_9","4","sysselsatte_botid","personer"
"2006","1428","5_9","4","sysselsatte_botid","personer"
"2006","1444","5_9","4","sysselsatte_botid","personer"
"2006","1545","10+","4","sysselsatte_botid","personer"
"2006","1567","5_9","0","sysselsatte_botid","personer"
"2006","1633","5_9","0","sysselsatte_botid","personer"
"2006","1723","alle","4","sysselsatte_botid","personer"
"2006","1736","5_9","4","sysselsatte_botid","personer"
"2006","1739","0_4","4","sysselsatte_botid","personer"
"2006","1740","0_4","4","sysselsatte_botid","personer"
"2006","1743","5_9","0","sysselsatte_botid","personer"
"2006","1744","5_9","4","sysselsatte_botid","personer"
"2006","1748","10+","4","sysselsatte_botid","personer"
"2006","1748","5_9","0","sysselsatte_botid","personer"
"2006","1749","0_4","4","sysselsatte_botid","personer"
"2006","1755","10+","4","sysselsatte_botid","personer"
"2006","1812","5_9","4","sysselsatte_botid","personer"
"2006","1815","5_9","4","sysselsatte_botid","personer"
"2006","1825","5_9","4","sysselsatte_botid","personer"
"2006","1827","0_4","4","sysselsatte_botid","personer"
"2006","1834","10+","4","sysselsatte_botid","personer"
"2006","1839","0_4","0","sysselsatte_botid","personer"
"2006","1845","10+","4","sysselsatte_botid","personer"
"2006","1848","5_9","4","sysselsatte_botid","personer"
"2006","1852","10+","4","sysselsatte_botid","personer"
"2006","1856","10+","4","sysselsatte_botid","personer"
"2006","1856","5_9","0","sysselsatte_botid","personer"
"2006","1874","5_9","4","sysselsatte_botid","personer"
"2006","1926","5_9","4","sysselsatte_botid","personer"
"2006","1928","0_4","4","sysselsatte_botid","personer"
"2007","0434","5_9","4","sysselsatte_botid","personer"
"2007","0513","5_9","4","sysselsatte_botid","personer"
"2007","0541","5_9","4","sysselsatte_botid","personer"
"2007","0827","10+","4","sysselsatte_botid","personer"
"2007","1111","5_9","4","sysselsatte_botid","personer"
"2007","1144","10+","4","sysselsatte_botid","personer"
"2007","1145","5_9","4","sysselsatte_botid","personer"
"2007","1227","10+","4","sysselsatte_botid","personer"
"2007","1252","5_9","0","sysselsatte_botid","personer"
"2007","1266","0_4","4","sysselsatte_botid","personer"
"2007","1567","0_4","4","sysselsatte_botid","personer"
"2007","1567","5_9","0","sysselsatte_botid","personer"
"2007","1571","5_9","4","sysselsatte_botid","personer"
"2007","1573","5_9","4","sysselsatte_botid","personer"
"2007","1613","5_9","4","sysselsatte_botid","personer"
"2007","1630","5_9","4","sysselsatte_botid","personer"
"2007","1633","5_9","0","sysselsatte_botid","personer"
"2007","1635","5_9","4","sysselsatte_botid","personer"
"2007","1664","5_9","4","sysselsatte_botid","personer"
"2007","1739","0_4","4","sysselsatte_botid","personer"
"2007","1739","5_9","0","sysselsatte_botid","personer"
"2007","1743","5_9","0","sysselsatte_botid","personer"
"2007","1748","10+","4","sysselsatte_botid","personer"
"2007","1812","5_9","4","sysselsatte_botid","personer"
"2007","1816","0_4","4","sysselsatte_botid","personer"
"2007","1816","10+","4","sysselsatte_botid","personer"
"2007","1826","0_4","4","sysselsatte_botid","personer"
"2007","1834","10+","4","sysselsatte_botid","personer"
"2007","1835","5_9","4","sysselsatte_botid","personer"
"2007","1845","0_4","4","sysselsatte_botid","personer"
"2007","1845","5_9","4","sysselsatte_botid","personer"
"2007","1852","10+","4","sysselsatte_botid","personer"
"2007","1852","5_9","4","sysselsatte_botid","personer"
"2007","1856","5_9","0","sysselsatte_botid","personer"
"2007","1915","5_9","4","sysselsatte_botid","personer"
"2007","1920","10+","4","sysselsatte_botid","personer"
"2008","0439","0_4","4","sysselsatte_botid","personer"
"2008","0513","5_9","4","sysselsatte_botid","personer"
"2008","1027","5_9","4","sysselsatte_botid","personer"
"2008","1144","10+","4","sysselsatte_botid","personer"
"2008","1144","5_9","4","sysselsatte_botid","personer"
"2008","1227","10+","4","sysselsatte_botid","personer"
"2008","1234","5_9","4","sysselsatte_botid","personer"
"2008","1252","alle","4","sysselsatte_botid","personer"
"2008","1265","10+","4","sysselsatte_botid","personer"
"2008","1433","5_9","4","sysselsatte_botid","personer"
"2008","1444","5_9","4","sysselsatte_botid","personer"
"2008","1567","10+","4","sysselsatte_botid","personer"
"2008","1571","5_9","4","sysselsatte_botid","personer"
"2008","1613","10+","4","sysselsatte_botid","personer"
"2008","1630","10+","4","sysselsatte_botid","personer"
"2008","1633","5_9","0","sysselsatte_botid","personer"
"2008","1723","0_4","4","sysselsatte_botid","personer"
"2008","1723","5_9","4","sysselsatte_botid","personer"
"2008","1743","5_9","4","sysselsatte_botid","personer"
"2008","1744","5_9","4","sysselsatte_botid","personer"
"2008","1748","10+","4","sysselsatte_botid","personer"
"2008","1748","5_9","0","sysselsatte_botid","personer"
"2008","1815","0_4","4","sysselsatte_botid","personer"
"2008","1815","5_9","4","sysselsatte_botid","personer"
"2008","1816","10+","4","sysselsatte_botid","personer"
"2008","1852","10+","4","sysselsatte_botid","personer"
"2008","1859","5_9","4","sysselsatte_botid","personer"
"2008","1915","0_4","4","sysselsatte_botid","personer"
"2008","1926","5_9","4","sysselsatte_botid","personer"
"2008","1928","5_9","4","sysselsatte_botid","personer"
"2008","1943","5_9","4","sysselsatte_botid","personer"
"2009","0940","5_9","4","sysselsatte_botid","personer"
"2009","1027","5_9","4","sysselsatte_botid","personer"
"2009","1151","10+","4","sysselsatte_botid","personer"
"2009","1151","5_9","0","sysselsatte_botid","personer"
"2009","1234","5_9","4","sysselsatte_botid","personer"
"2009","1252","0_4","4","sysselsatte_botid","personer"
"2009","1265","5_9","4","sysselsatte_botid","personer"
"2009","1567","10+","4","sysselsatte_botid","personer"
"2009","1571","5_9","4","sysselsatte_botid","personer"
"2009","1613","5_9","4","sysselsatte_botid","personer"
"2009","1632","10+","4","sysselsatte_botid","personer"
"2009","1665","10+","4","sysselsatte_botid","personer"
"2009","1723","0_4","4","sysselsatte_botid","personer"
"2009","1736","5_9","4","sysselsatte_botid","personer"
"2009","1739","0_4","4","sysselsatte_botid","personer"
"2009","1816","10+","4","sysselsatte_botid","personer"
"2009","1836","5_9","4","sysselsatte_botid","personer"
"2009","1852","5_9","4","sysselsatte_botid","personer"
"2010","0118","5_9","4","sysselsatte_botid","personer"
"2010","0121","5_9","4","sysselsatte_botid","personer"
"2010","1151","10+","4","sysselsatte_botid","personer"
"2010","1151","5_9","0","sysselsatte_botid","personer"
"2010","1227","10+","4","sysselsatte_botid","personer"
"2010","1233","5_9","4","sysselsatte_botid","personer"
"2010","1234","10+","4","sysselsatte_botid","personer"
"2010","1265","5_9","4","sysselsatte_botid","personer"
"2010","1567","0_4","4","sysselsatte_botid","personer"
"2010","1567","5_9","4","sysselsatte_botid","personer"
"2010","1613","5_9","4","sysselsatte_botid","personer"
"2010","1635","5_9","4","sysselsatte_botid","personer"
"2010","1736","5_9","4","sysselsatte_botid","personer"
"2010","1749","5_9","4","sysselsatte_botid","personer"
"2010","1755","10+","4","sysselsatte_botid","personer"
"2010","1811","10+","4","sysselsatte_botid","personer"
"2010","1839","10+","4","sysselsatte_botid","personer"
"2010","1839","5_9","0","sysselsatte_botid","personer"
"2010","1845","5_9","4","sysselsatte_botid","personer"
"2010","1853","0_4","4","sysselsatte_botid","personer"
"2010","1856","10+","4","sysselsatte_botid","personer"
"2010","1928","5_9","4","sysselsatte_botid","personer"
"2010","1943","5_9","4","sysselsatte_botid","personer"
"2011","0121","5_9","4","sysselsatte_botid","personer"
"2011","0434","5_9","4","sysselsatte_botid","personer"
"2011","0938","5_9","4","sysselsatte_botid","personer"
"2011","1026","10+","4","sysselsatte_botid","personer"
"2011","1145","5_9","4","sysselsatte_botid","personer"
"2011","1151","10+","4","sysselsatte_botid","personer"
"2011","1633","5_9","4","sysselsatte_botid","personer"
"2011","1665","5_9","4","sysselsatte_botid","personer"
"2011","1736","5_9","4","sysselsatte_botid","personer"
"2011","1755","10+","4","sysselsatte_botid","personer"
"2011","1839","5_9","0","sysselsatte_botid","personer"
"2011","1856","10+","4","sysselsatte_botid","personer"
"2011","1920","0_4","4","sysselsatte_botid","personer"
"2011","1928","5_9","4","sysselsatte_botid","personer"
"2011","1943","5_9","4","sysselsatte_botid","personer"
"2012","0118","5_9","4","sysselsatte_botid","personer"
"2012","1145","5_9","4","sysselsatte_botid","personer"
"2012","1151","0_4","4","sysselsatte_botid","personer"
"2012","1151","10+","4","sysselsatte_botid","personer"
"2012","1252","10+","4","sysselsatte_botid","personer"
"2012","1632","10+","4","sysselsatte_botid","personer"
"2012","1633","5_9","4","sysselsatte_botid","personer"
"2012","1755","10+","4","sysselsatte_botid","personer"
"2012","1815","5_9","4","sysselsatte_botid","personer"
"2012","1836","5_9","4","sysselsatte_botid","personer"
"2012","1839","10+","4","sysselsatte_botid","personer"
"2012","1852","5_9","4","sysselsatte_botid","personer"
