"naringsregion_nr","spraak","bhgalder","enhet","tabellvariabel","aar","tabell_navn"
"36","alle","1_5","personer","1447","2014","barnehagedeltakelse"
"37","alle","1_5","personer","6073","2014","barnehagedeltakelse"
"38","alle","1_5","personer","1455","2014","barnehagedeltakelse"
"39","alle","1_5","personer","20219","2014","barnehagedeltakelse"
"40","alle","1_5","personer","15086","2014","barnehagedeltakelse"
"41","alle","1_5","personer","1625","2014","barnehagedeltakelse"
"42","alle","1_5","personer","1085","2014","barnehagedeltakelse"
"43","alle","1_5","personer","763","2014","barnehagedeltakelse"
"44","alle","1_5","personer","2050","2014","barnehagedeltakelse"
"45","alle","1_5","personer","634","2014","barnehagedeltakelse"
"46","alle","1_5","personer","3937","2014","barnehagedeltakelse"
"47","alle","1_5","personer","4430","2014","barnehagedeltakelse"
"48","alle","1_5","personer","486","2014","barnehagedeltakelse"
"49","alle","1_5","personer","1715","2014","barnehagedeltakelse"
"50","alle","1_5","personer","1560","2014","barnehagedeltakelse"
"51","alle","1_5","personer","2095","2014","barnehagedeltakelse"
"52","alle","1_5","personer","3034","2014","barnehagedeltakelse"
"53","alle","1_5","personer","3093","2014","barnehagedeltakelse"
"54","alle","1_5","personer","879","2014","barnehagedeltakelse"
"55","alle","1_5","personer","2614","2014","barnehagedeltakelse"
"56","alle","1_5","personer","4696","2014","barnehagedeltakelse"
"57","alle","1_5","personer","1217","2014","barnehagedeltakelse"
"58","alle","1_5","personer","444","2014","barnehagedeltakelse"
"59","alle","1_5","personer","457","2014","barnehagedeltakelse"
"60","alle","1_5","personer","1217","2014","barnehagedeltakelse"
"61","alle","1_5","personer","14141","2014","barnehagedeltakelse"
"62","alle","1_5","personer","349","2014","barnehagedeltakelse"
"63","alle","1_5","personer","1633","2014","barnehagedeltakelse"
"64","alle","1_5","personer","3568","2014","barnehagedeltakelse"
"65","alle","1_5","personer","417","2014","barnehagedeltakelse"
"66","alle","1_5","personer","553","2014","barnehagedeltakelse"
"67","alle","1_5","personer","1103","2014","barnehagedeltakelse"
"68","alle","1_5","personer","714","2014","barnehagedeltakelse"
"69","alle","1_5","personer","619","2014","barnehagedeltakelse"
"70","alle","1_5","personer","193","2014","barnehagedeltakelse"
"71","alle","1_5","personer","777","2014","barnehagedeltakelse"
"72","alle","1_5","personer","1703","2014","barnehagedeltakelse"
"73","alle","1_5","personer","4265","2014","barnehagedeltakelse"
"74","alle","1_5","personer","1265","2014","barnehagedeltakelse"
"75","alle","1_5","personer","1133","2014","barnehagedeltakelse"
"76","alle","1_5","personer","1526","2014","barnehagedeltakelse"
"77","alle","1_5","personer","1827","2014","barnehagedeltakelse"
"78","alle","1_5","personer","1537","2014","barnehagedeltakelse"
"79","alle","1_5","personer","4601","2014","barnehagedeltakelse"
"80","alle","1_5","personer","682","2014","barnehagedeltakelse"
"81","alle","1_5","personer","2113","2014","barnehagedeltakelse"
"82","alle","1_5","personer","589","2014","barnehagedeltakelse"
"83","alle","1_5","personer","1068","2014","barnehagedeltakelse"
"01","alle","1","personer","207","2014","barnehagedeltakelse"
"02","alle","1","personer","397","2014","barnehagedeltakelse"
"03","alle","1","personer","378","2014","barnehagedeltakelse"
"04","alle","1","personer","929","2014","barnehagedeltakelse"
"05","alle","1","personer","1543","2014","barnehagedeltakelse"
"06","alle","1","personer","1157","2014","barnehagedeltakelse"
"07","alle","1","personer","1397","2014","barnehagedeltakelse"
"08","alle","1","personer","890","2014","barnehagedeltakelse"
"09","alle","1","personer","5708","2014","barnehagedeltakelse"
"10","alle","1","personer","94","2014","barnehagedeltakelse"
"11","alle","1","personer","256","2014","barnehagedeltakelse"
"12","alle","1","personer","669","2014","barnehagedeltakelse"
"13","alle","1","personer","267","2014","barnehagedeltakelse"
"14","alle","1","personer","448","2014","barnehagedeltakelse"
"15","alle","1","personer","209","2014","barnehagedeltakelse"
"16","alle","1","personer","256","2014","barnehagedeltakelse"
"17","alle","1","personer","90","2014","barnehagedeltakelse"
"18","alle","1","personer","79","2014","barnehagedeltakelse"
"19","alle","1","personer","83","2014","barnehagedeltakelse"
"20","alle","1","personer","1362","2014","barnehagedeltakelse"
"21","alle","1","personer","109","2014","barnehagedeltakelse"
"22","alle","1","personer","251","2014","barnehagedeltakelse"
"23","alle","1","personer","116","2014","barnehagedeltakelse"
"24","alle","1","personer","251","2014","barnehagedeltakelse"
"25","alle","1","personer","930","2014","barnehagedeltakelse"
"26","alle","1","personer","626","2014","barnehagedeltakelse"
"27","alle","1","personer","836","2014","barnehagedeltakelse"
"28","alle","1","personer","105","2014","barnehagedeltakelse"
"29","alle","1","personer","159","2014","barnehagedeltakelse"
"30","alle","1","personer","94","2014","barnehagedeltakelse"
"31","alle","1","personer","35","2014","barnehagedeltakelse"
"32","alle","1","personer","666","2014","barnehagedeltakelse"
"33","alle","1","personer","222","2014","barnehagedeltakelse"
"34","alle","1","personer","175","2014","barnehagedeltakelse"
"35","alle","1","personer","1099","2014","barnehagedeltakelse"
"36","alle","1","personer","170","2014","barnehagedeltakelse"
"37","alle","1","personer","806","2014","barnehagedeltakelse"
"38","alle","1","personer","159","2014","barnehagedeltakelse"
"39","alle","1","personer","2846","2014","barnehagedeltakelse"
"40","alle","1","personer","2419","2014","barnehagedeltakelse"
"41","alle","1","personer","248","2014","barnehagedeltakelse"
"42","alle","1","personer","146","2014","barnehagedeltakelse"
"43","alle","1","personer","94","2014","barnehagedeltakelse"
"44","alle","1","personer","292","2014","barnehagedeltakelse"
"45","alle","1","personer","77","2014","barnehagedeltakelse"
"46","alle","1","personer","513","2014","barnehagedeltakelse"
"47","alle","1","personer","659","2014","barnehagedeltakelse"
"48","alle","1","personer","58","2014","barnehagedeltakelse"
"49","alle","1","personer","233","2014","barnehagedeltakelse"
"50","alle","1","personer","211","2014","barnehagedeltakelse"
"51","alle","1","personer","288","2014","barnehagedeltakelse"
"52","alle","1","personer","400","2014","barnehagedeltakelse"
"53","alle","1","personer","432","2014","barnehagedeltakelse"
"54","alle","1","personer","114","2014","barnehagedeltakelse"
"55","alle","1","personer","381","2014","barnehagedeltakelse"
"56","alle","1","personer","730","2014","barnehagedeltakelse"
"57","alle","1","personer","177","2014","barnehagedeltakelse"
"58","alle","1","personer","70","2014","barnehagedeltakelse"
"59","alle","1","personer","64","2014","barnehagedeltakelse"
"60","alle","1","personer","194","2014","barnehagedeltakelse"
"61","alle","1","personer","2306","2014","barnehagedeltakelse"
"62","alle","1","personer","54","2014","barnehagedeltakelse"
"63","alle","1","personer","228","2014","barnehagedeltakelse"
"64","alle","1","personer","561","2014","barnehagedeltakelse"
"65","alle","1","personer","54","2014","barnehagedeltakelse"
"66","alle","1","personer","84","2014","barnehagedeltakelse"
"67","alle","1","personer","163","2014","barnehagedeltakelse"
"68","alle","1","personer","108","2014","barnehagedeltakelse"
"69","alle","1","personer","92","2014","barnehagedeltakelse"
"70","alle","1","personer","30","2014","barnehagedeltakelse"
"71","alle","1","personer","107","2014","barnehagedeltakelse"
"72","alle","1","personer","266","2014","barnehagedeltakelse"
"73","alle","1","personer","680","2014","barnehagedeltakelse"
"74","alle","1","personer","167","2014","barnehagedeltakelse"
"75","alle","1","personer","177","2014","barnehagedeltakelse"
"76","alle","1","personer","229","2014","barnehagedeltakelse"
"77","alle","1","personer","257","2014","barnehagedeltakelse"
"78","alle","1","personer","216","2014","barnehagedeltakelse"
"79","alle","1","personer","780","2014","barnehagedeltakelse"
"80","alle","1","personer","98","2014","barnehagedeltakelse"
"81","alle","1","personer","347","2014","barnehagedeltakelse"
"82","alle","1","personer","83","2014","barnehagedeltakelse"
"83","alle","1","personer","159","2014","barnehagedeltakelse"
"01","alle","2","personer","291","2014","barnehagedeltakelse"
"02","alle","2","personer","583","2014","barnehagedeltakelse"
"03","alle","2","personer","548","2014","barnehagedeltakelse"
"04","alle","2","personer","1273","2014","barnehagedeltakelse"
"05","alle","2","personer","2205","2014","barnehagedeltakelse"
"06","alle","2","personer","1587","2014","barnehagedeltakelse"
"07","alle","2","personer","1910","2014","barnehagedeltakelse"
"08","alle","2","personer","1143","2014","barnehagedeltakelse"
"09","alle","2","personer","7651","2014","barnehagedeltakelse"
"10","alle","2","personer","156","2014","barnehagedeltakelse"
"11","alle","2","personer","412","2014","barnehagedeltakelse"
"12","alle","2","personer","903","2014","barnehagedeltakelse"
"13","alle","2","personer","338","2014","barnehagedeltakelse"
"14","alle","2","personer","701","2014","barnehagedeltakelse"
"15","alle","2","personer","280","2014","barnehagedeltakelse"
"16","alle","2","personer","351","2014","barnehagedeltakelse"
"17","alle","2","personer","106","2014","barnehagedeltakelse"
"18","alle","2","personer","142","2014","barnehagedeltakelse"
"19","alle","2","personer","151","2014","barnehagedeltakelse"
"20","alle","2","personer","1968","2014","barnehagedeltakelse"
"21","alle","2","personer","162","2014","barnehagedeltakelse"
"22","alle","2","personer","351","2014","barnehagedeltakelse"
"23","alle","2","personer","183","2014","barnehagedeltakelse"
"24","alle","2","personer","348","2014","barnehagedeltakelse"
"25","alle","2","personer","1328","2014","barnehagedeltakelse"
"26","alle","2","personer","858","2014","barnehagedeltakelse"
"27","alle","2","personer","1160","2014","barnehagedeltakelse"
"28","alle","2","personer","176","2014","barnehagedeltakelse"
"29","alle","2","personer","195","2014","barnehagedeltakelse"
"30","alle","2","personer","124","2014","barnehagedeltakelse"
"31","alle","2","personer","70","2014","barnehagedeltakelse"
"32","alle","2","personer","993","2014","barnehagedeltakelse"
"33","alle","2","personer","435","2014","barnehagedeltakelse"
"34","alle","2","personer","260","2014","barnehagedeltakelse"
"35","alle","2","personer","1590","2014","barnehagedeltakelse"
"36","alle","2","personer","295","2014","barnehagedeltakelse"
"37","alle","2","personer","1234","2014","barnehagedeltakelse"
"38","alle","2","personer","306","2014","barnehagedeltakelse"
"39","alle","2","personer","4059","2014","barnehagedeltakelse"
"40","alle","2","personer","3082","2014","barnehagedeltakelse"
"41","alle","2","personer","303","2014","barnehagedeltakelse"
"42","alle","2","personer","221","2014","barnehagedeltakelse"
"43","alle","2","personer","152","2014","barnehagedeltakelse"
"44","alle","2","personer","433","2014","barnehagedeltakelse"
"45","alle","2","personer","135","2014","barnehagedeltakelse"
"46","alle","2","personer","783","2014","barnehagedeltakelse"
"47","alle","2","personer","906","2014","barnehagedeltakelse"
"48","alle","2","personer","106","2014","barnehagedeltakelse"
"49","alle","2","personer","333","2014","barnehagedeltakelse"
"50","alle","2","personer","329","2014","barnehagedeltakelse"
"51","alle","2","personer","404","2014","barnehagedeltakelse"
"52","alle","2","personer","597","2014","barnehagedeltakelse"
"53","alle","2","personer","626","2014","barnehagedeltakelse"
"54","alle","2","personer","186","2014","barnehagedeltakelse"
"55","alle","2","personer","494","2014","barnehagedeltakelse"
"56","alle","2","personer","947","2014","barnehagedeltakelse"
"57","alle","2","personer","242","2014","barnehagedeltakelse"
"58","alle","2","personer","95","2014","barnehagedeltakelse"
"59","alle","2","personer","81","2014","barnehagedeltakelse"
"60","alle","2","personer","218","2014","barnehagedeltakelse"
"61","alle","2","personer","2854","2014","barnehagedeltakelse"
"62","alle","2","personer","62","2014","barnehagedeltakelse"
"63","alle","2","personer","320","2014","barnehagedeltakelse"
"64","alle","2","personer","713","2014","barnehagedeltakelse"
"65","alle","2","personer","76","2014","barnehagedeltakelse"
"66","alle","2","personer","114","2014","barnehagedeltakelse"
"67","alle","2","personer","208","2014","barnehagedeltakelse"
"68","alle","2","personer","132","2014","barnehagedeltakelse"
"69","alle","2","personer","132","2014","barnehagedeltakelse"
"70","alle","2","personer","46","2014","barnehagedeltakelse"
"71","alle","2","personer","169","2014","barnehagedeltakelse"
"72","alle","2","personer","329","2014","barnehagedeltakelse"
"73","alle","2","personer","836","2014","barnehagedeltakelse"
"74","alle","2","personer","263","2014","barnehagedeltakelse"
"75","alle","2","personer","208","2014","barnehagedeltakelse"
"76","alle","2","personer","320","2014","barnehagedeltakelse"
"77","alle","2","personer","363","2014","barnehagedeltakelse"
"78","alle","2","personer","300","2014","barnehagedeltakelse"
"79","alle","2","personer","874","2014","barnehagedeltakelse"
"80","alle","2","personer","142","2014","barnehagedeltakelse"
"81","alle","2","personer","405","2014","barnehagedeltakelse"
"82","alle","2","personer","95","2014","barnehagedeltakelse"
"83","alle","2","personer","234","2014","barnehagedeltakelse"
"01","alle","3","personer","311","2014","barnehagedeltakelse"
"02","alle","3","personer","663","2014","barnehagedeltakelse"
"03","alle","3","personer","650","2014","barnehagedeltakelse"
"04","alle","3","personer","1394","2014","barnehagedeltakelse"
"05","alle","3","personer","2289","2014","barnehagedeltakelse"
"06","alle","3","personer","1723","2014","barnehagedeltakelse"
"07","alle","3","personer","2081","2014","barnehagedeltakelse"
"08","alle","3","personer","1187","2014","barnehagedeltakelse"
"09","alle","3","personer","7656","2014","barnehagedeltakelse"
"10","alle","3","personer","146","2014","barnehagedeltakelse"
"11","alle","3","personer","472","2014","barnehagedeltakelse"
"12","alle","3","personer","930","2014","barnehagedeltakelse"
"13","alle","3","personer","333","2014","barnehagedeltakelse"
"14","alle","3","personer","661","2014","barnehagedeltakelse"
"15","alle","3","personer","294","2014","barnehagedeltakelse"
"16","alle","3","personer","391","2014","barnehagedeltakelse"
"17","alle","3","personer","123","2014","barnehagedeltakelse"
"18","alle","3","personer","165","2014","barnehagedeltakelse"
"19","alle","3","personer","161","2014","barnehagedeltakelse"
"20","alle","3","personer","2074","2014","barnehagedeltakelse"
"21","alle","3","personer","210","2014","barnehagedeltakelse"
"22","alle","3","personer","371","2014","barnehagedeltakelse"
"23","alle","3","personer","209","2014","barnehagedeltakelse"
"24","alle","3","personer","385","2014","barnehagedeltakelse"
"25","alle","3","personer","1504","2014","barnehagedeltakelse"
"26","alle","3","personer","935","2014","barnehagedeltakelse"
"27","alle","3","personer","1260","2014","barnehagedeltakelse"
"28","alle","3","personer","155","2014","barnehagedeltakelse"
"29","alle","3","personer","197","2014","barnehagedeltakelse"
"30","alle","3","personer","162","2014","barnehagedeltakelse"
"31","alle","3","personer","68","2014","barnehagedeltakelse"
"32","alle","3","personer","1057","2014","barnehagedeltakelse"
"33","alle","3","personer","387","2014","barnehagedeltakelse"
"34","alle","3","personer","318","2014","barnehagedeltakelse"
"35","alle","3","personer","1757","2014","barnehagedeltakelse"
"36","alle","3","personer","292","2014","barnehagedeltakelse"
"37","alle","3","personer","1287","2014","barnehagedeltakelse"
"38","alle","3","personer","300","2014","barnehagedeltakelse"
"39","alle","3","personer","4404","2014","barnehagedeltakelse"
"40","alle","3","personer","3137","2014","barnehagedeltakelse"
"41","alle","3","personer","358","2014","barnehagedeltakelse"
"42","alle","3","personer","223","2014","barnehagedeltakelse"
"43","alle","3","personer","177","2014","barnehagedeltakelse"
"44","alle","3","personer","383","2014","barnehagedeltakelse"
"45","alle","3","personer","129","2014","barnehagedeltakelse"
"46","alle","3","personer","847","2014","barnehagedeltakelse"
"47","alle","3","personer","927","2014","barnehagedeltakelse"
"48","alle","3","personer","116","2014","barnehagedeltakelse"
"49","alle","3","personer","379","2014","barnehagedeltakelse"
"50","alle","3","personer","319","2014","barnehagedeltakelse"
"51","alle","3","personer","472","2014","barnehagedeltakelse"
"52","alle","3","personer","642","2014","barnehagedeltakelse"
"53","alle","3","personer","676","2014","barnehagedeltakelse"
"54","alle","3","personer","168","2014","barnehagedeltakelse"
"55","alle","3","personer","564","2014","barnehagedeltakelse"
"56","alle","3","personer","994","2014","barnehagedeltakelse"
"57","alle","3","personer","270","2014","barnehagedeltakelse"
"58","alle","3","personer","95","2014","barnehagedeltakelse"
"59","alle","3","personer","106","2014","barnehagedeltakelse"
"60","alle","3","personer","249","2014","barnehagedeltakelse"
"61","alle","3","personer","2943","2014","barnehagedeltakelse"
"62","alle","3","personer","69","2014","barnehagedeltakelse"
"63","alle","3","personer","356","2014","barnehagedeltakelse"
"64","alle","3","personer","711","2014","barnehagedeltakelse"
"65","alle","3","personer","104","2014","barnehagedeltakelse"
"66","alle","3","personer","121","2014","barnehagedeltakelse"
"67","alle","3","personer","232","2014","barnehagedeltakelse"
"68","alle","3","personer","135","2014","barnehagedeltakelse"
"69","alle","3","personer","127","2014","barnehagedeltakelse"
"70","alle","3","personer","38","2014","barnehagedeltakelse"
"71","alle","3","personer","168","2014","barnehagedeltakelse"
"72","alle","3","personer","337","2014","barnehagedeltakelse"
"73","alle","3","personer","876","2014","barnehagedeltakelse"
"74","alle","3","personer","279","2014","barnehagedeltakelse"
"75","alle","3","personer","268","2014","barnehagedeltakelse"
"76","alle","3","personer","311","2014","barnehagedeltakelse"
"77","alle","3","personer","367","2014","barnehagedeltakelse"
"78","alle","3","personer","319","2014","barnehagedeltakelse"
"79","alle","3","personer","947","2014","barnehagedeltakelse"
"80","alle","3","personer","134","2014","barnehagedeltakelse"
"81","alle","3","personer","421","2014","barnehagedeltakelse"
"82","alle","3","personer","131","2014","barnehagedeltakelse"
"83","alle","3","personer","226","2014","barnehagedeltakelse"
"01","alle","4","personer","341","2014","barnehagedeltakelse"
"02","alle","4","personer","704","2014","barnehagedeltakelse"
"03","alle","4","personer","654","2014","barnehagedeltakelse"
"04","alle","4","personer","1498","2014","barnehagedeltakelse"
"05","alle","4","personer","2418","2014","barnehagedeltakelse"
"06","alle","4","personer","1788","2014","barnehagedeltakelse"
"07","alle","4","personer","2291","2014","barnehagedeltakelse"
"08","alle","4","personer","1295","2014","barnehagedeltakelse"
"09","alle","4","personer","7691","2014","barnehagedeltakelse"
"10","alle","4","personer","162","2014","barnehagedeltakelse"
"11","alle","4","personer","469","2014","barnehagedeltakelse"
"12","alle","4","personer","981","2014","barnehagedeltakelse"
"13","alle","4","personer","362","2014","barnehagedeltakelse"
"14","alle","4","personer","726","2014","barnehagedeltakelse"
"15","alle","4","personer","343","2014","barnehagedeltakelse"
"16","alle","4","personer","387","2014","barnehagedeltakelse"
"17","alle","4","personer","149","2014","barnehagedeltakelse"
"18","alle","4","personer","218","2014","barnehagedeltakelse"
"19","alle","4","personer","162","2014","barnehagedeltakelse"
"20","alle","4","personer","2101","2014","barnehagedeltakelse"
"21","alle","4","personer","215","2014","barnehagedeltakelse"
"22","alle","4","personer","402","2014","barnehagedeltakelse"
"23","alle","4","personer","197","2014","barnehagedeltakelse"
"24","alle","4","personer","438","2014","barnehagedeltakelse"
"25","alle","4","personer","1581","2014","barnehagedeltakelse"
"26","alle","4","personer","1028","2014","barnehagedeltakelse"
"27","alle","4","personer","1310","2014","barnehagedeltakelse"
"28","alle","4","personer","193","2014","barnehagedeltakelse"
"29","alle","4","personer","219","2014","barnehagedeltakelse"
"30","alle","4","personer","149","2014","barnehagedeltakelse"
"31","alle","4","personer","89","2014","barnehagedeltakelse"
"32","alle","4","personer","1110","2014","barnehagedeltakelse"
"33","alle","4","personer","474","2014","barnehagedeltakelse"
"34","alle","4","personer","308","2014","barnehagedeltakelse"
"35","alle","4","personer","1768","2014","barnehagedeltakelse"
"36","alle","4","personer","329","2014","barnehagedeltakelse"
"37","alle","4","personer","1374","2014","barnehagedeltakelse"
"38","alle","4","personer","330","2014","barnehagedeltakelse"
"39","alle","4","personer","4541","2014","barnehagedeltakelse"
"40","alle","4","personer","3253","2014","barnehagedeltakelse"
"41","alle","4","personer","372","2014","barnehagedeltakelse"
"42","alle","4","personer","267","2014","barnehagedeltakelse"
"43","alle","4","personer","170","2014","barnehagedeltakelse"
"44","alle","4","personer","457","2014","barnehagedeltakelse"
"45","alle","4","personer","126","2014","barnehagedeltakelse"
"46","alle","4","personer","845","2014","barnehagedeltakelse"
"47","alle","4","personer","929","2014","barnehagedeltakelse"
"48","alle","4","personer","95","2014","barnehagedeltakelse"
"49","alle","4","personer","382","2014","barnehagedeltakelse"
"50","alle","4","personer","358","2014","barnehagedeltakelse"
"51","alle","4","personer","468","2014","barnehagedeltakelse"
"52","alle","4","personer","707","2014","barnehagedeltakelse"
"53","alle","4","personer","648","2014","barnehagedeltakelse"
"54","alle","4","personer","201","2014","barnehagedeltakelse"
"55","alle","4","personer","546","2014","barnehagedeltakelse"
"56","alle","4","personer","960","2014","barnehagedeltakelse"
"57","alle","4","personer","263","2014","barnehagedeltakelse"
"58","alle","4","personer","92","2014","barnehagedeltakelse"
"59","alle","4","personer","110","2014","barnehagedeltakelse"
"60","alle","4","personer","277","2014","barnehagedeltakelse"
"61","alle","4","personer","3033","2014","barnehagedeltakelse"
"62","alle","4","personer","74","2014","barnehagedeltakelse"
"63","alle","4","personer","355","2014","barnehagedeltakelse"
"64","alle","4","personer","780","2014","barnehagedeltakelse"
"65","alle","4","personer","96","2014","barnehagedeltakelse"
"66","alle","4","personer","112","2014","barnehagedeltakelse"
"67","alle","4","personer","247","2014","barnehagedeltakelse"
"68","alle","4","personer","156","2014","barnehagedeltakelse"
"69","alle","4","personer","132","2014","barnehagedeltakelse"
"70","alle","4","personer","40","2014","barnehagedeltakelse"
"71","alle","4","personer","168","2014","barnehagedeltakelse"
"72","alle","4","personer","373","2014","barnehagedeltakelse"
"73","alle","4","personer","904","2014","barnehagedeltakelse"
"74","alle","4","personer","294","2014","barnehagedeltakelse"
"75","alle","4","personer","237","2014","barnehagedeltakelse"
"76","alle","4","personer","325","2014","barnehagedeltakelse"
"77","alle","4","personer","430","2014","barnehagedeltakelse"
"78","alle","4","personer","330","2014","barnehagedeltakelse"
"79","alle","4","personer","1012","2014","barnehagedeltakelse"
"80","alle","4","personer","171","2014","barnehagedeltakelse"
"81","alle","4","personer","467","2014","barnehagedeltakelse"
"82","alle","4","personer","124","2014","barnehagedeltakelse"
"83","alle","4","personer","215","2014","barnehagedeltakelse"
"01","alle","5","personer","349","2014","barnehagedeltakelse"
"02","alle","5","personer","702","2014","barnehagedeltakelse"
"03","alle","5","personer","721","2014","barnehagedeltakelse"
"04","alle","5","personer","1707","2014","barnehagedeltakelse"
"05","alle","5","personer","2517","2014","barnehagedeltakelse"
"06","alle","5","personer","1883","2014","barnehagedeltakelse"
"07","alle","5","personer","2216","2014","barnehagedeltakelse"
"08","alle","5","personer","1363","2014","barnehagedeltakelse"
"09","alle","5","personer","7639","2014","barnehagedeltakelse"
"10","alle","5","personer","190","2014","barnehagedeltakelse"
"11","alle","5","personer","505","2014","barnehagedeltakelse"
"12","alle","5","personer","1064","2014","barnehagedeltakelse"
"13","alle","5","personer","376","2014","barnehagedeltakelse"
"14","alle","5","personer","756","2014","barnehagedeltakelse"
"15","alle","5","personer","310","2014","barnehagedeltakelse"
"16","alle","5","personer","391","2014","barnehagedeltakelse"
"17","alle","5","personer","133","2014","barnehagedeltakelse"
"18","alle","5","personer","179","2014","barnehagedeltakelse"
"19","alle","5","personer","207","2014","barnehagedeltakelse"
"20","alle","5","personer","2247","2014","barnehagedeltakelse"
"21","alle","5","personer","191","2014","barnehagedeltakelse"
"22","alle","5","personer","428","2014","barnehagedeltakelse"
"23","alle","5","personer","193","2014","barnehagedeltakelse"
"24","alle","5","personer","404","2014","barnehagedeltakelse"
"25","alle","5","personer","1526","2014","barnehagedeltakelse"
"26","alle","5","personer","1069","2014","barnehagedeltakelse"
"27","alle","5","personer","1308","2014","barnehagedeltakelse"
"28","alle","5","personer","190","2014","barnehagedeltakelse"
"29","alle","5","personer","216","2014","barnehagedeltakelse"
"30","alle","5","personer","156","2014","barnehagedeltakelse"
"31","alle","5","personer","80","2014","barnehagedeltakelse"
"32","alle","5","personer","1151","2014","barnehagedeltakelse"
"33","alle","5","personer","495","2014","barnehagedeltakelse"
"34","alle","5","personer","343","2014","barnehagedeltakelse"
"35","alle","5","personer","1927","2014","barnehagedeltakelse"
"36","alle","5","personer","361","2014","barnehagedeltakelse"
"37","alle","5","personer","1372","2014","barnehagedeltakelse"
"38","alle","5","personer","360","2014","barnehagedeltakelse"
"39","alle","5","personer","4369","2014","barnehagedeltakelse"
"40","alle","5","personer","3195","2014","barnehagedeltakelse"
"41","alle","5","personer","344","2014","barnehagedeltakelse"
"42","alle","5","personer","228","2014","barnehagedeltakelse"
"43","alle","5","personer","170","2014","barnehagedeltakelse"
"44","alle","5","personer","485","2014","barnehagedeltakelse"
"45","alle","5","personer","167","2014","barnehagedeltakelse"
"46","alle","5","personer","949","2014","barnehagedeltakelse"
"47","alle","5","personer","1009","2014","barnehagedeltakelse"
"48","alle","5","personer","111","2014","barnehagedeltakelse"
"49","alle","5","personer","388","2014","barnehagedeltakelse"
"50","alle","5","personer","343","2014","barnehagedeltakelse"
"51","alle","5","personer","463","2014","barnehagedeltakelse"
"52","alle","5","personer","688","2014","barnehagedeltakelse"
"53","alle","5","personer","711","2014","barnehagedeltakelse"
"54","alle","5","personer","210","2014","barnehagedeltakelse"
"55","alle","5","personer","629","2014","barnehagedeltakelse"
"56","alle","5","personer","1065","2014","barnehagedeltakelse"
"57","alle","5","personer","265","2014","barnehagedeltakelse"
"58","alle","5","personer","92","2014","barnehagedeltakelse"
"59","alle","5","personer","96","2014","barnehagedeltakelse"
"60","alle","5","personer","279","2014","barnehagedeltakelse"
"61","alle","5","personer","3005","2014","barnehagedeltakelse"
"62","alle","5","personer","90","2014","barnehagedeltakelse"
"63","alle","5","personer","374","2014","barnehagedeltakelse"
"64","alle","5","personer","803","2014","barnehagedeltakelse"
"65","alle","5","personer","87","2014","barnehagedeltakelse"
"66","alle","5","personer","122","2014","barnehagedeltakelse"
"67","alle","5","personer","253","2014","barnehagedeltakelse"
"68","alle","5","personer","183","2014","barnehagedeltakelse"
"69","alle","5","personer","136","2014","barnehagedeltakelse"
"70","alle","5","personer","39","2014","barnehagedeltakelse"
"71","alle","5","personer","165","2014","barnehagedeltakelse"
