"aar","bydel_nr","innvkat_3","vreg_3","kjonn","tabellvariabel","tabell_navn","enhet"
"2006","030101","befolkningen_ellers","1","1","0","ikke_arbutd_innvkat_land","personer"
"2006","030101","befolkningen_ellers","1","alle","0","ikke_arbutd_innvkat_land","personer"
"2006","030101","befolkningen_ellers","2","0","0","ikke_arbutd_innvkat_land","personer"
"2006","030101","befolkningen_ellers","2","1","0","ikke_arbutd_innvkat_land","personer"
"2006","030101","befolkningen_ellers","2","alle","0","ikke_arbutd_innvkat_land","personer"
"2006","030101","befolkningen_ellers","alle","0","2383","ikke_arbutd_innvkat_land","personer"
"2006","030101","befolkningen_ellers","alle","1","2287","ikke_arbutd_innvkat_land","personer"
"2006","030101","befolkningen_ellers","alle","alle","4670","ikke_arbutd_innvkat_land","personer"
"2006","030101","innvandrere","1","0","263","ikke_arbutd_innvkat_land","personer"
"2006","030101","innvandrere","1","1","302","ikke_arbutd_innvkat_land","personer"
"2006","030101","innvandrere","1","alle","565","ikke_arbutd_innvkat_land","personer"
"2006","030101","innvandrere","2","0","1140","ikke_arbutd_innvkat_land","personer"
"2006","030101","innvandrere","2","1","1057","ikke_arbutd_innvkat_land","personer"
"2006","030101","innvandrere","2","alle","2197","ikke_arbutd_innvkat_land","personer"
"2006","030101","innvandrere","alle","0","1403","ikke_arbutd_innvkat_land","personer"
"2006","030101","innvandrere","alle","1","1359","ikke_arbutd_innvkat_land","personer"
"2006","030101","innvandrere","alle","alle","2762","ikke_arbutd_innvkat_land","personer"
"2006","030102","alle","1","0","214","ikke_arbutd_innvkat_land","personer"
"2006","030102","alle","1","1","253","ikke_arbutd_innvkat_land","personer"
"2006","030102","alle","1","alle","467","ikke_arbutd_innvkat_land","personer"
"2006","030102","alle","2","0","1049","ikke_arbutd_innvkat_land","personer"
"2006","030102","alle","2","1","779","ikke_arbutd_innvkat_land","personer"
"2006","030102","alle","2","alle","1828","ikke_arbutd_innvkat_land","personer"
"2006","030102","alle","alle","0","3384","ikke_arbutd_innvkat_land","personer"
"2006","030102","alle","alle","1","2935","ikke_arbutd_innvkat_land","personer"
"2006","030102","alle","alle","alle","6319","ikke_arbutd_innvkat_land","personer"
"2006","030102","befolkningen_ellers","1","0","0","ikke_arbutd_innvkat_land","personer"
"2006","030102","befolkningen_ellers","1","1","0","ikke_arbutd_innvkat_land","personer"
"2006","030102","befolkningen_ellers","1","alle","0","ikke_arbutd_innvkat_land","personer"
"2006","030102","befolkningen_ellers","2","0","0","ikke_arbutd_innvkat_land","personer"
"2006","030102","befolkningen_ellers","2","1","0","ikke_arbutd_innvkat_land","personer"
"2006","030102","befolkningen_ellers","2","alle","0","ikke_arbutd_innvkat_land","personer"
"2006","030102","befolkningen_ellers","alle","0","2121","ikke_arbutd_innvkat_land","personer"
"2006","030102","befolkningen_ellers","alle","1","1903","ikke_arbutd_innvkat_land","personer"
"2006","030102","befolkningen_ellers","alle","alle","4024","ikke_arbutd_innvkat_land","personer"
"2006","030102","innvandrere","1","0","214","ikke_arbutd_innvkat_land","personer"
"2006","030102","innvandrere","1","1","253","ikke_arbutd_innvkat_land","personer"
"2006","030102","innvandrere","1","alle","467","ikke_arbutd_innvkat_land","personer"
"2006","030102","innvandrere","2","0","1049","ikke_arbutd_innvkat_land","personer"
"2006","030102","innvandrere","2","1","779","ikke_arbutd_innvkat_land","personer"
"2006","030102","innvandrere","2","alle","1828","ikke_arbutd_innvkat_land","personer"
"2006","030102","innvandrere","alle","0","1263","ikke_arbutd_innvkat_land","personer"
"2006","030102","innvandrere","alle","1","1032","ikke_arbutd_innvkat_land","personer"
"2006","030102","innvandrere","alle","alle","2295","ikke_arbutd_innvkat_land","personer"
"2006","030103","alle","1","0","332","ikke_arbutd_innvkat_land","personer"
"2006","030103","alle","1","1","290","ikke_arbutd_innvkat_land","personer"
"2006","030103","alle","1","alle","622","ikke_arbutd_innvkat_land","personer"
"2006","030103","alle","2","0","1249","ikke_arbutd_innvkat_land","personer"
"2006","030103","alle","2","1","923","ikke_arbutd_innvkat_land","personer"
"2006","030103","alle","2","alle","2172","ikke_arbutd_innvkat_land","personer"
"2006","030103","alle","alle","0","4279","ikke_arbutd_innvkat_land","personer"
"2006","030103","alle","alle","1","3471","ikke_arbutd_innvkat_land","personer"
"2006","030103","alle","alle","alle","7750","ikke_arbutd_innvkat_land","personer"
"2006","030103","befolkningen_ellers","1","0","0","ikke_arbutd_innvkat_land","personer"
"2006","030103","befolkningen_ellers","1","1","0","ikke_arbutd_innvkat_land","personer"
"2006","030103","befolkningen_ellers","1","alle","0","ikke_arbutd_innvkat_land","personer"
"2006","030103","befolkningen_ellers","2","0","0","ikke_arbutd_innvkat_land","personer"
"2006","030103","befolkningen_ellers","2","1","0","ikke_arbutd_innvkat_land","personer"
"2006","030103","befolkningen_ellers","2","alle","0","ikke_arbutd_innvkat_land","personer"
"2006","030103","befolkningen_ellers","alle","0","2698","ikke_arbutd_innvkat_land","personer"
"2006","030103","befolkningen_ellers","alle","1","2258","ikke_arbutd_innvkat_land","personer"
"2006","030103","befolkningen_ellers","alle","alle","4956","ikke_arbutd_innvkat_land","personer"
"2006","030103","innvandrere","1","0","332","ikke_arbutd_innvkat_land","personer"
"2006","030103","innvandrere","1","1","290","ikke_arbutd_innvkat_land","personer"
"2006","030103","innvandrere","1","alle","622","ikke_arbutd_innvkat_land","personer"
"2006","030103","innvandrere","2","0","1249","ikke_arbutd_innvkat_land","personer"
"2006","030103","innvandrere","2","1","923","ikke_arbutd_innvkat_land","personer"
"2006","030103","innvandrere","2","alle","2172","ikke_arbutd_innvkat_land","personer"
"2006","030103","innvandrere","alle","0","1581","ikke_arbutd_innvkat_land","personer"
"2006","030103","innvandrere","alle","1","1213","ikke_arbutd_innvkat_land","personer"
"2006","030103","innvandrere","alle","alle","2794","ikke_arbutd_innvkat_land","personer"
"2006","030104","alle","1","0","245","ikke_arbutd_innvkat_land","personer"
"2006","030104","alle","1","1","251","ikke_arbutd_innvkat_land","personer"
"2006","030104","alle","1","alle","496","ikke_arbutd_innvkat_land","personer"
"2006","030104","alle","2","0","1269","ikke_arbutd_innvkat_land","personer"
"2006","030104","alle","2","1","1028","ikke_arbutd_innvkat_land","personer"
"2006","030104","alle","2","alle","2297","ikke_arbutd_innvkat_land","personer"
"2006","030104","alle","alle","0","3546","ikke_arbutd_innvkat_land","personer"
"2006","030104","alle","alle","1","3281","ikke_arbutd_innvkat_land","personer"
"2006","030104","alle","alle","alle","6827","ikke_arbutd_innvkat_land","personer"
"2006","030104","befolkningen_ellers","1","0","0","ikke_arbutd_innvkat_land","personer"
"2006","030104","befolkningen_ellers","1","1","0","ikke_arbutd_innvkat_land","personer"
"2006","030104","befolkningen_ellers","1","alle","0","ikke_arbutd_innvkat_land","personer"
"2006","030104","befolkningen_ellers","2","0","0","ikke_arbutd_innvkat_land","personer"
"2006","030104","befolkningen_ellers","2","1","0","ikke_arbutd_innvkat_land","personer"
"2006","030104","befolkningen_ellers","2","alle","0","ikke_arbutd_innvkat_land","personer"
"2006","030104","befolkningen_ellers","alle","0","2032","ikke_arbutd_innvkat_land","personer"
"2006","030104","befolkningen_ellers","alle","1","2002","ikke_arbutd_innvkat_land","personer"
"2006","030104","befolkningen_ellers","alle","alle","4034","ikke_arbutd_innvkat_land","personer"
"2006","030104","innvandrere","1","0","245","ikke_arbutd_innvkat_land","personer"
"2006","030104","innvandrere","1","1","251","ikke_arbutd_innvkat_land","personer"
"2006","030104","innvandrere","1","alle","496","ikke_arbutd_innvkat_land","personer"
"2006","030104","innvandrere","2","0","1269","ikke_arbutd_innvkat_land","personer"
"2006","030104","innvandrere","2","1","1028","ikke_arbutd_innvkat_land","personer"
"2006","030104","innvandrere","2","alle","2297","ikke_arbutd_innvkat_land","personer"
"2006","030104","innvandrere","alle","0","1514","ikke_arbutd_innvkat_land","personer"
"2006","030104","innvandrere","alle","1","1279","ikke_arbutd_innvkat_land","personer"
"2006","030104","innvandrere","alle","alle","2793","ikke_arbutd_innvkat_land","personer"
"2006","030105","alle","1","0","203","ikke_arbutd_innvkat_land","personer"
"2006","030105","alle","1","1","199","ikke_arbutd_innvkat_land","personer"
"2006","030105","alle","1","alle","402","ikke_arbutd_innvkat_land","personer"
"2006","030105","alle","2","0","905","ikke_arbutd_innvkat_land","personer"
"2006","030105","alle","2","1","760","ikke_arbutd_innvkat_land","personer"
"2006","030105","alle","2","alle","1665","ikke_arbutd_innvkat_land","personer"
"2006","030105","alle","alle","0","3019","ikke_arbutd_innvkat_land","personer"
"2006","030105","alle","alle","1","2690","ikke_arbutd_innvkat_land","personer"
"2006","030105","alle","alle","alle","5709","ikke_arbutd_innvkat_land","personer"
"2006","030105","befolkningen_ellers","1","0","0","ikke_arbutd_innvkat_land","personer"
"2006","030105","befolkningen_ellers","1","1","0","ikke_arbutd_innvkat_land","personer"
"2006","030105","befolkningen_ellers","1","alle","0","ikke_arbutd_innvkat_land","personer"
"2006","030105","befolkningen_ellers","2","0","0","ikke_arbutd_innvkat_land","personer"
"2006","030105","befolkningen_ellers","2","1","0","ikke_arbutd_innvkat_land","personer"
"2006","030105","befolkningen_ellers","2","alle","0","ikke_arbutd_innvkat_land","personer"
"2006","030105","befolkningen_ellers","alle","0","1911","ikke_arbutd_innvkat_land","personer"
"2006","030105","befolkningen_ellers","alle","1","1731","ikke_arbutd_innvkat_land","personer"
"2006","030105","befolkningen_ellers","alle","alle","3642","ikke_arbutd_innvkat_land","personer"
"2006","030105","innvandrere","1","0","203","ikke_arbutd_innvkat_land","personer"
"2006","030105","innvandrere","1","1","199","ikke_arbutd_innvkat_land","personer"
"2006","030105","innvandrere","1","alle","402","ikke_arbutd_innvkat_land","personer"
"2006","030105","innvandrere","2","0","905","ikke_arbutd_innvkat_land","personer"
"2006","030105","innvandrere","2","1","760","ikke_arbutd_innvkat_land","personer"
"2006","030105","innvandrere","2","alle","1665","ikke_arbutd_innvkat_land","personer"
"2006","030105","innvandrere","alle","0","1108","ikke_arbutd_innvkat_land","personer"
"2006","030105","innvandrere","alle","1","959","ikke_arbutd_innvkat_land","personer"
"2006","030105","innvandrere","alle","alle","2067","ikke_arbutd_innvkat_land","personer"
"2006","030106","alle","1","0","201","ikke_arbutd_innvkat_land","personer"
"2006","030106","alle","1","1","217","ikke_arbutd_innvkat_land","personer"
"2006","030106","alle","1","alle","418","ikke_arbutd_innvkat_land","personer"
"2006","030106","alle","2","0","932","ikke_arbutd_innvkat_land","personer"
"2006","030106","alle","2","1","727","ikke_arbutd_innvkat_land","personer"
"2006","030106","alle","2","alle","1659","ikke_arbutd_innvkat_land","personer"
"2006","030106","alle","alle","0","2966","ikke_arbutd_innvkat_land","personer"
"2006","030106","alle","alle","1","2558","ikke_arbutd_innvkat_land","personer"
"2006","030106","alle","alle","alle","5524","ikke_arbutd_innvkat_land","personer"
"2006","030106","befolkningen_ellers","1","0","0","ikke_arbutd_innvkat_land","personer"
"2006","030106","befolkningen_ellers","1","1","0","ikke_arbutd_innvkat_land","personer"
"2006","030106","befolkningen_ellers","1","alle","0","ikke_arbutd_innvkat_land","personer"
"2006","030106","befolkningen_ellers","2","0","0","ikke_arbutd_innvkat_land","personer"
"2006","030106","befolkningen_ellers","2","1","0","ikke_arbutd_innvkat_land","personer"
"2006","030106","befolkningen_ellers","2","alle","0","ikke_arbutd_innvkat_land","personer"
"2006","030106","befolkningen_ellers","alle","0","1833","ikke_arbutd_innvkat_land","personer"
"2006","030106","befolkningen_ellers","alle","1","1614","ikke_arbutd_innvkat_land","personer"
"2006","030106","befolkningen_ellers","alle","alle","3447","ikke_arbutd_innvkat_land","personer"
"2006","030106","innvandrere","1","0","201","ikke_arbutd_innvkat_land","personer"
"2006","030106","innvandrere","1","1","217","ikke_arbutd_innvkat_land","personer"
"2006","030106","innvandrere","1","alle","418","ikke_arbutd_innvkat_land","personer"
"2006","030106","innvandrere","2","0","932","ikke_arbutd_innvkat_land","personer"
"2006","030106","innvandrere","2","1","727","ikke_arbutd_innvkat_land","personer"
"2006","030106","innvandrere","2","alle","1659","ikke_arbutd_innvkat_land","personer"
"2006","030106","innvandrere","alle","0","1133","ikke_arbutd_innvkat_land","personer"
"2006","030106","innvandrere","alle","1","944","ikke_arbutd_innvkat_land","personer"
"2006","030106","innvandrere","alle","alle","2077","ikke_arbutd_innvkat_land","personer"
"2006","030107","alle","1","0","157","ikke_arbutd_innvkat_land","personer"
"2006","030107","alle","1","1","193","ikke_arbutd_innvkat_land","personer"
"2006","030107","alle","1","alle","350","ikke_arbutd_innvkat_land","personer"
"2006","030107","alle","2","0","983","ikke_arbutd_innvkat_land","personer"
"2006","030107","alle","2","1","787","ikke_arbutd_innvkat_land","personer"
"2006","030107","alle","2","alle","1770","ikke_arbutd_innvkat_land","personer"
"2006","030107","alle","alle","0","2615","ikke_arbutd_innvkat_land","personer"
"2006","030107","alle","alle","1","2441","ikke_arbutd_innvkat_land","personer"
"2006","030107","alle","alle","alle","5056","ikke_arbutd_innvkat_land","personer"
"2006","030107","befolkningen_ellers","1","0","0","ikke_arbutd_innvkat_land","personer"
"2006","030107","befolkningen_ellers","1","1","0","ikke_arbutd_innvkat_land","personer"
"2006","030107","befolkningen_ellers","1","alle","0","ikke_arbutd_innvkat_land","personer"
"2006","030107","befolkningen_ellers","2","0","0","ikke_arbutd_innvkat_land","personer"
"2006","030107","befolkningen_ellers","2","1","0","ikke_arbutd_innvkat_land","personer"
"2006","030107","befolkningen_ellers","2","alle","0","ikke_arbutd_innvkat_land","personer"
"2006","030107","befolkningen_ellers","alle","0","1475","ikke_arbutd_innvkat_land","personer"
"2006","030107","befolkningen_ellers","alle","1","1461","ikke_arbutd_innvkat_land","personer"
"2006","030107","befolkningen_ellers","alle","alle","2936","ikke_arbutd_innvkat_land","personer"
"2006","030107","innvandrere","1","0","157","ikke_arbutd_innvkat_land","personer"
"2006","030107","innvandrere","1","1","193","ikke_arbutd_innvkat_land","personer"
"2006","030107","innvandrere","1","alle","350","ikke_arbutd_innvkat_land","personer"
"2006","030107","innvandrere","2","0","983","ikke_arbutd_innvkat_land","personer"
"2006","030107","innvandrere","2","1","787","ikke_arbutd_innvkat_land","personer"
"2006","030107","innvandrere","2","alle","1770","ikke_arbutd_innvkat_land","personer"
"2006","030107","innvandrere","alle","0","1140","ikke_arbutd_innvkat_land","personer"
"2006","030107","innvandrere","alle","1","980","ikke_arbutd_innvkat_land","personer"
"2006","030107","innvandrere","alle","alle","2120","ikke_arbutd_innvkat_land","personer"
"2006","030108","alle","1","0","202","ikke_arbutd_innvkat_land","personer"
"2006","030108","alle","1","1","191","ikke_arbutd_innvkat_land","personer"
"2006","030108","alle","1","alle","393","ikke_arbutd_innvkat_land","personer"
"2006","030108","alle","2","0","975","ikke_arbutd_innvkat_land","personer"
"2006","030108","alle","2","1","751","ikke_arbutd_innvkat_land","personer"
"2006","030108","alle","2","alle","1726","ikke_arbutd_innvkat_land","personer"
"2006","030108","alle","alle","0","2780","ikke_arbutd_innvkat_land","personer"
"2006","030108","alle","alle","1","2435","ikke_arbutd_innvkat_land","personer"
"2006","030108","alle","alle","alle","5215","ikke_arbutd_innvkat_land","personer"
"2006","030108","befolkningen_ellers","1","0","0","ikke_arbutd_innvkat_land","personer"
"2006","030108","befolkningen_ellers","1","1","0","ikke_arbutd_innvkat_land","personer"
"2006","030108","befolkningen_ellers","1","alle","0","ikke_arbutd_innvkat_land","personer"
"2006","030108","befolkningen_ellers","2","0","0","ikke_arbutd_innvkat_land","personer"
"2006","030108","befolkningen_ellers","2","1","0","ikke_arbutd_innvkat_land","personer"
"2006","030108","befolkningen_ellers","2","alle","0","ikke_arbutd_innvkat_land","personer"
"2006","030108","befolkningen_ellers","alle","0","1603","ikke_arbutd_innvkat_land","personer"
"2006","030108","befolkningen_ellers","alle","1","1493","ikke_arbutd_innvkat_land","personer"
"2006","030108","befolkningen_ellers","alle","alle","3096","ikke_arbutd_innvkat_land","personer"
"2006","030108","innvandrere","1","0","202","ikke_arbutd_innvkat_land","personer"
"2006","030108","innvandrere","1","1","191","ikke_arbutd_innvkat_land","personer"
"2006","030108","innvandrere","1","alle","393","ikke_arbutd_innvkat_land","personer"
"2006","030108","innvandrere","2","0","975","ikke_arbutd_innvkat_land","personer"
"2006","030108","innvandrere","2","1","751","ikke_arbutd_innvkat_land","personer"
"2006","030108","innvandrere","2","alle","1726","ikke_arbutd_innvkat_land","personer"
"2006","030108","innvandrere","alle","0","1177","ikke_arbutd_innvkat_land","personer"
"2006","030108","innvandrere","alle","1","942","ikke_arbutd_innvkat_land","personer"
"2006","030108","innvandrere","alle","alle","2119","ikke_arbutd_innvkat_land","personer"
"2006","030109","alle","1","0","108","ikke_arbutd_innvkat_land","personer"
"2006","030109","alle","1","1","155","ikke_arbutd_innvkat_land","personer"
"2006","030109","alle","1","alle","263","ikke_arbutd_innvkat_land","personer"
"2006","030109","alle","2","0","768","ikke_arbutd_innvkat_land","personer"
"2006","030109","alle","2","1","645","ikke_arbutd_innvkat_land","personer"
"2006","030109","alle","2","alle","1413","ikke_arbutd_innvkat_land","personer"
"2006","030109","alle","alle","0","2157","ikke_arbutd_innvkat_land","personer"
"2006","030109","alle","alle","1","1907","ikke_arbutd_innvkat_land","personer"
"2006","030109","alle","alle","alle","4064","ikke_arbutd_innvkat_land","personer"
"2006","030109","befolkningen_ellers","1","0","0","ikke_arbutd_innvkat_land","personer"
"2006","030109","befolkningen_ellers","1","1","0","ikke_arbutd_innvkat_land","personer"
"2006","030109","befolkningen_ellers","1","alle","0","ikke_arbutd_innvkat_land","personer"
"2006","030109","befolkningen_ellers","2","0","0","ikke_arbutd_innvkat_land","personer"
"2006","030109","befolkningen_ellers","2","1","0","ikke_arbutd_innvkat_land","personer"
"2006","030109","befolkningen_ellers","2","alle","0","ikke_arbutd_innvkat_land","personer"
"2006","030109","befolkningen_ellers","alle","0","1281","ikke_arbutd_innvkat_land","personer"
"2006","030109","befolkningen_ellers","alle","1","1107","ikke_arbutd_innvkat_land","personer"
"2006","030109","befolkningen_ellers","alle","alle","2388","ikke_arbutd_innvkat_land","personer"
"2006","030109","innvandrere","1","0","108","ikke_arbutd_innvkat_land","personer"
"2006","030109","innvandrere","1","1","155","ikke_arbutd_innvkat_land","personer"
"2006","030109","innvandrere","1","alle","263","ikke_arbutd_innvkat_land","personer"
"2006","030109","innvandrere","2","0","768","ikke_arbutd_innvkat_land","personer"
"2006","030109","innvandrere","2","1","645","ikke_arbutd_innvkat_land","personer"
"2006","030109","innvandrere","2","alle","1413","ikke_arbutd_innvkat_land","personer"
"2006","030109","innvandrere","alle","0","876","ikke_arbutd_innvkat_land","personer"
"2006","030109","innvandrere","alle","1","800","ikke_arbutd_innvkat_land","personer"
"2006","030109","innvandrere","alle","alle","1676","ikke_arbutd_innvkat_land","personer"
"2006","030110","alle","1","0","112","ikke_arbutd_innvkat_land","personer"
"2006","030110","alle","1","1","97","ikke_arbutd_innvkat_land","personer"
"2006","030110","alle","1","alle","209","ikke_arbutd_innvkat_land","personer"
"2006","030110","alle","2","0","985","ikke_arbutd_innvkat_land","personer"
"2006","030110","alle","2","1","682","ikke_arbutd_innvkat_land","personer"
"2006","030110","alle","2","alle","1667","ikke_arbutd_innvkat_land","personer"
"2006","030110","alle","alle","0","2249","ikke_arbutd_innvkat_land","personer"
"2006","030110","alle","alle","1","1738","ikke_arbutd_innvkat_land","personer"
"2006","030110","alle","alle","alle","3987","ikke_arbutd_innvkat_land","personer"
"2006","030110","befolkningen_ellers","1","0","0","ikke_arbutd_innvkat_land","personer"
"2006","030110","befolkningen_ellers","1","1","0","ikke_arbutd_innvkat_land","personer"
"2006","030110","befolkningen_ellers","1","alle","0","ikke_arbutd_innvkat_land","personer"
"2006","030110","befolkningen_ellers","2","0","0","ikke_arbutd_innvkat_land","personer"
"2006","030110","befolkningen_ellers","2","1","0","ikke_arbutd_innvkat_land","personer"
"2006","030110","befolkningen_ellers","2","alle","0","ikke_arbutd_innvkat_land","personer"
"2006","030110","befolkningen_ellers","alle","0","1152","ikke_arbutd_innvkat_land","personer"
"2006","030110","befolkningen_ellers","alle","1","959","ikke_arbutd_innvkat_land","personer"
"2006","030110","befolkningen_ellers","alle","alle","2111","ikke_arbutd_innvkat_land","personer"
"2006","030110","innvandrere","1","0","112","ikke_arbutd_innvkat_land","personer"
"2006","030110","innvandrere","1","1","97","ikke_arbutd_innvkat_land","personer"
"2006","030110","innvandrere","1","alle","209","ikke_arbutd_innvkat_land","personer"
"2006","030110","innvandrere","2","0","985","ikke_arbutd_innvkat_land","personer"
"2006","030110","innvandrere","2","1","682","ikke_arbutd_innvkat_land","personer"
"2006","030110","innvandrere","2","alle","1667","ikke_arbutd_innvkat_land","personer"
"2006","030110","innvandrere","alle","0","1097","ikke_arbutd_innvkat_land","personer"
"2006","030110","innvandrere","alle","1","779","ikke_arbutd_innvkat_land","personer"
"2006","030110","innvandrere","alle","alle","1876","ikke_arbutd_innvkat_land","personer"
"2006","030111","alle","1","0","121","ikke_arbutd_innvkat_land","personer"
"2006","030111","alle","1","1","97","ikke_arbutd_innvkat_land","personer"
"2006","030111","alle","1","alle","218","ikke_arbutd_innvkat_land","personer"
"2006","030111","alle","2","0","579","ikke_arbutd_innvkat_land","personer"
"2006","030111","alle","2","1","358","ikke_arbutd_innvkat_land","personer"
"2006","030111","alle","2","alle","937","ikke_arbutd_innvkat_land","personer"
"2006","030111","alle","alle","0","1462","ikke_arbutd_innvkat_land","personer"
"2006","030111","alle","alle","1","1119","ikke_arbutd_innvkat_land","personer"
"2006","030111","alle","alle","alle","2581","ikke_arbutd_innvkat_land","personer"
"2006","030111","befolkningen_ellers","1","0","0","ikke_arbutd_innvkat_land","personer"
"2006","030111","befolkningen_ellers","1","1","0","ikke_arbutd_innvkat_land","personer"
"2006","030111","befolkningen_ellers","1","alle","0","ikke_arbutd_innvkat_land","personer"
"2006","030111","befolkningen_ellers","2","0","0","ikke_arbutd_innvkat_land","personer"
"2006","030111","befolkningen_ellers","2","1","0","ikke_arbutd_innvkat_land","personer"
"2006","030111","befolkningen_ellers","2","alle","0","ikke_arbutd_innvkat_land","personer"
"2006","030111","befolkningen_ellers","alle","0","762","ikke_arbutd_innvkat_land","personer"
"2006","030111","befolkningen_ellers","alle","1","664","ikke_arbutd_innvkat_land","personer"
"2006","030111","befolkningen_ellers","alle","alle","1426","ikke_arbutd_innvkat_land","personer"
"2006","030111","innvandrere","1","0","121","ikke_arbutd_innvkat_land","personer"
"2006","030111","innvandrere","1","1","97","ikke_arbutd_innvkat_land","personer"
"2006","030111","innvandrere","1","alle","218","ikke_arbutd_innvkat_land","personer"
"2006","030111","innvandrere","2","0","579","ikke_arbutd_innvkat_land","personer"
"2006","030111","innvandrere","2","1","358","ikke_arbutd_innvkat_land","personer"
"2006","030111","innvandrere","2","alle","937","ikke_arbutd_innvkat_land","personer"
"2006","030111","innvandrere","alle","0","700","ikke_arbutd_innvkat_land","personer"
"2006","030111","innvandrere","alle","1","455","ikke_arbutd_innvkat_land","personer"
"2006","030111","innvandrere","alle","alle","1155","ikke_arbutd_innvkat_land","personer"
"2006","030112","alle","1","0","60","ikke_arbutd_innvkat_land","personer"
"2006","030112","alle","1","1","59","ikke_arbutd_innvkat_land","personer"
"2006","030112","alle","1","alle","119","ikke_arbutd_innvkat_land","personer"
"2006","030112","alle","2","0","346","ikke_arbutd_innvkat_land","personer"
"2006","030112","alle","2","1","204","ikke_arbutd_innvkat_land","personer"
"2006","030112","alle","2","alle","550","ikke_arbutd_innvkat_land","personer"
"2006","030112","alle","alle","0","1145","ikke_arbutd_innvkat_land","personer"
"2006","030112","alle","alle","1","787","ikke_arbutd_innvkat_land","personer"
"2006","030112","alle","alle","alle","1932","ikke_arbutd_innvkat_land","personer"
"2006","030112","befolkningen_ellers","1","0","0","ikke_arbutd_innvkat_land","personer"
"2006","030112","befolkningen_ellers","1","1","0","ikke_arbutd_innvkat_land","personer"
"2006","030112","befolkningen_ellers","1","alle","0","ikke_arbutd_innvkat_land","personer"
"2006","030112","befolkningen_ellers","2","0","0","ikke_arbutd_innvkat_land","personer"
"2006","030112","befolkningen_ellers","2","1","0","ikke_arbutd_innvkat_land","personer"
"2006","030112","befolkningen_ellers","2","alle","0","ikke_arbutd_innvkat_land","personer"
"2006","030112","befolkningen_ellers","alle","0","739","ikke_arbutd_innvkat_land","personer"
"2006","030112","befolkningen_ellers","alle","1","524","ikke_arbutd_innvkat_land","personer"
"2006","030112","befolkningen_ellers","alle","alle","1263","ikke_arbutd_innvkat_land","personer"
"2006","030112","innvandrere","1","0","60","ikke_arbutd_innvkat_land","personer"
"2006","030112","innvandrere","1","1","59","ikke_arbutd_innvkat_land","personer"
