"tabell_navn","aar","kommune_nr","kjonn","innvkat_5","enhet","tabellvariabel"
"grunnskolepoeng","2014","0104","0","bef_u_innv_og_norskf","personer","148"
"grunnskolepoeng","2014","0104","0","befolkningen_ellers","grunnskolepoeng","42,6"
"grunnskolepoeng","2014","0104","0","befolkningen_ellers","personer","169"
"grunnskolepoeng","2014","0104","0","innvandrere","grunnskolepoeng","35,8"
"grunnskolepoeng","2014","0104","0","innvandrere","personer","12"
"grunnskolepoeng","2014","0104","0","norskfodte_m_innvf","grunnskolepoeng","40,4"
"grunnskolepoeng","2014","0104","0","norskfodte_m_innvf","personer","21"
"grunnskolepoeng","2014","0105","alle","alle","grunnskolepoeng","37,8"
"grunnskolepoeng","2014","0105","alle","alle","personer","622"
"grunnskolepoeng","2014","0105","alle","bef_u_innv_og_norskf","grunnskolepoeng","38,4"
"grunnskolepoeng","2014","0105","alle","bef_u_innv_og_norskf","personer","514"
"grunnskolepoeng","2014","0105","alle","befolkningen_ellers","grunnskolepoeng","38,4"
"grunnskolepoeng","2014","0105","alle","befolkningen_ellers","personer","549"
"grunnskolepoeng","2014","0105","alle","innvandrere","grunnskolepoeng","34"
"grunnskolepoeng","2014","0105","alle","innvandrere","personer","73"
"grunnskolepoeng","2014","0105","alle","norskfodte_m_innvf","grunnskolepoeng","37,6"
"grunnskolepoeng","2014","0105","alle","norskfodte_m_innvf","personer","35"
"grunnskolepoeng","2014","0105","1","alle","grunnskolepoeng","35,8"
"grunnskolepoeng","2014","0105","1","alle","personer","298"
"grunnskolepoeng","2014","0105","1","bef_u_innv_og_norskf","grunnskolepoeng","36"
"grunnskolepoeng","2014","0105","1","bef_u_innv_og_norskf","personer","237"
"grunnskolepoeng","2014","0105","1","befolkningen_ellers","grunnskolepoeng","36,2"
"grunnskolepoeng","2014","0105","1","befolkningen_ellers","personer","259"
"grunnskolepoeng","2014","0105","1","innvandrere","grunnskolepoeng","33,4"
"grunnskolepoeng","2014","0105","1","innvandrere","personer","39"
"grunnskolepoeng","2014","0105","1","norskfodte_m_innvf","grunnskolepoeng","36,4"
"grunnskolepoeng","2014","0105","1","norskfodte_m_innvf","personer","22"
"grunnskolepoeng","2014","0105","0","alle","grunnskolepoeng","39,8"
"grunnskolepoeng","2014","0105","0","alle","personer","324"
"grunnskolepoeng","2014","0105","0","bef_u_innv_og_norskf","grunnskolepoeng","40,4"
"grunnskolepoeng","2014","0105","0","bef_u_innv_og_norskf","personer","277"
"grunnskolepoeng","2014","0105","0","befolkningen_ellers","grunnskolepoeng","40,4"
"grunnskolepoeng","2014","0105","0","befolkningen_ellers","personer","290"
"grunnskolepoeng","2014","0105","0","innvandrere","grunnskolepoeng","34,8"
"grunnskolepoeng","2014","0105","0","innvandrere","personer","34"
"grunnskolepoeng","2014","0105","0","norskfodte_m_innvf","grunnskolepoeng","39,8"
"grunnskolepoeng","2014","0105","0","norskfodte_m_innvf","personer","13"
"grunnskolepoeng","2014","0106","alle","alle","grunnskolepoeng","40,2"
"grunnskolepoeng","2014","0106","alle","alle","personer","916"
"grunnskolepoeng","2014","0106","alle","bef_u_innv_og_norskf","grunnskolepoeng","40,6"
"grunnskolepoeng","2014","0106","alle","bef_u_innv_og_norskf","personer","780"
"grunnskolepoeng","2014","0106","alle","befolkningen_ellers","grunnskolepoeng","40,6"
"grunnskolepoeng","2014","0106","alle","befolkningen_ellers","personer","817"
"grunnskolepoeng","2014","0106","alle","innvandrere","grunnskolepoeng","37,2"
"grunnskolepoeng","2014","0106","alle","innvandrere","personer","99"
"grunnskolepoeng","2014","0106","alle","norskfodte_m_innvf","grunnskolepoeng","39,8"
"grunnskolepoeng","2014","0106","alle","norskfodte_m_innvf","personer","37"
"grunnskolepoeng","2014","0106","1","alle","grunnskolepoeng","37,6"
"grunnskolepoeng","2014","0106","1","alle","personer","473"
"grunnskolepoeng","2014","0106","1","bef_u_innv_og_norskf","grunnskolepoeng","38,2"
"grunnskolepoeng","2014","0106","1","bef_u_innv_og_norskf","personer","402"
"grunnskolepoeng","2014","0106","1","befolkningen_ellers","grunnskolepoeng","38,2"
"grunnskolepoeng","2014","0106","1","befolkningen_ellers","personer","422"
"grunnskolepoeng","2014","0106","1","innvandrere","grunnskolepoeng","33,6"
"grunnskolepoeng","2014","0106","1","innvandrere","personer","51"
"grunnskolepoeng","2014","0106","1","norskfodte_m_innvf","grunnskolepoeng","38,8"
"grunnskolepoeng","2014","0106","1","norskfodte_m_innvf","personer","20"
"grunnskolepoeng","2014","0106","0","alle","grunnskolepoeng","43"
"grunnskolepoeng","2014","0106","0","alle","personer","443"
"grunnskolepoeng","2014","0106","0","bef_u_innv_og_norskf","grunnskolepoeng","43,4"
"grunnskolepoeng","2014","0106","0","bef_u_innv_og_norskf","personer","378"
"grunnskolepoeng","2014","0106","0","befolkningen_ellers","grunnskolepoeng","43,2"
"grunnskolepoeng","2014","0106","0","befolkningen_ellers","personer","395"
"grunnskolepoeng","2014","0106","0","innvandrere","grunnskolepoeng","41"
"grunnskolepoeng","2014","0106","0","innvandrere","personer","48"
"grunnskolepoeng","2014","0106","0","norskfodte_m_innvf","grunnskolepoeng","41"
"grunnskolepoeng","2014","0106","0","norskfodte_m_innvf","personer","17"
"grunnskolepoeng","2014","0111","alle","alle","grunnskolepoeng","39,2"
"grunnskolepoeng","2014","0111","alle","alle","personer","42"
"grunnskolepoeng","2014","0111","alle","bef_u_innv_og_norskf","grunnskolepoeng","39,6"
"grunnskolepoeng","2014","0111","alle","bef_u_innv_og_norskf","personer","39"
"grunnskolepoeng","2014","0111","alle","befolkningen_ellers","grunnskolepoeng","39,6"
"grunnskolepoeng","2014","0111","alle","befolkningen_ellers","personer","40"
"grunnskolepoeng","2014","0111","alle","innvandrere","grunnskolepoeng","33"
"grunnskolepoeng","2014","0111","alle","innvandrere","personer","3"
"grunnskolepoeng","2014","0111","alle","norskfodte_m_innvf","grunnskolepoeng","0"
"grunnskolepoeng","2014","0111","alle","norskfodte_m_innvf","personer","0"
"grunnskolepoeng","2014","0111","1","alle","grunnskolepoeng","37,2"
"grunnskolepoeng","2014","0111","1","alle","personer","25"
"grunnskolepoeng","2014","0111","1","bef_u_innv_og_norskf","grunnskolepoeng","37,2"
"grunnskolepoeng","2014","0111","1","bef_u_innv_og_norskf","personer","23"
"grunnskolepoeng","2014","0111","1","befolkningen_ellers","grunnskolepoeng","37,4"
"grunnskolepoeng","2014","0111","1","befolkningen_ellers","personer","24"
"grunnskolepoeng","2014","0111","1","innvandrere","grunnskolepoeng","0"
"grunnskolepoeng","2014","0111","1","innvandrere","personer","0"
"grunnskolepoeng","2014","0111","1","norskfodte_m_innvf","grunnskolepoeng","0"
"grunnskolepoeng","2014","0111","1","norskfodte_m_innvf","personer","0"
"grunnskolepoeng","2014","0111","0","alle","grunnskolepoeng","42,4"
"grunnskolepoeng","2014","0111","0","alle","personer","17"
"grunnskolepoeng","2014","0111","0","bef_u_innv_og_norskf","grunnskolepoeng","43"
"grunnskolepoeng","2014","0111","0","bef_u_innv_og_norskf","personer","16"
"grunnskolepoeng","2014","0111","0","befolkningen_ellers","grunnskolepoeng","43"
"grunnskolepoeng","2014","0111","0","befolkningen_ellers","personer","16"
"grunnskolepoeng","2014","0111","0","innvandrere","grunnskolepoeng","32,8"
"grunnskolepoeng","2014","0111","0","innvandrere","personer","3"
"grunnskolepoeng","2014","0111","0","norskfodte_m_innvf","grunnskolepoeng","0"
"grunnskolepoeng","2014","0111","0","norskfodte_m_innvf","personer","0"
"grunnskolepoeng","2014","0118","alle","alle","grunnskolepoeng","41"
"grunnskolepoeng","2014","0118","alle","alle","personer","14"
"grunnskolepoeng","2014","0118","alle","bef_u_innv_og_norskf","grunnskolepoeng","41"
"grunnskolepoeng","2014","0118","alle","bef_u_innv_og_norskf","personer","14"
"grunnskolepoeng","2014","0118","alle","befolkningen_ellers","grunnskolepoeng","41"
"grunnskolepoeng","2014","0118","alle","befolkningen_ellers","personer","14"
"grunnskolepoeng","2014","0118","alle","innvandrere","grunnskolepoeng","0"
"grunnskolepoeng","2014","0118","alle","innvandrere","personer","0"
"grunnskolepoeng","2014","0118","alle","norskfodte_m_innvf","grunnskolepoeng","0"
"grunnskolepoeng","2014","0118","alle","norskfodte_m_innvf","personer","0"
"grunnskolepoeng","2014","0118","1","alle","grunnskolepoeng","41,8"
"grunnskolepoeng","2014","0118","1","alle","personer","5"
"grunnskolepoeng","2014","0118","1","bef_u_innv_og_norskf","grunnskolepoeng","41,8"
"grunnskolepoeng","2014","0118","1","bef_u_innv_og_norskf","personer","5"
"grunnskolepoeng","2014","0118","1","befolkningen_ellers","grunnskolepoeng","41,8"
"grunnskolepoeng","2014","0118","1","befolkningen_ellers","personer","5"
"grunnskolepoeng","2014","0118","1","innvandrere","grunnskolepoeng","0"
"grunnskolepoeng","2014","0118","1","innvandrere","personer","0"
"grunnskolepoeng","2014","0118","1","norskfodte_m_innvf","grunnskolepoeng","0"
"grunnskolepoeng","2014","0118","1","norskfodte_m_innvf","personer","0"
"grunnskolepoeng","2014","0118","0","alle","grunnskolepoeng","40,6"
"grunnskolepoeng","2014","0118","0","alle","personer","9"
"grunnskolepoeng","2014","0118","0","bef_u_innv_og_norskf","grunnskolepoeng","40,6"
"grunnskolepoeng","2014","0118","0","bef_u_innv_og_norskf","personer","9"
"grunnskolepoeng","2014","0118","0","befolkningen_ellers","grunnskolepoeng","40,6"
"grunnskolepoeng","2014","0118","0","befolkningen_ellers","personer","9"
"grunnskolepoeng","2014","0118","0","innvandrere","grunnskolepoeng","0"
"grunnskolepoeng","2014","0118","0","innvandrere","personer","0"
"grunnskolepoeng","2014","0118","0","norskfodte_m_innvf","grunnskolepoeng","0"
"grunnskolepoeng","2014","0118","0","norskfodte_m_innvf","personer","0"
"grunnskolepoeng","2014","0119","alle","alle","grunnskolepoeng","41,2"
"grunnskolepoeng","2014","0119","alle","alle","personer","51"
"grunnskolepoeng","2014","0119","alle","bef_u_innv_og_norskf","grunnskolepoeng","41"
"grunnskolepoeng","2014","0119","alle","bef_u_innv_og_norskf","personer","49"
"grunnskolepoeng","2014","0119","alle","befolkningen_ellers","grunnskolepoeng","41"
"grunnskolepoeng","2014","0119","alle","befolkningen_ellers","personer","49"
"grunnskolepoeng","2014","0119","alle","innvandrere","grunnskolepoeng","42,2"
"grunnskolepoeng","2014","0119","alle","innvandrere","personer","3"
"grunnskolepoeng","2014","0119","alle","norskfodte_m_innvf","grunnskolepoeng","0"
"grunnskolepoeng","2014","0119","alle","norskfodte_m_innvf","personer","0"
"grunnskolepoeng","2014","0119","1","alle","grunnskolepoeng","37,2"
"grunnskolepoeng","2014","0119","1","alle","personer","24"
"grunnskolepoeng","2014","0119","1","bef_u_innv_og_norskf","grunnskolepoeng","36,8"
"grunnskolepoeng","2014","0119","1","bef_u_innv_og_norskf","personer","23"
"grunnskolepoeng","2014","0119","1","befolkningen_ellers","grunnskolepoeng","36,8"
"grunnskolepoeng","2014","0119","1","befolkningen_ellers","personer","23"
"grunnskolepoeng","2014","0119","1","innvandrere","grunnskolepoeng","0"
"grunnskolepoeng","2014","0119","1","innvandrere","personer","0"
"grunnskolepoeng","2014","0119","1","norskfodte_m_innvf","grunnskolepoeng","0"
"grunnskolepoeng","2014","0119","1","norskfodte_m_innvf","personer","0"
"grunnskolepoeng","2014","0119","0","alle","grunnskolepoeng","44,6"
"grunnskolepoeng","2014","0119","0","alle","personer","27"
"grunnskolepoeng","2014","0119","0","bef_u_innv_og_norskf","grunnskolepoeng","45"
"grunnskolepoeng","2014","0119","0","bef_u_innv_og_norskf","personer","26"
"grunnskolepoeng","2014","0119","0","befolkningen_ellers","grunnskolepoeng","45"
"grunnskolepoeng","2014","0119","0","befolkningen_ellers","personer","26"
"grunnskolepoeng","2014","0119","0","innvandrere","grunnskolepoeng","35,6"
"grunnskolepoeng","2014","0119","0","innvandrere","personer","3"
"grunnskolepoeng","2014","0119","0","norskfodte_m_innvf","grunnskolepoeng","0"
"grunnskolepoeng","2014","0119","0","norskfodte_m_innvf","personer","0"
"grunnskolepoeng","2014","0121","alle","alle","grunnskolepoeng","45,2"
"grunnskolepoeng","2014","0121","alle","alle","personer","9"
"grunnskolepoeng","2014","0121","alle","bef_u_innv_og_norskf","grunnskolepoeng","45,2"
"grunnskolepoeng","2014","0121","alle","bef_u_innv_og_norskf","personer","9"
"grunnskolepoeng","2014","0121","alle","befolkningen_ellers","grunnskolepoeng","45,2"
"grunnskolepoeng","2014","0121","alle","befolkningen_ellers","personer","9"
"grunnskolepoeng","2014","0121","alle","innvandrere","grunnskolepoeng","0"
"grunnskolepoeng","2014","0121","alle","innvandrere","personer","0"
"grunnskolepoeng","2014","0121","alle","norskfodte_m_innvf","grunnskolepoeng","0"
"grunnskolepoeng","2014","0121","alle","norskfodte_m_innvf","personer","0"
"grunnskolepoeng","2014","0121","1","alle","grunnskolepoeng","43,2"
"grunnskolepoeng","2014","0121","1","alle","personer","4"
"grunnskolepoeng","2014","0121","1","bef_u_innv_og_norskf","grunnskolepoeng","43,2"
"grunnskolepoeng","2014","0121","1","bef_u_innv_og_norskf","personer","4"
"grunnskolepoeng","2014","0121","1","befolkningen_ellers","grunnskolepoeng","43,2"
"grunnskolepoeng","2014","0121","1","befolkningen_ellers","personer","4"
"grunnskolepoeng","2014","0121","1","innvandrere","grunnskolepoeng","0"
"grunnskolepoeng","2014","0121","1","innvandrere","personer","0"
"grunnskolepoeng","2014","0121","1","norskfodte_m_innvf","grunnskolepoeng","0"
"grunnskolepoeng","2014","0121","1","norskfodte_m_innvf","personer","0"
"grunnskolepoeng","2014","0121","0","alle","grunnskolepoeng","47"
"grunnskolepoeng","2014","0121","0","alle","personer","5"
"grunnskolepoeng","2014","0121","0","bef_u_innv_og_norskf","grunnskolepoeng","47"
"grunnskolepoeng","2014","0121","0","bef_u_innv_og_norskf","personer","5"
"grunnskolepoeng","2014","0121","0","befolkningen_ellers","grunnskolepoeng","47"
"grunnskolepoeng","2014","0121","0","befolkningen_ellers","personer","5"
"grunnskolepoeng","2014","0121","0","innvandrere","grunnskolepoeng","0"
"grunnskolepoeng","2014","0121","0","innvandrere","personer","0"
"grunnskolepoeng","2014","0121","0","norskfodte_m_innvf","grunnskolepoeng","0"
"grunnskolepoeng","2014","0121","0","norskfodte_m_innvf","personer","0"
"grunnskolepoeng","2014","0122","alle","alle","grunnskolepoeng","40,2"
"grunnskolepoeng","2014","0122","alle","alle","personer","81"
"grunnskolepoeng","2014","0122","alle","bef_u_innv_og_norskf","grunnskolepoeng","40,8"
"grunnskolepoeng","2014","0122","alle","bef_u_innv_og_norskf","personer","71"
"grunnskolepoeng","2014","0122","alle","befolkningen_ellers","grunnskolepoeng","40,8"
"grunnskolepoeng","2014","0122","alle","befolkningen_ellers","personer","72"
"grunnskolepoeng","2014","0122","alle","innvandrere","grunnskolepoeng","35"
"grunnskolepoeng","2014","0122","alle","innvandrere","personer","9"
"grunnskolepoeng","2014","0122","alle","norskfodte_m_innvf","grunnskolepoeng","0"
"grunnskolepoeng","2014","0122","alle","norskfodte_m_innvf","personer","0"
"grunnskolepoeng","2014","0122","1","alle","grunnskolepoeng","38,6"
"grunnskolepoeng","2014","0122","1","alle","personer","42"
"grunnskolepoeng","2014","0122","1","bef_u_innv_og_norskf","grunnskolepoeng","39"
"grunnskolepoeng","2014","0122","1","bef_u_innv_og_norskf","personer","38"
"grunnskolepoeng","2014","0122","1","befolkningen_ellers","grunnskolepoeng","39"
"grunnskolepoeng","2014","0122","1","befolkningen_ellers","personer","38"
"grunnskolepoeng","2014","0122","1","innvandrere","grunnskolepoeng","34,8"
"grunnskolepoeng","2014","0122","1","innvandrere","personer","4"
"grunnskolepoeng","2014","0122","1","norskfodte_m_innvf","grunnskolepoeng","0"
"grunnskolepoeng","2014","0122","1","norskfodte_m_innvf","personer","0"
"grunnskolepoeng","2014","0122","0","alle","grunnskolepoeng","42"
"grunnskolepoeng","2014","0122","0","alle","personer","39"
"grunnskolepoeng","2014","0122","0","bef_u_innv_og_norskf","grunnskolepoeng","42,6"
"grunnskolepoeng","2014","0122","0","bef_u_innv_og_norskf","personer","33"
"grunnskolepoeng","2014","0122","0","befolkningen_ellers","grunnskolepoeng","42,8"
"grunnskolepoeng","2014","0122","0","befolkningen_ellers","personer","34"
"grunnskolepoeng","2014","0122","0","innvandrere","grunnskolepoeng","35,2"
"grunnskolepoeng","2014","0122","0","innvandrere","personer","5"
"grunnskolepoeng","2014","0122","0","norskfodte_m_innvf","grunnskolepoeng","0"
"grunnskolepoeng","2014","0122","0","norskfodte_m_innvf","personer","0"
"grunnskolepoeng","2014","0123","alle","alle","grunnskolepoeng","39,8"
"grunnskolepoeng","2014","0123","alle","alle","personer","68"
"grunnskolepoeng","2014","0123","alle","bef_u_innv_og_norskf","grunnskolepoeng","39,8"
"grunnskolepoeng","2014","0123","alle","bef_u_innv_og_norskf","personer","60"
"grunnskolepoeng","2014","0123","alle","befolkningen_ellers","grunnskolepoeng","39,6"
"grunnskolepoeng","2014","0123","alle","befolkningen_ellers","personer","62"
"grunnskolepoeng","2014","0123","alle","innvandrere","grunnskolepoeng","42,2"
"grunnskolepoeng","2014","0123","alle","innvandrere","personer","6"
"grunnskolepoeng","2014","0123","alle","norskfodte_m_innvf","grunnskolepoeng","31,2"
"grunnskolepoeng","2014","0123","alle","norskfodte_m_innvf","personer","3"
"grunnskolepoeng","2014","0123","1","alle","grunnskolepoeng","38"
"grunnskolepoeng","2014","0123","1","alle","personer","35"
"grunnskolepoeng","2014","0123","1","bef_u_innv_og_norskf","grunnskolepoeng","38"
"grunnskolepoeng","2014","0123","1","bef_u_innv_og_norskf","personer","32"
"grunnskolepoeng","2014","0123","1","befolkningen_ellers","grunnskolepoeng","37,6"
"grunnskolepoeng","2014","0123","1","befolkningen_ellers","personer","33"
"grunnskolepoeng","2014","0123","1","innvandrere","grunnskolepoeng","43,2"
"grunnskolepoeng","2014","0123","1","innvandrere","personer","3"
"grunnskolepoeng","2014","0123","1","norskfodte_m_innvf","grunnskolepoeng","0"
"grunnskolepoeng","2014","0123","1","norskfodte_m_innvf","personer","0"
"grunnskolepoeng","2014","0123","0","alle","grunnskolepoeng","41,6"
"grunnskolepoeng","2014","0123","0","alle","personer","33"
"grunnskolepoeng","2014","0123","0","bef_u_innv_og_norskf","grunnskolepoeng","42"
"grunnskolepoeng","2014","0123","0","bef_u_innv_og_norskf","personer","28"
"grunnskolepoeng","2014","0123","0","befolkningen_ellers","grunnskolepoeng","41,6"
"grunnskolepoeng","2014","0123","0","befolkningen_ellers","personer","29"
"grunnskolepoeng","2014","0123","0","innvandrere","grunnskolepoeng","41,8"
"grunnskolepoeng","2014","0123","0","innvandrere","personer","4"
"grunnskolepoeng","2014","0123","0","norskfodte_m_innvf","grunnskolepoeng","33,2"
"grunnskolepoeng","2014","0123","0","norskfodte_m_innvf","personer","3"
"grunnskolepoeng","2014","0124","alle","alle","grunnskolepoeng","41"
"grunnskolepoeng","2014","0124","alle","alle","personer","163"
"grunnskolepoeng","2014","0124","alle","bef_u_innv_og_norskf","grunnskolepoeng","41,8"
"grunnskolepoeng","2014","0124","alle","bef_u_innv_og_norskf","personer","130"
"grunnskolepoeng","2014","0124","alle","befolkningen_ellers","grunnskolepoeng","41,2"
"grunnskolepoeng","2014","0124","alle","befolkningen_ellers","personer","146"
"grunnskolepoeng","2014","0124","alle","innvandrere","grunnskolepoeng","38,6"
"grunnskolepoeng","2014","0124","alle","innvandrere","personer","17"
"grunnskolepoeng","2014","0124","alle","norskfodte_m_innvf","grunnskolepoeng","37,8"
"grunnskolepoeng","2014","0124","alle","norskfodte_m_innvf","personer","16"
"grunnskolepoeng","2014","0124","1","alle","grunnskolepoeng","39,2"
"grunnskolepoeng","2014","0124","1","alle","personer","85"
"grunnskolepoeng","2014","0124","1","bef_u_innv_og_norskf","grunnskolepoeng","39,6"
"grunnskolepoeng","2014","0124","1","bef_u_innv_og_norskf","personer","67"
"grunnskolepoeng","2014","0124","1","befolkningen_ellers","grunnskolepoeng","39,2"
"grunnskolepoeng","2014","0124","1","befolkningen_ellers","personer","77"
"grunnskolepoeng","2014","0124","1","innvandrere","grunnskolepoeng","38,6"
"grunnskolepoeng","2014","0124","1","innvandrere","personer","8"
"grunnskolepoeng","2014","0124","1","norskfodte_m_innvf","grunnskolepoeng","36,8"
"grunnskolepoeng","2014","0124","1","norskfodte_m_innvf","personer","10"
"grunnskolepoeng","2014","0124","0","alle","grunnskolepoeng","43"
"grunnskolepoeng","2014","0124","0","alle","personer","78"
"grunnskolepoeng","2014","0124","0","bef_u_innv_og_norskf","grunnskolepoeng","44"
"grunnskolepoeng","2014","0124","0","bef_u_innv_og_norskf","personer","63"
"grunnskolepoeng","2014","0124","0","befolkningen_ellers","grunnskolepoeng","43,6"
"grunnskolepoeng","2014","0124","0","befolkningen_ellers","personer","69"
"grunnskolepoeng","2014","0124","0","innvandrere","grunnskolepoeng","38,8"
"grunnskolepoeng","2014","0124","0","innvandrere","personer","9"
"grunnskolepoeng","2014","0124","0","norskfodte_m_innvf","grunnskolepoeng","39,4"
"grunnskolepoeng","2014","0124","0","norskfodte_m_innvf","personer","6"
"grunnskolepoeng","2014","0125","alle","alle","grunnskolepoeng","38,4"
"grunnskolepoeng","2014","0125","alle","alle","personer","136"
"grunnskolepoeng","2014","0125","alle","bef_u_innv_og_norskf","grunnskolepoeng","39,2"
"grunnskolepoeng","2014","0125","alle","bef_u_innv_og_norskf","personer","110"
"grunnskolepoeng","2014","0125","alle","befolkningen_ellers","grunnskolepoeng","38,8"
"grunnskolepoeng","2014","0125","alle","befolkningen_ellers","personer","115"
"grunnskolepoeng","2014","0125","alle","innvandrere","grunnskolepoeng","36,4"
"grunnskolepoeng","2014","0125","alle","innvandrere","personer","21"
"grunnskolepoeng","2014","0125","alle","norskfodte_m_innvf","grunnskolepoeng","33,4"
"grunnskolepoeng","2014","0125","alle","norskfodte_m_innvf","personer","5"
"grunnskolepoeng","2014","0125","1","alle","grunnskolepoeng","35,6"
"grunnskolepoeng","2014","0125","1","alle","personer","64"
"grunnskolepoeng","2014","0125","1","bef_u_innv_og_norskf","grunnskolepoeng","35,6"
"grunnskolepoeng","2014","0125","1","bef_u_innv_og_norskf","personer","47"
"grunnskolepoeng","2014","0125","1","befolkningen_ellers","grunnskolepoeng","35,4"
"grunnskolepoeng","2014","0125","1","befolkningen_ellers","personer","50"
"grunnskolepoeng","2014","0125","1","innvandrere","grunnskolepoeng","36,6"
"grunnskolepoeng","2014","0125","1","innvandrere","personer","14"
"grunnskolepoeng","2014","0125","1","norskfodte_m_innvf","grunnskolepoeng","32,8"
"grunnskolepoeng","2014","0125","1","norskfodte_m_innvf","personer","3"
"grunnskolepoeng","2014","0125","0","alle","grunnskolepoeng","41"
"grunnskolepoeng","2014","0125","0","alle","personer","72"
"grunnskolepoeng","2014","0125","0","bef_u_innv_og_norskf","grunnskolepoeng","41,8"
"grunnskolepoeng","2014","0125","0","bef_u_innv_og_norskf","personer","63"
"grunnskolepoeng","2014","0125","0","befolkningen_ellers","grunnskolepoeng","41,6"
"grunnskolepoeng","2014","0125","0","befolkningen_ellers","personer","65"
"grunnskolepoeng","2014","0125","0","innvandrere","grunnskolepoeng","36"
"grunnskolepoeng","2014","0125","0","innvandrere","personer","7"
"grunnskolepoeng","2014","0125","0","norskfodte_m_innvf","grunnskolepoeng","34,2"
"grunnskolepoeng","2014","0125","0","norskfodte_m_innvf","personer","3"
"grunnskolepoeng","2014","0127","alle","alle","grunnskolepoeng","38"
