"aar","fylke_nr","spraak","undervisning_grskole","enhet","tabellvariabel","tabell_navn"
"2013","02","alle","kun_spesialund","prosent","43.4899329","voksne_grunnskole"
"2013","02","alle","grskole_og_spesial","personer","1","voksne_grunnskole"
"2013","02","alle","grskole_og_spesial","prosent","0.1342282","voksne_grunnskole"
"2013","02","minoritet","alle","personer","391","voksne_grunnskole"
"2013","02","minoritet","alle","prosent","52.5","voksne_grunnskole"
"2013","02","ikke_minoritet","alle","personer","354","voksne_grunnskole"
"2013","02","ikke_minoritet","alle","prosent","47.51677852","voksne_grunnskole"
"2013","03","alle","alle","personer","2260","voksne_grunnskole"
"2013","03","alle","alle","prosent","100","voksne_grunnskole"
"2013","03","alle","kun_grunnskoleoppl","personer","1613","voksne_grunnskole"
"2013","03","alle","kun_grunnskoleoppl","prosent","71.3716814","voksne_grunnskole"
"2013","03","alle","kun_spesialund","personer","647","voksne_grunnskole"
"2013","03","alle","kun_spesialund","prosent","28.6283186","voksne_grunnskole"
"2013","03","alle","grskole_og_spesial","personer","0","voksne_grunnskole"
"2013","03","alle","grskole_og_spesial","prosent","0","voksne_grunnskole"
"2013","03","minoritet","alle","personer","1758","voksne_grunnskole"
"2013","03","minoritet","alle","prosent","77.8","voksne_grunnskole"
"2013","03","ikke_minoritet","alle","personer","502","voksne_grunnskole"
"2013","03","ikke_minoritet","alle","prosent","22.21238938","voksne_grunnskole"
"2013","04","alle","alle","personer","246","voksne_grunnskole"
"2013","04","alle","alle","prosent","100","voksne_grunnskole"
"2013","04","alle","kun_grunnskoleoppl","personer","150","voksne_grunnskole"
"2013","04","alle","kun_grunnskoleoppl","prosent","60.9756098","voksne_grunnskole"
"2013","04","alle","kun_spesialund","personer","83","voksne_grunnskole"
"2013","04","alle","kun_spesialund","prosent","33.7398374","voksne_grunnskole"
"2013","04","alle","grskole_og_spesial","personer","13","voksne_grunnskole"
"2013","04","alle","grskole_og_spesial","prosent","5.2845528","voksne_grunnskole"
"2013","04","minoritet","alle","personer","136","voksne_grunnskole"
"2013","04","minoritet","alle","prosent","55.3","voksne_grunnskole"
"2013","04","ikke_minoritet","alle","personer","110","voksne_grunnskole"
"2013","04","ikke_minoritet","alle","prosent","44.71544715","voksne_grunnskole"
"2013","05","alle","alle","personer","378","voksne_grunnskole"
"2013","05","alle","alle","prosent","100","voksne_grunnskole"
"2013","05","alle","kun_grunnskoleoppl","personer","213","voksne_grunnskole"
"2013","05","alle","kun_grunnskoleoppl","prosent","56.3492063","voksne_grunnskole"
"2013","05","alle","kun_spesialund","personer","160","voksne_grunnskole"
"2013","05","alle","kun_spesialund","prosent","42.3280423","voksne_grunnskole"
"2013","05","alle","grskole_og_spesial","personer","5","voksne_grunnskole"
"2013","05","alle","grskole_og_spesial","prosent","1.3227513","voksne_grunnskole"
"2013","05","minoritet","alle","personer","217","voksne_grunnskole"
"2013","05","minoritet","alle","prosent","57.4","voksne_grunnskole"
"2013","05","ikke_minoritet","alle","personer","161","voksne_grunnskole"
"2013","05","ikke_minoritet","alle","prosent","42.59259259","voksne_grunnskole"
"2013","06","alle","alle","personer","455","voksne_grunnskole"
"2013","06","alle","alle","prosent","100","voksne_grunnskole"
"2013","06","alle","kun_grunnskoleoppl","personer","317","voksne_grunnskole"
"2013","06","alle","kun_grunnskoleoppl","prosent","69.6703297","voksne_grunnskole"
"2013","06","alle","kun_spesialund","personer","129","voksne_grunnskole"
"2013","06","alle","kun_spesialund","prosent","28.3516484","voksne_grunnskole"
"2013","06","alle","grskole_og_spesial","personer","9","voksne_grunnskole"
"2013","06","alle","grskole_og_spesial","prosent","1.978022","voksne_grunnskole"
"2013","06","minoritet","alle","personer","312","voksne_grunnskole"
"2013","06","minoritet","alle","prosent","68.6","voksne_grunnskole"
"2013","06","ikke_minoritet","alle","personer","143","voksne_grunnskole"
"2013","06","ikke_minoritet","alle","prosent","31.42857143","voksne_grunnskole"
"2013","07","alle","alle","personer","465","voksne_grunnskole"
"2013","07","alle","alle","prosent","100","voksne_grunnskole"
"2013","07","alle","kun_grunnskoleoppl","personer","308","voksne_grunnskole"
"2013","07","alle","kun_grunnskoleoppl","prosent","66.2365591","voksne_grunnskole"
"2013","07","alle","kun_spesialund","personer","152","voksne_grunnskole"
"2013","07","alle","kun_spesialund","prosent","32.688172","voksne_grunnskole"
"2013","07","alle","grskole_og_spesial","personer","5","voksne_grunnskole"
"2013","07","alle","grskole_og_spesial","prosent","1.0752688","voksne_grunnskole"
"2013","07","minoritet","alle","personer","283","voksne_grunnskole"
"2013","07","minoritet","alle","prosent","60.9","voksne_grunnskole"
"2013","07","ikke_minoritet","alle","personer","182","voksne_grunnskole"
"2013","07","ikke_minoritet","alle","prosent","39.13978495","voksne_grunnskole"
"2013","08","alle","alle","personer","499","voksne_grunnskole"
"2013","08","alle","alle","prosent","100","voksne_grunnskole"
"2013","08","alle","kun_grunnskoleoppl","personer","267","voksne_grunnskole"
"2013","08","alle","kun_grunnskoleoppl","prosent","53.507014","voksne_grunnskole"
"2013","08","alle","kun_spesialund","personer","225","voksne_grunnskole"
"2013","08","alle","kun_spesialund","prosent","45.0901804","voksne_grunnskole"
"2013","08","alle","grskole_og_spesial","personer","7","voksne_grunnskole"
"2013","08","alle","grskole_og_spesial","prosent","1.4028056","voksne_grunnskole"
"2013","08","minoritet","alle","personer","290","voksne_grunnskole"
"2013","08","minoritet","alle","prosent","58.1","voksne_grunnskole"
"2013","08","ikke_minoritet","alle","personer","209","voksne_grunnskole"
"2013","08","ikke_minoritet","alle","prosent","41.88376754","voksne_grunnskole"
"2013","09","alle","alle","personer","337","voksne_grunnskole"
"2013","09","alle","alle","prosent","100","voksne_grunnskole"
"2013","09","alle","kun_grunnskoleoppl","personer","216","voksne_grunnskole"
"2013","09","alle","kun_grunnskoleoppl","prosent","64.0949555","voksne_grunnskole"
"2013","09","alle","kun_spesialund","personer","121","voksne_grunnskole"
"2013","09","alle","kun_spesialund","prosent","35.9050445","voksne_grunnskole"
"2013","09","alle","grskole_og_spesial","personer","0","voksne_grunnskole"
"2013","09","alle","grskole_og_spesial","prosent","0","voksne_grunnskole"
"2013","09","minoritet","alle","personer","219","voksne_grunnskole"
"2013","09","minoritet","alle","prosent","65","voksne_grunnskole"
"2013","09","ikke_minoritet","alle","personer","118","voksne_grunnskole"
"2013","09","ikke_minoritet","alle","prosent","35.0148368","voksne_grunnskole"
"2013","10","alle","alle","personer","497","voksne_grunnskole"
"2013","10","alle","alle","prosent","100","voksne_grunnskole"
"2013","10","alle","kun_grunnskoleoppl","personer","210","voksne_grunnskole"
"2013","10","alle","kun_grunnskoleoppl","prosent","42.2535211","voksne_grunnskole"
"2013","10","alle","kun_spesialund","personer","275","voksne_grunnskole"
"2013","10","alle","kun_spesialund","prosent","55.331992","voksne_grunnskole"
"2013","10","alle","grskole_og_spesial","personer","12","voksne_grunnskole"
"2013","10","alle","grskole_og_spesial","prosent","2.4144869","voksne_grunnskole"
"2013","10","minoritet","alle","personer","227","voksne_grunnskole"
"2013","10","minoritet","alle","prosent","45.7","voksne_grunnskole"
"2013","10","ikke_minoritet","alle","personer","270","voksne_grunnskole"
"2013","10","ikke_minoritet","alle","prosent","54.32595573","voksne_grunnskole"
"2013","11","alle","alle","personer","917","voksne_grunnskole"
"2013","11","alle","alle","prosent","100","voksne_grunnskole"
"2013","11","alle","kun_grunnskoleoppl","personer","506","voksne_grunnskole"
"2013","11","alle","kun_grunnskoleoppl","prosent","55.1799346","voksne_grunnskole"
"2013","11","alle","kun_spesialund","personer","407","voksne_grunnskole"
"2013","11","alle","kun_spesialund","prosent","44.3838604","voksne_grunnskole"
"2013","11","alle","grskole_og_spesial","personer","4","voksne_grunnskole"
"2013","11","alle","grskole_og_spesial","prosent","0.436205","voksne_grunnskole"
"2013","11","minoritet","alle","personer","502","voksne_grunnskole"
"2013","11","minoritet","alle","prosent","54.7","voksne_grunnskole"
"2013","11","ikke_minoritet","alle","personer","415","voksne_grunnskole"
"2013","11","ikke_minoritet","alle","prosent","45.25627045","voksne_grunnskole"
"2013","12","alle","alle","personer","606","voksne_grunnskole"
"2013","12","alle","alle","prosent","100","voksne_grunnskole"
"2013","12","alle","kun_grunnskoleoppl","personer","424","voksne_grunnskole"
"2013","12","alle","kun_grunnskoleoppl","prosent","69.9669967","voksne_grunnskole"
"2013","12","alle","kun_spesialund","personer","173","voksne_grunnskole"
"2013","12","alle","kun_spesialund","prosent","28.5478548","voksne_grunnskole"
"2013","12","alle","grskole_og_spesial","personer","9","voksne_grunnskole"
"2013","12","alle","grskole_og_spesial","prosent","1.4851485","voksne_grunnskole"
"2013","12","minoritet","alle","personer","324","voksne_grunnskole"
"2013","12","minoritet","alle","prosent","53.5","voksne_grunnskole"
"2013","12","ikke_minoritet","alle","personer","282","voksne_grunnskole"
"2013","12","ikke_minoritet","alle","prosent","46.53465347","voksne_grunnskole"
"2013","14","alle","alle","personer","160","voksne_grunnskole"
"2013","14","alle","alle","prosent","100","voksne_grunnskole"
"2013","14","alle","kun_grunnskoleoppl","personer","88","voksne_grunnskole"
"2013","14","alle","kun_grunnskoleoppl","prosent","55","voksne_grunnskole"
"2013","14","alle","kun_spesialund","personer","72","voksne_grunnskole"
"2013","14","alle","kun_spesialund","prosent","45","voksne_grunnskole"
"2013","14","alle","grskole_og_spesial","personer","0","voksne_grunnskole"
"2013","14","alle","grskole_og_spesial","prosent","0","voksne_grunnskole"
"2013","14","minoritet","alle","personer","62","voksne_grunnskole"
"2013","14","minoritet","alle","prosent","38.8","voksne_grunnskole"
"2013","14","ikke_minoritet","alle","personer","98","voksne_grunnskole"
"2013","14","ikke_minoritet","alle","prosent","61.25","voksne_grunnskole"
"2013","15","alle","alle","personer","683","voksne_grunnskole"
"2013","15","alle","alle","prosent","100","voksne_grunnskole"
"2013","15","alle","kun_grunnskoleoppl","personer","318","voksne_grunnskole"
"2013","15","alle","kun_grunnskoleoppl","prosent","46.5592972","voksne_grunnskole"
"2013","15","alle","kun_spesialund","personer","278","voksne_grunnskole"
"2013","15","alle","kun_spesialund","prosent","40.7027818","voksne_grunnskole"
"2013","15","alle","grskole_og_spesial","personer","87","voksne_grunnskole"
"2013","15","alle","grskole_og_spesial","prosent","12.7379209","voksne_grunnskole"
"2013","15","minoritet","alle","personer","298","voksne_grunnskole"
"2013","15","minoritet","alle","prosent","43.6","voksne_grunnskole"
"2013","15","ikke_minoritet","alle","personer","385","voksne_grunnskole"
"2013","15","ikke_minoritet","alle","prosent","56.36896047","voksne_grunnskole"
"2013","16","alle","alle","personer","405","voksne_grunnskole"
"2013","16","alle","alle","prosent","100","voksne_grunnskole"
"2013","16","alle","kun_grunnskoleoppl","personer","254","voksne_grunnskole"
"2013","16","alle","kun_grunnskoleoppl","prosent","62.7160494","voksne_grunnskole"
"2013","16","alle","kun_spesialund","personer","148","voksne_grunnskole"
"2013","16","alle","kun_spesialund","prosent","36.5432099","voksne_grunnskole"
"2013","16","alle","grskole_og_spesial","personer","3","voksne_grunnskole"
"2013","16","alle","grskole_og_spesial","prosent","0.7407407","voksne_grunnskole"
"2013","16","minoritet","alle","personer","301","voksne_grunnskole"
"2013","16","minoritet","alle","prosent","74.3","voksne_grunnskole"
"2013","16","ikke_minoritet","alle","personer","104","voksne_grunnskole"
"2013","16","ikke_minoritet","alle","prosent","25.67901235","voksne_grunnskole"
"2013","17","alle","alle","personer","251","voksne_grunnskole"
"2013","17","alle","alle","prosent","100","voksne_grunnskole"
"2013","17","alle","kun_grunnskoleoppl","personer","157","voksne_grunnskole"
"2013","17","alle","kun_grunnskoleoppl","prosent","62.5498008","voksne_grunnskole"
"2013","17","alle","kun_spesialund","personer","93","voksne_grunnskole"
"2013","17","alle","kun_spesialund","prosent","37.0517928","voksne_grunnskole"
"2013","17","alle","grskole_og_spesial","personer","1","voksne_grunnskole"
"2013","17","alle","grskole_og_spesial","prosent","0.3984064","voksne_grunnskole"
"2013","17","minoritet","alle","personer","156","voksne_grunnskole"
"2013","17","minoritet","alle","prosent","62.2","voksne_grunnskole"
"2013","17","ikke_minoritet","alle","personer","95","voksne_grunnskole"
"2013","17","ikke_minoritet","alle","prosent","37.84860558","voksne_grunnskole"
"2013","18","alle","alle","personer","465","voksne_grunnskole"
"2013","18","alle","alle","prosent","100","voksne_grunnskole"
"2013","18","alle","kun_grunnskoleoppl","personer","385","voksne_grunnskole"
"2013","18","alle","kun_grunnskoleoppl","prosent","82.7956989","voksne_grunnskole"
"2013","18","alle","kun_spesialund","personer","76","voksne_grunnskole"
"2013","18","alle","kun_spesialund","prosent","16.344086","voksne_grunnskole"
"2013","18","alle","grskole_og_spesial","personer","4","voksne_grunnskole"
"2013","18","alle","grskole_og_spesial","prosent","0.8602151","voksne_grunnskole"
"2013","18","minoritet","alle","personer","388","voksne_grunnskole"
"2013","18","minoritet","alle","prosent","83.4","voksne_grunnskole"
"2013","18","ikke_minoritet","alle","personer","77","voksne_grunnskole"
"2013","18","ikke_minoritet","alle","prosent","16.55913978","voksne_grunnskole"
"2013","19","alle","alle","personer","280","voksne_grunnskole"
"2013","19","alle","alle","prosent","100","voksne_grunnskole"
"2013","19","alle","kun_grunnskoleoppl","personer","251","voksne_grunnskole"
"2013","19","alle","kun_grunnskoleoppl","prosent","89.6428571","voksne_grunnskole"
"2013","19","alle","kun_spesialund","personer","29","voksne_grunnskole"
"2013","19","alle","kun_spesialund","prosent","10.3571429","voksne_grunnskole"
"2013","19","alle","grskole_og_spesial","personer","0","voksne_grunnskole"
"2013","19","alle","grskole_og_spesial","prosent","0","voksne_grunnskole"
"2013","19","minoritet","alle","personer","238","voksne_grunnskole"
"2013","19","minoritet","alle","prosent","85","voksne_grunnskole"
"2013","19","ikke_minoritet","alle","personer","42","voksne_grunnskole"
"2013","19","ikke_minoritet","alle","prosent","15","voksne_grunnskole"
"2013","20","alle","alle","personer","172","voksne_grunnskole"
"2013","20","alle","alle","prosent","100","voksne_grunnskole"
"2013","20","alle","kun_grunnskoleoppl","personer","120","voksne_grunnskole"
"2013","20","alle","kun_grunnskoleoppl","prosent","69.7674419","voksne_grunnskole"
"2013","20","alle","kun_spesialund","personer","49","voksne_grunnskole"
"2013","20","alle","kun_spesialund","prosent","28.4883721","voksne_grunnskole"
"2013","20","alle","grskole_og_spesial","personer","3","voksne_grunnskole"
"2013","20","alle","grskole_og_spesial","prosent","1.744186","voksne_grunnskole"
"2013","20","minoritet","alle","personer","125","voksne_grunnskole"
"2013","20","minoritet","alle","prosent","72.7","voksne_grunnskole"
"2013","20","ikke_minoritet","alle","personer","47","voksne_grunnskole"
"2013","20","ikke_minoritet","alle","prosent","27.3255814","voksne_grunnskole"
"2013","99","alle","alle","personer","","voksne_grunnskole"
"2013","99","alle","alle","prosent","","voksne_grunnskole"
"2013","99","alle","kun_grunnskoleoppl","personer","","voksne_grunnskole"
"2013","99","alle","kun_grunnskoleoppl","prosent",".","voksne_grunnskole"
"2013","99","alle","kun_spesialund","personer","","voksne_grunnskole"
"2013","99","alle","kun_spesialund","prosent",".","voksne_grunnskole"
"2013","99","alle","grskole_og_spesial","personer","","voksne_grunnskole"
"2013","99","alle","grskole_og_spesial","prosent",".","voksne_grunnskole"
"2013","99","minoritet","alle","personer","","voksne_grunnskole"
"2013","99","minoritet","alle","prosent","","voksne_grunnskole"
"2013","99","ikke_minoritet","alle","personer","","voksne_grunnskole"
"2013","99","ikke_minoritet","alle","prosent","","voksne_grunnskole"
