"naringsregion_nr","barnikommune","bhgalder","enhet","tabellvariabel","aar","tabell_navn"
"60","alle","2","personer","251","2013","barnehagedeltakelse"
"61","alle","2","personer","2981","2013","barnehagedeltakelse"
"62","alle","2","personer","68","2013","barnehagedeltakelse"
"63","alle","2","personer","358","2013","barnehagedeltakelse"
"64","alle","2","personer","701","2013","barnehagedeltakelse"
"65","alle","2","personer","104","2013","barnehagedeltakelse"
"66","alle","2","personer","121","2013","barnehagedeltakelse"
"67","alle","2","personer","235","2013","barnehagedeltakelse"
"68","alle","2","personer","135","2013","barnehagedeltakelse"
"69","alle","2","personer","136","2013","barnehagedeltakelse"
"70","alle","2","personer","36","2013","barnehagedeltakelse"
"71","alle","2","personer","167","2013","barnehagedeltakelse"
"72","alle","2","personer","345","2013","barnehagedeltakelse"
"73","alle","2","personer","908","2013","barnehagedeltakelse"
"74","alle","2","personer","288","2013","barnehagedeltakelse"
"75","alle","2","personer","280","2013","barnehagedeltakelse"
"76","alle","2","personer","327","2013","barnehagedeltakelse"
"77","alle","2","personer","375","2013","barnehagedeltakelse"
"78","alle","2","personer","332","2013","barnehagedeltakelse"
"79","alle","2","personer","962","2013","barnehagedeltakelse"
"80","alle","2","personer","141","2013","barnehagedeltakelse"
"81","alle","2","personer","452","2013","barnehagedeltakelse"
"82","alle","2","personer","140","2013","barnehagedeltakelse"
"83","alle","2","personer","237","2013","barnehagedeltakelse"
"01","alle","3","personer","353","2013","barnehagedeltakelse"
"02","alle","3","personer","728","2013","barnehagedeltakelse"
"03","alle","3","personer","656","2013","barnehagedeltakelse"
"04","alle","3","personer","1540","2013","barnehagedeltakelse"
"05","alle","3","personer","2398","2013","barnehagedeltakelse"
"06","alle","3","personer","1807","2013","barnehagedeltakelse"
"07","alle","3","personer","2288","2013","barnehagedeltakelse"
"08","alle","3","personer","1294","2013","barnehagedeltakelse"
"09","alle","3","personer","8441","2013","barnehagedeltakelse"
"10","alle","3","personer","164","2013","barnehagedeltakelse"
"11","alle","3","personer","483","2013","barnehagedeltakelse"
"12","alle","3","personer","972","2013","barnehagedeltakelse"
"13","alle","3","personer","382","2013","barnehagedeltakelse"
"14","alle","3","personer","725","2013","barnehagedeltakelse"
"15","alle","3","personer","341","2013","barnehagedeltakelse"
"16","alle","3","personer","395","2013","barnehagedeltakelse"
"17","alle","3","personer","145","2013","barnehagedeltakelse"
"18","alle","3","personer","217","2013","barnehagedeltakelse"
"19","alle","3","personer","162","2013","barnehagedeltakelse"
"20","alle","3","personer","2153","2013","barnehagedeltakelse"
"21","alle","3","personer","218","2013","barnehagedeltakelse"
"22","alle","3","personer","397","2013","barnehagedeltakelse"
"23","alle","3","personer","200","2013","barnehagedeltakelse"
"24","alle","3","personer","442","2013","barnehagedeltakelse"
"25","alle","3","personer","1605","2013","barnehagedeltakelse"
"26","alle","3","personer","1050","2013","barnehagedeltakelse"
"27","alle","3","personer","1354","2013","barnehagedeltakelse"
"28","alle","3","personer","195","2013","barnehagedeltakelse"
"29","alle","3","personer","216","2013","barnehagedeltakelse"
"30","alle","3","personer","152","2013","barnehagedeltakelse"
"31","alle","3","personer","87","2013","barnehagedeltakelse"
"32","alle","3","personer","1109","2013","barnehagedeltakelse"
"33","alle","3","personer","473","2013","barnehagedeltakelse"
"34","alle","3","personer","313","2013","barnehagedeltakelse"
"35","alle","3","personer","1805","2013","barnehagedeltakelse"
"36","alle","3","personer","341","2013","barnehagedeltakelse"
"37","alle","3","personer","1412","2013","barnehagedeltakelse"
"38","alle","3","personer","343","2013","barnehagedeltakelse"
"39","alle","3","personer","4723","2013","barnehagedeltakelse"
"40","alle","3","personer","3349","2013","barnehagedeltakelse"
"41","alle","3","personer","382","2013","barnehagedeltakelse"
"42","alle","3","personer","267","2013","barnehagedeltakelse"
"43","alle","3","personer","171","2013","barnehagedeltakelse"
"44","alle","3","personer","461","2013","barnehagedeltakelse"
"45","alle","3","personer","125","2013","barnehagedeltakelse"
"46","alle","3","personer","857","2013","barnehagedeltakelse"
"47","alle","3","personer","968","2013","barnehagedeltakelse"
"48","alle","3","personer","89","2013","barnehagedeltakelse"
"49","alle","3","personer","386","2013","barnehagedeltakelse"
"50","alle","3","personer","365","2013","barnehagedeltakelse"
"51","alle","3","personer","473","2013","barnehagedeltakelse"
"52","alle","3","personer","705","2013","barnehagedeltakelse"
"53","alle","3","personer","647","2013","barnehagedeltakelse"
"54","alle","3","personer","204","2013","barnehagedeltakelse"
"55","alle","3","personer","545","2013","barnehagedeltakelse"
"56","alle","3","personer","959","2013","barnehagedeltakelse"
"57","alle","3","personer","262","2013","barnehagedeltakelse"
"58","alle","3","personer","99","2013","barnehagedeltakelse"
"59","alle","3","personer","109","2013","barnehagedeltakelse"
"60","alle","3","personer","283","2013","barnehagedeltakelse"
"61","alle","3","personer","3083","2013","barnehagedeltakelse"
"62","alle","3","personer","71","2013","barnehagedeltakelse"
"63","alle","3","personer","354","2013","barnehagedeltakelse"
"64","alle","3","personer","765","2013","barnehagedeltakelse"
"65","alle","3","personer","93","2013","barnehagedeltakelse"
"66","alle","3","personer","111","2013","barnehagedeltakelse"
"67","alle","3","personer","253","2013","barnehagedeltakelse"
"68","alle","3","personer","149","2013","barnehagedeltakelse"
"69","alle","3","personer","134","2013","barnehagedeltakelse"
"70","alle","3","personer","43","2013","barnehagedeltakelse"
"71","alle","3","personer","172","2013","barnehagedeltakelse"
"72","alle","3","personer","375","2013","barnehagedeltakelse"
"73","alle","3","personer","915","2013","barnehagedeltakelse"
"74","alle","3","personer","291","2013","barnehagedeltakelse"
"75","alle","3","personer","267","2013","barnehagedeltakelse"
"76","alle","3","personer","317","2013","barnehagedeltakelse"
"77","alle","3","personer","440","2013","barnehagedeltakelse"
"78","alle","3","personer","328","2013","barnehagedeltakelse"
"79","alle","3","personer","1023","2013","barnehagedeltakelse"
"80","alle","3","personer","175","2013","barnehagedeltakelse"
"81","alle","3","personer","501","2013","barnehagedeltakelse"
"82","alle","3","personer","120","2013","barnehagedeltakelse"
"83","alle","3","personer","221","2013","barnehagedeltakelse"
"01","alle","4","personer","359","2013","barnehagedeltakelse"
"02","alle","4","personer","723","2013","barnehagedeltakelse"
"03","alle","4","personer","708","2013","barnehagedeltakelse"
"04","alle","4","personer","1747","2013","barnehagedeltakelse"
"05","alle","4","personer","2550","2013","barnehagedeltakelse"
"06","alle","4","personer","1890","2013","barnehagedeltakelse"
"07","alle","4","personer","2219","2013","barnehagedeltakelse"
"08","alle","4","personer","1380","2013","barnehagedeltakelse"
"09","alle","4","personer","8182","2013","barnehagedeltakelse"
"10","alle","4","personer","195","2013","barnehagedeltakelse"
"11","alle","4","personer","522","2013","barnehagedeltakelse"
"12","alle","4","personer","1048","2013","barnehagedeltakelse"
"13","alle","4","personer","382","2013","barnehagedeltakelse"
"14","alle","4","personer","752","2013","barnehagedeltakelse"
"15","alle","4","personer","315","2013","barnehagedeltakelse"
"16","alle","4","personer","393","2013","barnehagedeltakelse"
"17","alle","4","personer","136","2013","barnehagedeltakelse"
"18","alle","4","personer","175","2013","barnehagedeltakelse"
"19","alle","4","personer","208","2013","barnehagedeltakelse"
"20","alle","4","personer","2285","2013","barnehagedeltakelse"
"21","alle","4","personer","186","2013","barnehagedeltakelse"
"22","alle","4","personer","427","2013","barnehagedeltakelse"
"23","alle","4","personer","199","2013","barnehagedeltakelse"
"24","alle","4","personer","418","2013","barnehagedeltakelse"
"25","alle","4","personer","1556","2013","barnehagedeltakelse"
"26","alle","4","personer","1087","2013","barnehagedeltakelse"
"27","alle","4","personer","1288","2013","barnehagedeltakelse"
"28","alle","4","personer","183","2013","barnehagedeltakelse"
"29","alle","4","personer","218","2013","barnehagedeltakelse"
"30","alle","4","personer","162","2013","barnehagedeltakelse"
"31","alle","4","personer","79","2013","barnehagedeltakelse"
"32","alle","4","personer","1161","2013","barnehagedeltakelse"
"33","alle","4","personer","485","2013","barnehagedeltakelse"
"34","alle","4","personer","346","2013","barnehagedeltakelse"
"35","alle","4","personer","1927","2013","barnehagedeltakelse"
"36","alle","4","personer","365","2013","barnehagedeltakelse"
"37","alle","4","personer","1398","2013","barnehagedeltakelse"
"38","alle","4","personer","355","2013","barnehagedeltakelse"
"39","alle","4","personer","4528","2013","barnehagedeltakelse"
"40","alle","4","personer","3320","2013","barnehagedeltakelse"
"41","alle","4","personer","348","2013","barnehagedeltakelse"
"42","alle","4","personer","227","2013","barnehagedeltakelse"
"43","alle","4","personer","170","2013","barnehagedeltakelse"
"44","alle","4","personer","490","2013","barnehagedeltakelse"
"45","alle","4","personer","176","2013","barnehagedeltakelse"
"46","alle","4","personer","953","2013","barnehagedeltakelse"
"47","alle","4","personer","1005","2013","barnehagedeltakelse"
"48","alle","4","personer","109","2013","barnehagedeltakelse"
"49","alle","4","personer","388","2013","barnehagedeltakelse"
"50","alle","4","personer","345","2013","barnehagedeltakelse"
"51","alle","4","personer","464","2013","barnehagedeltakelse"
"52","alle","4","personer","682","2013","barnehagedeltakelse"
"53","alle","4","personer","710","2013","barnehagedeltakelse"
"54","alle","4","personer","214","2013","barnehagedeltakelse"
"55","alle","4","personer","626","2013","barnehagedeltakelse"
"56","alle","4","personer","1083","2013","barnehagedeltakelse"
"57","alle","4","personer","267","2013","barnehagedeltakelse"
"58","alle","4","personer","94","2013","barnehagedeltakelse"
"59","alle","4","personer","94","2013","barnehagedeltakelse"
"60","alle","4","personer","272","2013","barnehagedeltakelse"
"61","alle","4","personer","3034","2013","barnehagedeltakelse"
"62","alle","4","personer","91","2013","barnehagedeltakelse"
"63","alle","4","personer","378","2013","barnehagedeltakelse"
"64","alle","4","personer","788","2013","barnehagedeltakelse"
"65","alle","4","personer","88","2013","barnehagedeltakelse"
"66","alle","4","personer","117","2013","barnehagedeltakelse"
"67","alle","4","personer","258","2013","barnehagedeltakelse"
"68","alle","4","personer","171","2013","barnehagedeltakelse"
"69","alle","4","personer","141","2013","barnehagedeltakelse"
"70","alle","4","personer","41","2013","barnehagedeltakelse"
"71","alle","4","personer","167","2013","barnehagedeltakelse"
"72","alle","4","personer","399","2013","barnehagedeltakelse"
"73","alle","4","personer","996","2013","barnehagedeltakelse"
"74","alle","4","personer","270","2013","barnehagedeltakelse"
"75","alle","4","personer","269","2013","barnehagedeltakelse"
"76","alle","4","personer","350","2013","barnehagedeltakelse"
"77","alle","4","personer","413","2013","barnehagedeltakelse"
"78","alle","4","personer","373","2013","barnehagedeltakelse"
"79","alle","4","personer","998","2013","barnehagedeltakelse"
"80","alle","4","personer","146","2013","barnehagedeltakelse"
"81","alle","4","personer","500","2013","barnehagedeltakelse"
"82","alle","4","personer","159","2013","barnehagedeltakelse"
"83","alle","4","personer","246","2013","barnehagedeltakelse"
"01","alle","5","personer","366","2013","barnehagedeltakelse"
"02","alle","5","personer","713","2013","barnehagedeltakelse"
"03","alle","5","personer","654","2013","barnehagedeltakelse"
"04","alle","5","personer","1582","2013","barnehagedeltakelse"
"05","alle","5","personer","2453","2013","barnehagedeltakelse"
"06","alle","5","personer","1957","2013","barnehagedeltakelse"
"07","alle","5","personer","2309","2013","barnehagedeltakelse"
"08","alle","5","personer","1305","2013","barnehagedeltakelse"
"09","alle","5","personer","7715","2013","barnehagedeltakelse"
"10","alle","5","personer","173","2013","barnehagedeltakelse"
"11","alle","5","personer","505","2013","barnehagedeltakelse"
"12","alle","5","personer","1012","2013","barnehagedeltakelse"
"13","alle","5","personer","385","2013","barnehagedeltakelse"
"14","alle","5","personer","761","2013","barnehagedeltakelse"
"15","alle","5","personer","336","2013","barnehagedeltakelse"
"16","alle","5","personer","450","2013","barnehagedeltakelse"
"17","alle","5","personer","144","2013","barnehagedeltakelse"
"18","alle","5","personer","189","2013","barnehagedeltakelse"
"19","alle","5","personer","190","2013","barnehagedeltakelse"
"20","alle","5","personer","2376","2013","barnehagedeltakelse"
"21","alle","5","personer","222","2013","barnehagedeltakelse"
"22","alle","5","personer","415","2013","barnehagedeltakelse"
"23","alle","5","personer","231","2013","barnehagedeltakelse"
"24","alle","5","personer","391","2013","barnehagedeltakelse"
"25","alle","5","personer","1604","2013","barnehagedeltakelse"
"26","alle","5","personer","1081","2013","barnehagedeltakelse"
"27","alle","5","personer","1360","2013","barnehagedeltakelse"
"28","alle","5","personer","171","2013","barnehagedeltakelse"
"29","alle","5","personer","219","2013","barnehagedeltakelse"
"30","alle","5","personer","148","2013","barnehagedeltakelse"
"31","alle","5","personer","83","2013","barnehagedeltakelse"
"32","alle","5","personer","1129","2013","barnehagedeltakelse"
"33","alle","5","personer","478","2013","barnehagedeltakelse"
"34","alle","5","personer","340","2013","barnehagedeltakelse"
"35","alle","5","personer","1803","2013","barnehagedeltakelse"
"36","alle","5","personer","326","2013","barnehagedeltakelse"
"37","alle","5","personer","1381","2013","barnehagedeltakelse"
"38","alle","5","personer","328","2013","barnehagedeltakelse"
"39","alle","5","personer","4464","2013","barnehagedeltakelse"
"40","alle","5","personer","3286","2013","barnehagedeltakelse"
"41","alle","5","personer","415","2013","barnehagedeltakelse"
"42","alle","5","personer","254","2013","barnehagedeltakelse"
"43","alle","5","personer","155","2013","barnehagedeltakelse"
"44","alle","5","personer","465","2013","barnehagedeltakelse"
"45","alle","5","personer","141","2013","barnehagedeltakelse"
"46","alle","5","personer","842","2013","barnehagedeltakelse"
"47","alle","5","personer","989","2013","barnehagedeltakelse"
"48","alle","5","personer","102","2013","barnehagedeltakelse"
"49","alle","5","personer","393","2013","barnehagedeltakelse"
"50","alle","5","personer","365","2013","barnehagedeltakelse"
"51","alle","5","personer","470","2013","barnehagedeltakelse"
"52","alle","5","personer","686","2013","barnehagedeltakelse"
"53","alle","5","personer","677","2013","barnehagedeltakelse"
"54","alle","5","personer","194","2013","barnehagedeltakelse"
"55","alle","5","personer","617","2013","barnehagedeltakelse"
"56","alle","5","personer","969","2013","barnehagedeltakelse"
"57","alle","5","personer","287","2013","barnehagedeltakelse"
"58","alle","5","personer","113","2013","barnehagedeltakelse"
"59","alle","5","personer","103","2013","barnehagedeltakelse"
"60","alle","5","personer","284","2013","barnehagedeltakelse"
"61","alle","5","personer","2928","2013","barnehagedeltakelse"
"62","alle","5","personer","95","2013","barnehagedeltakelse"
"63","alle","5","personer","348","2013","barnehagedeltakelse"
"64","alle","5","personer","830","2013","barnehagedeltakelse"
"65","alle","5","personer","82","2013","barnehagedeltakelse"
"66","alle","5","personer","117","2013","barnehagedeltakelse"
"67","alle","5","personer","251","2013","barnehagedeltakelse"
"68","alle","5","personer","133","2013","barnehagedeltakelse"
"69","alle","5","personer","140","2013","barnehagedeltakelse"
"70","alle","5","personer","35","2013","barnehagedeltakelse"
