"kommune_nr","spraaknivaa","provetype","enhet","aar","tabellvariabel","tabell_navn"
"0533","alle","muntlig","personer","2015","45","norsk_prover"
"0536","alle","muntlig","personer","2015","8","norsk_prover"
"0538","alle","muntlig","personer","2015","13","norsk_prover"
"0540","alle","muntlig","personer","2015","7","norsk_prover"
"0542","alle","muntlig","personer","2015","15","norsk_prover"
"0543","alle","muntlig","personer","2015","5","norsk_prover"
"0545","alle","muntlig","personer","2015","1","norsk_prover"
"0602","alle","muntlig","personer","2015","108","norsk_prover"
"0604","alle","muntlig","personer","2015","39","norsk_prover"
"0605","alle","muntlig","personer","2015","50","norsk_prover"
"0617","alle","muntlig","personer","2015","34","norsk_prover"
"0619","alle","muntlig","personer","2015",":","norsk_prover"
"0623","alle","muntlig","personer","2015","12","norsk_prover"
"0624","alle","muntlig","personer","2015","58","norsk_prover"
"0625","alle","muntlig","personer","2015","31","norsk_prover"
"0626","alle","muntlig","personer","2015","50","norsk_prover"
"0628","alle","muntlig","personer","2015","13","norsk_prover"
"0633","alle","muntlig","personer","2015","17","norsk_prover"
"0701","alle","muntlig","personer","2015","42","norsk_prover"
"0704","alle","muntlig","personer","2015","62","norsk_prover"
"0706","alle","muntlig","personer","2015","42","norsk_prover"
"0709","alle","muntlig","personer","2015","35","norsk_prover"
"0713","alle","muntlig","personer","2015","7","norsk_prover"
"0805","alle","muntlig","personer","2015","84","norsk_prover"
"0806","alle","muntlig","personer","2015","71","norsk_prover"
"0807","alle","muntlig","personer","2015","27","norsk_prover"
"0814","alle","muntlig","personer","2015","40","norsk_prover"
"0815","alle","muntlig","personer","2015","5","norsk_prover"
"0817","alle","muntlig","personer","2015","9","norsk_prover"
"0819","alle","muntlig","personer","2015","24","norsk_prover"
"0821","alle","muntlig","personer","2015","2","norsk_prover"
"0822","alle","muntlig","personer","2015","10","norsk_prover"
"0826","alle","muntlig","personer","2015","7","norsk_prover"
"0828","alle","muntlig","personer","2015","4","norsk_prover"
"0901","alle","muntlig","personer","2015","40","norsk_prover"
"0904","alle","muntlig","personer","2015","20","norsk_prover"
"0906","alle","muntlig","personer","2015","56","norsk_prover"
"0926","alle","muntlig","personer","2015","17","norsk_prover"
"0928","alle","muntlig","personer","2015","14","norsk_prover"
"0937","alle","muntlig","personer","2015","5","norsk_prover"
"0940","alle","muntlig","personer","2015","9","norsk_prover"
"0941","alle","muntlig","personer","2015","6","norsk_prover"
"1001","alle","muntlig","personer","2015","93","norsk_prover"
"1002","alle","muntlig","personer","2015","29","norsk_prover"
"1003","alle","muntlig","personer","2015","31","norsk_prover"
"1004","alle","muntlig","personer","2015","16","norsk_prover"
"1014","alle","muntlig","personer","2015","16","norsk_prover"
"1017","alle","muntlig","personer","2015","25","norsk_prover"
"1026","alle","muntlig","personer","2015","1","norsk_prover"
"1027","alle","muntlig","personer","2015","3","norsk_prover"
"1032","alle","muntlig","personer","2015","22","norsk_prover"
"1037","alle","muntlig","personer","2015","16","norsk_prover"
"1046","alle","muntlig","personer","2015","11","norsk_prover"
"1101","alle","muntlig","personer","2015","26","norsk_prover"
"1102","alle","muntlig","personer","2015","150","norsk_prover"
"1103","alle","muntlig","personer","2015","286","norsk_prover"
"1106","alle","muntlig","personer","2015","84","norsk_prover"
"1112","alle","muntlig","personer","2015","3","norsk_prover"
"1119","alle","muntlig","personer","2015","23","norsk_prover"
"1121","alle","muntlig","personer","2015","51","norsk_prover"
"1122","alle","muntlig","personer","2015","11","norsk_prover"
"1124","alle","muntlig","personer","2015","27","norsk_prover"
"1130","alle","muntlig","personer","2015","29","norsk_prover"
"1134","alle","muntlig","personer","2015","26","norsk_prover"
"1135","alle","muntlig","personer","2015","20","norsk_prover"
"1146","alle","muntlig","personer","2015","8","norsk_prover"
"1149","alle","muntlig","personer","2015","52","norsk_prover"
"1160","alle","muntlig","personer","2015","16","norsk_prover"
"1201","alle","muntlig","personer","2015","395","norsk_prover"
"1211","alle","muntlig","personer","2015","18","norsk_prover"
"1216","alle","muntlig","personer","2015","9","norsk_prover"
"1219","alle","muntlig","personer","2015","27","norsk_prover"
"1221","alle","muntlig","personer","2015","36","norsk_prover"
"1224","alle","muntlig","personer","2015","9","norsk_prover"
"1228","alle","muntlig","personer","2015","16","norsk_prover"
"1231","alle","muntlig","personer","2015","13","norsk_prover"
"1235","alle","muntlig","personer","2015","21","norsk_prover"
"1238","alle","muntlig","personer","2015","23","norsk_prover"
"1241","alle","muntlig","personer","2015","3","norsk_prover"
"1243","alle","muntlig","personer","2015","14","norsk_prover"
"1244","alle","muntlig","personer","2015","7","norsk_prover"
"1245","alle","muntlig","personer","2015","4","norsk_prover"
"1246","alle","muntlig","personer","2015","29","norsk_prover"
"1247","alle","muntlig","personer","2015","25","norsk_prover"
"1259","alle","muntlig","personer","2015","7","norsk_prover"
"1263","alle","muntlig","personer","2015","41","norsk_prover"
"1401","alle","muntlig","personer","2015","35","norsk_prover"
"1411","alle","muntlig","personer","2015","9","norsk_prover"
"1413","alle","muntlig","personer","2015","10","norsk_prover"
"1416","alle","muntlig","personer","2015","7","norsk_prover"
"1420","alle","muntlig","personer","2015","20","norsk_prover"
"1424","alle","muntlig","personer","2015","9","norsk_prover"
"1428","alle","muntlig","personer","2015","2","norsk_prover"
"1432","alle","muntlig","personer","2015","15","norsk_prover"
"1439","alle","muntlig","personer","2015","8","norsk_prover"
"1443","alle","muntlig","personer","2015","11","norsk_prover"
"1445","alle","muntlig","personer","2015","7","norsk_prover"
"1449","alle","muntlig","personer","2015","16","norsk_prover"
"1502","alle","muntlig","personer","2015","49","norsk_prover"
"1504","alle","muntlig","personer","2015","75","norsk_prover"
"1505","alle","muntlig","personer","2015","9","norsk_prover"
"1514","alle","muntlig","personer","2015","8","norsk_prover"
"1515","alle","muntlig","personer","2015","18","norsk_prover"
"1516","alle","muntlig","personer","2015","9","norsk_prover"
"1517","alle","muntlig","personer","2015","6","norsk_prover"
"1519","alle","muntlig","personer","2015","10","norsk_prover"
"1520","alle","muntlig","personer","2015","17","norsk_prover"
"1525","alle","muntlig","personer","2015",":","norsk_prover"
"1528","alle","muntlig","personer","2015","22","norsk_prover"
"1534","alle","muntlig","personer","2015","26","norsk_prover"
"1535","alle","muntlig","personer","2015","26","norsk_prover"
"1539","alle","muntlig","personer","2015","1","norsk_prover"
"1548","alle","muntlig","personer","2015","4","norsk_prover"
"1551","alle","muntlig","personer","2015","3","norsk_prover"
"1557","alle","muntlig","personer","2015","2","norsk_prover"
"1560","alle","muntlig","personer","2015","18","norsk_prover"
"1563","alle","muntlig","personer","2015","28","norsk_prover"
"1566","alle","muntlig","personer","2015","5","norsk_prover"
"1571","alle","muntlig","personer","2015","1","norsk_prover"
"1601","alle","muntlig","personer","2015","246","norsk_prover"
"1612","alle","muntlig","personer","2015","6","norsk_prover"
"1617","alle","muntlig","personer","2015","8","norsk_prover"
"1621","alle","muntlig","personer","2015",":","norsk_prover"
"1624","alle","muntlig","personer","2015","18","norsk_prover"
"1630","alle","muntlig","personer","2015","4","norsk_prover"
"1635","alle","muntlig","personer","2015","19","norsk_prover"
"1638","alle","muntlig","personer","2015","21","norsk_prover"
"1640","alle","muntlig","personer","2015","20","norsk_prover"
"1653","alle","muntlig","personer","2015","10","norsk_prover"
"1702","alle","muntlig","personer","2015","33","norsk_prover"
"1703","alle","muntlig","personer","2015","35","norsk_prover"
"1711","alle","muntlig","personer","2015","7","norsk_prover"
"1714","alle","muntlig","personer","2015","33","norsk_prover"
"1719","alle","muntlig","personer","2015","42","norsk_prover"
"1721","alle","muntlig","personer","2015","13","norsk_prover"
"1736","alle","muntlig","personer","2015","4","norsk_prover"
"1750","alle","muntlig","personer","2015","15","norsk_prover"
"1751","alle","muntlig","personer","2015","11","norsk_prover"
"1756","alle","muntlig","personer","2015","10","norsk_prover"
"1804","alle","muntlig","personer","2015","45","norsk_prover"
"1805","alle","muntlig","personer","2015","15","norsk_prover"
"1813","alle","muntlig","personer","2015","9","norsk_prover"
"1818","alle","muntlig","personer","2015","7","norsk_prover"
"1820","alle","muntlig","personer","2015","30","norsk_prover"
"1822","alle","muntlig","personer","2015","5","norsk_prover"
"1824","alle","muntlig","personer","2015","19","norsk_prover"
"1826","alle","muntlig","personer","2015","4","norsk_prover"
"1827","alle","muntlig","personer","2015","2","norsk_prover"
"1828","alle","muntlig","personer","2015","5","norsk_prover"
"1832","alle","muntlig","personer","2015","3","norsk_prover"
"1833","alle","muntlig","personer","2015","48","norsk_prover"
"1834","alle","muntlig","personer","2015","3","norsk_prover"
"1838","alle","muntlig","personer","2015","8","norsk_prover"
"1840","alle","muntlig","personer","2015","8","norsk_prover"
"1841","alle","muntlig","personer","2015","15","norsk_prover"
"1848","alle","muntlig","personer","2015","2","norsk_prover"
"1849","alle","muntlig","personer","2015","9","norsk_prover"
"1850","alle","muntlig","personer","2015",":","norsk_prover"
"1851","alle","muntlig","personer","2015","10","norsk_prover"
"1854","alle","muntlig","personer","2015","6","norsk_prover"
"1860","alle","muntlig","personer","2015","13","norsk_prover"
"1865","alle","muntlig","personer","2015","10","norsk_prover"
"1866","alle","muntlig","personer","2015","14","norsk_prover"
"1867","alle","muntlig","personer","2015","4","norsk_prover"
"1868","alle","muntlig","personer","2015","10","norsk_prover"
"1870","alle","muntlig","personer","2015","17","norsk_prover"
"1871","alle","muntlig","personer","2015",":","norsk_prover"
"1903","alle","muntlig","personer","2015","62","norsk_prover"
"1902","alle","muntlig","personer","2015","132","norsk_prover"
"1919","alle","muntlig","personer","2015","3","norsk_prover"
"1922","alle","muntlig","personer","2015","2","norsk_prover"
"1923","alle","muntlig","personer","2015","16","norsk_prover"
"1924","alle","muntlig","personer","2015","13","norsk_prover"
"1927","alle","muntlig","personer","2015","15","norsk_prover"
"1929","alle","muntlig","personer","2015","3","norsk_prover"
"1931","alle","muntlig","personer","2015","43","norsk_prover"
"1933","alle","muntlig","personer","2015","4","norsk_prover"
"1939","alle","muntlig","personer","2015","4","norsk_prover"
"1940","alle","muntlig","personer","2015","2","norsk_prover"
"1941","alle","muntlig","personer","2015","5","norsk_prover"
"1942","alle","muntlig","personer","2015","12","norsk_prover"
"2003","alle","muntlig","personer","2015","26","norsk_prover"
"2004","alle","muntlig","personer","2015","34","norsk_prover"
"2011","alle","muntlig","personer","2015",":","norsk_prover"
"2012","alle","muntlig","personer","2015","32","norsk_prover"
"2020","alle","muntlig","personer","2015","29","norsk_prover"
"2023","alle","muntlig","personer","2015","9","norsk_prover"
"2025","alle","muntlig","personer","2015",":","norsk_prover"
"2028","alle","muntlig","personer","2015","9","norsk_prover"
"2030","alle","muntlig","personer","2015","23","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"","alle","muntlig","personer","2015","","norsk_prover"
"0101","alle","lytting","personer","2015","28","norsk_prover"
"0104","alle","lytting","personer","2015","35","norsk_prover"
"0105","alle","lytting","personer","2015","49","norsk_prover"
"0106","alle","lytting","personer","2015","84","norsk_prover"
"0124","alle","lytting","personer","2015","36","norsk_prover"
"0231","alle","lytting","personer","2015","52","norsk_prover"
"0214","alle","lytting","personer","2015","88","norsk_prover"
"0216","alle","lytting","personer","2015","22","norsk_prover"
"0217","alle","lytting","personer","2015","33","norsk_prover"
"0219","alle","lytting","personer","2015","301","norsk_prover"
"0220","alle","lytting","personer","2015","137","norsk_prover"
"0221","alle","lytting","personer","2015","19","norsk_prover"
"0226","alle","lytting","personer","2015","19","norsk_prover"
"0228","alle","lytting","personer","2015","7","norsk_prover"
"0230","alle","lytting","personer","2015","209","norsk_prover"
"0231","alle","lytting","personer","2015","153","norsk_prover"
"0233","alle","lytting","personer","2015","20","norsk_prover"
"0235","alle","lytting","personer","2015","88","norsk_prover"
"0301","alle","lytting","personer","2015","1549","norsk_prover"
"0402","alle","lytting","personer","2015","18","norsk_prover"
"0403","alle","lytting","personer","2015","24","norsk_prover"
"0412","alle","lytting","personer","2015","20","norsk_prover"
"0415","alle","lytting","personer","2015","14","norsk_prover"
"0417","alle","lytting","personer","2015","28","norsk_prover"
"0425","alle","lytting","personer","2015","17","norsk_prover"
"0427","alle","lytting","personer","2015","32","norsk_prover"
"0428","alle","lytting","personer","2015","3","norsk_prover"
"0430","alle","lytting","personer","2015","7","norsk_prover"
"0432","alle","lytting","personer","2015","4","norsk_prover"
"0434","alle","lytting","personer","2015","1","norsk_prover"
"0437","alle","lytting","personer","2015","25","norsk_prover"
"0501","alle","lytting","personer","2015","49","norsk_prover"
"0502","alle","lytting","personer","2015","46","norsk_prover"
"0513","alle","lytting","personer","2015","3","norsk_prover"
"0514","alle","lytting","personer","2015","4","norsk_prover"
"0515","alle","lytting","personer","2015","2","norsk_prover"
"0516","alle","lytting","personer","2015","1","norsk_prover"
"0517","alle","lytting","personer","2015","24","norsk_prover"
"0520","alle","lytting","personer","2015","1","norsk_prover"
"0521","alle","lytting","personer","2015","1","norsk_prover"
"0528","alle","lytting","personer","2015","13","norsk_prover"
"0529","alle","lytting","personer","2015","23","norsk_prover"
"0533","alle","lytting","personer","2015","40","norsk_prover"
"0536","alle","lytting","personer","2015","9","norsk_prover"
"0538","alle","lytting","personer","2015","11","norsk_prover"
"0540","alle","lytting","personer","2015","9","norsk_prover"
"0542","alle","lytting","personer","2015","13","norsk_prover"
"0543","alle","lytting","personer","2015","4","norsk_prover"
"0545","alle","lytting","personer","2015","1","norsk_prover"
"0602","alle","lytting","personer","2015","104","norsk_prover"
"0604","alle","lytting","personer","2015","42","norsk_prover"
"0605","alle","lytting","personer","2015","47","norsk_prover"
"0617","alle","lytting","personer","2015","33","norsk_prover"
"0619","alle","lytting","personer","2015","2","norsk_prover"
"0623","alle","lytting","personer","2015","14","norsk_prover"
"0624","alle","lytting","personer","2015","53","norsk_prover"
"0625","alle","lytting","personer","2015","20","norsk_prover"
"0626","alle","lytting","personer","2015","57","norsk_prover"
"0628","alle","lytting","personer","2015","16","norsk_prover"
"0633","alle","lytting","personer","2015","17","norsk_prover"
"0701","alle","lytting","personer","2015","43","norsk_prover"
"0704","alle","lytting","personer","2015","69","norsk_prover"
"0706","alle","lytting","personer","2015","42","norsk_prover"
"0709","alle","lytting","personer","2015","39","norsk_prover"
"0713","alle","lytting","personer","2015","8","norsk_prover"
"0805","alle","lytting","personer","2015","78","norsk_prover"
"0806","alle","lytting","personer","2015","76","norsk_prover"
"0807","alle","lytting","personer","2015","29","norsk_prover"
"0814","alle","lytting","personer","2015","39","norsk_prover"
"0815","alle","lytting","personer","2015","10","norsk_prover"
"0817","alle","lytting","personer","2015","5","norsk_prover"
"0819","alle","lytting","personer","2015","23","norsk_prover"
"0821","alle","lytting","personer","2015","2","norsk_prover"
"0822","alle","lytting","personer","2015","10","norsk_prover"
"0826","alle","lytting","personer","2015","8","norsk_prover"
"0828","alle","lytting","personer","2015","13","norsk_prover"
"0901","alle","lytting","personer","2015","40","norsk_prover"
"0904","alle","lytting","personer","2015","17","norsk_prover"
"0906","alle","lytting","personer","2015","49","norsk_prover"
"0926","alle","lytting","personer","2015","17","norsk_prover"
"0928","alle","lytting","personer","2015","13","norsk_prover"
"0937","alle","lytting","personer","2015","7","norsk_prover"
"0940","alle","lytting","personer","2015","11","norsk_prover"
"0941","alle","lytting","personer","2015","5","norsk_prover"
"1001","alle","lytting","personer","2015","97","norsk_prover"
"1002","alle","lytting","personer","2015","29","norsk_prover"
"1003","alle","lytting","personer","2015","28","norsk_prover"
"1004","alle","lytting","personer","2015","17","norsk_prover"
"1014","alle","lytting","personer","2015","16","norsk_prover"
"1017","alle","lytting","personer","2015","31","norsk_prover"
"1026","alle","lytting","personer","2015","1","norsk_prover"
