"bydel_nr","innvkat_3","vreg_3","enhet","aar","tabellvariabel","tabell_navn"
"030104","befolkningen_ellers","alle","prosent","2014","14.2","vedvarende_lavinntekt"
"030105","befolkningen_ellers","alle","prosent","2014","11.6","vedvarende_lavinntekt"
"030106","befolkningen_ellers","alle","prosent","2014","4.8","vedvarende_lavinntekt"
"030107","befolkningen_ellers","alle","prosent","2014","5.4","vedvarende_lavinntekt"
"030108","befolkningen_ellers","alle","prosent","2014","5.6","vedvarende_lavinntekt"
"030109","befolkningen_ellers","alle","prosent","2014","10.6","vedvarende_lavinntekt"
"030110","befolkningen_ellers","alle","prosent","2014","12.1","vedvarende_lavinntekt"
"030111","befolkningen_ellers","alle","prosent","2014","13.3","vedvarende_lavinntekt"
"030112","befolkningen_ellers","alle","prosent","2014","11.8","vedvarende_lavinntekt"
"030113","befolkningen_ellers","alle","prosent","2014","6.3","vedvarende_lavinntekt"
"030114","befolkningen_ellers","alle","prosent","2014","5.3","vedvarende_lavinntekt"
"030115","befolkningen_ellers","alle","prosent","2014","13.7","vedvarende_lavinntekt"
"030116","befolkningen_ellers","alle","prosent","2014","20.9","vedvarende_lavinntekt"
"030117","befolkningen_ellers","alle","prosent","2014","7.5","vedvarende_lavinntekt"
"030199","befolkningen_ellers","alle","prosent","2014","18.9","vedvarende_lavinntekt"
