"bydel_nr","innvkat_3","vreg_3","enhet","aar","tabellvariabel","tabell_navn"
"030110","innvandrere","alle","prosent","2012","24.0","vedvarende_lavinntekt"
"030111","innvandrere","alle","prosent","2012","26.5","vedvarende_lavinntekt"
"030112","innvandrere","alle","prosent","2012","23.2","vedvarende_lavinntekt"
"030113","innvandrere","alle","prosent","2012","22.3","vedvarende_lavinntekt"
"030114","innvandrere","alle","prosent","2012","22.2","vedvarende_lavinntekt"
"030115","innvandrere","alle","prosent","2012","25.5","vedvarende_lavinntekt"
"030116","innvandrere","alle","prosent","2012","34.4","vedvarende_lavinntekt"
"030117","innvandrere","alle","prosent","2012","31.2","vedvarende_lavinntekt"
"030199","innvandrere","alle","prosent","2012","57.9","vedvarende_lavinntekt"
"000301","befolkningen_ellers","alle","prosent","2012","9.3","vedvarende_lavinntekt"
"030101","befolkningen_ellers","alle","prosent","2012","14.3","vedvarende_lavinntekt"
"030102","befolkningen_ellers","alle","prosent","2012","12.6","vedvarende_lavinntekt"
"030103","befolkningen_ellers","alle","prosent","2012","11.3","vedvarende_lavinntekt"
"030104","befolkningen_ellers","alle","prosent","2012","12.3","vedvarende_lavinntekt"
"030105","befolkningen_ellers","alle","prosent","2012","11.1","vedvarende_lavinntekt"
"030106","befolkningen_ellers","alle","prosent","2012","5.3","vedvarende_lavinntekt"
"030107","befolkningen_ellers","alle","prosent","2012","5.6","vedvarende_lavinntekt"
"030108","befolkningen_ellers","alle","prosent","2012","5.1","vedvarende_lavinntekt"
"030109","befolkningen_ellers","alle","prosent","2012","9.8","vedvarende_lavinntekt"
"030110","befolkningen_ellers","alle","prosent","2012","10.5","vedvarende_lavinntekt"
"030111","befolkningen_ellers","alle","prosent","2012","11.3","vedvarende_lavinntekt"
"030112","befolkningen_ellers","alle","prosent","2012","10.7","vedvarende_lavinntekt"
"030113","befolkningen_ellers","alle","prosent","2012","5.7","vedvarende_lavinntekt"
"030114","befolkningen_ellers","alle","prosent","2012","5.4","vedvarende_lavinntekt"
"030115","befolkningen_ellers","alle","prosent","2012","12.2","vedvarende_lavinntekt"
"030116","befolkningen_ellers","alle","prosent","2012","20.3","vedvarende_lavinntekt"
"030117","befolkningen_ellers","alle","prosent","2012","7.3","vedvarende_lavinntekt"
"030199","befolkningen_ellers","alle","prosent","2012","39.4","vedvarende_lavinntekt"
