"tabell_navn","aar","bydel_nr","forste_bosettingskommune","enhet","botid_3","tabellvariabel"
"flyktning_botid_flytting","2015","030199","uoppgitt","personer","0_4","14"
"flyktning_botid_flytting","2015","030199","uoppgitt","prosent","0_4","1.5"
"flyktning_botid_flytting","2015","030101","alle","personer","5+","4817"
"flyktning_botid_flytting","2015","030101","alle","prosent","5+","91.0"
"flyktning_botid_flytting","2015","030101","ja","personer","5+","1301"
"flyktning_botid_flytting","2015","030101","ja","prosent","5+","24.6"
"flyktning_botid_flytting","2015","030101","nei","personer","5+","2329"
"flyktning_botid_flytting","2015","030101","nei","prosent","5+","44.0"
"flyktning_botid_flytting","2015","030101","uoppgitt","personer","5+","1187"
"flyktning_botid_flytting","2015","030101","uoppgitt","prosent","5+","22.4"
"flyktning_botid_flytting","2015","030102","alle","personer","5+","3689"
"flyktning_botid_flytting","2015","030102","alle","prosent","5+","90.0"
"flyktning_botid_flytting","2015","030102","ja","personer","5+","911"
"flyktning_botid_flytting","2015","030102","ja","prosent","5+","22.2"
"flyktning_botid_flytting","2015","030102","nei","personer","5+","1857"
"flyktning_botid_flytting","2015","030102","nei","prosent","5+","45.3"
"flyktning_botid_flytting","2015","030102","uoppgitt","personer","5+","921"
"flyktning_botid_flytting","2015","030102","uoppgitt","prosent","5+","22.5"
"flyktning_botid_flytting","2015","030103","alle","personer","5+","2071"
"flyktning_botid_flytting","2015","030103","alle","prosent","5+","89.8"
"flyktning_botid_flytting","2015","030103","ja","personer","5+","555"
"flyktning_botid_flytting","2015","030103","ja","prosent","5+","24.1"
"flyktning_botid_flytting","2015","030103","nei","personer","5+","978"
"flyktning_botid_flytting","2015","030103","nei","prosent","5+","42.4"
"flyktning_botid_flytting","2015","030103","uoppgitt","personer","5+","538"
"flyktning_botid_flytting","2015","030103","uoppgitt","prosent","5+","23.3"
"flyktning_botid_flytting","2015","030104","alle","personer","5+","1316"
"flyktning_botid_flytting","2015","030104","alle","prosent","5+","86.4"
"flyktning_botid_flytting","2015","030104","ja","personer","5+","331"
"flyktning_botid_flytting","2015","030104","ja","prosent","5+","21.7"
"flyktning_botid_flytting","2015","030104","nei","personer","5+","675"
"flyktning_botid_flytting","2015","030104","nei","prosent","5+","44.3"
"flyktning_botid_flytting","2015","030104","uoppgitt","personer","5+","310"
"flyktning_botid_flytting","2015","030104","uoppgitt","prosent","5+","20.3"
"flyktning_botid_flytting","2015","030105","alle","personer","5+","1476"
"flyktning_botid_flytting","2015","030105","alle","prosent","5+","86.3"
"flyktning_botid_flytting","2015","030105","ja","personer","5+","424"
"flyktning_botid_flytting","2015","030105","ja","prosent","5+","24.8"
"flyktning_botid_flytting","2015","030105","nei","personer","5+","661"
"flyktning_botid_flytting","2015","030105","nei","prosent","5+","38.6"
"flyktning_botid_flytting","2015","030105","uoppgitt","personer","5+","391"
"flyktning_botid_flytting","2015","030105","uoppgitt","prosent","5+","22.9"
"flyktning_botid_flytting","2015","030106","alle","personer","5+","545"
"flyktning_botid_flytting","2015","030106","alle","prosent","5+","85.2"
"flyktning_botid_flytting","2015","030106","ja","personer","5+","158"
"flyktning_botid_flytting","2015","030106","ja","prosent","5+","24.7"
"flyktning_botid_flytting","2015","030106","nei","personer","5+","201"
"flyktning_botid_flytting","2015","030106","nei","prosent","5+","31.4"
"flyktning_botid_flytting","2015","030106","uoppgitt","personer","5+","186"
"flyktning_botid_flytting","2015","030106","uoppgitt","prosent","5+","29.1"
"flyktning_botid_flytting","2015","030107","alle","personer","5+","698"
"flyktning_botid_flytting","2015","030107","alle","prosent","5+","80.8"
"flyktning_botid_flytting","2015","030107","ja","personer","5+","251"
"flyktning_botid_flytting","2015","030107","ja","prosent","5+","29.1"
"flyktning_botid_flytting","2015","030107","nei","personer","5+","234"
"flyktning_botid_flytting","2015","030107","nei","prosent","5+","27.1"
"flyktning_botid_flytting","2015","030107","uoppgitt","personer","5+","213"
"flyktning_botid_flytting","2015","030107","uoppgitt","prosent","5+","24.7"
"flyktning_botid_flytting","2015","030108","alle","personer","5+","1034"
"flyktning_botid_flytting","2015","030108","alle","prosent","5+","86.6"
"flyktning_botid_flytting","2015","030108","ja","personer","5+","272"
"flyktning_botid_flytting","2015","030108","ja","prosent","5+","22.8"
"flyktning_botid_flytting","2015","030108","nei","personer","5+","489"
"flyktning_botid_flytting","2015","030108","nei","prosent","5+","41.0"
"flyktning_botid_flytting","2015","030108","uoppgitt","personer","5+","273"
"flyktning_botid_flytting","2015","030108","uoppgitt","prosent","5+","22.9"
"flyktning_botid_flytting","2015","030109","alle","personer","5+","3091"
"flyktning_botid_flytting","2015","030109","alle","prosent","5+","93.0"
"flyktning_botid_flytting","2015","030109","ja","personer","5+","818"
"flyktning_botid_flytting","2015","030109","ja","prosent","5+","24.6"
"flyktning_botid_flytting","2015","030109","nei","personer","5+","1344"
"flyktning_botid_flytting","2015","030109","nei","prosent","5+","40.5"
"flyktning_botid_flytting","2015","030109","uoppgitt","personer","5+","929"
"flyktning_botid_flytting","2015","030109","uoppgitt","prosent","5+","28.0"
"flyktning_botid_flytting","2015","030110","alle","personer","5+","3571"
"flyktning_botid_flytting","2015","030110","alle","prosent","5+","93.0"
"flyktning_botid_flytting","2015","030110","ja","personer","5+","1068"
"flyktning_botid_flytting","2015","030110","ja","prosent","5+","27.8"
"flyktning_botid_flytting","2015","030110","nei","personer","5+","1376"
"flyktning_botid_flytting","2015","030110","nei","prosent","5+","35.8"
"flyktning_botid_flytting","2015","030110","uoppgitt","personer","5+","1127"
"flyktning_botid_flytting","2015","030110","uoppgitt","prosent","5+","29.3"
"flyktning_botid_flytting","2015","030111","alle","personer","5+","4124"
"flyktning_botid_flytting","2015","030111","alle","prosent","5+","92.1"
"flyktning_botid_flytting","2015","030111","ja","personer","5+","1165"
"flyktning_botid_flytting","2015","030111","ja","prosent","5+","26.0"
"flyktning_botid_flytting","2015","030111","nei","personer","5+","1638"
"flyktning_botid_flytting","2015","030111","nei","prosent","5+","36.6"
"flyktning_botid_flytting","2015","030111","uoppgitt","personer","5+","1321"
"flyktning_botid_flytting","2015","030111","uoppgitt","prosent","5+","29.5"
"flyktning_botid_flytting","2015","030112","alle","personer","5+","6168"
"flyktning_botid_flytting","2015","030112","alle","prosent","5+","92.7"
"flyktning_botid_flytting","2015","030112","ja","personer","5+","1792"
"flyktning_botid_flytting","2015","030112","ja","prosent","5+","26.9"
"flyktning_botid_flytting","2015","030112","nei","personer","5+","2469"
"flyktning_botid_flytting","2015","030112","nei","prosent","5+","37.1"
"flyktning_botid_flytting","2015","030112","uoppgitt","personer","5+","1907"
"flyktning_botid_flytting","2015","030112","uoppgitt","prosent","5+","28.7"
"flyktning_botid_flytting","2015","030113","alle","personer","5+","2516"
"flyktning_botid_flytting","2015","030113","alle","prosent","5+","91.2"
"flyktning_botid_flytting","2015","030113","ja","personer","5+","833"
"flyktning_botid_flytting","2015","030113","ja","prosent","5+","30.2"
"flyktning_botid_flytting","2015","030113","nei","personer","5+","959"
"flyktning_botid_flytting","2015","030113","nei","prosent","5+","34.8"
"flyktning_botid_flytting","2015","030113","uoppgitt","personer","5+","724"
"flyktning_botid_flytting","2015","030113","uoppgitt","prosent","5+","26.2"
"flyktning_botid_flytting","2015","030114","alle","personer","5+","1187"
"flyktning_botid_flytting","2015","030114","alle","prosent","5+","86.1"
"flyktning_botid_flytting","2015","030114","ja","personer","5+","410"
"flyktning_botid_flytting","2015","030114","ja","prosent","5+","29.7"
"flyktning_botid_flytting","2015","030114","nei","personer","5+","435"
"flyktning_botid_flytting","2015","030114","nei","prosent","5+","31.5"
"flyktning_botid_flytting","2015","030114","uoppgitt","personer","5+","342"
"flyktning_botid_flytting","2015","030114","uoppgitt","prosent","5+","24.8"
"flyktning_botid_flytting","2015","030115","alle","personer","5+","4243"
"flyktning_botid_flytting","2015","030115","alle","prosent","5+","93.2"
"flyktning_botid_flytting","2015","030115","ja","personer","5+","1244"
"flyktning_botid_flytting","2015","030115","ja","prosent","5+","27.3"
"flyktning_botid_flytting","2015","030115","nei","personer","5+","1790"
"flyktning_botid_flytting","2015","030115","nei","prosent","5+","39.3"
"flyktning_botid_flytting","2015","030115","uoppgitt","personer","5+","1209"
"flyktning_botid_flytting","2015","030115","uoppgitt","prosent","5+","26.5"
"flyktning_botid_flytting","2015","030116","alle","personer","5+","96"
"flyktning_botid_flytting","2015","030116","alle","prosent","5+","94.1"
"flyktning_botid_flytting","2015","030116","ja","personer","5+","27"
"flyktning_botid_flytting","2015","030116","ja","prosent","5+","26.5"
"flyktning_botid_flytting","2015","030116","nei","personer","5+","50"
"flyktning_botid_flytting","2015","030116","nei","prosent","5+","49.0"
"flyktning_botid_flytting","2015","030116","uoppgitt","personer","5+","19"
"flyktning_botid_flytting","2015","030116","uoppgitt","prosent","5+","18.6"
"flyktning_botid_flytting","2015","030117","alle","personer","5+","3"
"flyktning_botid_flytting","2015","030117","alle","prosent","5+","50.0"
"flyktning_botid_flytting","2015","030117","ja","personer","5+","0"
"flyktning_botid_flytting","2015","030117","ja","prosent","5+","0.0"
"flyktning_botid_flytting","2015","030117","nei","personer","5+","0"
"flyktning_botid_flytting","2015","030117","nei","prosent","5+","0.0"
"flyktning_botid_flytting","2015","030117","uoppgitt","personer","5+","3"
"flyktning_botid_flytting","2015","030117","uoppgitt","prosent","5+","50.0"
"flyktning_botid_flytting","2015","030199","alle","personer","5+","895"
"flyktning_botid_flytting","2015","030199","alle","prosent","5+","94.5"
"flyktning_botid_flytting","2015","030199","ja","personer","5+","231"
"flyktning_botid_flytting","2015","030199","ja","prosent","5+","24.4"
"flyktning_botid_flytting","2015","030199","nei","personer","5+","463"
"flyktning_botid_flytting","2015","030199","nei","prosent","5+","48.9"
"flyktning_botid_flytting","2015","030199","uoppgitt","personer","5+","201"
"flyktning_botid_flytting","2015","030199","uoppgitt","prosent","5+","21.2"
"flyktning_botid_flytting","2015","030101","alle","personer","alle","5291"
"flyktning_botid_flytting","2015","030101","alle","prosent","alle","100"
"flyktning_botid_flytting","2015","030101","ja","personer","alle","1521"
"flyktning_botid_flytting","2015","030101","ja","prosent","alle","28.8"
"flyktning_botid_flytting","2015","030101","nei","personer","alle","2435"
"flyktning_botid_flytting","2015","030101","nei","prosent","alle","46"
"flyktning_botid_flytting","2015","030101","uoppgitt","personer","alle","1335"
"flyktning_botid_flytting","2015","030101","uoppgitt","prosent","alle","25.2"
"flyktning_botid_flytting","2015","030102","alle","personer","alle","4098"
"flyktning_botid_flytting","2015","030102","alle","prosent","alle","100"
"flyktning_botid_flytting","2015","030102","ja","personer","alle","1125"
"flyktning_botid_flytting","2015","030102","ja","prosent","alle","27.4"
"flyktning_botid_flytting","2015","030102","nei","personer","alle","1937"
"flyktning_botid_flytting","2015","030102","nei","prosent","alle","47.3"
"flyktning_botid_flytting","2015","030102","uoppgitt","personer","alle","1036"
"flyktning_botid_flytting","2015","030102","uoppgitt","prosent","alle","25.3"
"flyktning_botid_flytting","2015","030103","alle","personer","alle","2305"
"flyktning_botid_flytting","2015","030103","alle","prosent","alle","100"
"flyktning_botid_flytting","2015","030103","ja","personer","alle","713"
"flyktning_botid_flytting","2015","030103","ja","prosent","alle","31"
"flyktning_botid_flytting","2015","030103","nei","personer","alle","1002"
"flyktning_botid_flytting","2015","030103","nei","prosent","alle","43.4"
"flyktning_botid_flytting","2015","030103","uoppgitt","personer","alle","590"
"flyktning_botid_flytting","2015","030103","uoppgitt","prosent","alle","25.6"
"flyktning_botid_flytting","2015","030104","alle","personer","alle","1524"
"flyktning_botid_flytting","2015","030104","alle","prosent","alle","100"
"flyktning_botid_flytting","2015","030104","ja","personer","alle","481"
"flyktning_botid_flytting","2015","030104","ja","prosent","alle","31.5"
"flyktning_botid_flytting","2015","030104","nei","personer","alle","703"
"flyktning_botid_flytting","2015","030104","nei","prosent","alle","46.1"
"flyktning_botid_flytting","2015","030104","uoppgitt","personer","alle","340"
"flyktning_botid_flytting","2015","030104","uoppgitt","prosent","alle","22.3"
"flyktning_botid_flytting","2015","030105","alle","personer","alle","1711"
"flyktning_botid_flytting","2015","030105","alle","prosent","alle","100"
"flyktning_botid_flytting","2015","030105","ja","personer","alle","587"
"flyktning_botid_flytting","2015","030105","ja","prosent","alle","34.3"
"flyktning_botid_flytting","2015","030105","nei","personer","alle","685"
"flyktning_botid_flytting","2015","030105","nei","prosent","alle","40"
"flyktning_botid_flytting","2015","030105","uoppgitt","personer","alle","439"
"flyktning_botid_flytting","2015","030105","uoppgitt","prosent","alle","25.7"
"flyktning_botid_flytting","2015","030106","alle","personer","alle","640"
"flyktning_botid_flytting","2015","030106","alle","prosent","alle","100"
"flyktning_botid_flytting","2015","030106","ja","personer","alle","229"
"flyktning_botid_flytting","2015","030106","ja","prosent","alle","35.8"
"flyktning_botid_flytting","2015","030106","nei","personer","alle","210"
"flyktning_botid_flytting","2015","030106","nei","prosent","alle","32.8"
"flyktning_botid_flytting","2015","030106","uoppgitt","personer","alle","201"
"flyktning_botid_flytting","2015","030106","uoppgitt","prosent","alle","31.4"
"flyktning_botid_flytting","2015","030107","alle","personer","alle","864"
"flyktning_botid_flytting","2015","030107","alle","prosent","alle","100"
"flyktning_botid_flytting","2015","030107","ja","personer","alle","385"
"flyktning_botid_flytting","2015","030107","ja","prosent","alle","44.6"
"flyktning_botid_flytting","2015","030107","nei","personer","alle","245"
"flyktning_botid_flytting","2015","030107","nei","prosent","alle","28.4"
"flyktning_botid_flytting","2015","030107","uoppgitt","personer","alle","234"
"flyktning_botid_flytting","2015","030107","uoppgitt","prosent","alle","27.1"
"flyktning_botid_flytting","2015","030108","alle","personer","alle","1194"
"flyktning_botid_flytting","2015","030108","alle","prosent","alle","100"
"flyktning_botid_flytting","2015","030108","ja","personer","alle","370"
"flyktning_botid_flytting","2015","030108","ja","prosent","alle","31"
"flyktning_botid_flytting","2015","030108","nei","personer","alle","512"
"flyktning_botid_flytting","2015","030108","nei","prosent","alle","42.9"
"flyktning_botid_flytting","2015","030108","uoppgitt","personer","alle","312"
"flyktning_botid_flytting","2015","030108","uoppgitt","prosent","alle","26.2"
"flyktning_botid_flytting","2015","030109","alle","personer","alle","3322"
"flyktning_botid_flytting","2015","030109","alle","prosent","alle","100"
"flyktning_botid_flytting","2015","030109","ja","personer","alle","936"
"flyktning_botid_flytting","2015","030109","ja","prosent","alle","28.2"
"flyktning_botid_flytting","2015","030109","nei","personer","alle","1381"
"flyktning_botid_flytting","2015","030109","nei","prosent","alle","41.6"
"flyktning_botid_flytting","2015","030109","uoppgitt","personer","alle","1005"
"flyktning_botid_flytting","2015","030109","uoppgitt","prosent","alle","30.3"
"flyktning_botid_flytting","2015","030110","alle","personer","alle","3840"
"flyktning_botid_flytting","2015","030110","alle","prosent","alle","100"
"flyktning_botid_flytting","2015","030110","ja","personer","alle","1187"
"flyktning_botid_flytting","2015","030110","ja","prosent","alle","30.9"
"flyktning_botid_flytting","2015","030110","nei","personer","alle","1426"
"flyktning_botid_flytting","2015","030110","nei","prosent","alle","37.1"
"flyktning_botid_flytting","2015","030110","uoppgitt","personer","alle","1227"
"flyktning_botid_flytting","2015","030110","uoppgitt","prosent","alle","31.9"
"flyktning_botid_flytting","2015","030111","alle","personer","alle","4477"
"flyktning_botid_flytting","2015","030111","alle","prosent","alle","100"
"flyktning_botid_flytting","2015","030111","ja","personer","alle","1352"
"flyktning_botid_flytting","2015","030111","ja","prosent","alle","30.2"
"flyktning_botid_flytting","2015","030111","nei","personer","alle","1686"
"flyktning_botid_flytting","2015","030111","nei","prosent","alle","37.7"
"flyktning_botid_flytting","2015","030111","uoppgitt","personer","alle","1439"
"flyktning_botid_flytting","2015","030111","uoppgitt","prosent","alle","32.1"
"flyktning_botid_flytting","2015","030112","alle","personer","alle","6653"
"flyktning_botid_flytting","2015","030112","alle","prosent","alle","100"
"flyktning_botid_flytting","2015","030112","ja","personer","alle","2019"
"flyktning_botid_flytting","2015","030112","ja","prosent","alle","30.3"
"flyktning_botid_flytting","2015","030112","nei","personer","alle","2562"
"flyktning_botid_flytting","2015","030112","nei","prosent","alle","38.5"
"flyktning_botid_flytting","2015","030112","uoppgitt","personer","alle","2072"
"flyktning_botid_flytting","2015","030112","uoppgitt","prosent","alle","31.2"
"flyktning_botid_flytting","2015","030113","alle","personer","alle","2759"
"flyktning_botid_flytting","2015","030113","alle","prosent","alle","100"
"flyktning_botid_flytting","2015","030113","ja","personer","alle","990"
"flyktning_botid_flytting","2015","030113","ja","prosent","alle","35.9"
"flyktning_botid_flytting","2015","030113","nei","personer","alle","985"
"flyktning_botid_flytting","2015","030113","nei","prosent","alle","35.7"
"flyktning_botid_flytting","2015","030113","uoppgitt","personer","alle","784"
"flyktning_botid_flytting","2015","030113","uoppgitt","prosent","alle","28.4"
"flyktning_botid_flytting","2015","030114","alle","personer","alle","1379"
"flyktning_botid_flytting","2015","030114","alle","prosent","alle","100"
"flyktning_botid_flytting","2015","030114","ja","personer","alle","547"
"flyktning_botid_flytting","2015","030114","ja","prosent","alle","39.6"
"flyktning_botid_flytting","2015","030114","nei","personer","alle","449"
"flyktning_botid_flytting","2015","030114","nei","prosent","alle","32.5"
"flyktning_botid_flytting","2015","030114","uoppgitt","personer","alle","383"
"flyktning_botid_flytting","2015","030114","uoppgitt","prosent","alle","27.8"
"flyktning_botid_flytting","2015","030115","alle","personer","alle","4554"
"flyktning_botid_flytting","2015","030115","alle","prosent","alle","100"
"flyktning_botid_flytting","2015","030115","ja","personer","alle","1399"
"flyktning_botid_flytting","2015","030115","ja","prosent","alle","30.7"
"flyktning_botid_flytting","2015","030115","nei","personer","alle","1854"
"flyktning_botid_flytting","2015","030115","nei","prosent","alle","40.7"
"flyktning_botid_flytting","2015","030115","uoppgitt","personer","alle","1301"
"flyktning_botid_flytting","2015","030115","uoppgitt","prosent","alle","28.5"
"flyktning_botid_flytting","2015","030116","alle","personer","alle","102"
"flyktning_botid_flytting","2015","030116","alle","prosent","alle","100"
