"kommune_nr","innvkat_3","vreg_3","enhet","aar","tabellvariabel","tabell_navn"
"0701","alle","alle","prosent","2012","8.7","vedvarende_lavinntekt"
"0702","alle","alle","prosent","2012","6.3","vedvarende_lavinntekt"
"0704","alle","alle","prosent","2012","8.3","vedvarende_lavinntekt"
"0706","alle","alle","prosent","2012","9.4","vedvarende_lavinntekt"
"0709","alle","alle","prosent","2012","8.9","vedvarende_lavinntekt"
"0711","alle","alle","prosent","2012","7.4","vedvarende_lavinntekt"
"0713","alle","alle","prosent","2012","7.2","vedvarende_lavinntekt"
"0714","alle","alle","prosent","2012","6.9","vedvarende_lavinntekt"
"0716","alle","alle","prosent","2012","7.5","vedvarende_lavinntekt"
"0719","alle","alle","prosent","2012","7.3","vedvarende_lavinntekt"
"0720","alle","alle","prosent","2012","8.1","vedvarende_lavinntekt"
"0722","alle","alle","prosent","2012","7.1","vedvarende_lavinntekt"
"0723","alle","alle","prosent","2012","8.7","vedvarende_lavinntekt"
"0728","alle","alle","prosent","2012","6.1","vedvarende_lavinntekt"
"0805","alle","alle","prosent","2012","7.3","vedvarende_lavinntekt"
"0806","alle","alle","prosent","2012","9.9","vedvarende_lavinntekt"
"0807","alle","alle","prosent","2012","8.4","vedvarende_lavinntekt"
"0811","alle","alle","prosent","2012","6.5","vedvarende_lavinntekt"
"0814","alle","alle","prosent","2012","6.3","vedvarende_lavinntekt"
"0815","alle","alle","prosent","2012","9.8","vedvarende_lavinntekt"
"0817","alle","alle","prosent","2012","10.0","vedvarende_lavinntekt"
"0819","alle","alle","prosent","2012","9.5","vedvarende_lavinntekt"
"0821","alle","alle","prosent","2012","11.7","vedvarende_lavinntekt"
"0822","alle","alle","prosent","2012","10.8","vedvarende_lavinntekt"
"0826","alle","alle","prosent","2012","9.0","vedvarende_lavinntekt"
"0827","alle","alle","prosent","2012","8.2","vedvarende_lavinntekt"
"0828","alle","alle","prosent","2012","8.9","vedvarende_lavinntekt"
"0829","alle","alle","prosent","2012","9.2","vedvarende_lavinntekt"
"0830","alle","alle","prosent","2012","8.5","vedvarende_lavinntekt"
"0831","alle","alle","prosent","2012","8.8","vedvarende_lavinntekt"
"0833","alle","alle","prosent","2012","6.1","vedvarende_lavinntekt"
"0834","alle","alle","prosent","2012","7.5","vedvarende_lavinntekt"
"0901","alle","alle","prosent","2012","10.2","vedvarende_lavinntekt"
"0904","alle","alle","prosent","2012","8.5","vedvarende_lavinntekt"
"0906","alle","alle","prosent","2012","8.2","vedvarende_lavinntekt"
"0911","alle","alle","prosent","2012","8.4","vedvarende_lavinntekt"
"0912","alle","alle","prosent","2012","8.6","vedvarende_lavinntekt"
"0914","alle","alle","prosent","2012","10.3","vedvarende_lavinntekt"
"0919","alle","alle","prosent","2012","7.6","vedvarende_lavinntekt"
"0926","alle","alle","prosent","2012","5.9","vedvarende_lavinntekt"
"0928","alle","alle","prosent","2012","7.0","vedvarende_lavinntekt"
"0929","alle","alle","prosent","2012","13.4","vedvarende_lavinntekt"
"0935","alle","alle","prosent","2012","10.1","vedvarende_lavinntekt"
"0937","alle","alle","prosent","2012","9.1","vedvarende_lavinntekt"
"0938","alle","alle","prosent","2012","7.8","vedvarende_lavinntekt"
"0940","alle","alle","prosent","2012","12.8","vedvarende_lavinntekt"
"0941","alle","alle","prosent","2012","7.3","vedvarende_lavinntekt"
"1001","alle","alle","prosent","2012","8.7","vedvarende_lavinntekt"
"1002","alle","alle","prosent","2012","7.7","vedvarende_lavinntekt"
"1003","alle","alle","prosent","2012","7.2","vedvarende_lavinntekt"
"1004","alle","alle","prosent","2012","6.8","vedvarende_lavinntekt"
"1014","alle","alle","prosent","2012","6.9","vedvarende_lavinntekt"
"1017","alle","alle","prosent","2012","8.0","vedvarende_lavinntekt"
"1018","alle","alle","prosent","2012","7.3","vedvarende_lavinntekt"
"1021","alle","alle","prosent","2012","7.6","vedvarende_lavinntekt"
"1026","alle","alle","prosent","2012","9.6","vedvarende_lavinntekt"
"1027","alle","alle","prosent","2012","6.2","vedvarende_lavinntekt"
"1029","alle","alle","prosent","2012","9.5","vedvarende_lavinntekt"
"1032","alle","alle","prosent","2012","8.4","vedvarende_lavinntekt"
"1034","alle","alle","prosent","2012","7.4","vedvarende_lavinntekt"
"1037","alle","alle","prosent","2012","8.0","vedvarende_lavinntekt"
"1046","alle","alle","prosent","2012","6.2","vedvarende_lavinntekt"
"1101","alle","alle","prosent","2012","5.7","vedvarende_lavinntekt"
"1102","alle","alle","prosent","2012","5.3","vedvarende_lavinntekt"
"1103","alle","alle","prosent","2012","6.2","vedvarende_lavinntekt"
"1106","alle","alle","prosent","2012","8.3","vedvarende_lavinntekt"
"1111","alle","alle","prosent","2012","5.8","vedvarende_lavinntekt"
"1112","alle","alle","prosent","2012","6.0","vedvarende_lavinntekt"
"1114","alle","alle","prosent","2012","3.8","vedvarende_lavinntekt"
"1119","alle","alle","prosent","2012","5.0","vedvarende_lavinntekt"
"1120","alle","alle","prosent","2012","5.0","vedvarende_lavinntekt"
"1121","alle","alle","prosent","2012","4.2","vedvarende_lavinntekt"
"1122","alle","alle","prosent","2012","3.8","vedvarende_lavinntekt"
"1124","alle","alle","prosent","2012","4.7","vedvarende_lavinntekt"
"1127","alle","alle","prosent","2012","3.8","vedvarende_lavinntekt"
"1129","alle","alle","prosent","2012","4.0","vedvarende_lavinntekt"
"1130","alle","alle","prosent","2012","5.2","vedvarende_lavinntekt"
"1133","alle","alle","prosent","2012","6.6","vedvarende_lavinntekt"
"1134","alle","alle","prosent","2012","6.8","vedvarende_lavinntekt"
"1135","alle","alle","prosent","2012","6.5","vedvarende_lavinntekt"
"1141","alle","alle","prosent","2012","6.2","vedvarende_lavinntekt"
"1142","alle","alle","prosent","2012","4.0","vedvarende_lavinntekt"
"1144","alle","alle","prosent","2012","5.7","vedvarende_lavinntekt"
"1145","alle","alle","prosent","2012","8.1","vedvarende_lavinntekt"
"1146","alle","alle","prosent","2012","4.0","vedvarende_lavinntekt"
"1149","alle","alle","prosent","2012","6.8","vedvarende_lavinntekt"
"1151","alle","alle","prosent","2012","5.3","vedvarende_lavinntekt"
"1160","alle","alle","prosent","2012","6.3","vedvarende_lavinntekt"
"1201","alle","alle","prosent","2012","8.0","vedvarende_lavinntekt"
"1211","alle","alle","prosent","2012","6.4","vedvarende_lavinntekt"
"1216","alle","alle","prosent","2012","6.4","vedvarende_lavinntekt"
"1219","alle","alle","prosent","2012","5.9","vedvarende_lavinntekt"
"1221","alle","alle","prosent","2012","5.3","vedvarende_lavinntekt"
"1222","alle","alle","prosent","2012","5.2","vedvarende_lavinntekt"
"1223","alle","alle","prosent","2012","7.7","vedvarende_lavinntekt"
"1224","alle","alle","prosent","2012","6.4","vedvarende_lavinntekt"
"1227","alle","alle","prosent","2012","7.3","vedvarende_lavinntekt"
"1228","alle","alle","prosent","2012","5.8","vedvarende_lavinntekt"
"1231","alle","alle","prosent","2012","6.2","vedvarende_lavinntekt"
"1232","alle","alle","prosent","2012","7.2","vedvarende_lavinntekt"
"1233","alle","alle","prosent","2012","5.9","vedvarende_lavinntekt"
"1234","alle","alle","prosent","2012","7.7","vedvarende_lavinntekt"
"1235","alle","alle","prosent","2012","6.9","vedvarende_lavinntekt"
"1238","alle","alle","prosent","2012","6.8","vedvarende_lavinntekt"
"1241","alle","alle","prosent","2012","6.5","vedvarende_lavinntekt"
"1242","alle","alle","prosent","2012","5.6","vedvarende_lavinntekt"
"1243","alle","alle","prosent","2012","5.9","vedvarende_lavinntekt"
"1244","alle","alle","prosent","2012","4.7","vedvarende_lavinntekt"
"1245","alle","alle","prosent","2012","6.3","vedvarende_lavinntekt"
"1246","alle","alle","prosent","2012","4.4","vedvarende_lavinntekt"
"1247","alle","alle","prosent","2012","4.9","vedvarende_lavinntekt"
"1251","alle","alle","prosent","2012","7.2","vedvarende_lavinntekt"
"1252","alle","alle","prosent","2012","6.8","vedvarende_lavinntekt"
"1253","alle","alle","prosent","2012","6.3","vedvarende_lavinntekt"
"1256","alle","alle","prosent","2012","4.5","vedvarende_lavinntekt"
"1259","alle","alle","prosent","2012","5.5","vedvarende_lavinntekt"
"1260","alle","alle","prosent","2012","6.9","vedvarende_lavinntekt"
"1263","alle","alle","prosent","2012","5.4","vedvarende_lavinntekt"
"1264","alle","alle","prosent","2012","5.1","vedvarende_lavinntekt"
"1265","alle","alle","prosent","2012","5.9","vedvarende_lavinntekt"
"1266","alle","alle","prosent","2012","6.0","vedvarende_lavinntekt"
"1401","alle","alle","prosent","2012","6.0","vedvarende_lavinntekt"
"1411","alle","alle","prosent","2012","6.9","vedvarende_lavinntekt"
"1412","alle","alle","prosent","2012","8.0","vedvarende_lavinntekt"
"1413","alle","alle","prosent","2012","7.2","vedvarende_lavinntekt"
"1416","alle","alle","prosent","2012","6.6","vedvarende_lavinntekt"
"1417","alle","alle","prosent","2012","8.4","vedvarende_lavinntekt"
"1418","alle","alle","prosent","2012","8.2","vedvarende_lavinntekt"
"1419","alle","alle","prosent","2012","4.8","vedvarende_lavinntekt"
"1420","alle","alle","prosent","2012","6.7","vedvarende_lavinntekt"
"1421","alle","alle","prosent","2012","7.4","vedvarende_lavinntekt"
"1422","alle","alle","prosent","2012","5.0","vedvarende_lavinntekt"
"1424","alle","alle","prosent","2012","3.5","vedvarende_lavinntekt"
"1426","alle","alle","prosent","2012","7.1","vedvarende_lavinntekt"
"1428","alle","alle","prosent","2012","6.9","vedvarende_lavinntekt"
"1429","alle","alle","prosent","2012","8.3","vedvarende_lavinntekt"
"1430","alle","alle","prosent","2012","7.6","vedvarende_lavinntekt"
"1431","alle","alle","prosent","2012","6.3","vedvarende_lavinntekt"
"1432","alle","alle","prosent","2012","5.1","vedvarende_lavinntekt"
"1433","alle","alle","prosent","2012","5.4","vedvarende_lavinntekt"
"1438","alle","alle","prosent","2012","6.6","vedvarende_lavinntekt"
"1439","alle","alle","prosent","2012","6.9","vedvarende_lavinntekt"
"1441","alle","alle","prosent","2012","7.0","vedvarende_lavinntekt"
"1443","alle","alle","prosent","2012","6.2","vedvarende_lavinntekt"
"1444","alle","alle","prosent","2012","7.5","vedvarende_lavinntekt"
"1445","alle","alle","prosent","2012","7.1","vedvarende_lavinntekt"
"1449","alle","alle","prosent","2012","7.3","vedvarende_lavinntekt"
"1502","alle","alle","prosent","2012","5.1","vedvarende_lavinntekt"
"1504","alle","alle","prosent","2012","6.6","vedvarende_lavinntekt"
"1505","alle","alle","prosent","2012","7.6","vedvarende_lavinntekt"
"1511","alle","alle","prosent","2012","7.3","vedvarende_lavinntekt"
"1514","alle","alle","prosent","2012","8.2","vedvarende_lavinntekt"
"1515","alle","alle","prosent","2012","5.6","vedvarende_lavinntekt"
"1516","alle","alle","prosent","2012","5.1","vedvarende_lavinntekt"
"1517","alle","alle","prosent","2012","7.8","vedvarende_lavinntekt"
"1519","alle","alle","prosent","2012","7.8","vedvarende_lavinntekt"
"1520","alle","alle","prosent","2012","6.5","vedvarende_lavinntekt"
"1523","alle","alle","prosent","2012","6.1","vedvarende_lavinntekt"
"1524","alle","alle","prosent","2012","7.1","vedvarende_lavinntekt"
"1525","alle","alle","prosent","2012","5.9","vedvarende_lavinntekt"
"1526","alle","alle","prosent","2012","10.3","vedvarende_lavinntekt"
"1528","alle","alle","prosent","2012","6.2","vedvarende_lavinntekt"
"1529","alle","alle","prosent","2012","3.7","vedvarende_lavinntekt"
"1531","alle","alle","prosent","2012","5.4","vedvarende_lavinntekt"
"1532","alle","alle","prosent","2012","5.4","vedvarende_lavinntekt"
"1534","alle","alle","prosent","2012","6.3","vedvarende_lavinntekt"
"1535","alle","alle","prosent","2012","7.0","vedvarende_lavinntekt"
"1539","alle","alle","prosent","2012","6.4","vedvarende_lavinntekt"
"1543","alle","alle","prosent","2012","6.1","vedvarende_lavinntekt"
"1545","alle","alle","prosent","2012","5.7","vedvarende_lavinntekt"
"1546","alle","alle","prosent","2012","8.4","vedvarende_lavinntekt"
"1547","alle","alle","prosent","2012","6.5","vedvarende_lavinntekt"
"1548","alle","alle","prosent","2012","6.4","vedvarende_lavinntekt"
"1551","alle","alle","prosent","2012","6.2","vedvarende_lavinntekt"
"1554","alle","alle","prosent","2012","5.7","vedvarende_lavinntekt"
"1557","alle","alle","prosent","2012","5.3","vedvarende_lavinntekt"
"1560","alle","alle","prosent","2012","8.7","vedvarende_lavinntekt"
"1563","alle","alle","prosent","2012","7.0","vedvarende_lavinntekt"
"1566","alle","alle","prosent","2012","7.2","vedvarende_lavinntekt"
"1567","alle","alle","prosent","2012","6.4","vedvarende_lavinntekt"
"1571","alle","alle","prosent","2012","10.2","vedvarende_lavinntekt"
"1573","alle","alle","prosent","2012","9.0","vedvarende_lavinntekt"
"1576","alle","alle","prosent","2012","8.7","vedvarende_lavinntekt"
"1601","alle","alle","prosent","2012","8.2","vedvarende_lavinntekt"
"1612","alle","alle","prosent","2012","6.7","vedvarende_lavinntekt"
"1613","alle","alle","prosent","2012","9.2","vedvarende_lavinntekt"
"1617","alle","alle","prosent","2012","9.8","vedvarende_lavinntekt"
"1620","alle","alle","prosent","2012","8.4","vedvarende_lavinntekt"
"1621","alle","alle","prosent","2012","7.3","vedvarende_lavinntekt"
"1622","alle","alle","prosent","2012","9.0","vedvarende_lavinntekt"
"1624","alle","alle","prosent","2012","7.8","vedvarende_lavinntekt"
"1627","alle","alle","prosent","2012","8.5","vedvarende_lavinntekt"
"1630","alle","alle","prosent","2012","7.5","vedvarende_lavinntekt"
"1632","alle","alle","prosent","2012","8.0","vedvarende_lavinntekt"
"1633","alle","alle","prosent","2012","7.0","vedvarende_lavinntekt"
"1634","alle","alle","prosent","2012","8.2","vedvarende_lavinntekt"
"1635","alle","alle","prosent","2012","9.8","vedvarende_lavinntekt"
"1636","alle","alle","prosent","2012","7.6","vedvarende_lavinntekt"
"1638","alle","alle","prosent","2012","6.0","vedvarende_lavinntekt"
"1640","alle","alle","prosent","2012","6.9","vedvarende_lavinntekt"
"1644","alle","alle","prosent","2012","5.8","vedvarende_lavinntekt"
"1648","alle","alle","prosent","2012","7.5","vedvarende_lavinntekt"
"1653","alle","alle","prosent","2012","5.7","vedvarende_lavinntekt"
"1657","alle","alle","prosent","2012","5.0","vedvarende_lavinntekt"
"1662","alle","alle","prosent","2012","4.4","vedvarende_lavinntekt"
"1663","alle","alle","prosent","2012","4.4","vedvarende_lavinntekt"
"1664","alle","alle","prosent","2012","6.8","vedvarende_lavinntekt"
"1665","alle","alle","prosent","2012","5.3","vedvarende_lavinntekt"
"1702","alle","alle","prosent","2012","7.5","vedvarende_lavinntekt"
"1703","alle","alle","prosent","2012","6.4","vedvarende_lavinntekt"
"1711","alle","alle","prosent","2012","10.7","vedvarende_lavinntekt"
"1714","alle","alle","prosent","2012","6.0","vedvarende_lavinntekt"
"1717","alle","alle","prosent","2012","8.1","vedvarende_lavinntekt"
"1718","alle","alle","prosent","2012","6.5","vedvarende_lavinntekt"
"1719","alle","alle","prosent","2012","7.2","vedvarende_lavinntekt"
"1721","alle","alle","prosent","2012","7.6","vedvarende_lavinntekt"
"1724","alle","alle","prosent","2012","10.8","vedvarende_lavinntekt"
"1725","alle","alle","prosent","2012","8.4","vedvarende_lavinntekt"
"1736","alle","alle","prosent","2012","7.6","vedvarende_lavinntekt"
"1738","alle","alle","prosent","2012","9.9","vedvarende_lavinntekt"
"1739","alle","alle","prosent","2012","5.9","vedvarende_lavinntekt"
"1740","alle","alle","prosent","2012","7.0","vedvarende_lavinntekt"
"1742","alle","alle","prosent","2012","7.8","vedvarende_lavinntekt"
"1743","alle","alle","prosent","2012","5.2","vedvarende_lavinntekt"
"1744","alle","alle","prosent","2012","6.2","vedvarende_lavinntekt"
"1748","alle","alle","prosent","2012","12.5","vedvarende_lavinntekt"
"1749","alle","alle","prosent","2012","7.9","vedvarende_lavinntekt"
"1750","alle","alle","prosent","2012","5.4","vedvarende_lavinntekt"
"1751","alle","alle","prosent","2012","7.9","vedvarende_lavinntekt"
"1755","alle","alle","prosent","2012","11.5","vedvarende_lavinntekt"
"1756","alle","alle","prosent","2012","5.8","vedvarende_lavinntekt"
"1804","alle","alle","prosent","2012","5.1","vedvarende_lavinntekt"
"1805","alle","alle","prosent","2012","5.9","vedvarende_lavinntekt"
"1811","alle","alle","prosent","2012","11.5","vedvarende_lavinntekt"
"1812","alle","alle","prosent","2012","7.9","vedvarende_lavinntekt"
"1813","alle","alle","prosent","2012","7.0","vedvarende_lavinntekt"
"1815","alle","alle","prosent","2012","9.6","vedvarende_lavinntekt"
"1816","alle","alle","prosent","2012","8.6","vedvarende_lavinntekt"
"1818","alle","alle","prosent","2012","9.7","vedvarende_lavinntekt"
"1820","alle","alle","prosent","2012","7.0","vedvarende_lavinntekt"
"1822","alle","alle","prosent","2012","10.1","vedvarende_lavinntekt"
"1824","alle","alle","prosent","2012","6.0","vedvarende_lavinntekt"
"1825","alle","alle","prosent","2012","5.6","vedvarende_lavinntekt"
"1826","alle","alle","prosent","2012","8.7","vedvarende_lavinntekt"
"1827","alle","alle","prosent","2012","9.9","vedvarende_lavinntekt"
"1828","alle","alle","prosent","2012","13.1","vedvarende_lavinntekt"
"1832","alle","alle","prosent","2012","7.5","vedvarende_lavinntekt"
"1833","alle","alle","prosent","2012","5.0","vedvarende_lavinntekt"
"1834","alle","alle","prosent","2012","9.5","vedvarende_lavinntekt"
"1835","alle","alle","prosent","2012","11.3","vedvarende_lavinntekt"
"1836","alle","alle","prosent","2012","9.4","vedvarende_lavinntekt"
"1837","alle","alle","prosent","2012","6.0","vedvarende_lavinntekt"
"1838","alle","alle","prosent","2012","7.4","vedvarende_lavinntekt"
"1839","alle","alle","prosent","2012","7.1","vedvarende_lavinntekt"
"1840","alle","alle","prosent","2012","6.9","vedvarende_lavinntekt"
"1841","alle","alle","prosent","2012","6.1","vedvarende_lavinntekt"
"1845","alle","alle","prosent","2012","8.3","vedvarende_lavinntekt"
"1848","alle","alle","prosent","2012","11.1","vedvarende_lavinntekt"
"1849","alle","alle","prosent","2012","10.0","vedvarende_lavinntekt"
"1850","alle","alle","prosent","2012","8.1","vedvarende_lavinntekt"
"1851","alle","alle","prosent","2012","7.6","vedvarende_lavinntekt"
"1852","alle","alle","prosent","2012","5.9","vedvarende_lavinntekt"
"1853","alle","alle","prosent","2012","8.1","vedvarende_lavinntekt"
"1854","alle","alle","prosent","2012","8.1","vedvarende_lavinntekt"
"1856","alle","alle","prosent","2012","9.1","vedvarende_lavinntekt"
"1857","alle","alle","prosent","2012","10.7","vedvarende_lavinntekt"
"1859","alle","alle","prosent","2012","7.0","vedvarende_lavinntekt"
"1860","alle","alle","prosent","2012","8.1","vedvarende_lavinntekt"
"1865","alle","alle","prosent","2012","7.7","vedvarende_lavinntekt"
"1866","alle","alle","prosent","2012","8.2","vedvarende_lavinntekt"
"1867","alle","alle","prosent","2012","14.0","vedvarende_lavinntekt"
"1868","alle","alle","prosent","2012","9.3","vedvarende_lavinntekt"
"1870","alle","alle","prosent","2012","7.3","vedvarende_lavinntekt"
"1871","alle","alle","prosent","2012","7.8","vedvarende_lavinntekt"
"1874","alle","alle","prosent","2012","11.7","vedvarende_lavinntekt"
"1902","alle","alle","prosent","2012","6.8","vedvarende_lavinntekt"
"1901","alle","alle","prosent","2012","6.4","vedvarende_lavinntekt"
"1911","alle","alle","prosent","2012","8.0","vedvarende_lavinntekt"
"1913","alle","alle","prosent","2012","6.1","vedvarende_lavinntekt"
"1917","alle","alle","prosent","2012","10.7","vedvarende_lavinntekt"
"1919","alle","alle","prosent","2012","9.5","vedvarende_lavinntekt"
"1920","alle","alle","prosent","2012","7.1","vedvarende_lavinntekt"
"1922","alle","alle","prosent","2012","5.2","vedvarende_lavinntekt"
"1923","alle","alle","prosent","2012","6.8","vedvarende_lavinntekt"
"1924","alle","alle","prosent","2012","4.9","vedvarende_lavinntekt"
"1925","alle","alle","prosent","2012","4.9","vedvarende_lavinntekt"
"1926","alle","alle","prosent","2012","9.5","vedvarende_lavinntekt"
