"aar","bydel_nr","vreg_2","kjonn","enhet","tabellvariabel","tabell_navn","fylke_nr","naringsregion_nr","kommune_nr"
2014,"030107","1","alle","personer","4008","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030107","2","0","personer","1792","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030107","2","1","personer","936","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030107","2","alle","personer","2728","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030108","1","0","personer","1771","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030108","1","1","personer","1871","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030108","1","alle","personer","3642","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030108","2","0","personer","1787","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030108","2","1","personer","1724","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030108","2","alle","personer","3511","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030109","1","0","personer","1028","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030109","1","1","personer","1619","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030109","1","alle","personer","2647","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030109","2","0","personer","3213","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030109","2","1","personer","3426","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030109","2","alle","personer","6639","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030110","1","0","personer","719","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030110","1","1","personer","926","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030110","1","alle","personer","1645","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030110","2","0","personer","3531","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030110","2","1","personer","3468","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030110","2","alle","personer","6999","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030111","1","0","personer","680","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030111","1","1","personer","1149","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030111","1","alle","personer","1829","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030111","2","0","personer","4336","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030111","2","1","personer","4343","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030111","2","alle","personer","8679","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030112","1","0","personer","1171","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030112","1","1","personer","1631","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030112","1","alle","personer","2802","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030112","2","0","personer","6733","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030112","2","1","personer","6657","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030112","2","alle","personer","13390","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030113","1","0","personer","1236","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030113","1","1","personer","1417","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030113","1","alle","personer","2653","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030113","2","0","personer","3027","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030113","2","1","personer","2665","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030113","2","alle","personer","5692","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030114","1","0","personer","1566","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030114","1","1","personer","1889","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030114","1","alle","personer","3455","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030114","2","0","personer","1704","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030114","2","1","personer","1346","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030114","2","alle","personer","3050","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030115","1","0","personer","1127","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030115","1","1","personer","1505","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030115","1","alle","personer","2632","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030115","2","0","personer","5015","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030115","2","1","personer","4691","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030115","2","alle","personer","9706","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030116","1","0","personer","109","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030116","1","1","personer","174","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030116","1","alle","personer","283","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030116","2","0","personer","67","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030116","2","1","personer","134","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030116","2","alle","personer","201","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030117","1","0","personer","48","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030117","1","1","personer","68","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030117","1","alle","personer","116","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030117","2","0","personer","24","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030117","2","1","personer","13","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030117","2","alle","personer","37","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030199","1","0","personer","222","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030199","1","1","personer","1063","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030199","1","alle","personer","1285","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030199","2","0","personer","248","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030199","2","1","personer","642","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"030199","2","alle","personer","890","befolkning_verdensregion_2","NULL","NULL","NULL"
2014,"NULL","1","0","personer","129278","befolkning_verdensregion_2","00","NULL","NULL"
2014,"NULL","1","1","personer","177910","befolkning_verdensregion_2","00","NULL","NULL"
2014,"NULL","1","alle","personer","307188","befolkning_verdensregion_2","00","NULL","NULL"
2014,"NULL","2","0","personer","172120","befolkning_verdensregion_2","00","NULL","NULL"
2014,"NULL","2","1","personer","153802","befolkning_verdensregion_2","00","NULL","NULL"
2014,"NULL","2","alle","personer","325922","befolkning_verdensregion_2","00","NULL","NULL"
2014,"NULL","1","0","personer","6375","befolkning_verdensregion_2","01","NULL","NULL"
2014,"NULL","1","1","personer","8724","befolkning_verdensregion_2","01","NULL","NULL"
2014,"NULL","1","alle","personer","15099","befolkning_verdensregion_2","01","NULL","NULL"
2014,"NULL","2","0","personer","9788","befolkning_verdensregion_2","01","NULL","NULL"
2014,"NULL","2","1","personer","8799","befolkning_verdensregion_2","01","NULL","NULL"
2014,"NULL","2","alle","personer","18587","befolkning_verdensregion_2","01","NULL","NULL"
2014,"NULL","1","0","personer","17496","befolkning_verdensregion_2","02","NULL","NULL"
2014,"NULL","1","1","personer","23484","befolkning_verdensregion_2","02","NULL","NULL"
2014,"NULL","1","alle","personer","40980","befolkning_verdensregion_2","02","NULL","NULL"
2014,"NULL","2","0","personer","21292","befolkning_verdensregion_2","02","NULL","NULL"
2014,"NULL","2","1","personer","18064","befolkning_verdensregion_2","02","NULL","NULL"
2014,"NULL","2","alle","personer","39356","befolkning_verdensregion_2","02","NULL","NULL"
2014,"NULL","1","0","personer","25087","befolkning_verdensregion_2","03","NULL","NULL"
2014,"NULL","1","1","personer","32461","befolkning_verdensregion_2","03","NULL","NULL"
2014,"NULL","1","alle","personer","57548","befolkning_verdensregion_2","03","NULL","NULL"
2014,"NULL","2","0","personer","47323","befolkning_verdensregion_2","03","NULL","NULL"
2014,"NULL","2","1","personer","46851","befolkning_verdensregion_2","03","NULL","NULL"
2014,"NULL","2","alle","personer","94174","befolkning_verdensregion_2","03","NULL","NULL"
2014,"NULL","1","0","personer","3435","befolkning_verdensregion_2","04","NULL","NULL"
2014,"NULL","1","1","personer","4066","befolkning_verdensregion_2","04","NULL","NULL"
2014,"NULL","1","alle","personer","7501","befolkning_verdensregion_2","04","NULL","NULL"
2014,"NULL","2","0","personer","3858","befolkning_verdensregion_2","04","NULL","NULL"
2014,"NULL","2","1","personer","3424","befolkning_verdensregion_2","04","NULL","NULL"
2014,"NULL","2","alle","personer","7282","befolkning_verdensregion_2","04","NULL","NULL"
2014,"NULL","1","0","personer","3171","befolkning_verdensregion_2","05","NULL","NULL"
2014,"NULL","1","1","personer","4144","befolkning_verdensregion_2","05","NULL","NULL"
2014,"NULL","1","alle","personer","7315","befolkning_verdensregion_2","05","NULL","NULL"
2014,"NULL","2","0","personer","3747","befolkning_verdensregion_2","05","NULL","NULL"
2014,"NULL","2","1","personer","3388","befolkning_verdensregion_2","05","NULL","NULL"
2014,"NULL","2","alle","personer","7135","befolkning_verdensregion_2","05","NULL","NULL"
2014,"NULL","1","0","personer","7902","befolkning_verdensregion_2","06","NULL","NULL"
2014,"NULL","1","1","personer","10707","befolkning_verdensregion_2","06","NULL","NULL"
2014,"NULL","1","alle","personer","18609","befolkning_verdensregion_2","06","NULL","NULL"
2014,"NULL","2","0","personer","10019","befolkning_verdensregion_2","06","NULL","NULL"
2014,"NULL","2","1","personer","8801","befolkning_verdensregion_2","06","NULL","NULL"
2014,"NULL","2","alle","personer","18820","befolkning_verdensregion_2","06","NULL","NULL"
2014,"NULL","1","0","personer","5915","befolkning_verdensregion_2","07","NULL","NULL"
2014,"NULL","1","1","personer","7373","befolkning_verdensregion_2","07","NULL","NULL"
2014,"NULL","1","alle","personer","13288","befolkning_verdensregion_2","07","NULL","NULL"
2014,"NULL","2","0","personer","6360","befolkning_verdensregion_2","07","NULL","NULL"
2014,"NULL","2","1","personer","5287","befolkning_verdensregion_2","07","NULL","NULL"
2014,"NULL","2","alle","personer","11647","befolkning_verdensregion_2","07","NULL","NULL"
2014,"NULL","1","0","personer","3175","befolkning_verdensregion_2","08","NULL","NULL"
2014,"NULL","1","1","personer","3965","befolkning_verdensregion_2","08","NULL","NULL"
2014,"NULL","1","alle","personer","7140","befolkning_verdensregion_2","08","NULL","NULL"
2014,"NULL","2","0","personer","4917","befolkning_verdensregion_2","08","NULL","NULL"
2014,"NULL","2","1","personer","4159","befolkning_verdensregion_2","08","NULL","NULL"
2014,"NULL","2","alle","personer","9076","befolkning_verdensregion_2","08","NULL","NULL"
2014,"NULL","1","0","personer","2633","befolkning_verdensregion_2","09","NULL","NULL"
2014,"NULL","1","1","personer","3277","befolkning_verdensregion_2","09","NULL","NULL"
2014,"NULL","1","alle","personer","5910","befolkning_verdensregion_2","09","NULL","NULL"
2014,"NULL","2","0","personer","2817","befolkning_verdensregion_2","09","NULL","NULL"
2014,"NULL","2","1","personer","2381","befolkning_verdensregion_2","09","NULL","NULL"
2014,"NULL","2","alle","personer","5198","befolkning_verdensregion_2","09","NULL","NULL"
2014,"NULL","1","0","personer","3738","befolkning_verdensregion_2","10","NULL","NULL"
2014,"NULL","1","1","personer","4793","befolkning_verdensregion_2","10","NULL","NULL"
2014,"NULL","1","alle","personer","8531","befolkning_verdensregion_2","10","NULL","NULL"
2014,"NULL","2","0","personer","5799","befolkning_verdensregion_2","10","NULL","NULL"
2014,"NULL","2","1","personer","5214","befolkning_verdensregion_2","10","NULL","NULL"
2014,"NULL","2","alle","personer","11013","befolkning_verdensregion_2","10","NULL","NULL"
2014,"NULL","1","0","personer","13765","befolkning_verdensregion_2","11","NULL","NULL"
2014,"NULL","1","1","personer","21376","befolkning_verdensregion_2","11","NULL","NULL"
2014,"NULL","1","alle","personer","35141","befolkning_verdensregion_2","11","NULL","NULL"
2014,"NULL","2","0","personer","14728","befolkning_verdensregion_2","11","NULL","NULL"
2014,"NULL","2","1","personer","12813","befolkning_verdensregion_2","11","NULL","NULL"
2014,"NULL","2","alle","personer","27541","befolkning_verdensregion_2","11","NULL","NULL"
2014,"NULL","1","0","personer","12161","befolkning_verdensregion_2","12","NULL","NULL"
2014,"NULL","1","1","personer","18303","befolkning_verdensregion_2","12","NULL","NULL"
2014,"NULL","1","alle","personer","30464","befolkning_verdensregion_2","12","NULL","NULL"
2014,"NULL","2","0","personer","13190","befolkning_verdensregion_2","12","NULL","NULL"
2014,"NULL","2","1","personer","11531","befolkning_verdensregion_2","12","NULL","NULL"
2014,"NULL","2","alle","personer","24721","befolkning_verdensregion_2","12","NULL","NULL"
2014,"NULL","1","0","personer","2435","befolkning_verdensregion_2","14","NULL","NULL"
2014,"NULL","1","1","personer","3498","befolkning_verdensregion_2","14","NULL","NULL"
2014,"NULL","1","alle","personer","5933","befolkning_verdensregion_2","14","NULL","NULL"
2014,"NULL","2","0","personer","1975","befolkning_verdensregion_2","14","NULL","NULL"
2014,"NULL","2","1","personer","1541","befolkning_verdensregion_2","14","NULL","NULL"
2014,"NULL","2","alle","personer","3516","befolkning_verdensregion_2","14","NULL","NULL"
2014,"NULL","1","0","personer","5992","befolkning_verdensregion_2","15","NULL","NULL"
2014,"NULL","1","1","personer","9587","befolkning_verdensregion_2","15","NULL","NULL"
2014,"NULL","1","alle","personer","15579","befolkning_verdensregion_2","15","NULL","NULL"
2014,"NULL","2","0","personer","5496","befolkning_verdensregion_2","15","NULL","NULL"
2014,"NULL","2","1","personer","3773","befolkning_verdensregion_2","15","NULL","NULL"
2014,"NULL","2","alle","personer","9269","befolkning_verdensregion_2","15","NULL","NULL"
2014,"NULL","1","0","personer","5747","befolkning_verdensregion_2","16","NULL","NULL"
2014,"NULL","1","1","personer","8614","befolkning_verdensregion_2","16","NULL","NULL"
2014,"NULL","1","alle","personer","14361","befolkning_verdensregion_2","16","NULL","NULL"
2014,"NULL","2","0","personer","7445","befolkning_verdensregion_2","16","NULL","NULL"
2014,"NULL","2","1","personer","6692","befolkning_verdensregion_2","16","NULL","NULL"
2014,"NULL","2","alle","personer","14137","befolkning_verdensregion_2","16","NULL","NULL"
2014,"NULL","1","0","personer","1626","befolkning_verdensregion_2","17","NULL","NULL"
2014,"NULL","1","1","personer","2424","befolkning_verdensregion_2","17","NULL","NULL"
2014,"NULL","1","alle","personer","4050","befolkning_verdensregion_2","17","NULL","NULL"
2014,"NULL","2","0","personer","2443","befolkning_verdensregion_2","17","NULL","NULL"
2014,"NULL","2","1","personer","1918","befolkning_verdensregion_2","17","NULL","NULL"
2014,"NULL","2","alle","personer","4361","befolkning_verdensregion_2","17","NULL","NULL"
2014,"NULL","1","0","personer","3566","befolkning_verdensregion_2","18","NULL","NULL"
2014,"NULL","1","1","personer","4742","befolkning_verdensregion_2","18","NULL","NULL"
2014,"NULL","1","alle","personer","8308","befolkning_verdensregion_2","18","NULL","NULL"
2014,"NULL","2","0","personer","5028","befolkning_verdensregion_2","18","NULL","NULL"
2014,"NULL","2","1","personer","4352","befolkning_verdensregion_2","18","NULL","NULL"
2014,"NULL","2","alle","personer","9380","befolkning_verdensregion_2","18","NULL","NULL"
2014,"NULL","1","0","personer","3141","befolkning_verdensregion_2","19","NULL","NULL"
2014,"NULL","1","1","personer","3868","befolkning_verdensregion_2","19","NULL","NULL"
2014,"NULL","1","alle","personer","7009","befolkning_verdensregion_2","19","NULL","NULL"
2014,"NULL","2","0","personer","3600","befolkning_verdensregion_2","19","NULL","NULL"
2014,"NULL","2","1","personer","3125","befolkning_verdensregion_2","19","NULL","NULL"
2014,"NULL","2","alle","personer","6725","befolkning_verdensregion_2","19","NULL","NULL"
2014,"NULL","1","0","personer","1918","befolkning_verdensregion_2","20","NULL","NULL"
2014,"NULL","1","1","personer","2504","befolkning_verdensregion_2","20","NULL","NULL"
2014,"NULL","1","alle","personer","4422","befolkning_verdensregion_2","20","NULL","NULL"
2014,"NULL","2","0","personer","2295","befolkning_verdensregion_2","20","NULL","NULL"
2014,"NULL","2","1","personer","1689","befolkning_verdensregion_2","20","NULL","NULL"
2014,"NULL","2","alle","personer","3984","befolkning_verdensregion_2","20","NULL","NULL"
2014,"NULL","1","0","personer",".","befolkning_verdensregion_2","99","NULL","NULL"
2014,"NULL","1","1","personer",".","befolkning_verdensregion_2","99","NULL","NULL"
2014,"NULL","1","alle","personer",".","befolkning_verdensregion_2","99","NULL","NULL"
2014,"NULL","2","0","personer",".","befolkning_verdensregion_2","99","NULL","NULL"
2014,"NULL","2","1","personer",".","befolkning_verdensregion_2","99","NULL","NULL"
2014,"NULL","2","alle","personer",".","befolkning_verdensregion_2","99","NULL","NULL"
2014,"NULL","1","0","personer","655","befolkning_verdensregion_2","NULL","01","NULL"
2014,"NULL","1","1","personer","738","befolkning_verdensregion_2","NULL","01","NULL"
2014,"NULL","1","alle","personer","1393","befolkning_verdensregion_2","NULL","01","NULL"
2014,"NULL","2","0","personer","847","befolkning_verdensregion_2","NULL","01","NULL"
2014,"NULL","2","1","personer","746","befolkning_verdensregion_2","NULL","01","NULL"
2014,"NULL","2","alle","personer","1593","befolkning_verdensregion_2","NULL","01","NULL"
2014,"NULL","1","0","personer","1531","befolkning_verdensregion_2","NULL","02","NULL"
2014,"NULL","1","1","personer","2135","befolkning_verdensregion_2","NULL","02","NULL"
2014,"NULL","1","alle","personer","3666","befolkning_verdensregion_2","NULL","02","NULL"
2014,"NULL","2","0","personer","1806","befolkning_verdensregion_2","NULL","02","NULL"
2014,"NULL","2","1","personer","1535","befolkning_verdensregion_2","NULL","02","NULL"
2014,"NULL","2","alle","personer","3341","befolkning_verdensregion_2","NULL","02","NULL"
2014,"NULL","1","0","personer","1429","befolkning_verdensregion_2","NULL","03","NULL"
2014,"NULL","1","1","personer","2020","befolkning_verdensregion_2","NULL","03","NULL"
2014,"NULL","1","alle","personer","3449","befolkning_verdensregion_2","NULL","03","NULL"
2014,"NULL","2","0","personer","1969","befolkning_verdensregion_2","NULL","03","NULL"
2014,"NULL","2","1","personer","1721","befolkning_verdensregion_2","NULL","03","NULL"
2014,"NULL","2","alle","personer","3690","befolkning_verdensregion_2","NULL","03","NULL"
2014,"NULL","1","0","personer","2760","befolkning_verdensregion_2","NULL","04","NULL"
2014,"NULL","1","1","personer","3831","befolkning_verdensregion_2","NULL","04","NULL"
2014,"NULL","1","alle","personer","6591","befolkning_verdensregion_2","NULL","04","NULL"
2014,"NULL","2","0","personer","5166","befolkning_verdensregion_2","NULL","04","NULL"
2014,"NULL","2","1","personer","4797","befolkning_verdensregion_2","NULL","04","NULL"
2014,"NULL","2","alle","personer","9963","befolkning_verdensregion_2","NULL","04","NULL"
2014,"NULL","1","0","personer","6714","befolkning_verdensregion_2","NULL","05","NULL"
2014,"NULL","1","1","personer","8164","befolkning_verdensregion_2","NULL","05","NULL"
2014,"NULL","1","alle","personer","14878","befolkning_verdensregion_2","NULL","05","NULL"
2014,"NULL","2","0","personer","7006","befolkning_verdensregion_2","NULL","05","NULL"
2014,"NULL","2","1","personer","5729","befolkning_verdensregion_2","NULL","05","NULL"
2014,"NULL","2","alle","personer","12735","befolkning_verdensregion_2","NULL","05","NULL"
2014,"NULL","1","0","personer","3816","befolkning_verdensregion_2","NULL","06","NULL"
2014,"NULL","1","1","personer","4728","befolkning_verdensregion_2","NULL","06","NULL"
2014,"NULL","1","alle","personer","8544","befolkning_verdensregion_2","NULL","06","NULL"
2014,"NULL","2","0","personer","4033","befolkning_verdensregion_2","NULL","06","NULL"
2014,"NULL","2","1","personer","3574","befolkning_verdensregion_2","NULL","06","NULL"
2014,"NULL","2","alle","personer","7607","befolkning_verdensregion_2","NULL","06","NULL"
2014,"NULL","1","0","personer","4352","befolkning_verdensregion_2","NULL","07","NULL"
2014,"NULL","1","1","personer","6750","befolkning_verdensregion_2","NULL","07","NULL"
2014,"NULL","1","alle","personer","11102","befolkning_verdensregion_2","NULL","07","NULL"
2014,"NULL","2","0","personer","7372","befolkning_verdensregion_2","NULL","07","NULL"
2014,"NULL","2","1","personer","6523","befolkning_verdensregion_2","NULL","07","NULL"
2014,"NULL","2","alle","personer","13895","befolkning_verdensregion_2","NULL","07","NULL"
2014,"NULL","1","0","personer","2614","befolkning_verdensregion_2","NULL","08","NULL"
2014,"NULL","1","1","personer","3842","befolkning_verdensregion_2","NULL","08","NULL"
2014,"NULL","1","alle","personer","6456","befolkning_verdensregion_2","NULL","08","NULL"
2014,"NULL","2","0","personer","2881","befolkning_verdensregion_2","NULL","08","NULL"
2014,"NULL","2","1","personer","2238","befolkning_verdensregion_2","NULL","08","NULL"
2014,"NULL","2","alle","personer","5119","befolkning_verdensregion_2","NULL","08","NULL"
2014,"NULL","1","0","personer","25087","befolkning_verdensregion_2","NULL","09","NULL"
2014,"NULL","1","1","personer","32461","befolkning_verdensregion_2","NULL","09","NULL"
2014,"NULL","1","alle","personer","57548","befolkning_verdensregion_2","NULL","09","NULL"
2014,"NULL","2","0","personer","47323","befolkning_verdensregion_2","NULL","09","NULL"
2014,"NULL","2","1","personer","46851","befolkning_verdensregion_2","NULL","09","NULL"
2014,"NULL","2","alle","personer","94174","befolkning_verdensregion_2","NULL","09","NULL"
2014,"NULL","1","0","personer","300","befolkning_verdensregion_2","NULL","10","NULL"
2014,"NULL","1","1","personer","359","befolkning_verdensregion_2","NULL","10","NULL"
2014,"NULL","1","alle","personer","659","befolkning_verdensregion_2","NULL","10","NULL"
2014,"NULL","2","0","personer","236","befolkning_verdensregion_2","NULL","10","NULL"
2014,"NULL","2","1","personer","197","befolkning_verdensregion_2","NULL","10","NULL"
2014,"NULL","2","alle","personer","433","befolkning_verdensregion_2","NULL","10","NULL"
2014,"NULL","1","0","personer","863","befolkning_verdensregion_2","NULL","11","NULL"
2014,"NULL","1","1","personer","971","befolkning_verdensregion_2","NULL","11","NULL"
2014,"NULL","1","alle","personer","1834","befolkning_verdensregion_2","NULL","11","NULL"
2014,"NULL","2","0","personer","1014","befolkning_verdensregion_2","NULL","11","NULL"
2014,"NULL","2","1","personer","838","befolkning_verdensregion_2","NULL","11","NULL"
2014,"NULL","2","alle","personer","1852","befolkning_verdensregion_2","NULL","11","NULL"
2014,"NULL","1","0","personer","1562","befolkning_verdensregion_2","NULL","12","NULL"
2014,"NULL","1","1","personer","1992","befolkning_verdensregion_2","NULL","12","NULL"
2014,"NULL","1","alle","personer","3554","befolkning_verdensregion_2","NULL","12","NULL"
2014,"NULL","2","0","personer","1879","befolkning_verdensregion_2","NULL","12","NULL"
2014,"NULL","2","1","personer","1673","befolkning_verdensregion_2","NULL","12","NULL"
2014,"NULL","2","alle","personer","3552","befolkning_verdensregion_2","NULL","12","NULL"
2014,"NULL","1","0","personer","710","befolkning_verdensregion_2","NULL","13","NULL"
2014,"NULL","1","1","personer","744","befolkning_verdensregion_2","NULL","13","NULL"
2014,"NULL","1","alle","personer","1454","befolkning_verdensregion_2","NULL","13","NULL"
2014,"NULL","2","0","personer","729","befolkning_verdensregion_2","NULL","13","NULL"
2014,"NULL","2","1","personer","716","befolkning_verdensregion_2","NULL","13","NULL"
2014,"NULL","2","alle","personer","1445","befolkning_verdensregion_2","NULL","13","NULL"
2014,"NULL","1","0","personer","1090","befolkning_verdensregion_2","NULL","14","NULL"
2014,"NULL","1","1","personer","1418","befolkning_verdensregion_2","NULL","14","NULL"
2014,"NULL","1","alle","personer","2508","befolkning_verdensregion_2","NULL","14","NULL"
2014,"NULL","2","0","personer","1584","befolkning_verdensregion_2","NULL","14","NULL"
2014,"NULL","2","1","personer","1432","befolkning_verdensregion_2","NULL","14","NULL"
2014,"NULL","2","alle","personer","3016","befolkning_verdensregion_2","NULL","14","NULL"
2014,"NULL","1","0","personer","451","befolkning_verdensregion_2","NULL","15","NULL"
2014,"NULL","1","1","personer","637","befolkning_verdensregion_2","NULL","15","NULL"
