"tabell_navn","aar","fylke_nr","forste_bosettingskommune","enhet","botid_3","tabellvariabel"
"flyktning_botid_flytting","2015","04","ja","personer","0_4","1241"
"flyktning_botid_flytting","2015","04","ja","prosent","0_4","23.2"
"flyktning_botid_flytting","2015","04","nei","personer","0_4","211"
"flyktning_botid_flytting","2015","04","nei","prosent","0_4","3.9"
"flyktning_botid_flytting","2015","04","uoppgitt","personer","0_4","440"
"flyktning_botid_flytting","2015","04","uoppgitt","prosent","0_4","8.2"
"flyktning_botid_flytting","2015","05","alle","personer","0_4","2323"
"flyktning_botid_flytting","2015","05","alle","prosent","0_4","41.4"
"flyktning_botid_flytting","2015","05","ja","personer","0_4","1623"
"flyktning_botid_flytting","2015","05","ja","prosent","0_4","29.0"
"flyktning_botid_flytting","2015","05","nei","personer","0_4","238"
"flyktning_botid_flytting","2015","05","nei","prosent","0_4","4.2"
"flyktning_botid_flytting","2015","05","uoppgitt","personer","0_4","462"
"flyktning_botid_flytting","2015","05","uoppgitt","prosent","0_4","8.2"
"flyktning_botid_flytting","2015","06","alle","personer","0_4","2393"
"flyktning_botid_flytting","2015","06","alle","prosent","0_4","21.2"
"flyktning_botid_flytting","2015","06","ja","personer","0_4","1692"
"flyktning_botid_flytting","2015","06","ja","prosent","0_4","15.0"
"flyktning_botid_flytting","2015","06","nei","personer","0_4","239"
"flyktning_botid_flytting","2015","06","nei","prosent","0_4","2.1"
"flyktning_botid_flytting","2015","06","uoppgitt","personer","0_4","462"
"flyktning_botid_flytting","2015","06","uoppgitt","prosent","0_4","4.1"
"flyktning_botid_flytting","2015","07","alle","personer","0_4","1378"
"flyktning_botid_flytting","2015","07","alle","prosent","0_4","18.5"
"flyktning_botid_flytting","2015","07","ja","personer","0_4","1000"
"flyktning_botid_flytting","2015","07","ja","prosent","0_4","13.4"
"flyktning_botid_flytting","2015","07","nei","personer","0_4","144"
"flyktning_botid_flytting","2015","07","nei","prosent","0_4","1.9"
"flyktning_botid_flytting","2015","07","uoppgitt","personer","0_4","234"
"flyktning_botid_flytting","2015","07","uoppgitt","prosent","0_4","3.1"
"flyktning_botid_flytting","2015","08","alle","personer","0_4","2102"
"flyktning_botid_flytting","2015","08","alle","prosent","0_4","30.9"
"flyktning_botid_flytting","2015","08","ja","personer","0_4","1667"
"flyktning_botid_flytting","2015","08","ja","prosent","0_4","24.5"
"flyktning_botid_flytting","2015","08","nei","personer","0_4","160"
"flyktning_botid_flytting","2015","08","nei","prosent","0_4","2.4"
"flyktning_botid_flytting","2015","08","uoppgitt","personer","0_4","275"
"flyktning_botid_flytting","2015","08","uoppgitt","prosent","0_4","4.0"
"flyktning_botid_flytting","2015","09","alle","personer","0_4","1232"
"flyktning_botid_flytting","2015","09","alle","prosent","0_4","32.0"
"flyktning_botid_flytting","2015","09","ja","personer","0_4","1007"
"flyktning_botid_flytting","2015","09","ja","prosent","0_4","26.2"
"flyktning_botid_flytting","2015","09","nei","personer","0_4","71"
"flyktning_botid_flytting","2015","09","nei","prosent","0_4","1.8"
"flyktning_botid_flytting","2015","09","uoppgitt","personer","0_4","154"
"flyktning_botid_flytting","2015","09","uoppgitt","prosent","0_4","4.0"
"flyktning_botid_flytting","2015","10","alle","personer","0_4","2189"
"flyktning_botid_flytting","2015","10","alle","prosent","0_4","25.9"
"flyktning_botid_flytting","2015","10","ja","personer","0_4","1632"
"flyktning_botid_flytting","2015","10","ja","prosent","0_4","19.3"
"flyktning_botid_flytting","2015","10","nei","personer","0_4","209"
"flyktning_botid_flytting","2015","10","nei","prosent","0_4","2.5"
"flyktning_botid_flytting","2015","10","uoppgitt","personer","0_4","348"
"flyktning_botid_flytting","2015","10","uoppgitt","prosent","0_4","4.1"
"flyktning_botid_flytting","2015","11","alle","personer","0_4","3156"
"flyktning_botid_flytting","2015","11","alle","prosent","0_4","22.3"
"flyktning_botid_flytting","2015","11","ja","personer","0_4","2316"
"flyktning_botid_flytting","2015","11","ja","prosent","0_4","16.4"
"flyktning_botid_flytting","2015","11","nei","personer","0_4","279"
"flyktning_botid_flytting","2015","11","nei","prosent","0_4","2.0"
"flyktning_botid_flytting","2015","11","uoppgitt","personer","0_4","561"
"flyktning_botid_flytting","2015","11","uoppgitt","prosent","0_4","4.0"
"flyktning_botid_flytting","2015","12","alle","personer","0_4","3436"
"flyktning_botid_flytting","2015","12","alle","prosent","0_4","25.1"
"flyktning_botid_flytting","2015","12","ja","personer","0_4","2738"
"flyktning_botid_flytting","2015","12","ja","prosent","0_4","20.0"
"flyktning_botid_flytting","2015","12","nei","personer","0_4","183"
"flyktning_botid_flytting","2015","12","nei","prosent","0_4","1.3"
"flyktning_botid_flytting","2015","12","uoppgitt","personer","0_4","515"
"flyktning_botid_flytting","2015","12","uoppgitt","prosent","0_4","3.8"
"flyktning_botid_flytting","2015","14","alle","personer","0_4","1212"
"flyktning_botid_flytting","2015","14","alle","prosent","0_4","54.1"
"flyktning_botid_flytting","2015","14","ja","personer","0_4","921"
"flyktning_botid_flytting","2015","14","ja","prosent","0_4","41.1"
"flyktning_botid_flytting","2015","14","nei","personer","0_4","110"
"flyktning_botid_flytting","2015","14","nei","prosent","0_4","4.9"
"flyktning_botid_flytting","2015","14","uoppgitt","personer","0_4","181"
"flyktning_botid_flytting","2015","14","uoppgitt","prosent","0_4","8.1"
"flyktning_botid_flytting","2015","15","alle","personer","0_4","2216"
"flyktning_botid_flytting","2015","15","alle","prosent","0_4","44.3"
"flyktning_botid_flytting","2015","15","ja","personer","0_4","1699"
"flyktning_botid_flytting","2015","15","ja","prosent","0_4","34.0"
"flyktning_botid_flytting","2015","15","nei","personer","0_4","214"
"flyktning_botid_flytting","2015","15","nei","prosent","0_4","4.3"
"flyktning_botid_flytting","2015","15","uoppgitt","personer","0_4","303"
"flyktning_botid_flytting","2015","15","uoppgitt","prosent","0_4","6.1"
"flyktning_botid_flytting","2015","16","alle","personer","0_4","2103"
"flyktning_botid_flytting","2015","16","alle","prosent","0_4","26.7"
"flyktning_botid_flytting","2015","16","ja","personer","0_4","1745"
"flyktning_botid_flytting","2015","16","ja","prosent","0_4","22.2"
"flyktning_botid_flytting","2015","16","nei","personer","0_4","121"
"flyktning_botid_flytting","2015","16","nei","prosent","0_4","1.5"
"flyktning_botid_flytting","2015","16","uoppgitt","personer","0_4","237"
"flyktning_botid_flytting","2015","16","uoppgitt","prosent","0_4","3.0"
"flyktning_botid_flytting","2015","17","alle","personer","0_4","1734"
"flyktning_botid_flytting","2015","17","alle","prosent","0_4","56.7"
"flyktning_botid_flytting","2015","17","ja","personer","0_4","1385"
"flyktning_botid_flytting","2015","17","ja","prosent","0_4","45.3"
"flyktning_botid_flytting","2015","17","nei","personer","0_4","123"
"flyktning_botid_flytting","2015","17","nei","prosent","0_4","4.0"
"flyktning_botid_flytting","2015","17","uoppgitt","personer","0_4","226"
"flyktning_botid_flytting","2015","17","uoppgitt","prosent","0_4","7.4"
"flyktning_botid_flytting","2015","18","alle","personer","0_4","3590"
"flyktning_botid_flytting","2015","18","alle","prosent","0_4","58.9"
"flyktning_botid_flytting","2015","18","ja","personer","0_4","2648"
"flyktning_botid_flytting","2015","18","ja","prosent","0_4","43.5"
"flyktning_botid_flytting","2015","18","nei","personer","0_4","325"
"flyktning_botid_flytting","2015","18","nei","prosent","0_4","5.3"
"flyktning_botid_flytting","2015","18","uoppgitt","personer","0_4","617"
"flyktning_botid_flytting","2015","18","uoppgitt","prosent","0_4","10.1"
"flyktning_botid_flytting","2015","19","alle","personer","0_4","2148"
"flyktning_botid_flytting","2015","19","alle","prosent","0_4","56.1"
"flyktning_botid_flytting","2015","19","ja","personer","0_4","1578"
"flyktning_botid_flytting","2015","19","ja","prosent","0_4","41.2"
"flyktning_botid_flytting","2015","19","nei","personer","0_4","219"
"flyktning_botid_flytting","2015","19","nei","prosent","0_4","5.7"
"flyktning_botid_flytting","2015","19","uoppgitt","personer","0_4","351"
"flyktning_botid_flytting","2015","19","uoppgitt","prosent","0_4","9.2"
"flyktning_botid_flytting","2015","20","alle","personer","0_4","1038"
"flyktning_botid_flytting","2015","20","alle","prosent","0_4","53.2"
"flyktning_botid_flytting","2015","20","ja","personer","0_4","846"
"flyktning_botid_flytting","2015","20","ja","prosent","0_4","43.4"
"flyktning_botid_flytting","2015","20","nei","personer","0_4","62"
"flyktning_botid_flytting","2015","20","nei","prosent","0_4","3.2"
"flyktning_botid_flytting","2015","20","uoppgitt","personer","0_4","130"
"flyktning_botid_flytting","2015","20","uoppgitt","prosent","0_4","6.7"
"flyktning_botid_flytting","2015","00","alle","personer","5+","144931"
"flyktning_botid_flytting","2015","00","alle","prosent","5+","77.0"
"flyktning_botid_flytting","2015","00","ja","personer","5+","55987"
"flyktning_botid_flytting","2015","00","ja","prosent","5+","29.8"
"flyktning_botid_flytting","2015","00","nei","personer","5+","56702"
"flyktning_botid_flytting","2015","00","nei","prosent","5+","30.1"
"flyktning_botid_flytting","2015","00","uoppgitt","personer","5+","32242"
"flyktning_botid_flytting","2015","00","uoppgitt","prosent","5+","17.1"
"flyktning_botid_flytting","2015","01","alle","personer","5+","11854"
"flyktning_botid_flytting","2015","01","alle","prosent","5+","87.7"
"flyktning_botid_flytting","2015","01","ja","personer","5+","2401"
"flyktning_botid_flytting","2015","01","ja","prosent","5+","17.8"
"flyktning_botid_flytting","2015","01","nei","personer","5+","7126"
"flyktning_botid_flytting","2015","01","nei","prosent","5+","52.8"
"flyktning_botid_flytting","2015","01","uoppgitt","personer","5+","2327"
"flyktning_botid_flytting","2015","01","uoppgitt","prosent","5+","17.2"
"flyktning_botid_flytting","2015","02","alle","personer","5+","19002"
"flyktning_botid_flytting","2015","02","alle","prosent","5+","85.3"
"flyktning_botid_flytting","2015","02","ja","personer","5+","4882"
"flyktning_botid_flytting","2015","02","ja","prosent","5+","21.9"
"flyktning_botid_flytting","2015","02","nei","personer","5+","9289"
"flyktning_botid_flytting","2015","02","nei","prosent","5+","41.7"
"flyktning_botid_flytting","2015","02","uoppgitt","personer","5+","4831"
"flyktning_botid_flytting","2015","02","uoppgitt","prosent","5+","21.7"
"flyktning_botid_flytting","2015","03","alle","personer","5+","41541"
"flyktning_botid_flytting","2015","03","alle","prosent","5+","91.0"
"flyktning_botid_flytting","2015","03","ja","personer","5+","11791"
"flyktning_botid_flytting","2015","03","ja","prosent","5+","25.8"
"flyktning_botid_flytting","2015","03","nei","personer","5+","17949"
"flyktning_botid_flytting","2015","03","nei","prosent","5+","39.3"
"flyktning_botid_flytting","2015","03","uoppgitt","personer","5+","11801"
"flyktning_botid_flytting","2015","03","uoppgitt","prosent","5+","25.8"
"flyktning_botid_flytting","2015","04","alle","personer","5+","3464"
"flyktning_botid_flytting","2015","04","alle","prosent","5+","64.7"
"flyktning_botid_flytting","2015","04","ja","personer","5+","1731"
"flyktning_botid_flytting","2015","04","ja","prosent","5+","32.3"
"flyktning_botid_flytting","2015","04","nei","personer","5+","1109"
"flyktning_botid_flytting","2015","04","nei","prosent","5+","20.7"
"flyktning_botid_flytting","2015","04","uoppgitt","personer","5+","624"
"flyktning_botid_flytting","2015","04","uoppgitt","prosent","5+","11.7"
"flyktning_botid_flytting","2015","05","alle","personer","5+","3283"
"flyktning_botid_flytting","2015","05","alle","prosent","5+","58.6"
"flyktning_botid_flytting","2015","05","ja","personer","5+","1880"
"flyktning_botid_flytting","2015","05","ja","prosent","5+","33.5"
"flyktning_botid_flytting","2015","05","nei","personer","5+","910"
"flyktning_botid_flytting","2015","05","nei","prosent","5+","16.2"
"flyktning_botid_flytting","2015","05","uoppgitt","personer","5+","493"
"flyktning_botid_flytting","2015","05","uoppgitt","prosent","5+","8.8"
"flyktning_botid_flytting","2015","06","alle","personer","5+","8910"
"flyktning_botid_flytting","2015","06","alle","prosent","5+","78.8"
"flyktning_botid_flytting","2015","06","ja","personer","5+","2980"
"flyktning_botid_flytting","2015","06","ja","prosent","5+","26.4"
"flyktning_botid_flytting","2015","06","nei","personer","5+","4230"
"flyktning_botid_flytting","2015","06","nei","prosent","5+","37.4"
"flyktning_botid_flytting","2015","06","uoppgitt","personer","5+","1700"
"flyktning_botid_flytting","2015","06","uoppgitt","prosent","5+","15.0"
"flyktning_botid_flytting","2015","07","alle","personer","5+","6075"
"flyktning_botid_flytting","2015","07","alle","prosent","5+","81.5"
"flyktning_botid_flytting","2015","07","ja","personer","5+","2234"
"flyktning_botid_flytting","2015","07","ja","prosent","5+","30.0"
"flyktning_botid_flytting","2015","07","nei","personer","5+","2653"
"flyktning_botid_flytting","2015","07","nei","prosent","5+","35.6"
"flyktning_botid_flytting","2015","07","uoppgitt","personer","5+","1188"
"flyktning_botid_flytting","2015","07","uoppgitt","prosent","5+","15.9"
"flyktning_botid_flytting","2015","08","alle","personer","5+","4690"
"flyktning_botid_flytting","2015","08","alle","prosent","5+","69.1"
"flyktning_botid_flytting","2015","08","ja","personer","5+","2532"
"flyktning_botid_flytting","2015","08","ja","prosent","5+","37.3"
"flyktning_botid_flytting","2015","08","nei","personer","5+","1495"
"flyktning_botid_flytting","2015","08","nei","prosent","5+","22.0"
"flyktning_botid_flytting","2015","08","uoppgitt","personer","5+","663"
"flyktning_botid_flytting","2015","08","uoppgitt","prosent","5+","9.8"
"flyktning_botid_flytting","2015","09","alle","personer","5+","2616"
"flyktning_botid_flytting","2015","09","alle","prosent","5+","68.0"
"flyktning_botid_flytting","2015","09","ja","personer","5+","1662"
"flyktning_botid_flytting","2015","09","ja","prosent","5+","43.2"
"flyktning_botid_flytting","2015","09","nei","personer","5+","644"
"flyktning_botid_flytting","2015","09","nei","prosent","5+","16.7"
"flyktning_botid_flytting","2015","09","uoppgitt","personer","5+","310"
"flyktning_botid_flytting","2015","09","uoppgitt","prosent","5+","8.1"
"flyktning_botid_flytting","2015","10","alle","personer","5+","6277"
"flyktning_botid_flytting","2015","10","alle","prosent","5+","74.1"
"flyktning_botid_flytting","2015","10","ja","personer","5+","3551"
"flyktning_botid_flytting","2015","10","ja","prosent","5+","41.9"
"flyktning_botid_flytting","2015","10","nei","personer","5+","1687"
"flyktning_botid_flytting","2015","10","nei","prosent","5+","19.9"
"flyktning_botid_flytting","2015","10","uoppgitt","personer","5+","1039"
"flyktning_botid_flytting","2015","10","uoppgitt","prosent","5+","12.3"
"flyktning_botid_flytting","2015","11","alle","personer","5+","10985"
"flyktning_botid_flytting","2015","11","alle","prosent","5+","77.7"
"flyktning_botid_flytting","2015","11","ja","personer","5+","5040"
"flyktning_botid_flytting","2015","11","ja","prosent","5+","35.6"
"flyktning_botid_flytting","2015","11","nei","personer","5+","3806"
"flyktning_botid_flytting","2015","11","nei","prosent","5+","26.9"
"flyktning_botid_flytting","2015","11","uoppgitt","personer","5+","2139"
"flyktning_botid_flytting","2015","11","uoppgitt","prosent","5+","15.1"
"flyktning_botid_flytting","2015","12","alle","personer","5+","10233"
"flyktning_botid_flytting","2015","12","alle","prosent","5+","74.9"
"flyktning_botid_flytting","2015","12","ja","personer","5+","5384"
"flyktning_botid_flytting","2015","12","ja","prosent","5+","39.4"
"flyktning_botid_flytting","2015","12","nei","personer","5+","2529"
"flyktning_botid_flytting","2015","12","nei","prosent","5+","18.5"
"flyktning_botid_flytting","2015","12","uoppgitt","personer","5+","2320"
"flyktning_botid_flytting","2015","12","uoppgitt","prosent","5+","17.0"
"flyktning_botid_flytting","2015","14","alle","personer","5+","1030"
"flyktning_botid_flytting","2015","14","alle","prosent","5+","45.9"
"flyktning_botid_flytting","2015","14","ja","personer","5+","671"
"flyktning_botid_flytting","2015","14","ja","prosent","5+","29.9"
"flyktning_botid_flytting","2015","14","nei","personer","5+","155"
"flyktning_botid_flytting","2015","14","nei","prosent","5+","6.9"
"flyktning_botid_flytting","2015","14","uoppgitt","personer","5+","204"
"flyktning_botid_flytting","2015","14","uoppgitt","prosent","5+","9.1"
"flyktning_botid_flytting","2015","15","alle","personer","5+","2788"
"flyktning_botid_flytting","2015","15","alle","prosent","5+","55.7"
"flyktning_botid_flytting","2015","15","ja","personer","5+","1632"
"flyktning_botid_flytting","2015","15","ja","prosent","5+","32.6"
"flyktning_botid_flytting","2015","15","nei","personer","5+","692"
"flyktning_botid_flytting","2015","15","nei","prosent","5+","13.8"
"flyktning_botid_flytting","2015","15","uoppgitt","personer","5+","464"
"flyktning_botid_flytting","2015","15","uoppgitt","prosent","5+","9.3"
"flyktning_botid_flytting","2015","16","alle","personer","5+","5765"
"flyktning_botid_flytting","2015","16","alle","prosent","5+","73.3"
"flyktning_botid_flytting","2015","16","ja","personer","5+","3460"
"flyktning_botid_flytting","2015","16","ja","prosent","5+","44.0"
"flyktning_botid_flytting","2015","16","nei","personer","5+","1256"
"flyktning_botid_flytting","2015","16","nei","prosent","5+","16.0"
"flyktning_botid_flytting","2015","16","uoppgitt","personer","5+","1049"
"flyktning_botid_flytting","2015","16","uoppgitt","prosent","5+","13.3"
"flyktning_botid_flytting","2015","17","alle","personer","5+","1324"
"flyktning_botid_flytting","2015","17","alle","prosent","5+","43.3"
"flyktning_botid_flytting","2015","17","ja","personer","5+","905"
"flyktning_botid_flytting","2015","17","ja","prosent","5+","29.6"
"flyktning_botid_flytting","2015","17","nei","personer","5+","233"
"flyktning_botid_flytting","2015","17","nei","prosent","5+","7.6"
"flyktning_botid_flytting","2015","17","uoppgitt","personer","5+","186"
"flyktning_botid_flytting","2015","17","uoppgitt","prosent","5+","6.1"
"flyktning_botid_flytting","2015","18","alle","personer","5+","2500"
"flyktning_botid_flytting","2015","18","alle","prosent","5+","41.1"
"flyktning_botid_flytting","2015","18","ja","personer","5+","1713"
"flyktning_botid_flytting","2015","18","ja","prosent","5+","28.1"
"flyktning_botid_flytting","2015","18","nei","personer","5+","413"
"flyktning_botid_flytting","2015","18","nei","prosent","5+","6.8"
"flyktning_botid_flytting","2015","18","uoppgitt","personer","5+","374"
"flyktning_botid_flytting","2015","18","uoppgitt","prosent","5+","6.1"
"flyktning_botid_flytting","2015","19","alle","personer","5+","1679"
"flyktning_botid_flytting","2015","19","alle","prosent","5+","43.9"
"flyktning_botid_flytting","2015","19","ja","personer","5+","970"
"flyktning_botid_flytting","2015","19","ja","prosent","5+","25.3"
"flyktning_botid_flytting","2015","19","nei","personer","5+","384"
"flyktning_botid_flytting","2015","19","nei","prosent","5+","10.0"
"flyktning_botid_flytting","2015","19","uoppgitt","personer","5+","325"
"flyktning_botid_flytting","2015","19","uoppgitt","prosent","5+","8.5"
"flyktning_botid_flytting","2015","20","alle","personer","5+","913"
"flyktning_botid_flytting","2015","20","alle","prosent","5+","46.8"
"flyktning_botid_flytting","2015","20","ja","personer","5+","567"
"flyktning_botid_flytting","2015","20","ja","prosent","5+","29.1"
"flyktning_botid_flytting","2015","20","nei","personer","5+","142"
"flyktning_botid_flytting","2015","20","nei","prosent","5+","7.3"
"flyktning_botid_flytting","2015","20","uoppgitt","personer","5+","204"
"flyktning_botid_flytting","2015","20","uoppgitt","prosent","5+","10.5"
"flyktning_botid_flytting","2015","00","alle","personer","alle","188129"
"flyktning_botid_flytting","2015","00","alle","prosent","alle","100"
"flyktning_botid_flytting","2015","00","ja","personer","alle","87401"
"flyktning_botid_flytting","2015","00","ja","prosent","alle","46.5"
"flyktning_botid_flytting","2015","00","nei","personer","alle","60854"
"flyktning_botid_flytting","2015","00","nei","prosent","alle","32.3"
"flyktning_botid_flytting","2015","00","uoppgitt","personer","alle","39874"
"flyktning_botid_flytting","2015","00","uoppgitt","prosent","alle","21.2"
"flyktning_botid_flytting","2015","01","alle","personer","alle","13509"
"flyktning_botid_flytting","2015","01","alle","prosent","alle","100"
"flyktning_botid_flytting","2015","01","ja","personer","alle","3384"
"flyktning_botid_flytting","2015","01","ja","prosent","alle","25.1"
"flyktning_botid_flytting","2015","01","nei","personer","alle","7389"
"flyktning_botid_flytting","2015","01","nei","prosent","alle","54.7"
"flyktning_botid_flytting","2015","01","uoppgitt","personer","alle","2736"
"flyktning_botid_flytting","2015","01","uoppgitt","prosent","alle","20.2"
"flyktning_botid_flytting","2015","02","alle","personer","alle","22283"
"flyktning_botid_flytting","2015","02","alle","prosent","alle","100"
"flyktning_botid_flytting","2015","02","ja","personer","alle","7243"
"flyktning_botid_flytting","2015","02","ja","prosent","alle","32.5"
"flyktning_botid_flytting","2015","02","nei","personer","alle","9615"
"flyktning_botid_flytting","2015","02","nei","prosent","alle","43.2"
"flyktning_botid_flytting","2015","02","uoppgitt","personer","alle","5425"
"flyktning_botid_flytting","2015","02","uoppgitt","prosent","alle","24.4"
"flyktning_botid_flytting","2015","03","alle","personer","alle","45664"
"flyktning_botid_flytting","2015","03","alle","prosent","alle","100"
"flyktning_botid_flytting","2015","03","ja","personer","alle","14123"
"flyktning_botid_flytting","2015","03","ja","prosent","alle","30.9"
"flyktning_botid_flytting","2015","03","nei","personer","alle","18604"
"flyktning_botid_flytting","2015","03","nei","prosent","alle","40.7"
"flyktning_botid_flytting","2015","03","uoppgitt","personer","alle","12937"
"flyktning_botid_flytting","2015","03","uoppgitt","prosent","alle","28.3"
"flyktning_botid_flytting","2015","04","alle","personer","alle","5356"
"flyktning_botid_flytting","2015","04","alle","prosent","alle","100"
"flyktning_botid_flytting","2015","04","ja","personer","alle","2972"
"flyktning_botid_flytting","2015","04","ja","prosent","alle","55.5"
"flyktning_botid_flytting","2015","04","nei","personer","alle","1320"
"flyktning_botid_flytting","2015","04","nei","prosent","alle","24.6"
"flyktning_botid_flytting","2015","04","uoppgitt","personer","alle","1064"
"flyktning_botid_flytting","2015","04","uoppgitt","prosent","alle","19.9"
"flyktning_botid_flytting","2015","05","alle","personer","alle","5606"
"flyktning_botid_flytting","2015","05","alle","prosent","alle","100"
"flyktning_botid_flytting","2015","05","ja","personer","alle","3503"
"flyktning_botid_flytting","2015","05","ja","prosent","alle","62.5"
"flyktning_botid_flytting","2015","05","nei","personer","alle","1148"
"flyktning_botid_flytting","2015","05","nei","prosent","alle","20.4"
"flyktning_botid_flytting","2015","05","uoppgitt","personer","alle","955"
"flyktning_botid_flytting","2015","05","uoppgitt","prosent","alle","17"
"flyktning_botid_flytting","2015","06","alle","personer","alle","11303"
"flyktning_botid_flytting","2015","06","alle","prosent","alle","100"
"flyktning_botid_flytting","2015","06","ja","personer","alle","4672"
"flyktning_botid_flytting","2015","06","ja","prosent","alle","41.4"
"flyktning_botid_flytting","2015","06","nei","personer","alle","4469"
"flyktning_botid_flytting","2015","06","nei","prosent","alle","39.5"
"flyktning_botid_flytting","2015","06","uoppgitt","personer","alle","2162"
"flyktning_botid_flytting","2015","06","uoppgitt","prosent","alle","19.1"
"flyktning_botid_flytting","2015","07","alle","personer","alle","7453"
"flyktning_botid_flytting","2015","07","alle","prosent","alle","100"
"flyktning_botid_flytting","2015","07","ja","personer","alle","3234"
"flyktning_botid_flytting","2015","07","ja","prosent","alle","43.4"
"flyktning_botid_flytting","2015","07","nei","personer","alle","2797"
"flyktning_botid_flytting","2015","07","nei","prosent","alle","37.5"
"flyktning_botid_flytting","2015","07","uoppgitt","personer","alle","1422"
"flyktning_botid_flytting","2015","07","uoppgitt","prosent","alle","19"
"flyktning_botid_flytting","2015","08","alle","personer","alle","6792"
"flyktning_botid_flytting","2015","08","alle","prosent","alle","100"
"flyktning_botid_flytting","2015","08","ja","personer","alle","4199"
"flyktning_botid_flytting","2015","08","ja","prosent","alle","61.8"
"flyktning_botid_flytting","2015","08","nei","personer","alle","1655"
"flyktning_botid_flytting","2015","08","nei","prosent","alle","24.4"
"flyktning_botid_flytting","2015","08","uoppgitt","personer","alle","938"
"flyktning_botid_flytting","2015","08","uoppgitt","prosent","alle","13.8"
"flyktning_botid_flytting","2015","09","alle","personer","alle","3848"
"flyktning_botid_flytting","2015","09","alle","prosent","alle","100"
"flyktning_botid_flytting","2015","09","ja","personer","alle","2669"
"flyktning_botid_flytting","2015","09","ja","prosent","alle","69.4"
"flyktning_botid_flytting","2015","09","nei","personer","alle","715"
"flyktning_botid_flytting","2015","09","nei","prosent","alle","18.5"
"flyktning_botid_flytting","2015","09","uoppgitt","personer","alle","464"
"flyktning_botid_flytting","2015","09","uoppgitt","prosent","alle","12.1"
"flyktning_botid_flytting","2015","10","alle","personer","alle","8466"
"flyktning_botid_flytting","2015","10","alle","prosent","alle","100"
"flyktning_botid_flytting","2015","10","ja","personer","alle","5183"
"flyktning_botid_flytting","2015","10","ja","prosent","alle","61.2"
"flyktning_botid_flytting","2015","10","nei","personer","alle","1896"
"flyktning_botid_flytting","2015","10","nei","prosent","alle","22.4"
"flyktning_botid_flytting","2015","10","uoppgitt","personer","alle","1387"
"flyktning_botid_flytting","2015","10","uoppgitt","prosent","alle","16.4"
"flyktning_botid_flytting","2015","11","alle","personer","alle","14141"
"flyktning_botid_flytting","2015","11","alle","prosent","alle","100"
"flyktning_botid_flytting","2015","11","ja","personer","alle","7356"
"flyktning_botid_flytting","2015","11","ja","prosent","alle","52"
"flyktning_botid_flytting","2015","11","nei","personer","alle","4085"
"flyktning_botid_flytting","2015","11","nei","prosent","alle","28.9"
"flyktning_botid_flytting","2015","11","uoppgitt","personer","alle","2700"
"flyktning_botid_flytting","2015","11","uoppgitt","prosent","alle","19.1"
"flyktning_botid_flytting","2015","12","alle","personer","alle","13669"
"flyktning_botid_flytting","2015","12","alle","prosent","alle","100"
"flyktning_botid_flytting","2015","12","ja","personer","alle","8122"
