"aar","naringsregion_nr","vreg_3","botid_5","tabellvariabel","tabell_navn","enhet"
"2006","08","1","0_4","380","sysselsatte_botid_land","personer"
"2006","08","1","10+","651","sysselsatte_botid_land","personer"
"2006","08","1","5_9","286","sysselsatte_botid_land","personer"
"2006","08","1","alle","1317","sysselsatte_botid_land","personer"
"2006","08","2","0_4","297","sysselsatte_botid_land","personer"
"2006","08","2","10+","734","sysselsatte_botid_land","personer"
"2006","08","2","5_9","349","sysselsatte_botid_land","personer"
"2006","08","2","alle","1380","sysselsatte_botid_land","personer"
"2006","08","alle","0_4","677","sysselsatte_botid_land","personer"
"2006","08","alle","10+","1385","sysselsatte_botid_land","personer"
"2006","08","alle","5_9","635","sysselsatte_botid_land","personer"
"2006","08","alle","alle","2697","sysselsatte_botid_land","personer"
"2006","09","1","0_4","6987","sysselsatte_botid_land","personer"
"2006","09","1","10+","7564","sysselsatte_botid_land","personer"
"2006","09","1","5_9","3589","sysselsatte_botid_land","personer"
"2006","09","1","alle","18140","sysselsatte_botid_land","personer"
"2006","09","2","0_4","6142","sysselsatte_botid_land","personer"
"2006","09","2","10+","21427","sysselsatte_botid_land","personer"
"2006","09","2","5_9","6918","sysselsatte_botid_land","personer"
"2006","09","2","alle","34487","sysselsatte_botid_land","personer"
"2006","09","alle","0_4","13129","sysselsatte_botid_land","personer"
"2006","09","alle","10+","28991","sysselsatte_botid_land","personer"
"2006","09","alle","5_9","10507","sysselsatte_botid_land","personer"
"2006","09","alle","alle","52627","sysselsatte_botid_land","personer"
"2006","10","1","0_4","43","sysselsatte_botid_land","personer"
"2006","10","1","10+","74","sysselsatte_botid_land","personer"
"2006","10","1","5_9","25","sysselsatte_botid_land","personer"
"2006","10","1","alle","142","sysselsatte_botid_land","personer"
"2006","10","2","0_4","49","sysselsatte_botid_land","personer"
"2006","10","2","10+","46","sysselsatte_botid_land","personer"
"2006","10","2","5_9","72","sysselsatte_botid_land","personer"
"2006","10","2","alle","167","sysselsatte_botid_land","personer"
"2006","10","alle","0_4","92","sysselsatte_botid_land","personer"
"2006","10","alle","10+","120","sysselsatte_botid_land","personer"
"2006","10","alle","5_9","97","sysselsatte_botid_land","personer"
"2006","10","alle","alle","309","sysselsatte_botid_land","personer"
"2006","11","1","0_4","97","sysselsatte_botid_land","personer"
"2006","11","1","10+","332","sysselsatte_botid_land","personer"
"2006","11","1","5_9","95","sysselsatte_botid_land","personer"
"2006","11","1","alle","524","sysselsatte_botid_land","personer"
"2006","11","2","0_4","118","sysselsatte_botid_land","personer"
"2006","11","2","10+","277","sysselsatte_botid_land","personer"
"2006","11","2","5_9","135","sysselsatte_botid_land","personer"
"2006","11","2","alle","530","sysselsatte_botid_land","personer"
"2006","11","alle","0_4","215","sysselsatte_botid_land","personer"
"2006","11","alle","10+","609","sysselsatte_botid_land","personer"
"2006","11","alle","5_9","230","sysselsatte_botid_land","personer"
"2006","11","alle","alle","1054","sysselsatte_botid_land","personer"
"2006","12","1","0_4","291","sysselsatte_botid_land","personer"
"2006","12","1","10+","508","sysselsatte_botid_land","personer"
"2006","12","1","5_9","160","sysselsatte_botid_land","personer"
"2006","12","1","alle","959","sysselsatte_botid_land","personer"
"2006","12","2","0_4","226","sysselsatte_botid_land","personer"
"2006","12","2","10+","454","sysselsatte_botid_land","personer"
"2006","12","2","5_9","187","sysselsatte_botid_land","personer"
"2006","12","2","alle","867","sysselsatte_botid_land","personer"
"2006","12","alle","0_4","517","sysselsatte_botid_land","personer"
"2006","12","alle","10+","962","sysselsatte_botid_land","personer"
"2006","12","alle","5_9","347","sysselsatte_botid_land","personer"
"2006","12","alle","alle","1826","sysselsatte_botid_land","personer"
"2006","13","1","0_4","81","sysselsatte_botid_land","personer"
"2006","13","1","10+","247","sysselsatte_botid_land","personer"
"2006","13","1","5_9","87","sysselsatte_botid_land","personer"
"2006","13","1","alle","415","sysselsatte_botid_land","personer"
"2006","13","2","0_4","89","sysselsatte_botid_land","personer"
"2006","13","2","10+","125","sysselsatte_botid_land","personer"
"2006","13","2","5_9","77","sysselsatte_botid_land","personer"
"2006","13","2","alle","291","sysselsatte_botid_land","personer"
"2006","13","alle","0_4","170","sysselsatte_botid_land","personer"
"2006","13","alle","10+","372","sysselsatte_botid_land","personer"
"2006","13","alle","5_9","164","sysselsatte_botid_land","personer"
"2006","13","alle","alle","706","sysselsatte_botid_land","personer"
"2006","14","1","0_4","178","sysselsatte_botid_land","personer"
"2006","14","1","10+","370","sysselsatte_botid_land","personer"
"2006","14","1","5_9","120","sysselsatte_botid_land","personer"
"2006","14","1","alle","668","sysselsatte_botid_land","personer"
"2006","14","2","0_4","182","sysselsatte_botid_land","personer"
"2006","14","2","10+","388","sysselsatte_botid_land","personer"
"2006","14","2","5_9","241","sysselsatte_botid_land","personer"
"2006","14","2","alle","811","sysselsatte_botid_land","personer"
"2006","14","alle","0_4","360","sysselsatte_botid_land","personer"
"2006","14","alle","10+","758","sysselsatte_botid_land","personer"
"2006","14","alle","5_9","361","sysselsatte_botid_land","personer"
"2006","14","alle","alle","1479","sysselsatte_botid_land","personer"
"2006","15","1","0_4","68","sysselsatte_botid_land","personer"
"2006","15","1","10+","155","sysselsatte_botid_land","personer"
"2006","15","1","5_9","44","sysselsatte_botid_land","personer"
"2006","15","1","alle","267","sysselsatte_botid_land","personer"
"2006","15","2","0_4","76","sysselsatte_botid_land","personer"
"2006","15","2","10+","156","sysselsatte_botid_land","personer"
"2006","15","2","5_9","61","sysselsatte_botid_land","personer"
"2006","15","2","alle","293","sysselsatte_botid_land","personer"
"2006","15","alle","0_4","144","sysselsatte_botid_land","personer"
"2006","15","alle","10+","311","sysselsatte_botid_land","personer"
"2006","15","alle","5_9","105","sysselsatte_botid_land","personer"
"2006","15","alle","alle","560","sysselsatte_botid_land","personer"
"2006","16","1","0_4","159","sysselsatte_botid_land","personer"
"2006","16","1","10+","275","sysselsatte_botid_land","personer"
"2006","16","1","5_9","84","sysselsatte_botid_land","personer"
"2006","16","1","alle","518","sysselsatte_botid_land","personer"
"2006","16","2","0_4","152","sysselsatte_botid_land","personer"
"2006","16","2","10+","255","sysselsatte_botid_land","personer"
"2006","16","2","5_9","97","sysselsatte_botid_land","personer"
"2006","16","2","alle","504","sysselsatte_botid_land","personer"
"2006","16","alle","0_4","311","sysselsatte_botid_land","personer"
"2006","16","alle","10+","530","sysselsatte_botid_land","personer"
"2006","16","alle","5_9","181","sysselsatte_botid_land","personer"
"2006","16","alle","alle","1022","sysselsatte_botid_land","personer"
"2006","17","1","0_4","62","sysselsatte_botid_land","personer"
"2006","17","1","10+","44","sysselsatte_botid_land","personer"
"2006","17","1","5_9","15","sysselsatte_botid_land","personer"
"2006","17","1","alle","121","sysselsatte_botid_land","personer"
"2006","17","2","0_4","33","sysselsatte_botid_land","personer"
"2006","17","2","10+","41","sysselsatte_botid_land","personer"
"2006","17","2","5_9","8","sysselsatte_botid_land","personer"
"2006","17","2","alle","82","sysselsatte_botid_land","personer"
"2006","17","alle","0_4","95","sysselsatte_botid_land","personer"
"2006","17","alle","10+","85","sysselsatte_botid_land","personer"
"2006","17","alle","5_9","23","sysselsatte_botid_land","personer"
"2006","17","alle","alle","203","sysselsatte_botid_land","personer"
"2006","18","1","0_4","68","sysselsatte_botid_land","personer"
"2006","18","1","10+","48","sysselsatte_botid_land","personer"
"2006","18","1","5_9","24","sysselsatte_botid_land","personer"
"2006","18","1","alle","140","sysselsatte_botid_land","personer"
"2006","18","2","0_4","58","sysselsatte_botid_land","personer"
"2006","18","2","10+","30","sysselsatte_botid_land","personer"
"2006","18","2","5_9","15","sysselsatte_botid_land","personer"
"2006","18","2","alle","103","sysselsatte_botid_land","personer"
"2006","18","alle","0_4","126","sysselsatte_botid_land","personer"
"2006","18","alle","10+","78","sysselsatte_botid_land","personer"
"2006","18","alle","5_9","39","sysselsatte_botid_land","personer"
"2006","18","alle","alle","243","sysselsatte_botid_land","personer"
"2006","19","1","0_4","84","sysselsatte_botid_land","personer"
"2006","19","1","10+","102","sysselsatte_botid_land","personer"
"2006","19","1","5_9","41","sysselsatte_botid_land","personer"
"2006","19","1","alle","227","sysselsatte_botid_land","personer"
"2006","19","2","0_4","65","sysselsatte_botid_land","personer"
"2006","19","2","10+","49","sysselsatte_botid_land","personer"
"2006","19","2","5_9","41","sysselsatte_botid_land","personer"
"2006","19","2","alle","155","sysselsatte_botid_land","personer"
"2006","19","alle","0_4","149","sysselsatte_botid_land","personer"
"2006","19","alle","10+","151","sysselsatte_botid_land","personer"
"2006","19","alle","5_9","82","sysselsatte_botid_land","personer"
"2006","19","alle","alle","382","sysselsatte_botid_land","personer"
"2006","20","1","0_4","844","sysselsatte_botid_land","personer"
"2006","20","1","10+","1616","sysselsatte_botid_land","personer"
"2006","20","1","5_9","552","sysselsatte_botid_land","personer"
"2006","20","1","alle","3012","sysselsatte_botid_land","personer"
"2006","20","2","0_4","811","sysselsatte_botid_land","personer"
"2006","20","2","10+","2756","sysselsatte_botid_land","personer"
"2006","20","2","5_9","1030","sysselsatte_botid_land","personer"
"2006","20","2","alle","4597","sysselsatte_botid_land","personer"
"2006","20","alle","0_4","1655","sysselsatte_botid_land","personer"
"2006","20","alle","10+","4372","sysselsatte_botid_land","personer"
"2006","20","alle","5_9","1582","sysselsatte_botid_land","personer"
"2006","20","alle","alle","7609","sysselsatte_botid_land","personer"
"2006","21","1","0_4","210","sysselsatte_botid_land","personer"
"2006","21","1","10+","205","sysselsatte_botid_land","personer"
"2006","21","1","5_9","93","sysselsatte_botid_land","personer"
"2006","21","1","alle","508","sysselsatte_botid_land","personer"
"2006","21","2","0_4","117","sysselsatte_botid_land","personer"
"2006","21","2","10+","109","sysselsatte_botid_land","personer"
"2006","21","2","5_9","94","sysselsatte_botid_land","personer"
"2006","21","2","alle","320","sysselsatte_botid_land","personer"
"2006","21","alle","0_4","327","sysselsatte_botid_land","personer"
"2006","21","alle","10+","314","sysselsatte_botid_land","personer"
"2006","21","alle","5_9","187","sysselsatte_botid_land","personer"
"2006","21","alle","alle","828","sysselsatte_botid_land","personer"
"2006","22","1","0_4","168","sysselsatte_botid_land","personer"
"2006","22","1","10+","278","sysselsatte_botid_land","personer"
"2006","22","1","5_9","88","sysselsatte_botid_land","personer"
"2006","22","1","alle","534","sysselsatte_botid_land","personer"
"2006","22","2","0_4","116","sysselsatte_botid_land","personer"
"2006","22","2","10+","200","sysselsatte_botid_land","personer"
"2006","22","2","5_9","110","sysselsatte_botid_land","personer"
"2006","22","2","alle","426","sysselsatte_botid_land","personer"
"2006","22","alle","0_4","284","sysselsatte_botid_land","personer"
"2006","22","alle","10+","478","sysselsatte_botid_land","personer"
"2006","22","alle","5_9","198","sysselsatte_botid_land","personer"
"2006","22","alle","alle","960","sysselsatte_botid_land","personer"
"2006","23","1","0_4","56","sysselsatte_botid_land","personer"
"2006","23","1","10+","101","sysselsatte_botid_land","personer"
"2006","23","1","5_9","34","sysselsatte_botid_land","personer"
"2006","23","1","alle","191","sysselsatte_botid_land","personer"
"2006","23","2","0_4","48","sysselsatte_botid_land","personer"
"2006","23","2","10+","65","sysselsatte_botid_land","personer"
"2006","23","2","5_9","42","sysselsatte_botid_land","personer"
"2006","23","2","alle","155","sysselsatte_botid_land","personer"
"2006","23","alle","0_4","104","sysselsatte_botid_land","personer"
"2006","23","alle","10+","166","sysselsatte_botid_land","personer"
"2006","23","alle","5_9","76","sysselsatte_botid_land","personer"
"2006","23","alle","alle","346","sysselsatte_botid_land","personer"
"2006","24","1","0_4","179","sysselsatte_botid_land","personer"
"2006","24","1","10+","243","sysselsatte_botid_land","personer"
"2006","24","1","5_9","92","sysselsatte_botid_land","personer"
"2006","24","1","alle","514","sysselsatte_botid_land","personer"
"2006","24","2","0_4","136","sysselsatte_botid_land","personer"
"2006","24","2","10+","266","sysselsatte_botid_land","personer"
"2006","24","2","5_9","130","sysselsatte_botid_land","personer"
"2006","24","2","alle","532","sysselsatte_botid_land","personer"
"2006","24","alle","0_4","315","sysselsatte_botid_land","personer"
"2006","24","alle","10+","509","sysselsatte_botid_land","personer"
"2006","24","alle","5_9","222","sysselsatte_botid_land","personer"
"2006","24","alle","alle","1046","sysselsatte_botid_land","personer"
"2006","25","1","0_4","587","sysselsatte_botid_land","personer"
"2006","25","1","10+","1053","sysselsatte_botid_land","personer"
"2006","25","1","5_9","284","sysselsatte_botid_land","personer"
"2006","25","1","alle","1924","sysselsatte_botid_land","personer"
"2006","25","2","0_4","427","sysselsatte_botid_land","personer"
"2006","25","2","10+","1040","sysselsatte_botid_land","personer"
"2006","25","2","5_9","466","sysselsatte_botid_land","personer"
"2006","25","2","alle","1933","sysselsatte_botid_land","personer"
"2006","25","alle","0_4","1014","sysselsatte_botid_land","personer"
"2006","25","alle","10+","2093","sysselsatte_botid_land","personer"
"2006","25","alle","5_9","750","sysselsatte_botid_land","personer"
"2006","25","alle","alle","3857","sysselsatte_botid_land","personer"
"2006","26","1","0_4","393","sysselsatte_botid_land","personer"
"2006","26","1","10+","643","sysselsatte_botid_land","personer"
"2006","26","1","5_9","185","sysselsatte_botid_land","personer"
"2006","26","1","alle","1221","sysselsatte_botid_land","personer"
"2006","26","2","0_4","305","sysselsatte_botid_land","personer"
"2006","26","2","10+","875","sysselsatte_botid_land","personer"
"2006","26","2","5_9","374","sysselsatte_botid_land","personer"
"2006","26","2","alle","1554","sysselsatte_botid_land","personer"
"2006","26","alle","0_4","698","sysselsatte_botid_land","personer"
"2006","26","alle","10+","1518","sysselsatte_botid_land","personer"
"2006","26","alle","5_9","559","sysselsatte_botid_land","personer"
"2006","26","alle","alle","2775","sysselsatte_botid_land","personer"
"2006","27","1","0_4","293","sysselsatte_botid_land","personer"
"2006","27","1","10+","770","sysselsatte_botid_land","personer"
"2006","27","1","5_9","229","sysselsatte_botid_land","personer"
"2006","27","1","alle","1292","sysselsatte_botid_land","personer"
"2006","27","2","0_4","359","sysselsatte_botid_land","personer"
"2006","27","2","10+","1058","sysselsatte_botid_land","personer"
"2006","27","2","5_9","455","sysselsatte_botid_land","personer"
"2006","27","2","alle","1872","sysselsatte_botid_land","personer"
"2006","27","alle","0_4","652","sysselsatte_botid_land","personer"
"2006","27","alle","10+","1828","sysselsatte_botid_land","personer"
"2006","27","alle","5_9","684","sysselsatte_botid_land","personer"
"2006","27","alle","alle","3164","sysselsatte_botid_land","personer"
"2006","28","1","0_4","32","sysselsatte_botid_land","personer"
"2006","28","1","10+","96","sysselsatte_botid_land","personer"
"2006","28","1","5_9","22","sysselsatte_botid_land","personer"
"2006","28","1","alle","150","sysselsatte_botid_land","personer"
"2006","28","2","0_4","54","sysselsatte_botid_land","personer"
"2006","28","2","10+","87","sysselsatte_botid_land","personer"
"2006","28","2","5_9","56","sysselsatte_botid_land","personer"
"2006","28","2","alle","197","sysselsatte_botid_land","personer"
"2006","28","alle","0_4","86","sysselsatte_botid_land","personer"
"2006","28","alle","10+","183","sysselsatte_botid_land","personer"
"2006","28","alle","5_9","78","sysselsatte_botid_land","personer"
"2006","28","alle","alle","347","sysselsatte_botid_land","personer"
"2006","29","1","0_4","79","sysselsatte_botid_land","personer"
"2006","29","1","10+","119","sysselsatte_botid_land","personer"
"2006","29","1","5_9","34","sysselsatte_botid_land","personer"
"2006","29","1","alle","232","sysselsatte_botid_land","personer"
"2006","29","2","0_4","87","sysselsatte_botid_land","personer"
"2006","29","2","10+","129","sysselsatte_botid_land","personer"
"2006","29","2","5_9","65","sysselsatte_botid_land","personer"
"2006","29","2","alle","281","sysselsatte_botid_land","personer"
"2006","29","alle","0_4","166","sysselsatte_botid_land","personer"
"2006","29","alle","10+","248","sysselsatte_botid_land","personer"
"2006","29","alle","5_9","99","sysselsatte_botid_land","personer"
"2006","29","alle","alle","513","sysselsatte_botid_land","personer"
"2006","30","1","0_4","89","sysselsatte_botid_land","personer"
"2006","30","1","10+","86","sysselsatte_botid_land","personer"
"2006","30","1","5_9","36","sysselsatte_botid_land","personer"
"2006","30","1","alle","211","sysselsatte_botid_land","personer"
"2006","30","2","0_4","25","sysselsatte_botid_land","personer"
"2006","30","2","10+","46","sysselsatte_botid_land","personer"
"2006","30","2","5_9","31","sysselsatte_botid_land","personer"
"2006","30","2","alle","102","sysselsatte_botid_land","personer"
"2006","30","alle","0_4","114","sysselsatte_botid_land","personer"
"2006","30","alle","10+","132","sysselsatte_botid_land","personer"
"2006","30","alle","5_9","67","sysselsatte_botid_land","personer"
"2006","30","alle","alle","313","sysselsatte_botid_land","personer"
"2006","31","1","0_4","28","sysselsatte_botid_land","personer"
"2006","31","1","10+","60","sysselsatte_botid_land","personer"
"2006","31","1","5_9","18","sysselsatte_botid_land","personer"
"2006","31","1","alle","106","sysselsatte_botid_land","personer"
"2006","31","2","0_4","15","sysselsatte_botid_land","personer"
"2006","31","2","10+","30","sysselsatte_botid_land","personer"
"2006","31","2","5_9","30","sysselsatte_botid_land","personer"
"2006","31","2","alle","75","sysselsatte_botid_land","personer"
"2006","31","alle","0_4","43","sysselsatte_botid_land","personer"
"2006","31","alle","10+","90","sysselsatte_botid_land","personer"
"2006","31","alle","5_9","48","sysselsatte_botid_land","personer"
"2006","31","alle","alle","181","sysselsatte_botid_land","personer"
"2006","32","1","0_4","282","sysselsatte_botid_land","personer"
"2006","32","1","10+","602","sysselsatte_botid_land","personer"
"2006","32","1","5_9","170","sysselsatte_botid_land","personer"
"2006","32","1","alle","1054","sysselsatte_botid_land","personer"
"2006","32","2","0_4","256","sysselsatte_botid_land","personer"
"2006","32","2","10+","485","sysselsatte_botid_land","personer"
"2006","32","2","5_9","232","sysselsatte_botid_land","personer"
"2006","32","2","alle","973","sysselsatte_botid_land","personer"
"2006","32","alle","0_4","538","sysselsatte_botid_land","personer"
"2006","32","alle","10+","1087","sysselsatte_botid_land","personer"
"2006","32","alle","5_9","402","sysselsatte_botid_land","personer"
"2006","32","alle","alle","2027","sysselsatte_botid_land","personer"
"2006","33","1","0_4","143","sysselsatte_botid_land","personer"
"2006","33","1","10+","203","sysselsatte_botid_land","personer"
"2006","33","1","5_9","96","sysselsatte_botid_land","personer"
"2006","33","1","alle","442","sysselsatte_botid_land","personer"
"2006","33","2","0_4","124","sysselsatte_botid_land","personer"
"2006","33","2","10+","163","sysselsatte_botid_land","personer"
"2006","33","2","5_9","139","sysselsatte_botid_land","personer"
"2006","33","2","alle","426","sysselsatte_botid_land","personer"
"2006","33","alle","0_4","267","sysselsatte_botid_land","personer"
"2006","33","alle","10+","366","sysselsatte_botid_land","personer"
"2006","33","alle","5_9","235","sysselsatte_botid_land","personer"
"2006","33","alle","alle","868","sysselsatte_botid_land","personer"
"2006","34","1","0_4","83","sysselsatte_botid_land","personer"
"2006","34","1","10+","121","sysselsatte_botid_land","personer"
"2006","34","1","5_9","37","sysselsatte_botid_land","personer"
"2006","34","1","alle","241","sysselsatte_botid_land","personer"
"2006","34","2","0_4","70","sysselsatte_botid_land","personer"
"2006","34","2","10+","116","sysselsatte_botid_land","personer"
"2006","34","2","5_9","64","sysselsatte_botid_land","personer"
"2006","34","2","alle","250","sysselsatte_botid_land","personer"
"2006","34","alle","0_4","153","sysselsatte_botid_land","personer"
"2006","34","alle","10+","237","sysselsatte_botid_land","personer"
"2006","34","alle","5_9","101","sysselsatte_botid_land","personer"
"2006","34","alle","alle","491","sysselsatte_botid_land","personer"
"2006","35","1","0_4","394","sysselsatte_botid_land","personer"
"2006","35","1","10+","973","sysselsatte_botid_land","personer"
"2006","35","1","5_9","254","sysselsatte_botid_land","personer"
"2006","35","1","alle","1621","sysselsatte_botid_land","personer"
"2006","35","2","0_4","487","sysselsatte_botid_land","personer"
"2006","35","2","10+","1763","sysselsatte_botid_land","personer"
"2006","35","2","5_9","617","sysselsatte_botid_land","personer"
"2006","35","2","alle","2867","sysselsatte_botid_land","personer"
"2006","35","alle","0_4","881","sysselsatte_botid_land","personer"
"2006","35","alle","10+","2736","sysselsatte_botid_land","personer"
"2006","35","alle","5_9","871","sysselsatte_botid_land","personer"
"2006","35","alle","alle","4488","sysselsatte_botid_land","personer"
"2006","36","1","0_4","86","sysselsatte_botid_land","personer"
"2006","36","1","10+","121","sysselsatte_botid_land","personer"
"2006","36","1","5_9","53","sysselsatte_botid_land","personer"
"2006","36","1","alle","260","sysselsatte_botid_land","personer"
"2006","36","2","0_4","95","sysselsatte_botid_land","personer"
"2006","36","2","10+","86","sysselsatte_botid_land","personer"
"2006","36","2","5_9","58","sysselsatte_botid_land","personer"
"2006","36","2","alle","239","sysselsatte_botid_land","personer"
"2006","36","alle","0_4","181","sysselsatte_botid_land","personer"
"2006","36","alle","10+","207","sysselsatte_botid_land","personer"
"2006","36","alle","5_9","111","sysselsatte_botid_land","personer"
"2006","36","alle","alle","499","sysselsatte_botid_land","personer"
"2006","37","1","0_4","685","sysselsatte_botid_land","personer"
"2006","37","1","10+","527","sysselsatte_botid_land","personer"
"2006","37","1","5_9","219","sysselsatte_botid_land","personer"
"2006","37","1","alle","1431","sysselsatte_botid_land","personer"
"2006","37","2","0_4","300","sysselsatte_botid_land","personer"
"2006","37","2","10+","608","sysselsatte_botid_land","personer"
"2006","37","2","5_9","257","sysselsatte_botid_land","personer"
"2006","37","2","alle","1165","sysselsatte_botid_land","personer"
"2006","37","alle","0_4","985","sysselsatte_botid_land","personer"
"2006","37","alle","10+","1135","sysselsatte_botid_land","personer"
"2006","37","alle","5_9","476","sysselsatte_botid_land","personer"
"2006","37","alle","alle","2596","sysselsatte_botid_land","personer"
"2006","38","1","0_4","105","sysselsatte_botid_land","personer"
"2006","38","1","10+","130","sysselsatte_botid_land","personer"
"2006","38","1","5_9","41","sysselsatte_botid_land","personer"
"2006","38","1","alle","276","sysselsatte_botid_land","personer"
"2006","38","2","0_4","66","sysselsatte_botid_land","personer"
"2006","38","2","10+","91","sysselsatte_botid_land","personer"
"2006","38","2","5_9","64","sysselsatte_botid_land","personer"
"2006","38","2","alle","221","sysselsatte_botid_land","personer"
"2006","38","alle","0_4","171","sysselsatte_botid_land","personer"
"2006","38","alle","10+","221","sysselsatte_botid_land","personer"
"2006","38","alle","5_9","105","sysselsatte_botid_land","personer"
"2006","38","alle","alle","497","sysselsatte_botid_land","personer"
"2006","39","1","0_4","2313","sysselsatte_botid_land","personer"
"2006","39","1","10+","2724","sysselsatte_botid_land","personer"
"2006","39","1","5_9","982","sysselsatte_botid_land","personer"
"2006","39","1","alle","6019","sysselsatte_botid_land","personer"
"2006","39","2","0_4","1541","sysselsatte_botid_land","personer"
"2006","39","2","10+","3426","sysselsatte_botid_land","personer"
"2006","39","2","5_9","1333","sysselsatte_botid_land","personer"
