"aar","bydel_nr","avslutning_arsak_8","kjonn","enhet","tabellvariabel","tabell_navn","fylke_nr","naringsregion_nr","kommune_nr"
2014,"030102","trygd_annen","0","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030102","trygd_annen","1","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030102","trygd_annen","1","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030102","trygd_annen","alle","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030102","trygd_annen","alle","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030102","annet","0","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030102","annet","0","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030102","annet","1","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030102","annet","1","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030102","annet","alle","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030102","annet","alle","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030103","alle","0","personer","7","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030103","alle","1","personer","15","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030103","alle","alle","personer","22","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030103","kvalifisering","0","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030103","kvalifisering","0","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030103","kvalifisering","1","personer","6","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030103","kvalifisering","1","prosent","40","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030103","kvalifisering","alle","personer","9","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030103","kvalifisering","alle","prosent","40.9090909","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030103","gr_skole","0","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030103","gr_skole","0","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030103","gr_skole","1","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030103","gr_skole","1","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030103","gr_skole","alle","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030103","gr_skole","alle","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030103","utdanning","0","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030103","utdanning","0","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030103","utdanning","1","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030103","utdanning","1","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030103","utdanning","alle","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030103","utdanning","alle","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030103","arbeid","0","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030103","arbeid","0","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030103","arbeid","1","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030103","arbeid","1","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030103","arbeid","alle","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030103","arbeid","alle","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030103","sos_stnd","0","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030103","sos_stnd","0","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030103","sos_stnd","1","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030103","sos_stnd","1","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030103","sos_stnd","alle","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030103","sos_stnd","alle","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030103","trygd_annen","0","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030103","trygd_annen","0","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030103","trygd_annen","1","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030103","trygd_annen","1","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030103","trygd_annen","alle","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030103","trygd_annen","alle","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030103","annet","0","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030103","annet","0","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030103","annet","1","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030103","annet","1","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030103","annet","alle","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030103","annet","alle","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030104","alle","0","personer","10","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030104","alle","1","personer","13","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030104","alle","alle","personer","23","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030104","kvalifisering","0","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030104","kvalifisering","0","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030104","kvalifisering","1","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030104","kvalifisering","1","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030104","kvalifisering","alle","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030104","kvalifisering","alle","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030104","gr_skole","0","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030104","gr_skole","0","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030104","gr_skole","1","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030104","gr_skole","1","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030104","gr_skole","alle","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030104","gr_skole","alle","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030104","utdanning","0","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030104","utdanning","0","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030104","utdanning","1","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030104","utdanning","1","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030104","utdanning","alle","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030104","utdanning","alle","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030104","arbeid","0","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030104","arbeid","0","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030104","arbeid","1","personer","7","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030104","arbeid","1","prosent","53.84615385","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030104","arbeid","alle","personer","10","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030104","arbeid","alle","prosent","43.4782609","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030104","sos_stnd","0","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030104","sos_stnd","0","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030104","sos_stnd","1","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030104","sos_stnd","1","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030104","sos_stnd","alle","personer","8","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030104","sos_stnd","alle","prosent","34.7826087","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030104","trygd_annen","0","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030104","trygd_annen","0","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030104","trygd_annen","1","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030104","trygd_annen","1","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030104","trygd_annen","alle","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030104","trygd_annen","alle","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030104","annet","0","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030104","annet","0","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030104","annet","1","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030104","annet","1","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030104","annet","alle","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030104","annet","alle","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030105","alle","0","personer","18","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030105","alle","1","personer","18","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030105","alle","alle","personer","36","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030105","kvalifisering","0","personer","9","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030105","kvalifisering","0","prosent","50","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030105","kvalifisering","1","personer","7","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030105","kvalifisering","1","prosent","38.88888889","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030105","kvalifisering","alle","personer","16","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030105","kvalifisering","alle","prosent","44.4444444","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030105","gr_skole","0","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030105","gr_skole","0","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030105","gr_skole","1","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030105","gr_skole","1","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030105","gr_skole","alle","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030105","gr_skole","alle","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030105","utdanning","0","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030105","utdanning","0","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030105","utdanning","1","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030105","utdanning","1","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030105","utdanning","alle","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030105","utdanning","alle","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030105","arbeid","0","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030105","arbeid","0","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030105","arbeid","1","personer","6","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030105","arbeid","1","prosent","33.33333333","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030105","arbeid","alle","personer","8","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030105","arbeid","alle","prosent","22.2222222","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030105","sos_stnd","0","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030105","sos_stnd","0","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030105","sos_stnd","1","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030105","sos_stnd","1","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030105","sos_stnd","alle","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030105","sos_stnd","alle","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030105","trygd_annen","0","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030105","trygd_annen","0","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030105","trygd_annen","1","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030105","trygd_annen","1","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030105","trygd_annen","alle","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030105","trygd_annen","alle","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030105","annet","0","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030105","annet","0","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030105","annet","1","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030105","annet","1","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030105","annet","alle","personer","6","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030105","annet","alle","prosent","16.6666667","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030106","alle","0","personer","7","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030106","alle","1","personer","6","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030106","alle","alle","personer","13","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030106","kvalifisering","0","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030106","kvalifisering","0","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030106","kvalifisering","1","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030106","kvalifisering","1","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030106","kvalifisering","alle","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030106","kvalifisering","alle","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030106","gr_skole","0","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030106","gr_skole","0","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030106","gr_skole","1","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030106","gr_skole","1","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030106","gr_skole","alle","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030106","gr_skole","alle","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030106","utdanning","0","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030106","utdanning","0","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030106","utdanning","1","personer",":","intro_avslutning_direkte_8","NULL","NULL","NULL"
2014,"030106","utdanning","1","prosent",".","intro_avslutning_direkte_8","NULL","NULL","NULL"
