"kommune_nr","bosetting","enhet","maaned","tabellvariabel","tabell_navn","aar"
"0538","bosatt","personer","alle","98","bosetting_maaned",2012
"0540","bosatt","personer","alle","25","bosetting_maaned",2012
"0541","bosatt","personer","alle","10","bosetting_maaned",2012
"0542","bosatt","personer","alle","62","bosetting_maaned",2012
"0543","bosatt","personer","alle","0","bosetting_maaned",2012
"0544","bosatt","personer","alle","15","bosetting_maaned",2012
"0545","bosatt","personer","alle","11","bosetting_maaned",2012
"0602","bosatt","personer","alle","850","bosetting_maaned",2012
"0604","bosatt","personer","alle","107","bosetting_maaned",2012
"0605","bosatt","personer","alle","179","bosetting_maaned",2012
"0612","bosatt","personer","alle","19","bosetting_maaned",2012
"0615","bosatt","personer","alle","0","bosetting_maaned",2012
"0616","bosatt","personer","alle","72","bosetting_maaned",2012
"0617","bosatt","personer","alle","74","bosetting_maaned",2012
"0618","bosatt","personer","alle","42","bosetting_maaned",2012
"0619","bosatt","personer","alle","92","bosetting_maaned",2012
"0620","bosatt","personer","alle","26","bosetting_maaned",2012
"0621","bosatt","personer","alle","24","bosetting_maaned",2012
"0622","bosatt","personer","alle","0","bosetting_maaned",2012
"0623","bosatt","personer","alle","109","bosetting_maaned",2012
"0624","bosatt","personer","alle","94","bosetting_maaned",2012
"0625","bosatt","personer","alle","55","bosetting_maaned",2012
"0626","bosatt","personer","alle","89","bosetting_maaned",2012
"0627","bosatt","personer","alle","115","bosetting_maaned",2012
"0628","bosatt","personer","alle","111","bosetting_maaned",2012
"0631","bosatt","personer","alle","32","bosetting_maaned",2012
"0632","bosatt","personer","alle","28","bosetting_maaned",2012
"0633","bosatt","personer","alle","33","bosetting_maaned",2012
"0701","bosatt","personer","alle","113","bosetting_maaned",2012
"0702","bosatt","personer","alle","41","bosetting_maaned",2012
"0704","bosatt","personer","alle","113","bosetting_maaned",2012
"0706","bosatt","personer","alle","175","bosetting_maaned",2012
"0709","bosatt","personer","alle","214","bosetting_maaned",2012
"0711","bosatt","personer","alle","34","bosetting_maaned",2012
"0713","bosatt","personer","alle","73","bosetting_maaned",2012
"0714","bosatt","personer","alle","0","bosetting_maaned",2012
"0716","bosatt","personer","alle","31","bosetting_maaned",2012
"0719","bosatt","personer","alle","4","bosetting_maaned",2012
"0720","bosatt","personer","alle","121","bosetting_maaned",2012
"0722","bosatt","personer","alle","131","bosetting_maaned",2012
"0723","bosatt","personer","alle","33","bosetting_maaned",2012
"0728","bosatt","personer","alle","23","bosetting_maaned",2012
"0805","bosatt","personer","alle","251","bosetting_maaned",2012
"0806","bosatt","personer","alle","573","bosetting_maaned",2012
"0807","bosatt","personer","alle","258","bosetting_maaned",2012
"0811","bosatt","personer","alle","124","bosetting_maaned",2012
"0814","bosatt","personer","alle","257","bosetting_maaned",2012
"0815","bosatt","personer","alle","210","bosetting_maaned",2012
"0817","bosatt","personer","alle","29","bosetting_maaned",2012
"0819","bosatt","personer","alle","59","bosetting_maaned",2012
"0821","bosatt","personer","alle","47","bosetting_maaned",2012
"0822","bosatt","personer","alle","119","bosetting_maaned",2012
"0826","bosatt","personer","alle","96","bosetting_maaned",2012
"0827","bosatt","personer","alle","0","bosetting_maaned",2012
"0828","bosatt","personer","alle","6","bosetting_maaned",2012
"0829","bosatt","personer","alle","0","bosetting_maaned",2012
"0830","bosatt","personer","alle","0","bosetting_maaned",2012
"0831","bosatt","personer","alle","28","bosetting_maaned",2012
"0833","bosatt","personer","alle","0","bosetting_maaned",2012
"0834","bosatt","personer","alle","25","bosetting_maaned",2012
"0901","bosatt","personer","alle","126","bosetting_maaned",2012
"0904","bosatt","personer","alle","118","bosetting_maaned",2012
"0906","bosatt","personer","alle","301","bosetting_maaned",2012
"0911","bosatt","personer","alle","72","bosetting_maaned",2012
"0912","bosatt","personer","alle","0","bosetting_maaned",2012
"0914","bosatt","personer","alle","15","bosetting_maaned",2012
"0919","bosatt","personer","alle","59","bosetting_maaned",2012
"0926","bosatt","personer","alle","88","bosetting_maaned",2012
"0928","bosatt","personer","alle","35","bosetting_maaned",2012
"0929","bosatt","personer","alle","57","bosetting_maaned",2012
"0935","bosatt","personer","alle","41","bosetting_maaned",2012
"0937","bosatt","personer","alle","0","bosetting_maaned",2012
"0938","bosatt","personer","alle","0","bosetting_maaned",2012
"0940","bosatt","personer","alle","0","bosetting_maaned",2012
"0941","bosatt","personer","alle","35","bosetting_maaned",2012
"1001","bosatt","personer","alle","657","bosetting_maaned",2012
"1002","bosatt","personer","alle","139","bosetting_maaned",2012
"1003","bosatt","personer","alle","135","bosetting_maaned",2012
"1004","bosatt","personer","alle","39","bosetting_maaned",2012
"1014","bosatt","personer","alle","115","bosetting_maaned",2012
"1017","bosatt","personer","alle","88","bosetting_maaned",2012
"1018","bosatt","personer","alle","134","bosetting_maaned",2012
"1021","bosatt","personer","alle","20","bosetting_maaned",2012
"1026","bosatt","personer","alle","0","bosetting_maaned",2012
"1027","bosatt","personer","alle","0","bosetting_maaned",2012
"1029","bosatt","personer","alle","32","bosetting_maaned",2012
"1032","bosatt","personer","alle","111","bosetting_maaned",2012
"1034","bosatt","personer","alle","5","bosetting_maaned",2012
"1037","bosatt","personer","alle","79","bosetting_maaned",2012
"1046","bosatt","personer","alle","25","bosetting_maaned",2012
"1101","bosatt","personer","alle","115","bosetting_maaned",2012
"1102","bosatt","personer","alle","324","bosetting_maaned",2012
"1103","bosatt","personer","alle","682","bosetting_maaned",2012
"1106","bosatt","personer","alle","173","bosetting_maaned",2012
"1111","bosatt","personer","alle","0","bosetting_maaned",2012
"1112","bosatt","personer","alle","54","bosetting_maaned",2012
"1114","bosatt","personer","alle","0","bosetting_maaned",2012
"1119","bosatt","personer","alle","58","bosetting_maaned",2012
"1120","bosatt","personer","alle","93","bosetting_maaned",2012
"1121","bosatt","personer","alle","92","bosetting_maaned",2012
"1122","bosatt","personer","alle","103","bosetting_maaned",2012
"1124","bosatt","personer","alle","98","bosetting_maaned",2012
"1127","bosatt","personer","alle","130","bosetting_maaned",2012
"1129","bosatt","personer","alle","0","bosetting_maaned",2012
"1130","bosatt","personer","alle","103","bosetting_maaned",2012
"1133","bosatt","personer","alle","48","bosetting_maaned",2012
"1134","bosatt","personer","alle","5","bosetting_maaned",2012
"1135","bosatt","personer","alle","0","bosetting_maaned",2012
"1141","bosatt","personer","alle","0","bosetting_maaned",2012
"1142","bosatt","personer","alle","51","bosetting_maaned",2012
"1144","bosatt","personer","alle","0","bosetting_maaned",2012
"1145","bosatt","personer","alle","0","bosetting_maaned",2012
"1146","bosatt","personer","alle","112","bosetting_maaned",2012
"1149","bosatt","personer","alle","229","bosetting_maaned",2012
"1151","bosatt","personer","alle","0","bosetting_maaned",2012
"1160","bosatt","personer","alle","132","bosetting_maaned",2012
"1201","bosatt","personer","alle","1346","bosetting_maaned",2012
"1211","bosatt","personer","alle","0","bosetting_maaned",2012
"1216","bosatt","personer","alle","69","bosetting_maaned",2012
"1219","bosatt","personer","alle","66","bosetting_maaned",2012
"1221","bosatt","personer","alle","53","bosetting_maaned",2012
"1222","bosatt","personer","alle","0","bosetting_maaned",2012
"1223","bosatt","personer","alle","0","bosetting_maaned",2012
"1224","bosatt","personer","alle","147","bosetting_maaned",2012
"1227","bosatt","personer","alle","0","bosetting_maaned",2012
"1228","bosatt","personer","alle","0","bosetting_maaned",2012
"1231","bosatt","personer","alle","94","bosetting_maaned",2012
"1232","bosatt","personer","alle","0","bosetting_maaned",2012
"1233","bosatt","personer","alle","0","bosetting_maaned",2012
"1234","bosatt","personer","alle","0","bosetting_maaned",2012
"1235","bosatt","personer","alle","98","bosetting_maaned",2012
"1238","bosatt","personer","alle","59","bosetting_maaned",2012
"1241","bosatt","personer","alle","0","bosetting_maaned",2012
"1242","bosatt","personer","alle","0","bosetting_maaned",2012
"1243","bosatt","personer","alle","71","bosetting_maaned",2012
"1244","bosatt","personer","alle","0","bosetting_maaned",2012
"1245","bosatt","personer","alle","14","bosetting_maaned",2012
"1246","bosatt","personer","alle","80","bosetting_maaned",2012
"1247","bosatt","personer","alle","170","bosetting_maaned",2012
"1251","bosatt","personer","alle","53","bosetting_maaned",2012
"1252","bosatt","personer","alle","0","bosetting_maaned",2012
"1253","bosatt","personer","alle","0","bosetting_maaned",2012
"1256","bosatt","personer","alle","0","bosetting_maaned",2012
"1259","bosatt","personer","alle","58","bosetting_maaned",2012
"1260","bosatt","personer","alle","8","bosetting_maaned",2012
"1263","bosatt","personer","alle","61","bosetting_maaned",2012
"1264","bosatt","personer","alle","0","bosetting_maaned",2012
"1265","bosatt","personer","alle","0","bosetting_maaned",2012
"1266","bosatt","personer","alle","0","bosetting_maaned",2012
"1401","bosatt","personer","alle","203","bosetting_maaned",2012
"1411","bosatt","personer","alle","0","bosetting_maaned",2012
"1412","bosatt","personer","alle","0","bosetting_maaned",2012
"1413","bosatt","personer","alle","0","bosetting_maaned",2012
"1416","bosatt","personer","alle","6","bosetting_maaned",2012
"1417","bosatt","personer","alle","0","bosetting_maaned",2012
"1418","bosatt","personer","alle","0","bosetting_maaned",2012
"1419","bosatt","personer","alle","14","bosetting_maaned",2012
"1420","bosatt","personer","alle","98","bosetting_maaned",2012
"1421","bosatt","personer","alle","0","bosetting_maaned",2012
"1422","bosatt","personer","alle","0","bosetting_maaned",2012
"1424","bosatt","personer","alle","0","bosetting_maaned",2012
"1426","bosatt","personer","alle","22","bosetting_maaned",2012
"1428","bosatt","personer","alle","0","bosetting_maaned",2012
"1429","bosatt","personer","alle","0","bosetting_maaned",2012
"1430","bosatt","personer","alle","0","bosetting_maaned",2012
"1431","bosatt","personer","alle","45","bosetting_maaned",2012
"1432","bosatt","personer","alle","125","bosetting_maaned",2012
"1433","bosatt","personer","alle","0","bosetting_maaned",2012
"1438","bosatt","personer","alle","0","bosetting_maaned",2012
"1439","bosatt","personer","alle","0","bosetting_maaned",2012
"1441","bosatt","personer","alle","0","bosetting_maaned",2012
"1443","bosatt","personer","alle","29","bosetting_maaned",2012
"1444","bosatt","personer","alle","0","bosetting_maaned",2012
"1445","bosatt","personer","alle","87","bosetting_maaned",2012
"1449","bosatt","personer","alle","79","bosetting_maaned",2012
"1502","bosatt","personer","alle","300","bosetting_maaned",2012
"1504","bosatt","personer","alle","219","bosetting_maaned",2012
"1505","bosatt","personer","alle","185","bosetting_maaned",2012
"1511","bosatt","personer","alle","0","bosetting_maaned",2012
"1514","bosatt","personer","alle","0","bosetting_maaned",2012
"1515","bosatt","personer","alle","37","bosetting_maaned",2012
"1516","bosatt","personer","alle","92","bosetting_maaned",2012
"1517","bosatt","personer","alle","74","bosetting_maaned",2012
"1519","bosatt","personer","alle","216","bosetting_maaned",2012
"1520","bosatt","personer","alle","170","bosetting_maaned",2012
"1523","bosatt","personer","alle","8","bosetting_maaned",2012
"1524","bosatt","personer","alle","0","bosetting_maaned",2012
"1525","bosatt","personer","alle","0","bosetting_maaned",2012
"1526","bosatt","personer","alle","0","bosetting_maaned",2012
"1528","bosatt","personer","alle","68","bosetting_maaned",2012
"1529","bosatt","personer","alle","0","bosetting_maaned",2012
"1531","bosatt","personer","alle","0","bosetting_maaned",2012
"1532","bosatt","personer","alle","37","bosetting_maaned",2012
"1534","bosatt","personer","alle","74","bosetting_maaned",2012
"1535","bosatt","personer","alle","11","bosetting_maaned",2012
"1539","bosatt","personer","alle","0","bosetting_maaned",2012
"1543","bosatt","personer","alle","0","bosetting_maaned",2012
"1545","bosatt","personer","alle","0","bosetting_maaned",2012
"1546","bosatt","personer","alle","0","bosetting_maaned",2012
"1547","bosatt","personer","alle","26","bosetting_maaned",2012
"1548","bosatt","personer","alle","0","bosetting_maaned",2012
"1551","bosatt","personer","alle","33","bosetting_maaned",2012
"1554","bosatt","personer","alle","0","bosetting_maaned",2012
"1557","bosatt","personer","alle","0","bosetting_maaned",2012
"1560","bosatt","personer","alle","10","bosetting_maaned",2012
"1563","bosatt","personer","alle","129","bosetting_maaned",2012
"1566","bosatt","personer","alle","0","bosetting_maaned",2012
"1567","bosatt","personer","alle","0","bosetting_maaned",2012
"1571","bosatt","personer","alle","0","bosetting_maaned",2012
"1573","bosatt","personer","alle","0","bosetting_maaned",2012
"1576","bosatt","personer","alle","48","bosetting_maaned",2012
"1601","bosatt","personer","alle","1276","bosetting_maaned",2012
"1612","bosatt","personer","alle","27","bosetting_maaned",2012
"1613","bosatt","personer","alle","0","bosetting_maaned",2012
"1617","bosatt","personer","alle","0","bosetting_maaned",2012
"1620","bosatt","personer","alle","0","bosetting_maaned",2012
"1621","bosatt","personer","alle","0","bosetting_maaned",2012
"1622","bosatt","personer","alle","0","bosetting_maaned",2012
"1624","bosatt","personer","alle","43","bosetting_maaned",2012
"1627","bosatt","personer","alle","0","bosetting_maaned",2012
"1630","bosatt","personer","alle","0","bosetting_maaned",2012
"1632","bosatt","personer","alle","0","bosetting_maaned",2012
"1633","bosatt","personer","alle","0","bosetting_maaned",2012
"1634","bosatt","personer","alle","106","bosetting_maaned",2012
"1635","bosatt","personer","alle","0","bosetting_maaned",2012
"1636","bosatt","personer","alle","0","bosetting_maaned",2012
"1638","bosatt","personer","alle","149","bosetting_maaned",2012
"1640","bosatt","personer","alle","37","bosetting_maaned",2012
"1644","bosatt","personer","alle","0","bosetting_maaned",2012
"1648","bosatt","personer","alle","71","bosetting_maaned",2012
"1653","bosatt","personer","alle","86","bosetting_maaned",2012
"1657","bosatt","personer","alle","13","bosetting_maaned",2012
"1662","bosatt","personer","alle","0","bosetting_maaned",2012
"1663","bosatt","personer","alle","36","bosetting_maaned",2012
"1664","bosatt","personer","alle","0","bosetting_maaned",2012
"1665","bosatt","personer","alle","0","bosetting_maaned",2012
"1702","bosatt","personer","alle","233","bosetting_maaned",2012
"1703","bosatt","personer","alle","201","bosetting_maaned",2012
"1711","bosatt","personer","alle","80","bosetting_maaned",2012
"1714","bosatt","personer","alle","280","bosetting_maaned",2012
"1717","bosatt","personer","alle","0","bosetting_maaned",2012
"1718","bosatt","personer","alle","57","bosetting_maaned",2012
"1719","bosatt","personer","alle","254","bosetting_maaned",2012
"1721","bosatt","personer","alle","97","bosetting_maaned",2012
"1724","bosatt","personer","alle","31","bosetting_maaned",2012
"1725","bosatt","personer","alle","0","bosetting_maaned",2012
"1736","bosatt","personer","alle","0","bosetting_maaned",2012
"1738","bosatt","personer","alle","0","bosetting_maaned",2012
"1739","bosatt","personer","alle","0","bosetting_maaned",2012
"1740","bosatt","personer","alle","0","bosetting_maaned",2012
"1742","bosatt","personer","alle","118","bosetting_maaned",2012
"1743","bosatt","personer","alle","0","bosetting_maaned",2012
"1744","bosatt","personer","alle","24","bosetting_maaned",2012
"1748","bosatt","personer","alle","0","bosetting_maaned",2012
"1749","bosatt","personer","alle","0","bosetting_maaned",2012
"1750","bosatt","personer","alle","80","bosetting_maaned",2012
"1751","bosatt","personer","alle","122","bosetting_maaned",2012
"1755","bosatt","personer","alle","0","bosetting_maaned",2012
"1756","bosatt","personer","alle","68","bosetting_maaned",2012
"1804","bosatt","personer","alle","311","bosetting_maaned",2012
"1805","bosatt","personer","alle","146","bosetting_maaned",2012
"1811","bosatt","personer","alle","0","bosetting_maaned",2012
"1812","bosatt","personer","alle","63","bosetting_maaned",2012
"1813","bosatt","personer","alle","67","bosetting_maaned",2012
"1815","bosatt","personer","alle","0","bosetting_maaned",2012
"1816","bosatt","personer","alle","0","bosetting_maaned",2012
"1818","bosatt","personer","alle","0","bosetting_maaned",2012
"1820","bosatt","personer","alle","192","bosetting_maaned",2012
"1822","bosatt","personer","alle","67","bosetting_maaned",2012
"1824","bosatt","personer","alle","82","bosetting_maaned",2012
"1825","bosatt","personer","alle","0","bosetting_maaned",2012
"1826","bosatt","personer","alle","55","bosetting_maaned",2012
"1827","bosatt","personer","alle","0","bosetting_maaned",2012
"1828","bosatt","personer","alle","127","bosetting_maaned",2012
"1832","bosatt","personer","alle","32","bosetting_maaned",2012
"1833","bosatt","personer","alle","266","bosetting_maaned",2012
"1834","bosatt","personer","alle","0","bosetting_maaned",2012
"1835","bosatt","personer","alle","0","bosetting_maaned",2012
"1836","bosatt","personer","alle","0","bosetting_maaned",2012
"1837","bosatt","personer","alle","69","bosetting_maaned",2012
"1838","bosatt","personer","alle","7","bosetting_maaned",2012
"1839","bosatt","personer","alle","0","bosetting_maaned",2012
"1840","bosatt","personer","alle","45","bosetting_maaned",2012
"1841","bosatt","personer","alle","102","bosetting_maaned",2012
"1845","bosatt","personer","alle","0","bosetting_maaned",2012
"1848","bosatt","personer","alle","7","bosetting_maaned",2012
"1849","bosatt","personer","alle","40","bosetting_maaned",2012
"1850","bosatt","personer","alle","12","bosetting_maaned",2012
"1851","bosatt","personer","alle","71","bosetting_maaned",2012
"1852","bosatt","personer","alle","0","bosetting_maaned",2012
"1853","bosatt","personer","alle","80","bosetting_maaned",2012
"1854","bosatt","personer","alle","32","bosetting_maaned",2012
"1856","bosatt","personer","alle","0","bosetting_maaned",2012
"1857","bosatt","personer","alle","0","bosetting_maaned",2012
"1859","bosatt","personer","alle","0","bosetting_maaned",2012
"1860","bosatt","personer","alle","281","bosetting_maaned",2012
"1865","bosatt","personer","alle","189","bosetting_maaned",2012
"1866","bosatt","personer","alle","73","bosetting_maaned",2012
"1867","bosatt","personer","alle","0","bosetting_maaned",2012
"1868","bosatt","personer","alle","37","bosetting_maaned",2012
"1870","bosatt","personer","alle","183","bosetting_maaned",2012
"1871","bosatt","personer","alle","176","bosetting_maaned",2012
"1874","bosatt","personer","alle","0","bosetting_maaned",2012
"1902","bosatt","personer","alle","519","bosetting_maaned",2012
"1903","bosatt","personer","alle","371","bosetting_maaned",2012
"1911","bosatt","personer","alle","54","bosetting_maaned",2012
"1913","bosatt","personer","alle","62","bosetting_maaned",2012
"1917","bosatt","personer","alle","30","bosetting_maaned",2012
"1919","bosatt","personer","alle","38","bosetting_maaned",2012
"1920","bosatt","personer","alle","0","bosetting_maaned",2012
"1922","bosatt","personer","alle","22","bosetting_maaned",2012
"1923","bosatt","personer","alle","119","bosetting_maaned",2012
"1924","bosatt","personer","alle","81","bosetting_maaned",2012
"1925","bosatt","personer","alle","0","bosetting_maaned",2012
"1926","bosatt","personer","alle","0","bosetting_maaned",2012
"1927","bosatt","personer","alle","87","bosetting_maaned",2012
"1928","bosatt","personer","alle","0","bosetting_maaned",2012
"1929","bosatt","personer","alle","0","bosetting_maaned",2012
"1931","bosatt","personer","alle","131","bosetting_maaned",2012
"1933","bosatt","personer","alle","0","bosetting_maaned",2012
"1936","bosatt","personer","alle","0","bosetting_maaned",2012
"1938","bosatt","personer","alle","0","bosetting_maaned",2012
"1939","bosatt","personer","alle","35","bosetting_maaned",2012
"1940","bosatt","personer","alle","0","bosetting_maaned",2012
"1941","bosatt","personer","alle","7","bosetting_maaned",2012
"1942","bosatt","personer","alle","85","bosetting_maaned",2012
"1943","bosatt","personer","alle","0","bosetting_maaned",2012
"2002","bosatt","personer","alle","0","bosetting_maaned",2012
"2003","bosatt","personer","alle","548","bosetting_maaned",2012
"2004","bosatt","personer","alle","138","bosetting_maaned",2012
"2011","bosatt","personer","alle","0","bosetting_maaned",2012
"2012","bosatt","personer","alle","200","bosetting_maaned",2012
"2014","bosatt","personer","alle","0","bosetting_maaned",2012
"2015","bosatt","personer","alle","0","bosetting_maaned",2012
"2017","bosatt","personer","alle","0","bosetting_maaned",2012
"2018","bosatt","personer","alle","0","bosetting_maaned",2012
"2019","bosatt","personer","alle","3","bosetting_maaned",2012
"2020","bosatt","personer","alle","89","bosetting_maaned",2012
"2021","bosatt","personer","alle","0","bosetting_maaned",2012
"2022","bosatt","personer","alle","0","bosetting_maaned",2012
"2023","bosatt","personer","alle","0","bosetting_maaned",2012
"2024","bosatt","personer","alle","0","bosetting_maaned",2012
"2025","bosatt","personer","alle","0","bosetting_maaned",2012
"2027","bosatt","personer","alle","0","bosetting_maaned",2012
"2028","bosatt","personer","alle","21","bosetting_maaned",2012
"2030","bosatt","personer","alle","169","bosetting_maaned",2012
"0101","bosatt","personer","januar","5","bosetting_maaned",2012
"0104","bosatt","personer","januar","15","bosetting_maaned",2012
"0105","bosatt","personer","januar","28","bosetting_maaned",2012
"0106","bosatt","personer","januar","33","bosetting_maaned",2012
"0111","bosatt","personer","januar","4","bosetting_maaned",2012
"0118","bosatt","personer","januar","0","bosetting_maaned",2012
"0119","bosatt","personer","januar","2","bosetting_maaned",2012
"0121","bosatt","personer","januar","0","bosetting_maaned",2012
"0122","bosatt","personer","januar","2","bosetting_maaned",2012
"0123","bosatt","personer","januar","1","bosetting_maaned",2012
"0124","bosatt","personer","januar","0","bosetting_maaned",2012
"0125","bosatt","personer","januar","4","bosetting_maaned",2012
"0127","bosatt","personer","januar","6","bosetting_maaned",2012
"0128","bosatt","personer","januar","0","bosetting_maaned",2012
"0135","bosatt","personer","januar","9","bosetting_maaned",2012
"0136","bosatt","personer","januar","2","bosetting_maaned",2012
"0137","bosatt","personer","januar","0","bosetting_maaned",2012
"0138","bosatt","personer","januar","0","bosetting_maaned",2012
"0211","bosatt","personer","januar","3","bosetting_maaned",2012
"0213","bosatt","personer","januar","28","bosetting_maaned",2012
"0214","bosatt","personer","januar","0","bosetting_maaned",2012
"0215","bosatt","personer","januar","6","bosetting_maaned",2012
"0216","bosatt","personer","januar","10","bosetting_maaned",2012
"0217","bosatt","personer","januar","7","bosetting_maaned",2012
"0219","bosatt","personer","januar","34","bosetting_maaned",2012
"0220","bosatt","personer","januar","16","bosetting_maaned",2012
"0221","bosatt","personer","januar","2","bosetting_maaned",2012
"0226","bosatt","personer","januar","7","bosetting_maaned",2012
"0227","bosatt","personer","januar","3","bosetting_maaned",2012
"0228","bosatt","personer","januar","12","bosetting_maaned",2012
"0229","bosatt","personer","januar","1","bosetting_maaned",2012
"0230","bosatt","personer","januar","5","bosetting_maaned",2012
"0231","bosatt","personer","januar","18","bosetting_maaned",2012
"0233","bosatt","personer","januar","1","bosetting_maaned",2012
"0234","bosatt","personer","januar","2","bosetting_maaned",2012
"0235","bosatt","personer","januar","0","bosetting_maaned",2012
"0236","bosatt","personer","januar","14","bosetting_maaned",2012
"0237","bosatt","personer","januar","1","bosetting_maaned",2012
"0238","bosatt","personer","januar","5","bosetting_maaned",2012
"0239","bosatt","personer","januar","0","bosetting_maaned",2012
"0301","bosatt","personer","januar","336","bosetting_maaned",2012
"0402","bosatt","personer","januar","4","bosetting_maaned",2012
"0403","bosatt","personer","januar","27","bosetting_maaned",2012
"0412","bosatt","personer","januar","2","bosetting_maaned",2012
"0415","bosatt","personer","januar","7","bosetting_maaned",2012
"0417","bosatt","personer","januar","12","bosetting_maaned",2012
"0418","bosatt","personer","januar","0","bosetting_maaned",2012
"0419","bosatt","personer","januar","6","bosetting_maaned",2012
"0420","bosatt","personer","januar","0","bosetting_maaned",2012
"0423","bosatt","personer","januar","1","bosetting_maaned",2012
"0425","bosatt","personer","januar","14","bosetting_maaned",2012
