"tabell_navn","aar","bydel_nr","kjonn","innvkat_5","enhet","tabellvariabel"
"grunnskolepoeng","2015","030102","0","alle","personer","87"
"grunnskolepoeng","2015","030102","0","bef_u_innv_og_norskf","grunnskolepoeng","42,2"
"grunnskolepoeng","2015","030102","0","bef_u_innv_og_norskf","personer","53"
"grunnskolepoeng","2015","030102","0","befolkningen_ellers","grunnskolepoeng","41,8"
"grunnskolepoeng","2015","030102","0","befolkningen_ellers","personer","69"
"grunnskolepoeng","2015","030102","0","innvandrere","grunnskolepoeng","32"
"grunnskolepoeng","2015","030102","0","innvandrere","personer","18"
"grunnskolepoeng","2015","030102","0","norskfodte_m_innvf","grunnskolepoeng","40,2"
"grunnskolepoeng","2015","030102","0","norskfodte_m_innvf","personer","16"
"grunnskolepoeng","2015","030103","alle","alle","grunnskolepoeng","39"
"grunnskolepoeng","2015","030103","alle","alle","personer","120"
"grunnskolepoeng","2015","030103","alle","bef_u_innv_og_norskf","grunnskolepoeng","43,4"
"grunnskolepoeng","2015","030103","alle","bef_u_innv_og_norskf","personer","70"
"grunnskolepoeng","2015","030103","alle","befolkningen_ellers","grunnskolepoeng","41,8"
"grunnskolepoeng","2015","030103","alle","befolkningen_ellers","personer","92"
"grunnskolepoeng","2015","030103","alle","innvandrere","grunnskolepoeng","30"
"grunnskolepoeng","2015","030103","alle","innvandrere","personer","28"
"grunnskolepoeng","2015","030103","alle","norskfodte_m_innvf","grunnskolepoeng","36,4"
"grunnskolepoeng","2015","030103","alle","norskfodte_m_innvf","personer","22"
"grunnskolepoeng","2015","030103","1","alle","grunnskolepoeng","38,2"
"grunnskolepoeng","2015","030103","1","alle","personer","73"
"grunnskolepoeng","2015","030103","1","bef_u_innv_og_norskf","grunnskolepoeng","41,8"
"grunnskolepoeng","2015","030103","1","bef_u_innv_og_norskf","personer","44"
"grunnskolepoeng","2015","030103","1","befolkningen_ellers","grunnskolepoeng","40,8"
"grunnskolepoeng","2015","030103","1","befolkningen_ellers","personer","56"
"grunnskolepoeng","2015","030103","1","innvandrere","grunnskolepoeng","29,8"
"grunnskolepoeng","2015","030103","1","innvandrere","personer","17"
"grunnskolepoeng","2015","030103","1","norskfodte_m_innvf","grunnskolepoeng","37"
"grunnskolepoeng","2015","030103","1","norskfodte_m_innvf","personer","12"
"grunnskolepoeng","2015","030103","0","alle","grunnskolepoeng","40,4"
"grunnskolepoeng","2015","030103","0","alle","personer","47"
"grunnskolepoeng","2015","030103","0","bef_u_innv_og_norskf","grunnskolepoeng","46,2"
"grunnskolepoeng","2015","030103","0","bef_u_innv_og_norskf","personer","26"
"grunnskolepoeng","2015","030103","0","befolkningen_ellers","grunnskolepoeng","43,2"
"grunnskolepoeng","2015","030103","0","befolkningen_ellers","personer","36"
"grunnskolepoeng","2015","030103","0","innvandrere","grunnskolepoeng","30,6"
"grunnskolepoeng","2015","030103","0","innvandrere","personer","11"
"grunnskolepoeng","2015","030103","0","norskfodte_m_innvf","grunnskolepoeng","35,6"
"grunnskolepoeng","2015","030103","0","norskfodte_m_innvf","personer","10"
"grunnskolepoeng","2015","030104","alle","alle","grunnskolepoeng","41,6"
"grunnskolepoeng","2015","030104","alle","alle","personer","140"
"grunnskolepoeng","2015","030104","alle","bef_u_innv_og_norskf","grunnskolepoeng","44"
"grunnskolepoeng","2015","030104","alle","bef_u_innv_og_norskf","personer","105"
"grunnskolepoeng","2015","030104","alle","befolkningen_ellers","grunnskolepoeng","43,4"
"grunnskolepoeng","2015","030104","alle","befolkningen_ellers","personer","117"
"grunnskolepoeng","2015","030104","alle","innvandrere","grunnskolepoeng","31,6"
"grunnskolepoeng","2015","030104","alle","innvandrere","personer","23"
"grunnskolepoeng","2015","030104","alle","norskfodte_m_innvf","grunnskolepoeng","39"
"grunnskolepoeng","2015","030104","alle","norskfodte_m_innvf","personer","12"
"grunnskolepoeng","2015","030104","1","alle","grunnskolepoeng","40,2"
"grunnskolepoeng","2015","030104","1","alle","personer","69"
"grunnskolepoeng","2015","030104","1","bef_u_innv_og_norskf","grunnskolepoeng","42,2"
"grunnskolepoeng","2015","030104","1","bef_u_innv_og_norskf","personer","51"
"grunnskolepoeng","2015","030104","1","befolkningen_ellers","grunnskolepoeng","42"
"grunnskolepoeng","2015","030104","1","befolkningen_ellers","personer","58"
"grunnskolepoeng","2015","030104","1","innvandrere","grunnskolepoeng","30,8"
"grunnskolepoeng","2015","030104","1","innvandrere","personer","11"
"grunnskolepoeng","2015","030104","1","norskfodte_m_innvf","grunnskolepoeng","40,6"
"grunnskolepoeng","2015","030104","1","norskfodte_m_innvf","personer","7"
"grunnskolepoeng","2015","030104","0","alle","grunnskolepoeng","42,8"
"grunnskolepoeng","2015","030104","0","alle","personer","71"
"grunnskolepoeng","2015","030104","0","bef_u_innv_og_norskf","grunnskolepoeng","45,6"
"grunnskolepoeng","2015","030104","0","bef_u_innv_og_norskf","personer","54"
"grunnskolepoeng","2015","030104","0","befolkningen_ellers","grunnskolepoeng","44,8"
"grunnskolepoeng","2015","030104","0","befolkningen_ellers","personer","59"
"grunnskolepoeng","2015","030104","0","innvandrere","grunnskolepoeng","32,4"
"grunnskolepoeng","2015","030104","0","innvandrere","personer","12"
"grunnskolepoeng","2015","030104","0","norskfodte_m_innvf","grunnskolepoeng","36,8"
"grunnskolepoeng","2015","030104","0","norskfodte_m_innvf","personer","5"
"grunnskolepoeng","2015","030105","alle","alle","grunnskolepoeng","42,4"
"grunnskolepoeng","2015","030105","alle","alle","personer","218"
"grunnskolepoeng","2015","030105","alle","bef_u_innv_og_norskf","grunnskolepoeng","43"
"grunnskolepoeng","2015","030105","alle","bef_u_innv_og_norskf","personer","179"
"grunnskolepoeng","2015","030105","alle","befolkningen_ellers","grunnskolepoeng","42,8"
"grunnskolepoeng","2015","030105","alle","befolkningen_ellers","personer","195"
"grunnskolepoeng","2015","030105","alle","innvandrere","grunnskolepoeng","39,2"
"grunnskolepoeng","2015","030105","alle","innvandrere","personer","23"
"grunnskolepoeng","2015","030105","alle","norskfodte_m_innvf","grunnskolepoeng","40,6"
"grunnskolepoeng","2015","030105","alle","norskfodte_m_innvf","personer","16"
"grunnskolepoeng","2015","030105","1","alle","grunnskolepoeng","40,2"
"grunnskolepoeng","2015","030105","1","alle","personer","107"
"grunnskolepoeng","2015","030105","1","bef_u_innv_og_norskf","grunnskolepoeng","40,4"
"grunnskolepoeng","2015","030105","1","bef_u_innv_og_norskf","personer","92"
"grunnskolepoeng","2015","030105","1","befolkningen_ellers","grunnskolepoeng","40,2"
"grunnskolepoeng","2015","030105","1","befolkningen_ellers","personer","100"
"grunnskolepoeng","2015","030105","1","innvandrere","grunnskolepoeng","38,4"
"grunnskolepoeng","2015","030105","1","innvandrere","personer","7"
"grunnskolepoeng","2015","030105","1","norskfodte_m_innvf","grunnskolepoeng","37,8"
"grunnskolepoeng","2015","030105","1","norskfodte_m_innvf","personer","8"
"grunnskolepoeng","2015","030105","0","alle","grunnskolepoeng","44,6"
"grunnskolepoeng","2015","030105","0","alle","personer","111"
"grunnskolepoeng","2015","030105","0","bef_u_innv_og_norskf","grunnskolepoeng","45,6"
"grunnskolepoeng","2015","030105","0","bef_u_innv_og_norskf","personer","87"
"grunnskolepoeng","2015","030105","0","befolkningen_ellers","grunnskolepoeng","45,4"
"grunnskolepoeng","2015","030105","0","befolkningen_ellers","personer","95"
"grunnskolepoeng","2015","030105","0","innvandrere","grunnskolepoeng","39,4"
"grunnskolepoeng","2015","030105","0","innvandrere","personer","16"
"grunnskolepoeng","2015","030105","0","norskfodte_m_innvf","grunnskolepoeng","43,6"
"grunnskolepoeng","2015","030105","0","norskfodte_m_innvf","personer","8"
"grunnskolepoeng","2015","030106","alle","alle","grunnskolepoeng","45,4"
"grunnskolepoeng","2015","030106","alle","alle","personer","267"
"grunnskolepoeng","2015","030106","alle","bef_u_innv_og_norskf","grunnskolepoeng","46,2"
"grunnskolepoeng","2015","030106","alle","bef_u_innv_og_norskf","personer","245"
"grunnskolepoeng","2015","030106","alle","befolkningen_ellers","grunnskolepoeng","46"
"grunnskolepoeng","2015","030106","alle","befolkningen_ellers","personer","254"
"grunnskolepoeng","2015","030106","alle","innvandrere","grunnskolepoeng","36,8"
"grunnskolepoeng","2015","030106","alle","innvandrere","personer","13"
"grunnskolepoeng","2015","030106","alle","norskfodte_m_innvf","grunnskolepoeng","40,8"
"grunnskolepoeng","2015","030106","alle","norskfodte_m_innvf","personer","9"
"grunnskolepoeng","2015","030106","1","alle","grunnskolepoeng","44"
"grunnskolepoeng","2015","030106","1","alle","personer","145"
"grunnskolepoeng","2015","030106","1","bef_u_innv_og_norskf","grunnskolepoeng","44,4"
"grunnskolepoeng","2015","030106","1","bef_u_innv_og_norskf","personer","136"
"grunnskolepoeng","2015","030106","1","befolkningen_ellers","grunnskolepoeng","44,2"
"grunnskolepoeng","2015","030106","1","befolkningen_ellers","personer","139"
"grunnskolepoeng","2015","030106","1","innvandrere","grunnskolepoeng","37,6"
"grunnskolepoeng","2015","030106","1","innvandrere","personer","6"
"grunnskolepoeng","2015","030106","1","norskfodte_m_innvf","grunnskolepoeng","38,4"
"grunnskolepoeng","2015","030106","1","norskfodte_m_innvf","personer","3"
"grunnskolepoeng","2015","030106","0","alle","grunnskolepoeng","47,2"
"grunnskolepoeng","2015","030106","0","alle","personer","122"
"grunnskolepoeng","2015","030106","0","bef_u_innv_og_norskf","grunnskolepoeng","48,2"
"grunnskolepoeng","2015","030106","0","bef_u_innv_og_norskf","personer","109"
"grunnskolepoeng","2015","030106","0","befolkningen_ellers","grunnskolepoeng","48"
"grunnskolepoeng","2015","030106","0","befolkningen_ellers","personer","115"
"grunnskolepoeng","2015","030106","0","innvandrere","grunnskolepoeng","36,2"
"grunnskolepoeng","2015","030106","0","innvandrere","personer","7"
"grunnskolepoeng","2015","030106","0","norskfodte_m_innvf","grunnskolepoeng","41,8"
"grunnskolepoeng","2015","030106","0","norskfodte_m_innvf","personer","6"
"grunnskolepoeng","2015","030107","alle","alle","grunnskolepoeng","44,4"
"grunnskolepoeng","2015","030107","alle","alle","personer","471"
"grunnskolepoeng","2015","030107","alle","bef_u_innv_og_norskf","grunnskolepoeng","45"
"grunnskolepoeng","2015","030107","alle","bef_u_innv_og_norskf","personer","428"
"grunnskolepoeng","2015","030107","alle","befolkningen_ellers","grunnskolepoeng","44,8"
"grunnskolepoeng","2015","030107","alle","befolkningen_ellers","personer","454"
"grunnskolepoeng","2015","030107","alle","innvandrere","grunnskolepoeng","36,4"
"grunnskolepoeng","2015","030107","alle","innvandrere","personer","17"
"grunnskolepoeng","2015","030107","alle","norskfodte_m_innvf","grunnskolepoeng","40"
"grunnskolepoeng","2015","030107","alle","norskfodte_m_innvf","personer","26"
"grunnskolepoeng","2015","030107","1","alle","grunnskolepoeng","43,4"
"grunnskolepoeng","2015","030107","1","alle","personer","234"
"grunnskolepoeng","2015","030107","1","bef_u_innv_og_norskf","grunnskolepoeng","43,8"
"grunnskolepoeng","2015","030107","1","bef_u_innv_og_norskf","personer","214"
"grunnskolepoeng","2015","030107","1","befolkningen_ellers","grunnskolepoeng","43,6"
"grunnskolepoeng","2015","030107","1","befolkningen_ellers","personer","224"
"grunnskolepoeng","2015","030107","1","innvandrere","grunnskolepoeng","37,6"
"grunnskolepoeng","2015","030107","1","innvandrere","personer","10"
"grunnskolepoeng","2015","030107","1","norskfodte_m_innvf","grunnskolepoeng","38,6"
"grunnskolepoeng","2015","030107","1","norskfodte_m_innvf","personer","10"
"grunnskolepoeng","2015","030107","0","alle","grunnskolepoeng","45,4"
"grunnskolepoeng","2015","030107","0","alle","personer","237"
"grunnskolepoeng","2015","030107","0","bef_u_innv_og_norskf","grunnskolepoeng","46,2"
"grunnskolepoeng","2015","030107","0","bef_u_innv_og_norskf","personer","214"
"grunnskolepoeng","2015","030107","0","befolkningen_ellers","grunnskolepoeng","45,8"
"grunnskolepoeng","2015","030107","0","befolkningen_ellers","personer","230"
"grunnskolepoeng","2015","030107","0","innvandrere","grunnskolepoeng","34,4"
"grunnskolepoeng","2015","030107","0","innvandrere","personer","7"
"grunnskolepoeng","2015","030107","0","norskfodte_m_innvf","grunnskolepoeng","40,8"
"grunnskolepoeng","2015","030107","0","norskfodte_m_innvf","personer","16"
"grunnskolepoeng","2015","030108","alle","alle","grunnskolepoeng","45,4"
"grunnskolepoeng","2015","030108","alle","alle","personer","506"
"grunnskolepoeng","2015","030108","alle","bef_u_innv_og_norskf","grunnskolepoeng","45,8"
"grunnskolepoeng","2015","030108","alle","bef_u_innv_og_norskf","personer","472"
"grunnskolepoeng","2015","030108","alle","befolkningen_ellers","grunnskolepoeng","45,8"
"grunnskolepoeng","2015","030108","alle","befolkningen_ellers","personer","491"
"grunnskolepoeng","2015","030108","alle","innvandrere","grunnskolepoeng","35,6"
"grunnskolepoeng","2015","030108","alle","innvandrere","personer","15"
"grunnskolepoeng","2015","030108","alle","norskfodte_m_innvf","grunnskolepoeng","43,8"
"grunnskolepoeng","2015","030108","alle","norskfodte_m_innvf","personer","19"
"grunnskolepoeng","2015","030108","1","alle","grunnskolepoeng","43,4"
"grunnskolepoeng","2015","030108","1","alle","personer","270"
"grunnskolepoeng","2015","030108","1","bef_u_innv_og_norskf","grunnskolepoeng","43,8"
"grunnskolepoeng","2015","030108","1","bef_u_innv_og_norskf","personer","252"
"grunnskolepoeng","2015","030108","1","befolkningen_ellers","grunnskolepoeng","43,8"
"grunnskolepoeng","2015","030108","1","befolkningen_ellers","personer","261"
"grunnskolepoeng","2015","030108","1","innvandrere","grunnskolepoeng","33,6"
"grunnskolepoeng","2015","030108","1","innvandrere","personer","9"
"grunnskolepoeng","2015","030108","1","norskfodte_m_innvf","grunnskolepoeng","41"
"grunnskolepoeng","2015","030108","1","norskfodte_m_innvf","personer","9"
"grunnskolepoeng","2015","030108","0","alle","grunnskolepoeng","47,8"
"grunnskolepoeng","2015","030108","0","alle","personer","236"
"grunnskolepoeng","2015","030108","0","bef_u_innv_og_norskf","grunnskolepoeng","48"
"grunnskolepoeng","2015","030108","0","bef_u_innv_og_norskf","personer","220"
"grunnskolepoeng","2015","030108","0","befolkningen_ellers","grunnskolepoeng","48"
"grunnskolepoeng","2015","030108","0","befolkningen_ellers","personer","230"
"grunnskolepoeng","2015","030108","0","innvandrere","grunnskolepoeng","38,6"
"grunnskolepoeng","2015","030108","0","innvandrere","personer","6"
"grunnskolepoeng","2015","030108","0","norskfodte_m_innvf","grunnskolepoeng","46,4"
"grunnskolepoeng","2015","030108","0","norskfodte_m_innvf","personer","10"
"grunnskolepoeng","2015","030109","alle","alle","grunnskolepoeng","40,2"
"grunnskolepoeng","2015","030109","alle","alle","personer","287"
"grunnskolepoeng","2015","030109","alle","bef_u_innv_og_norskf","grunnskolepoeng","42"
"grunnskolepoeng","2015","030109","alle","bef_u_innv_og_norskf","personer","131"
"grunnskolepoeng","2015","030109","alle","befolkningen_ellers","grunnskolepoeng","41,2"
"grunnskolepoeng","2015","030109","alle","befolkningen_ellers","personer","232"
"grunnskolepoeng","2015","030109","alle","innvandrere","grunnskolepoeng","36,4"
"grunnskolepoeng","2015","030109","alle","innvandrere","personer","55"
"grunnskolepoeng","2015","030109","alle","norskfodte_m_innvf","grunnskolepoeng","40,2"
"grunnskolepoeng","2015","030109","alle","norskfodte_m_innvf","personer","101"
"grunnskolepoeng","2015","030109","1","alle","grunnskolepoeng","39,2"
"grunnskolepoeng","2015","030109","1","alle","personer","155"
"grunnskolepoeng","2015","030109","1","bef_u_innv_og_norskf","grunnskolepoeng","40,4"
"grunnskolepoeng","2015","030109","1","bef_u_innv_og_norskf","personer","76"
"grunnskolepoeng","2015","030109","1","befolkningen_ellers","grunnskolepoeng","39,8"
"grunnskolepoeng","2015","030109","1","befolkningen_ellers","personer","129"
"grunnskolepoeng","2015","030109","1","innvandrere","grunnskolepoeng","35,4"
"grunnskolepoeng","2015","030109","1","innvandrere","personer","26"
"grunnskolepoeng","2015","030109","1","norskfodte_m_innvf","grunnskolepoeng","39"
"grunnskolepoeng","2015","030109","1","norskfodte_m_innvf","personer","53"
"grunnskolepoeng","2015","030109","0","alle","grunnskolepoeng","41,6"
"grunnskolepoeng","2015","030109","0","alle","personer","132"
"grunnskolepoeng","2015","030109","0","bef_u_innv_og_norskf","grunnskolepoeng","44,2"
"grunnskolepoeng","2015","030109","0","bef_u_innv_og_norskf","personer","55"
"grunnskolepoeng","2015","030109","0","befolkningen_ellers","grunnskolepoeng","42,8"
"grunnskolepoeng","2015","030109","0","befolkningen_ellers","personer","103"
"grunnskolepoeng","2015","030109","0","innvandrere","grunnskolepoeng","37,2"
"grunnskolepoeng","2015","030109","0","innvandrere","personer","29"
"grunnskolepoeng","2015","030109","0","norskfodte_m_innvf","grunnskolepoeng","41,2"
"grunnskolepoeng","2015","030109","0","norskfodte_m_innvf","personer","48"
"grunnskolepoeng","2015","030110","alle","alle","grunnskolepoeng","38,8"
"grunnskolepoeng","2015","030110","alle","alle","personer","310"
"grunnskolepoeng","2015","030110","alle","bef_u_innv_og_norskf","grunnskolepoeng","41,2"
"grunnskolepoeng","2015","030110","alle","bef_u_innv_og_norskf","personer","128"
"grunnskolepoeng","2015","030110","alle","befolkningen_ellers","grunnskolepoeng","39,6"
"grunnskolepoeng","2015","030110","alle","befolkningen_ellers","personer","259"
"grunnskolepoeng","2015","030110","alle","innvandrere","grunnskolepoeng","34,2"
"grunnskolepoeng","2015","030110","alle","innvandrere","personer","51"
"grunnskolepoeng","2015","030110","alle","norskfodte_m_innvf","grunnskolepoeng","38,2"
"grunnskolepoeng","2015","030110","alle","norskfodte_m_innvf","personer","131"
"grunnskolepoeng","2015","030110","1","alle","grunnskolepoeng","36,8"
"grunnskolepoeng","2015","030110","1","alle","personer","165"
"grunnskolepoeng","2015","030110","1","bef_u_innv_og_norskf","grunnskolepoeng","39,4"
"grunnskolepoeng","2015","030110","1","bef_u_innv_og_norskf","personer","64"
"grunnskolepoeng","2015","030110","1","befolkningen_ellers","grunnskolepoeng","37,8"
"grunnskolepoeng","2015","030110","1","befolkningen_ellers","personer","133"
"grunnskolepoeng","2015","030110","1","innvandrere","grunnskolepoeng","32,2"
"grunnskolepoeng","2015","030110","1","innvandrere","personer","32"
"grunnskolepoeng","2015","030110","1","norskfodte_m_innvf","grunnskolepoeng","36,4"
"grunnskolepoeng","2015","030110","1","norskfodte_m_innvf","personer","69"
"grunnskolepoeng","2015","030110","0","alle","grunnskolepoeng","41"
"grunnskolepoeng","2015","030110","0","alle","personer","145"
"grunnskolepoeng","2015","030110","0","bef_u_innv_og_norskf","grunnskolepoeng","42,8"
"grunnskolepoeng","2015","030110","0","bef_u_innv_og_norskf","personer","64"
"grunnskolepoeng","2015","030110","0","befolkningen_ellers","grunnskolepoeng","41,6"
"grunnskolepoeng","2015","030110","0","befolkningen_ellers","personer","126"
"grunnskolepoeng","2015","030110","0","innvandrere","grunnskolepoeng","37,2"
"grunnskolepoeng","2015","030110","0","innvandrere","personer","19"
"grunnskolepoeng","2015","030110","0","norskfodte_m_innvf","grunnskolepoeng","40,2"
"grunnskolepoeng","2015","030110","0","norskfodte_m_innvf","personer","62"
"grunnskolepoeng","2015","030111","alle","alle","grunnskolepoeng","38,8"
"grunnskolepoeng","2015","030111","alle","alle","personer","432"
"grunnskolepoeng","2015","030111","alle","bef_u_innv_og_norskf","grunnskolepoeng","41,2"
"grunnskolepoeng","2015","030111","alle","bef_u_innv_og_norskf","personer","166"
"grunnskolepoeng","2015","030111","alle","befolkningen_ellers","grunnskolepoeng","39,6"
"grunnskolepoeng","2015","030111","alle","befolkningen_ellers","personer","358"
"grunnskolepoeng","2015","030111","alle","innvandrere","grunnskolepoeng","35"
"grunnskolepoeng","2015","030111","alle","innvandrere","personer","74"
"grunnskolepoeng","2015","030111","alle","norskfodte_m_innvf","grunnskolepoeng","38,2"
"grunnskolepoeng","2015","030111","alle","norskfodte_m_innvf","personer","192"
"grunnskolepoeng","2015","030111","1","alle","grunnskolepoeng","36,4"
"grunnskolepoeng","2015","030111","1","alle","personer","224"
"grunnskolepoeng","2015","030111","1","bef_u_innv_og_norskf","grunnskolepoeng","39,2"
"grunnskolepoeng","2015","030111","1","bef_u_innv_og_norskf","personer","88"
"grunnskolepoeng","2015","030111","1","befolkningen_ellers","grunnskolepoeng","37,4"
"grunnskolepoeng","2015","030111","1","befolkningen_ellers","personer","183"
"grunnskolepoeng","2015","030111","1","innvandrere","grunnskolepoeng","32"
"grunnskolepoeng","2015","030111","1","innvandrere","personer","41"
"grunnskolepoeng","2015","030111","1","norskfodte_m_innvf","grunnskolepoeng","35,8"
"grunnskolepoeng","2015","030111","1","norskfodte_m_innvf","personer","95"
"grunnskolepoeng","2015","030111","0","alle","grunnskolepoeng","41,2"
"grunnskolepoeng","2015","030111","0","alle","personer","208"
"grunnskolepoeng","2015","030111","0","bef_u_innv_og_norskf","grunnskolepoeng","43,4"
"grunnskolepoeng","2015","030111","0","bef_u_innv_og_norskf","personer","78"
"grunnskolepoeng","2015","030111","0","befolkningen_ellers","grunnskolepoeng","41,8"
"grunnskolepoeng","2015","030111","0","befolkningen_ellers","personer","175"
"grunnskolepoeng","2015","030111","0","innvandrere","grunnskolepoeng","38,8"
"grunnskolepoeng","2015","030111","0","innvandrere","personer","33"
"grunnskolepoeng","2015","030111","0","norskfodte_m_innvf","grunnskolepoeng","40,2"
"grunnskolepoeng","2015","030111","0","norskfodte_m_innvf","personer","97"
"grunnskolepoeng","2015","030112","alle","alle","grunnskolepoeng","38,4"
"grunnskolepoeng","2015","030112","alle","alle","personer","539"
"grunnskolepoeng","2015","030112","alle","bef_u_innv_og_norskf","grunnskolepoeng","40,4"
"grunnskolepoeng","2015","030112","alle","bef_u_innv_og_norskf","personer","191"
"grunnskolepoeng","2015","030112","alle","befolkningen_ellers","grunnskolepoeng","39,2"
"grunnskolepoeng","2015","030112","alle","befolkningen_ellers","personer","446"
"grunnskolepoeng","2015","030112","alle","innvandrere","grunnskolepoeng","34,8"
"grunnskolepoeng","2015","030112","alle","innvandrere","personer","93"
"grunnskolepoeng","2015","030112","alle","norskfodte_m_innvf","grunnskolepoeng","38,4"
"grunnskolepoeng","2015","030112","alle","norskfodte_m_innvf","personer","255"
"grunnskolepoeng","2015","030112","1","alle","grunnskolepoeng","36,4"
"grunnskolepoeng","2015","030112","1","alle","personer","278"
"grunnskolepoeng","2015","030112","1","bef_u_innv_og_norskf","grunnskolepoeng","38,4"
"grunnskolepoeng","2015","030112","1","bef_u_innv_og_norskf","personer","101"
"grunnskolepoeng","2015","030112","1","befolkningen_ellers","grunnskolepoeng","37,2"
"grunnskolepoeng","2015","030112","1","befolkningen_ellers","personer","232"
"grunnskolepoeng","2015","030112","1","innvandrere","grunnskolepoeng","33"
"grunnskolepoeng","2015","030112","1","innvandrere","personer","46"
"grunnskolepoeng","2015","030112","1","norskfodte_m_innvf","grunnskolepoeng","36,2"
"grunnskolepoeng","2015","030112","1","norskfodte_m_innvf","personer","131"
"grunnskolepoeng","2015","030112","0","alle","grunnskolepoeng","40,6"
"grunnskolepoeng","2015","030112","0","alle","personer","261"
"grunnskolepoeng","2015","030112","0","bef_u_innv_og_norskf","grunnskolepoeng","42,6"
"grunnskolepoeng","2015","030112","0","bef_u_innv_og_norskf","personer","90"
"grunnskolepoeng","2015","030112","0","befolkningen_ellers","grunnskolepoeng","41,4"
"grunnskolepoeng","2015","030112","0","befolkningen_ellers","personer","214"
"grunnskolepoeng","2015","030112","0","innvandrere","grunnskolepoeng","36,6"
"grunnskolepoeng","2015","030112","0","innvandrere","personer","47"
"grunnskolepoeng","2015","030112","0","norskfodte_m_innvf","grunnskolepoeng","40,6"
