"fylke_nr","spraaknivaa","provetype","enhet","tabellvariabel","aar","tabell_navn"
"03","alle","lese","personer","2465",2014,"norsk_prover"
"04","alle","lese","personer","210",2014,"norsk_prover"
"05","alle","lese","personer","386",2014,"norsk_prover"
"06","alle","lese","personer","519",2014,"norsk_prover"
"07","alle","lese","personer","208",2014,"norsk_prover"
"08","alle","lese","personer","315",2014,"norsk_prover"
"09","alle","lese","personer","218",2014,"norsk_prover"
"10","alle","lese","personer","225",2014,"norsk_prover"
"11","alle","lese","personer","797",2014,"norsk_prover"
"12","alle","lese","personer","833",2014,"norsk_prover"
"14","alle","lese","personer","202",2014,"norsk_prover"
"15","alle","lese","personer","347",2014,"norsk_prover"
"16","alle","lese","personer","320",2014,"norsk_prover"
"17","alle","lese","personer","170",2014,"norsk_prover"
"18","alle","lese","personer","325",2014,"norsk_prover"
"19","alle","lese","personer","357",2014,"norsk_prover"
"20","alle","lese","personer","254",2014,"norsk_prover"
"99","alle","lese","personer","6",2014,"norsk_prover"
"00","alle","skriftlig","personer","9697",2014,"norsk_prover"
"01","alle","skriftlig","personer","334",2014,"norsk_prover"
"02","alle","skriftlig","personer","1206",2014,"norsk_prover"
"03","alle","skriftlig","personer","2464",2014,"norsk_prover"
"04","alle","skriftlig","personer","210",2014,"norsk_prover"
"05","alle","skriftlig","personer","387",2014,"norsk_prover"
"06","alle","skriftlig","personer","519",2014,"norsk_prover"
"07","alle","skriftlig","personer","204",2014,"norsk_prover"
"08","alle","skriftlig","personer","316",2014,"norsk_prover"
"09","alle","skriftlig","personer","217",2014,"norsk_prover"
"10","alle","skriftlig","personer","224",2014,"norsk_prover"
"11","alle","skriftlig","personer","797",2014,"norsk_prover"
"12","alle","skriftlig","personer","836",2014,"norsk_prover"
"14","alle","skriftlig","personer","202",2014,"norsk_prover"
"15","alle","skriftlig","personer","346",2014,"norsk_prover"
"16","alle","skriftlig","personer","320",2014,"norsk_prover"
"17","alle","skriftlig","personer","171",2014,"norsk_prover"
"18","alle","skriftlig","personer","326",2014,"norsk_prover"
"19","alle","skriftlig","personer","357",2014,"norsk_prover"
"20","alle","skriftlig","personer","254",2014,"norsk_prover"
"99","alle","skriftlig","personer","7",2014,"norsk_prover"
"00","alle","alle","prosent","100",2014,"norsk_prover"
"01","alle","alle","prosent","100",2014,"norsk_prover"
"02","alle","alle","prosent","100",2014,"norsk_prover"
"03","alle","alle","prosent","100",2014,"norsk_prover"
"04","alle","alle","prosent","100",2014,"norsk_prover"
"05","alle","alle","prosent","100",2014,"norsk_prover"
"06","alle","alle","prosent","100",2014,"norsk_prover"
"07","alle","alle","prosent","100",2014,"norsk_prover"
"08","alle","alle","prosent","100",2014,"norsk_prover"
"09","alle","alle","prosent","100",2014,"norsk_prover"
"10","alle","alle","prosent","100",2014,"norsk_prover"
"11","alle","alle","prosent","100",2014,"norsk_prover"
"12","alle","alle","prosent","100",2014,"norsk_prover"
"14","alle","alle","prosent","100",2014,"norsk_prover"
"15","alle","alle","prosent","100",2014,"norsk_prover"
"16","alle","alle","prosent","100",2014,"norsk_prover"
"17","alle","alle","prosent","100",2014,"norsk_prover"
"18","alle","alle","prosent","100",2014,"norsk_prover"
"19","alle","alle","prosent","100",2014,"norsk_prover"
"20","alle","alle","prosent","100",2014,"norsk_prover"
"99","alle","alle","prosent","100",2014,"norsk_prover"
"00","alle","muntlig","prosent","100",2014,"norsk_prover"
"01","alle","muntlig","prosent","100",2014,"norsk_prover"
"02","alle","muntlig","prosent","100",2014,"norsk_prover"
"03","alle","muntlig","prosent","100",2014,"norsk_prover"
"04","alle","muntlig","prosent","100",2014,"norsk_prover"
"05","alle","muntlig","prosent","100",2014,"norsk_prover"
"06","alle","muntlig","prosent","100",2014,"norsk_prover"
"07","alle","muntlig","prosent","100",2014,"norsk_prover"
"08","alle","muntlig","prosent","100",2014,"norsk_prover"
"09","alle","muntlig","prosent","100",2014,"norsk_prover"
"10","alle","muntlig","prosent","100",2014,"norsk_prover"
"11","alle","muntlig","prosent","100",2014,"norsk_prover"
"12","alle","muntlig","prosent","100",2014,"norsk_prover"
"14","alle","muntlig","prosent","100",2014,"norsk_prover"
"15","alle","muntlig","prosent","100",2014,"norsk_prover"
"16","alle","muntlig","prosent","100",2014,"norsk_prover"
"17","alle","muntlig","prosent","100",2014,"norsk_prover"
"18","alle","muntlig","prosent","100",2014,"norsk_prover"
"19","alle","muntlig","prosent","100",2014,"norsk_prover"
"20","alle","muntlig","prosent","100",2014,"norsk_prover"
"99","alle","muntlig","prosent","100",2014,"norsk_prover"
"00","alle","lytting","prosent","100",2014,"norsk_prover"
"01","alle","lytting","prosent","100",2014,"norsk_prover"
"02","alle","lytting","prosent","100",2014,"norsk_prover"
"03","alle","lytting","prosent","100",2014,"norsk_prover"
"04","alle","lytting","prosent","100",2014,"norsk_prover"
"05","alle","lytting","prosent","100",2014,"norsk_prover"
"06","alle","lytting","prosent","100",2014,"norsk_prover"
"07","alle","lytting","prosent","100",2014,"norsk_prover"
"08","alle","lytting","prosent","100",2014,"norsk_prover"
"09","alle","lytting","prosent","100",2014,"norsk_prover"
"10","alle","lytting","prosent","100",2014,"norsk_prover"
"11","alle","lytting","prosent","100",2014,"norsk_prover"
"12","alle","lytting","prosent","100",2014,"norsk_prover"
"14","alle","lytting","prosent","100",2014,"norsk_prover"
"15","alle","lytting","prosent","100",2014,"norsk_prover"
"16","alle","lytting","prosent","100",2014,"norsk_prover"
"17","alle","lytting","prosent","100",2014,"norsk_prover"
"18","alle","lytting","prosent","100",2014,"norsk_prover"
"19","alle","lytting","prosent","100",2014,"norsk_prover"
"20","alle","lytting","prosent","100",2014,"norsk_prover"
"99","alle","lytting","prosent","100",2014,"norsk_prover"
"00","alle","lese","prosent","100",2014,"norsk_prover"
"01","alle","lese","prosent","100",2014,"norsk_prover"
"02","alle","lese","prosent","100",2014,"norsk_prover"
"03","alle","lese","prosent","100",2014,"norsk_prover"
"04","alle","lese","prosent","100",2014,"norsk_prover"
"05","alle","lese","prosent","100",2014,"norsk_prover"
"06","alle","lese","prosent","100",2014,"norsk_prover"
"07","alle","lese","prosent","100",2014,"norsk_prover"
"08","alle","lese","prosent","100",2014,"norsk_prover"
"09","alle","lese","prosent","100",2014,"norsk_prover"
"10","alle","lese","prosent","100",2014,"norsk_prover"
"11","alle","lese","prosent","100",2014,"norsk_prover"
"12","alle","lese","prosent","100",2014,"norsk_prover"
"14","alle","lese","prosent","100",2014,"norsk_prover"
"15","alle","lese","prosent","100",2014,"norsk_prover"
"16","alle","lese","prosent","100",2014,"norsk_prover"
"17","alle","lese","prosent","100",2014,"norsk_prover"
"18","alle","lese","prosent","100",2014,"norsk_prover"
"19","alle","lese","prosent","100",2014,"norsk_prover"
"20","alle","lese","prosent","100",2014,"norsk_prover"
"99","alle","lese","prosent","100",2014,"norsk_prover"
"00","alle","skriftlig","prosent","100",2014,"norsk_prover"
"01","alle","skriftlig","prosent","100",2014,"norsk_prover"
"02","alle","skriftlig","prosent","100",2014,"norsk_prover"
"03","alle","skriftlig","prosent","100",2014,"norsk_prover"
"04","alle","skriftlig","prosent","100",2014,"norsk_prover"
"05","alle","skriftlig","prosent","100",2014,"norsk_prover"
"06","alle","skriftlig","prosent","100",2014,"norsk_prover"
"07","alle","skriftlig","prosent","100",2014,"norsk_prover"
"08","alle","skriftlig","prosent","100",2014,"norsk_prover"
"09","alle","skriftlig","prosent","100",2014,"norsk_prover"
"10","alle","skriftlig","prosent","100",2014,"norsk_prover"
"11","alle","skriftlig","prosent","100",2014,"norsk_prover"
"12","alle","skriftlig","prosent","100",2014,"norsk_prover"
"14","alle","skriftlig","prosent","100",2014,"norsk_prover"
"15","alle","skriftlig","prosent","100",2014,"norsk_prover"
"16","alle","skriftlig","prosent","100",2014,"norsk_prover"
"17","alle","skriftlig","prosent","100",2014,"norsk_prover"
"18","alle","skriftlig","prosent","100",2014,"norsk_prover"
"19","alle","skriftlig","prosent","100",2014,"norsk_prover"
"20","alle","skriftlig","prosent","100",2014,"norsk_prover"
"99","alle","skriftlig","prosent","100",2014,"norsk_prover"
"00","b1","alle","prosent","44",2014,"norsk_prover"
"01","b1","alle","prosent","43",2014,"norsk_prover"
"02","b1","alle","prosent","49",2014,"norsk_prover"
"03","b1","alle","prosent","49",2014,"norsk_prover"
"04","b1","alle","prosent","36",2014,"norsk_prover"
"05","b1","alle","prosent","39",2014,"norsk_prover"
"06","b1","alle","prosent","47",2014,"norsk_prover"
"07","b1","alle","prosent","53",2014,"norsk_prover"
"08","b1","alle","prosent","32",2014,"norsk_prover"
"09","b1","alle","prosent","40",2014,"norsk_prover"
"10","b1","alle","prosent","48",2014,"norsk_prover"
"11","b1","alle","prosent","44",2014,"norsk_prover"
"12","b1","alle","prosent","39",2014,"norsk_prover"
"14","b1","alle","prosent","41",2014,"norsk_prover"
"15","b1","alle","prosent","47",2014,"norsk_prover"
"16","b1","alle","prosent","38",2014,"norsk_prover"
"17","b1","alle","prosent","40",2014,"norsk_prover"
"18","b1","alle","prosent","34",2014,"norsk_prover"
"19","b1","alle","prosent","30",2014,"norsk_prover"
"20","b1","alle","prosent","34",2014,"norsk_prover"
"99","b1","alle","prosent",".",2014,"norsk_prover"
"00","b1","muntlig","prosent","35",2014,"norsk_prover"
"01","b1","muntlig","prosent","42",2014,"norsk_prover"
"02","b1","muntlig","prosent","44",2014,"norsk_prover"
"03","b1","muntlig","prosent","40",2014,"norsk_prover"
"04","b1","muntlig","prosent","34",2014,"norsk_prover"
"05","b1","muntlig","prosent","35",2014,"norsk_prover"
"06","b1","muntlig","prosent","35",2014,"norsk_prover"
"07","b1","muntlig","prosent","40",2014,"norsk_prover"
"08","b1","muntlig","prosent","22",2014,"norsk_prover"
"09","b1","muntlig","prosent","31",2014,"norsk_prover"
"10","b1","muntlig","prosent","44",2014,"norsk_prover"
"11","b1","muntlig","prosent","36",2014,"norsk_prover"
"12","b1","muntlig","prosent","26",2014,"norsk_prover"
"14","b1","muntlig","prosent","34",2014,"norsk_prover"
"15","b1","muntlig","prosent","36",2014,"norsk_prover"
"16","b1","muntlig","prosent","28",2014,"norsk_prover"
"17","b1","muntlig","prosent","40",2014,"norsk_prover"
"18","b1","muntlig","prosent","24",2014,"norsk_prover"
"19","b1","muntlig","prosent","21",2014,"norsk_prover"
"20","b1","muntlig","prosent","27",2014,"norsk_prover"
"99","b1","muntlig","prosent",".",2014,"norsk_prover"
"00","b1","lytting","prosent","56",2014,"norsk_prover"
"01","b1","lytting","prosent","55",2014,"norsk_prover"
"02","b1","lytting","prosent","62",2014,"norsk_prover"
"03","b1","lytting","prosent","61",2014,"norsk_prover"
"04","b1","lytting","prosent","46",2014,"norsk_prover"
"05","b1","lytting","prosent","49",2014,"norsk_prover"
"06","b1","lytting","prosent","60",2014,"norsk_prover"
"07","b1","lytting","prosent","70",2014,"norsk_prover"
"08","b1","lytting","prosent","45",2014,"norsk_prover"
"09","b1","lytting","prosent","56",2014,"norsk_prover"
"10","b1","lytting","prosent","61",2014,"norsk_prover"
"11","b1","lytting","prosent","52",2014,"norsk_prover"
"12","b1","lytting","prosent","51",2014,"norsk_prover"
"14","b1","lytting","prosent","54",2014,"norsk_prover"
"15","b1","lytting","prosent","60",2014,"norsk_prover"
"16","b1","lytting","prosent","51",2014,"norsk_prover"
"17","b1","lytting","prosent","48",2014,"norsk_prover"
"18","b1","lytting","prosent","48",2014,"norsk_prover"
"19","b1","lytting","prosent","47",2014,"norsk_prover"
"20","b1","lytting","prosent","45",2014,"norsk_prover"
"99","b1","lytting","prosent",".",2014,"norsk_prover"
"00","b1","lese","prosent","62",2014,"norsk_prover"
"01","b1","lese","prosent","55",2014,"norsk_prover"
"02","b1","lese","prosent","68",2014,"norsk_prover"
"03","b1","lese","prosent","69",2014,"norsk_prover"
"04","b1","lese","prosent","52",2014,"norsk_prover"
"05","b1","lese","prosent","53",2014,"norsk_prover"
"06","b1","lese","prosent","65",2014,"norsk_prover"
"07","b1","lese","prosent","73",2014,"norsk_prover"
"08","b1","lese","prosent","50",2014,"norsk_prover"
"09","b1","lese","prosent","57",2014,"norsk_prover"
"10","b1","lese","prosent","64",2014,"norsk_prover"
"11","b1","lese","prosent","65",2014,"norsk_prover"
"12","b1","lese","prosent","62",2014,"norsk_prover"
"14","b1","lese","prosent","60",2014,"norsk_prover"
"15","b1","lese","prosent","65",2014,"norsk_prover"
"16","b1","lese","prosent","58",2014,"norsk_prover"
"17","b1","lese","prosent","55",2014,"norsk_prover"
"18","b1","lese","prosent","49",2014,"norsk_prover"
"19","b1","lese","prosent","42",2014,"norsk_prover"
"20","b1","lese","prosent","52",2014,"norsk_prover"
"99","b1","lese","prosent",".",2014,"norsk_prover"
"00","b1","skriftlig","prosent","20",2014,"norsk_prover"
"01","b1","skriftlig","prosent","19",2014,"norsk_prover"
"02","b1","skriftlig","prosent","23",2014,"norsk_prover"
"03","b1","skriftlig","prosent","23",2014,"norsk_prover"
"04","b1","skriftlig","prosent","13",2014,"norsk_prover"
"05","b1","skriftlig","prosent","17",2014,"norsk_prover"
"06","b1","skriftlig","prosent","28",2014,"norsk_prover"
"07","b1","skriftlig","prosent","24",2014,"norsk_prover"
"08","b1","skriftlig","prosent","12",2014,"norsk_prover"
"09","b1","skriftlig","prosent","16",2014,"norsk_prover"
"10","b1","skriftlig","prosent","23",2014,"norsk_prover"
"11","b1","skriftlig","prosent","23",2014,"norsk_prover"
"12","b1","skriftlig","prosent","17",2014,"norsk_prover"
"14","b1","skriftlig","prosent","17",2014,"norsk_prover"
"15","b1","skriftlig","prosent","23",2014,"norsk_prover"
"16","b1","skriftlig","prosent","13",2014,"norsk_prover"
"17","b1","skriftlig","prosent","15",2014,"norsk_prover"
"18","b1","skriftlig","prosent","16",2014,"norsk_prover"
"19","b1","skriftlig","prosent","10",2014,"norsk_prover"
"20","b1","skriftlig","prosent","13",2014,"norsk_prover"
"99","b1","skriftlig","prosent",".",2014,"norsk_prover"
"00","b1","alle","personer","16199",2014,"norsk_prover"
"01","b1","alle","personer","540",2014,"norsk_prover"
"02","b1","alle","personer","2269",2014,"norsk_prover"
"03","b1","alle","personer","4524",2014,"norsk_prover"
"04","b1","alle","personer","286",2014,"norsk_prover"
"05","b1","alle","personer","571",2014,"norsk_prover"
"06","b1","alle","personer","957",2014,"norsk_prover"
"07","b1","alle","personer","413",2014,"norsk_prover"
"08","b1","alle","personer","403",2014,"norsk_prover"
"09","b1","alle","personer","339",2014,"norsk_prover"
"10","b1","alle","personer","419",2014,"norsk_prover"
"11","b1","alle","personer","1358",2014,"norsk_prover"
"12","b1","alle","personer","1267",2014,"norsk_prover"
"14","b1","alle","personer","322",2014,"norsk_prover"
"15","b1","alle","personer","618",2014,"norsk_prover"
"16","b1","alle","personer","479",2014,"norsk_prover"
"17","b1","alle","personer","259",2014,"norsk_prover"
"18","b1","alle","personer","442",2014,"norsk_prover"
"19","b1","alle","personer","419",2014,"norsk_prover"
"20","b1","alle","personer","343",2014,"norsk_prover"
"99","b1","alle","personer",".",2014,"norsk_prover"
"00","b1","muntlig","personer","2818",2014,"norsk_prover"
"01","b1","muntlig","personer","109",2014,"norsk_prover"
"02","b1","muntlig","personer","426",2014,"norsk_prover"
"03","b1","muntlig","personer","753",2014,"norsk_prover"
"04","b1","muntlig","personer","54",2014,"norsk_prover"
"05","b1","muntlig","personer","111",2014,"norsk_prover"
"06","b1","muntlig","personer","164",2014,"norsk_prover"
"07","b1","muntlig","personer","67",2014,"norsk_prover"
"08","b1","muntlig","personer","65",2014,"norsk_prover"
"09","b1","muntlig","personer","58",2014,"norsk_prover"
"10","b1","muntlig","personer","86",2014,"norsk_prover"
"11","b1","muntlig","personer","243",2014,"norsk_prover"
"12","b1","muntlig","personer","185",2014,"norsk_prover"
"14","b1","muntlig","personer","58",2014,"norsk_prover"
"15","b1","muntlig","personer","104",2014,"norsk_prover"
"16","b1","muntlig","personer","88",2014,"norsk_prover"
"17","b1","muntlig","personer","57",2014,"norsk_prover"
"18","b1","muntlig","personer","74",2014,"norsk_prover"
"19","b1","muntlig","personer","64",2014,"norsk_prover"
"20","b1","muntlig","personer","63",2014,"norsk_prover"
"99","b1","muntlig","personer",":",2014,"norsk_prover"
"00","b1","lytting","personer","5429",2014,"norsk_prover"
"01","b1","lytting","personer","184",2014,"norsk_prover"
"02","b1","lytting","personer","746",2014,"norsk_prover"
"03","b1","lytting","personer","1503",2014,"norsk_prover"
"04","b1","lytting","personer","96",2014,"norsk_prover"
"05","b1","lytting","personer","189",2014,"norsk_prover"
"06","b1","lytting","personer","311",2014,"norsk_prover"
"07","b1","lytting","personer","145",2014,"norsk_prover"
"08","b1","lytting","personer","142",2014,"norsk_prover"
"09","b1","lytting","personer","122",2014,"norsk_prover"
"10","b1","lytting","personer","137",2014,"norsk_prover"
"11","b1","lytting","personer","414",2014,"norsk_prover"
"12","b1","lytting","personer","424",2014,"norsk_prover"
"14","b1","lytting","personer","109",2014,"norsk_prover"
"15","b1","lytting","personer","208",2014,"norsk_prover"
"16","b1","lytting","personer","163",2014,"norsk_prover"
"17","b1","lytting","personer","82",2014,"norsk_prover"
"18","b1","lytting","personer","157",2014,"norsk_prover"
"19","b1","lytting","personer","169",2014,"norsk_prover"
"20","b1","lytting","personer","115",2014,"norsk_prover"
"99","b1","lytting","personer",":",2014,"norsk_prover"
"00","b1","lese","personer","6013",2014,"norsk_prover"
"01","b1","lese","personer","184",2014,"norsk_prover"
"02","b1","lese","personer","820",2014,"norsk_prover"
"03","b1","lese","personer","1701",2014,"norsk_prover"
"04","b1","lese","personer","109",2014,"norsk_prover"
"05","b1","lese","personer","205",2014,"norsk_prover"
"06","b1","lese","personer","337",2014,"norsk_prover"
"07","b1","lese","personer","152",2014,"norsk_prover"
"08","b1","lese","personer","158",2014,"norsk_prover"
"09","b1","lese","personer","124",2014,"norsk_prover"
"10","b1","lese","personer","144",2014,"norsk_prover"
"11","b1","lese","personer","518",2014,"norsk_prover"
"12","b1","lese","personer","516",2014,"norsk_prover"
"14","b1","lese","personer","121",2014,"norsk_prover"
"15","b1","lese","personer","226",2014,"norsk_prover"
"16","b1","lese","personer","186",2014,"norsk_prover"
"17","b1","lese","personer","94",2014,"norsk_prover"
"18","b1","lese","personer","159",2014,"norsk_prover"
"19","b1","lese","personer","150",2014,"norsk_prover"
"20","b1","lese","personer","132",2014,"norsk_prover"
"99","b1","lese","personer",":",2014,"norsk_prover"
"00","b1","skriftlig","personer","1939",2014,"norsk_prover"
"01","b1","skriftlig","personer","63",2014,"norsk_prover"
"02","b1","skriftlig","personer","277",2014,"norsk_prover"
"03","b1","skriftlig","personer","567",2014,"norsk_prover"
"04","b1","skriftlig","personer","27",2014,"norsk_prover"
"05","b1","skriftlig","personer","66",2014,"norsk_prover"
"06","b1","skriftlig","personer","145",2014,"norsk_prover"
"07","b1","skriftlig","personer","49",2014,"norsk_prover"
"08","b1","skriftlig","personer","38",2014,"norsk_prover"
"09","b1","skriftlig","personer","35",2014,"norsk_prover"
"10","b1","skriftlig","personer","52",2014,"norsk_prover"
"11","b1","skriftlig","personer","183",2014,"norsk_prover"
"12","b1","skriftlig","personer","142",2014,"norsk_prover"
"14","b1","skriftlig","personer","34",2014,"norsk_prover"
"15","b1","skriftlig","personer","80",2014,"norsk_prover"
"16","b1","skriftlig","personer","42",2014,"norsk_prover"
"17","b1","skriftlig","personer","26",2014,"norsk_prover"
"18","b1","skriftlig","personer","52",2014,"norsk_prover"
"19","b1","skriftlig","personer","36",2014,"norsk_prover"
"20","b1","skriftlig","personer","33",2014,"norsk_prover"
"99","b1","skriftlig","personer",".",2014,"norsk_prover"
"00","a2","alle","prosent","41,3",2014,"norsk_prover"
"01","a2","alle","prosent","40,7",2014,"norsk_prover"
"02","a2","alle","prosent","38,7",2014,"norsk_prover"
"03","a2","alle","prosent","40,6",2014,"norsk_prover"
"04","a2","alle","prosent","44,5",2014,"norsk_prover"
"05","a2","alle","prosent","40,6",2014,"norsk_prover"
"06","a2","alle","prosent","40,4",2014,"norsk_prover"
"07","a2","alle","prosent","34,9",2014,"norsk_prover"
"08","a2","alle","prosent","45,5",2014,"norsk_prover"
"09","a2","alle","prosent","40,9",2014,"norsk_prover"
"10","a2","alle","prosent","36,8",2014,"norsk_prover"
"11","a2","alle","prosent","41,6",2014,"norsk_prover"
"12","a2","alle","prosent","45,9",2014,"norsk_prover"
"14","a2","alle","prosent","42,4",2014,"norsk_prover"
"15","a2","alle","prosent","40,3",2014,"norsk_prover"
"16","a2","alle","prosent","42,3",2014,"norsk_prover"
"17","a2","alle","prosent","43,2",2014,"norsk_prover"
"18","a2","alle","prosent","41,3",2014,"norsk_prover"
"19","a2","alle","prosent","46,8",2014,"norsk_prover"
"20","a2","alle","prosent","42,8",2014,"norsk_prover"
"99","a2","alle","prosent",".",2014,"norsk_prover"
"00","a2","muntlig","prosent","52",2014,"norsk_prover"
"01","a2","muntlig","prosent","51",2014,"norsk_prover"
"02","a2","muntlig","prosent","45",2014,"norsk_prover"
"03","a2","muntlig","prosent","51",2014,"norsk_prover"
"04","a2","muntlig","prosent","53",2014,"norsk_prover"
"05","a2","muntlig","prosent","49",2014,"norsk_prover"
"06","a2","muntlig","prosent","54",2014,"norsk_prover"
"07","a2","muntlig","prosent","51",2014,"norsk_prover"
"08","a2","muntlig","prosent","61",2014,"norsk_prover"
"09","a2","muntlig","prosent","57",2014,"norsk_prover"
"10","a2","muntlig","prosent","42",2014,"norsk_prover"
"11","a2","muntlig","prosent","50",2014,"norsk_prover"
"12","a2","muntlig","prosent","62",2014,"norsk_prover"
"14","a2","muntlig","prosent","51",2014,"norsk_prover"
"15","a2","muntlig","prosent","56",2014,"norsk_prover"
"16","a2","muntlig","prosent","50",2014,"norsk_prover"
"17","a2","muntlig","prosent","42",2014,"norsk_prover"
"18","a2","muntlig","prosent","58",2014,"norsk_prover"
"19","a2","muntlig","prosent","66",2014,"norsk_prover"
"20","a2","muntlig","prosent","52",2014,"norsk_prover"
"99","a2","muntlig","prosent",".",2014,"norsk_prover"
"00","a2","lytting","prosent","36",2014,"norsk_prover"
"01","a2","lytting","prosent","34",2014,"norsk_prover"
"02","a2","lytting","prosent","33",2014,"norsk_prover"
"03","a2","lytting","prosent","33",2014,"norsk_prover"
"04","a2","lytting","prosent","44",2014,"norsk_prover"
"05","a2","lytting","prosent","40",2014,"norsk_prover"
"06","a2","lytting","prosent","34",2014,"norsk_prover"
"07","a2","lytting","prosent","24",2014,"norsk_prover"
"08","a2","lytting","prosent","44",2014,"norsk_prover"
"09","a2","lytting","prosent","35",2014,"norsk_prover"
"10","a2","lytting","prosent","29",2014,"norsk_prover"
"11","a2","lytting","prosent","39",2014,"norsk_prover"
"12","a2","lytting","prosent","42",2014,"norsk_prover"
"14","a2","lytting","prosent","37",2014,"norsk_prover"
"15","a2","lytting","prosent","33",2014,"norsk_prover"
"16","a2","lytting","prosent","38",2014,"norsk_prover"
"17","a2","lytting","prosent","43",2014,"norsk_prover"
"18","a2","lytting","prosent","36",2014,"norsk_prover"
"19","a2","lytting","prosent","41",2014,"norsk_prover"
"20","a2","lytting","prosent","42",2014,"norsk_prover"
"99","a2","lytting","prosent",".",2014,"norsk_prover"
"00","a2","lese","prosent","24",2014,"norsk_prover"
"01","a2","lese","prosent","28",2014,"norsk_prover"
"02","a2","lese","prosent","22",2014,"norsk_prover"
"03","a2","lese","prosent","22",2014,"norsk_prover"
"04","a2","lese","prosent","32",2014,"norsk_prover"
"05","a2","lese","prosent","27",2014,"norsk_prover"
"06","a2","lese","prosent","23",2014,"norsk_prover"
"07","a2","lese","prosent","14",2014,"norsk_prover"
"08","a2","lese","prosent","28",2014,"norsk_prover"
"09","a2","lese","prosent","24",2014,"norsk_prover"
"10","a2","lese","prosent","22",2014,"norsk_prover"
"11","a2","lese","prosent","23",2014,"norsk_prover"
"12","a2","lese","prosent","26",2014,"norsk_prover"
"14","a2","lese","prosent","24",2014,"norsk_prover"
"15","a2","lese","prosent","22",2014,"norsk_prover"
"16","a2","lese","prosent","28",2014,"norsk_prover"
