"aar","bydel_nr","innvgrunn_6","kjonn","tabellvariabel","tabell_navn","enhet"
"2007","030106","annet","1","0","sysselsatte_innvandringsgrunn","personer"
"2007","030113","annet","alle","0","sysselsatte_innvandringsgrunn","personer"
"2007","030115","annet","0","0","sysselsatte_innvandringsgrunn","personer"
"2007","030115","annet","1","0","sysselsatte_innvandringsgrunn","personer"
"2007","030116","annet","1","0","sysselsatte_innvandringsgrunn","personer"
"2007","030117","annet","0","0","sysselsatte_innvandringsgrunn","personer"
"2008","030101","annet","1","0","sysselsatte_innvandringsgrunn","personer"
"2008","030110","annet","1","0","sysselsatte_innvandringsgrunn","personer"
"2008","030111","annet","0","0","sysselsatte_innvandringsgrunn","personer"
"2008","030112","annet","1","0","sysselsatte_innvandringsgrunn","personer"
"2008","030113","annet","1","0","sysselsatte_innvandringsgrunn","personer"
"2008","030115","annet","0","0","sysselsatte_innvandringsgrunn","personer"
"2008","030115","annet","1","0","sysselsatte_innvandringsgrunn","personer"
"2008","030116","annet","1","0","sysselsatte_innvandringsgrunn","personer"
"2008","030116","annet","alle","0","sysselsatte_innvandringsgrunn","personer"
"2008","030199","annet","0","0","sysselsatte_innvandringsgrunn","personer"
"2008","030199","annet","alle","0","sysselsatte_innvandringsgrunn","personer"
"2009","030101","annet","1","0","sysselsatte_innvandringsgrunn","personer"
"2009","030107","annet","1","0","sysselsatte_innvandringsgrunn","personer"
"2009","030111","annet","0","0","sysselsatte_innvandringsgrunn","personer"
"2009","030112","annet","1","0","sysselsatte_innvandringsgrunn","personer"
"2009","030113","annet","0","0","sysselsatte_innvandringsgrunn","personer"
"2009","030114","annet","0","0","sysselsatte_innvandringsgrunn","personer"
"2009","030199","annet","0","0","sysselsatte_innvandringsgrunn","personer"
"2010","030111","annet","0","0","sysselsatte_innvandringsgrunn","personer"
"2010","030111","annet","1","0","sysselsatte_innvandringsgrunn","personer"
"2010","030113","annet","1","0","sysselsatte_innvandringsgrunn","personer"
"2010","030115","annet","0","0","sysselsatte_innvandringsgrunn","personer"
"2010","030117","annet","1","0","sysselsatte_innvandringsgrunn","personer"
"2010","030117","annet","alle","0","sysselsatte_innvandringsgrunn","personer"
"2011","030109","annet","1","0","sysselsatte_innvandringsgrunn","personer"
"2011","030114","annet","0","0","sysselsatte_innvandringsgrunn","personer"
"2011","030115","annet","1","0","sysselsatte_innvandringsgrunn","personer"
"2011","030116","annet","1","0","sysselsatte_innvandringsgrunn","personer"
"2012","030114","annet","0","0","sysselsatte_innvandringsgrunn","personer"
"2012","030115","annet","1","0","sysselsatte_innvandringsgrunn","personer"
"2012","030116","annet","0","0","sysselsatte_innvandringsgrunn","personer"
"2012","030117","annet","1","0","sysselsatte_innvandringsgrunn","personer"
"2013","030111","annet","0","0","sysselsatte_innvandringsgrunn","personer"
"2013","030115","annet","1","0","sysselsatte_innvandringsgrunn","personer"
"2013","030116","annet","0","0","sysselsatte_innvandringsgrunn","personer"
"2013","030117","annet","0","0","sysselsatte_innvandringsgrunn","personer"
"2013","030199","annet","1","0","sysselsatte_innvandringsgrunn","personer"
"2014","030115","annet","1","0","sysselsatte_innvandringsgrunn","personer"
"2014","030116","annet","0","0","sysselsatte_innvandringsgrunn","personer"
"2014","030117","annet","0","0","sysselsatte_innvandringsgrunn","personer"
"2006","030112","annet","alle","3","sysselsatte_innvandringsgrunn","personer"
"2006","030199","annet","alle","3","sysselsatte_innvandringsgrunn","personer"
"2006","030199","uoppgitt","0","3","sysselsatte_innvandringsgrunn","personer"
"2007","030105","annet","0","3","sysselsatte_innvandringsgrunn","personer"
"2007","030107","annet","1","3","sysselsatte_innvandringsgrunn","personer"
"2007","030112","annet","0","3","sysselsatte_innvandringsgrunn","personer"
"2007","030112","annet","1","3","sysselsatte_innvandringsgrunn","personer"
"2007","030114","annet","0","3","sysselsatte_innvandringsgrunn","personer"
"2007","030114","annet","1","3","sysselsatte_innvandringsgrunn","personer"
"2007","030116","annet","alle","3","sysselsatte_innvandringsgrunn","personer"
"2007","030117","annet","1","3","sysselsatte_innvandringsgrunn","personer"
"2008","030102","annet","0","3","sysselsatte_innvandringsgrunn","personer"
"2008","030103","annet","1","3","sysselsatte_innvandringsgrunn","personer"
"2008","030105","annet","0","3","sysselsatte_innvandringsgrunn","personer"
"2008","030106","annet","0","3","sysselsatte_innvandringsgrunn","personer"
"2008","030112","annet","0","3","sysselsatte_innvandringsgrunn","personer"
"2008","030113","annet","alle","3","sysselsatte_innvandringsgrunn","personer"
"2008","030114","annet","0","3","sysselsatte_innvandringsgrunn","personer"
"2008","030114","annet","1","3","sysselsatte_innvandringsgrunn","personer"
"2008","030117","annet","1","3","sysselsatte_innvandringsgrunn","personer"
"2009","030102","annet","0","3","sysselsatte_innvandringsgrunn","personer"
"2009","030106","annet","0","3","sysselsatte_innvandringsgrunn","personer"
"2009","030110","annet","0","3","sysselsatte_innvandringsgrunn","personer"
"2009","030111","annet","1","3","sysselsatte_innvandringsgrunn","personer"
"2009","030112","annet","0","3","sysselsatte_innvandringsgrunn","personer"
"2009","030113","annet","1","3","sysselsatte_innvandringsgrunn","personer"
"2009","030114","annet","1","3","sysselsatte_innvandringsgrunn","personer"
"2009","030115","annet","0","3","sysselsatte_innvandringsgrunn","personer"
"2009","030199","annet","alle","3","sysselsatte_innvandringsgrunn","personer"
"2010","030101","annet","0","3","sysselsatte_innvandringsgrunn","personer"
"2010","030101","annet","1","3","sysselsatte_innvandringsgrunn","personer"
"2010","030107","annet","1","3","sysselsatte_innvandringsgrunn","personer"
"2010","030113","annet","0","3","sysselsatte_innvandringsgrunn","personer"
"2010","030114","annet","0","3","sysselsatte_innvandringsgrunn","personer"
"2010","030114","annet","1","3","sysselsatte_innvandringsgrunn","personer"
"2010","030115","annet","alle","3","sysselsatte_innvandringsgrunn","personer"
"2010","030116","annet","1","3","sysselsatte_innvandringsgrunn","personer"
"2011","030107","annet","1","3","sysselsatte_innvandringsgrunn","personer"
"2011","030110","annet","0","3","sysselsatte_innvandringsgrunn","personer"
"2011","030111","annet","0","3","sysselsatte_innvandringsgrunn","personer"
"2011","030112","annet","0","3","sysselsatte_innvandringsgrunn","personer"
"2011","030114","annet","1","3","sysselsatte_innvandringsgrunn","personer"
"2011","030115","annet","0","3","sysselsatte_innvandringsgrunn","personer"
"2011","030116","annet","alle","3","sysselsatte_innvandringsgrunn","personer"
"2011","030117","annet","1","3","sysselsatte_innvandringsgrunn","personer"
"2012","030112","annet","0","3","sysselsatte_innvandringsgrunn","personer"
"2012","030112","annet","1","3","sysselsatte_innvandringsgrunn","personer"
"2012","030114","annet","alle","3","sysselsatte_innvandringsgrunn","personer"
"2012","030117","annet","alle","3","sysselsatte_innvandringsgrunn","personer"
"2013","030111","annet","1","3","sysselsatte_innvandringsgrunn","personer"
"2014","030111","annet","1","3","sysselsatte_innvandringsgrunn","personer"
"2014","030115","annet","0","3","sysselsatte_innvandringsgrunn","personer"
"2014","030199","annet","0","3","sysselsatte_innvandringsgrunn","personer"
"2014","030199","annet","1","3","sysselsatte_innvandringsgrunn","personer"
"2006","030113","annet","0","4","sysselsatte_innvandringsgrunn","personer"
"2006","030116","annet","0","4","sysselsatte_innvandringsgrunn","personer"
"2006","030117","annet","0","4","sysselsatte_innvandringsgrunn","personer"
"2006","030117","annet","1","4","sysselsatte_innvandringsgrunn","personer"
"2007","030102","annet","0","4","sysselsatte_innvandringsgrunn","personer"
"2007","030103","annet","0","4","sysselsatte_innvandringsgrunn","personer"
"2007","030103","annet","1","4","sysselsatte_innvandringsgrunn","personer"
"2007","030107","annet","0","4","sysselsatte_innvandringsgrunn","personer"
"2007","030109","annet","1","4","sysselsatte_innvandringsgrunn","personer"
"2007","030110","annet","0","4","sysselsatte_innvandringsgrunn","personer"
"2007","030111","annet","0","4","sysselsatte_innvandringsgrunn","personer"
"2007","030115","annet","alle","4","sysselsatte_innvandringsgrunn","personer"
"2007","030199","annet","1","0","sysselsatte_innvandringsgrunn","personer"
"2008","030109","annet","1","4","sysselsatte_innvandringsgrunn","personer"
"2008","030111","annet","1","4","sysselsatte_innvandringsgrunn","personer"
"2008","030115","annet","alle","4","sysselsatte_innvandringsgrunn","personer"
"2008","030116","annet","0","0","sysselsatte_innvandringsgrunn","personer"
"2008","030117","annet","alle","4","sysselsatte_innvandringsgrunn","personer"
"2009","030110","annet","1","4","sysselsatte_innvandringsgrunn","personer"
"2009","030115","annet","alle","4","sysselsatte_innvandringsgrunn","personer"
"2009","030116","annet","0","0","sysselsatte_innvandringsgrunn","personer"
"2010","030102","annet","0","4","sysselsatte_innvandringsgrunn","personer"
"2010","030103","annet","1","4","sysselsatte_innvandringsgrunn","personer"
"2010","030106","annet","0","4","sysselsatte_innvandringsgrunn","personer"
"2010","030107","annet","0","4","sysselsatte_innvandringsgrunn","personer"
"2010","030110","annet","0","4","sysselsatte_innvandringsgrunn","personer"
"2010","030110","annet","1","4","sysselsatte_innvandringsgrunn","personer"
"2010","030111","annet","alle","4","sysselsatte_innvandringsgrunn","personer"
"2010","030112","annet","0","4","sysselsatte_innvandringsgrunn","personer"
"2010","030112","annet","1","4","sysselsatte_innvandringsgrunn","personer"
"2010","030116","annet","alle","4","sysselsatte_innvandringsgrunn","personer"
"2010","030199","annet","1","0","sysselsatte_innvandringsgrunn","personer"
"2011","030111","annet","1","4","sysselsatte_innvandringsgrunn","personer"
"2011","030112","annet","1","4","sysselsatte_innvandringsgrunn","personer"
"2011","030113","annet","0","4","sysselsatte_innvandringsgrunn","personer"
"2011","030113","annet","1","4","sysselsatte_innvandringsgrunn","personer"
"2011","030117","annet","alle","4","sysselsatte_innvandringsgrunn","personer"
"2011","030199","annet","1","0","sysselsatte_innvandringsgrunn","personer"
"2012","030101","annet","1","4","sysselsatte_innvandringsgrunn","personer"
"2012","030115","annet","0","4","sysselsatte_innvandringsgrunn","personer"
"2012","030116","annet","1","4","sysselsatte_innvandringsgrunn","personer"
"2012","030199","annet","1","4","sysselsatte_innvandringsgrunn","personer"
"2013","030112","annet","0","4","sysselsatte_innvandringsgrunn","personer"
"2013","030113","annet","1","4","sysselsatte_innvandringsgrunn","personer"
"2013","030114","annet","0","4","sysselsatte_innvandringsgrunn","personer"
"2013","030116","annet","1","4","sysselsatte_innvandringsgrunn","personer"
"2013","030117","annet","1","4","sysselsatte_innvandringsgrunn","personer"
"2013","030199","annet","0","4","sysselsatte_innvandringsgrunn","personer"
"2014","030112","annet","0","4","sysselsatte_innvandringsgrunn","personer"
"2014","030114","annet","0","4","sysselsatte_innvandringsgrunn","personer"
"2014","030117","annet","1","4","sysselsatte_innvandringsgrunn","personer"
"2006","030111","annet","0","5","sysselsatte_innvandringsgrunn","personer"
"2006","030116","annet","alle","5","sysselsatte_innvandringsgrunn","personer"
"2007","030106","annet","0","5","sysselsatte_innvandringsgrunn","personer"
"2007","030109","annet","0","5","sysselsatte_innvandringsgrunn","personer"
"2007","030111","annet","1","5","sysselsatte_innvandringsgrunn","personer"
"2007","030117","annet","alle","5","sysselsatte_innvandringsgrunn","personer"
"2008","030107","annet","0","5","sysselsatte_innvandringsgrunn","personer"
"2008","030107","annet","1","5","sysselsatte_innvandringsgrunn","personer"
"2008","030109","annet","0","5","sysselsatte_innvandringsgrunn","personer"
"2008","030110","annet","0","5","sysselsatte_innvandringsgrunn","personer"
"2008","030112","annet","alle","5","sysselsatte_innvandringsgrunn","personer"
"2009","030103","annet","1","5","sysselsatte_innvandringsgrunn","personer"
"2009","030105","annet","0","5","sysselsatte_innvandringsgrunn","personer"
"2009","030106","annet","1","5","sysselsatte_innvandringsgrunn","personer"
"2009","030107","annet","0","5","sysselsatte_innvandringsgrunn","personer"
"2009","030109","annet","1","5","sysselsatte_innvandringsgrunn","personer"
"2009","030111","annet","alle","5","sysselsatte_innvandringsgrunn","personer"
"2009","030112","annet","alle","5","sysselsatte_innvandringsgrunn","personer"
"2009","030113","annet","alle","5","sysselsatte_innvandringsgrunn","personer"
"2009","030114","annet","alle","5","sysselsatte_innvandringsgrunn","personer"
"2009","030116","utdanning","1","5","sysselsatte_innvandringsgrunn","personer"
"2009","030117","annet","1","5","sysselsatte_innvandringsgrunn","personer"
"2010","030108","annet","0","5","sysselsatte_innvandringsgrunn","personer"
"2010","030108","annet","1","5","sysselsatte_innvandringsgrunn","personer"
"2010","030113","annet","alle","5","sysselsatte_innvandringsgrunn","personer"
"2011","030101","annet","1","5","sysselsatte_innvandringsgrunn","personer"
"2011","030106","annet","0","5","sysselsatte_innvandringsgrunn","personer"
"2011","030114","annet","alle","5","sysselsatte_innvandringsgrunn","personer"
"2011","030115","annet","alle","5","sysselsatte_innvandringsgrunn","personer"
"2012","030106","annet","0","5","sysselsatte_innvandringsgrunn","personer"
"2012","030107","annet","1","5","sysselsatte_innvandringsgrunn","personer"
"2012","030111","annet","1","5","sysselsatte_innvandringsgrunn","personer"
"2012","030113","annet","1","5","sysselsatte_innvandringsgrunn","personer"
"2012","030199","annet","alle","5","sysselsatte_innvandringsgrunn","personer"
"2013","030111","annet","alle","5","sysselsatte_innvandringsgrunn","personer"
"2013","030112","annet","1","5","sysselsatte_innvandringsgrunn","personer"
"2013","030113","annet","0","5","sysselsatte_innvandringsgrunn","personer"
"2013","030114","annet","alle","5","sysselsatte_innvandringsgrunn","personer"
"2013","030115","annet","0","5","sysselsatte_innvandringsgrunn","personer"
"2014","030110","annet","1","5","sysselsatte_innvandringsgrunn","personer"
"2014","030112","annet","1","5","sysselsatte_innvandringsgrunn","personer"
"2014","030113","annet","1","5","sysselsatte_innvandringsgrunn","personer"
"2014","030114","annet","alle","5","sysselsatte_innvandringsgrunn","personer"
"2014","030115","annet","alle","5","sysselsatte_innvandringsgrunn","personer"
"2006","030109","annet","1","6","sysselsatte_innvandringsgrunn","personer"
"2006","030113","annet","alle","6","sysselsatte_innvandringsgrunn","personer"
"2007","030101","annet","0","6","sysselsatte_innvandringsgrunn","personer"
"2007","030108","annet","1","6","sysselsatte_innvandringsgrunn","personer"
"2007","030110","annet","1","6","sysselsatte_innvandringsgrunn","personer"
"2007","030112","annet","alle","6","sysselsatte_innvandringsgrunn","personer"
"2007","030114","annet","alle","6","sysselsatte_innvandringsgrunn","personer"
"2008","030104","annet","1","6","sysselsatte_innvandringsgrunn","personer"
"2008","030106","annet","1","6","sysselsatte_innvandringsgrunn","personer"
"2008","030108","annet","1","6","sysselsatte_innvandringsgrunn","personer"
"2008","030111","annet","alle","6","sysselsatte_innvandringsgrunn","personer"
"2008","030114","annet","alle","6","sysselsatte_innvandringsgrunn","personer"
"2008","030116","utdanning","1","6","sysselsatte_innvandringsgrunn","personer"
"2009","030101","annet","0","6","sysselsatte_innvandringsgrunn","personer"
"2009","030103","annet","0","6","sysselsatte_innvandringsgrunn","personer"
"2009","030117","annet","alle","6","sysselsatte_innvandringsgrunn","personer"
"2010","030101","annet","alle","6","sysselsatte_innvandringsgrunn","personer"
"2010","030105","annet","1","6","sysselsatte_innvandringsgrunn","personer"
"2010","030109","annet","1","6","sysselsatte_innvandringsgrunn","personer"
"2010","030114","annet","alle","6","sysselsatte_innvandringsgrunn","personer"
"2011","030103","annet","1","6","sysselsatte_innvandringsgrunn","personer"
"2011","030107","annet","0","6","sysselsatte_innvandringsgrunn","personer"
"2011","030110","annet","1","6","sysselsatte_innvandringsgrunn","personer"
"2011","030199","arbeid","0","6","sysselsatte_innvandringsgrunn","personer"
"2012","030106","annet","1","6","sysselsatte_innvandringsgrunn","personer"
"2012","030110","annet","0","6","sysselsatte_innvandringsgrunn","personer"
"2012","030111","annet","alle","6","sysselsatte_innvandringsgrunn","personer"
"2012","030112","annet","alle","6","sysselsatte_innvandringsgrunn","personer"
"2012","030113","annet","0","6","sysselsatte_innvandringsgrunn","personer"
"2012","030115","annet","alle","6","sysselsatte_innvandringsgrunn","personer"
"2012","030116","annet","alle","6","sysselsatte_innvandringsgrunn","personer"
"2013","030101","annet","1","6","sysselsatte_innvandringsgrunn","personer"
"2013","030109","annet","0","6","sysselsatte_innvandringsgrunn","personer"
"2013","030110","annet","1","6","sysselsatte_innvandringsgrunn","personer"
"2013","030116","annet","alle","6","sysselsatte_innvandringsgrunn","personer"
"2013","030117","annet","alle","6","sysselsatte_innvandringsgrunn","personer"
"2013","030199","annet","alle","6","sysselsatte_innvandringsgrunn","personer"
"2014","030106","annet","0","6","sysselsatte_innvandringsgrunn","personer"
"2014","030113","annet","0","6","sysselsatte_innvandringsgrunn","personer"
"2014","030116","annet","1","6","sysselsatte_innvandringsgrunn","personer"
"2014","030117","annet","alle","6","sysselsatte_innvandringsgrunn","personer"
"2014","030199","annet","alle","6","sysselsatte_innvandringsgrunn","personer"
"2006","030101","annet","1","7","sysselsatte_innvandringsgrunn","personer"
"2006","030107","annet","1","7","sysselsatte_innvandringsgrunn","personer"
"2006","030110","annet","1","7","sysselsatte_innvandringsgrunn","personer"
"2006","030111","annet","1","7","sysselsatte_innvandringsgrunn","personer"
"2007","030106","annet","alle","7","sysselsatte_innvandringsgrunn","personer"
"2007","030107","annet","alle","7","sysselsatte_innvandringsgrunn","personer"
"2007","030199","utdanning","1","7","sysselsatte_innvandringsgrunn","personer"
"2008","030101","annet","0","7","sysselsatte_innvandringsgrunn","personer"
"2008","030105","annet","1","7","sysselsatte_innvandringsgrunn","personer"
"2008","030108","annet","0","7","sysselsatte_innvandringsgrunn","personer"
"2008","030110","annet","alle","7","sysselsatte_innvandringsgrunn","personer"
"2009","030104","annet","1","7","sysselsatte_innvandringsgrunn","personer"
"2009","030105","annet","1","7","sysselsatte_innvandringsgrunn","personer"
"2009","030107","annet","alle","7","sysselsatte_innvandringsgrunn","personer"
"2009","030108","annet","0","7","sysselsatte_innvandringsgrunn","personer"
"2009","030110","annet","alle","7","sysselsatte_innvandringsgrunn","personer"
"2010","030103","annet","0","7","sysselsatte_innvandringsgrunn","personer"
"2010","030104","annet","1","7","sysselsatte_innvandringsgrunn","personer"
"2010","030105","annet","0","7","sysselsatte_innvandringsgrunn","personer"
"2010","030106","annet","1","7","sysselsatte_innvandringsgrunn","personer"
"2010","030107","annet","alle","7","sysselsatte_innvandringsgrunn","personer"
"2010","030109","annet","0","7","sysselsatte_innvandringsgrunn","personer"
"2011","030101","annet","0","7","sysselsatte_innvandringsgrunn","personer"
"2011","030103","annet","0","7","sysselsatte_innvandringsgrunn","personer"
"2011","030105","annet","1","7","sysselsatte_innvandringsgrunn","personer"
"2011","030106","annet","1","7","sysselsatte_innvandringsgrunn","personer"
"2011","030108","annet","1","7","sysselsatte_innvandringsgrunn","personer"
"2011","030111","annet","alle","7","sysselsatte_innvandringsgrunn","personer"
"2011","030112","annet","alle","7","sysselsatte_innvandringsgrunn","personer"
"2012","030104","annet","0","7","sysselsatte_innvandringsgrunn","personer"
"2012","030110","annet","1","7","sysselsatte_innvandringsgrunn","personer"
"2013","030106","annet","0","7","sysselsatte_innvandringsgrunn","personer"
"2013","030115","annet","alle","7","sysselsatte_innvandringsgrunn","personer"
"2014","030109","annet","1","7","sysselsatte_innvandringsgrunn","personer"
"2006","030110","annet","0","8","sysselsatte_innvandringsgrunn","personer"
"2006","030117","annet","alle","8","sysselsatte_innvandringsgrunn","personer"
"2007","030101","annet","alle","8","sysselsatte_innvandringsgrunn","personer"
"2007","030102","annet","1","8","sysselsatte_innvandringsgrunn","personer"
"2007","030103","annet","alle","8","sysselsatte_innvandringsgrunn","personer"
"2007","030104","annet","0","8","sysselsatte_innvandringsgrunn","personer"
"2007","030104","annet","1","8","sysselsatte_innvandringsgrunn","personer"
"2007","030105","annet","1","8","sysselsatte_innvandringsgrunn","personer"
"2007","030108","annet","0","8","sysselsatte_innvandringsgrunn","personer"
"2007","030116","utdanning","1","8","sysselsatte_innvandringsgrunn","personer"
"2009","030101","annet","alle","8","sysselsatte_innvandringsgrunn","personer"
"2009","030106","annet","alle","8","sysselsatte_innvandringsgrunn","personer"
"2009","030109","annet","0","8","sysselsatte_innvandringsgrunn","personer"
"2010","030104","annet","0","8","sysselsatte_innvandringsgrunn","personer"
"2010","030110","annet","alle","8","sysselsatte_innvandringsgrunn","personer"
"2010","030112","annet","alle","8","sysselsatte_innvandringsgrunn","personer"
"2010","030116","utdanning","1","8","sysselsatte_innvandringsgrunn","personer"
"2011","030102","annet","0","8","sysselsatte_innvandringsgrunn","personer"
"2011","030104","annet","0","8","sysselsatte_innvandringsgrunn","personer"
"2011","030105","annet","0","8","sysselsatte_innvandringsgrunn","personer"
"2011","030108","annet","0","8","sysselsatte_innvandringsgrunn","personer"
"2011","030109","annet","0","8","sysselsatte_innvandringsgrunn","personer"
"2011","030113","annet","alle","8","sysselsatte_innvandringsgrunn","personer"
"2012","030116","utdanning","1","8","sysselsatte_innvandringsgrunn","personer"
"2013","030107","annet","1","8","sysselsatte_innvandringsgrunn","personer"
"2013","030108","annet","1","8","sysselsatte_innvandringsgrunn","personer"
"2014","030111","annet","0","8","sysselsatte_innvandringsgrunn","personer"
"2014","030116","annet","alle","8","sysselsatte_innvandringsgrunn","personer"
"2006","030104","annet","0","9","sysselsatte_innvandringsgrunn","personer"
"2006","030106","annet","1","9","sysselsatte_innvandringsgrunn","personer"
"2006","030114","annet","1","9","sysselsatte_innvandringsgrunn","personer"
"2006","030115","annet","1","9","sysselsatte_innvandringsgrunn","personer"
"2006","030117","uoppgitt","1","9","sysselsatte_innvandringsgrunn","personer"
"2006","030199","uoppgitt","1","9","sysselsatte_innvandringsgrunn","personer"
"2007","030109","annet","alle","9","sysselsatte_innvandringsgrunn","personer"
"2007","030111","annet","alle","9","sysselsatte_innvandringsgrunn","personer"
"2008","030101","annet","alle","9","sysselsatte_innvandringsgrunn","personer"
"2008","030102","annet","1","9","sysselsatte_innvandringsgrunn","personer"
"2008","030103","annet","0","9","sysselsatte_innvandringsgrunn","personer"
"2008","030104","annet","0","9","sysselsatte_innvandringsgrunn","personer"
"2008","030106","annet","alle","9","sysselsatte_innvandringsgrunn","personer"
"2008","030109","annet","alle","9","sysselsatte_innvandringsgrunn","personer"
"2009","030102","annet","1","9","sysselsatte_innvandringsgrunn","personer"
"2009","030108","annet","1","9","sysselsatte_innvandringsgrunn","personer"
"2010","030102","annet","1","9","sysselsatte_innvandringsgrunn","personer"
"2011","030107","annet","alle","9","sysselsatte_innvandringsgrunn","personer"
"2011","030110","annet","alle","9","sysselsatte_innvandringsgrunn","personer"
"2011","030116","utdanning","1","9","sysselsatte_innvandringsgrunn","personer"
"2012","030101","annet","0","9","sysselsatte_innvandringsgrunn","personer"
"2012","030102","annet","0","9","sysselsatte_innvandringsgrunn","personer"
"2012","030103","annet","0","9","sysselsatte_innvandringsgrunn","personer"
"2012","030105","annet","0","9","sysselsatte_innvandringsgrunn","personer"
"2012","030108","annet","0","9","sysselsatte_innvandringsgrunn","personer"
"2013","030106","annet","1","9","sysselsatte_innvandringsgrunn","personer"
"2013","030112","annet","alle","9","sysselsatte_innvandringsgrunn","personer"
"2013","030113","annet","alle","9","sysselsatte_innvandringsgrunn","personer"
"2014","030101","annet","1","9","sysselsatte_innvandringsgrunn","personer"
"2014","030112","annet","alle","9","sysselsatte_innvandringsgrunn","personer"
"2006","030106","annet","0","10","sysselsatte_innvandringsgrunn","personer"
"2007","030110","annet","alle","10","sysselsatte_innvandringsgrunn","personer"
"2007","030114","utdanning","1","10","sysselsatte_innvandringsgrunn","personer"
"2008","030105","annet","alle","10","sysselsatte_innvandringsgrunn","personer"
"2008","030107","annet","alle","10","sysselsatte_innvandringsgrunn","personer"
"2009","030104","annet","0","10","sysselsatte_innvandringsgrunn","personer"
"2010","030108","annet","alle","10","sysselsatte_innvandringsgrunn","personer"
"2011","030104","annet","1","10","sysselsatte_innvandringsgrunn","personer"
"2011","030109","annet","alle","10","sysselsatte_innvandringsgrunn","personer"
"2011","030117","utdanning","1","10","sysselsatte_innvandringsgrunn","personer"
"2012","030107","annet","0","10","sysselsatte_innvandringsgrunn","personer"
"2012","030109","annet","0","10","sysselsatte_innvandringsgrunn","personer"
"2012","030109","annet","1","10","sysselsatte_innvandringsgrunn","personer"
"2012","030117","utdanning","1","10","sysselsatte_innvandringsgrunn","personer"
"2013","030101","annet","0","10","sysselsatte_innvandringsgrunn","personer"
"2013","030103","annet","1","10","sysselsatte_innvandringsgrunn","personer"
"2013","030109","annet","1","10","sysselsatte_innvandringsgrunn","personer"
"2014","030101","annet","0","10","sysselsatte_innvandringsgrunn","personer"
"2014","030107","annet","0","10","sysselsatte_innvandringsgrunn","personer"
"2014","030107","annet","1","10","sysselsatte_innvandringsgrunn","personer"
"2006","030107","annet","0","11","sysselsatte_innvandringsgrunn","personer"
"2006","030108","annet","1","11","sysselsatte_innvandringsgrunn","personer"
"2006","030114","annet","alle","11","sysselsatte_innvandringsgrunn","personer"
"2006","030115","annet","alle","11","sysselsatte_innvandringsgrunn","personer"
