"aar","bydel_nr","innvkat_4","vreg_3","kjonn","invalder_3","enhet","tabellvariabel","tabell_navn","fylke_nr","naringsregion_nr"
2013,"000301","innvandrere","alle","0","7+","gjennomsnitt","33.4","grunnskolepoeng","NULL","NULL"
2013,"000301","innvandrere","alle","0","7+","personer","155","grunnskolepoeng","NULL","NULL"
2013,"000301","innvandrere","alle","1","alle","gjennomsnitt","33.4","grunnskolepoeng","NULL","NULL"
2013,"000301","innvandrere","alle","1","alle","personer","304","grunnskolepoeng","NULL","NULL"
2013,"000301","innvandrere","alle","1","0_6","gjennomsnitt","35.5","grunnskolepoeng","NULL","NULL"
2013,"000301","innvandrere","alle","1","0_6","personer","127","grunnskolepoeng","NULL","NULL"
2013,"000301","innvandrere","alle","1","7+","gjennomsnitt","31.9","grunnskolepoeng","NULL","NULL"
2013,"000301","innvandrere","alle","1","7+","personer","177","grunnskolepoeng","NULL","NULL"
2013,"000301","innvandrere","alle","alle","alle","gjennomsnitt","34.2","grunnskolepoeng","NULL","NULL"
2013,"000301","innvandrere","alle","alle","alle","personer","592","grunnskolepoeng","NULL","NULL"
2013,"000301","innvandrere","alle","alle","0_6","gjennomsnitt","36.2","grunnskolepoeng","NULL","NULL"
2013,"000301","innvandrere","alle","alle","0_6","personer","260","grunnskolepoeng","NULL","NULL"
2013,"000301","innvandrere","alle","alle","7+","gjennomsnitt","32.6","grunnskolepoeng","NULL","NULL"
2013,"000301","innvandrere","alle","alle","7+","personer","332","grunnskolepoeng","NULL","NULL"
2013,"000301","norskfodte_m_innvf","alle","0","alle","gjennomsnitt","39.9","grunnskolepoeng","NULL","NULL"
2013,"000301","norskfodte_m_innvf","alle","0","alle","personer","596","grunnskolepoeng","NULL","NULL"
2013,"000301","norskfodte_m_innvf","alle","1","alle","gjennomsnitt","36.6","grunnskolepoeng","NULL","NULL"
2013,"000301","norskfodte_m_innvf","alle","1","alle","personer","606","grunnskolepoeng","NULL","NULL"
2013,"000301","norskfodte_m_innvf","alle","alle","alle","gjennomsnitt","38.2","grunnskolepoeng","NULL","NULL"
2013,"000301","norskfodte_m_innvf","alle","alle","alle","personer","1202","grunnskolepoeng","NULL","NULL"
2013,"000301","bef_u_innv_og_norskf","alle","0","alle","gjennomsnitt","45.6","grunnskolepoeng","NULL","NULL"
2013,"000301","bef_u_innv_og_norskf","alle","0","alle","personer","1628","grunnskolepoeng","NULL","NULL"
2013,"000301","bef_u_innv_og_norskf","alle","1","alle","gjennomsnitt","41.6","grunnskolepoeng","NULL","NULL"
2013,"000301","bef_u_innv_og_norskf","alle","1","alle","personer","1777","grunnskolepoeng","NULL","NULL"
2013,"000301","bef_u_innv_og_norskf","alle","alle","alle","gjennomsnitt","43.5","grunnskolepoeng","NULL","NULL"
2013,"000301","bef_u_innv_og_norskf","alle","alle","alle","personer","3405","grunnskolepoeng","NULL","NULL"
2013,"030101","alle","alle","0","alle","gjennomsnitt","41.1","grunnskolepoeng","NULL","NULL"
2013,"030101","alle","alle","0","alle","personer","129","grunnskolepoeng","NULL","NULL"
2013,"030101","alle","alle","1","alle","gjennomsnitt","37","grunnskolepoeng","NULL","NULL"
2013,"030101","alle","alle","1","alle","personer","123","grunnskolepoeng","NULL","NULL"
2013,"030101","alle","alle","alle","alle","gjennomsnitt","39.1","grunnskolepoeng","NULL","NULL"
2013,"030101","alle","alle","alle","alle","personer","252","grunnskolepoeng","NULL","NULL"
2013,"030101","innvandrere","1","0","alle","gjennomsnitt","33.8","grunnskolepoeng","NULL","NULL"
2013,"030101","innvandrere","1","0","alle","personer","5","grunnskolepoeng","NULL","NULL"
2013,"030101","innvandrere","1","1","alle","gjennomsnitt","31.7","grunnskolepoeng","NULL","NULL"
2013,"030101","innvandrere","1","1","alle","personer","3","grunnskolepoeng","NULL","NULL"
2013,"030101","innvandrere","1","alle","alle","gjennomsnitt","33","grunnskolepoeng","NULL","NULL"
2013,"030101","innvandrere","1","alle","alle","personer","8","grunnskolepoeng","NULL","NULL"
2013,"030101","innvandrere","2","0","alle","gjennomsnitt","36.5","grunnskolepoeng","NULL","NULL"
2013,"030101","innvandrere","2","0","alle","personer","19","grunnskolepoeng","NULL","NULL"
2013,"030101","innvandrere","2","1","alle","gjennomsnitt","30.6","grunnskolepoeng","NULL","NULL"
2013,"030101","innvandrere","2","1","alle","personer","19","grunnskolepoeng","NULL","NULL"
2013,"030101","innvandrere","2","alle","alle","gjennomsnitt","33.6","grunnskolepoeng","NULL","NULL"
2013,"030101","innvandrere","2","alle","alle","personer","38","grunnskolepoeng","NULL","NULL"
2013,"030101","innvandrere","alle","0","alle","gjennomsnitt","36","grunnskolepoeng","NULL","NULL"
2013,"030101","innvandrere","alle","0","alle","personer","24","grunnskolepoeng","NULL","NULL"
2013,"030101","innvandrere","alle","0","0_6","gjennomsnitt","36.2","grunnskolepoeng","NULL","NULL"
2013,"030101","innvandrere","alle","0","0_6","personer","15","grunnskolepoeng","NULL","NULL"
2013,"030101","innvandrere","alle","0","7+","gjennomsnitt","35.6","grunnskolepoeng","NULL","NULL"
2013,"030101","innvandrere","alle","0","7+","personer","9","grunnskolepoeng","NULL","NULL"
2013,"030101","innvandrere","alle","1","alle","gjennomsnitt","30.8","grunnskolepoeng","NULL","NULL"
2013,"030101","innvandrere","alle","1","alle","personer","22","grunnskolepoeng","NULL","NULL"
2013,"030101","innvandrere","alle","1","0_6","gjennomsnitt","35.6","grunnskolepoeng","NULL","NULL"
2013,"030101","innvandrere","alle","1","0_6","personer","9","grunnskolepoeng","NULL","NULL"
2013,"030101","innvandrere","alle","1","7+","gjennomsnitt","27.5","grunnskolepoeng","NULL","NULL"
2013,"030101","innvandrere","alle","1","7+","personer","13","grunnskolepoeng","NULL","NULL"
2013,"030101","innvandrere","alle","alle","alle","gjennomsnitt","33.5","grunnskolepoeng","NULL","NULL"
2013,"030101","innvandrere","alle","alle","alle","personer","46","grunnskolepoeng","NULL","NULL"
2013,"030101","innvandrere","alle","alle","0_6","gjennomsnitt","36","grunnskolepoeng","NULL","NULL"
2013,"030101","innvandrere","alle","alle","0_6","personer","24","grunnskolepoeng","NULL","NULL"
2013,"030101","innvandrere","alle","alle","7+","gjennomsnitt","30.8","grunnskolepoeng","NULL","NULL"
2013,"030101","innvandrere","alle","alle","7+","personer","22","grunnskolepoeng","NULL","NULL"
2013,"030101","norskfodte_m_innvf","alle","0","alle","gjennomsnitt","37.9","grunnskolepoeng","NULL","NULL"
2013,"030101","norskfodte_m_innvf","alle","0","alle","personer","51","grunnskolepoeng","NULL","NULL"
2013,"030101","norskfodte_m_innvf","alle","1","alle","gjennomsnitt","34","grunnskolepoeng","NULL","NULL"
2013,"030101","norskfodte_m_innvf","alle","1","alle","personer","51","grunnskolepoeng","NULL","NULL"
2013,"030101","norskfodte_m_innvf","alle","alle","alle","gjennomsnitt","36","grunnskolepoeng","NULL","NULL"
2013,"030101","norskfodte_m_innvf","alle","alle","alle","personer","102","grunnskolepoeng","NULL","NULL"
2013,"030101","bef_u_innv_og_norskf","alle","0","alle","gjennomsnitt","46.4","grunnskolepoeng","NULL","NULL"
2013,"030101","bef_u_innv_og_norskf","alle","0","alle","personer","54","grunnskolepoeng","NULL","NULL"
2013,"030101","bef_u_innv_og_norskf","alle","1","alle","gjennomsnitt","42.8","grunnskolepoeng","NULL","NULL"
2013,"030101","bef_u_innv_og_norskf","alle","1","alle","personer","50","grunnskolepoeng","NULL","NULL"
2013,"030101","bef_u_innv_og_norskf","alle","alle","alle","gjennomsnitt","44.7","grunnskolepoeng","NULL","NULL"
2013,"030101","bef_u_innv_og_norskf","alle","alle","alle","personer","104","grunnskolepoeng","NULL","NULL"
2013,"030102","alle","alle","0","alle","gjennomsnitt","41.6","grunnskolepoeng","NULL","NULL"
2013,"030102","alle","alle","0","alle","personer","99","grunnskolepoeng","NULL","NULL"
2013,"030102","alle","alle","1","alle","gjennomsnitt","37.1","grunnskolepoeng","NULL","NULL"
2013,"030102","alle","alle","1","alle","personer","90","grunnskolepoeng","NULL","NULL"
2013,"030102","alle","alle","alle","alle","gjennomsnitt","39.4","grunnskolepoeng","NULL","NULL"
2013,"030102","alle","alle","alle","alle","personer","189","grunnskolepoeng","NULL","NULL"
2013,"030102","innvandrere","1","0","alle","gjennomsnitt","22.2","grunnskolepoeng","NULL","NULL"
2013,"030102","innvandrere","1","0","alle","personer","3","grunnskolepoeng","NULL","NULL"
2013,"030102","innvandrere","1","1","alle","gjennomsnitt","31.3","grunnskolepoeng","NULL","NULL"
2013,"030102","innvandrere","1","1","alle","personer","4","grunnskolepoeng","NULL","NULL"
2013,"030102","innvandrere","1","alle","alle","gjennomsnitt","27.4","grunnskolepoeng","NULL","NULL"
2013,"030102","innvandrere","1","alle","alle","personer","7","grunnskolepoeng","NULL","NULL"
2013,"030102","innvandrere","2","0","alle","gjennomsnitt","27.7","grunnskolepoeng","NULL","NULL"
2013,"030102","innvandrere","2","0","alle","personer","13","grunnskolepoeng","NULL","NULL"
2013,"030102","innvandrere","2","1","alle","gjennomsnitt","33.6","grunnskolepoeng","NULL","NULL"
2013,"030102","innvandrere","2","1","alle","personer","19","grunnskolepoeng","NULL","NULL"
2013,"030102","innvandrere","2","alle","alle","gjennomsnitt","31.2","grunnskolepoeng","NULL","NULL"
2013,"030102","innvandrere","2","alle","alle","personer","32","grunnskolepoeng","NULL","NULL"
2013,"030102","innvandrere","alle","0","alle","gjennomsnitt","26.6","grunnskolepoeng","NULL","NULL"
2013,"030102","innvandrere","alle","0","alle","personer","16","grunnskolepoeng","NULL","NULL"
2013,"030102","innvandrere","alle","0","0_6","gjennomsnitt","25.1","grunnskolepoeng","NULL","NULL"
2013,"030102","innvandrere","alle","0","0_6","personer","5","grunnskolepoeng","NULL","NULL"
2013,"030102","innvandrere","alle","0","7+","gjennomsnitt","27.3","grunnskolepoeng","NULL","NULL"
2013,"030102","innvandrere","alle","0","7+","personer","11","grunnskolepoeng","NULL","NULL"
2013,"030102","innvandrere","alle","1","alle","gjennomsnitt","33.2","grunnskolepoeng","NULL","NULL"
2013,"030102","innvandrere","alle","1","alle","personer","23","grunnskolepoeng","NULL","NULL"
2013,"030102","innvandrere","alle","1","0_6","gjennomsnitt","35.2","grunnskolepoeng","NULL","NULL"
2013,"030102","innvandrere","alle","1","0_6","personer","12","grunnskolepoeng","NULL","NULL"
2013,"030102","innvandrere","alle","1","7+","gjennomsnitt","31","grunnskolepoeng","NULL","NULL"
2013,"030102","innvandrere","alle","1","7+","personer","11","grunnskolepoeng","NULL","NULL"
2013,"030102","innvandrere","alle","alle","alle","gjennomsnitt","30.5","grunnskolepoeng","NULL","NULL"
2013,"030102","innvandrere","alle","alle","alle","personer","39","grunnskolepoeng","NULL","NULL"
2013,"030102","innvandrere","alle","alle","0_6","gjennomsnitt","32.3","grunnskolepoeng","NULL","NULL"
2013,"030102","innvandrere","alle","alle","0_6","personer","17","grunnskolepoeng","NULL","NULL"
2013,"030102","innvandrere","alle","alle","7+","gjennomsnitt","29.2","grunnskolepoeng","NULL","NULL"
2013,"030102","innvandrere","alle","alle","7+","personer","22","grunnskolepoeng","NULL","NULL"
2013,"030102","norskfodte_m_innvf","alle","0","alle","gjennomsnitt","36.5","grunnskolepoeng","NULL","NULL"
2013,"030102","norskfodte_m_innvf","alle","0","alle","personer","14","grunnskolepoeng","NULL","NULL"
2013,"030102","norskfodte_m_innvf","alle","1","alle","gjennomsnitt","34.3","grunnskolepoeng","NULL","NULL"
2013,"030102","norskfodte_m_innvf","alle","1","alle","personer","20","grunnskolepoeng","NULL","NULL"
2013,"030102","norskfodte_m_innvf","alle","alle","alle","gjennomsnitt","35.2","grunnskolepoeng","NULL","NULL"
2013,"030102","norskfodte_m_innvf","alle","alle","alle","personer","34","grunnskolepoeng","NULL","NULL"
2013,"030102","bef_u_innv_og_norskf","alle","0","alle","gjennomsnitt","46","grunnskolepoeng","NULL","NULL"
2013,"030102","bef_u_innv_og_norskf","alle","0","alle","personer","69","grunnskolepoeng","NULL","NULL"
2013,"030102","bef_u_innv_og_norskf","alle","1","alle","gjennomsnitt","40.1","grunnskolepoeng","NULL","NULL"
2013,"030102","bef_u_innv_og_norskf","alle","1","alle","personer","47","grunnskolepoeng","NULL","NULL"
2013,"030102","bef_u_innv_og_norskf","alle","alle","alle","gjennomsnitt","43.6","grunnskolepoeng","NULL","NULL"
2013,"030102","bef_u_innv_og_norskf","alle","alle","alle","personer","116","grunnskolepoeng","NULL","NULL"
2013,"030103","alle","alle","0","alle","gjennomsnitt","38.8","grunnskolepoeng","NULL","NULL"
2013,"030103","alle","alle","0","alle","personer","75","grunnskolepoeng","NULL","NULL"
2013,"030103","alle","alle","1","alle","gjennomsnitt","38","grunnskolepoeng","NULL","NULL"
2013,"030103","alle","alle","1","alle","personer","60","grunnskolepoeng","NULL","NULL"
2013,"030103","alle","alle","alle","alle","gjennomsnitt","38.4","grunnskolepoeng","NULL","NULL"
2013,"030103","alle","alle","alle","alle","personer","135","grunnskolepoeng","NULL","NULL"
2013,"030103","innvandrere","1","0","alle","gjennomsnitt",":","grunnskolepoeng","NULL","NULL"
2013,"030103","innvandrere","1","0","alle","personer",":","grunnskolepoeng","NULL","NULL"
2013,"030103","innvandrere","1","1","alle","gjennomsnitt",":","grunnskolepoeng","NULL","NULL"
2013,"030103","innvandrere","1","1","alle","personer",":","grunnskolepoeng","NULL","NULL"
2013,"030103","innvandrere","1","alle","alle","gjennomsnitt","33.7","grunnskolepoeng","NULL","NULL"
2013,"030103","innvandrere","1","alle","alle","personer","6","grunnskolepoeng","NULL","NULL"
2013,"030103","innvandrere","2","0","alle","gjennomsnitt",":","grunnskolepoeng","NULL","NULL"
2013,"030103","innvandrere","2","0","alle","personer",":","grunnskolepoeng","NULL","NULL"
2013,"030103","innvandrere","2","1","alle","gjennomsnitt",":","grunnskolepoeng","NULL","NULL"
2013,"030103","innvandrere","2","1","alle","personer",":","grunnskolepoeng","NULL","NULL"
2013,"030103","innvandrere","2","alle","alle","gjennomsnitt","22.7","grunnskolepoeng","NULL","NULL"
2013,"030103","innvandrere","2","alle","alle","personer","11","grunnskolepoeng","NULL","NULL"
2013,"030103","innvandrere","alle","0","alle","gjennomsnitt",":","grunnskolepoeng","NULL","NULL"
2013,"030103","innvandrere","alle","0","alle","personer",":","grunnskolepoeng","NULL","NULL"
2013,"030103","innvandrere","alle","0","0_6","gjennomsnitt",":","grunnskolepoeng","NULL","NULL"
2013,"030103","innvandrere","alle","0","0_6","personer",":","grunnskolepoeng","NULL","NULL"
2013,"030103","innvandrere","alle","0","7+","gjennomsnitt",":","grunnskolepoeng","NULL","NULL"
2013,"030103","innvandrere","alle","0","7+","personer",":","grunnskolepoeng","NULL","NULL"
2013,"030103","innvandrere","alle","1","alle","gjennomsnitt",":","grunnskolepoeng","NULL","NULL"
2013,"030103","innvandrere","alle","1","alle","personer",":","grunnskolepoeng","NULL","NULL"
2013,"030103","innvandrere","alle","1","0_6","gjennomsnitt","-","grunnskolepoeng","NULL","NULL"
2013,"030103","innvandrere","alle","1","0_6","personer","-","grunnskolepoeng","NULL","NULL"
2013,"030103","innvandrere","alle","1","7+","gjennomsnitt",":","grunnskolepoeng","NULL","NULL"
2013,"030103","innvandrere","alle","1","7+","personer",":","grunnskolepoeng","NULL","NULL"
2013,"030103","innvandrere","alle","alle","alle","gjennomsnitt","26.6","grunnskolepoeng","NULL","NULL"
2013,"030103","innvandrere","alle","alle","alle","personer","17","grunnskolepoeng","NULL","NULL"
2013,"030103","innvandrere","alle","alle","0_6","gjennomsnitt",":","grunnskolepoeng","NULL","NULL"
2013,"030103","innvandrere","alle","alle","0_6","personer",":","grunnskolepoeng","NULL","NULL"
2013,"030103","innvandrere","alle","alle","7+","gjennomsnitt",":","grunnskolepoeng","NULL","NULL"
2013,"030103","innvandrere","alle","alle","7+","personer",":","grunnskolepoeng","NULL","NULL"
2013,"030103","norskfodte_m_innvf","alle","0","alle","gjennomsnitt",":","grunnskolepoeng","NULL","NULL"
2013,"030103","norskfodte_m_innvf","alle","0","alle","personer",":","grunnskolepoeng","NULL","NULL"
2013,"030103","norskfodte_m_innvf","alle","1","alle","gjennomsnitt",":","grunnskolepoeng","NULL","NULL"
2013,"030103","norskfodte_m_innvf","alle","1","alle","personer",":","grunnskolepoeng","NULL","NULL"
2013,"030103","norskfodte_m_innvf","alle","alle","alle","gjennomsnitt","37","grunnskolepoeng","NULL","NULL"
2013,"030103","norskfodte_m_innvf","alle","alle","alle","personer","30","grunnskolepoeng","NULL","NULL"
2013,"030103","bef_u_innv_og_norskf","alle","0","alle","gjennomsnitt","43.1","grunnskolepoeng","NULL","NULL"
2013,"030103","bef_u_innv_og_norskf","alle","0","alle","personer","46","grunnskolepoeng","NULL","NULL"
2013,"030103","bef_u_innv_og_norskf","alle","1","alle","gjennomsnitt","39.2","grunnskolepoeng","NULL","NULL"
2013,"030103","bef_u_innv_og_norskf","alle","1","alle","personer","42","grunnskolepoeng","NULL","NULL"
2013,"030103","bef_u_innv_og_norskf","alle","alle","alle","gjennomsnitt","41.2","grunnskolepoeng","NULL","NULL"
2013,"030103","bef_u_innv_og_norskf","alle","alle","alle","personer","88","grunnskolepoeng","NULL","NULL"
2013,"030104","alle","alle","0","alle","gjennomsnitt","45.2","grunnskolepoeng","NULL","NULL"
2013,"030104","alle","alle","0","alle","personer","59","grunnskolepoeng","NULL","NULL"
2013,"030104","alle","alle","1","alle","gjennomsnitt","39.5","grunnskolepoeng","NULL","NULL"
2013,"030104","alle","alle","1","alle","personer","67","grunnskolepoeng","NULL","NULL"
2013,"030104","alle","alle","alle","alle","gjennomsnitt","42.2","grunnskolepoeng","NULL","NULL"
2013,"030104","alle","alle","alle","alle","personer","126","grunnskolepoeng","NULL","NULL"
2013,"030104","innvandrere","1","0","alle","gjennomsnitt",":","grunnskolepoeng","NULL","NULL"
2013,"030104","innvandrere","1","0","alle","personer",":","grunnskolepoeng","NULL","NULL"
2013,"030104","innvandrere","1","1","alle","gjennomsnitt",":","grunnskolepoeng","NULL","NULL"
2013,"030104","innvandrere","1","1","alle","personer",":","grunnskolepoeng","NULL","NULL"
2013,"030104","innvandrere","1","alle","alle","gjennomsnitt","22.2","grunnskolepoeng","NULL","NULL"
2013,"030104","innvandrere","1","alle","alle","personer","4","grunnskolepoeng","NULL","NULL"
2013,"030104","innvandrere","2","0","alle","gjennomsnitt",":","grunnskolepoeng","NULL","NULL"
2013,"030104","innvandrere","2","0","alle","personer",":","grunnskolepoeng","NULL","NULL"
2013,"030104","innvandrere","2","1","alle","gjennomsnitt",":","grunnskolepoeng","NULL","NULL"
2013,"030104","innvandrere","2","1","alle","personer",":","grunnskolepoeng","NULL","NULL"
2013,"030104","innvandrere","2","alle","alle","gjennomsnitt","34.2","grunnskolepoeng","NULL","NULL"
2013,"030104","innvandrere","2","alle","alle","personer","15","grunnskolepoeng","NULL","NULL"
2013,"030104","innvandrere","alle","0","alle","gjennomsnitt",":","grunnskolepoeng","NULL","NULL"
2013,"030104","innvandrere","alle","0","alle","personer",":","grunnskolepoeng","NULL","NULL"
2013,"030104","innvandrere","alle","0","0_6","gjennomsnitt",":","grunnskolepoeng","NULL","NULL"
2013,"030104","innvandrere","alle","0","0_6","personer",":","grunnskolepoeng","NULL","NULL"
2013,"030104","innvandrere","alle","0","7+","gjennomsnitt",":","grunnskolepoeng","NULL","NULL"
2013,"030104","innvandrere","alle","0","7+","personer",":","grunnskolepoeng","NULL","NULL"
2013,"030104","innvandrere","alle","1","alle","gjennomsnitt",":","grunnskolepoeng","NULL","NULL"
2013,"030104","innvandrere","alle","1","alle","personer",":","grunnskolepoeng","NULL","NULL"
2013,"030104","innvandrere","alle","1","0_6","gjennomsnitt",":","grunnskolepoeng","NULL","NULL"
2013,"030104","innvandrere","alle","1","0_6","personer",":","grunnskolepoeng","NULL","NULL"
2013,"030104","innvandrere","alle","1","7+","gjennomsnitt",":","grunnskolepoeng","NULL","NULL"
2013,"030104","innvandrere","alle","1","7+","personer",":","grunnskolepoeng","NULL","NULL"
2013,"030104","innvandrere","alle","alle","alle","gjennomsnitt","31.7","grunnskolepoeng","NULL","NULL"
2013,"030104","innvandrere","alle","alle","alle","personer","19","grunnskolepoeng","NULL","NULL"
2013,"030104","innvandrere","alle","alle","0_6","gjennomsnitt","32.1","grunnskolepoeng","NULL","NULL"
2013,"030104","innvandrere","alle","alle","0_6","personer","3","grunnskolepoeng","NULL","NULL"
2013,"030104","innvandrere","alle","alle","7+","gjennomsnitt","31.6","grunnskolepoeng","NULL","NULL"
2013,"030104","innvandrere","alle","alle","7+","personer","16","grunnskolepoeng","NULL","NULL"
2013,"030104","norskfodte_m_innvf","alle","0","alle","gjennomsnitt","44.5","grunnskolepoeng","NULL","NULL"
2013,"030104","norskfodte_m_innvf","alle","0","alle","personer","7","grunnskolepoeng","NULL","NULL"
2013,"030104","norskfodte_m_innvf","alle","1","alle","gjennomsnitt","32.5","grunnskolepoeng","NULL","NULL"
2013,"030104","norskfodte_m_innvf","alle","1","alle","personer","6","grunnskolepoeng","NULL","NULL"
2013,"030104","norskfodte_m_innvf","alle","alle","alle","gjennomsnitt","38.9","grunnskolepoeng","NULL","NULL"
2013,"030104","norskfodte_m_innvf","alle","alle","alle","personer","13","grunnskolepoeng","NULL","NULL"
2013,"030104","bef_u_innv_og_norskf","alle","0","alle","gjennomsnitt","48.7","grunnskolepoeng","NULL","NULL"
2013,"030104","bef_u_innv_og_norskf","alle","0","alle","personer","41","grunnskolepoeng","NULL","NULL"
2013,"030104","bef_u_innv_og_norskf","alle","1","alle","gjennomsnitt","41.7","grunnskolepoeng","NULL","NULL"
2013,"030104","bef_u_innv_og_norskf","alle","1","alle","personer","53","grunnskolepoeng","NULL","NULL"
2013,"030104","bef_u_innv_og_norskf","alle","alle","alle","gjennomsnitt","44.8","grunnskolepoeng","NULL","NULL"
2013,"030104","bef_u_innv_og_norskf","alle","alle","alle","personer","94","grunnskolepoeng","NULL","NULL"
2013,"030105","alle","alle","0","alle","gjennomsnitt","43.9","grunnskolepoeng","NULL","NULL"
2013,"030105","alle","alle","0","alle","personer","97","grunnskolepoeng","NULL","NULL"
2013,"030105","alle","alle","1","alle","gjennomsnitt","41.1","grunnskolepoeng","NULL","NULL"
2013,"030105","alle","alle","1","alle","personer","116","grunnskolepoeng","NULL","NULL"
2013,"030105","alle","alle","alle","alle","gjennomsnitt","42.4","grunnskolepoeng","NULL","NULL"
2013,"030105","alle","alle","alle","alle","personer","213","grunnskolepoeng","NULL","NULL"
2013,"030105","innvandrere","1","0","alle","gjennomsnitt","37.2","grunnskolepoeng","NULL","NULL"
2013,"030105","innvandrere","1","0","alle","personer","5","grunnskolepoeng","NULL","NULL"
2013,"030105","innvandrere","1","1","alle","gjennomsnitt","39.2","grunnskolepoeng","NULL","NULL"
2013,"030105","innvandrere","1","1","alle","personer","6","grunnskolepoeng","NULL","NULL"
2013,"030105","innvandrere","1","alle","alle","gjennomsnitt","38.3","grunnskolepoeng","NULL","NULL"
2013,"030105","innvandrere","1","alle","alle","personer","11","grunnskolepoeng","NULL","NULL"
2013,"030105","innvandrere","2","0","alle","gjennomsnitt","32.4","grunnskolepoeng","NULL","NULL"
2013,"030105","innvandrere","2","0","alle","personer","4","grunnskolepoeng","NULL","NULL"
2013,"030105","innvandrere","2","1","alle","gjennomsnitt","39.3","grunnskolepoeng","NULL","NULL"
2013,"030105","innvandrere","2","1","alle","personer","8","grunnskolepoeng","NULL","NULL"
2013,"030105","innvandrere","2","alle","alle","gjennomsnitt","37","grunnskolepoeng","NULL","NULL"
2013,"030105","innvandrere","2","alle","alle","personer","12","grunnskolepoeng","NULL","NULL"
2013,"030105","innvandrere","alle","0","alle","gjennomsnitt","35","grunnskolepoeng","NULL","NULL"
2013,"030105","innvandrere","alle","0","alle","personer","9","grunnskolepoeng","NULL","NULL"
2013,"030105","innvandrere","alle","0","0_6","gjennomsnitt","45","grunnskolepoeng","NULL","NULL"
2013,"030105","innvandrere","alle","0","0_6","personer","4","grunnskolepoeng","NULL","NULL"
2013,"030105","innvandrere","alle","0","7+","gjennomsnitt","27.1","grunnskolepoeng","NULL","NULL"
2013,"030105","innvandrere","alle","0","7+","personer","5","grunnskolepoeng","NULL","NULL"
2013,"030105","innvandrere","alle","1","alle","gjennomsnitt","39.2","grunnskolepoeng","NULL","NULL"
2013,"030105","innvandrere","alle","1","alle","personer","14","grunnskolepoeng","NULL","NULL"
2013,"030105","innvandrere","alle","1","0_6","gjennomsnitt","36.4","grunnskolepoeng","NULL","NULL"
2013,"030105","innvandrere","alle","1","0_6","personer","6","grunnskolepoeng","NULL","NULL"
2013,"030105","innvandrere","alle","1","7+","gjennomsnitt","41.4","grunnskolepoeng","NULL","NULL"
2013,"030105","innvandrere","alle","1","7+","personer","8","grunnskolepoeng","NULL","NULL"
2013,"030105","innvandrere","alle","alle","alle","gjennomsnitt","37.6","grunnskolepoeng","NULL","NULL"
2013,"030105","innvandrere","alle","alle","alle","personer","23","grunnskolepoeng","NULL","NULL"
2013,"030105","innvandrere","alle","alle","0_6","gjennomsnitt","39.9","grunnskolepoeng","NULL","NULL"
2013,"030105","innvandrere","alle","alle","0_6","personer","10","grunnskolepoeng","NULL","NULL"
2013,"030105","innvandrere","alle","alle","7+","gjennomsnitt","35.9","grunnskolepoeng","NULL","NULL"
2013,"030105","innvandrere","alle","alle","7+","personer","13","grunnskolepoeng","NULL","NULL"
