"kommune_nr","bosetting","aar","enhet","tabellvariabel"
"1259","bosatt","2015","personer","."
"1260","bosatt","2015","personer","."
"1263","bosatt","2015","personer","."
"1264","bosatt","2015","personer","."
"1265","bosatt","2015","personer","."
"1266","bosatt","2015","personer","."
"1401","bosatt","2015","personer","."
"1411","bosatt","2015","personer","."
"1412","bosatt","2015","personer","."
"1413","bosatt","2015","personer","."
"1416","bosatt","2015","personer","."
"1417","bosatt","2015","personer","."
"1418","bosatt","2015","personer","."
"1419","bosatt","2015","personer","."
"1420","bosatt","2015","personer","."
"1421","bosatt","2015","personer","."
"1422","bosatt","2015","personer","."
"1424","bosatt","2015","personer","."
"1426","bosatt","2015","personer","."
"1428","bosatt","2015","personer","."
"1429","bosatt","2015","personer","."
"1430","bosatt","2015","personer","."
"1431","bosatt","2015","personer","."
"1432","bosatt","2015","personer","."
"1433","bosatt","2015","personer","."
"1438","bosatt","2015","personer","."
"1439","bosatt","2015","personer","."
"1441","bosatt","2015","personer","."
"1443","bosatt","2015","personer","."
"1444","bosatt","2015","personer","."
"1445","bosatt","2015","personer","."
"1449","bosatt","2015","personer","."
"1502","bosatt","2015","personer","."
"1504","bosatt","2015","personer","."
"1505","bosatt","2015","personer","."
"1511","bosatt","2015","personer","."
"1514","bosatt","2015","personer","."
"1515","bosatt","2015","personer","."
"1516","bosatt","2015","personer","."
"1517","bosatt","2015","personer","."
"1519","bosatt","2015","personer","."
"1520","bosatt","2015","personer","."
"1523","bosatt","2015","personer","."
"1524","bosatt","2015","personer","."
"1525","bosatt","2015","personer","."
"1526","bosatt","2015","personer","."
"1528","bosatt","2015","personer","."
"1529","bosatt","2015","personer","."
"1531","bosatt","2015","personer","."
"1532","bosatt","2015","personer","."
"1534","bosatt","2015","personer","."
"1535","bosatt","2015","personer","."
"1539","bosatt","2015","personer","."
"1543","bosatt","2015","personer","."
"1545","bosatt","2015","personer","."
"1546","bosatt","2015","personer","."
"1547","bosatt","2015","personer","."
"1548","bosatt","2015","personer","."
"1551","bosatt","2015","personer","."
"1554","bosatt","2015","personer","."
"1557","bosatt","2015","personer","."
"1560","bosatt","2015","personer","."
"1563","bosatt","2015","personer","."
"1566","bosatt","2015","personer","."
"1567","bosatt","2015","personer","."
"1571","bosatt","2015","personer","."
"1573","bosatt","2015","personer","."
"1576","bosatt","2015","personer","."
"1601","bosatt","2015","personer","."
"1612","bosatt","2015","personer","."
"1613","bosatt","2015","personer","."
"1617","bosatt","2015","personer","."
"1620","bosatt","2015","personer","."
"1621","bosatt","2015","personer","."
"1622","bosatt","2015","personer","."
"1624","bosatt","2015","personer","."
"1627","bosatt","2015","personer","."
"1630","bosatt","2015","personer","."
"1632","bosatt","2015","personer","."
"1633","bosatt","2015","personer","."
"1634","bosatt","2015","personer","."
"1635","bosatt","2015","personer","."
"1636","bosatt","2015","personer","."
"1638","bosatt","2015","personer","."
"1640","bosatt","2015","personer","."
"1644","bosatt","2015","personer","."
"1648","bosatt","2015","personer","."
"1653","bosatt","2015","personer","."
"1657","bosatt","2015","personer","."
"1662","bosatt","2015","personer","."
"1663","bosatt","2015","personer","."
"1664","bosatt","2015","personer","."
"1665","bosatt","2015","personer","."
"1702","bosatt","2015","personer","."
"1703","bosatt","2015","personer","."
"1711","bosatt","2015","personer","."
"1714","bosatt","2015","personer","."
"1717","bosatt","2015","personer","."
"1718","bosatt","2015","personer","."
"1719","bosatt","2015","personer","."
"1721","bosatt","2015","personer","."
"1724","bosatt","2015","personer","."
"1725","bosatt","2015","personer","."
"1736","bosatt","2015","personer","."
"1738","bosatt","2015","personer","."
"1739","bosatt","2015","personer","."
"1740","bosatt","2015","personer","."
"1742","bosatt","2015","personer","."
"1743","bosatt","2015","personer","."
"1744","bosatt","2015","personer","."
"1748","bosatt","2015","personer","."
"1749","bosatt","2015","personer","."
"1750","bosatt","2015","personer","."
"1751","bosatt","2015","personer","."
"1755","bosatt","2015","personer","."
"1756","bosatt","2015","personer","."
"1804","bosatt","2015","personer","."
"1805","bosatt","2015","personer","."
"1811","bosatt","2015","personer","."
"1812","bosatt","2015","personer","."
"1813","bosatt","2015","personer","."
"1815","bosatt","2015","personer","."
"1816","bosatt","2015","personer","."
"1818","bosatt","2015","personer","."
"1820","bosatt","2015","personer","."
"1822","bosatt","2015","personer","."
"1824","bosatt","2015","personer","."
"1825","bosatt","2015","personer","."
"1826","bosatt","2015","personer","."
"1827","bosatt","2015","personer","."
"1828","bosatt","2015","personer","."
"1832","bosatt","2015","personer","."
"1833","bosatt","2015","personer","."
"1834","bosatt","2015","personer","."
"1835","bosatt","2015","personer","."
"1836","bosatt","2015","personer","."
"1837","bosatt","2015","personer","."
"1838","bosatt","2015","personer","."
"1839","bosatt","2015","personer","."
"1840","bosatt","2015","personer","."
"1841","bosatt","2015","personer","."
"1845","bosatt","2015","personer","."
"1848","bosatt","2015","personer","."
"1849","bosatt","2015","personer","."
"1850","bosatt","2015","personer","."
"1851","bosatt","2015","personer","."
"1852","bosatt","2015","personer","."
"1853","bosatt","2015","personer","."
"1854","bosatt","2015","personer","."
"1856","bosatt","2015","personer","."
"1857","bosatt","2015","personer","."
"1859","bosatt","2015","personer","."
"1860","bosatt","2015","personer","."
"1865","bosatt","2015","personer","."
"1866","bosatt","2015","personer","."
"1867","bosatt","2015","personer","."
"1868","bosatt","2015","personer","."
"1870","bosatt","2015","personer","."
"1871","bosatt","2015","personer","."
"1874","bosatt","2015","personer","."
"1902","bosatt","2015","personer","."
"1903","bosatt","2015","personer","."
"1911","bosatt","2015","personer","."
"1913","bosatt","2015","personer","."
"1917","bosatt","2015","personer","."
"1919","bosatt","2015","personer","."
"1920","bosatt","2015","personer","."
"1922","bosatt","2015","personer","."
"1923","bosatt","2015","personer","."
"1924","bosatt","2015","personer","."
"1925","bosatt","2015","personer","."
"1926","bosatt","2015","personer","."
"1927","bosatt","2015","personer","."
"1928","bosatt","2015","personer","."
"1929","bosatt","2015","personer","."
"1931","bosatt","2015","personer","."
"1933","bosatt","2015","personer","."
"1936","bosatt","2015","personer","."
"1938","bosatt","2015","personer","."
"1939","bosatt","2015","personer","."
"1940","bosatt","2015","personer","."
"1941","bosatt","2015","personer","."
"1942","bosatt","2015","personer","."
"1943","bosatt","2015","personer","."
"2002","bosatt","2015","personer","."
"2003","bosatt","2015","personer","."
"2004","bosatt","2015","personer","."
"2011","bosatt","2015","personer","."
"2012","bosatt","2015","personer","."
"2014","bosatt","2015","personer","."
"2015","bosatt","2015","personer","."
"2017","bosatt","2015","personer","."
"2018","bosatt","2015","personer","."
"2019","bosatt","2015","personer","."
"2020","bosatt","2015","personer","."
"2021","bosatt","2015","personer","."
"2022","bosatt","2015","personer","."
"2023","bosatt","2015","personer","."
"2024","bosatt","2015","personer","."
"2025","bosatt","2015","personer","."
"2027","bosatt","2015","personer","."
"2028","bosatt","2015","personer","."
"2030","bosatt","2015","personer","."
"0101","anmodning","2015","personer","30"
"0104","anmodning","2015","personer","40"
"0105","anmodning","2015","personer","65"
"0106","anmodning","2015","personer","90"
"0111","anmodning","2015","personer","15"
"0118","anmodning","2015","personer","15"
"0119","anmodning","2015","personer","10"
"0121","anmodning","2015","personer","10"
"0122","anmodning","2015","personer","10"
"0123","anmodning","2015","personer","15"
"0124","anmodning","2015","personer","25"
"0125","anmodning","2015","personer","25"
"0127","anmodning","2015","personer","10"
"0128","anmodning","2015","personer","15"
"0135","anmodning","2015","personer","15"
"0136","anmodning","2015","personer","20"
"0137","anmodning","2015","personer","15"
"0138","anmodning","2015","personer","10"
"0211","anmodning","2015","personer","18"
"0213","anmodning","2015","personer","58"
"0214","anmodning","2015","personer","18"
"0215","anmodning","2015","personer","18"
"0216","anmodning","2015","personer","20"
"0217","anmodning","2015","personer","40"
"0219","anmodning","2015","personer","155"
"0220","anmodning","2015","personer","90"
"0221","anmodning","2015","personer","15"
"0226","anmodning","2015","personer","15"
"0227","anmodning","2015","personer","15"
"0228","anmodning","2015","personer","25"
"0229","anmodning","2015","personer","15"
"0230","anmodning","2015","personer","55"
"0231","anmodning","2015","personer","75"
"0233","anmodning","2015","personer","20"
"0234","anmodning","2015","personer","10"
"0235","anmodning","2015","personer","35"
"0236","anmodning","2015","personer","30"
"0237","anmodning","2015","personer","25"
"0238","anmodning","2015","personer","15"
"0239","anmodning","2015","personer","10"
"0301","anmodning","2015","personer","720"
"0402","anmodning","2015","personer","40"
"0403","anmodning","2015","personer","60"
"0412","anmodning","2015","personer","55"
"0415","anmodning","2015","personer","15"
"0417","anmodning","2015","personer","30"
"0418","anmodning","2015","personer","10"
"0419","anmodning","2015","personer","15"
"0420","anmodning","2015","personer","10"
"0423","anmodning","2015","personer","10"
"0425","anmodning","2015","personer","15"
"0426","anmodning","2015","personer","10"
"0427","anmodning","2015","personer","50"
"0428","anmodning","2015","personer","15"
"0429","anmodning","2015","personer","10"
"0430","anmodning","2015","personer","10"
"0432","anmodning","2015","personer","10"
"0434","anmodning","2015","personer","10"
"0436","anmodning","2015","personer","15"
"0437","anmodning","2015","personer","20"
"0438","anmodning","2015","personer","15"
"0439","anmodning","2015","personer","10"
"0441","anmodning","2015","personer","10"
"0501","anmodning","2015","personer","55"
"0502","anmodning","2015","personer","55"
"0511","anmodning","2015","personer","10"
"0512","anmodning","2015","personer","10"
"0513","anmodning","2015","personer","10"
"0514","anmodning","2015","personer","10"
"0515","anmodning","2015","personer","12"
"0516","anmodning","2015","personer","20"
"0517","anmodning","2015","personer","15"
"0519","anmodning","2015","personer","10"
"0520","anmodning","2015","personer","10"
"0521","anmodning","2015","personer","15"
"0522","anmodning","2015","personer","15"
"0528","anmodning","2015","personer","25"
"0529","anmodning","2015","personer","25"
"0532","anmodning","2015","personer","15"
"0533","anmodning","2015","personer","35"
"0534","anmodning","2015","personer","35"
"0536","anmodning","2015","personer","10"
"0538","anmodning","2015","personer","15"
"0540","anmodning","2015","personer","10"
"0541","anmodning","2015","personer","10"
"0542","anmodning","2015","personer","15"
"0543","anmodning","2015","personer","10"
"0544","anmodning","2015","personer","10"
"0545","anmodning","2015","personer","10"
"0602","anmodning","2015","personer","130"
"0604","anmodning","2015","personer","50"
"0605","anmodning","2015","personer","45"
"0612","anmodning","2015","personer","15"
"0615","anmodning","2015","personer","10"
"0616","anmodning","2015","personer","10"
"0617","anmodning","2015","personer","10"
"0618","anmodning","2015","personer","10"
"0619","anmodning","2015","personer","10"
"0620","anmodning","2015","personer","10"
"0621","anmodning","2015","personer","10"
"0622","anmodning","2015","personer","10"
"0623","anmodning","2015","personer","25"
"0624","anmodning","2015","personer","35"
"0625","anmodning","2015","personer","45"
"0626","anmodning","2015","personer","45"
"0627","anmodning","2015","personer","40"
"0628","anmodning","2015","personer","20"
"0631","anmodning","2015","personer","14"
"0632","anmodning","2015","personer","10"
"0633","anmodning","2015","personer","10"
"0701","anmodning","2015","personer","40"
"0702","anmodning","2015","personer","18"
"0704","anmodning","2015","personer","55"
"0706","anmodning","2015","personer","55"
"0709","anmodning","2015","personer","55"
"0711","anmodning","2015","personer","15"
"0713","anmodning","2015","personer","15"
"0714","anmodning","2015","personer","15"
"0716","anmodning","2015","personer","25"
"0719","anmodning","2015","personer","15"
"0720","anmodning","2015","personer","25"
"0722","anmodning","2015","personer","30"
"0723","anmodning","2015","personer","15"
"0728","anmodning","2015","personer","15"
"0805","anmodning","2015","personer","90"
"0806","anmodning","2015","personer","120"
"0807","anmodning","2015","personer","45"
"0811","anmodning","2015","personer","10"
"0814","anmodning","2015","personer","50"
"0815","anmodning","2015","personer","50"
"0817","anmodning","2015","personer","15"
"0819","anmodning","2015","personer","25"
"0821","anmodning","2015","personer","25"
"0822","anmodning","2015","personer","27"
"0826","anmodning","2015","personer","20"
"0827","anmodning","2015","personer","10"
"0828","anmodning","2015","personer","15"
"0829","anmodning","2015","personer","10"
"0830","anmodning","2015","personer","10"
"0831","anmodning","2015","personer","10"
"0833","anmodning","2015","personer","10"
"0834","anmodning","2015","personer","10"
"0901","anmodning","2015","personer","30"
"0904","anmodning","2015","personer","45"
"0906","anmodning","2015","personer","125"
"0911","anmodning","2015","personer","15"
"0912","anmodning","2015","personer","10"
"0914","anmodning","2015","personer","20"
"0919","anmodning","2015","personer","15"
"0926","anmodning","2015","personer","40"
"0928","anmodning","2015","personer","20"
"0929","anmodning","2015","personer","15"
"0935","anmodning","2015","personer","10"
"0937","anmodning","2015","personer","20"
"0938","anmodning","2015","personer","10"
"0940","anmodning","2015","personer","10"
"0941","anmodning","2015","personer","10"
"1001","anmodning","2015","personer","210"
"1002","anmodning","2015","personer","40"
"1003","anmodning","2015","personer","45"
"1004","anmodning","2015","personer","40"
"1014","anmodning","2015","personer","45"
"1017","anmodning","2015","personer","35"
"1018","anmodning","2015","personer","45"
"1021","anmodning","2015","personer","10"
"1026","anmodning","2015","personer","10"
"1027","anmodning","2015","personer","10"
"1029","anmodning","2015","personer","20"
"1032","anmodning","2015","personer","35"
"1034","anmodning","2015","personer","10"
"1037","anmodning","2015","personer","30"
"1046","anmodning","2015","personer","10"
"1101","anmodning","2015","personer","35"
"1102","anmodning","2015","personer","70"
"1103","anmodning","2015","personer","120"
"1106","anmodning","2015","personer","60"
"1111","anmodning","2015","personer","10"
"1112","anmodning","2015","personer","20"
"1114","anmodning","2015","personer","10"
"1119","anmodning","2015","personer","30"
"1120","anmodning","2015","personer","35"
"1121","anmodning","2015","personer","35"
"1122","anmodning","2015","personer","30"
"1124","anmodning","2015","personer","35"
"1127","anmodning","2015","personer","30"
"1129","anmodning","2015","personer","6"
"1130","anmodning","2015","personer","30"
"1133","anmodning","2015","personer","20"
"1134","anmodning","2015","personer","20"
"1135","anmodning","2015","personer","20"
"1141","anmodning","2015","personer","10"
"1142","anmodning","2015","personer","20"
"1144","anmodning","2015","personer","6"
"1145","anmodning","2015","personer","6"
"1146","anmodning","2015","personer","30"
"1149","anmodning","2015","personer","60"
"1151","anmodning","2015","personer","6"
"1160","anmodning","2015","personer","20"
"1201","anmodning","2015","personer","350"
"1211","anmodning","2015","personer","10"
"1216","anmodning","2015","personer","15"
"1219","anmodning","2015","personer","30"
"1221","anmodning","2015","personer","35"
"1222","anmodning","2015","personer","10"
"1223","anmodning","2015","personer","10"
"1224","anmodning","2015","personer","25"
"1227","anmodning","2015","personer","10"
"1228","anmodning","2015","personer","20"
"1231","anmodning","2015","personer","20"
"1232","anmodning","2015","personer","10"
"1233","anmodning","2015","personer","10"
"1234","anmodning","2015","personer","10"
"1235","anmodning","2015","personer","30"
"1238","anmodning","2015","personer","20"
"1241","anmodning","2015","personer","10"
"1242","anmodning","2015","personer","10"
"1243","anmodning","2015","personer","20"
"1244","anmodning","2015","personer","10"
"1245","anmodning","2015","personer","15"
"1246","anmodning","2015","personer","40"
"1247","anmodning","2015","personer","40"
"1251","anmodning","2015","personer","15"
"1252","anmodning","2015","personer","6"
"1253","anmodning","2015","personer","15"
"1256","anmodning","2015","personer","20"
"1259","anmodning","2015","personer","20"
"1260","anmodning","2015","personer","15"
"1263","anmodning","2015","personer","20"
"1264","anmodning","2015","personer","10"
"1265","anmodning","2015","personer","6"
"1266","anmodning","2015","personer","10"
"1401","anmodning","2015","personer","35"
"1411","anmodning","2015","personer","10"
"1412","anmodning","2015","personer","6"
"1413","anmodning","2015","personer","10"
"1416","anmodning","2015","personer","15"
"1417","anmodning","2015","personer","10"
"1418","anmodning","2015","personer","10"
"1419","anmodning","2015","personer","10"
"1420","anmodning","2015","personer","30"
"1421","anmodning","2015","personer","10"
"1422","anmodning","2015","personer","10"
"1424","anmodning","2015","personer","10"
"1426","anmodning","2015","personer","10"
"1428","anmodning","2015","personer","10"
"1429","anmodning","2015","personer","10"
"1430","anmodning","2015","personer","10"
"1431","anmodning","2015","personer","10"
"1432","anmodning","2015","personer","35"
"1433","anmodning","2015","personer","10"
"1438","anmodning","2015","personer","15"
"1439","anmodning","2015","personer","10"
"1441","anmodning","2015","personer","10"
"1443","anmodning","2015","personer","30"
"1444","anmodning","2015","personer","6"
"1445","anmodning","2015","personer","15"
"1449","anmodning","2015","personer","20"
"1502","anmodning","2015","personer","60"
"1504","anmodning","2015","personer","90"
"1505","anmodning","2015","personer","50"
"1511","anmodning","2015","personer","15"
"1514","anmodning","2015","personer","10"
"1515","anmodning","2015","personer","30"
"1516","anmodning","2015","personer","20"
"1517","anmodning","2015","personer","15"
"1519","anmodning","2015","personer","30"
"1520","anmodning","2015","personer","30"
"1523","anmodning","2015","personer","10"
"1524","anmodning","2015","personer","10"
"1525","anmodning","2015","personer","17"
"1526","anmodning","2015","personer","10"
"1528","anmodning","2015","personer","20"
"1529","anmodning","2015","personer","10"
"1531","anmodning","2015","personer","25"
"1532","anmodning","2015","personer","15"
"1534","anmodning","2015","personer","30"
"1535","anmodning","2015","personer","15"
"1539","anmodning","2015","personer","15"
"1543","anmodning","2015","personer","10"
"1545","anmodning","2015","personer","10"
"1546","anmodning","2015","personer","10"
"1547","anmodning","2015","personer","15"
"1548","anmodning","2015","personer","30"
"1551","anmodning","2015","personer","10"
"1554","anmodning","2015","personer","15"
"1557","anmodning","2015","personer","15"
"1560","anmodning","2015","personer","10"
"1563","anmodning","2015","personer","25"
"1566","anmodning","2015","personer","15"
"1567","anmodning","2015","personer","10"
"1571","anmodning","2015","personer","17"
"1573","anmodning","2015","personer","10"
"1576","anmodning","2015","personer","10"
"1601","anmodning","2015","personer","300"
"1612","anmodning","2015","personer","10"
"1613","anmodning","2015","personer","10"
"1617","anmodning","2015","personer","15"
"1620","anmodning","2015","personer","15"
"1621","anmodning","2015","personer","15"
"1622","anmodning","2015","personer","10"
"1624","anmodning","2015","personer","20"
"1627","anmodning","2015","personer","15"
"1630","anmodning","2015","personer","10"
"1632","anmodning","2015","personer","10"
"1633","anmodning","2015","personer","10"
"1634","anmodning","2015","personer","20"
"1635","anmodning","2015","personer","10"
"1636","anmodning","2015","personer","10"
"1638","anmodning","2015","personer","30"
"1640","anmodning","2015","personer","15"
"1644","anmodning","2015","personer","10"
"1648","anmodning","2015","personer","15"
"1653","anmodning","2015","personer","35"
"1657","anmodning","2015","personer","20"
"1662","anmodning","2015","personer","15"
"1663","anmodning","2015","personer","30"
"1664","anmodning","2015","personer","10"
"1665","anmodning","2015","personer","10"
"1702","anmodning","2015","personer","45"
"1703","anmodning","2015","personer","40"
"1711","anmodning","2015","personer","15"
"1714","anmodning","2015","personer","45"
"1717","anmodning","2015","personer","10"
"1718","anmodning","2015","personer","10"
"1719","anmodning","2015","personer","45"
"1721","anmodning","2015","personer","35"
"1724","anmodning","2015","personer","10"
"1725","anmodning","2015","personer","10"
"1736","anmodning","2015","personer","10"
"1738","anmodning","2015","personer","10"
"1739","anmodning","2015","personer","10"
"1740","anmodning","2015","personer","10"
"1742","anmodning","2015","personer","10"
"1743","anmodning","2015","personer","10"
"1744","anmodning","2015","personer","10"
"1748","anmodning","2015","personer","10"
"1749","anmodning","2015","personer","10"
"1750","anmodning","2015","personer","15"
"1751","anmodning","2015","personer","20"
"1755","anmodning","2015","personer","10"
"1756","anmodning","2015","personer","20"
"1804","anmodning","2015","personer","90"
"1805","anmodning","2015","personer","45"
"1811","anmodning","2015","personer","10"
"1812","anmodning","2015","personer","15"
"1813","anmodning","2015","personer","30"
"1815","anmodning","2015","personer","15"
"1816","anmodning","2015","personer","10"
"1818","anmodning","2015","personer","10"
"1820","anmodning","2015","personer","35"
"1822","anmodning","2015","personer","20"
"1824","anmodning","2015","personer","30"
"1825","anmodning","2015","personer","15"
"1826","anmodning","2015","personer","15"
"1827","anmodning","2015","personer","10"
"1828","anmodning","2015","personer","20"
"1832","anmodning","2015","personer","10"
"1833","anmodning","2015","personer","50"
"1834","anmodning","2015","personer","15"
"1835","anmodning","2015","personer","10"
"1836","anmodning","2015","personer","15"
"1837","anmodning","2015","personer","15"
"1838","anmodning","2015","personer","15"
"1839","anmodning","2015","personer","10"
"1840","anmodning","2015","personer","20"
"1841","anmodning","2015","personer","30"
"1845","anmodning","2015","personer","10"
"1848","anmodning","2015","personer","10"
"1849","anmodning","2015","personer","20"
"1850","anmodning","2015","personer","15"
