"fylke_nr","bosetting","aar","enhet","tabellvariabel","tabell_navn"
"08","bosatt","2015","personer",".","bosatt_anmodede"
"00","bosatt","2015","personer",".","bosatt_anmodede"
"19","bosatt","2015","personer",".","bosatt_anmodede"
"10","bosatt","2015","personer",".","bosatt_anmodede"
"07","bosatt","2015","personer",".","bosatt_anmodede"
"01","bosatt","2015","personer",".","bosatt_anmodede"
"02","anmodning","2016","personer","1410","bosatt_anmodede"
"09","anmodning","2016","personer","580","bosatt_anmodede"
"06","anmodning","2016","personer","1037","bosatt_anmodede"
"20","anmodning","2016","personer","612","bosatt_anmodede"
"04","anmodning","2016","personer","760","bosatt_anmodede"
"12","anmodning","2016","personer","1792","bosatt_anmodede"
"15","anmodning","2016","personer","1078","bosatt_anmodede"
"18","anmodning","2016","personer","1531","bosatt_anmodede"
"17","anmodning","2016","personer","656","bosatt_anmodede"
"05","anmodning","2016","personer","775","bosatt_anmodede"
"03","anmodning","2016","personer","1000","bosatt_anmodede"
"11","anmodning","2016","personer","1541","bosatt_anmodede"
"14","anmodning","2016","personer","685","bosatt_anmodede"
"16","anmodning","2016","personer","1193","bosatt_anmodede"
"08","anmodning","2016","personer","755","bosatt_anmodede"
"00","anmodning","2016","personer","18521","bosatt_anmodede"
"19","anmodning","2016","personer","741","bosatt_anmodede"
"10","anmodning","2016","personer","855","bosatt_anmodede"
"07","anmodning","2016","personer","740","bosatt_anmodede"
"01","anmodning","2016","personer","780","bosatt_anmodede"
"02","vedtak","2016","personer","1114","bosatt_anmodede"
"09","vedtak","2016","personer","492","bosatt_anmodede"
"06","vedtak","2016","personer","729","bosatt_anmodede"
"20","vedtak","2016","personer","417","bosatt_anmodede"
"04","vedtak","2016","personer","494","bosatt_anmodede"
"12","vedtak","2016","personer","1121","bosatt_anmodede"
"15","vedtak","2016","personer","812","bosatt_anmodede"
"18","vedtak","2016","personer","913","bosatt_anmodede"
"17","vedtak","2016","personer","541","bosatt_anmodede"
"05","vedtak","2016","personer","598","bosatt_anmodede"
"03","vedtak","2016","personer","1000","bosatt_anmodede"
"11","vedtak","2016","personer","1273","bosatt_anmodede"
"14","vedtak","2016","personer","560","bosatt_anmodede"
"16","vedtak","2016","personer","1048","bosatt_anmodede"
"08","vedtak","2016","personer","697","bosatt_anmodede"
"00","vedtak","2016","personer","14556","bosatt_anmodede"
"19","vedtak","2016","personer","658","bosatt_anmodede"
"10","vedtak","2016","personer","728","bosatt_anmodede"
"07","vedtak","2016","personer","672","bosatt_anmodede"
"01","vedtak","2016","personer","689","bosatt_anmodede"
"02","bosatt","2016","personer",".","bosatt_anmodede"
"09","bosatt","2016","personer",".","bosatt_anmodede"
"06","bosatt","2016","personer",".","bosatt_anmodede"
"20","bosatt","2016","personer",".","bosatt_anmodede"
"04","bosatt","2016","personer",".","bosatt_anmodede"
"12","bosatt","2016","personer",".","bosatt_anmodede"
"15","bosatt","2016","personer",".","bosatt_anmodede"
"18","bosatt","2016","personer",".","bosatt_anmodede"
"17","bosatt","2016","personer",".","bosatt_anmodede"
"05","bosatt","2016","personer",".","bosatt_anmodede"
"03","bosatt","2016","personer",".","bosatt_anmodede"
"11","bosatt","2016","personer",".","bosatt_anmodede"
"14","bosatt","2016","personer",".","bosatt_anmodede"
"16","bosatt","2016","personer",".","bosatt_anmodede"
"08","bosatt","2016","personer",".","bosatt_anmodede"
"00","bosatt","2016","personer",".","bosatt_anmodede"
"19","bosatt","2016","personer",".","bosatt_anmodede"
"10","bosatt","2016","personer",".","bosatt_anmodede"
"07","bosatt","2016","personer",".","bosatt_anmodede"
"01","bosatt","2016","personer",".","bosatt_anmodede"
"02","anmodning","2015","prosent","100","bosatt_anmodede"
"09","anmodning","2015","prosent","100","bosatt_anmodede"
"06","anmodning","2015","prosent","100","bosatt_anmodede"
"20","anmodning","2015","prosent","100","bosatt_anmodede"
"04","anmodning","2015","prosent","100","bosatt_anmodede"
"12","anmodning","2015","prosent","100","bosatt_anmodede"
"15","anmodning","2015","prosent","100","bosatt_anmodede"
"18","anmodning","2015","prosent","100","bosatt_anmodede"
"17","anmodning","2015","prosent","100","bosatt_anmodede"
"05","anmodning","2015","prosent","100","bosatt_anmodede"
"03","anmodning","2015","prosent","100","bosatt_anmodede"
"11","anmodning","2015","prosent","100","bosatt_anmodede"
"14","anmodning","2015","prosent","100","bosatt_anmodede"
"16","anmodning","2015","prosent","100","bosatt_anmodede"
"08","anmodning","2015","prosent","100","bosatt_anmodede"
"00","anmodning","2015","prosent","100","bosatt_anmodede"
"19","anmodning","2015","prosent","100","bosatt_anmodede"
"10","anmodning","2015","prosent","100","bosatt_anmodede"
"07","anmodning","2015","prosent","100","bosatt_anmodede"
"01","anmodning","2015","prosent","100","bosatt_anmodede"
"02","vedtak","2015","prosent","117.12","bosatt_anmodede"
"09","vedtak","2015","prosent","101.52","bosatt_anmodede"
"06","vedtak","2015","prosent","114.89","bosatt_anmodede"
"20","vedtak","2015","prosent","78.59","bosatt_anmodede"
"04","vedtak","2015","prosent","84.72","bosatt_anmodede"
"12","vedtak","2015","prosent","97.21","bosatt_anmodede"
"15","vedtak","2015","prosent","92.83","bosatt_anmodede"
"18","vedtak","2015","prosent","94.16","bosatt_anmodede"
"17","vedtak","2015","prosent","108.81","bosatt_anmodede"
"05","vedtak","2015","prosent","115.68","bosatt_anmodede"
"03","vedtak","2015","prosent","112.64","bosatt_anmodede"
"11","vedtak","2015","prosent","102.2","bosatt_anmodede"
"14","vedtak","2015","prosent","129.16","bosatt_anmodede"
"16","vedtak","2015","prosent","124.18","bosatt_anmodede"
"08","vedtak","2015","prosent","90.58","bosatt_anmodede"
"00","vedtak","2015","prosent","104.77","bosatt_anmodede"
"19","vedtak","2015","prosent","95.97","bosatt_anmodede"
"10","vedtak","2015","prosent","108.74","bosatt_anmodede"
"07","vedtak","2015","prosent","140.71","bosatt_anmodede"
"01","vedtak","2015","prosent","95.17","bosatt_anmodede"
"02","bosatt","2015","prosent",".","bosatt_anmodede"
"09","bosatt","2015","prosent",".","bosatt_anmodede"
"06","bosatt","2015","prosent",".","bosatt_anmodede"
"20","bosatt","2015","prosent",".","bosatt_anmodede"
"04","bosatt","2015","prosent",".","bosatt_anmodede"
"12","bosatt","2015","prosent",".","bosatt_anmodede"
"15","bosatt","2015","prosent",".","bosatt_anmodede"
"18","bosatt","2015","prosent",".","bosatt_anmodede"
"17","bosatt","2015","prosent",".","bosatt_anmodede"
"05","bosatt","2015","prosent",".","bosatt_anmodede"
"03","bosatt","2015","prosent",".","bosatt_anmodede"
"11","bosatt","2015","prosent",".","bosatt_anmodede"
"14","bosatt","2015","prosent",".","bosatt_anmodede"
"16","bosatt","2015","prosent",".","bosatt_anmodede"
"08","bosatt","2015","prosent",".","bosatt_anmodede"
"00","bosatt","2015","prosent",".","bosatt_anmodede"
"19","bosatt","2015","prosent",".","bosatt_anmodede"
"10","bosatt","2015","prosent",".","bosatt_anmodede"
"07","bosatt","2015","prosent",".","bosatt_anmodede"
"01","bosatt","2015","prosent",".","bosatt_anmodede"
"02","anmodning","2016","prosent","100","bosatt_anmodede"
"09","anmodning","2016","prosent","100","bosatt_anmodede"
"06","anmodning","2016","prosent","100","bosatt_anmodede"
"20","anmodning","2016","prosent","100","bosatt_anmodede"
"04","anmodning","2016","prosent","100","bosatt_anmodede"
"12","anmodning","2016","prosent","100","bosatt_anmodede"
"15","anmodning","2016","prosent","100","bosatt_anmodede"
"18","anmodning","2016","prosent","100","bosatt_anmodede"
"17","anmodning","2016","prosent","100","bosatt_anmodede"
"05","anmodning","2016","prosent","100","bosatt_anmodede"
"03","anmodning","2016","prosent","100","bosatt_anmodede"
"11","anmodning","2016","prosent","100","bosatt_anmodede"
"14","anmodning","2016","prosent","100","bosatt_anmodede"
"16","anmodning","2016","prosent","100","bosatt_anmodede"
"08","anmodning","2016","prosent","100","bosatt_anmodede"
"00","anmodning","2016","prosent","100","bosatt_anmodede"
"19","anmodning","2016","prosent","100","bosatt_anmodede"
"10","anmodning","2016","prosent","100","bosatt_anmodede"
"07","anmodning","2016","prosent","100","bosatt_anmodede"
"01","anmodning","2016","prosent","100","bosatt_anmodede"
"02","vedtak","2016","prosent","79.01","bosatt_anmodede"
"09","vedtak","2016","prosent","84.83","bosatt_anmodede"
"06","vedtak","2016","prosent","70.3","bosatt_anmodede"
"20","vedtak","2016","prosent","68.14","bosatt_anmodede"
"04","vedtak","2016","prosent","65","bosatt_anmodede"
"12","vedtak","2016","prosent","62.56","bosatt_anmodede"
"15","vedtak","2016","prosent","75.32","bosatt_anmodede"
"18","vedtak","2016","prosent","59.63","bosatt_anmodede"
"17","vedtak","2016","prosent","82.47","bosatt_anmodede"
"05","vedtak","2016","prosent","77.16","bosatt_anmodede"
"03","vedtak","2016","prosent","100","bosatt_anmodede"
"11","vedtak","2016","prosent","82.61","bosatt_anmodede"
"14","vedtak","2016","prosent","81.75","bosatt_anmodede"
"16","vedtak","2016","prosent","87.85","bosatt_anmodede"
"08","vedtak","2016","prosent","92.32","bosatt_anmodede"
"00","vedtak","2016","prosent","78.59","bosatt_anmodede"
"19","vedtak","2016","prosent","88.8","bosatt_anmodede"
"10","vedtak","2016","prosent","85.15","bosatt_anmodede"
"07","vedtak","2016","prosent","90.81","bosatt_anmodede"
"01","vedtak","2016","prosent","88.33","bosatt_anmodede"
"02","bosatt","2016","prosent",".","bosatt_anmodede"
"09","bosatt","2016","prosent",".","bosatt_anmodede"
"06","bosatt","2016","prosent",".","bosatt_anmodede"
"20","bosatt","2016","prosent",".","bosatt_anmodede"
"04","bosatt","2016","prosent",".","bosatt_anmodede"
"12","bosatt","2016","prosent",".","bosatt_anmodede"
"15","bosatt","2016","prosent",".","bosatt_anmodede"
"18","bosatt","2016","prosent",".","bosatt_anmodede"
"17","bosatt","2016","prosent",".","bosatt_anmodede"
"05","bosatt","2016","prosent",".","bosatt_anmodede"
"03","bosatt","2016","prosent",".","bosatt_anmodede"
"11","bosatt","2016","prosent",".","bosatt_anmodede"
"14","bosatt","2016","prosent",".","bosatt_anmodede"
"16","bosatt","2016","prosent",".","bosatt_anmodede"
"08","bosatt","2016","prosent",".","bosatt_anmodede"
"00","bosatt","2016","prosent",".","bosatt_anmodede"
"19","bosatt","2016","prosent",".","bosatt_anmodede"
"10","bosatt","2016","prosent",".","bosatt_anmodede"
"07","bosatt","2016","prosent",".","bosatt_anmodede"
"01","bosatt","2016","prosent",".","bosatt_anmodede"
