"aar","fylke_nr","innvkat_5","kjonn","enhet","tabellvariabel","tabell_navn","kommune_nr","naringsregion_nr","bydel_nr"
"2011","01","norskfodte_m_innvf","alle","prosent","64.3","videregaende_fullfort","NULL","NULL","NULL"
"2011","01","bef_u_innv_og_norskf","0","personer","1127","videregaende_fullfort","NULL","NULL","NULL"
"2011","01","bef_u_innv_og_norskf","0","prosent","71.5","videregaende_fullfort","NULL","NULL","NULL"
"2011","01","bef_u_innv_og_norskf","1","personer","990","videregaende_fullfort","NULL","NULL","NULL"
"2011","01","bef_u_innv_og_norskf","1","prosent","62.7","videregaende_fullfort","NULL","NULL","NULL"
"2011","01","bef_u_innv_og_norskf","alle","personer","2117","videregaende_fullfort","NULL","NULL","NULL"
"2011","01","bef_u_innv_og_norskf","alle","prosent","67.1","videregaende_fullfort","NULL","NULL","NULL"
"2011","02","alle","0","personer","2709","videregaende_fullfort","NULL","NULL","NULL"
"2011","02","alle","0","prosent","79.5","videregaende_fullfort","NULL","NULL","NULL"
"2011","02","alle","1","personer","2612","videregaende_fullfort","NULL","NULL","NULL"
"2011","02","alle","1","prosent","70.3","videregaende_fullfort","NULL","NULL","NULL"
"2011","02","alle","alle","personer","5321","videregaende_fullfort","NULL","NULL","NULL"
"2011","02","alle","alle","prosent","74.7","videregaende_fullfort","NULL","NULL","NULL"
"2011","02","innvandrere","0","personer","79","videregaende_fullfort","NULL","NULL","NULL"
"2011","02","innvandrere","0","prosent","63.7","videregaende_fullfort","NULL","NULL","NULL"
"2011","02","innvandrere","1","personer","83","videregaende_fullfort","NULL","NULL","NULL"
"2011","02","innvandrere","1","prosent","55.3","videregaende_fullfort","NULL","NULL","NULL"
"2011","02","innvandrere","alle","personer","162","videregaende_fullfort","NULL","NULL","NULL"
"2011","02","innvandrere","alle","prosent","59.1","videregaende_fullfort","NULL","NULL","NULL"
"2011","02","befolkningen_ellers","0","personer","2630","videregaende_fullfort","NULL","NULL","NULL"
"2011","02","befolkningen_ellers","0","prosent","80.1","videregaende_fullfort","NULL","NULL","NULL"
"2011","02","befolkningen_ellers","1","personer","2529","videregaende_fullfort","NULL","NULL","NULL"
"2011","02","befolkningen_ellers","1","prosent","71","videregaende_fullfort","NULL","NULL","NULL"
"2011","02","befolkningen_ellers","alle","personer","5159","videregaende_fullfort","NULL","NULL","NULL"
"2011","02","befolkningen_ellers","alle","prosent","75.3","videregaende_fullfort","NULL","NULL","NULL"
"2011","02","norskfodte_m_innvf","0","personer","109","videregaende_fullfort","NULL","NULL","NULL"
"2011","02","norskfodte_m_innvf","0","prosent","80.7","videregaende_fullfort","NULL","NULL","NULL"
"2011","02","norskfodte_m_innvf","1","personer","89","videregaende_fullfort","NULL","NULL","NULL"
"2011","02","norskfodte_m_innvf","1","prosent","64","videregaende_fullfort","NULL","NULL","NULL"
"2011","02","norskfodte_m_innvf","alle","personer","198","videregaende_fullfort","NULL","NULL","NULL"
"2011","02","norskfodte_m_innvf","alle","prosent","72.3","videregaende_fullfort","NULL","NULL","NULL"
"2011","02","bef_u_innv_og_norskf","0","personer","2521","videregaende_fullfort","NULL","NULL","NULL"
"2011","02","bef_u_innv_og_norskf","0","prosent","80.1","videregaende_fullfort","NULL","NULL","NULL"
"2011","02","bef_u_innv_og_norskf","1","personer","2440","videregaende_fullfort","NULL","NULL","NULL"
"2011","02","bef_u_innv_og_norskf","1","prosent","71.2","videregaende_fullfort","NULL","NULL","NULL"
"2011","02","bef_u_innv_og_norskf","alle","personer","4961","videregaende_fullfort","NULL","NULL","NULL"
"2011","02","bef_u_innv_og_norskf","alle","prosent","75.5","videregaende_fullfort","NULL","NULL","NULL"
"2011","03","alle","0","personer","1979","videregaende_fullfort","NULL","NULL","NULL"
"2011","03","alle","0","prosent","81.3","videregaende_fullfort","NULL","NULL","NULL"
"2011","03","alle","1","personer","1728","videregaende_fullfort","NULL","NULL","NULL"
"2011","03","alle","1","prosent","68.8","videregaende_fullfort","NULL","NULL","NULL"
"2011","03","alle","alle","personer","3707","videregaende_fullfort","NULL","NULL","NULL"
"2011","03","alle","alle","prosent","74.9","videregaende_fullfort","NULL","NULL","NULL"
"2011","03","innvandrere","0","personer","160","videregaende_fullfort","NULL","NULL","NULL"
"2011","03","innvandrere","0","prosent","69.6","videregaende_fullfort","NULL","NULL","NULL"
"2011","03","innvandrere","1","personer","100","videregaende_fullfort","NULL","NULL","NULL"
"2011","03","innvandrere","1","prosent","46.1","videregaende_fullfort","NULL","NULL","NULL"
"2011","03","innvandrere","alle","personer","260","videregaende_fullfort","NULL","NULL","NULL"
"2011","03","innvandrere","alle","prosent","58.2","videregaende_fullfort","NULL","NULL","NULL"
"2011","03","befolkningen_ellers","0","personer","1819","videregaende_fullfort","NULL","NULL","NULL"
"2011","03","befolkningen_ellers","0","prosent","82.5","videregaende_fullfort","NULL","NULL","NULL"
"2011","03","befolkningen_ellers","1","personer","1628","videregaende_fullfort","NULL","NULL","NULL"
"2011","03","befolkningen_ellers","1","prosent","70.9","videregaende_fullfort","NULL","NULL","NULL"
"2011","03","befolkningen_ellers","alle","personer","3447","videregaende_fullfort","NULL","NULL","NULL"
"2011","03","befolkningen_ellers","alle","prosent","76.6","videregaende_fullfort","NULL","NULL","NULL"
"2011","03","norskfodte_m_innvf","0","personer","284","videregaende_fullfort","NULL","NULL","NULL"
"2011","03","norskfodte_m_innvf","0","prosent","76.3","videregaende_fullfort","NULL","NULL","NULL"
"2011","03","norskfodte_m_innvf","1","personer","245","videregaende_fullfort","NULL","NULL","NULL"
"2011","03","norskfodte_m_innvf","1","prosent","56.8","videregaende_fullfort","NULL","NULL","NULL"
"2011","03","norskfodte_m_innvf","alle","personer","529","videregaende_fullfort","NULL","NULL","NULL"
"2011","03","norskfodte_m_innvf","alle","prosent","65.9","videregaende_fullfort","NULL","NULL","NULL"
"2011","03","bef_u_innv_og_norskf","0","personer","1535","videregaende_fullfort","NULL","NULL","NULL"
"2011","03","bef_u_innv_og_norskf","0","prosent","83.7","videregaende_fullfort","NULL","NULL","NULL"
"2011","03","bef_u_innv_og_norskf","1","personer","1383","videregaende_fullfort","NULL","NULL","NULL"
"2011","03","bef_u_innv_og_norskf","1","prosent","74.2","videregaende_fullfort","NULL","NULL","NULL"
"2011","03","bef_u_innv_og_norskf","alle","personer","2918","videregaende_fullfort","NULL","NULL","NULL"
"2011","03","bef_u_innv_og_norskf","alle","prosent","78.9","videregaende_fullfort","NULL","NULL","NULL"
"2011","04","alle","0","personer","883","videregaende_fullfort","NULL","NULL","NULL"
"2011","04","alle","0","prosent","75.4","videregaende_fullfort","NULL","NULL","NULL"
"2011","04","alle","1","personer","796","videregaende_fullfort","NULL","NULL","NULL"
"2011","04","alle","1","prosent","61.6","videregaende_fullfort","NULL","NULL","NULL"
"2011","04","alle","alle","personer","1679","videregaende_fullfort","NULL","NULL","NULL"
"2011","04","alle","alle","prosent","68.2","videregaende_fullfort","NULL","NULL","NULL"
"2011","04","innvandrere","0","personer","24","videregaende_fullfort","NULL","NULL","NULL"
"2011","04","innvandrere","0","prosent","63.2","videregaende_fullfort","NULL","NULL","NULL"
"2011","04","innvandrere","1","personer","22","videregaende_fullfort","NULL","NULL","NULL"
"2011","04","innvandrere","1","prosent","44.9","videregaende_fullfort","NULL","NULL","NULL"
"2011","04","innvandrere","alle","personer","46","videregaende_fullfort","NULL","NULL","NULL"
"2011","04","innvandrere","alle","prosent","52.9","videregaende_fullfort","NULL","NULL","NULL"
"2011","04","befolkningen_ellers","0","personer","859","videregaende_fullfort","NULL","NULL","NULL"
"2011","04","befolkningen_ellers","0","prosent","75.8","videregaende_fullfort","NULL","NULL","NULL"
"2011","04","befolkningen_ellers","1","personer","774","videregaende_fullfort","NULL","NULL","NULL"
"2011","04","befolkningen_ellers","1","prosent","62.3","videregaende_fullfort","NULL","NULL","NULL"
"2011","04","befolkningen_ellers","alle","personer","1633","videregaende_fullfort","NULL","NULL","NULL"
"2011","04","befolkningen_ellers","alle","prosent","68.7","videregaende_fullfort","NULL","NULL","NULL"
"2011","04","norskfodte_m_innvf","0","personer","8","videregaende_fullfort","NULL","NULL","NULL"
"2011","04","norskfodte_m_innvf","0","prosent","88.9","videregaende_fullfort","NULL","NULL","NULL"
"2011","04","norskfodte_m_innvf","1","personer","8","videregaende_fullfort","NULL","NULL","NULL"
"2011","04","norskfodte_m_innvf","1","prosent","80","videregaende_fullfort","NULL","NULL","NULL"
"2011","04","norskfodte_m_innvf","alle","personer","16","videregaende_fullfort","NULL","NULL","NULL"
"2011","04","norskfodte_m_innvf","alle","prosent","84.2","videregaende_fullfort","NULL","NULL","NULL"
"2011","04","bef_u_innv_og_norskf","0","personer","851","videregaende_fullfort","NULL","NULL","NULL"
"2011","04","bef_u_innv_og_norskf","0","prosent","75.7","videregaende_fullfort","NULL","NULL","NULL"
"2011","04","bef_u_innv_og_norskf","1","personer","766","videregaende_fullfort","NULL","NULL","NULL"
"2011","04","bef_u_innv_og_norskf","1","prosent","62.1","videregaende_fullfort","NULL","NULL","NULL"
"2011","04","bef_u_innv_og_norskf","alle","personer","1617","videregaende_fullfort","NULL","NULL","NULL"
"2011","04","bef_u_innv_og_norskf","alle","prosent","68.6","videregaende_fullfort","NULL","NULL","NULL"
"2011","05","alle","0","personer","879","videregaende_fullfort","NULL","NULL","NULL"
"2011","05","alle","0","prosent","75.1","videregaende_fullfort","NULL","NULL","NULL"
"2011","05","alle","1","personer","795","videregaende_fullfort","NULL","NULL","NULL"
"2011","05","alle","1","prosent","63.5","videregaende_fullfort","NULL","NULL","NULL"
"2011","05","alle","alle","personer","1674","videregaende_fullfort","NULL","NULL","NULL"
"2011","05","alle","alle","prosent","69.1","videregaende_fullfort","NULL","NULL","NULL"
"2011","05","innvandrere","0","personer","20","videregaende_fullfort","NULL","NULL","NULL"
"2011","05","innvandrere","0","prosent","57.1","videregaende_fullfort","NULL","NULL","NULL"
"2011","05","innvandrere","1","personer","12","videregaende_fullfort","NULL","NULL","NULL"
"2011","05","innvandrere","1","prosent","35.3","videregaende_fullfort","NULL","NULL","NULL"
"2011","05","innvandrere","alle","personer","32","videregaende_fullfort","NULL","NULL","NULL"
"2011","05","innvandrere","alle","prosent","46.4","videregaende_fullfort","NULL","NULL","NULL"
"2011","05","befolkningen_ellers","0","personer","859","videregaende_fullfort","NULL","NULL","NULL"
"2011","05","befolkningen_ellers","0","prosent","75.6","videregaende_fullfort","NULL","NULL","NULL"
"2011","05","befolkningen_ellers","1","personer","783","videregaende_fullfort","NULL","NULL","NULL"
"2011","05","befolkningen_ellers","1","prosent","64.3","videregaende_fullfort","NULL","NULL","NULL"
"2011","05","befolkningen_ellers","alle","personer","1642","videregaende_fullfort","NULL","NULL","NULL"
"2011","05","befolkningen_ellers","alle","prosent","69.8","videregaende_fullfort","NULL","NULL","NULL"
"2011","05","norskfodte_m_innvf","0","personer","11","videregaende_fullfort","NULL","NULL","NULL"
"2011","05","norskfodte_m_innvf","0","prosent","78.6","videregaende_fullfort","NULL","NULL","NULL"
"2011","05","norskfodte_m_innvf","1","personer","9","videregaende_fullfort","NULL","NULL","NULL"
"2011","05","norskfodte_m_innvf","1","prosent","81.8","videregaende_fullfort","NULL","NULL","NULL"
"2011","05","norskfodte_m_innvf","alle","personer","20","videregaende_fullfort","NULL","NULL","NULL"
"2011","05","norskfodte_m_innvf","alle","prosent","80","videregaende_fullfort","NULL","NULL","NULL"
"2011","05","bef_u_innv_og_norskf","0","personer","848","videregaende_fullfort","NULL","NULL","NULL"
"2011","05","bef_u_innv_og_norskf","0","prosent","75.6","videregaende_fullfort","NULL","NULL","NULL"
"2011","05","bef_u_innv_og_norskf","1","personer","774","videregaende_fullfort","NULL","NULL","NULL"
"2011","05","bef_u_innv_og_norskf","1","prosent","64.2","videregaende_fullfort","NULL","NULL","NULL"
"2011","05","bef_u_innv_og_norskf","alle","personer","1622","videregaende_fullfort","NULL","NULL","NULL"
"2011","05","bef_u_innv_og_norskf","alle","prosent","69.7","videregaende_fullfort","NULL","NULL","NULL"
"2011","06","alle","0","personer","1148","videregaende_fullfort","NULL","NULL","NULL"
"2011","06","alle","0","prosent","75.1","videregaende_fullfort","NULL","NULL","NULL"
"2011","06","alle","1","personer","1065","videregaende_fullfort","NULL","NULL","NULL"
"2011","06","alle","1","prosent","63","videregaende_fullfort","NULL","NULL","NULL"
"2011","06","alle","alle","personer","2213","videregaende_fullfort","NULL","NULL","NULL"
"2011","06","alle","alle","prosent","68.7","videregaende_fullfort","NULL","NULL","NULL"
"2011","06","innvandrere","0","personer","43","videregaende_fullfort","NULL","NULL","NULL"
"2011","06","innvandrere","0","prosent","51.8","videregaende_fullfort","NULL","NULL","NULL"
"2011","06","innvandrere","1","personer","41","videregaende_fullfort","NULL","NULL","NULL"
"2011","06","innvandrere","1","prosent","43.2","videregaende_fullfort","NULL","NULL","NULL"
"2011","06","innvandrere","alle","personer","84","videregaende_fullfort","NULL","NULL","NULL"
"2011","06","innvandrere","alle","prosent","47.2","videregaende_fullfort","NULL","NULL","NULL"
"2011","06","befolkningen_ellers","0","personer","1105","videregaende_fullfort","NULL","NULL","NULL"
"2011","06","befolkningen_ellers","0","prosent","76.4","videregaende_fullfort","NULL","NULL","NULL"
"2011","06","befolkningen_ellers","1","personer","1024","videregaende_fullfort","NULL","NULL","NULL"
"2011","06","befolkningen_ellers","1","prosent","64.2","videregaende_fullfort","NULL","NULL","NULL"
"2011","06","befolkningen_ellers","alle","personer","2129","videregaende_fullfort","NULL","NULL","NULL"
"2011","06","befolkningen_ellers","alle","prosent","70","videregaende_fullfort","NULL","NULL","NULL"
"2011","06","norskfodte_m_innvf","0","personer","46","videregaende_fullfort","NULL","NULL","NULL"
"2011","06","norskfodte_m_innvf","0","prosent","69.7","videregaende_fullfort","NULL","NULL","NULL"
"2011","06","norskfodte_m_innvf","1","personer","33","videregaende_fullfort","NULL","NULL","NULL"
"2011","06","norskfodte_m_innvf","1","prosent","49.3","videregaende_fullfort","NULL","NULL","NULL"
"2011","06","norskfodte_m_innvf","alle","personer","79","videregaende_fullfort","NULL","NULL","NULL"
"2011","06","norskfodte_m_innvf","alle","prosent","59.4","videregaende_fullfort","NULL","NULL","NULL"
"2011","06","bef_u_innv_og_norskf","0","personer","1059","videregaende_fullfort","NULL","NULL","NULL"
"2011","06","bef_u_innv_og_norskf","0","prosent","76.7","videregaende_fullfort","NULL","NULL","NULL"
"2011","06","bef_u_innv_og_norskf","1","personer","991","videregaende_fullfort","NULL","NULL","NULL"
"2011","06","bef_u_innv_og_norskf","1","prosent","64.8","videregaende_fullfort","NULL","NULL","NULL"
"2011","06","bef_u_innv_og_norskf","alle","personer","2050","videregaende_fullfort","NULL","NULL","NULL"
"2011","06","bef_u_innv_og_norskf","alle","prosent","70.5","videregaende_fullfort","NULL","NULL","NULL"
"2011","07","alle","0","personer","1049","videregaende_fullfort","NULL","NULL","NULL"
"2011","07","alle","0","prosent","73.7","videregaende_fullfort","NULL","NULL","NULL"
"2011","07","alle","1","personer","959","videregaende_fullfort","NULL","NULL","NULL"
"2011","07","alle","1","prosent","62.4","videregaende_fullfort","NULL","NULL","NULL"
"2011","07","alle","alle","personer","2008","videregaende_fullfort","NULL","NULL","NULL"
"2011","07","alle","alle","prosent","67.8","videregaende_fullfort","NULL","NULL","NULL"
"2011","07","innvandrere","0","personer","39","videregaende_fullfort","NULL","NULL","NULL"
"2011","07","innvandrere","0","prosent","72.2","videregaende_fullfort","NULL","NULL","NULL"
"2011","07","innvandrere","1","personer","26","videregaende_fullfort","NULL","NULL","NULL"
"2011","07","innvandrere","1","prosent","35.1","videregaende_fullfort","NULL","NULL","NULL"
"2011","07","innvandrere","alle","personer","65","videregaende_fullfort","NULL","NULL","NULL"
"2011","07","innvandrere","alle","prosent","50.8","videregaende_fullfort","NULL","NULL","NULL"
"2011","07","befolkningen_ellers","0","personer","1010","videregaende_fullfort","NULL","NULL","NULL"
"2011","07","befolkningen_ellers","0","prosent","73.7","videregaende_fullfort","NULL","NULL","NULL"
"2011","07","befolkningen_ellers","1","personer","933","videregaende_fullfort","NULL","NULL","NULL"
"2011","07","befolkningen_ellers","1","prosent","63.7","videregaende_fullfort","NULL","NULL","NULL"
"2011","07","befolkningen_ellers","alle","personer","1943","videregaende_fullfort","NULL","NULL","NULL"
"2011","07","befolkningen_ellers","alle","prosent","68.6","videregaende_fullfort","NULL","NULL","NULL"
"2011","07","norskfodte_m_innvf","0","personer","15","videregaende_fullfort","NULL","NULL","NULL"
"2011","07","norskfodte_m_innvf","0","prosent","78.9","videregaende_fullfort","NULL","NULL","NULL"
"2011","07","norskfodte_m_innvf","1","personer","13","videregaende_fullfort","NULL","NULL","NULL"
"2011","07","norskfodte_m_innvf","1","prosent","59.1","videregaende_fullfort","NULL","NULL","NULL"
"2011","07","norskfodte_m_innvf","alle","personer","28","videregaende_fullfort","NULL","NULL","NULL"
"2011","07","norskfodte_m_innvf","alle","prosent","68.3","videregaende_fullfort","NULL","NULL","NULL"
"2011","07","bef_u_innv_og_norskf","0","personer","995","videregaende_fullfort","NULL","NULL","NULL"
"2011","07","bef_u_innv_og_norskf","0","prosent","73.6","videregaende_fullfort","NULL","NULL","NULL"
"2011","07","bef_u_innv_og_norskf","1","personer","920","videregaende_fullfort","NULL","NULL","NULL"
"2011","07","bef_u_innv_og_norskf","1","prosent","63.8","videregaende_fullfort","NULL","NULL","NULL"
"2011","07","bef_u_innv_og_norskf","alle","personer","1915","videregaende_fullfort","NULL","NULL","NULL"
"2011","07","bef_u_innv_og_norskf","alle","prosent","68.6","videregaende_fullfort","NULL","NULL","NULL"
"2011","08","alle","0","personer","779","videregaende_fullfort","NULL","NULL","NULL"
"2011","08","alle","0","prosent","72.3","videregaende_fullfort","NULL","NULL","NULL"
"2011","08","alle","1","personer","736","videregaende_fullfort","NULL","NULL","NULL"
"2011","08","alle","1","prosent","64.4","videregaende_fullfort","NULL","NULL","NULL"
"2011","08","alle","alle","personer","1515","videregaende_fullfort","NULL","NULL","NULL"
"2011","08","alle","alle","prosent","68.3","videregaende_fullfort","NULL","NULL","NULL"
"2011","08","innvandrere","0","personer","36","videregaende_fullfort","NULL","NULL","NULL"
"2011","08","innvandrere","0","prosent","61","videregaende_fullfort","NULL","NULL","NULL"
"2011","08","innvandrere","1","personer","34","videregaende_fullfort","NULL","NULL","NULL"
"2011","08","innvandrere","1","prosent","56.7","videregaende_fullfort","NULL","NULL","NULL"
"2011","08","innvandrere","alle","personer","70","videregaende_fullfort","NULL","NULL","NULL"
"2011","08","innvandrere","alle","prosent","58.8","videregaende_fullfort","NULL","NULL","NULL"
"2011","08","befolkningen_ellers","0","personer","743","videregaende_fullfort","NULL","NULL","NULL"
"2011","08","befolkningen_ellers","0","prosent","73","videregaende_fullfort","NULL","NULL","NULL"
"2011","08","befolkningen_ellers","1","personer","702","videregaende_fullfort","NULL","NULL","NULL"
"2011","08","befolkningen_ellers","1","prosent","64.9","videregaende_fullfort","NULL","NULL","NULL"
"2011","08","befolkningen_ellers","alle","personer","1445","videregaende_fullfort","NULL","NULL","NULL"
"2011","08","befolkningen_ellers","alle","prosent","68.8","videregaende_fullfort","NULL","NULL","NULL"
"2011","08","norskfodte_m_innvf","0","personer","6","videregaende_fullfort","NULL","NULL","NULL"
"2011","08","norskfodte_m_innvf","0","prosent","75","videregaende_fullfort","NULL","NULL","NULL"
"2011","08","norskfodte_m_innvf","1","personer","10","videregaende_fullfort","NULL","NULL","NULL"
"2011","08","norskfodte_m_innvf","1","prosent","43.5","videregaende_fullfort","NULL","NULL","NULL"
"2011","08","norskfodte_m_innvf","alle","personer","16","videregaende_fullfort","NULL","NULL","NULL"
"2011","08","norskfodte_m_innvf","alle","prosent","51.6","videregaende_fullfort","NULL","NULL","NULL"
"2011","08","bef_u_innv_og_norskf","0","personer","737","videregaende_fullfort","NULL","NULL","NULL"
"2011","08","bef_u_innv_og_norskf","0","prosent","73","videregaende_fullfort","NULL","NULL","NULL"
"2011","08","bef_u_innv_og_norskf","1","personer","692","videregaende_fullfort","NULL","NULL","NULL"
"2011","08","bef_u_innv_og_norskf","1","prosent","65.3","videregaende_fullfort","NULL","NULL","NULL"
"2011","08","bef_u_innv_og_norskf","alle","personer","1429","videregaende_fullfort","NULL","NULL","NULL"
"2011","08","bef_u_innv_og_norskf","alle","prosent","69.1","videregaende_fullfort","NULL","NULL","NULL"
"2011","09","alle","0","personer","506","videregaende_fullfort","NULL","NULL","NULL"
"2011","09","alle","0","prosent","70.9","videregaende_fullfort","NULL","NULL","NULL"
"2011","09","alle","1","personer","479","videregaende_fullfort","NULL","NULL","NULL"
"2011","09","alle","1","prosent","64.5","videregaende_fullfort","NULL","NULL","NULL"
"2011","09","alle","alle","personer","985","videregaende_fullfort","NULL","NULL","NULL"
"2011","09","alle","alle","prosent","67.6","videregaende_fullfort","NULL","NULL","NULL"
"2011","09","innvandrere","0","personer","16","videregaende_fullfort","NULL","NULL","NULL"
"2011","09","innvandrere","0","prosent","43.2","videregaende_fullfort","NULL","NULL","NULL"
"2011","09","innvandrere","1","personer","18","videregaende_fullfort","NULL","NULL","NULL"
"2011","09","innvandrere","1","prosent","46.2","videregaende_fullfort","NULL","NULL","NULL"
"2011","09","innvandrere","alle","personer","34","videregaende_fullfort","NULL","NULL","NULL"
"2011","09","innvandrere","alle","prosent","44.7","videregaende_fullfort","NULL","NULL","NULL"
"2011","09","befolkningen_ellers","0","personer","490","videregaende_fullfort","NULL","NULL","NULL"
"2011","09","befolkningen_ellers","0","prosent","72.4","videregaende_fullfort","NULL","NULL","NULL"
"2011","09","befolkningen_ellers","1","personer","461","videregaende_fullfort","NULL","NULL","NULL"
"2011","09","befolkningen_ellers","1","prosent","65.5","videregaende_fullfort","NULL","NULL","NULL"
"2011","09","befolkningen_ellers","alle","personer","951","videregaende_fullfort","NULL","NULL","NULL"
"2011","09","befolkningen_ellers","alle","prosent","68.9","videregaende_fullfort","NULL","NULL","NULL"
"2011","09","norskfodte_m_innvf","0","personer","5","videregaende_fullfort","NULL","NULL","NULL"
"2011","09","norskfodte_m_innvf","0","prosent","62.5","videregaende_fullfort","NULL","NULL","NULL"
"2011","09","norskfodte_m_innvf","1","personer","6","videregaende_fullfort","NULL","NULL","NULL"
"2011","09","norskfodte_m_innvf","1","prosent","100","videregaende_fullfort","NULL","NULL","NULL"
"2011","09","norskfodte_m_innvf","alle","personer","11","videregaende_fullfort","NULL","NULL","NULL"
"2011","09","norskfodte_m_innvf","alle","prosent","78.6","videregaende_fullfort","NULL","NULL","NULL"
"2011","09","bef_u_innv_og_norskf","0","personer","485","videregaende_fullfort","NULL","NULL","NULL"
"2011","09","bef_u_innv_og_norskf","0","prosent","72.5","videregaende_fullfort","NULL","NULL","NULL"
