"naringsregion_nr","spraak","bhgalder","enhet","tabellvariabel","aar","tabell_navn"
"52","alle","2","personer","613","2013","barnehagedeltakelse"
"53","alle","2","personer","620","2013","barnehagedeltakelse"
"54","alle","2","personer","162","2013","barnehagedeltakelse"
"55","alle","2","personer","546","2013","barnehagedeltakelse"
"56","alle","2","personer","948","2013","barnehagedeltakelse"
"57","alle","2","personer","263","2013","barnehagedeltakelse"
"58","alle","2","personer","86","2013","barnehagedeltakelse"
"59","alle","2","personer","100","2013","barnehagedeltakelse"
"60","alle","2","personer","238","2013","barnehagedeltakelse"
"61","alle","2","personer","2865","2013","barnehagedeltakelse"
"62","alle","2","personer","65","2013","barnehagedeltakelse"
"63","alle","2","personer","343","2013","barnehagedeltakelse"
"64","alle","2","personer","679","2013","barnehagedeltakelse"
"65","alle","2","personer","98","2013","barnehagedeltakelse"
"66","alle","2","personer","112","2013","barnehagedeltakelse"
"67","alle","2","personer","223","2013","barnehagedeltakelse"
"68","alle","2","personer","127","2013","barnehagedeltakelse"
"69","alle","2","personer","127","2013","barnehagedeltakelse"
"70","alle","2","personer","35","2013","barnehagedeltakelse"
"71","alle","2","personer","155","2013","barnehagedeltakelse"
"72","alle","2","personer","325","2013","barnehagedeltakelse"
"73","alle","2","personer","867","2013","barnehagedeltakelse"
"74","alle","2","personer","253","2013","barnehagedeltakelse"
"75","alle","2","personer","247","2013","barnehagedeltakelse"
"76","alle","2","personer","294","2013","barnehagedeltakelse"
"77","alle","2","personer","346","2013","barnehagedeltakelse"
"78","alle","2","personer","311","2013","barnehagedeltakelse"
"79","alle","2","personer","927","2013","barnehagedeltakelse"
"80","alle","2","personer","131","2013","barnehagedeltakelse"
"81","alle","2","personer","413","2013","barnehagedeltakelse"
"82","alle","2","personer","128","2013","barnehagedeltakelse"
"83","alle","2","personer","212","2013","barnehagedeltakelse"
"01","alle","3","personer","321","2013","barnehagedeltakelse"
"02","alle","3","personer","668","2013","barnehagedeltakelse"
"03","alle","3","personer","615","2013","barnehagedeltakelse"
"04","alle","3","personer","1425","2013","barnehagedeltakelse"
"05","alle","3","personer","2283","2013","barnehagedeltakelse"
"06","alle","3","personer","1735","2013","barnehagedeltakelse"
"07","alle","3","personer","2181","2013","barnehagedeltakelse"
"08","alle","3","personer","1245","2013","barnehagedeltakelse"
"09","alle","3","personer","7587","2013","barnehagedeltakelse"
"10","alle","3","personer","159","2013","barnehagedeltakelse"
"11","alle","3","personer","456","2013","barnehagedeltakelse"
"12","alle","3","personer","945","2013","barnehagedeltakelse"
"13","alle","3","personer","372","2013","barnehagedeltakelse"
"14","alle","3","personer","707","2013","barnehagedeltakelse"
"15","alle","3","personer","328","2013","barnehagedeltakelse"
"16","alle","3","personer","390","2013","barnehagedeltakelse"
"17","alle","3","personer","145","2013","barnehagedeltakelse"
"18","alle","3","personer","208","2013","barnehagedeltakelse"
"19","alle","3","personer","158","2013","barnehagedeltakelse"
"20","alle","3","personer","2023","2013","barnehagedeltakelse"
"21","alle","3","personer","207","2013","barnehagedeltakelse"
"22","alle","3","personer","393","2013","barnehagedeltakelse"
"23","alle","3","personer","196","2013","barnehagedeltakelse"
"24","alle","3","personer","416","2013","barnehagedeltakelse"
"25","alle","3","personer","1532","2013","barnehagedeltakelse"
"26","alle","3","personer","995","2013","barnehagedeltakelse"
"27","alle","3","personer","1281","2013","barnehagedeltakelse"
"28","alle","3","personer","186","2013","barnehagedeltakelse"
"29","alle","3","personer","218","2013","barnehagedeltakelse"
"30","alle","3","personer","141","2013","barnehagedeltakelse"
"31","alle","3","personer","86","2013","barnehagedeltakelse"
"32","alle","3","personer","1073","2013","barnehagedeltakelse"
"33","alle","3","personer","451","2013","barnehagedeltakelse"
"34","alle","3","personer","301","2013","barnehagedeltakelse"
"35","alle","3","personer","1706","2013","barnehagedeltakelse"
"36","alle","3","personer","317","2013","barnehagedeltakelse"
"37","alle","3","personer","1345","2013","barnehagedeltakelse"
"38","alle","3","personer","329","2013","barnehagedeltakelse"
"39","alle","3","personer","4516","2013","barnehagedeltakelse"
"40","alle","3","personer","3252","2013","barnehagedeltakelse"
"41","alle","3","personer","358","2013","barnehagedeltakelse"
"42","alle","3","personer","249","2013","barnehagedeltakelse"
"43","alle","3","personer","167","2013","barnehagedeltakelse"
"44","alle","3","personer","441","2013","barnehagedeltakelse"
"45","alle","3","personer","119","2013","barnehagedeltakelse"
"46","alle","3","personer","824","2013","barnehagedeltakelse"
"47","alle","3","personer","931","2013","barnehagedeltakelse"
"48","alle","3","personer","92","2013","barnehagedeltakelse"
"49","alle","3","personer","371","2013","barnehagedeltakelse"
"50","alle","3","personer","360","2013","barnehagedeltakelse"
"51","alle","3","personer","455","2013","barnehagedeltakelse"
"52","alle","3","personer","681","2013","barnehagedeltakelse"
"53","alle","3","personer","618","2013","barnehagedeltakelse"
"54","alle","3","personer","205","2013","barnehagedeltakelse"
"55","alle","3","personer","540","2013","barnehagedeltakelse"
"56","alle","3","personer","931","2013","barnehagedeltakelse"
"57","alle","3","personer","251","2013","barnehagedeltakelse"
"58","alle","3","personer","93","2013","barnehagedeltakelse"
"59","alle","3","personer","105","2013","barnehagedeltakelse"
"60","alle","3","personer","279","2013","barnehagedeltakelse"
"61","alle","3","personer","3053","2013","barnehagedeltakelse"
"62","alle","3","personer","70","2013","barnehagedeltakelse"
"63","alle","3","personer","345","2013","barnehagedeltakelse"
"64","alle","3","personer","753","2013","barnehagedeltakelse"
"65","alle","3","personer","90","2013","barnehagedeltakelse"
"66","alle","3","personer","109","2013","barnehagedeltakelse"
"67","alle","3","personer","250","2013","barnehagedeltakelse"
"68","alle","3","personer","147","2013","barnehagedeltakelse"
"69","alle","3","personer","128","2013","barnehagedeltakelse"
"70","alle","3","personer","40","2013","barnehagedeltakelse"
"71","alle","3","personer","169","2013","barnehagedeltakelse"
"72","alle","3","personer","367","2013","barnehagedeltakelse"
"73","alle","3","personer","893","2013","barnehagedeltakelse"
"74","alle","3","personer","282","2013","barnehagedeltakelse"
"75","alle","3","personer","244","2013","barnehagedeltakelse"
"76","alle","3","personer","296","2013","barnehagedeltakelse"
"77","alle","3","personer","429","2013","barnehagedeltakelse"
"78","alle","3","personer","320","2013","barnehagedeltakelse"
"79","alle","3","personer","1007","2013","barnehagedeltakelse"
"80","alle","3","personer","169","2013","barnehagedeltakelse"
"81","alle","3","personer","462","2013","barnehagedeltakelse"
"82","alle","3","personer","127","2013","barnehagedeltakelse"
"83","alle","3","personer","209","2013","barnehagedeltakelse"
"01","alle","4","personer","332","2013","barnehagedeltakelse"
"02","alle","4","personer","696","2013","barnehagedeltakelse"
"03","alle","4","personer","689","2013","barnehagedeltakelse"
"04","alle","4","personer","1676","2013","barnehagedeltakelse"
"05","alle","4","personer","2473","2013","barnehagedeltakelse"
"06","alle","4","personer","1833","2013","barnehagedeltakelse"
"07","alle","4","personer","2156","2013","barnehagedeltakelse"
"08","alle","4","personer","1343","2013","barnehagedeltakelse"
"09","alle","4","personer","7693","2013","barnehagedeltakelse"
"10","alle","4","personer","192","2013","barnehagedeltakelse"
"11","alle","4","personer","502","2013","barnehagedeltakelse"
"12","alle","4","personer","1023","2013","barnehagedeltakelse"
"13","alle","4","personer","383","2013","barnehagedeltakelse"
"14","alle","4","personer","739","2013","barnehagedeltakelse"
"15","alle","4","personer","300","2013","barnehagedeltakelse"
"16","alle","4","personer","378","2013","barnehagedeltakelse"
"17","alle","4","personer","137","2013","barnehagedeltakelse"
"18","alle","4","personer","177","2013","barnehagedeltakelse"
"19","alle","4","personer","203","2013","barnehagedeltakelse"
"20","alle","4","personer","2189","2013","barnehagedeltakelse"
"21","alle","4","personer","182","2013","barnehagedeltakelse"
"22","alle","4","personer","420","2013","barnehagedeltakelse"
"23","alle","4","personer","195","2013","barnehagedeltakelse"
"24","alle","4","personer","402","2013","barnehagedeltakelse"
"25","alle","4","personer","1507","2013","barnehagedeltakelse"
"26","alle","4","personer","1036","2013","barnehagedeltakelse"
"27","alle","4","personer","1232","2013","barnehagedeltakelse"
"28","alle","4","personer","186","2013","barnehagedeltakelse"
"29","alle","4","personer","216","2013","barnehagedeltakelse"
"30","alle","4","personer","160","2013","barnehagedeltakelse"
"31","alle","4","personer","79","2013","barnehagedeltakelse"
"32","alle","4","personer","1130","2013","barnehagedeltakelse"
"33","alle","4","personer","471","2013","barnehagedeltakelse"
"34","alle","4","personer","338","2013","barnehagedeltakelse"
"35","alle","4","personer","1870","2013","barnehagedeltakelse"
"36","alle","4","personer","353","2013","barnehagedeltakelse"
"37","alle","4","personer","1362","2013","barnehagedeltakelse"
"38","alle","4","personer","342","2013","barnehagedeltakelse"
"39","alle","4","personer","4366","2013","barnehagedeltakelse"
"40","alle","4","personer","3249","2013","barnehagedeltakelse"
"41","alle","4","personer","335","2013","barnehagedeltakelse"
"42","alle","4","personer","223","2013","barnehagedeltakelse"
"43","alle","4","personer","167","2013","barnehagedeltakelse"
"44","alle","4","personer","475","2013","barnehagedeltakelse"
"45","alle","4","personer","169","2013","barnehagedeltakelse"
"46","alle","4","personer","930","2013","barnehagedeltakelse"
"47","alle","4","personer","977","2013","barnehagedeltakelse"
"48","alle","4","personer","106","2013","barnehagedeltakelse"
"49","alle","4","personer","376","2013","barnehagedeltakelse"
"50","alle","4","personer","330","2013","barnehagedeltakelse"
"51","alle","4","personer","462","2013","barnehagedeltakelse"
"52","alle","4","personer","667","2013","barnehagedeltakelse"
"53","alle","4","personer","699","2013","barnehagedeltakelse"
"54","alle","4","personer","205","2013","barnehagedeltakelse"
"55","alle","4","personer","621","2013","barnehagedeltakelse"
"56","alle","4","personer","1071","2013","barnehagedeltakelse"
"57","alle","4","personer","263","2013","barnehagedeltakelse"
"58","alle","4","personer","91","2013","barnehagedeltakelse"
"59","alle","4","personer","96","2013","barnehagedeltakelse"
"60","alle","4","personer","271","2013","barnehagedeltakelse"
"61","alle","4","personer","2992","2013","barnehagedeltakelse"
"62","alle","4","personer","88","2013","barnehagedeltakelse"
"63","alle","4","personer","370","2013","barnehagedeltakelse"
"64","alle","4","personer","789","2013","barnehagedeltakelse"
"65","alle","4","personer","88","2013","barnehagedeltakelse"
"66","alle","4","personer","116","2013","barnehagedeltakelse"
"67","alle","4","personer","260","2013","barnehagedeltakelse"
"68","alle","4","personer","173","2013","barnehagedeltakelse"
"69","alle","4","personer","139","2013","barnehagedeltakelse"
"70","alle","4","personer","41","2013","barnehagedeltakelse"
"71","alle","4","personer","161","2013","barnehagedeltakelse"
"72","alle","4","personer","397","2013","barnehagedeltakelse"
"73","alle","4","personer","967","2013","barnehagedeltakelse"
"74","alle","4","personer","252","2013","barnehagedeltakelse"
"75","alle","4","personer","245","2013","barnehagedeltakelse"
"76","alle","4","personer","337","2013","barnehagedeltakelse"
"77","alle","4","personer","415","2013","barnehagedeltakelse"
"78","alle","4","personer","377","2013","barnehagedeltakelse"
"79","alle","4","personer","990","2013","barnehagedeltakelse"
"80","alle","4","personer","139","2013","barnehagedeltakelse"
"81","alle","4","personer","478","2013","barnehagedeltakelse"
"82","alle","4","personer","153","2013","barnehagedeltakelse"
"83","alle","4","personer","247","2013","barnehagedeltakelse"
"01","alle","5","personer","345","2013","barnehagedeltakelse"
"02","alle","5","personer","681","2013","barnehagedeltakelse"
"03","alle","5","personer","654","2013","barnehagedeltakelse"
"04","alle","5","personer","1542","2013","barnehagedeltakelse"
"05","alle","5","personer","2372","2013","barnehagedeltakelse"
"06","alle","5","personer","1900","2013","barnehagedeltakelse"
"07","alle","5","personer","2268","2013","barnehagedeltakelse"
"08","alle","5","personer","1277","2013","barnehagedeltakelse"
"09","alle","5","personer","7367","2013","barnehagedeltakelse"
"10","alle","5","personer","169","2013","barnehagedeltakelse"
"11","alle","5","personer","493","2013","barnehagedeltakelse"
"12","alle","5","personer","995","2013","barnehagedeltakelse"
"13","alle","5","personer","380","2013","barnehagedeltakelse"
"14","alle","5","personer","751","2013","barnehagedeltakelse"
"15","alle","5","personer","323","2013","barnehagedeltakelse"
"16","alle","5","personer","437","2013","barnehagedeltakelse"
"17","alle","5","personer","148","2013","barnehagedeltakelse"
"18","alle","5","personer","189","2013","barnehagedeltakelse"
"19","alle","5","personer","192","2013","barnehagedeltakelse"
"20","alle","5","personer","2282","2013","barnehagedeltakelse"
"21","alle","5","personer","219","2013","barnehagedeltakelse"
"22","alle","5","personer","410","2013","barnehagedeltakelse"
"23","alle","5","personer","230","2013","barnehagedeltakelse"
"24","alle","5","personer","388","2013","barnehagedeltakelse"
"25","alle","5","personer","1550","2013","barnehagedeltakelse"
"26","alle","5","personer","1046","2013","barnehagedeltakelse"
"27","alle","5","personer","1335","2013","barnehagedeltakelse"
"28","alle","5","personer","170","2013","barnehagedeltakelse"
"29","alle","5","personer","221","2013","barnehagedeltakelse"
"30","alle","5","personer","145","2013","barnehagedeltakelse"
"31","alle","5","personer","86","2013","barnehagedeltakelse"
"32","alle","5","personer","1111","2013","barnehagedeltakelse"
"33","alle","5","personer","474","2013","barnehagedeltakelse"
"34","alle","5","personer","338","2013","barnehagedeltakelse"
"35","alle","5","personer","1755","2013","barnehagedeltakelse"
"36","alle","5","personer","325","2013","barnehagedeltakelse"
"37","alle","5","personer","1355","2013","barnehagedeltakelse"
"38","alle","5","personer","323","2013","barnehagedeltakelse"
"39","alle","5","personer","4280","2013","barnehagedeltakelse"
"40","alle","5","personer","3237","2013","barnehagedeltakelse"
"41","alle","5","personer","399","2013","barnehagedeltakelse"
"42","alle","5","personer","250","2013","barnehagedeltakelse"
"43","alle","5","personer","154","2013","barnehagedeltakelse"
"44","alle","5","personer","453","2013","barnehagedeltakelse"
"45","alle","5","personer","137","2013","barnehagedeltakelse"
"46","alle","5","personer","830","2013","barnehagedeltakelse"
"47","alle","5","personer","945","2013","barnehagedeltakelse"
"48","alle","5","personer","97","2013","barnehagedeltakelse"
"49","alle","5","personer","391","2013","barnehagedeltakelse"
"50","alle","5","personer","360","2013","barnehagedeltakelse"
"51","alle","5","personer","459","2013","barnehagedeltakelse"
"52","alle","5","personer","667","2013","barnehagedeltakelse"
"53","alle","5","personer","670","2013","barnehagedeltakelse"
"54","alle","5","personer","196","2013","barnehagedeltakelse"
"55","alle","5","personer","611","2013","barnehagedeltakelse"
"56","alle","5","personer","949","2013","barnehagedeltakelse"
"57","alle","5","personer","280","2013","barnehagedeltakelse"
"58","alle","5","personer","109","2013","barnehagedeltakelse"
"59","alle","5","personer","101","2013","barnehagedeltakelse"
"60","alle","5","personer","283","2013","barnehagedeltakelse"
"61","alle","5","personer","2897","2013","barnehagedeltakelse"
"62","alle","5","personer","93","2013","barnehagedeltakelse"
"63","alle","5","personer","350","2013","barnehagedeltakelse"
"64","alle","5","personer","830","2013","barnehagedeltakelse"
"65","alle","5","personer","80","2013","barnehagedeltakelse"
"66","alle","5","personer","114","2013","barnehagedeltakelse"
"67","alle","5","personer","245","2013","barnehagedeltakelse"
"68","alle","5","personer","131","2013","barnehagedeltakelse"
"69","alle","5","personer","138","2013","barnehagedeltakelse"
"70","alle","5","personer","33","2013","barnehagedeltakelse"
"71","alle","5","personer","167","2013","barnehagedeltakelse"
