"bydel_nr","spraak","bhgalder","enhet","tabellvariabel","aar","tabell_navn"
"030115","alle","2","personer","380",2014,"barnehagedeltakelse"
"030116","alle","2","personer",".",2014,"barnehagedeltakelse"
"030117","alle","2","personer",".",2014,"barnehagedeltakelse"
"030199","alle","2","personer",".",2014,"barnehagedeltakelse"
"030101","alle","3","personer","648",2014,"barnehagedeltakelse"
"030102","alle","3","personer","646",2014,"barnehagedeltakelse"
"030103","alle","3","personer","461",2014,"barnehagedeltakelse"
"030104","alle","3","personer","426",2014,"barnehagedeltakelse"
"030105","alle","3","personer","470",2014,"barnehagedeltakelse"
"030106","alle","3","personer","474",2014,"barnehagedeltakelse"
"030107","alle","3","personer","571",2014,"barnehagedeltakelse"
"030108","alle","3","personer","769",2014,"barnehagedeltakelse"
"030109","alle","3","personer","389",2014,"barnehagedeltakelse"
"030110","alle","3","personer","295",2014,"barnehagedeltakelse"
"030111","alle","3","personer","287",2014,"barnehagedeltakelse"
"030112","alle","3","personer","582",2014,"barnehagedeltakelse"
"030113","alle","3","personer","579",2014,"barnehagedeltakelse"
"030114","alle","3","personer","587",2014,"barnehagedeltakelse"
"030115","alle","3","personer","472",2014,"barnehagedeltakelse"
"030116","alle","3","personer",".",2014,"barnehagedeltakelse"
"030117","alle","3","personer",".",2014,"barnehagedeltakelse"
"030199","alle","3","personer",".",2014,"barnehagedeltakelse"
"030101","alle","4","personer","563",2014,"barnehagedeltakelse"
"030102","alle","4","personer","491",2014,"barnehagedeltakelse"
"030103","alle","4","personer","399",2014,"barnehagedeltakelse"
"030104","alle","4","personer","359",2014,"barnehagedeltakelse"
"030105","alle","4","personer","491",2014,"barnehagedeltakelse"
"030106","alle","4","personer","429",2014,"barnehagedeltakelse"
"030107","alle","4","personer","610",2014,"barnehagedeltakelse"
"030108","alle","4","personer","776",2014,"barnehagedeltakelse"
"030109","alle","4","personer","442",2014,"barnehagedeltakelse"
"030110","alle","4","personer","319",2014,"barnehagedeltakelse"
"030111","alle","4","personer","360",2014,"barnehagedeltakelse"
"030112","alle","4","personer","621",2014,"barnehagedeltakelse"
"030113","alle","4","personer","651",2014,"barnehagedeltakelse"
"030114","alle","4","personer","685",2014,"barnehagedeltakelse"
"030115","alle","4","personer","495",2014,"barnehagedeltakelse"
"030116","alle","4","personer",".",2014,"barnehagedeltakelse"
"030117","alle","4","personer",".",2014,"barnehagedeltakelse"
"030199","alle","4","personer",".",2014,"barnehagedeltakelse"
"030101","alle","5","personer","565",2014,"barnehagedeltakelse"
"030102","alle","5","personer","479",2014,"barnehagedeltakelse"
"030103","alle","5","personer","322",2014,"barnehagedeltakelse"
"030104","alle","5","personer","313",2014,"barnehagedeltakelse"
"030105","alle","5","personer","473",2014,"barnehagedeltakelse"
"030106","alle","5","personer","447",2014,"barnehagedeltakelse"
"030107","alle","5","personer","641",2014,"barnehagedeltakelse"
"030108","alle","5","personer","737",2014,"barnehagedeltakelse"
"030109","alle","5","personer","433",2014,"barnehagedeltakelse"
"030110","alle","5","personer","316",2014,"barnehagedeltakelse"
"030111","alle","5","personer","371",2014,"barnehagedeltakelse"
"030112","alle","5","personer","649",2014,"barnehagedeltakelse"
"030113","alle","5","personer","670",2014,"barnehagedeltakelse"
"030114","alle","5","personer","671",2014,"barnehagedeltakelse"
"030115","alle","5","personer","552",2014,"barnehagedeltakelse"
"030116","alle","5","personer",".",2014,"barnehagedeltakelse"
"030117","alle","5","personer",".",2014,"barnehagedeltakelse"
"030199","alle","5","personer",".",2014,"barnehagedeltakelse"
"030101","alle","1_5","prosent","82,00614697",2014,"barnehagedeltakelse"
"030102","alle","1_5","prosent","87,72040302",2014,"barnehagedeltakelse"
"030103","alle","1_5","prosent","89,5841744",2014,"barnehagedeltakelse"
"030104","alle","1_5","prosent","118,7092954",2014,"barnehagedeltakelse"
"030105","alle","1_5","prosent","102,3717119",2014,"barnehagedeltakelse"
"030106","alle","1_5","prosent","99,44392956",2014,"barnehagedeltakelse"
"030107","alle","1_5","prosent","84,92180584",2014,"barnehagedeltakelse"
"030108","alle","1_5","prosent","106,8667051",2014,"barnehagedeltakelse"
"030109","alle","1_5","prosent","79,11056712",2014,"barnehagedeltakelse"
"030110","alle","1_5","prosent","72,53634895",2014,"barnehagedeltakelse"
"030111","alle","1_5","prosent","63,96917148",2014,"barnehagedeltakelse"
"030112","alle","1_5","prosent","75,76625609",2014,"barnehagedeltakelse"
"030113","alle","1_5","prosent","80,07166483",2014,"barnehagedeltakelse"
"030114","alle","1_5","prosent","89,59503399",2014,"barnehagedeltakelse"
"030115","alle","1_5","prosent","71,1916046",2014,"barnehagedeltakelse"
"030116","alle","1_5","prosent",".",2014,"barnehagedeltakelse"
"030117","alle","1_5","prosent",".",2014,"barnehagedeltakelse"
"030199","alle","1_5","prosent",".",2014,"barnehagedeltakelse"
"030101","alle","1","prosent","58,89929742",2014,"barnehagedeltakelse"
"030102","alle","1","prosent","68,00501882",2014,"barnehagedeltakelse"
"030103","alle","1","prosent","72,19858156",2014,"barnehagedeltakelse"
"030104","alle","1","prosent","95,23809524",2014,"barnehagedeltakelse"
"030105","alle","1","prosent","72,55244755",2014,"barnehagedeltakelse"
"030106","alle","1","prosent","88,6746988",2014,"barnehagedeltakelse"
"030107","alle","1","prosent","68,16143498",2014,"barnehagedeltakelse"
"030108","alle","1","prosent","99,55555556",2014,"barnehagedeltakelse"
"030109","alle","1","prosent","57,23684211",2014,"barnehagedeltakelse"
"030110","alle","1","prosent","40",2014,"barnehagedeltakelse"
"030111","alle","1","prosent","18,73417722",2014,"barnehagedeltakelse"
"030112","alle","1","prosent","40,65934066",2014,"barnehagedeltakelse"
"030113","alle","1","prosent","57,62711864",2014,"barnehagedeltakelse"
"030114","alle","1","prosent","69,43164363",2014,"barnehagedeltakelse"
"030115","alle","1","prosent","36,49373882",2014,"barnehagedeltakelse"
"030116","alle","1","prosent",".",2014,"barnehagedeltakelse"
"030117","alle","1","prosent",".",2014,"barnehagedeltakelse"
"030199","alle","1","prosent",".",2014,"barnehagedeltakelse"
"030101","alle","2","prosent","82,10262829",2014,"barnehagedeltakelse"
"030102","alle","2","prosent","86,14540466",2014,"barnehagedeltakelse"
"030103","alle","2","prosent","92,95774648",2014,"barnehagedeltakelse"
"030104","alle","2","prosent","135,3623188",2014,"barnehagedeltakelse"
"030105","alle","2","prosent","103,960396",2014,"barnehagedeltakelse"
"030106","alle","2","prosent","99,30394432",2014,"barnehagedeltakelse"
"030107","alle","2","prosent","85,47008547",2014,"barnehagedeltakelse"
"030108","alle","2","prosent","116,4596273",2014,"barnehagedeltakelse"
"030109","alle","2","prosent","80,859375",2014,"barnehagedeltakelse"
"030110","alle","2","prosent","70,33248082",2014,"barnehagedeltakelse"
"030111","alle","2","prosent","52,91479821",2014,"barnehagedeltakelse"
"030112","alle","2","prosent","72,44897959",2014,"barnehagedeltakelse"
"030113","alle","2","prosent","81,94805195",2014,"barnehagedeltakelse"
"030114","alle","2","prosent","92,30769231",2014,"barnehagedeltakelse"
"030115","alle","2","prosent","64,95726496",2014,"barnehagedeltakelse"
"030116","alle","2","prosent",".",2014,"barnehagedeltakelse"
"030117","alle","2","prosent",".",2014,"barnehagedeltakelse"
"030199","alle","2","prosent",".",2014,"barnehagedeltakelse"
"030101","alle","3","prosent","93,10344828",2014,"barnehagedeltakelse"
"030102","alle","3","prosent","98,77675841",2014,"barnehagedeltakelse"
"030103","alle","3","prosent","93,50912779",2014,"barnehagedeltakelse"
"030104","alle","3","prosent","128,313253",2014,"barnehagedeltakelse"
"030105","alle","3","prosent","106,0948081",2014,"barnehagedeltakelse"
"030106","alle","3","prosent","106,9977427",2014,"barnehagedeltakelse"
"030107","alle","3","prosent","87,84615385",2014,"barnehagedeltakelse"
"030108","alle","3","prosent","110,4885057",2014,"barnehagedeltakelse"
"030109","alle","3","prosent","80,87318087",2014,"barnehagedeltakelse"
"030110","alle","3","prosent","79,72972973",2014,"barnehagedeltakelse"
"030111","alle","3","prosent","72,84263959",2014,"barnehagedeltakelse"
"030112","alle","3","prosent","83,62068966",2014,"barnehagedeltakelse"
"030113","alle","3","prosent","83,07030129",2014,"barnehagedeltakelse"
"030114","alle","3","prosent","92,00626959",2014,"barnehagedeltakelse"
"030115","alle","3","prosent","77,12418301",2014,"barnehagedeltakelse"
"030116","alle","3","prosent",".",2014,"barnehagedeltakelse"
"030117","alle","3","prosent",".",2014,"barnehagedeltakelse"
"030199","alle","3","prosent",".",2014,"barnehagedeltakelse"
"030101","alle","4","prosent","91,54471545",2014,"barnehagedeltakelse"
"030102","alle","4","prosent","96,65354331",2014,"barnehagedeltakelse"
"030103","alle","4","prosent","102,5706941",2014,"barnehagedeltakelse"
"030104","alle","4","prosent","125,9649123",2014,"barnehagedeltakelse"
"030105","alle","4","prosent","117,7458034",2014,"barnehagedeltakelse"
"030106","alle","4","prosent","102,1428571",2014,"barnehagedeltakelse"
"030107","alle","4","prosent","90,37037037",2014,"barnehagedeltakelse"
"030108","alle","4","prosent","105,8663029",2014,"barnehagedeltakelse"
"030109","alle","4","prosent","85,9922179",2014,"barnehagedeltakelse"
"030110","alle","4","prosent","85,98382749",2014,"barnehagedeltakelse"
"030111","alle","4","prosent","86,12440191",2014,"barnehagedeltakelse"
"030112","alle","4","prosent","87,58815233",2014,"barnehagedeltakelse"
"030113","alle","4","prosent","87,03208556",2014,"barnehagedeltakelse"
"030114","alle","4","prosent","95,67039106",2014,"barnehagedeltakelse"
"030115","alle","4","prosent","83,75634518",2014,"barnehagedeltakelse"
"030116","alle","4","prosent",".",2014,"barnehagedeltakelse"
"030117","alle","4","prosent",".",2014,"barnehagedeltakelse"
"030199","alle","4","prosent",".",2014,"barnehagedeltakelse"
"030101","alle","5","prosent","91,8699187",2014,"barnehagedeltakelse"
"030102","alle","5","prosent","98,1557377",2014,"barnehagedeltakelse"
"030103","alle","5","prosent","100",2014,"barnehagedeltakelse"
"030104","alle","5","prosent","118,1132075",2014,"barnehagedeltakelse"
"030105","alle","5","prosent","123,8219895",2014,"barnehagedeltakelse"
"030106","alle","5","prosent","99,5545657",2014,"barnehagedeltakelse"
"030107","alle","5","prosent","92,4963925",2014,"barnehagedeltakelse"
"030108","alle","5","prosent","102,6462396",2014,"barnehagedeltakelse"
"030109","alle","5","prosent","88,7295082",2014,"barnehagedeltakelse"
"030110","alle","5","prosent","85,40540541",2014,"barnehagedeltakelse"
"030111","alle","5","prosent","87,70685579",2014,"barnehagedeltakelse"
"030112","alle","5","prosent","96,57738095",2014,"barnehagedeltakelse"
"030113","alle","5","prosent","87,69633508",2014,"barnehagedeltakelse"
"030114","alle","5","prosent","97,38751814",2014,"barnehagedeltakelse"
"030115","alle","5","prosent","90,93904448",2014,"barnehagedeltakelse"
"030116","alle","5","prosent",".",2014,"barnehagedeltakelse"
"030117","alle","5","prosent",".",2014,"barnehagedeltakelse"
"030199","alle","5","prosent",".",2014,"barnehagedeltakelse"
"030101","minoritet","1_5","personer","1059",2014,"barnehagedeltakelse"
"030102","minoritet","1_5","personer","755",2014,"barnehagedeltakelse"
"030103","minoritet","1_5","personer","407",2014,"barnehagedeltakelse"
"030104","minoritet","1_5","personer","361",2014,"barnehagedeltakelse"
"030105","minoritet","1_5","personer","477",2014,"barnehagedeltakelse"
"030106","minoritet","1_5","personer","204",2014,"barnehagedeltakelse"
"030107","minoritet","1_5","personer","250",2014,"barnehagedeltakelse"
"030108","minoritet","1_5","personer","445",2014,"barnehagedeltakelse"
"030109","minoritet","1_5","personer","747",2014,"barnehagedeltakelse"
"030110","minoritet","1_5","personer","786",2014,"barnehagedeltakelse"
"030111","minoritet","1_5","personer","952",2014,"barnehagedeltakelse"
"030112","minoritet","1_5","personer","1608",2014,"barnehagedeltakelse"
"030113","minoritet","1_5","personer","662",2014,"barnehagedeltakelse"
"030114","minoritet","1_5","personer","281",2014,"barnehagedeltakelse"
"030115","minoritet","1_5","personer","1124",2014,"barnehagedeltakelse"
"030116","minoritet","1_5","personer",".",2014,"barnehagedeltakelse"
"030117","minoritet","1_5","personer",".",2014,"barnehagedeltakelse"
"030199","minoritet","1_5","personer",".",2014,"barnehagedeltakelse"
"030101","minoritet","1","personer","91",2014,"barnehagedeltakelse"
"030102","minoritet","1","personer","74",2014,"barnehagedeltakelse"
"030103","minoritet","1","personer","35",2014,"barnehagedeltakelse"
"030104","minoritet","1","personer","51",2014,"barnehagedeltakelse"
"030105","minoritet","1","personer","45",2014,"barnehagedeltakelse"
"030106","minoritet","1","personer","29",2014,"barnehagedeltakelse"
"030107","minoritet","1","personer","36",2014,"barnehagedeltakelse"
"030108","minoritet","1","personer","66",2014,"barnehagedeltakelse"
"030109","minoritet","1","personer","51",2014,"barnehagedeltakelse"
"030110","minoritet","1","personer","56",2014,"barnehagedeltakelse"
"030111","minoritet","1","personer","33",2014,"barnehagedeltakelse"
"030112","minoritet","1","personer","114",2014,"barnehagedeltakelse"
"030113","minoritet","1","personer","53",2014,"barnehagedeltakelse"
"030114","minoritet","1","personer","21",2014,"barnehagedeltakelse"
"030115","minoritet","1","personer","63",2014,"barnehagedeltakelse"
"030116","minoritet","1","personer",".",2014,"barnehagedeltakelse"
"030117","minoritet","1","personer",".",2014,"barnehagedeltakelse"
"030199","minoritet","1","personer",".",2014,"barnehagedeltakelse"
"030101","minoritet","2","personer","204",2014,"barnehagedeltakelse"
"030102","minoritet","2","personer","151",2014,"barnehagedeltakelse"
"030103","minoritet","2","personer","90",2014,"barnehagedeltakelse"
"030104","minoritet","2","personer","77",2014,"barnehagedeltakelse"
"030105","minoritet","2","personer","96",2014,"barnehagedeltakelse"
"030106","minoritet","2","personer","33",2014,"barnehagedeltakelse"
"030107","minoritet","2","personer","59",2014,"barnehagedeltakelse"
"030108","minoritet","2","personer","102",2014,"barnehagedeltakelse"
"030109","minoritet","2","personer","152",2014,"barnehagedeltakelse"
"030110","minoritet","2","personer","152",2014,"barnehagedeltakelse"
"030111","minoritet","2","personer","170",2014,"barnehagedeltakelse"
"030112","minoritet","2","personer","293",2014,"barnehagedeltakelse"
"030113","minoritet","2","personer","124",2014,"barnehagedeltakelse"
"030114","minoritet","2","personer","59",2014,"barnehagedeltakelse"
"030115","minoritet","2","personer","165",2014,"barnehagedeltakelse"
"030116","minoritet","2","personer",".",2014,"barnehagedeltakelse"
"030117","minoritet","2","personer",".",2014,"barnehagedeltakelse"
"030199","minoritet","2","personer",".",2014,"barnehagedeltakelse"
"030101","minoritet","3","personer","243",2014,"barnehagedeltakelse"
"030102","minoritet","3","personer","192",2014,"barnehagedeltakelse"
"030103","minoritet","3","personer","83",2014,"barnehagedeltakelse"
"030104","minoritet","3","personer","100",2014,"barnehagedeltakelse"
"030105","minoritet","3","personer","112",2014,"barnehagedeltakelse"
"030106","minoritet","3","personer","49",2014,"barnehagedeltakelse"
"030107","minoritet","3","personer","50",2014,"barnehagedeltakelse"
"030108","minoritet","3","personer","113",2014,"barnehagedeltakelse"
"030109","minoritet","3","personer","157",2014,"barnehagedeltakelse"
"030110","minoritet","3","personer","166",2014,"barnehagedeltakelse"
"030111","minoritet","3","personer","213",2014,"barnehagedeltakelse"
"030112","minoritet","3","personer","343",2014,"barnehagedeltakelse"
"030113","minoritet","3","personer","135",2014,"barnehagedeltakelse"
"030114","minoritet","3","personer","65",2014,"barnehagedeltakelse"
"030115","minoritet","3","personer","269",2014,"barnehagedeltakelse"
"030116","minoritet","3","personer",".",2014,"barnehagedeltakelse"
"030117","minoritet","3","personer",".",2014,"barnehagedeltakelse"
"030199","minoritet","3","personer",".",2014,"barnehagedeltakelse"
"030101","minoritet","4","personer","260",2014,"barnehagedeltakelse"
"030102","minoritet","4","personer","167",2014,"barnehagedeltakelse"
"030103","minoritet","4","personer","112",2014,"barnehagedeltakelse"
"030104","minoritet","4","personer","68",2014,"barnehagedeltakelse"
"030105","minoritet","4","personer","119",2014,"barnehagedeltakelse"
"030106","minoritet","4","personer","47",2014,"barnehagedeltakelse"
"030107","minoritet","4","personer","49",2014,"barnehagedeltakelse"
"030108","minoritet","4","personer","80",2014,"barnehagedeltakelse"
"030109","minoritet","4","personer","194",2014,"barnehagedeltakelse"
"030110","minoritet","4","personer","206",2014,"barnehagedeltakelse"
"030111","minoritet","4","personer","265",2014,"barnehagedeltakelse"
"030112","minoritet","4","personer","408",2014,"barnehagedeltakelse"
"030113","minoritet","4","personer","151",2014,"barnehagedeltakelse"
"030114","minoritet","4","personer","53",2014,"barnehagedeltakelse"
"030115","minoritet","4","personer","297",2014,"barnehagedeltakelse"
"030116","minoritet","4","personer",".",2014,"barnehagedeltakelse"
"030117","minoritet","4","personer",".",2014,"barnehagedeltakelse"
"030199","minoritet","4","personer",".",2014,"barnehagedeltakelse"
"030101","minoritet","5","personer","261",2014,"barnehagedeltakelse"
"030102","minoritet","5","personer","171",2014,"barnehagedeltakelse"
"030103","minoritet","5","personer","87",2014,"barnehagedeltakelse"
"030104","minoritet","5","personer","65",2014,"barnehagedeltakelse"
"030105","minoritet","5","personer","105",2014,"barnehagedeltakelse"
"030106","minoritet","5","personer","46",2014,"barnehagedeltakelse"
"030107","minoritet","5","personer","56",2014,"barnehagedeltakelse"
"030108","minoritet","5","personer","84",2014,"barnehagedeltakelse"
"030109","minoritet","5","personer","193",2014,"barnehagedeltakelse"
"030110","minoritet","5","personer","206",2014,"barnehagedeltakelse"
"030111","minoritet","5","personer","271",2014,"barnehagedeltakelse"
"030112","minoritet","5","personer","450",2014,"barnehagedeltakelse"
"030113","minoritet","5","personer","199",2014,"barnehagedeltakelse"
"030114","minoritet","5","personer","83",2014,"barnehagedeltakelse"
"030115","minoritet","5","personer","330",2014,"barnehagedeltakelse"
"030116","minoritet","5","personer",".",2014,"barnehagedeltakelse"
"030117","minoritet","5","personer",".",2014,"barnehagedeltakelse"
"030199","minoritet","5","personer",".",2014,"barnehagedeltakelse"
"030101","minoritet","1_5","prosent","76,85050798",2014,"barnehagedeltakelse"
"030102","minoritet","1_5","prosent","71,02539981",2014,"barnehagedeltakelse"
"030103","minoritet","1_5","prosent","69,21768707",2014,"barnehagedeltakelse"
"030104","minoritet","1_5","prosent","92,09183673",2014,"barnehagedeltakelse"
"030105","minoritet","1_5","prosent","87,04379562",2014,"barnehagedeltakelse"
"030106","minoritet","1_5","prosent","79,37743191",2014,"barnehagedeltakelse"
"030107","minoritet","1_5","prosent","71,22507123",2014,"barnehagedeltakelse"
"030108","minoritet","1_5","prosent","110,1485149",2014,"barnehagedeltakelse"
"030109","minoritet","1_5","prosent","76,53688525",2014,"barnehagedeltakelse"
"030110","minoritet","1_5","prosent","79,63525836",2014,"barnehagedeltakelse"
"030111","minoritet","1_5","prosent","78,35390947",2014,"barnehagedeltakelse"
"030112","minoritet","1_5","prosent","84,98942918",2014,"barnehagedeltakelse"
"030113","minoritet","1_5","prosent","81,02815177",2014,"barnehagedeltakelse"
"030114","minoritet","1_5","prosent","75,94594595",2014,"barnehagedeltakelse"
"030115","minoritet","1_5","prosent","83,19763138",2014,"barnehagedeltakelse"
"030116","minoritet","1_5","prosent",".",2014,"barnehagedeltakelse"
"030117","minoritet","1_5","prosent",".",2014,"barnehagedeltakelse"
"030199","minoritet","1_5","prosent",".",2014,"barnehagedeltakelse"
"030101","minoritet","1","prosent","30,13245033",2014,"barnehagedeltakelse"
"030102","minoritet","1","prosent","36,63366337",2014,"barnehagedeltakelse"
"030103","minoritet","1","prosent","28,22580645",2014,"barnehagedeltakelse"
"030104","minoritet","1","prosent","65,38461538",2014,"barnehagedeltakelse"
"030105","minoritet","1","prosent","39,82300885",2014,"barnehagedeltakelse"
"030106","minoritet","1","prosent","51,78571429",2014,"barnehagedeltakelse"
"030107","minoritet","1","prosent","49,31506849",2014,"barnehagedeltakelse"
"030108","minoritet","1","prosent","65,34653465",2014,"barnehagedeltakelse"
"030109","minoritet","1","prosent","29,31034483",2014,"barnehagedeltakelse"
"030110","minoritet","1","prosent","29,62962963",2014,"barnehagedeltakelse"
"030111","minoritet","1","prosent","14,47368421",2014,"barnehagedeltakelse"
"030112","minoritet","1","prosent","29,6875",2014,"barnehagedeltakelse"
"030113","minoritet","1","prosent","38,97058824",2014,"barnehagedeltakelse"
"030114","minoritet","1","prosent","29,16666667",2014,"barnehagedeltakelse"
"030115","minoritet","1","prosent","25,71428571",2014,"barnehagedeltakelse"
"030116","minoritet","1","prosent",".",2014,"barnehagedeltakelse"
"030117","minoritet","1","prosent",".",2014,"barnehagedeltakelse"
"030199","minoritet","1","prosent",".",2014,"barnehagedeltakelse"
"030101","minoritet","2","prosent","66,4495114",2014,"barnehagedeltakelse"
"030102","minoritet","2","prosent","65,0862069",2014,"barnehagedeltakelse"
"030103","minoritet","2","prosent","75",2014,"barnehagedeltakelse"
"030104","minoritet","2","prosent","102,6666667",2014,"barnehagedeltakelse"
"030105","minoritet","2","prosent","76,19047619",2014,"barnehagedeltakelse"
"030106","minoritet","2","prosent","86,84210526",2014,"barnehagedeltakelse"
"030107","minoritet","2","prosent","74,6835443",2014,"barnehagedeltakelse"
"030108","minoritet","2","prosent","147,826087",2014,"barnehagedeltakelse"
"030109","minoritet","2","prosent","76,76767677",2014,"barnehagedeltakelse"
"030110","minoritet","2","prosent","74,50980392",2014,"barnehagedeltakelse"
"030111","minoritet","2","prosent","66,14785992",2014,"barnehagedeltakelse"
"030112","minoritet","2","prosent","82,07282913",2014,"barnehagedeltakelse"
"030113","minoritet","2","prosent","75,6097561",2014,"barnehagedeltakelse"
"030114","minoritet","2","prosent","90,76923077",2014,"barnehagedeltakelse"
"030115","minoritet","2","prosent","65,73705179",2014,"barnehagedeltakelse"
"030116","minoritet","2","prosent",".",2014,"barnehagedeltakelse"
"030117","minoritet","2","prosent",".",2014,"barnehagedeltakelse"
"030199","minoritet","2","prosent",".",2014,"barnehagedeltakelse"
"030101","minoritet","3","prosent","96,04743083",2014,"barnehagedeltakelse"
"030102","minoritet","3","prosent","86,48648649",2014,"barnehagedeltakelse"
"030103","minoritet","3","prosent","66,93548387",2014,"barnehagedeltakelse"
"030104","minoritet","3","prosent","111,1111111",2014,"barnehagedeltakelse"
"030105","minoritet","3","prosent","93,33333333",2014,"barnehagedeltakelse"
"030106","minoritet","3","prosent","76,5625",2014,"barnehagedeltakelse"
"030107","minoritet","3","prosent","71,42857143",2014,"barnehagedeltakelse"
"030108","minoritet","3","prosent","122,826087",2014,"barnehagedeltakelse"
"030109","minoritet","3","prosent","81,77083333",2014,"barnehagedeltakelse"
"030110","minoritet","3","prosent","88,29787234",2014,"barnehagedeltakelse"
"030111","minoritet","3","prosent","91,81034483",2014,"barnehagedeltakelse"
"030112","minoritet","3","prosent","93,71584699",2014,"barnehagedeltakelse"
"030113","minoritet","3","prosent","82,31707317",2014,"barnehagedeltakelse"
"030114","minoritet","3","prosent","80,24691358",2014,"barnehagedeltakelse"
"030115","minoritet","3","prosent","91,80887372",2014,"barnehagedeltakelse"
"030116","minoritet","3","prosent",".",2014,"barnehagedeltakelse"
"030117","minoritet","3","prosent",".",2014,"barnehagedeltakelse"
"030199","minoritet","3","prosent",".",2014,"barnehagedeltakelse"
"030101","minoritet","4","prosent","102,3622047",2014,"barnehagedeltakelse"
"030102","minoritet","4","prosent","81,46341463",2014,"barnehagedeltakelse"
"030103","minoritet","4","prosent","94,91525424",2014,"barnehagedeltakelse"
"030104","minoritet","4","prosent","89,47368421",2014,"barnehagedeltakelse"
"030105","minoritet","4","prosent","111,2149533",2014,"barnehagedeltakelse"
"030106","minoritet","4","prosent","104,4444444",2014,"barnehagedeltakelse"
"030107","minoritet","4","prosent","71,01449275",2014,"barnehagedeltakelse"
"030108","minoritet","4","prosent","114,2857143",2014,"barnehagedeltakelse"
"030109","minoritet","4","prosent","88,99082569",2014,"barnehagedeltakelse"
"030110","minoritet","4","prosent","99,03846154",2014,"barnehagedeltakelse"
"030111","minoritet","4","prosent","105,1587302",2014,"barnehagedeltakelse"
"030112","minoritet","4","prosent","103,8167939",2014,"barnehagedeltakelse"
"030113","minoritet","4","prosent","94,375",2014,"barnehagedeltakelse"
"030114","minoritet","4","prosent","82,8125",2014,"barnehagedeltakelse"
"030115","minoritet","4","prosent","107,6086957",2014,"barnehagedeltakelse"
"030116","minoritet","4","prosent",".",2014,"barnehagedeltakelse"
"030117","minoritet","4","prosent",".",2014,"barnehagedeltakelse"
"030199","minoritet","4","prosent",".",2014,"barnehagedeltakelse"
"030101","minoritet","5","prosent","99,61832061",2014,"barnehagedeltakelse"
"030102","minoritet","5","prosent","84,65346535",2014,"barnehagedeltakelse"
