"tabell_navn","aar","naringsregion_nr","enhet","vreg_6","tabellvariabel"
"befolkning_verdensregion_6","2015","42","person","asia","384"
"befolkning_verdensregion_6","2015","43","person","asia","205"
"befolkning_verdensregion_6","2015","44","person","asia","418"
"befolkning_verdensregion_6","2015","45","person","asia","126"
"befolkning_verdensregion_6","2015","46","person","asia","1137"
"befolkning_verdensregion_6","2015","47","person","asia","1121"
"befolkning_verdensregion_6","2015","48","person","asia","136"
"befolkning_verdensregion_6","2015","49","person","asia","459"
"befolkning_verdensregion_6","2015","50","person","asia","303"
"befolkning_verdensregion_6","2015","51","person","asia","625"
"befolkning_verdensregion_6","2015","52","person","asia","1099"
"befolkning_verdensregion_6","2015","53","person","asia","949"
"befolkning_verdensregion_6","2015","54","person","asia","313"
"befolkning_verdensregion_6","2015","55","person","asia","977"
"befolkning_verdensregion_6","2015","56","person","asia","1796"
"befolkning_verdensregion_6","2015","57","person","asia","280"
"befolkning_verdensregion_6","2015","58","person","asia","140"
"befolkning_verdensregion_6","2015","59","person","asia","94"
"befolkning_verdensregion_6","2015","60","person","asia","297"
"befolkning_verdensregion_6","2015","61","person","asia","7295"
"befolkning_verdensregion_6","2015","62","person","asia","38"
"befolkning_verdensregion_6","2015","63","person","asia","546"
"befolkning_verdensregion_6","2015","64","person","asia","987"
"befolkning_verdensregion_6","2015","65","person","asia","104"
"befolkning_verdensregion_6","2015","66","person","asia","127"
"befolkning_verdensregion_6","2015","67","person","asia","278"
"befolkning_verdensregion_6","2015","68","person","asia","231"
"befolkning_verdensregion_6","2015","69","person","asia","213"
"befolkning_verdensregion_6","2015","70","person","asia","44"
"befolkning_verdensregion_6","2015","71","person","asia","316"
"befolkning_verdensregion_6","2015","72","person","asia","484"
"befolkning_verdensregion_6","2015","73","person","asia","1425"
"befolkning_verdensregion_6","2015","74","person","asia","595"
"befolkning_verdensregion_6","2015","75","person","asia","526"
"befolkning_verdensregion_6","2015","76","person","asia","669"
"befolkning_verdensregion_6","2015","77","person","asia","910"
"befolkning_verdensregion_6","2015","78","person","asia","409"
"befolkning_verdensregion_6","2015","79","person","asia","1548"
"befolkning_verdensregion_6","2015","80","person","asia","176"
"befolkning_verdensregion_6","2015","81","person","asia","957"
"befolkning_verdensregion_6","2015","82","person","asia","138"
"befolkning_verdensregion_6","2015","83","person","asia","676"
"befolkning_verdensregion_6","2015","01","person","europa","1997"
"befolkning_verdensregion_6","2015","02","person","europa","4632"
"befolkning_verdensregion_6","2015","03","person","europa","4323"
"befolkning_verdensregion_6","2015","04","person","europa","9309"
"befolkning_verdensregion_6","2015","05","person","europa","16989"
"befolkning_verdensregion_6","2015","06","person","europa","10190"
"befolkning_verdensregion_6","2015","07","person","europa","13274"
"befolkning_verdensregion_6","2015","08","person","europa","7930"
"befolkning_verdensregion_6","2015","09","person","europa","69990"
"befolkning_verdensregion_6","2015","10","person","europa","764"
"befolkning_verdensregion_6","2015","11","person","europa","2230"
"befolkning_verdensregion_6","2015","12","person","europa","4438"
"befolkning_verdensregion_6","2015","13","person","europa","1798"
"befolkning_verdensregion_6","2015","14","person","europa","3304"
"befolkning_verdensregion_6","2015","15","person","europa","1332"
"befolkning_verdensregion_6","2015","16","person","europa","2075"
"befolkning_verdensregion_6","2015","17","person","europa","690"
"befolkning_verdensregion_6","2015","18","person","europa","616"
"befolkning_verdensregion_6","2015","19","person","europa","1054"
"befolkning_verdensregion_6","2015","20","person","europa","15501"
"befolkning_verdensregion_6","2015","21","person","europa","1891"
"befolkning_verdensregion_6","2015","22","person","europa","2229"
"befolkning_verdensregion_6","2015","23","person","europa","1152"
"befolkning_verdensregion_6","2015","24","person","europa","2654"
"befolkning_verdensregion_6","2015","25","person","europa","8850"
"befolkning_verdensregion_6","2015","26","person","europa","6207"
"befolkning_verdensregion_6","2015","27","person","europa","5966"
"befolkning_verdensregion_6","2015","28","person","europa","999"
"befolkning_verdensregion_6","2015","29","person","europa","966"
"befolkning_verdensregion_6","2015","30","person","europa","816"
"befolkning_verdensregion_6","2015","31","person","europa","382"
"befolkning_verdensregion_6","2015","32","person","europa","5624"
"befolkning_verdensregion_6","2015","33","person","europa","2131"
"befolkning_verdensregion_6","2015","34","person","europa","1395"
"befolkning_verdensregion_6","2015","35","person","europa","8243"
"befolkning_verdensregion_6","2015","36","person","europa","1407"
"befolkning_verdensregion_6","2015","37","person","europa","7414"
"befolkning_verdensregion_6","2015","38","person","europa","1689"
"befolkning_verdensregion_6","2015","39","person","europa","30135"
"befolkning_verdensregion_6","2015","40","person","europa","20867"
"befolkning_verdensregion_6","2015","41","person","europa","1739"
"befolkning_verdensregion_6","2015","42","person","europa","1455"
"befolkning_verdensregion_6","2015","43","person","europa","611"
"befolkning_verdensregion_6","2015","44","person","europa","1938"
"befolkning_verdensregion_6","2015","45","person","europa","706"
"befolkning_verdensregion_6","2015","46","person","europa","3970"
"befolkning_verdensregion_6","2015","47","person","europa","3448"
"befolkning_verdensregion_6","2015","48","person","europa","658"
"befolkning_verdensregion_6","2015","49","person","europa","2366"
"befolkning_verdensregion_6","2015","50","person","europa","1835"
"befolkning_verdensregion_6","2015","51","person","europa","1826"
"befolkning_verdensregion_6","2015","52","person","europa","3228"
"befolkning_verdensregion_6","2015","53","person","europa","3706"
"befolkning_verdensregion_6","2015","54","person","europa","1616"
"befolkning_verdensregion_6","2015","55","person","europa","3363"
"befolkning_verdensregion_6","2015","56","person","europa","6140"
"befolkning_verdensregion_6","2015","57","person","europa","1014"
"befolkning_verdensregion_6","2015","58","person","europa","1403"
"befolkning_verdensregion_6","2015","59","person","europa","401"
"befolkning_verdensregion_6","2015","60","person","europa","830"
"befolkning_verdensregion_6","2015","61","person","europa","12931"
"befolkning_verdensregion_6","2015","62","person","europa","372"
"befolkning_verdensregion_6","2015","63","person","europa","913"
"befolkning_verdensregion_6","2015","64","person","europa","2314"
"befolkning_verdensregion_6","2015","65","person","europa","323"
"befolkning_verdensregion_6","2015","66","person","europa","409"
"befolkning_verdensregion_6","2015","67","person","europa","659"
"befolkning_verdensregion_6","2015","68","person","europa","383"
"befolkning_verdensregion_6","2015","69","person","europa","660"
"befolkning_verdensregion_6","2015","70","person","europa","210"
"befolkning_verdensregion_6","2015","71","person","europa","475"
"befolkning_verdensregion_6","2015","72","person","europa","1118"
"befolkning_verdensregion_6","2015","73","person","europa","3284"
"befolkning_verdensregion_6","2015","74","person","europa","1323"
"befolkning_verdensregion_6","2015","75","person","europa","1381"
"befolkning_verdensregion_6","2015","76","person","europa","1487"
"befolkning_verdensregion_6","2015","77","person","europa","1437"
"befolkning_verdensregion_6","2015","78","person","europa","1184"
"befolkning_verdensregion_6","2015","79","person","europa","5520"
"befolkning_verdensregion_6","2015","80","person","europa","659"
"befolkning_verdensregion_6","2015","81","person","europa","2771"
"befolkning_verdensregion_6","2015","82","person","europa","800"
"befolkning_verdensregion_6","2015","83","person","europa","2504"
"befolkning_verdensregion_6","2015","01","person","nord_amerika_oseania","30"
"befolkning_verdensregion_6","2015","02","person","nord_amerika_oseania","70"
"befolkning_verdensregion_6","2015","03","person","nord_amerika_oseania","97"
"befolkning_verdensregion_6","2015","04","person","nord_amerika_oseania","180"
"befolkning_verdensregion_6","2015","05","person","nord_amerika_oseania","884"
"befolkning_verdensregion_6","2015","06","person","nord_amerika_oseania","397"
"befolkning_verdensregion_6","2015","07","person","nord_amerika_oseania","252"
"befolkning_verdensregion_6","2015","08","person","nord_amerika_oseania","142"
"befolkning_verdensregion_6","2015","09","person","nord_amerika_oseania","2849"
"befolkning_verdensregion_6","2015","10","person","nord_amerika_oseania","11"
"befolkning_verdensregion_6","2015","11","person","nord_amerika_oseania","40"
"befolkning_verdensregion_6","2015","12","person","nord_amerika_oseania","114"
"befolkning_verdensregion_6","2015","13","person","nord_amerika_oseania","47"
"befolkning_verdensregion_6","2015","14","person","nord_amerika_oseania","69"
"befolkning_verdensregion_6","2015","15","person","nord_amerika_oseania","23"
"befolkning_verdensregion_6","2015","16","person","nord_amerika_oseania","55"
"befolkning_verdensregion_6","2015","17","person","nord_amerika_oseania","10"
"befolkning_verdensregion_6","2015","18","person","nord_amerika_oseania","12"
"befolkning_verdensregion_6","2015","19","person","nord_amerika_oseania","20"
"befolkning_verdensregion_6","2015","20","person","nord_amerika_oseania","323"
"befolkning_verdensregion_6","2015","21","person","nord_amerika_oseania","41"
"befolkning_verdensregion_6","2015","22","person","nord_amerika_oseania","114"
"befolkning_verdensregion_6","2015","23","person","nord_amerika_oseania","16"
"befolkning_verdensregion_6","2015","24","person","nord_amerika_oseania","53"
"befolkning_verdensregion_6","2015","25","person","nord_amerika_oseania","274"
"befolkning_verdensregion_6","2015","26","person","nord_amerika_oseania","176"
"befolkning_verdensregion_6","2015","27","person","nord_amerika_oseania","162"
"befolkning_verdensregion_6","2015","28","person","nord_amerika_oseania","29"
"befolkning_verdensregion_6","2015","29","person","nord_amerika_oseania","24"
"befolkning_verdensregion_6","2015","30","person","nord_amerika_oseania","20"
"befolkning_verdensregion_6","2015","31","person","nord_amerika_oseania","14"
"befolkning_verdensregion_6","2015","32","person","nord_amerika_oseania","250"
"befolkning_verdensregion_6","2015","33","person","nord_amerika_oseania","132"
"befolkning_verdensregion_6","2015","34","person","nord_amerika_oseania","93"
"befolkning_verdensregion_6","2015","35","person","nord_amerika_oseania","362"
"befolkning_verdensregion_6","2015","36","person","nord_amerika_oseania","47"
"befolkning_verdensregion_6","2015","37","person","nord_amerika_oseania","171"
"befolkning_verdensregion_6","2015","38","person","nord_amerika_oseania","28"
"befolkning_verdensregion_6","2015","39","person","nord_amerika_oseania","1571"
"befolkning_verdensregion_6","2015","40","person","nord_amerika_oseania","925"
"befolkning_verdensregion_6","2015","41","person","nord_amerika_oseania","40"
"befolkning_verdensregion_6","2015","42","person","nord_amerika_oseania","24"
"befolkning_verdensregion_6","2015","43","person","nord_amerika_oseania","22"
"befolkning_verdensregion_6","2015","44","person","nord_amerika_oseania","46"
"befolkning_verdensregion_6","2015","45","person","nord_amerika_oseania","13"
"befolkning_verdensregion_6","2015","46","person","nord_amerika_oseania","69"
"befolkning_verdensregion_6","2015","47","person","nord_amerika_oseania","98"
"befolkning_verdensregion_6","2015","48","person","nord_amerika_oseania","20"
"befolkning_verdensregion_6","2015","49","person","nord_amerika_oseania","40"
"befolkning_verdensregion_6","2015","50","person","nord_amerika_oseania","34"
"befolkning_verdensregion_6","2015","51","person","nord_amerika_oseania","27"
"befolkning_verdensregion_6","2015","52","person","nord_amerika_oseania","55"
"befolkning_verdensregion_6","2015","53","person","nord_amerika_oseania","85"
"befolkning_verdensregion_6","2015","54","person","nord_amerika_oseania","22"
"befolkning_verdensregion_6","2015","55","person","nord_amerika_oseania","63"
"befolkning_verdensregion_6","2015","56","person","nord_amerika_oseania","139"
"befolkning_verdensregion_6","2015","57","person","nord_amerika_oseania","24"
"befolkning_verdensregion_6","2015","58","person","nord_amerika_oseania","7"
"befolkning_verdensregion_6","2015","59","person","nord_amerika_oseania","9"
"befolkning_verdensregion_6","2015","60","person","nord_amerika_oseania","13"
"befolkning_verdensregion_6","2015","61","person","nord_amerika_oseania","540"
"befolkning_verdensregion_6","2015","62","person","nord_amerika_oseania","8"
"befolkning_verdensregion_6","2015","63","person","nord_amerika_oseania","34"
"befolkning_verdensregion_6","2015","64","person","nord_amerika_oseania","48"
"befolkning_verdensregion_6","2015","65","person","nord_amerika_oseania","4"
"befolkning_verdensregion_6","2015","66","person","nord_amerika_oseania","4"
"befolkning_verdensregion_6","2015","67","person","nord_amerika_oseania","21"
"befolkning_verdensregion_6","2015","68","person","nord_amerika_oseania","8"
"befolkning_verdensregion_6","2015","69","person","nord_amerika_oseania","12"
"befolkning_verdensregion_6","2015","70","person","nord_amerika_oseania","3"
"befolkning_verdensregion_6","2015","71","person","nord_amerika_oseania","9"
"befolkning_verdensregion_6","2015","72","person","nord_amerika_oseania","28"
"befolkning_verdensregion_6","2015","73","person","nord_amerika_oseania","97"
"befolkning_verdensregion_6","2015","74","person","nord_amerika_oseania","33"
"befolkning_verdensregion_6","2015","75","person","nord_amerika_oseania","19"
"befolkning_verdensregion_6","2015","76","person","nord_amerika_oseania","25"
"befolkning_verdensregion_6","2015","77","person","nord_amerika_oseania","33"
"befolkning_verdensregion_6","2015","78","person","nord_amerika_oseania","13"
"befolkning_verdensregion_6","2015","79","person","nord_amerika_oseania","204"
"befolkning_verdensregion_6","2015","80","person","nord_amerika_oseania","7"
"befolkning_verdensregion_6","2015","81","person","nord_amerika_oseania","30"
"befolkning_verdensregion_6","2015","82","person","nord_amerika_oseania","11"
"befolkning_verdensregion_6","2015","83","person","nord_amerika_oseania","34"
"befolkning_verdensregion_6","2015","01","person","sor_og_mellom_amerika","40"
"befolkning_verdensregion_6","2015","02","person","sor_og_mellom_amerika","150"
"befolkning_verdensregion_6","2015","03","person","sor_og_mellom_amerika","187"
"befolkning_verdensregion_6","2015","04","person","sor_og_mellom_amerika","276"
"befolkning_verdensregion_6","2015","05","person","sor_og_mellom_amerika","810"
"befolkning_verdensregion_6","2015","06","person","sor_og_mellom_amerika","526"
"befolkning_verdensregion_6","2015","07","person","sor_og_mellom_amerika","570"
"befolkning_verdensregion_6","2015","08","person","sor_og_mellom_amerika","358"
"befolkning_verdensregion_6","2015","09","person","sor_og_mellom_amerika","5755"
"befolkning_verdensregion_6","2015","10","person","sor_og_mellom_amerika","21"
"befolkning_verdensregion_6","2015","11","person","sor_og_mellom_amerika","103"
"befolkning_verdensregion_6","2015","12","person","sor_og_mellom_amerika","121"
"befolkning_verdensregion_6","2015","13","person","sor_og_mellom_amerika","54"
"befolkning_verdensregion_6","2015","14","person","sor_og_mellom_amerika","84"
"befolkning_verdensregion_6","2015","15","person","sor_og_mellom_amerika","69"
"befolkning_verdensregion_6","2015","16","person","sor_og_mellom_amerika","28"
"befolkning_verdensregion_6","2015","17","person","sor_og_mellom_amerika","3"
"befolkning_verdensregion_6","2015","18","person","sor_og_mellom_amerika","28"
"befolkning_verdensregion_6","2015","19","person","sor_og_mellom_amerika","43"
"befolkning_verdensregion_6","2015","20","person","sor_og_mellom_amerika","588"
"befolkning_verdensregion_6","2015","21","person","sor_og_mellom_amerika","39"
"befolkning_verdensregion_6","2015","22","person","sor_og_mellom_amerika","206"
"befolkning_verdensregion_6","2015","23","person","sor_og_mellom_amerika","32"
"befolkning_verdensregion_6","2015","24","person","sor_og_mellom_amerika","141"
"befolkning_verdensregion_6","2015","25","person","sor_og_mellom_amerika","327"
"befolkning_verdensregion_6","2015","26","person","sor_og_mellom_amerika","296"
"befolkning_verdensregion_6","2015","27","person","sor_og_mellom_amerika","469"
"befolkning_verdensregion_6","2015","28","person","sor_og_mellom_amerika","36"
"befolkning_verdensregion_6","2015","29","person","sor_og_mellom_amerika","28"
"befolkning_verdensregion_6","2015","30","person","sor_og_mellom_amerika","26"
"befolkning_verdensregion_6","2015","31","person","sor_og_mellom_amerika","21"
"befolkning_verdensregion_6","2015","32","person","sor_og_mellom_amerika","200"
"befolkning_verdensregion_6","2015","33","person","sor_og_mellom_amerika","101"
"befolkning_verdensregion_6","2015","34","person","sor_og_mellom_amerika","68"
"befolkning_verdensregion_6","2015","35","person","sor_og_mellom_amerika","967"
"befolkning_verdensregion_6","2015","36","person","sor_og_mellom_amerika","34"
"befolkning_verdensregion_6","2015","37","person","sor_og_mellom_amerika","370"
"befolkning_verdensregion_6","2015","38","person","sor_og_mellom_amerika","32"
"befolkning_verdensregion_6","2015","39","person","sor_og_mellom_amerika","1864"
"befolkning_verdensregion_6","2015","40","person","sor_og_mellom_amerika","2050"
"befolkning_verdensregion_6","2015","41","person","sor_og_mellom_amerika","79"
"befolkning_verdensregion_6","2015","42","person","sor_og_mellom_amerika","32"
"befolkning_verdensregion_6","2015","43","person","sor_og_mellom_amerika","14"
"befolkning_verdensregion_6","2015","44","person","sor_og_mellom_amerika","72"
"befolkning_verdensregion_6","2015","45","person","sor_og_mellom_amerika","24"
"befolkning_verdensregion_6","2015","46","person","sor_og_mellom_amerika","150"
"befolkning_verdensregion_6","2015","47","person","sor_og_mellom_amerika","211"
"befolkning_verdensregion_6","2015","48","person","sor_og_mellom_amerika","51"
"befolkning_verdensregion_6","2015","49","person","sor_og_mellom_amerika","78"
"befolkning_verdensregion_6","2015","50","person","sor_og_mellom_amerika","107"
"befolkning_verdensregion_6","2015","51","person","sor_og_mellom_amerika","94"
"befolkning_verdensregion_6","2015","52","person","sor_og_mellom_amerika","125"
"befolkning_verdensregion_6","2015","53","person","sor_og_mellom_amerika","171"
"befolkning_verdensregion_6","2015","54","person","sor_og_mellom_amerika","29"
"befolkning_verdensregion_6","2015","55","person","sor_og_mellom_amerika","106"
"befolkning_verdensregion_6","2015","56","person","sor_og_mellom_amerika","258"
"befolkning_verdensregion_6","2015","57","person","sor_og_mellom_amerika","27"
"befolkning_verdensregion_6","2015","58","person","sor_og_mellom_amerika","19"
"befolkning_verdensregion_6","2015","59","person","sor_og_mellom_amerika","3"
"befolkning_verdensregion_6","2015","60","person","sor_og_mellom_amerika","51"
"befolkning_verdensregion_6","2015","61","person","sor_og_mellom_amerika","927"
"befolkning_verdensregion_6","2015","62","person","sor_og_mellom_amerika","13"
"befolkning_verdensregion_6","2015","63","person","sor_og_mellom_amerika","75"
"befolkning_verdensregion_6","2015","64","person","sor_og_mellom_amerika","74"
"befolkning_verdensregion_6","2015","65","person","sor_og_mellom_amerika","3"
"befolkning_verdensregion_6","2015","66","person","sor_og_mellom_amerika","7"
"befolkning_verdensregion_6","2015","67","person","sor_og_mellom_amerika","12"
"befolkning_verdensregion_6","2015","68","person","sor_og_mellom_amerika","22"
"befolkning_verdensregion_6","2015","69","person","sor_og_mellom_amerika","15"
"befolkning_verdensregion_6","2015","70","person","sor_og_mellom_amerika","3"
"befolkning_verdensregion_6","2015","71","person","sor_og_mellom_amerika","20"
"befolkning_verdensregion_6","2015","72","person","sor_og_mellom_amerika","29"
"befolkning_verdensregion_6","2015","73","person","sor_og_mellom_amerika","143"
"befolkning_verdensregion_6","2015","74","person","sor_og_mellom_amerika","45"
"befolkning_verdensregion_6","2015","75","person","sor_og_mellom_amerika","36"
"befolkning_verdensregion_6","2015","76","person","sor_og_mellom_amerika","65"
"befolkning_verdensregion_6","2015","77","person","sor_og_mellom_amerika","80"
"befolkning_verdensregion_6","2015","78","person","sor_og_mellom_amerika","43"
"befolkning_verdensregion_6","2015","79","person","sor_og_mellom_amerika","202"
"befolkning_verdensregion_6","2015","80","person","sor_og_mellom_amerika","20"
"befolkning_verdensregion_6","2015","81","person","sor_og_mellom_amerika","58"
"befolkning_verdensregion_6","2015","82","person","sor_og_mellom_amerika","13"
"befolkning_verdensregion_6","2015","83","person","sor_og_mellom_amerika","51"
"befolkning_verdensregion_6","2015","01","person","alle","3096"
"befolkning_verdensregion_6","2015","02","person","alle","7265"
"befolkning_verdensregion_6","2015","03","person","alle","7631"
"befolkning_verdensregion_6","2015","04","person","alle","17034"
"befolkning_verdensregion_6","2015","05","person","alle","29375"
"befolkning_verdensregion_6","2015","06","person","alle","17144"
"befolkning_verdensregion_6","2015","07","person","alle","26395"
"befolkning_verdensregion_6","2015","08","person","alle","12590"
"befolkning_verdensregion_6","2015","09","person","alle","158796"
"befolkning_verdensregion_6","2015","10","person","alle","1168"
"befolkning_verdensregion_6","2015","11","person","alle","3910"
"befolkning_verdensregion_6","2015","12","person","alle","7630"
"befolkning_verdensregion_6","2015","13","person","alle","3071"
"befolkning_verdensregion_6","2015","14","person","alle","6024"
"befolkning_verdensregion_6","2015","15","person","alle","2393"
"befolkning_verdensregion_6","2015","16","person","alle","3510"
"befolkning_verdensregion_6","2015","17","person","alle","956"
"befolkning_verdensregion_6","2015","18","person","alle","1152"
"befolkning_verdensregion_6","2015","19","person","alle","1593"
"befolkning_verdensregion_6","2015","20","person","alle","28334"
"befolkning_verdensregion_6","2015","21","person","alle","2612"
"befolkning_verdensregion_6","2015","22","person","alle","4120"
"befolkning_verdensregion_6","2015","23","person","alle","1633"
"befolkning_verdensregion_6","2015","24","person","alle","4007"
"befolkning_verdensregion_6","2015","25","person","alle","14281"
"befolkning_verdensregion_6","2015","26","person","alle","10404"
"befolkning_verdensregion_6","2015","27","person","alle","12244"
"befolkning_verdensregion_6","2015","28","person","alle","1715"
"befolkning_verdensregion_6","2015","29","person","alle","1818"
"befolkning_verdensregion_6","2015","30","person","alle","1081"
"befolkning_verdensregion_6","2015","31","person","alle","722"
"befolkning_verdensregion_6","2015","32","person","alle","9503"
"befolkning_verdensregion_6","2015","33","person","alle","3466"
"befolkning_verdensregion_6","2015","34","person","alle","2406"
"befolkning_verdensregion_6","2015","35","person","alle","16383"
"befolkning_verdensregion_6","2015","36","person","alle","2340"
