"kommune_nr","spraak","bhgalder","enhet","tabellvariabel","aar","tabell_navn"
"0938","alle","1_5","personer","45","2014","barnehagedeltakelse"
"0940","alle","1_5","personer","52","2014","barnehagedeltakelse"
"0941","alle","1_5","personer","51","2014","barnehagedeltakelse"
"1001","alle","1_5","personer","5117","2014","barnehagedeltakelse"
"1002","alle","1_5","personer","835","2014","barnehagedeltakelse"
"1003","alle","1_5","personer","471","2014","barnehagedeltakelse"
"1004","alle","1_5","personer","479","2014","barnehagedeltakelse"
"1014","alle","1_5","personer","933","2014","barnehagedeltakelse"
"1017","alle","1_5","personer","392","2014","barnehagedeltakelse"
"1018","alle","1_5","personer","624","2014","barnehagedeltakelse"
"1021","alle","1_5","personer","141","2014","barnehagedeltakelse"
"1026","alle","1_5","personer","42","2014","barnehagedeltakelse"
"1027","alle","1_5","personer","104","2014","barnehagedeltakelse"
"1029","alle","1_5","personer","282","2014","barnehagedeltakelse"
"1032","alle","1_5","personer","489","2014","barnehagedeltakelse"
"1034","alle","1_5","personer","90","2014","barnehagedeltakelse"
"1037","alle","1_5","personer","351","2014","barnehagedeltakelse"
"1046","alle","1_5","personer","133","2014","barnehagedeltakelse"
"1101","alle","1_5","personer","864","2014","barnehagedeltakelse"
"1102","alle","1_5","personer","4907","2014","barnehagedeltakelse"
"1103","alle","1_5","personer","7650","2014","barnehagedeltakelse"
"1106","alle","1_5","personer","1966","2014","barnehagedeltakelse"
"1111","alle","1_5","personer","197","2014","barnehagedeltakelse"
"1112","alle","1_5","personer","206","2014","barnehagedeltakelse"
"1114","alle","1_5","personer","180","2014","barnehagedeltakelse"
"1119","alle","1_5","personer","1247","2014","barnehagedeltakelse"
"1120","alle","1_5","personer","1346","2014","barnehagedeltakelse"
"1121","alle","1_5","personer","1256","2014","barnehagedeltakelse"
"1122","alle","1_5","personer","837","2014","barnehagedeltakelse"
"1124","alle","1_5","personer","1919","2014","barnehagedeltakelse"
"1127","alle","1_5","personer","658","2014","barnehagedeltakelse"
"1129","alle","1_5","personer","82","2014","barnehagedeltakelse"
"1130","alle","1_5","personer","783","2014","barnehagedeltakelse"
"1133","alle","1_5","personer","173","2014","barnehagedeltakelse"
"1134","alle","1_5","personer","220","2014","barnehagedeltakelse"
"1135","alle","1_5","personer","243","2014","barnehagedeltakelse"
"1141","alle","1_5","personer","197","2014","barnehagedeltakelse"
"1142","alle","1_5","personer","372","2014","barnehagedeltakelse"
"1144","alle","1_5","personer","27","2014","barnehagedeltakelse"
"1145","alle","1_5","personer","38","2014","barnehagedeltakelse"
"1146","alle","1_5","personer","724","2014","barnehagedeltakelse"
"1149","alle","1_5","personer","2597","2014","barnehagedeltakelse"
"1151","alle","1_5","personer","12","2014","barnehagedeltakelse"
"1160","alle","1_5","personer","493","2014","barnehagedeltakelse"
"1201","alle","1_5","personer","15086","2014","barnehagedeltakelse"
"1211","alle","1_5","personer","272","2014","barnehagedeltakelse"
"1216","alle","1_5","personer","420","2014","barnehagedeltakelse"
"1219","alle","1_5","personer","750","2014","barnehagedeltakelse"
"1221","alle","1_5","personer","1174","2014","barnehagedeltakelse"
"1222","alle","1_5","personer","166","2014","barnehagedeltakelse"
"1223","alle","1_5","personer","139","2014","barnehagedeltakelse"
"1224","alle","1_5","personer","675","2014","barnehagedeltakelse"
"1227","alle","1_5","personer","52","2014","barnehagedeltakelse"
"1228","alle","1_5","personer","309","2014","barnehagedeltakelse"
"1231","alle","1_5","personer","167","2014","barnehagedeltakelse"
"1232","alle","1_5","personer","45","2014","barnehagedeltakelse"
"1233","alle","1_5","personer","49","2014","barnehagedeltakelse"
"1234","alle","1_5","personer","35","2014","barnehagedeltakelse"
"1235","alle","1_5","personer","763","2014","barnehagedeltakelse"
"1238","alle","1_5","personer","428","2014","barnehagedeltakelse"
"1241","alle","1_5","personer","178","2014","barnehagedeltakelse"
"1242","alle","1_5","personer","122","2014","barnehagedeltakelse"
"1243","alle","1_5","personer","1325","2014","barnehagedeltakelse"
"1244","alle","1_5","personer","341","2014","barnehagedeltakelse"
"1245","alle","1_5","personer","464","2014","barnehagedeltakelse"
"1246","alle","1_5","personer","1559","2014","barnehagedeltakelse"
"1247","alle","1_5","personer","2109","2014","barnehagedeltakelse"
"1251","alle","1_5","personer","193","2014","barnehagedeltakelse"
"1252","alle","1_5","personer","21","2014","barnehagedeltakelse"
"1253","alle","1_5","personer","420","2014","barnehagedeltakelse"
"1256","alle","1_5","personer","587","2014","barnehagedeltakelse"
"1259","alle","1_5","personer","298","2014","barnehagedeltakelse"
"1260","alle","1_5","personer","257","2014","barnehagedeltakelse"
"1263","alle","1_5","personer","922","2014","barnehagedeltakelse"
"1264","alle","1_5","personer","174","2014","barnehagedeltakelse"
"1265","alle","1_5","personer","21","2014","barnehagedeltakelse"
"1266","alle","1_5","personer","89","2014","barnehagedeltakelse"
"1401","alle","1_5","personer","680","2014","barnehagedeltakelse"
"1411","alle","1_5","personer","102","2014","barnehagedeltakelse"
"1412","alle","1_5","personer","26","2014","barnehagedeltakelse"
"1413","alle","1_5","personer","46","2014","barnehagedeltakelse"
"1416","alle","1_5","personer","182","2014","barnehagedeltakelse"
"1417","alle","1_5","personer","124","2014","barnehagedeltakelse"
"1418","alle","1_5","personer","48","2014","barnehagedeltakelse"
"1419","alle","1_5","personer","124","2014","barnehagedeltakelse"
"1420","alle","1_5","personer","418","2014","barnehagedeltakelse"
"1421","alle","1_5","personer","67","2014","barnehagedeltakelse"
"1422","alle","1_5","personer","85","2014","barnehagedeltakelse"
"1424","alle","1_5","personer","258","2014","barnehagedeltakelse"
"1426","alle","1_5","personer","254","2014","barnehagedeltakelse"
"1428","alle","1_5","personer","148","2014","barnehagedeltakelse"
"1429","alle","1_5","personer","164","2014","barnehagedeltakelse"
"1430","alle","1_5","personer","195","2014","barnehagedeltakelse"
"1431","alle","1_5","personer","198","2014","barnehagedeltakelse"
"1432","alle","1_5","personer","854","2014","barnehagedeltakelse"
"1433","alle","1_5","personer","168","2014","barnehagedeltakelse"
"1438","alle","1_5","personer","171","2014","barnehagedeltakelse"
"1439","alle","1_5","personer","315","2014","barnehagedeltakelse"
"1441","alle","1_5","personer","108","2014","barnehagedeltakelse"
"1443","alle","1_5","personer","355","2014","barnehagedeltakelse"
"1444","alle","1_5","personer","65","2014","barnehagedeltakelse"
"1445","alle","1_5","personer","289","2014","barnehagedeltakelse"
"1449","alle","1_5","personer","412","2014","barnehagedeltakelse"
"1502","alle","1_5","personer","1450","2014","barnehagedeltakelse"
"1504","alle","1_5","personer","2679","2014","barnehagedeltakelse"
"1505","alle","1_5","personer","1300","2014","barnehagedeltakelse"
"1511","alle","1_5","personer","128","2014","barnehagedeltakelse"
"1514","alle","1_5","personer","90","2014","barnehagedeltakelse"
"1515","alle","1_5","personer","486","2014","barnehagedeltakelse"
"1516","alle","1_5","personer","516","2014","barnehagedeltakelse"
"1517","alle","1_5","personer","290","2014","barnehagedeltakelse"
"1519","alle","1_5","personer","482","2014","barnehagedeltakelse"
"1520","alle","1_5","personer","622","2014","barnehagedeltakelse"
"1523","alle","1_5","personer","131","2014","barnehagedeltakelse"
"1524","alle","1_5","personer","76","2014","barnehagedeltakelse"
"1525","alle","1_5","personer","208","2014","barnehagedeltakelse"
"1526","alle","1_5","personer","45","2014","barnehagedeltakelse"
"1528","alle","1_5","personer","419","2014","barnehagedeltakelse"
"1529","alle","1_5","personer","291","2014","barnehagedeltakelse"
"1531","alle","1_5","personer","654","2014","barnehagedeltakelse"
"1532","alle","1_5","personer","525","2014","barnehagedeltakelse"
"1534","alle","1_5","personer","482","2014","barnehagedeltakelse"
"1535","alle","1_5","personer","309","2014","barnehagedeltakelse"
"1539","alle","1_5","personer","407","2014","barnehagedeltakelse"
"1543","alle","1_5","personer","120","2014","barnehagedeltakelse"
"1545","alle","1_5","personer","118","2014","barnehagedeltakelse"
"1546","alle","1_5","personer","65","2014","barnehagedeltakelse"
"1547","alle","1_5","personer","189","2014","barnehagedeltakelse"
"1548","alle","1_5","personer","500","2014","barnehagedeltakelse"
"1551","alle","1_5","personer","189","2014","barnehagedeltakelse"
"1554","alle","1_5","personer","308","2014","barnehagedeltakelse"
"1557","alle","1_5","personer","121","2014","barnehagedeltakelse"
"1560","alle","1_5","personer","135","2014","barnehagedeltakelse"
"1563","alle","1_5","personer","307","2014","barnehagedeltakelse"
"1566","alle","1_5","personer","267","2014","barnehagedeltakelse"
"1567","alle","1_5","personer","100","2014","barnehagedeltakelse"
"1571","alle","1_5","personer","54","2014","barnehagedeltakelse"
"1573","alle","1_5","personer","100","2014","barnehagedeltakelse"
"1576","alle","1_5","personer","153","2014","barnehagedeltakelse"
"1601","alle","1_5","personer","10869","2014","barnehagedeltakelse"
"1612","alle","1_5","personer","228","2014","barnehagedeltakelse"
"1613","alle","1_5","personer","33","2014","barnehagedeltakelse"
"1617","alle","1_5","personer","182","2014","barnehagedeltakelse"
"1620","alle","1_5","personer","262","2014","barnehagedeltakelse"
"1621","alle","1_5","personer","253","2014","barnehagedeltakelse"
"1622","alle","1_5","personer","66","2014","barnehagedeltakelse"
"1624","alle","1_5","personer","324","2014","barnehagedeltakelse"
"1627","alle","1_5","personer","259","2014","barnehagedeltakelse"
"1630","alle","1_5","personer","120","2014","barnehagedeltakelse"
"1632","alle","1_5","personer","32","2014","barnehagedeltakelse"
"1633","alle","1_5","personer","44","2014","barnehagedeltakelse"
"1634","alle","1_5","personer","373","2014","barnehagedeltakelse"
"1635","alle","1_5","personer","84","2014","barnehagedeltakelse"
"1636","alle","1_5","personer","180","2014","barnehagedeltakelse"
"1638","alle","1_5","personer","710","2014","barnehagedeltakelse"
"1640","alle","1_5","personer","236","2014","barnehagedeltakelse"
"1644","alle","1_5","personer","72","2014","barnehagedeltakelse"
"1648","alle","1_5","personer","329","2014","barnehagedeltakelse"
"1653","alle","1_5","personer","967","2014","barnehagedeltakelse"
"1657","alle","1_5","personer","574","2014","barnehagedeltakelse"
"1662","alle","1_5","personer","387","2014","barnehagedeltakelse"
"1663","alle","1_5","personer","832","2014","barnehagedeltakelse"
"1664","alle","1_5","personer","183","2014","barnehagedeltakelse"
"1665","alle","1_5","personer","41","2014","barnehagedeltakelse"
"1702","alle","1_5","personer","1177","2014","barnehagedeltakelse"
"1703","alle","1_5","personer","733","2014","barnehagedeltakelse"
"1711","alle","1_5","personer","115","2014","barnehagedeltakelse"
"1714","alle","1_5","personer","1386","2014","barnehagedeltakelse"
"1717","alle","1_5","personer","132","2014","barnehagedeltakelse"
"1718","alle","1_5","personer","185","2014","barnehagedeltakelse"
"1719","alle","1_5","personer","1154","2014","barnehagedeltakelse"
"1721","alle","1_5","personer","793","2014","barnehagedeltakelse"
"1724","alle","1_5","personer","98","2014","barnehagedeltakelse"
"1725","alle","1_5","personer","64","2014","barnehagedeltakelse"
"1736","alle","1_5","personer","102","2014","barnehagedeltakelse"
"1738","alle","1_5","personer","55","2014","barnehagedeltakelse"
"1739","alle","1_5","personer","14","2014","barnehagedeltakelse"
"1740","alle","1_5","personer","41","2014","barnehagedeltakelse"
"1742","alle","1_5","personer","134","2014","barnehagedeltakelse"
"1743","alle","1_5","personer","71","2014","barnehagedeltakelse"
"1744","alle","1_5","personer","243","2014","barnehagedeltakelse"
"1748","alle","1_5","personer","27","2014","barnehagedeltakelse"
"1749","alle","1_5","personer","36","2014","barnehagedeltakelse"
"1750","alle","1_5","personer","276","2014","barnehagedeltakelse"
"1751","alle","1_5","personer","258","2014","barnehagedeltakelse"
"1755","alle","1_5","personer","19","2014","barnehagedeltakelse"
"1756","alle","1_5","personer","346","2014","barnehagedeltakelse"
"1804","alle","1_5","personer","2928","2014","barnehagedeltakelse"
"1805","alle","1_5","personer","969","2014","barnehagedeltakelse"
"1811","alle","1_5","personer","64","2014","barnehagedeltakelse"
"1812","alle","1_5","personer","107","2014","barnehagedeltakelse"
"1813","alle","1_5","personer","475","2014","barnehagedeltakelse"
"1815","alle","1_5","personer","42","2014","barnehagedeltakelse"
"1816","alle","1_5","personer","26","2014","barnehagedeltakelse"
"1818","alle","1_5","personer","69","2014","barnehagedeltakelse"
"1820","alle","1_5","personer","374","2014","barnehagedeltakelse"
"1822","alle","1_5","personer","110","2014","barnehagedeltakelse"
"1824","alle","1_5","personer","652","2014","barnehagedeltakelse"
"1825","alle","1_5","personer","64","2014","barnehagedeltakelse"
"1826","alle","1_5","personer","61","2014","barnehagedeltakelse"
"1827","alle","1_5","personer","66","2014","barnehagedeltakelse"
"1828","alle","1_5","personer","102","2014","barnehagedeltakelse"
"1832","alle","1_5","personer","205","2014","barnehagedeltakelse"
"1833","alle","1_5","personer","1396","2014","barnehagedeltakelse"
"1834","alle","1_5","personer","111","2014","barnehagedeltakelse"
"1835","alle","1_5","personer","21","2014","barnehagedeltakelse"
"1836","alle","1_5","personer","61","2014","barnehagedeltakelse"
"1837","alle","1_5","personer","328","2014","barnehagedeltakelse"
"1838","alle","1_5","personer","86","2014","barnehagedeltakelse"
"1839","alle","1_5","personer","31","2014","barnehagedeltakelse"
"1840","alle","1_5","personer","234","2014","barnehagedeltakelse"
"1841","alle","1_5","personer","431","2014","barnehagedeltakelse"
"1845","alle","1_5","personer","59","2014","barnehagedeltakelse"
"1848","alle","1_5","personer","82","2014","barnehagedeltakelse"
"1849","alle","1_5","personer","86","2014","barnehagedeltakelse"
"1850","alle","1_5","personer","88","2014","barnehagedeltakelse"
"1851","alle","1_5","personer","84","2014","barnehagedeltakelse"
"1852","alle","1_5","personer","58","2014","barnehagedeltakelse"
"1853","alle","1_5","personer","53","2014","barnehagedeltakelse"
"1854","alle","1_5","personer","97","2014","barnehagedeltakelse"
"1856","alle","1_5","personer","19","2014","barnehagedeltakelse"
"1857","alle","1_5","personer","33","2014","barnehagedeltakelse"
"1859","alle","1_5","personer","35","2014","barnehagedeltakelse"
"1860","alle","1_5","personer","597","2014","barnehagedeltakelse"
"1865","alle","1_5","personer","413","2014","barnehagedeltakelse"
"1866","alle","1_5","personer","392","2014","barnehagedeltakelse"
"1867","alle","1_5","personer","79","2014","barnehagedeltakelse"
"1868","alle","1_5","personer","189","2014","barnehagedeltakelse"
"1870","alle","1_5","personer","564","2014","barnehagedeltakelse"
"1871","alle","1_5","personer","218","2014","barnehagedeltakelse"
"1874","alle","1_5","personer","36","2014","barnehagedeltakelse"
"1902","alle","1_5","personer","4301","2014","barnehagedeltakelse"
"1903","alle","1_5","personer","1332","2014","barnehagedeltakelse"
"1911","alle","1_5","personer","127","2014","barnehagedeltakelse"
"1913","alle","1_5","personer","138","2014","barnehagedeltakelse"
"1917","alle","1_5","personer","45","2014","barnehagedeltakelse"
"1919","alle","1_5","personer","31","2014","barnehagedeltakelse"
"1920","alle","1_5","personer","61","2014","barnehagedeltakelse"
"1922","alle","1_5","personer","227","2014","barnehagedeltakelse"
"1923","alle","1_5","personer","93","2014","barnehagedeltakelse"
"1924","alle","1_5","personer","321","2014","barnehagedeltakelse"
"1925","alle","1_5","personer","165","2014","barnehagedeltakelse"
"1926","alle","1_5","personer","47","2014","barnehagedeltakelse"
"1927","alle","1_5","personer","68","2014","barnehagedeltakelse"
"1928","alle","1_5","personer","28","2014","barnehagedeltakelse"
"1929","alle","1_5","personer","41","2014","barnehagedeltakelse"
"1931","alle","1_5","personer","640","2014","barnehagedeltakelse"
"1933","alle","1_5","personer","224","2014","barnehagedeltakelse"
"1936","alle","1_5","personer","76","2014","barnehagedeltakelse"
"1938","alle","1_5","personer","100","2014","barnehagedeltakelse"
"1939","alle","1_5","personer","86","2014","barnehagedeltakelse"
"1940","alle","1_5","personer","68","2014","barnehagedeltakelse"
"1941","alle","1_5","personer","125","2014","barnehagedeltakelse"
"1942","alle","1_5","personer","259","2014","barnehagedeltakelse"
"1943","alle","1_5","personer","44","2014","barnehagedeltakelse"
"2002","alle","1_5","personer","74","2014","barnehagedeltakelse"
"2003","alle","1_5","personer","288","2014","barnehagedeltakelse"
"2004","alle","1_5","personer","627","2014","barnehagedeltakelse"
"2011","alle","1_5","personer","164","2014","barnehagedeltakelse"
"2012","alle","1_5","personer","1210","2014","barnehagedeltakelse"
"2014","alle","1_5","personer","28","2014","barnehagedeltakelse"
"2015","alle","1_5","personer","55","2014","barnehagedeltakelse"
"2017","alle","1_5","personer","27","2014","barnehagedeltakelse"
"2018","alle","1_5","personer","40","2014","barnehagedeltakelse"
"2019","alle","1_5","personer","126","2014","barnehagedeltakelse"
"2020","alle","1_5","personer","161","2014","barnehagedeltakelse"
"2021","alle","1_5","personer","108","2014","barnehagedeltakelse"
"2022","alle","1_5","personer","46","2014","barnehagedeltakelse"
"2023","alle","1_5","personer","37","2014","barnehagedeltakelse"
"2024","alle","1_5","personer","28","2014","barnehagedeltakelse"
"2025","alle","1_5","personer","110","2014","barnehagedeltakelse"
"2027","alle","1_5","personer","52","2014","barnehagedeltakelse"
"2028","alle","1_5","personer","94","2014","barnehagedeltakelse"
"2030","alle","1_5","personer","495","2014","barnehagedeltakelse"
"0101","alle","1","personer","207","2014","barnehagedeltakelse"
"0104","alle","1","personer","209","2014","barnehagedeltakelse"
"0105","alle","1","personer","382","2014","barnehagedeltakelse"
"0106","alle","1","personer","518","2014","barnehagedeltakelse"
"0111","alle","1","personer","29","2014","barnehagedeltakelse"
"0118","alle","1","personer","7","2014","barnehagedeltakelse"
"0119","alle","1","personer","10","2014","barnehagedeltakelse"
"0121","alle","1","personer",":","2014","barnehagedeltakelse"
"0122","alle","1","personer","34","2014","barnehagedeltakelse"
"0123","alle","1","personer","47","2014","barnehagedeltakelse"
"0124","alle","1","personer","96","2014","barnehagedeltakelse"
"0125","alle","1","personer","68","2014","barnehagedeltakelse"
"0127","alle","1","personer","32","2014","barnehagedeltakelse"
"0128","alle","1","personer","53","2014","barnehagedeltakelse"
"0135","alle","1","personer","42","2014","barnehagedeltakelse"
"0136","alle","1","personer","88","2014","barnehagedeltakelse"
"0137","alle","1","personer","39","2014","barnehagedeltakelse"
"0138","alle","1","personer","47","2014","barnehagedeltakelse"
"0211","alle","1","personer","152","2014","barnehagedeltakelse"
"0213","alle","1","personer","253","2014","barnehagedeltakelse"
