"aar","naringsregion_nr","innvkat_3","kjonn","aldersinndeling_etter_grskole","tabellvariabel","tabell_navn","enhet"
"2012","70","innvandrere","alle","16_25","4","ikke_arbutd_innvkat_alder","personer"
"2014","70","innvandrere","0","16_25","4","ikke_arbutd_innvkat_alder","personer"
"2014","70","innvandrere","alle","16_25","4","ikke_arbutd_innvkat_alder","personer"
"2006","57","innvandrere","1","16_25","5","ikke_arbutd_innvkat_alder","personer"
"2006","66","innvandrere","1","26_66","5","ikke_arbutd_innvkat_alder","personer"
"2006","66","innvandrere","1","alle","5","ikke_arbutd_innvkat_alder","personer"
"2006","82","innvandrere","0","16_25","5","ikke_arbutd_innvkat_alder","personer"
"2007","10","innvandrere","1","16_25","5","ikke_arbutd_innvkat_alder","personer"
"2007","57","innvandrere","1","16_25","5","ikke_arbutd_innvkat_alder","personer"
"2008","58","innvandrere","0","16_25","5","ikke_arbutd_innvkat_alder","personer"
"2008","62","innvandrere","alle","16_25","5","ikke_arbutd_innvkat_alder","personer"
"2008","70","innvandrere","0","26_66","5","ikke_arbutd_innvkat_alder","personer"
"2008","70","innvandrere","0","alle","5","ikke_arbutd_innvkat_alder","personer"
"2009","66","innvandrere","1","16_25","5","ikke_arbutd_innvkat_alder","personer"
"2011","62","innvandrere","0","16_25","5","ikke_arbutd_innvkat_alder","personer"
"2013","48","innvandrere","1","16_25","5","ikke_arbutd_innvkat_alder","personer"
"2013","62","innvandrere","1","16_25","5","ikke_arbutd_innvkat_alder","personer"
"2013","70","innvandrere","0","16_25","5","ikke_arbutd_innvkat_alder","personer"
"2013","70","innvandrere","alle","16_25","5","ikke_arbutd_innvkat_alder","personer"
"2014","62","innvandrere","0","16_25","5","ikke_arbutd_innvkat_alder","personer"
"2014","62","innvandrere","1","16_25","5","ikke_arbutd_innvkat_alder","personer"
"2006","17","innvandrere","0","16_25","6","ikke_arbutd_innvkat_alder","personer"
"2006","38","innvandrere","1","16_25","6","ikke_arbutd_innvkat_alder","personer"
"2006","44","innvandrere","1","16_25","6","ikke_arbutd_innvkat_alder","personer"
"2006","45","innvandrere","alle","16_25","6","ikke_arbutd_innvkat_alder","personer"
"2007","44","innvandrere","1","16_25","6","ikke_arbutd_innvkat_alder","personer"
"2007","58","innvandrere","1","16_25","6","ikke_arbutd_innvkat_alder","personer"
"2007","82","innvandrere","1","16_25","6","ikke_arbutd_innvkat_alder","personer"
"2009","59","innvandrere","0","16_25","6","ikke_arbutd_innvkat_alder","personer"
"2009","59","innvandrere","1","16_25","6","ikke_arbutd_innvkat_alder","personer"
"2009","70","innvandrere","1","26_66","6","ikke_arbutd_innvkat_alder","personer"
"2010","62","innvandrere","alle","16_25","6","ikke_arbutd_innvkat_alder","personer"
"2011","48","innvandrere","0","16_25","6","ikke_arbutd_innvkat_alder","personer"
"2011","59","innvandrere","1","16_25","6","ikke_arbutd_innvkat_alder","personer"
"2012","62","innvandrere","0","16_25","6","ikke_arbutd_innvkat_alder","personer"
"2012","62","innvandrere","1","16_25","6","ikke_arbutd_innvkat_alder","personer"
"2013","59","innvandrere","1","16_25","6","ikke_arbutd_innvkat_alder","personer"
"2006","43","innvandrere","1","16_25","7","ikke_arbutd_innvkat_alder","personer"
"2006","58","innvandrere","0","16_25","7","ikke_arbutd_innvkat_alder","personer"
"2006","59","innvandrere","alle","16_25","7","ikke_arbutd_innvkat_alder","personer"
"2006","65","innvandrere","alle","16_25","7","ikke_arbutd_innvkat_alder","personer"
"2006","68","innvandrere","0","16_25","7","ikke_arbutd_innvkat_alder","personer"
"2007","45","innvandrere","alle","16_25","7","ikke_arbutd_innvkat_alder","personer"
"2007","66","innvandrere","0","16_25","7","ikke_arbutd_innvkat_alder","personer"
"2007","66","innvandrere","alle","16_25","7","ikke_arbutd_innvkat_alder","personer"
"2007","68","innvandrere","1","16_25","7","ikke_arbutd_innvkat_alder","personer"
"2008","43","innvandrere","1","16_25","7","ikke_arbutd_innvkat_alder","personer"
"2008","45","innvandrere","0","16_25","7","ikke_arbutd_innvkat_alder","personer"
"2008","65","innvandrere","alle","16_25","7","ikke_arbutd_innvkat_alder","personer"
"2008","71","innvandrere","0","16_25","7","ikke_arbutd_innvkat_alder","personer"
"2009","62","innvandrere","alle","16_25","7","ikke_arbutd_innvkat_alder","personer"
"2009","65","innvandrere","0","16_25","7","ikke_arbutd_innvkat_alder","personer"
"2009","66","innvandrere","alle","16_25","7","ikke_arbutd_innvkat_alder","personer"
"2009","70","innvandrere","1","alle","7","ikke_arbutd_innvkat_alder","personer"
"2009","71","innvandrere","0","16_25","7","ikke_arbutd_innvkat_alder","personer"
"2010","43","innvandrere","1","16_25","7","ikke_arbutd_innvkat_alder","personer"
"2010","48","innvandrere","alle","16_25","7","ikke_arbutd_innvkat_alder","personer"
"2010","66","innvandrere","0","16_25","7","ikke_arbutd_innvkat_alder","personer"
"2010","70","innvandrere","1","26_66","7","ikke_arbutd_innvkat_alder","personer"
"2010","70","innvandrere","1","alle","7","ikke_arbutd_innvkat_alder","personer"
"2011","70","innvandrere","1","26_66","7","ikke_arbutd_innvkat_alder","personer"
"2011","70","innvandrere","alle","16_25","7","ikke_arbutd_innvkat_alder","personer"
"2011","82","innvandrere","0","16_25","7","ikke_arbutd_innvkat_alder","personer"
"2012","70","innvandrere","1","26_66","7","ikke_arbutd_innvkat_alder","personer"
"2012","70","innvandrere","1","alle","7","ikke_arbutd_innvkat_alder","personer"
"2013","48","innvandrere","0","16_25","7","ikke_arbutd_innvkat_alder","personer"
"2013","62","innvandrere","alle","16_25","7","ikke_arbutd_innvkat_alder","personer"
"2014","48","innvandrere","1","16_25","7","ikke_arbutd_innvkat_alder","personer"
"2006","54","innvandrere","0","16_25","8","ikke_arbutd_innvkat_alder","personer"
"2006","66","innvandrere","0","16_25","8","ikke_arbutd_innvkat_alder","personer"
"2006","66","innvandrere","alle","16_25","8","ikke_arbutd_innvkat_alder","personer"
"2006","80","innvandrere","0","16_25","8","ikke_arbutd_innvkat_alder","personer"
"2007","51","innvandrere","1","16_25","8","ikke_arbutd_innvkat_alder","personer"
"2007","62","innvandrere","1","26_66","8","ikke_arbutd_innvkat_alder","personer"
"2008","59","innvandrere","alle","16_25","8","ikke_arbutd_innvkat_alder","personer"
"2008","70","innvandrere","alle","26_66","8","ikke_arbutd_innvkat_alder","personer"
"2008","82","innvandrere","0","16_25","8","ikke_arbutd_innvkat_alder","personer"
"2009","82","innvandrere","0","16_25","8","ikke_arbutd_innvkat_alder","personer"
"2011","48","innvandrere","alle","16_25","8","ikke_arbutd_innvkat_alder","personer"
"2011","62","innvandrere","alle","16_25","8","ikke_arbutd_innvkat_alder","personer"
"2011","68","innvandrere","0","16_25","8","ikke_arbutd_innvkat_alder","personer"
"2012","48","innvandrere","0","16_25","8","ikke_arbutd_innvkat_alder","personer"
"2013","70","innvandrere","1","26_66","8","ikke_arbutd_innvkat_alder","personer"
"2013","70","innvandrere","1","alle","8","ikke_arbutd_innvkat_alder","personer"
"2014","48","innvandrere","0","16_25","8","ikke_arbutd_innvkat_alder","personer"
"2006","58","innvandrere","alle","16_25","9","ikke_arbutd_innvkat_alder","personer"
"2006","67","innvandrere","1","16_25","9","ikke_arbutd_innvkat_alder","personer"
"2006","82","innvandrere","1","16_25","9","ikke_arbutd_innvkat_alder","personer"
"2007","38","innvandrere","1","16_25","9","ikke_arbutd_innvkat_alder","personer"
"2007","42","innvandrere","1","16_25","9","ikke_arbutd_innvkat_alder","personer"
"2007","62","innvandrere","1","alle","9","ikke_arbutd_innvkat_alder","personer"
"2007","70","innvandrere","0","26_66","9","ikke_arbutd_innvkat_alder","personer"
"2007","70","innvandrere","0","alle","9","ikke_arbutd_innvkat_alder","personer"
"2008","70","innvandrere","alle","alle","9","ikke_arbutd_innvkat_alder","personer"
"2008","80","innvandrere","0","16_25","9","ikke_arbutd_innvkat_alder","personer"
"2009","31","innvandrere","1","16_25","9","ikke_arbutd_innvkat_alder","personer"
"2009","68","innvandrere","1","16_25","9","ikke_arbutd_innvkat_alder","personer"
"2009","82","innvandrere","1","16_25","9","ikke_arbutd_innvkat_alder","personer"
"2010","59","innvandrere","1","16_25","9","ikke_arbutd_innvkat_alder","personer"
"2010","68","innvandrere","1","16_25","9","ikke_arbutd_innvkat_alder","personer"
"2011","65","innvandrere","0","16_25","9","ikke_arbutd_innvkat_alder","personer"
"2011","65","innvandrere","1","16_25","9","ikke_arbutd_innvkat_alder","personer"
"2013","31","innvandrere","0","16_25","9","ikke_arbutd_innvkat_alder","personer"
"2014","45","innvandrere","1","16_25","9","ikke_arbutd_innvkat_alder","personer"
"2014","59","innvandrere","1","16_25","9","ikke_arbutd_innvkat_alder","personer"
"2006","17","innvandrere","1","16_25","10","ikke_arbutd_innvkat_alder","personer"
"2006","18","innvandrere","1","16_25","10","ikke_arbutd_innvkat_alder","personer"
"2006","36","innvandrere","1","16_25","10","ikke_arbutd_innvkat_alder","personer"
"2007","18","innvandrere","1","16_25","10","ikke_arbutd_innvkat_alder","personer"
"2007","23","innvandrere","1","16_25","10","ikke_arbutd_innvkat_alder","personer"
"2007","31","innvandrere","0","16_25","10","ikke_arbutd_innvkat_alder","personer"
"2007","31","innvandrere","alle","16_25","10","ikke_arbutd_innvkat_alder","personer"
"2007","58","innvandrere","0","16_25","10","ikke_arbutd_innvkat_alder","personer"
"2007","70","innvandrere","alle","26_66","10","ikke_arbutd_innvkat_alder","personer"
"2007","70","innvandrere","alle","alle","10","ikke_arbutd_innvkat_alder","personer"
"2007","82","innvandrere","0","16_25","10","ikke_arbutd_innvkat_alder","personer"
"2008","30","innvandrere","1","16_25","10","ikke_arbutd_innvkat_alder","personer"
"2008","42","innvandrere","0","16_25","10","ikke_arbutd_innvkat_alder","personer"
"2008","68","innvandrere","0","16_25","10","ikke_arbutd_innvkat_alder","personer"
"2008","68","innvandrere","1","16_25","10","ikke_arbutd_innvkat_alder","personer"
"2008","82","innvandrere","alle","16_25","10","ikke_arbutd_innvkat_alder","personer"
"2010","65","innvandrere","1","16_25","10","ikke_arbutd_innvkat_alder","personer"
"2011","45","innvandrere","1","16_25","10","ikke_arbutd_innvkat_alder","personer"
"2011","66","innvandrere","1","16_25","10","ikke_arbutd_innvkat_alder","personer"
"2011","70","innvandrere","1","alle","10","ikke_arbutd_innvkat_alder","personer"
"2012","48","innvandrere","alle","16_25","10","ikke_arbutd_innvkat_alder","personer"
"2012","59","innvandrere","1","16_25","10","ikke_arbutd_innvkat_alder","personer"
"2013","45","innvandrere","1","16_25","10","ikke_arbutd_innvkat_alder","personer"
"2014","62","innvandrere","alle","16_25","10","ikke_arbutd_innvkat_alder","personer"
"2006","10","innvandrere","0","16_25","11","ikke_arbutd_innvkat_alder","personer"
"2006","29","innvandrere","1","16_25","11","ikke_arbutd_innvkat_alder","personer"
"2006","70","innvandrere","0","26_66","11","ikke_arbutd_innvkat_alder","personer"
"2007","10","innvandrere","0","16_25","11","ikke_arbutd_innvkat_alder","personer"
"2007","30","innvandrere","1","16_25","11","ikke_arbutd_innvkat_alder","personer"
"2007","43","innvandrere","1","16_25","11","ikke_arbutd_innvkat_alder","personer"
"2007","66","innvandrere","1","26_66","11","ikke_arbutd_innvkat_alder","personer"
"2007","66","innvandrere","1","alle","11","ikke_arbutd_innvkat_alder","personer"
"2007","67","innvandrere","1","16_25","11","ikke_arbutd_innvkat_alder","personer"
"2007","69","innvandrere","0","16_25","11","ikke_arbutd_innvkat_alder","personer"
"2007","71","innvandrere","1","16_25","11","ikke_arbutd_innvkat_alder","personer"
"2007","80","innvandrere","0","16_25","11","ikke_arbutd_innvkat_alder","personer"
"2008","45","innvandrere","alle","16_25","11","ikke_arbutd_innvkat_alder","personer"
"2008","71","innvandrere","1","16_25","11","ikke_arbutd_innvkat_alder","personer"
"2009","57","innvandrere","0","16_25","11","ikke_arbutd_innvkat_alder","personer"
"2009","65","innvandrere","alle","16_25","11","ikke_arbutd_innvkat_alder","personer"
"2009","68","innvandrere","0","16_25","11","ikke_arbutd_innvkat_alder","personer"
"2010","66","innvandrere","alle","16_25","11","ikke_arbutd_innvkat_alder","personer"
"2010","82","innvandrere","0","16_25","11","ikke_arbutd_innvkat_alder","personer"
"2011","68","innvandrere","1","16_25","11","ikke_arbutd_innvkat_alder","personer"
"2012","30","innvandrere","0","16_25","11","ikke_arbutd_innvkat_alder","personer"
"2012","45","innvandrere","1","16_25","11","ikke_arbutd_innvkat_alder","personer"
"2014","45","innvandrere","0","16_25","11","ikke_arbutd_innvkat_alder","personer"
"2014","59","innvandrere","0","16_25","11","ikke_arbutd_innvkat_alder","personer"
"2006","10","innvandrere","1","16_25","12","ikke_arbutd_innvkat_alder","personer"
"2006","23","innvandrere","1","16_25","12","ikke_arbutd_innvkat_alder","personer"
"2006","31","innvandrere","0","16_25","12","ikke_arbutd_innvkat_alder","personer"
"2006","43","innvandrere","0","16_25","12","ikke_arbutd_innvkat_alder","personer"
"2006","50","innvandrere","1","16_25","12","ikke_arbutd_innvkat_alder","personer"
"2006","54","innvandrere","alle","16_25","12","ikke_arbutd_innvkat_alder","personer"
"2006","57","innvandrere","0","16_25","12","ikke_arbutd_innvkat_alder","personer"
"2006","60","innvandrere","1","16_25","12","ikke_arbutd_innvkat_alder","personer"
"2006","70","innvandrere","0","alle","12","ikke_arbutd_innvkat_alder","personer"
"2006","70","innvandrere","alle","26_66","12","ikke_arbutd_innvkat_alder","personer"
"2006","80","innvandrere","alle","16_25","12","ikke_arbutd_innvkat_alder","personer"
"2007","17","innvandrere","0","16_25","12","ikke_arbutd_innvkat_alder","personer"
"2007","54","innvandrere","1","16_25","12","ikke_arbutd_innvkat_alder","personer"
"2007","57","innvandrere","0","16_25","12","ikke_arbutd_innvkat_alder","personer"
"2007","68","innvandrere","0","16_25","12","ikke_arbutd_innvkat_alder","personer"
"2007","70","alle","0","16_25","12","ikke_arbutd_innvkat_alder","personer"
"2007","70","befolkningen_ellers","0","16_25","12","ikke_arbutd_innvkat_alder","personer"
"2008","18","innvandrere","1","16_25","12","ikke_arbutd_innvkat_alder","personer"
"2008","23","innvandrere","1","16_25","12","ikke_arbutd_innvkat_alder","personer"
"2008","66","innvandrere","1","26_66","12","ikke_arbutd_innvkat_alder","personer"
"2008","70","alle","0","16_25","12","ikke_arbutd_innvkat_alder","personer"
"2008","70","befolkningen_ellers","0","16_25","12","ikke_arbutd_innvkat_alder","personer"
"2008","80","innvandrere","1","16_25","12","ikke_arbutd_innvkat_alder","personer"
"2009","42","innvandrere","0","16_25","12","ikke_arbutd_innvkat_alder","personer"
"2009","43","innvandrere","1","16_25","12","ikke_arbutd_innvkat_alder","personer"
"2009","57","innvandrere","1","16_25","12","ikke_arbutd_innvkat_alder","personer"
"2009","59","innvandrere","alle","16_25","12","ikke_arbutd_innvkat_alder","personer"
"2010","59","innvandrere","0","16_25","12","ikke_arbutd_innvkat_alder","personer"
"2011","23","innvandrere","1","16_25","12","ikke_arbutd_innvkat_alder","personer"
"2011","66","innvandrere","0","16_25","12","ikke_arbutd_innvkat_alder","personer"
"2011","80","innvandrere","1","16_25","12","ikke_arbutd_innvkat_alder","personer"
"2012","31","innvandrere","1","16_25","12","ikke_arbutd_innvkat_alder","personer"
"2012","62","innvandrere","alle","16_25","12","ikke_arbutd_innvkat_alder","personer"
"2012","65","innvandrere","0","16_25","12","ikke_arbutd_innvkat_alder","personer"
"2013","17","innvandrere","0","16_25","12","ikke_arbutd_innvkat_alder","personer"
"2013","30","innvandrere","0","16_25","12","ikke_arbutd_innvkat_alder","personer"
"2013","48","innvandrere","alle","16_25","12","ikke_arbutd_innvkat_alder","personer"
"2013","65","innvandrere","0","16_25","12","ikke_arbutd_innvkat_alder","personer"
"2013","66","innvandrere","1","16_25","12","ikke_arbutd_innvkat_alder","personer"
"2014","31","innvandrere","0","16_25","12","ikke_arbutd_innvkat_alder","personer"
"2006","30","innvandrere","1","16_25","13","ikke_arbutd_innvkat_alder","personer"
"2006","42","innvandrere","1","16_25","13","ikke_arbutd_innvkat_alder","personer"
"2006","69","innvandrere","0","16_25","13","ikke_arbutd_innvkat_alder","personer"
"2006","70","befolkningen_ellers","0","16_25","13","ikke_arbutd_innvkat_alder","personer"
"2006","70","innvandrere","alle","alle","13","ikke_arbutd_innvkat_alder","personer"
"2007","29","innvandrere","1","16_25","13","ikke_arbutd_innvkat_alder","personer"
"2007","69","innvandrere","1","16_25","13","ikke_arbutd_innvkat_alder","personer"
"2007","80","innvandrere","alle","16_25","13","ikke_arbutd_innvkat_alder","personer"
"2008","10","innvandrere","1","16_25","13","ikke_arbutd_innvkat_alder","personer"
"2008","17","innvandrere","0","16_25","13","ikke_arbutd_innvkat_alder","personer"
"2008","21","innvandrere","1","16_25","13","ikke_arbutd_innvkat_alder","personer"
"2008","38","innvandrere","1","16_25","13","ikke_arbutd_innvkat_alder","personer"
"2008","42","innvandrere","1","16_25","13","ikke_arbutd_innvkat_alder","personer"
"2008","58","innvandrere","1","16_25","13","ikke_arbutd_innvkat_alder","personer"
"2008","65","innvandrere","1","26_66","13","ikke_arbutd_innvkat_alder","personer"
"2008","66","innvandrere","1","alle","13","ikke_arbutd_innvkat_alder","personer"
"2008","69","innvandrere","0","16_25","13","ikke_arbutd_innvkat_alder","personer"
"2008","70","befolkningen_ellers","1","16_25","13","ikke_arbutd_innvkat_alder","personer"
"2009","10","innvandrere","0","16_25","13","ikke_arbutd_innvkat_alder","personer"
"2009","30","innvandrere","1","16_25","13","ikke_arbutd_innvkat_alder","personer"
"2009","45","innvandrere","0","16_25","13","ikke_arbutd_innvkat_alder","personer"
"2009","69","innvandrere","1","16_25","13","ikke_arbutd_innvkat_alder","personer"
"2010","65","innvandrere","alle","16_25","13","ikke_arbutd_innvkat_alder","personer"
"2010","70","innvandrere","0","26_66","13","ikke_arbutd_innvkat_alder","personer"
"2010","80","innvandrere","1","16_25","13","ikke_arbutd_innvkat_alder","personer"
"2011","30","innvandrere","0","16_25","13","ikke_arbutd_innvkat_alder","personer"
"2011","31","innvandrere","1","16_25","13","ikke_arbutd_innvkat_alder","personer"
"2011","45","innvandrere","0","16_25","13","ikke_arbutd_innvkat_alder","personer"
"2012","82","innvandrere","0","16_25","13","ikke_arbutd_innvkat_alder","personer"
"2014","65","innvandrere","0","16_25","13","ikke_arbutd_innvkat_alder","personer"
"2006","48","innvandrere","1","26_66","14","ikke_arbutd_innvkat_alder","personer"
"2006","48","innvandrere","1","alle","14","ikke_arbutd_innvkat_alder","personer"
"2006","62","innvandrere","1","26_66","14","ikke_arbutd_innvkat_alder","personer"
"2006","63","innvandrere","1","16_25","14","ikke_arbutd_innvkat_alder","personer"
"2006","70","alle","0","16_25","14","ikke_arbutd_innvkat_alder","personer"
"2006","82","innvandrere","alle","16_25","14","ikke_arbutd_innvkat_alder","personer"
"2007","15","innvandrere","1","16_25","14","ikke_arbutd_innvkat_alder","personer"
"2007","30","innvandrere","0","16_25","14","ikke_arbutd_innvkat_alder","personer"
"2007","34","innvandrere","1","16_25","14","ikke_arbutd_innvkat_alder","personer"
"2007","36","innvandrere","0","16_25","14","ikke_arbutd_innvkat_alder","personer"
"2007","41","innvandrere","1","16_25","14","ikke_arbutd_innvkat_alder","personer"
"2007","71","innvandrere","0","16_25","14","ikke_arbutd_innvkat_alder","personer"
"2008","17","innvandrere","1","16_25","14","ikke_arbutd_innvkat_alder","personer"
"2008","30","innvandrere","0","16_25","14","ikke_arbutd_innvkat_alder","personer"
"2008","70","alle","1","16_25","14","ikke_arbutd_innvkat_alder","personer"
"2009","23","innvandrere","1","16_25","14","ikke_arbutd_innvkat_alder","personer"
"2009","43","innvandrere","0","16_25","14","ikke_arbutd_innvkat_alder","personer"
"2009","65","innvandrere","1","26_66","14","ikke_arbutd_innvkat_alder","personer"
