"aar","bydel_nr","vreg_9","tabellvariabel","tabell_navn","enhet"
"2006","030106","nord_amerika_oseania","99","sysselsatte_land","personer"
"2006","030106","norden","714","sysselsatte_land","personer"
"2006","030106","ost_europa_ellers","243","sysselsatte_land","personer"
"2006","030106","sor_og_mellom_amerika","136","sysselsatte_land","personer"
"2006","030106","vest_europa","391","sysselsatte_land","personer"
"2006","030107","afrika","416","sysselsatte_land","personer"
"2006","030107","alle","3311","sysselsatte_land","personer"
"2006","030107","asia","1368","sysselsatte_land","personer"
"2006","030107","eu_ost_europa","319","sysselsatte_land","personer"
"2006","030107","nord_amerika_oseania","62","sysselsatte_land","personer"
"2006","030107","norden","505","sysselsatte_land","personer"
"2006","030107","ost_europa_ellers","208","sysselsatte_land","personer"
"2006","030107","sor_og_mellom_amerika","145","sysselsatte_land","personer"
"2006","030107","vest_europa","288","sysselsatte_land","personer"
"2006","030108","afrika","546","sysselsatte_land","personer"
"2006","030108","alle","3666","sysselsatte_land","personer"
"2006","030108","asia","1304","sysselsatte_land","personer"
"2006","030108","eu_ost_europa","386","sysselsatte_land","personer"
"2006","030108","nord_amerika_oseania","68","sysselsatte_land","personer"
"2006","030108","norden","600","sysselsatte_land","personer"
"2006","030108","ost_europa_ellers","303","sysselsatte_land","personer"
"2006","030108","sor_og_mellom_amerika","150","sysselsatte_land","personer"
"2006","030108","vest_europa","309","sysselsatte_land","personer"
"2006","030109","afrika","339","sysselsatte_land","personer"
"2006","030109","alle","2673","sysselsatte_land","personer"
"2006","030109","asia","1083","sysselsatte_land","personer"
"2006","030109","eu_ost_europa","199","sysselsatte_land","personer"
"2006","030109","nord_amerika_oseania","38","sysselsatte_land","personer"
"2006","030109","norden","427","sysselsatte_land","personer"
"2006","030109","ost_europa_ellers","212","sysselsatte_land","personer"
"2006","030109","sor_og_mellom_amerika","131","sysselsatte_land","personer"
"2006","030109","vest_europa","244","sysselsatte_land","personer"
"2006","030110","afrika","514","sysselsatte_land","personer"
"2006","030110","alle","3038","sysselsatte_land","personer"
"2006","030110","asia","1378","sysselsatte_land","personer"
"2006","030110","eu_ost_europa","198","sysselsatte_land","personer"
"2006","030110","nord_amerika_oseania","50","sysselsatte_land","personer"
"2006","030110","norden","360","sysselsatte_land","personer"
"2006","030110","ost_europa_ellers","236","sysselsatte_land","personer"
"2006","030110","sor_og_mellom_amerika","126","sysselsatte_land","personer"
"2006","030110","vest_europa","176","sysselsatte_land","personer"
"2006","030111","afrika","248","sysselsatte_land","personer"
"2006","030111","alle","1758","sysselsatte_land","personer"
"2006","030111","asia","783","sysselsatte_land","personer"
"2006","030111","eu_ost_europa","125","sysselsatte_land","personer"
"2006","030111","nord_amerika_oseania","36","sysselsatte_land","personer"
"2006","030111","norden","194","sysselsatte_land","personer"
"2006","030111","ost_europa_ellers","153","sysselsatte_land","personer"
"2006","030111","sor_og_mellom_amerika","66","sysselsatte_land","personer"
"2006","030111","vest_europa","153","sysselsatte_land","personer"
"2006","030112","afrika","141","sysselsatte_land","personer"
"2006","030112","alle","1377","sysselsatte_land","personer"
"2006","030112","asia","598","sysselsatte_land","personer"
"2006","030112","eu_ost_europa","161","sysselsatte_land","personer"
"2006","030112","nord_amerika_oseania","27","sysselsatte_land","personer"
"2006","030112","norden","188","sysselsatte_land","personer"
"2006","030112","ost_europa_ellers","89","sysselsatte_land","personer"
"2006","030112","sor_og_mellom_amerika","57","sysselsatte_land","personer"
"2006","030112","vest_europa","116","sysselsatte_land","personer"
"2006","030113","afrika","309","sysselsatte_land","personer"
"2006","030113","alle","1919","sysselsatte_land","personer"
"2006","030113","asia","964","sysselsatte_land","personer"
"2006","030113","eu_ost_europa","102","sysselsatte_land","personer"
"2006","030113","nord_amerika_oseania","29","sysselsatte_land","personer"
"2006","030113","norden","174","sysselsatte_land","personer"
"2006","030113","ost_europa_ellers","147","sysselsatte_land","personer"
"2006","030113","sor_og_mellom_amerika","90","sysselsatte_land","personer"
"2006","030113","vest_europa","104","sysselsatte_land","personer"
"2006","030114","afrika","173","sysselsatte_land","personer"
"2006","030114","alle","1258","sysselsatte_land","personer"
"2006","030114","asia","645","sysselsatte_land","personer"
"2006","030114","eu_ost_europa","87","sysselsatte_land","personer"
"2006","030114","nord_amerika_oseania","9","sysselsatte_land","personer"
"2006","030114","norden","102","sysselsatte_land","personer"
"2006","030114","ost_europa_ellers","125","sysselsatte_land","personer"
"2006","030114","sor_og_mellom_amerika","57","sysselsatte_land","personer"
"2006","030114","vest_europa","60","sysselsatte_land","personer"
"2006","030115","afrika","180","sysselsatte_land","personer"
"2006","030115","alle","1304","sysselsatte_land","personer"
"2006","030115","asia","662","sysselsatte_land","personer"
"2006","030115","eu_ost_europa","81","sysselsatte_land","personer"
"2006","030115","nord_amerika_oseania","18","sysselsatte_land","personer"
"2006","030115","norden","130","sysselsatte_land","personer"
"2006","030115","ost_europa_ellers","104","sysselsatte_land","personer"
"2006","030115","sor_og_mellom_amerika","57","sysselsatte_land","personer"
"2006","030115","vest_europa","72","sysselsatte_land","personer"
"2006","030116","afrika","135","sysselsatte_land","personer"
"2006","030116","alle","1012","sysselsatte_land","personer"
"2006","030116","asia","579","sysselsatte_land","personer"
"2006","030116","eu_ost_europa","58","sysselsatte_land","personer"
"2006","030116","nord_amerika_oseania","12","sysselsatte_land","personer"
"2006","030116","norden","61","sysselsatte_land","personer"
"2006","030116","ost_europa_ellers","84","sysselsatte_land","personer"
"2006","030116","sor_og_mellom_amerika","43","sysselsatte_land","personer"
"2006","030116","vest_europa","40","sysselsatte_land","personer"
"2006","030117","afrika","248","sysselsatte_land","personer"
"2006","030117","alle","1796","sysselsatte_land","personer"
"2006","030117","asia","1147","sysselsatte_land","personer"
"2006","030117","eu_ost_europa","78","sysselsatte_land","personer"
"2006","030117","nord_amerika_oseania","9","sysselsatte_land","personer"
"2006","030117","norden","73","sysselsatte_land","personer"
"2006","030117","ost_europa_ellers","146","sysselsatte_land","personer"
"2006","030117","sor_og_mellom_amerika","48","sysselsatte_land","personer"
"2006","030117","vest_europa","47","sysselsatte_land","personer"
"2006","030199","afrika","61","sysselsatte_land","personer"
"2006","030199","alle","475","sysselsatte_land","personer"
"2006","030199","asia","108","sysselsatte_land","personer"
"2006","030199","eu_ost_europa","68","sysselsatte_land","personer"
"2006","030199","nord_amerika_oseania","10","sysselsatte_land","personer"
"2006","030199","norden","136","sysselsatte_land","personer"
"2006","030199","ost_europa_ellers","24","sysselsatte_land","personer"
"2006","030199","sor_og_mellom_amerika","17","sysselsatte_land","personer"
"2006","030199","vest_europa","51","sysselsatte_land","personer"
"2007","00","afrika","17728","sysselsatte_land","personer"
"2007","00","alle","213108","sysselsatte_land","personer"
"2007","00","asia","65075","sysselsatte_land","personer"
"2007","00","eu_ost_europa","32094","sysselsatte_land","personer"
"2007","00","nord_amerika_oseania","5018","sysselsatte_land","personer"
"2007","00","norden","35330","sysselsatte_land","personer"
"2007","00","ost_europa_ellers","22134","sysselsatte_land","personer"
"2007","00","sor_og_mellom_amerika","8506","sysselsatte_land","personer"
"2007","00","vest_europa","27223","sysselsatte_land","personer"
"2007","030101","afrika","685","sysselsatte_land","personer"
"2007","030101","alle","5490","sysselsatte_land","personer"
"2007","030101","asia","1629","sysselsatte_land","personer"
"2007","030101","eu_ost_europa","663","sysselsatte_land","personer"
"2007","030101","nord_amerika_oseania","150","sysselsatte_land","personer"
"2007","030101","norden","1131","sysselsatte_land","personer"
"2007","030101","ost_europa_ellers","347","sysselsatte_land","personer"
"2007","030101","sor_og_mellom_amerika","289","sysselsatte_land","personer"
"2007","030101","vest_europa","596","sysselsatte_land","personer"
"2007","030102","afrika","480","sysselsatte_land","personer"
"2007","030102","alle","4324","sysselsatte_land","personer"
"2007","030102","asia","1317","sysselsatte_land","personer"
"2007","030102","eu_ost_europa","447","sysselsatte_land","personer"
"2007","030102","nord_amerika_oseania","138","sysselsatte_land","personer"
"2007","030102","norden","948","sysselsatte_land","personer"
"2007","030102","ost_europa_ellers","297","sysselsatte_land","personer"
"2007","030102","sor_og_mellom_amerika","209","sysselsatte_land","personer"
"2007","030102","vest_europa","488","sysselsatte_land","personer"
"2007","030103","afrika","632","sysselsatte_land","personer"
"2007","030103","alle","5768","sysselsatte_land","personer"
"2007","030103","asia","1886","sysselsatte_land","personer"
"2007","030103","eu_ost_europa","664","sysselsatte_land","personer"
"2007","030103","nord_amerika_oseania","147","sysselsatte_land","personer"
"2007","030103","norden","1087","sysselsatte_land","personer"
"2007","030103","ost_europa_ellers","400","sysselsatte_land","personer"
"2007","030103","sor_og_mellom_amerika","257","sysselsatte_land","personer"
"2007","030103","vest_europa","695","sysselsatte_land","personer"
"2007","030104","afrika","735","sysselsatte_land","personer"
"2007","030104","alle","5461","sysselsatte_land","personer"
"2007","030104","asia","1811","sysselsatte_land","personer"
"2007","030104","eu_ost_europa","648","sysselsatte_land","personer"
"2007","030104","nord_amerika_oseania","121","sysselsatte_land","personer"
"2007","030104","norden","983","sysselsatte_land","personer"
"2007","030104","ost_europa_ellers","373","sysselsatte_land","personer"
"2007","030104","sor_og_mellom_amerika","235","sysselsatte_land","personer"
"2007","030104","vest_europa","555","sysselsatte_land","personer"
"2007","030105","afrika","516","sysselsatte_land","personer"
"2007","030105","alle","4287","sysselsatte_land","personer"
"2007","030105","asia","1302","sysselsatte_land","personer"
"2007","030105","eu_ost_europa","490","sysselsatte_land","personer"
"2007","030105","nord_amerika_oseania","121","sysselsatte_land","personer"
"2007","030105","norden","873","sysselsatte_land","personer"
"2007","030105","ost_europa_ellers","321","sysselsatte_land","personer"
"2007","030105","sor_og_mellom_amerika","216","sysselsatte_land","personer"
"2007","030105","vest_europa","448","sysselsatte_land","personer"
"2007","030106","afrika","531","sysselsatte_land","personer"
"2007","030106","alle","4425","sysselsatte_land","personer"
"2007","030106","asia","1606","sysselsatte_land","personer"
"2007","030106","eu_ost_europa","567","sysselsatte_land","personer"
"2007","030106","nord_amerika_oseania","115","sysselsatte_land","personer"
"2007","030106","norden","759","sysselsatte_land","personer"
"2007","030106","ost_europa_ellers","263","sysselsatte_land","personer"
"2007","030106","sor_og_mellom_amerika","150","sysselsatte_land","personer"
"2007","030106","vest_europa","434","sysselsatte_land","personer"
"2007","030107","afrika","464","sysselsatte_land","personer"
"2007","030107","alle","3700","sysselsatte_land","personer"
"2007","030107","asia","1468","sysselsatte_land","personer"
"2007","030107","eu_ost_europa","481","sysselsatte_land","personer"
"2007","030107","nord_amerika_oseania","69","sysselsatte_land","personer"
"2007","030107","norden","554","sysselsatte_land","personer"
"2007","030107","ost_europa_ellers","216","sysselsatte_land","personer"
"2007","030107","sor_og_mellom_amerika","154","sysselsatte_land","personer"
"2007","030107","vest_europa","294","sysselsatte_land","personer"
"2007","030108","afrika","607","sysselsatte_land","personer"
"2007","030108","alle","4169","sysselsatte_land","personer"
"2007","030108","asia","1436","sysselsatte_land","personer"
"2007","030108","eu_ost_europa","540","sysselsatte_land","personer"
"2007","030108","nord_amerika_oseania","70","sysselsatte_land","personer"
"2007","030108","norden","639","sysselsatte_land","personer"
"2007","030108","ost_europa_ellers","349","sysselsatte_land","personer"
"2007","030108","sor_og_mellom_amerika","171","sysselsatte_land","personer"
"2007","030108","vest_europa","357","sysselsatte_land","personer"
"2007","030109","afrika","419","sysselsatte_land","personer"
"2007","030109","alle","2957","sysselsatte_land","personer"
"2007","030109","asia","1140","sysselsatte_land","personer"
"2007","030109","eu_ost_europa","259","sysselsatte_land","personer"
"2007","030109","nord_amerika_oseania","50","sysselsatte_land","personer"
"2007","030109","norden","459","sysselsatte_land","personer"
"2007","030109","ost_europa_ellers","234","sysselsatte_land","personer"
"2007","030109","sor_og_mellom_amerika","129","sysselsatte_land","personer"
"2007","030109","vest_europa","267","sysselsatte_land","personer"
"2007","030110","afrika","564","sysselsatte_land","personer"
"2007","030110","alle","3334","sysselsatte_land","personer"
"2007","030110","asia","1426","sysselsatte_land","personer"
"2007","030110","eu_ost_europa","288","sysselsatte_land","personer"
"2007","030110","nord_amerika_oseania","60","sysselsatte_land","personer"
"2007","030110","norden","394","sysselsatte_land","personer"
"2007","030110","ost_europa_ellers","263","sysselsatte_land","personer"
"2007","030110","sor_og_mellom_amerika","138","sysselsatte_land","personer"
"2007","030110","vest_europa","201","sysselsatte_land","personer"
"2007","030111","afrika","267","sysselsatte_land","personer"
"2007","030111","alle","1927","sysselsatte_land","personer"
"2007","030111","asia","842","sysselsatte_land","personer"
"2007","030111","eu_ost_europa","186","sysselsatte_land","personer"
"2007","030111","nord_amerika_oseania","43","sysselsatte_land","personer"
"2007","030111","norden","208","sysselsatte_land","personer"
"2007","030111","ost_europa_ellers","160","sysselsatte_land","personer"
"2007","030111","sor_og_mellom_amerika","75","sysselsatte_land","personer"
"2007","030111","vest_europa","146","sysselsatte_land","personer"
"2007","030112","afrika","166","sysselsatte_land","personer"
"2007","030112","alle","1604","sysselsatte_land","personer"
"2007","030112","asia","685","sysselsatte_land","personer"
"2007","030112","eu_ost_europa","230","sysselsatte_land","personer"
"2007","030112","nord_amerika_oseania","33","sysselsatte_land","personer"
"2007","030112","norden","211","sysselsatte_land","personer"
"2007","030112","ost_europa_ellers","103","sysselsatte_land","personer"
"2007","030112","sor_og_mellom_amerika","62","sysselsatte_land","personer"
"2007","030112","vest_europa","114","sysselsatte_land","personer"
"2007","030113","afrika","331","sysselsatte_land","personer"
"2007","030113","alle","2132","sysselsatte_land","personer"
"2007","030113","asia","1055","sysselsatte_land","personer"
"2007","030113","eu_ost_europa","149","sysselsatte_land","personer"
"2007","030113","nord_amerika_oseania","27","sysselsatte_land","personer"
"2007","030113","norden","175","sysselsatte_land","personer"
"2007","030113","ost_europa_ellers","172","sysselsatte_land","personer"
"2007","030113","sor_og_mellom_amerika","106","sysselsatte_land","personer"
"2007","030113","vest_europa","117","sysselsatte_land","personer"
"2007","030114","afrika","188","sysselsatte_land","personer"
"2007","030114","alle","1429","sysselsatte_land","personer"
"2007","030114","asia","752","sysselsatte_land","personer"
"2007","030114","eu_ost_europa","107","sysselsatte_land","personer"
"2007","030114","nord_amerika_oseania","8","sysselsatte_land","personer"
"2007","030114","norden","110","sysselsatte_land","personer"
"2007","030114","ost_europa_ellers","139","sysselsatte_land","personer"
"2007","030114","sor_og_mellom_amerika","54","sysselsatte_land","personer"
"2007","030114","vest_europa","71","sysselsatte_land","personer"
"2007","030115","afrika","223","sysselsatte_land","personer"
"2007","030115","alle","1459","sysselsatte_land","personer"
"2007","030115","asia","690","sysselsatte_land","personer"
"2007","030115","eu_ost_europa","112","sysselsatte_land","personer"
"2007","030115","nord_amerika_oseania","22","sysselsatte_land","personer"
"2007","030115","norden","137","sysselsatte_land","personer"
"2007","030115","ost_europa_ellers","136","sysselsatte_land","personer"
"2007","030115","sor_og_mellom_amerika","60","sysselsatte_land","personer"
"2007","030115","vest_europa","79","sysselsatte_land","personer"
"2007","030116","afrika","167","sysselsatte_land","personer"
"2007","030116","alle","1100","sysselsatte_land","personer"
"2007","030116","asia","631","sysselsatte_land","personer"
"2007","030116","eu_ost_europa","56","sysselsatte_land","personer"
"2007","030116","nord_amerika_oseania","12","sysselsatte_land","personer"
"2007","030116","norden","58","sysselsatte_land","personer"
"2007","030116","ost_europa_ellers","92","sysselsatte_land","personer"
"2007","030116","sor_og_mellom_amerika","39","sysselsatte_land","personer"
"2007","030116","vest_europa","45","sysselsatte_land","personer"
"2007","030117","afrika","283","sysselsatte_land","personer"
"2007","030117","alle","1946","sysselsatte_land","personer"
"2007","030117","asia","1199","sysselsatte_land","personer"
"2007","030117","eu_ost_europa","122","sysselsatte_land","personer"
"2007","030117","nord_amerika_oseania","10","sysselsatte_land","personer"
"2007","030117","norden","77","sysselsatte_land","personer"
"2007","030117","ost_europa_ellers","155","sysselsatte_land","personer"
"2007","030117","sor_og_mellom_amerika","48","sysselsatte_land","personer"
"2007","030117","vest_europa","52","sysselsatte_land","personer"
"2007","030199","afrika","56","sysselsatte_land","personer"
"2007","030199","alle","466","sysselsatte_land","personer"
"2007","030199","asia","123","sysselsatte_land","personer"
"2007","030199","eu_ost_europa","59","sysselsatte_land","personer"
"2007","030199","nord_amerika_oseania","7","sysselsatte_land","personer"
"2007","030199","norden","133","sysselsatte_land","personer"
"2007","030199","ost_europa_ellers","23","sysselsatte_land","personer"
"2007","030199","sor_og_mellom_amerika","20","sysselsatte_land","personer"
"2007","030199","vest_europa","45","sysselsatte_land","personer"
"2008","00","afrika","19467","sysselsatte_land","personer"
"2008","00","alle","241015","sysselsatte_land","personer"
"2008","00","asia","70735","sysselsatte_land","personer"
"2008","00","eu_ost_europa","43121","sysselsatte_land","personer"
"2008","00","nord_amerika_oseania","5488","sysselsatte_land","personer"
"2008","00","norden","37584","sysselsatte_land","personer"
"2008","00","ost_europa_ellers","24017","sysselsatte_land","personer"
"2008","00","sor_og_mellom_amerika","9300","sysselsatte_land","personer"
"2008","00","vest_europa","31303","sysselsatte_land","personer"
"2008","030101","afrika","754","sysselsatte_land","personer"
"2008","030101","alle","6254","sysselsatte_land","personer"
"2008","030101","asia","1688","sysselsatte_land","personer"
"2008","030101","eu_ost_europa","890","sysselsatte_land","personer"
"2008","030101","nord_amerika_oseania","170","sysselsatte_land","personer"
"2008","030101","norden","1327","sysselsatte_land","personer"
"2008","030101","ost_europa_ellers","372","sysselsatte_land","personer"
"2008","030101","sor_og_mellom_amerika","322","sysselsatte_land","personer"
"2008","030101","vest_europa","731","sysselsatte_land","personer"
"2008","030102","afrika","581","sysselsatte_land","personer"
"2008","030102","alle","5066","sysselsatte_land","personer"
"2008","030102","asia","1396","sysselsatte_land","personer"
"2008","030102","eu_ost_europa","725","sysselsatte_land","personer"
"2008","030102","nord_amerika_oseania","148","sysselsatte_land","personer"
"2008","030102","norden","1035","sysselsatte_land","personer"
"2008","030102","ost_europa_ellers","337","sysselsatte_land","personer"
"2008","030102","sor_og_mellom_amerika","248","sysselsatte_land","personer"
"2008","030102","vest_europa","596","sysselsatte_land","personer"
"2008","030103","afrika","629","sysselsatte_land","personer"
"2008","030103","alle","6266","sysselsatte_land","personer"
"2008","030103","asia","1938","sysselsatte_land","personer"
"2008","030103","eu_ost_europa","832","sysselsatte_land","personer"
"2008","030103","nord_amerika_oseania","161","sysselsatte_land","personer"
"2008","030103","norden","1157","sysselsatte_land","personer"
"2008","030103","ost_europa_ellers","455","sysselsatte_land","personer"
"2008","030103","sor_og_mellom_amerika","302","sysselsatte_land","personer"
"2008","030103","vest_europa","792","sysselsatte_land","personer"
"2008","030104","afrika","719","sysselsatte_land","personer"
"2008","030104","alle","6011","sysselsatte_land","personer"
"2008","030104","asia","1921","sysselsatte_land","personer"
"2008","030104","eu_ost_europa","781","sysselsatte_land","personer"
"2008","030104","nord_amerika_oseania","135","sysselsatte_land","personer"
"2008","030104","norden","1122","sysselsatte_land","personer"
"2008","030104","ost_europa_ellers","462","sysselsatte_land","personer"
"2008","030104","sor_og_mellom_amerika","234","sysselsatte_land","personer"
"2008","030104","vest_europa","637","sysselsatte_land","personer"
"2008","030105","afrika","550","sysselsatte_land","personer"
"2008","030105","alle","4910","sysselsatte_land","personer"
"2008","030105","asia","1477","sysselsatte_land","personer"
"2008","030105","eu_ost_europa","680","sysselsatte_land","personer"
"2008","030105","nord_amerika_oseania","117","sysselsatte_land","personer"
"2008","030105","norden","992","sysselsatte_land","personer"
"2008","030105","ost_europa_ellers","332","sysselsatte_land","personer"
"2008","030105","sor_og_mellom_amerika","230","sysselsatte_land","personer"
"2008","030105","vest_europa","532","sysselsatte_land","personer"
"2008","030106","afrika","518","sysselsatte_land","personer"
"2008","030106","alle","4804","sysselsatte_land","personer"
"2008","030106","asia","1688","sysselsatte_land","personer"
"2008","030106","eu_ost_europa","653","sysselsatte_land","personer"
"2008","030106","nord_amerika_oseania","136","sysselsatte_land","personer"
"2008","030106","norden","831","sysselsatte_land","personer"
"2008","030106","ost_europa_ellers","292","sysselsatte_land","personer"
"2008","030106","sor_og_mellom_amerika","180","sysselsatte_land","personer"
"2008","030106","vest_europa","506","sysselsatte_land","personer"
"2008","030107","afrika","514","sysselsatte_land","personer"
"2008","030107","alle","4115","sysselsatte_land","personer"
"2008","030107","asia","1559","sysselsatte_land","personer"
"2008","030107","eu_ost_europa","568","sysselsatte_land","personer"
"2008","030107","nord_amerika_oseania","93","sysselsatte_land","personer"
"2008","030107","norden","613","sysselsatte_land","personer"
"2008","030107","ost_europa_ellers","245","sysselsatte_land","personer"
"2008","030107","sor_og_mellom_amerika","162","sysselsatte_land","personer"
"2008","030107","vest_europa","361","sysselsatte_land","personer"
"2008","030108","afrika","659","sysselsatte_land","personer"
"2008","030108","alle","4670","sysselsatte_land","personer"
"2008","030108","asia","1530","sysselsatte_land","personer"
"2008","030108","eu_ost_europa","636","sysselsatte_land","personer"
"2008","030108","nord_amerika_oseania","80","sysselsatte_land","personer"
"2008","030108","norden","729","sysselsatte_land","personer"
"2008","030108","ost_europa_ellers","418","sysselsatte_land","personer"
"2008","030108","sor_og_mellom_amerika","177","sysselsatte_land","personer"
"2008","030108","vest_europa","441","sysselsatte_land","personer"
"2008","030109","afrika","423","sysselsatte_land","personer"
"2008","030109","alle","3289","sysselsatte_land","personer"
"2008","030109","asia","1236","sysselsatte_land","personer"
"2008","030109","eu_ost_europa","375","sysselsatte_land","personer"
"2008","030109","nord_amerika_oseania","59","sysselsatte_land","personer"
"2008","030109","norden","513","sysselsatte_land","personer"
"2008","030109","ost_europa_ellers","247","sysselsatte_land","personer"
"2008","030109","sor_og_mellom_amerika","149","sysselsatte_land","personer"
"2008","030109","vest_europa","287","sysselsatte_land","personer"
"2008","030110","afrika","549","sysselsatte_land","personer"
"2008","030110","alle","3384","sysselsatte_land","personer"
"2008","030110","asia","1366","sysselsatte_land","personer"
"2008","030110","eu_ost_europa","334","sysselsatte_land","personer"
"2008","030110","nord_amerika_oseania","59","sysselsatte_land","personer"
"2008","030110","norden","407","sysselsatte_land","personer"
"2008","030110","ost_europa_ellers","292","sysselsatte_land","personer"
"2008","030110","sor_og_mellom_amerika","141","sysselsatte_land","personer"
"2008","030110","vest_europa","236","sysselsatte_land","personer"
"2008","030111","afrika","288","sysselsatte_land","personer"
"2008","030111","alle","2168","sysselsatte_land","personer"
"2008","030111","asia","906","sysselsatte_land","personer"
"2008","030111","eu_ost_europa","237","sysselsatte_land","personer"
"2008","030111","nord_amerika_oseania","43","sysselsatte_land","personer"
"2008","030111","norden","240","sysselsatte_land","personer"
"2008","030111","ost_europa_ellers","179","sysselsatte_land","personer"
"2008","030111","sor_og_mellom_amerika","87","sysselsatte_land","personer"
"2008","030111","vest_europa","188","sysselsatte_land","personer"
"2008","030112","afrika","206","sysselsatte_land","personer"
"2008","030112","alle","1727","sysselsatte_land","personer"
"2008","030112","asia","701","sysselsatte_land","personer"
"2008","030112","eu_ost_europa","294","sysselsatte_land","personer"
"2008","030112","nord_amerika_oseania","27","sysselsatte_land","personer"
"2008","030112","norden","197","sysselsatte_land","personer"
"2008","030112","ost_europa_ellers","105","sysselsatte_land","personer"
"2008","030112","sor_og_mellom_amerika","77","sysselsatte_land","personer"
"2008","030112","vest_europa","120","sysselsatte_land","personer"
"2008","030113","afrika","377","sysselsatte_land","personer"
"2008","030113","alle","2370","sysselsatte_land","personer"
"2008","030113","asia","1105","sysselsatte_land","personer"
"2008","030113","eu_ost_europa","229","sysselsatte_land","personer"
"2008","030113","nord_amerika_oseania","30","sysselsatte_land","personer"
"2008","030113","norden","189","sysselsatte_land","personer"
"2008","030113","ost_europa_ellers","190","sysselsatte_land","personer"
"2008","030113","sor_og_mellom_amerika","110","sysselsatte_land","personer"
"2008","030113","vest_europa","140","sysselsatte_land","personer"
"2008","030114","afrika","213","sysselsatte_land","personer"
"2008","030114","alle","1616","sysselsatte_land","personer"
"2008","030114","asia","833","sysselsatte_land","personer"
"2008","030114","eu_ost_europa","143","sysselsatte_land","personer"
"2008","030114","nord_amerika_oseania","14","sysselsatte_land","personer"
"2008","030114","norden","118","sysselsatte_land","personer"
"2008","030114","ost_europa_ellers","161","sysselsatte_land","personer"
"2008","030114","sor_og_mellom_amerika","56","sysselsatte_land","personer"
"2008","030114","vest_europa","78","sysselsatte_land","personer"
"2008","030115","afrika","231","sysselsatte_land","personer"
"2008","030115","alle","1628","sysselsatte_land","personer"
