"fylke_nr","spraak","bhgalder","enhet","tabellvariabel","aar","tabell_navn"
"06","alle","5","prosent",97.46646796,"2014","barnehagedeltakelse"
"07","alle","5","prosent",96.94019471,"2014","barnehagedeltakelse"
"08","alle","5","prosent",98.78499736,"2014","barnehagedeltakelse"
"09","alle","5","prosent",97.64089122,"2014","barnehagedeltakelse"
"10","alle","5","prosent",98.58379229,"2014","barnehagedeltakelse"
"11","alle","5","prosent",96.79448772,"2014","barnehagedeltakelse"
"12","alle","5","prosent",97.65811456,"2014","barnehagedeltakelse"
"14","alle","5","prosent",99.23954373,"2014","barnehagedeltakelse"
"15","alle","5","prosent",98.42073897,"2014","barnehagedeltakelse"
"16","alle","5","prosent",99.18677859,"2014","barnehagedeltakelse"
"17","alle","5","prosent",99.70414201,"2014","barnehagedeltakelse"
"18","alle","5","prosent",97.22814499,"2014","barnehagedeltakelse"
"19","alle","5","prosent",99.21956296,"2014","barnehagedeltakelse"
"20","alle","5","prosent",94.73106476,"2014","barnehagedeltakelse"
"00","minoritet","1_5","personer",40967,"2014","barnehagedeltakelse"
"01","minoritet","1_5","personer",2147,"2014","barnehagedeltakelse"
"02","minoritet","1_5","personer",5266,"2014","barnehagedeltakelse"
"03","minoritet","1_5","personer",10118,"2014","barnehagedeltakelse"
"04","minoritet","1_5","personer",914,"2014","barnehagedeltakelse"
"05","minoritet","1_5","personer",906,"2014","barnehagedeltakelse"
"06","minoritet","1_5","personer",2783,"2014","barnehagedeltakelse"
"07","minoritet","1_5","personer",1441,"2014","barnehagedeltakelse"
"08","minoritet","1_5","personer",1111,"2014","barnehagedeltakelse"
"09","minoritet","1_5","personer",685,"2014","barnehagedeltakelse"
"10","minoritet","1_5","personer",1240,"2014","barnehagedeltakelse"
"11","minoritet","1_5","personer",4217,"2014","barnehagedeltakelse"
"12","minoritet","1_5","personer",3331,"2014","barnehagedeltakelse"
"14","minoritet","1_5","personer",669,"2014","barnehagedeltakelse"
"15","minoritet","1_5","personer",1536,"2014","barnehagedeltakelse"
"16","minoritet","1_5","personer",1764,"2014","barnehagedeltakelse"
"17","minoritet","1_5","personer",559,"2014","barnehagedeltakelse"
"18","minoritet","1_5","personer",1075,"2014","barnehagedeltakelse"
"19","minoritet","1_5","personer",774,"2014","barnehagedeltakelse"
"20","minoritet","1_5","personer",431,"2014","barnehagedeltakelse"
"00","minoritet","1","personer",4177,"2014","barnehagedeltakelse"
"01","minoritet","1","personer",163,"2014","barnehagedeltakelse"
"02","minoritet","1","personer",515,"2014","barnehagedeltakelse"
"03","minoritet","1","personer",818,"2014","barnehagedeltakelse"
"04","minoritet","1","personer",103,"2014","barnehagedeltakelse"
"05","minoritet","1","personer",98,"2014","barnehagedeltakelse"
"06","minoritet","1","personer",270,"2014","barnehagedeltakelse"
"07","minoritet","1","personer",145,"2014","barnehagedeltakelse"
"08","minoritet","1","personer",120,"2014","barnehagedeltakelse"
"09","minoritet","1","personer",73,"2014","barnehagedeltakelse"
"10","minoritet","1","personer",106,"2014","barnehagedeltakelse"
"11","minoritet","1","personer",484,"2014","barnehagedeltakelse"
"12","minoritet","1","personer",397,"2014","barnehagedeltakelse"
"14","minoritet","1","personer",76,"2014","barnehagedeltakelse"
"15","minoritet","1","personer",194,"2014","barnehagedeltakelse"
"16","minoritet","1","personer",209,"2014","barnehagedeltakelse"
"17","minoritet","1","personer",72,"2014","barnehagedeltakelse"
"18","minoritet","1","personer",155,"2014","barnehagedeltakelse"
"19","minoritet","1","personer",110,"2014","barnehagedeltakelse"
"20","minoritet","1","personer",69,"2014","barnehagedeltakelse"
"00","minoritet","2","personer",8129,"2014","barnehagedeltakelse"
"01","minoritet","2","personer",365,"2014","barnehagedeltakelse"
"02","minoritet","2","personer",1052,"2014","barnehagedeltakelse"
"03","minoritet","2","personer",1927,"2014","barnehagedeltakelse"
"04","minoritet","2","personer",180,"2014","barnehagedeltakelse"
"05","minoritet","2","personer",197,"2014","barnehagedeltakelse"
"06","minoritet","2","personer",573,"2014","barnehagedeltakelse"
"07","minoritet","2","personer",281,"2014","barnehagedeltakelse"
"08","minoritet","2","personer",230,"2014","barnehagedeltakelse"
"09","minoritet","2","personer",132,"2014","barnehagedeltakelse"
"10","minoritet","2","personer",230,"2014","barnehagedeltakelse"
"11","minoritet","2","personer",891,"2014","barnehagedeltakelse"
"12","minoritet","2","personer",678,"2014","barnehagedeltakelse"
"14","minoritet","2","personer",155,"2014","barnehagedeltakelse"
"15","minoritet","2","personer",307,"2014","barnehagedeltakelse"
"16","minoritet","2","personer",357,"2014","barnehagedeltakelse"
"17","minoritet","2","personer",103,"2014","barnehagedeltakelse"
"18","minoritet","2","personer",245,"2014","barnehagedeltakelse"
"19","minoritet","2","personer",144,"2014","barnehagedeltakelse"
"20","minoritet","2","personer",82,"2014","barnehagedeltakelse"
"00","minoritet","3","personer",9249,"2014","barnehagedeltakelse"
"01","minoritet","3","personer",482,"2014","barnehagedeltakelse"
"02","minoritet","3","personer",1169,"2014","barnehagedeltakelse"
"03","minoritet","3","personer",2290,"2014","barnehagedeltakelse"
"04","minoritet","3","personer",202,"2014","barnehagedeltakelse"
"05","minoritet","3","personer",201,"2014","barnehagedeltakelse"
"06","minoritet","3","personer",646,"2014","barnehagedeltakelse"
"07","minoritet","3","personer",323,"2014","barnehagedeltakelse"
"08","minoritet","3","personer",234,"2014","barnehagedeltakelse"
"09","minoritet","3","personer",142,"2014","barnehagedeltakelse"
"10","minoritet","3","personer",266,"2014","barnehagedeltakelse"
"11","minoritet","3","personer",989,"2014","barnehagedeltakelse"
"12","minoritet","3","personer",759,"2014","barnehagedeltakelse"
"14","minoritet","3","personer",144,"2014","barnehagedeltakelse"
"15","minoritet","3","personer",348,"2014","barnehagedeltakelse"
"16","minoritet","3","personer",441,"2014","barnehagedeltakelse"
"17","minoritet","3","personer",137,"2014","barnehagedeltakelse"
"18","minoritet","3","personer",213,"2014","barnehagedeltakelse"
"19","minoritet","3","personer",165,"2014","barnehagedeltakelse"
"20","minoritet","3","personer",98,"2014","barnehagedeltakelse"
"00","minoritet","4","personer",9666,"2014","barnehagedeltakelse"
"01","minoritet","4","personer",518,"2014","barnehagedeltakelse"
"02","minoritet","4","personer",1227,"2014","barnehagedeltakelse"
"03","minoritet","4","personer",2476,"2014","barnehagedeltakelse"
"04","minoritet","4","personer",210,"2014","barnehagedeltakelse"
"05","minoritet","4","personer",200,"2014","barnehagedeltakelse"
"06","minoritet","4","personer",680,"2014","barnehagedeltakelse"
"07","minoritet","4","personer",346,"2014","barnehagedeltakelse"
"08","minoritet","4","personer",270,"2014","barnehagedeltakelse"
"09","minoritet","4","personer",170,"2014","barnehagedeltakelse"
"10","minoritet","4","personer",300,"2014","barnehagedeltakelse"
"11","minoritet","4","personer",986,"2014","barnehagedeltakelse"
"12","minoritet","4","personer",722,"2014","barnehagedeltakelse"
"14","minoritet","4","personer",135,"2014","barnehagedeltakelse"
"15","minoritet","4","personer",350,"2014","barnehagedeltakelse"
"16","minoritet","4","personer",381,"2014","barnehagedeltakelse"
"17","minoritet","4","personer",133,"2014","barnehagedeltakelse"
"18","minoritet","4","personer",260,"2014","barnehagedeltakelse"
"19","minoritet","4","personer",204,"2014","barnehagedeltakelse"
"20","minoritet","4","personer",98,"2014","barnehagedeltakelse"
"00","minoritet","5","personer",9746,"2014","barnehagedeltakelse"
"01","minoritet","5","personer",619,"2014","barnehagedeltakelse"
"02","minoritet","5","personer",1303,"2014","barnehagedeltakelse"
"03","minoritet","5","personer",2607,"2014","barnehagedeltakelse"
"04","minoritet","5","personer",219,"2014","barnehagedeltakelse"
"05","minoritet","5","personer",210,"2014","barnehagedeltakelse"
"06","minoritet","5","personer",614,"2014","barnehagedeltakelse"
"07","minoritet","5","personer",346,"2014","barnehagedeltakelse"
"08","minoritet","5","personer",257,"2014","barnehagedeltakelse"
"09","minoritet","5","personer",168,"2014","barnehagedeltakelse"
"10","minoritet","5","personer",338,"2014","barnehagedeltakelse"
"11","minoritet","5","personer",867,"2014","barnehagedeltakelse"
"12","minoritet","5","personer",775,"2014","barnehagedeltakelse"
"14","minoritet","5","personer",159,"2014","barnehagedeltakelse"
"15","minoritet","5","personer",337,"2014","barnehagedeltakelse"
"16","minoritet","5","personer",376,"2014","barnehagedeltakelse"
"17","minoritet","5","personer",114,"2014","barnehagedeltakelse"
"18","minoritet","5","personer",202,"2014","barnehagedeltakelse"
"19","minoritet","5","personer",151,"2014","barnehagedeltakelse"
"20","minoritet","5","personer",84,"2014","barnehagedeltakelse"
"00","minoritet","1_5","prosent",78.94057345,"2014","barnehagedeltakelse"
"01","minoritet","1_5","prosent",71.11626366,"2014","barnehagedeltakelse"
"02","minoritet","1_5","prosent",82.92913386,"2014","barnehagedeltakelse"
"03","minoritet","1_5","prosent",79.46905435,"2014","barnehagedeltakelse"
"04","minoritet","1_5","prosent",79.82532751,"2014","barnehagedeltakelse"
"05","minoritet","1_5","prosent",76.97536109,"2014","barnehagedeltakelse"
"06","minoritet","1_5","prosent",84.46130501,"2014","barnehagedeltakelse"
"07","minoritet","1_5","prosent",72.08604302,"2014","barnehagedeltakelse"
"08","minoritet","1_5","prosent",81.03574034,"2014","barnehagedeltakelse"
"09","minoritet","1_5","prosent",77.48868778,"2014","barnehagedeltakelse"
"10","minoritet","1_5","prosent",73.15634218,"2014","barnehagedeltakelse"
"11","minoritet","1_5","prosent",76.47805586,"2014","barnehagedeltakelse"
"12","minoritet","1_5","prosent",74.00577649,"2014","barnehagedeltakelse"
"14","minoritet","1_5","prosent",87.56544503,"2014","barnehagedeltakelse"
"15","minoritet","1_5","prosent",79.75077882,"2014","barnehagedeltakelse"
"16","minoritet","1_5","prosent",83.76068376,"2014","barnehagedeltakelse"
"17","minoritet","1_5","prosent",80.43165468,"2014","barnehagedeltakelse"
"18","minoritet","1_5","prosent",83.85335413,"2014","barnehagedeltakelse"
"19","minoritet","1_5","prosent",83.94793926,"2014","barnehagedeltakelse"
"20","minoritet","1_5","prosent",83.04431599,"2014","barnehagedeltakelse"
"00","minoritet","1","prosent",39.85687023,"2014","barnehagedeltakelse"
"01","minoritet","1","prosent",27.86324786,"2014","barnehagedeltakelse"
"02","minoritet","1","prosent",40.39215686,"2014","barnehagedeltakelse"
"03","minoritet","1","prosent",32.65469062,"2014","barnehagedeltakelse"
"04","minoritet","1","prosent",49.51923077,"2014","barnehagedeltakelse"
"05","minoritet","1","prosent",40.16393443,"2014","barnehagedeltakelse"
"06","minoritet","1","prosent",40.54054054,"2014","barnehagedeltakelse"
"07","minoritet","1","prosent",36.61616162,"2014","barnehagedeltakelse"
"08","minoritet","1","prosent",45.97701149,"2014","barnehagedeltakelse"
"09","minoritet","1","prosent",41.95402299,"2014","barnehagedeltakelse"
"10","minoritet","1","prosent",32.31707317,"2014","barnehagedeltakelse"
"11","minoritet","1","prosent",42.19703575,"2014","barnehagedeltakelse"
"12","minoritet","1","prosent",40.6345957,"2014","barnehagedeltakelse"
"14","minoritet","1","prosent",50.33112583,"2014","barnehagedeltakelse"
"15","minoritet","1","prosent",48.5,"2014","barnehagedeltakelse"
"16","minoritet","1","prosent",49.17647059,"2014","barnehagedeltakelse"
"17","minoritet","1","prosent",48.32214765,"2014","barnehagedeltakelse"
"18","minoritet","1","prosent",60.546875,"2014","barnehagedeltakelse"
"19","minoritet","1","prosent",53.39805825,"2014","barnehagedeltakelse"
"20","minoritet","1","prosent",54.33070866,"2014","barnehagedeltakelse"
"00","minoritet","2","prosent",76.58031088,"2014","barnehagedeltakelse"
"01","minoritet","2","prosent",60.43046358,"2014","barnehagedeltakelse"
"02","minoritet","2","prosent",82.70440252,"2014","barnehagedeltakelse"
"03","minoritet","2","prosent",75.06817296,"2014","barnehagedeltakelse"
"04","minoritet","2","prosent",74.38016529,"2014","barnehagedeltakelse"
"05","minoritet","2","prosent",79.75708502,"2014","barnehagedeltakelse"
"06","minoritet","2","prosent",85.14115899,"2014","barnehagedeltakelse"
"07","minoritet","2","prosent",68.03874092,"2014","barnehagedeltakelse"
"08","minoritet","2","prosent",80.41958042,"2014","barnehagedeltakelse"
"09","minoritet","2","prosent",74.15730337,"2014","barnehagedeltakelse"
"10","minoritet","2","prosent",63.71191136,"2014","barnehagedeltakelse"
"11","minoritet","2","prosent",76.87661777,"2014","barnehagedeltakelse"
"12","minoritet","2","prosent",72.98170075,"2014","barnehagedeltakelse"
"14","minoritet","2","prosent",88.06818182,"2014","barnehagedeltakelse"
"15","minoritet","2","prosent",79.53367876,"2014","barnehagedeltakelse"
"16","minoritet","2","prosent",86.23188406,"2014","barnehagedeltakelse"
"17","minoritet","2","prosent",76.2962963,"2014","barnehagedeltakelse"
"18","minoritet","2","prosent",88.1294964,"2014","barnehagedeltakelse"
"19","minoritet","2","prosent",76.59574468,"2014","barnehagedeltakelse"
"20","minoritet","2","prosent",76.63551402,"2014","barnehagedeltakelse"
"00","minoritet","3","prosent",89.54400232,"2014","barnehagedeltakelse"
"01","minoritet","3","prosent",82.11243612,"2014","barnehagedeltakelse"
"02","minoritet","3","prosent",92.70420301,"2014","barnehagedeltakelse"
"03","minoritet","3","prosent",88.89751553,"2014","barnehagedeltakelse"
"04","minoritet","3","prosent",87.44588745,"2014","barnehagedeltakelse"
