"fylke_nr","avslutta","kjonn","avslstat4","aar","enhet","tabellvariabel","tabell_navn"
"12","ettaar","alle","ledig_tiltak","2014","personer","28","intro_status_arbutd"
"14","ettaar","alle","ledig_tiltak","2014","personer","14","intro_status_arbutd"
"15","ettaar","alle","ledig_tiltak","2014","personer","15","intro_status_arbutd"
"16","ettaar","alle","ledig_tiltak","2014","personer","25","intro_status_arbutd"
"17","ettaar","alle","ledig_tiltak","2014","personer","18","intro_status_arbutd"
"18","ettaar","alle","ledig_tiltak","2014","personer","51","intro_status_arbutd"
"19","ettaar","alle","ledig_tiltak","2014","personer","15","intro_status_arbutd"
"20","ettaar","alle","ledig_tiltak","2014","personer","4","intro_status_arbutd"
"00","ettaar","alle","annet","2014","personer","1033","intro_status_arbutd"
"01","ettaar","alle","annet","2014","personer","38","intro_status_arbutd"
"02","ettaar","alle","annet","2014","personer","100","intro_status_arbutd"
"03","ettaar","alle","annet","2014","personer","100","intro_status_arbutd"
"04","ettaar","alle","annet","2014","personer","51","intro_status_arbutd"
"05","ettaar","alle","annet","2014","personer","34","intro_status_arbutd"
"06","ettaar","alle","annet","2014","personer","65","intro_status_arbutd"
"07","ettaar","alle","annet","2014","personer","28","intro_status_arbutd"
"08","ettaar","alle","annet","2014","personer","79","intro_status_arbutd"
"09","ettaar","alle","annet","2014","personer","34","intro_status_arbutd"
"10","ettaar","alle","annet","2014","personer","58","intro_status_arbutd"
"11","ettaar","alle","annet","2014","personer","60","intro_status_arbutd"
"12","ettaar","alle","annet","2014","personer","91","intro_status_arbutd"
"14","ettaar","alle","annet","2014","personer","23","intro_status_arbutd"
"15","ettaar","alle","annet","2014","personer","42","intro_status_arbutd"
"16","ettaar","alle","annet","2014","personer","73","intro_status_arbutd"
"17","ettaar","alle","annet","2014","personer","31","intro_status_arbutd"
"18","ettaar","alle","annet","2014","personer","66","intro_status_arbutd"
"19","ettaar","alle","annet","2014","personer","45","intro_status_arbutd"
"20","ettaar","alle","annet","2014","personer","15","intro_status_arbutd"
"00","ettaar","alle","arbutd","2014","prosent","62","intro_status_arbutd"
"01","ettaar","alle","arbutd","2014","prosent","43","intro_status_arbutd"
"02","ettaar","alle","arbutd","2014","prosent","65","intro_status_arbutd"
"03","ettaar","alle","arbutd","2014","prosent","56","intro_status_arbutd"
"04","ettaar","alle","arbutd","2014","prosent","50","intro_status_arbutd"
"05","ettaar","alle","arbutd","2014","prosent","63","intro_status_arbutd"
"06","ettaar","alle","arbutd","2014","prosent","53","intro_status_arbutd"
"07","ettaar","alle","arbutd","2014","prosent","64","intro_status_arbutd"
"08","ettaar","alle","arbutd","2014","prosent","53","intro_status_arbutd"
"09","ettaar","alle","arbutd","2014","prosent","61","intro_status_arbutd"
"10","ettaar","alle","arbutd","2014","prosent","68","intro_status_arbutd"
"11","ettaar","alle","arbutd","2014","prosent","72","intro_status_arbutd"
"12","ettaar","alle","arbutd","2014","prosent","63","intro_status_arbutd"
"14","ettaar","alle","arbutd","2014","prosent","62","intro_status_arbutd"
"15","ettaar","alle","arbutd","2014","prosent","68","intro_status_arbutd"
"16","ettaar","alle","arbutd","2014","prosent","58","intro_status_arbutd"
"17","ettaar","alle","arbutd","2014","prosent","72","intro_status_arbutd"
"18","ettaar","alle","arbutd","2014","prosent","65","intro_status_arbutd"
"19","ettaar","alle","arbutd","2014","prosent","70","intro_status_arbutd"
"20","ettaar","alle","arbutd","2014","prosent","70","intro_status_arbutd"
"00","ettaar","alle","ledig_tiltak","2014","prosent","11","intro_status_arbutd"
"01","ettaar","alle","ledig_tiltak","2014","prosent","29","intro_status_arbutd"
"02","ettaar","alle","ledig_tiltak","2014","prosent","4","intro_status_arbutd"
"03","ettaar","alle","ledig_tiltak","2014","prosent","4","intro_status_arbutd"
"04","ettaar","alle","ledig_tiltak","2014","prosent","16","intro_status_arbutd"
"05","ettaar","alle","ledig_tiltak","2014","prosent","19","intro_status_arbutd"
"06","ettaar","alle","ledig_tiltak","2014","prosent","13","intro_status_arbutd"
"07","ettaar","alle","ledig_tiltak","2014","prosent","12","intro_status_arbutd"
"08","ettaar","alle","ledig_tiltak","2014","prosent","15","intro_status_arbutd"
"09","ettaar","alle","ledig_tiltak","2014","prosent","8","intro_status_arbutd"
"10","ettaar","alle","ledig_tiltak","2014","prosent","8","intro_status_arbutd"
"11","ettaar","alle","ledig_tiltak","2014","prosent","8","intro_status_arbutd"
"12","ettaar","alle","ledig_tiltak","2014","prosent","9","intro_status_arbutd"
"14","ettaar","alle","ledig_tiltak","2014","prosent","14","intro_status_arbutd"
"15","ettaar","alle","ledig_tiltak","2014","prosent","8","intro_status_arbutd"
"16","ettaar","alle","ledig_tiltak","2014","prosent","11","intro_status_arbutd"
"17","ettaar","alle","ledig_tiltak","2014","prosent","10","intro_status_arbutd"
"18","ettaar","alle","ledig_tiltak","2014","prosent","15","intro_status_arbutd"
"19","ettaar","alle","ledig_tiltak","2014","prosent","8","intro_status_arbutd"
"20","ettaar","alle","ledig_tiltak","2014","prosent","6","intro_status_arbutd"
"00","ettaar","alle","annet","2014","prosent","27","intro_status_arbutd"
"01","ettaar","alle","annet","2014","prosent","28","intro_status_arbutd"
"02","ettaar","alle","annet","2014","prosent","31","intro_status_arbutd"
"03","ettaar","alle","annet","2014","prosent","40","intro_status_arbutd"
"04","ettaar","alle","annet","2014","prosent","34","intro_status_arbutd"
"05","ettaar","alle","annet","2014","prosent","18","intro_status_arbutd"
"06","ettaar","alle","annet","2014","prosent","34","intro_status_arbutd"
"07","ettaar","alle","annet","2014","prosent","25","intro_status_arbutd"
"08","ettaar","alle","annet","2014","prosent","32","intro_status_arbutd"
"09","ettaar","alle","annet","2014","prosent","31","intro_status_arbutd"
"10","ettaar","alle","annet","2014","prosent","25","intro_status_arbutd"
"11","ettaar","alle","annet","2014","prosent","20","intro_status_arbutd"
"12","ettaar","alle","annet","2014","prosent","29","intro_status_arbutd"
"14","ettaar","alle","annet","2014","prosent","23","intro_status_arbutd"
"15","ettaar","alle","annet","2014","prosent","23","intro_status_arbutd"
"16","ettaar","alle","annet","2014","prosent","31","intro_status_arbutd"
"17","ettaar","alle","annet","2014","prosent","18","intro_status_arbutd"
"18","ettaar","alle","annet","2014","prosent","20","intro_status_arbutd"
"19","ettaar","alle","annet","2014","prosent","23","intro_status_arbutd"
"20","ettaar","alle","annet","2014","prosent","24","intro_status_arbutd"
"00","ettaar","1","alle","2014","personer","2056","intro_status_arbutd"
"01","ettaar","1","alle","2014","personer","66","intro_status_arbutd"
"02","ettaar","1","alle","2014","personer","167","intro_status_arbutd"
"03","ettaar","1","alle","2014","personer","112","intro_status_arbutd"
"04","ettaar","1","alle","2014","personer","62","intro_status_arbutd"
"05","ettaar","1","alle","2014","personer","98","intro_status_arbutd"
"06","ettaar","1","alle","2014","personer","95","intro_status_arbutd"
"07","ettaar","1","alle","2014","personer","54","intro_status_arbutd"
"08","ettaar","1","alle","2014","personer","132","intro_status_arbutd"
"09","ettaar","1","alle","2014","personer","55","intro_status_arbutd"
"10","ettaar","1","alle","2014","personer","132","intro_status_arbutd"
"11","ettaar","1","alle","2014","personer","158","intro_status_arbutd"
"12","ettaar","1","alle","2014","personer","179","intro_status_arbutd"
"14","ettaar","1","alle","2014","personer","52","intro_status_arbutd"
"15","ettaar","1","alle","2014","personer","93","intro_status_arbutd"
"16","ettaar","1","alle","2014","personer","136","intro_status_arbutd"
"17","ettaar","1","alle","2014","personer","105","intro_status_arbutd"
"18","ettaar","1","alle","2014","personer","206","intro_status_arbutd"
"19","ettaar","1","alle","2014","personer","117","intro_status_arbutd"
"20","ettaar","1","alle","2014","personer","37","intro_status_arbutd"
"00","ettaar","1","alle","2014","prosent","100","intro_status_arbutd"
"01","ettaar","1","alle","2014","prosent","100","intro_status_arbutd"
"02","ettaar","1","alle","2014","prosent","100","intro_status_arbutd"
"03","ettaar","1","alle","2014","prosent","100","intro_status_arbutd"
"04","ettaar","1","alle","2014","prosent","100","intro_status_arbutd"
"05","ettaar","1","alle","2014","prosent","100","intro_status_arbutd"
"06","ettaar","1","alle","2014","prosent","100","intro_status_arbutd"
"07","ettaar","1","alle","2014","prosent","100","intro_status_arbutd"
"08","ettaar","1","alle","2014","prosent","100","intro_status_arbutd"
"09","ettaar","1","alle","2014","prosent","100","intro_status_arbutd"
"10","ettaar","1","alle","2014","prosent","100","intro_status_arbutd"
"11","ettaar","1","alle","2014","prosent","100","intro_status_arbutd"
"12","ettaar","1","alle","2014","prosent","100","intro_status_arbutd"
"14","ettaar","1","alle","2014","prosent","100","intro_status_arbutd"
"15","ettaar","1","alle","2014","prosent","100","intro_status_arbutd"
"16","ettaar","1","alle","2014","prosent","100","intro_status_arbutd"
"17","ettaar","1","alle","2014","prosent","100","intro_status_arbutd"
"18","ettaar","1","alle","2014","prosent","100","intro_status_arbutd"
"19","ettaar","1","alle","2014","prosent","100","intro_status_arbutd"
"20","ettaar","1","alle","2014","prosent","100","intro_status_arbutd"
"00","ettaar","1","arbutd","2014","personer","1487","intro_status_arbutd"
"01","ettaar","1","arbutd","2014","personer","41","intro_status_arbutd"
"02","ettaar","1","arbutd","2014","personer","133","intro_status_arbutd"
"03","ettaar","1","arbutd","2014","personer","80","intro_status_arbutd"
"04","ettaar","1","arbutd","2014","personer","38","intro_status_arbutd"
"05","ettaar","1","arbutd","2014","personer","71","intro_status_arbutd"
"06","ettaar","1","arbutd","2014","personer","62","intro_status_arbutd"
"07","ettaar","1","arbutd","2014","personer","44","intro_status_arbutd"
"08","ettaar","1","arbutd","2014","personer","82","intro_status_arbutd"
"09","ettaar","1","arbutd","2014","personer","38","intro_status_arbutd"
"10","ettaar","1","arbutd","2014","personer","98","intro_status_arbutd"
"11","ettaar","1","arbutd","2014","personer","126","intro_status_arbutd"
"12","ettaar","1","arbutd","2014","personer","125","intro_status_arbutd"
"14","ettaar","1","arbutd","2014","personer","37","intro_status_arbutd"
"15","ettaar","1","arbutd","2014","personer","70","intro_status_arbutd"
"16","ettaar","1","arbutd","2014","personer","91","intro_status_arbutd"
"17","ettaar","1","arbutd","2014","personer","81","intro_status_arbutd"
"18","ettaar","1","arbutd","2014","personer","150","intro_status_arbutd"
"19","ettaar","1","arbutd","2014","personer","91","intro_status_arbutd"
"20","ettaar","1","arbutd","2014","personer","29","intro_status_arbutd"
"00","ettaar","1","ledig_tiltak","2014","personer","225","intro_status_arbutd"
"01","ettaar","1","ledig_tiltak","2014","personer","15","intro_status_arbutd"
"02","ettaar","1","ledig_tiltak","2014","personer","4","intro_status_arbutd"
"03","ettaar","1","ledig_tiltak","2014","personer",":","intro_status_arbutd"
"04","ettaar","1","ledig_tiltak","2014","personer","12","intro_status_arbutd"
"05","ettaar","1","ledig_tiltak","2014","personer","21","intro_status_arbutd"
"06","ettaar","1","ledig_tiltak","2014","personer","14","intro_status_arbutd"
"07","ettaar","1","ledig_tiltak","2014","personer","5","intro_status_arbutd"
"08","ettaar","1","ledig_tiltak","2014","personer","16","intro_status_arbutd"
"09","ettaar","1","ledig_tiltak","2014","personer","4","intro_status_arbutd"
"10","ettaar","1","ledig_tiltak","2014","personer","10","intro_status_arbutd"
"11","ettaar","1","ledig_tiltak","2014","personer","16","intro_status_arbutd"
"12","ettaar","1","ledig_tiltak","2014","personer","20","intro_status_arbutd"
"14","ettaar","1","ledig_tiltak","2014","personer","6","intro_status_arbutd"
"15","ettaar","1","ledig_tiltak","2014","personer","8","intro_status_arbutd"
"16","ettaar","1","ledig_tiltak","2014","personer","18","intro_status_arbutd"
"17","ettaar","1","ledig_tiltak","2014","personer","8","intro_status_arbutd"
"18","ettaar","1","ledig_tiltak","2014","personer","32","intro_status_arbutd"
"19","ettaar","1","ledig_tiltak","2014","personer","10","intro_status_arbutd"
"20","ettaar","1","ledig_tiltak","2014","personer",":","intro_status_arbutd"
"00","ettaar","1","annet","2014","personer","344","intro_status_arbutd"
"01","ettaar","1","annet","2014","personer","10","intro_status_arbutd"
"02","ettaar","1","annet","2014","personer","30","intro_status_arbutd"
"03","ettaar","1","annet","2014","personer",":","intro_status_arbutd"
"04","ettaar","1","annet","2014","personer","12","intro_status_arbutd"
"05","ettaar","1","annet","2014","personer","6","intro_status_arbutd"
"06","ettaar","1","annet","2014","personer","19","intro_status_arbutd"
"07","ettaar","1","annet","2014","personer","5","intro_status_arbutd"
"08","ettaar","1","annet","2014","personer","34","intro_status_arbutd"
"09","ettaar","1","annet","2014","personer","13","intro_status_arbutd"
"10","ettaar","1","annet","2014","personer","24","intro_status_arbutd"
"11","ettaar","1","annet","2014","personer","16","intro_status_arbutd"
"12","ettaar","1","annet","2014","personer","34","intro_status_arbutd"
"14","ettaar","1","annet","2014","personer","9","intro_status_arbutd"
"15","ettaar","1","annet","2014","personer","15","intro_status_arbutd"
"16","ettaar","1","annet","2014","personer","27","intro_status_arbutd"
"17","ettaar","1","annet","2014","personer","16","intro_status_arbutd"
"18","ettaar","1","annet","2014","personer","24","intro_status_arbutd"
"19","ettaar","1","annet","2014","personer","16","intro_status_arbutd"
"20","ettaar","1","annet","2014","personer",":","intro_status_arbutd"
"00","ettaar","1","arbutd","2014","prosent","72","intro_status_arbutd"
"01","ettaar","1","arbutd","2014","prosent","62","intro_status_arbutd"
"02","ettaar","1","arbutd","2014","prosent","80","intro_status_arbutd"
"03","ettaar","1","arbutd","2014","prosent","71","intro_status_arbutd"
"04","ettaar","1","arbutd","2014","prosent","61","intro_status_arbutd"
"05","ettaar","1","arbutd","2014","prosent","72","intro_status_arbutd"
"06","ettaar","1","arbutd","2014","prosent","65","intro_status_arbutd"
"07","ettaar","1","arbutd","2014","prosent","81","intro_status_arbutd"
"08","ettaar","1","arbutd","2014","prosent","62","intro_status_arbutd"
"09","ettaar","1","arbutd","2014","prosent","69","intro_status_arbutd"
"10","ettaar","1","arbutd","2014","prosent","74","intro_status_arbutd"
"11","ettaar","1","arbutd","2014","prosent","80","intro_status_arbutd"
"12","ettaar","1","arbutd","2014","prosent","70","intro_status_arbutd"
"14","ettaar","1","arbutd","2014","prosent","71","intro_status_arbutd"
"15","ettaar","1","arbutd","2014","prosent","75","intro_status_arbutd"
"16","ettaar","1","arbutd","2014","prosent","67","intro_status_arbutd"
"17","ettaar","1","arbutd","2014","prosent","77","intro_status_arbutd"
"18","ettaar","1","arbutd","2014","prosent","73","intro_status_arbutd"
"19","ettaar","1","arbutd","2014","prosent","78","intro_status_arbutd"
"20","ettaar","1","arbutd","2014","prosent","78","intro_status_arbutd"
"00","ettaar","1","ledig_tiltak","2014","prosent","11","intro_status_arbutd"
"01","ettaar","1","ledig_tiltak","2014","prosent","23","intro_status_arbutd"
"02","ettaar","1","ledig_tiltak","2014","prosent","2","intro_status_arbutd"
"03","ettaar","1","ledig_tiltak","2014","prosent",":","intro_status_arbutd"
"04","ettaar","1","ledig_tiltak","2014","prosent","19","intro_status_arbutd"
"05","ettaar","1","ledig_tiltak","2014","prosent","21","intro_status_arbutd"
"06","ettaar","1","ledig_tiltak","2014","prosent","15","intro_status_arbutd"
"07","ettaar","1","ledig_tiltak","2014","prosent","9","intro_status_arbutd"
"08","ettaar","1","ledig_tiltak","2014","prosent","12","intro_status_arbutd"
"09","ettaar","1","ledig_tiltak","2014","prosent","7","intro_status_arbutd"
"10","ettaar","1","ledig_tiltak","2014","prosent","8","intro_status_arbutd"
"11","ettaar","1","ledig_tiltak","2014","prosent","10","intro_status_arbutd"
"12","ettaar","1","ledig_tiltak","2014","prosent","11","intro_status_arbutd"
"14","ettaar","1","ledig_tiltak","2014","prosent","12","intro_status_arbutd"
"15","ettaar","1","ledig_tiltak","2014","prosent","9","intro_status_arbutd"
"16","ettaar","1","ledig_tiltak","2014","prosent","13","intro_status_arbutd"
"17","ettaar","1","ledig_tiltak","2014","prosent","8","intro_status_arbutd"
"18","ettaar","1","ledig_tiltak","2014","prosent","16","intro_status_arbutd"
"19","ettaar","1","ledig_tiltak","2014","prosent","9","intro_status_arbutd"
"20","ettaar","1","ledig_tiltak","2014","prosent",":","intro_status_arbutd"
"00","ettaar","1","annet","2014","prosent","17","intro_status_arbutd"
"01","ettaar","1","annet","2014","prosent","15","intro_status_arbutd"
"02","ettaar","1","annet","2014","prosent","18","intro_status_arbutd"
"03","ettaar","1","annet","2014","prosent",":","intro_status_arbutd"
"04","ettaar","1","annet","2014","prosent","19","intro_status_arbutd"
"05","ettaar","1","annet","2014","prosent","6","intro_status_arbutd"
"06","ettaar","1","annet","2014","prosent","20","intro_status_arbutd"
"07","ettaar","1","annet","2014","prosent","9","intro_status_arbutd"
"08","ettaar","1","annet","2014","prosent","26","intro_status_arbutd"
"09","ettaar","1","annet","2014","prosent","24","intro_status_arbutd"
"10","ettaar","1","annet","2014","prosent","18","intro_status_arbutd"
"11","ettaar","1","annet","2014","prosent","10","intro_status_arbutd"
"12","ettaar","1","annet","2014","prosent","19","intro_status_arbutd"
"14","ettaar","1","annet","2014","prosent","17","intro_status_arbutd"
"15","ettaar","1","annet","2014","prosent","16","intro_status_arbutd"
"16","ettaar","1","annet","2014","prosent","20","intro_status_arbutd"
"17","ettaar","1","annet","2014","prosent","15","intro_status_arbutd"
"18","ettaar","1","annet","2014","prosent","12","intro_status_arbutd"
"19","ettaar","1","annet","2014","prosent","14","intro_status_arbutd"
"20","ettaar","1","annet","2014","prosent",":","intro_status_arbutd"
"00","ettaar","0","alle","2014","personer","1786","intro_status_arbutd"
"01","ettaar","0","alle","2014","personer","70","intro_status_arbutd"
"02","ettaar","0","alle","2014","personer","154","intro_status_arbutd"
"03","ettaar","0","alle","2014","personer","139","intro_status_arbutd"
"04","ettaar","0","alle","2014","personer","90","intro_status_arbutd"
"05","ettaar","0","alle","2014","personer","94","intro_status_arbutd"
"06","ettaar","0","alle","2014","personer","99","intro_status_arbutd"
"07","ettaar","0","alle","2014","personer","59","intro_status_arbutd"
"08","ettaar","0","alle","2014","personer","113","intro_status_arbutd"
"09","ettaar","0","alle","2014","personer","55","intro_status_arbutd"
"10","ettaar","0","alle","2014","personer","103","intro_status_arbutd"
"11","ettaar","0","alle","2014","personer","139","intro_status_arbutd"
"12","ettaar","0","alle","2014","personer","139","intro_status_arbutd"
"14","ettaar","0","alle","2014","personer","46","intro_status_arbutd"
"15","ettaar","0","alle","2014","personer","86","intro_status_arbutd"
"16","ettaar","0","alle","2014","personer","99","intro_status_arbutd"
"17","ettaar","0","alle","2014","personer","69","intro_status_arbutd"
"18","ettaar","0","alle","2014","personer","125","intro_status_arbutd"
"19","ettaar","0","alle","2014","personer","81","intro_status_arbutd"
"20","ettaar","0","alle","2014","personer","26","intro_status_arbutd"
"00","ettaar","0","alle","2014","prosent","100","intro_status_arbutd"
"01","ettaar","0","alle","2014","prosent","100","intro_status_arbutd"
"02","ettaar","0","alle","2014","prosent","100","intro_status_arbutd"
"03","ettaar","0","alle","2014","prosent","100","intro_status_arbutd"
"04","ettaar","0","alle","2014","prosent","100","intro_status_arbutd"
"05","ettaar","0","alle","2014","prosent","100","intro_status_arbutd"
"06","ettaar","0","alle","2014","prosent","100","intro_status_arbutd"
"07","ettaar","0","alle","2014","prosent","100","intro_status_arbutd"
"08","ettaar","0","alle","2014","prosent","100","intro_status_arbutd"
"09","ettaar","0","alle","2014","prosent","100","intro_status_arbutd"
"10","ettaar","0","alle","2014","prosent","100","intro_status_arbutd"
"11","ettaar","0","alle","2014","prosent","100","intro_status_arbutd"
"12","ettaar","0","alle","2014","prosent","100","intro_status_arbutd"
"14","ettaar","0","alle","2014","prosent","100","intro_status_arbutd"
"15","ettaar","0","alle","2014","prosent","100","intro_status_arbutd"
"16","ettaar","0","alle","2014","prosent","100","intro_status_arbutd"
"17","ettaar","0","alle","2014","prosent","100","intro_status_arbutd"
"18","ettaar","0","alle","2014","prosent","100","intro_status_arbutd"
"19","ettaar","0","alle","2014","prosent","100","intro_status_arbutd"
"20","ettaar","0","alle","2014","prosent","100","intro_status_arbutd"
"00","ettaar","0","arbutd","2014","personer","901","intro_status_arbutd"
"01","ettaar","0","arbutd","2014","personer","18","intro_status_arbutd"
"02","ettaar","0","arbutd","2014","personer","75","intro_status_arbutd"
"03","ettaar","0","arbutd","2014","personer","60","intro_status_arbutd"
"04","ettaar","0","arbutd","2014","personer","38","intro_status_arbutd"
"05","ettaar","0","arbutd","2014","personer","50","intro_status_arbutd"
"06","ettaar","0","arbutd","2014","personer","41","intro_status_arbutd"
"07","ettaar","0","arbutd","2014","personer","28","intro_status_arbutd"
"08","ettaar","0","arbutd","2014","personer","48","intro_status_arbutd"
"09","ettaar","0","arbutd","2014","personer","29","intro_status_arbutd"
"10","ettaar","0","arbutd","2014","personer","61","intro_status_arbutd"
"11","ettaar","0","arbutd","2014","personer","87","intro_status_arbutd"
"12","ettaar","0","arbutd","2014","personer","74","intro_status_arbutd"
"14","ettaar","0","arbutd","2014","personer","24","intro_status_arbutd"
"15","ettaar","0","arbutd","2014","personer","52","intro_status_arbutd"
"16","ettaar","0","arbutd","2014","personer","46","intro_status_arbutd"
"17","ettaar","0","arbutd","2014","personer","44","intro_status_arbutd"
"18","ettaar","0","arbutd","2014","personer","64","intro_status_arbutd"
"19","ettaar","0","arbutd","2014","personer","47","intro_status_arbutd"
"20","ettaar","0","arbutd","2014","personer","15","intro_status_arbutd"
"00","ettaar","0","ledig_tiltak","2014","personer","196","intro_status_arbutd"
"01","ettaar","0","ledig_tiltak","2014","personer","24","intro_status_arbutd"
"02","ettaar","0","ledig_tiltak","2014","personer","9","intro_status_arbutd"
"03","ettaar","0","ledig_tiltak","2014","personer",":","intro_status_arbutd"
"04","ettaar","0","ledig_tiltak","2014","personer","13","intro_status_arbutd"
"05","ettaar","0","ledig_tiltak","2014","personer","16","intro_status_arbutd"
"06","ettaar","0","ledig_tiltak","2014","personer","12","intro_status_arbutd"
"07","ettaar","0","ledig_tiltak","2014","personer","8","intro_status_arbutd"
"08","ettaar","0","ledig_tiltak","2014","personer","20","intro_status_arbutd"
"09","ettaar","0","ledig_tiltak","2014","personer","5","intro_status_arbutd"
"10","ettaar","0","ledig_tiltak","2014","personer","8","intro_status_arbutd"
"11","ettaar","0","ledig_tiltak","2014","personer","8","intro_status_arbutd"
"12","ettaar","0","ledig_tiltak","2014","personer","8","intro_status_arbutd"
"14","ettaar","0","ledig_tiltak","2014","personer","8","intro_status_arbutd"
"15","ettaar","0","ledig_tiltak","2014","personer","7","intro_status_arbutd"
"16","ettaar","0","ledig_tiltak","2014","personer","7","intro_status_arbutd"
"17","ettaar","0","ledig_tiltak","2014","personer","10","intro_status_arbutd"
"18","ettaar","0","ledig_tiltak","2014","personer","19","intro_status_arbutd"
