Identifikasjon (rad nr.);Kode;Nivånr.;Tittel;Fotnoter;Generell note;Omfatter;Omfatter også;Ekskluderer;Kort tittel;Middels lang tittel
105;0626;1;Lier;;Ved grenseregulering 1.1.2000 ble 9 personer overført fra 0627 Røyken kommune til 0626 Lier kommune.;;;;;
106;0627;1;Røyken;;Del av Røyken kommune ble den 1.1. 1996 overført til 0220 Asker kommune (ca. 70 personer, 0,2 km2). Ved grenseregulering 1.1.2000 ble 9 personer overført fra 0627 Røyken kommune til 0626 Lier kommune.;;;;;
107;0628;1;Hurum;;;;;;;
108;0631;1;Flesberg;;;;;;;
109;0632;1;Rollag;;;;;;;
110;0633;1;Nore og Uvdal;;;;;;;
111;0701;1;Borre;;Kommunene 0703 Horten og 0717 Borre ble den 1.1. 1988 slått sammen til 0701 Borre kommune. Fra og med 1. juni  2002 har 0701 Borre endret navn til 0701 Horten.;;;;;
112;0702;1;Holmestrand;;;;;;;
113;0704;1;Tønsberg;;Kommunene 0705 Tønsberg og 0721 Sem ble den 1.1. 1988 slått sammen til 0704 Tønsberg kommune.;;;;;
114;0706;1;Sandefjord;;;;;;;
115;0709;1;Larvik;;Kommunene 0707 Larvik, 0708 Stavern, 0725 Tjølling, 0726 Brunlanes og 0727 Hedrum ble den 1.1. 1988 slått sammen til 0709 Larvik kommune.;;;;;
116;0711;1;Svelvik;;;;;;;
117;0713;1;Sande;;;;;;;
118;0714;1;Hof;;;;;;;
119;0716;1;Re;;Kommunene 0716 Våle og 0718 Ramnes ble den 1.1.2002 slått sammen til 0716 Re kommune.;;;;;
120;0719;1;Andebu;;;;;;;
121;0720;1;Stokke;;;;;;;
122;0722;1;Nøtterøy;Den 1.1. 1980 ble et ubebodd område overført fra 0722 Nøtterøy kommune til 0705 Tønsberg kommune.;;;;;;
123;0723;1;Tjøme;;;;;;;
124;0728;1;Lardal;Den 1.1. 1983 ble et ubebodd område (Berganområdet) overført fra 0727 Hedrum kommune til 0729 Lardal kommune. Den 1.1. 1987 ble et ubebodd område (gnr. 116 bnr. 1 og 2) overført fra Hedrum til Lardal.;;;;;;
125;0805;1;Porsgrunn;;;;;;;
126;0806;1;Skien;;;;;;;
127;0807;1;Notodden;;;;;;;
128;0811;1;Siljan;;;;;;;
129;0814;1;Bamble;;;;;;;
130;0815;1;Kragerø;;;;;;;
131;0817;1;Drangedal;;;;;;;
132;0819;1;Nome;;;;;;;
133;0821;1;Bø;;;;;;;
134;0822;1;Sauherad;;;;;;;
135;0826;1;Tinn;;;;;;;
136;0827;1;Hjartdal;;;;;;;
137;0828;1;Seljord;;;;;;;
138;0829;1;Kviteseid;;;;;;;
139;0830;1;Nissedal;;;;;;;
140;0831;1;Fyresdal;;;;;;;
141;0833;1;Tokke;;;;;;;
142;0834;1;Vinje;;;;;;;
143;0901;1;Risør;Den 1.1. 1984 ble et ubebodd område (gnr. 84,bnr. 16,Folevatnet) overført fra 0914 Tvedestrand kommune til 0901 Risør kommune.;;;;;;
144;0904;1;Grimstad;;0904 Grimstad ble den 01.01.71 slått sammen med kommunene 0923 Fjære og 0924 Landvik til 0904 Grimstad.;;;;;
145;0906;1;Arendal;;Kommunene 0903 Arendal, 0918 Moland, 0920 Øyestad, 0921 Tromøy og 0922 Hisøy ble den 1.1. 1992 slått sammen til 0906 Arendal kommune.;;;;;
146;0911;1;Gjerstad;;;;;;;
147;0912;1;Vegårshei;;;;;;;
148;0914;1;Tvedestrand;Den 1.1. 1984 ble et ubebodd område (gnr. 84, bnr. 16,Folevatnet) overført fra 0914 Tvedestrand kommune til 0901 Risør kommune.;;;;;;
149;0919;1;Froland;Den 1.1. 1980 ble et ubebodd område overført fra 0919 Froland kommune til 0928 Birkenes kommune.;Den 1.1. 1991 ble en del av 0928 Birkenes kommune (grunnkrets 0204 Dalen) overført til 0919 Froland kommune (60 personer).;;;;;
150;0926;1;Lillesand;;;;;;;
151;0928;1;Birkenes;Den 1.1. 1980 ble et ubebodd område overført fra 0919 Froland kommune til 0928 Birkenes kommune.;En del av 0928 Birkenes kommune (G.nr. 125, Lislevand) ble ble den 1.1. 1986 overført til 0937 Evje og Hornes kommune (8 personer). Den 1.1. 1991 ble en del av Birkenes kommune (grunnkrets 0204 Dalen) overført til 0919 Froland kommune (60 personer).;;;;;
152;0929;1;Åmli;;;;;;;
153;0935;1;Iveland;;;;;;;
154;0937;1;Evje og Hornnes;;En del av 0928 Birkenes kommune (g.nr. 124, Lislevand) ble den 1.1. 1986 overført til 0937 Evje og Hornn kommune (8 personer).;;;;;
155;0938;1;Bygland;;;;;;;
156;0940;1;Valle;;;;;;;
157;0941;1;Bykle;;;;;;;
158;1001;1;Kristiansand;Den 1.1. 1990 ble et ubebodd område overført fra 1001 Kristiansand kommune ( gnr. 122, bnr. 2 og 22) til 1014 Vennesla kommune.;;;;;;
159;1002;1;Mandal;;;;;;;
160;1003;1;Farsund;;;;;;;
161;1004;1;Flekkefjord;;Den 1.1. 1987 ble en del av 1004 Flekkefjord kommune (g.nr. 110-114 i Virakgrenda og g.nr. 151 og 152 i Espetveit- grenda) overført til 1046 Sirdal kommune (41 personer).;;;;;
162;1014;1;Vennesla;Den 1.1. 1984 ble et ubebodd område (Haugelandsvatnet) overført fra 1014 Vennesla kommune til 1017 Songdalen kommune. Den 1.1. 1990 ble et ubebodd område overført fra 1001 Kristiansand kommune (gnr. 122, bnr. 2 og 22) til 1014 Vennesla kommune.;;;;;;
163;1017;1;Songdalen;Den 1.1. 1984 ble et ubebodd område (Haugelandsvatnet) overført fra 1014 Vennesla kommune til 1017 Songdalen kommune.;;;;;;
164;1018;1;Søgne;;;;;;;
165;1021;1;Marnardal;;;;;;;
166;1026;1;Åseral;;;;;;;
167;1027;1;Audnedal;;;;;;;
168;1029;1;Lindesnes;;;;;;;
169;1032;1;Lyngdal;;;;;;;
170;1034;1;Hægebostad;;;;;;;
171;1037;1;Kvinesdal;;;;;;;
172;1046;1;Sirdal;;Den 1.1. 1987 ble en del av 1004 Flekkefjord kommune (g.nr. 110-114 i Virakgrenda og g.nr. 151 og 152 i Espetveitgrenda) overført til 1046 Sirdal kommune (41 personer).;;;;;
173;1101;1;Eigersund;;;;;;;
174;1102;1;Sandnes;;;;;;;
175;1103;1;Stavanger;;;;;;;
176;1106;1;Haugesund;;;;;;;
177;1111;1;Sokndal;;;;;;;
178;1112;1;Lund;;;;;;;
179;1114;1;Bjerkreim;;;;;;;
180;1119;1;Hå;;;;;;;
181;1120;1;Klepp;;;;;;;
182;1121;1;Time;En ubebodd del av 1121 Time kommune (gnr. 32, bnr. 13) ble den 1.1. 1989 overført til 1122 Gjesdal kommune.;;;;;;
183;1122;1;Gjesdal;En ubebodd del av 1121Time kommune (gnr. 32, bnr. 13) ble den 1.1. 1989 overført til 1122 Gjesdal kommune.;;;;;;
184;1124;1;Sola;;;;;;;
185;1127;1;Randaberg;;;;;;;
186;1129;1;Forsand;;;;;;;
187;1130;1;Strand;;;;;;;
188;1133;1;Hjelmeland;;;;;;;
189;1134;1;Suldal;;;;;;;
190;1135;1;Sauda;;;;;;;
191;1141;1;Finnøy;;;;;;;
192;1142;1;Rennesøy;;;;;;;
193;1144;1;Kvitsøy;;;;;;;
194;1145;1;Bokn;;;;;;;
195;1146;1;Tysvær;;;;;;;
196;1149;1;Karmøy;;;;;;;
197;1151;1;Utsira;;;;;;;
198;1154;1;Vindafjord;;;;;;;
199;1159;1;Ølen;;Kommunen 1214 Ølen ble den 1.1.2002 overført til Rogaland fylke med kommunenummer 1159.;;;;;
200;1201;1;Bergen;;;;;;;
201;1211;1;Etne;;;;;;;
202;1216;1;Sveio;;;;;;;
203;1219;1;Bømlo;;En del av 1222 Fitjar kommune (deler av grunnkretsene 0101 Brandasund, 0102 Haslevik og 0116 Aga) ble den 1.1. 1995 overført til 1219 Bømlo kommune.;;;;;
204;1221;1;Stord;;;;;;;
205;1222;1;Fitjar;;Del av 1222 Fitjar (del av grunnkretsene 0101 Brandasund, 0102 Haslevik og 0116 Aga) ble den 1.1. 1995 overført til 1219 Bømlo (225 personer og 16 km2).;;;;;
206;1223;1;Tysnes;;;;;;;
207;1224;1;Kvinnherad;;;;;;;
208;1227;1;Jondal;;;;;;;
209;1228;1;Odda;;;;;;;
210;1231;1;Ullensvang;;;;;;;
211;1232;1;Eidfjord;;;;;;;
212;1233;1;Ulvik;;;;;;;
213;1234;1;Granvin;;;;;;;
214;1235;1;Voss;;;;;;;
215;1238;1;Kvam;;;;;;;
216;1241;1;Fusa;;;;;;;
217;1242;1;Samnanger;;;;;;;
218;1243;1;Os;;;;;;;
219;1244;1;Austevoll;;;;;;;
220;1245;1;Sund;;;;;;;
221;1246;1;Fjell;;;;;;;
222;1247;1;Askøy;;;;;;;
223;1251;1;Vaksdal;;;;;;;
224;1252;1;Modalen;;;;;;;
225;1253;1;Osterøy;;;;;;;
226;1256;1;Meland;;;;;;;
227;1259;1;Øygarden;;;;;;;
228;1260;1;Radøy;;;;;;;
229;1263;1;Lindås;;;;;;;
230;1264;1;Austrheim;;;;;;;
231;1265;1;Fedje;;;;;;;
232;1266;1;Masfjorden;;;;;;;
233;1401;1;Flora;;;;;;;
234;1411;1;Gulen;;;;;;;
235;1412;1;Solund;;;;;;;
236;1413;1;Hyllestad;;;;;;;
237;1416;1;Høyanger;;;;;;;
238;1417;1;Vik;Grunnkretsene 0201 Feidje, 0202 Tjønn, 0203 Fresvik øvre og 0204 Fresvik nedre overført fra 1419 Leikanger. Grunnkretsene fikk nummerserien 0112-0115.;En del av 1419 Leikanger kommune (grunnkretsene 0201-0204) ble den 1.1.92 overført til 1417 Vik kommune(572 personer og areal på 234 km2).;;;;;
239;1418;1;Balestrand;;Ved grenseregulering 1.1. 2000 ble 288 personer overført fra 1418 Balestrand kommune til 1420 Sogndal kommune.;;;;;
240;1419;1;Leikanger;Grunnkretsene 0201 Feidje, 0202 Tjønn, 0203 Fresvik øvre og 0204 Fresvik nedre til 1417 Vik og grunnkrets 0205 Frønning til 1422 Lærdal.;En del av 1419 Leikanger kommune (grunnkretsene 0201-0204) ble den 1.1. 1992 overført til 1417 Vik (572 personer og areal 234 km2).På samme tidspunkt ble en del av Leikanger kommune (grunnkrets 0205 Frønning) overført til 1422 Lærdal kommune (32 personer og areal ca. 58 km2).;;;;;
241;1420;1;Sogndal;;Ved grenseregulering 1.1. 2000 ble 288 personer overført fra 1418 Balestrand kommune til 1420 Sogndal kommune.;;;;;
242;1421;1;Aurland;;;;;;;
243;1422;1;Lærdal;Grunnkrets 0205 Frønning overført fra 1419 Leikanger. Grunnkretsen fikk betegnelsen 0112 Frønning.;En del av 1419 Leikanger kommune (grunnkrets 0205 Frønning) ble den 1.1. 1992 overført til 1422 Lærdal kommune (32 personer og areal ca. 58 km2).;;;;;
244;1424;1;Årdal;;;;;;;
245;1426;1;Luster;;;;;;;
246;1428;1;Askvoll;;En del av 1429 Fjaler kommune (grunnkretsene 0101-0103) ble den 1.1. 1990 overført til 1428 Askvoll kommune (731 personer).;;;;;
247;1429;1;Fjaler;;En del av 1429 Fjaler kommune (grunnkretsene 0101-0103) ble den 1.1. 1990 overført til 1428 Askvoll kommune (731 personer). På samme tidspunkt ble en del av Fjaler kommune (gnr. 46 i grunnkrets 0209 Hestad) overført til 1430 Gaular kommune (90 personer).;;;;;
248;1430;1;Gaular;;En del av 1429 Fjaler kommune (gnr. 46 i grunnkrets 0209 Hestad) ble den 1.1. 1990 overført til 1430 Gaular kommune (90 personer).;;;;;
249;1431;1;Jølster;;;;;;;
250;1432;1;Førde;;;;;;;
251;1433;1;Naustdal;;;;;;;
252;1438;1;Bremanger;;;;;;;
253;1439;1;Vågsøy;;;;;;;
254;1441;1;Selje;;;;;;;
255;1443;1;Eid;;Den 1.1. 1992 ble en del av 1445 Gloppen (grunnkrets 0102 Lote) overført til 1443 Eid (gunnkrets 0211 Lote - 158 personer og et areal på 41 km2).;;;;;
256;1444;1;Hornindal;;;;;;;
257;1445;1;Gloppen;;Den 1.1. 1992 ble en del av 1445 Gloppen (grunnkrets 0102 Lote) overført til 1443 Eid (158 personer og et areal på 41 km2).;;;;;
258;1449;1;Stryn;;;;;;;
259;1502;1;Molde;;;;;;;
260;1503;1;Kristiansund;;;;;;;
261;1504;1;Ålesund;;;;;;;
262;1511;1;Vanylven;;En del av 1514 Sande kommune (ca. 400 innb. og 42 km2) blir den 1.1.2002 overført til 1511 Vanylven kommune.;;;;;
263;1514;1;Sande;;En del av 1514 Sande kommune (ca. 400 innb. og 42 km2) blir den 1.1.2002 overført til 1511 Vanylven kommune.;;;;;
264;1515;1;Herøy;;;;;;;
265;1516;1;Ulstein;;;;;;;
266;1517;1;Hareid;;;;;;;
267;1519;1;Volda;;;;;;;
268;1520;1;Ørsta;;;;;;;
269;1523;1;Ørskog;;;;;;;
270;1524;1;Norddal;;;;;;;
271;1525;1;Stranda;;;;;;;
272;1526;1;Stordal;;;;;;;
273;1528;1;Sykkylven;;;;;;;
274;1529;1;Skodje;;;;;;;
275;1531;1;Sula;;;;;;;
276;1532;1;Giske;;;;;;;
277;1534;1;Haram;;;;;;;
278;1535;1;Vestnes;;;;;;;
279;1539;1;Rauma;;;;;;;
280;1543;1;Nesset;;;;;;;
281;1545;1;Midsund;;;;;;;
282;1546;1;Sandøy;;;;;;;
283;1547;1;Aukra;;;;;;;
284;1548;1;Fræna;;;;;;;
285;1551;1;Eide;Den 1.1. 1983 ble et ubebodd områdel overført fra 1551 Eide kommune (eiend. Eldhusøya/Ildhusøy, gnr. 111, bnr. 1) til 1554 Averøy kommune.;;;;;;
286;1554;1;Averøy;Den 1.1. 1983 ble et ubebodd område overført fra 1551 Eide kommune (gnr. 111, bnr.1) til 1554 Averøy kommune.;;;;;;
287;1556;1;Frei;;;;;;;
288;1557;1;Gjemnes;;;;;;;
289;1560;1;Tingvoll;;;;;;;
290;1563;1;Sunndal;;;;;;;
291;1566;1;Surnadal;;;;;;;
292;1567;1;Rindal;;;;;;;
293;1569;1;Aure;;;;;;;
294;1571;1;Halsa;;;;;;;
295;1572;1;Tustna;;;;;;;
296;1573;1;Smøla;;;;;;;
297;1601;1;Trondheim;;;;;;;
298;1612;1;Hemne;;;;;;;
299;1613;1;Snillfjord;;Den 1.1.95 ble en del av 1622 Agdenes kommune (grunnkrets 0105 Moldtun) overført til 1613 Snillfjord kommune (21 personer og et areal på 30 km2).;;;;;
300;1617;1;Hitra;;;;;;;
301;1620;1;Frøya;;;;;;;
302;1621;1;Ørland;;;;;;;
303;1622;1;Agdenes;;Den 1.1. 1995 ble en del av 1622 Agdenes kommune (grunnkrets 0105 Moldtun) overført til 1613 Snillfjord kommune (21 personer og et areal på 30 km2).;;;;;
304;1624;1;Rissa;;;;;;;
305;1627;1;Bjugn;;;;;;;
306;1630;1;Åfjord;;;;;;;
307;1632;1;Roan;;;;;;;
308;1633;1;Osen;;;;;;;
309;1634;1;Oppdal;;;;;;;
310;1635;1;Rennebu;;;;;;;
311;1636;1;Meldal;;;;;;;
312;1638;1;Orkdal;;;;;;;
313;1640;1;Røros;Den 21.4 1989 ble et ubebodd område overført fra 1640 Røros kommune (gnr.1,bnr.4) til 1644 Holtålen kommune.;;;;;;
314;1644;1;Holtålen;Den 21.4. 1989 ble et ubebodd område overført fra 1640 Røros kommune(gnr.1,bnr.4) til 1644 Holtålen kommune.;Kommunene 1644 Ålen og 1645 Haltdalen ble 01.01.72 slått sammen til 1644 Holtålen kommune.;;;;;
315;1648;1;Midtre Gauldal;;;;;;;
316;1653;1;Melhus;;;;;;;
317;1657;1;Skaun;;;;;;;
318;1662;1;Klæbu;;;;;;;
319;1663;1;Malvik;;;;;;;
320;1664;1;Selbu;;;;;;;
321;1665;1;Tydal;;;;;;;
322;1702;1;Steinkjer;;;;;;;
323;1703;1;Namsos;;;;;;;
324;1711;1;Meråker;;;;;;;
325;1714;1;Stjørdal;;;;;;;
326;1717;1;Frosta;;;;;;;
327;1718;1;Leksvik;;;;;;;
328;1719;1;Levanger;;;;;;;
329;1721;1;Verdal;;;;;;;
330;1723;1;Mosvik;;;;;;;
331;1724;1;Verran;;;;;;;
332;1725;1;Namdalseid;;;;;;;
333;1729;1;Inderøy;;;;;;;
334;1736;1;Snåsa;;;;;;;
335;1738;1;Lierne;;;;;;;
336;1739;1;Røyrvik;;;;;;;
337;1740;1;Namsskogan;;;;;;;
338;1742;1;Grong;;;;;;;
339;1743;1;Høylandet;;;;;;;
340;1744;1;Overhalla;;;;;;;
341;1748;1;Fosnes;;;;;;;
342;1749;1;Flatanger;;;;;;;
343;1750;1;Vikna;;;;;;;
344;1751;1;Nærøy;;;;;;;
345;1755;1;Leka;;;;;;;
346;1804;1;Bodø;;Den 1.1. 1984 ble en del av 1845 Sørfold kommune (Tårnvikområdet med Øygard) overført til 1804 Bodø kommune (22 personer).;;;;;
347;1805;1;Narvik;;1805 Narvik og 1855 Ankenes ble 01.01.74 slått sammen til 1805 Narvik.;;;;;
348;1811;1;Bindal;;;;;;;
349;1812;1;Sømna;;;;;;;
350;1813;1;Brønnøy;;;;;;;
351;1815;1;Vega;;;;;;;
352;1816;1;Vevelstad;;;;;;;
353;1818;1;Herøy;;;;;;;
354;1820;1;Alstahaug;;Den 1.1. 1995 ble en del av 1820 Alstahaug kommune (grunnkretsene 0106 Vestvågan/Sørnes, 0108 Halsfjord og del av 0107 Bærøyvågen med gnr. 55 og 57) overført til 1824 Vefsn kommune (70 personer og et areal på 194 km2).;;;;;
355;1822;1;Leirfjord;;;;;;;
356;1824;1;Vefsn;;Den 1.1. 1995 ble en del av 1820 Alstahaug kommune (grunnkretsene 0106 Vestvågan/Sørnes, 0108 Halsfjord og del av 0107 Bærøyvågen med gnr. 55 og 57) overført til 1824 Vefsn kommune (70 personer og et areal på 194 km2).;;;;;
357;1825;1;Grane;;;;;;;
358;1826;1;Hattfjelldal;;;;;;;
359;1827;1;Dønna;;;;;;;
360;1828;1;Nesna;;;;;;;
361;1832;1;Hemnes;;;;;;;
362;1833;1;Rana;;;;;;;
363;1834;1;Lurøy;;;;;;;
364;1835;1;Træna;;;;;;;
365;1836;1;Rødøy;;;;;;;
366;1837;1;Meløy;;;;;;;
367;1838;1;Gildeskål;;;;;;;
368;1839;1;Beiarn;;;;;;;
369;1840;1;Saltdal;;;;;;;
370;1841;1;Fauske;;;;;;;
371;1842;1;Skjerstad;;;;;;;
372;1845;1;Sørfold;;Den 1.1. 1984 ble en del av 1845 Sørfold kommune (Tårnvikområdet med Øygard) overført til 1804 Bodø kommune (22 personer).;;;;;
373;1848;1;Steigen;;;;;;;
374;1849;1;Hamarøy;;;;;;;
375;1850;1;Tysfjord;;;;;;;
376;1851;1;Lødingen;;;;;;;
377;1852;1;Tjeldsund;;;;;;;
378;1853;1;Evenes;;;;;;;
379;1854;1;Ballangen;;;;;;;
380;1856;1;Røst;;;;;;;
381;1857;1;Værøy;;;;;;;
382;1859;1;Flakstad;;;;;;;
383;1860;1;Vestvågøy;;;;;;;
384;1865;1;Vågan;;;;;;;
385;1866;1;Hadsel;;;;;;;
386;1867;1;Bø;;;;;;;
387;1868;1;Øksnes;;;;;;;
388;1870;1;Sortland;;Ved grenseregulering 1.1. 2000 ble 102 personer overført fra 1911 Kvæfjord kommune i Troms fylke til 1870 Sortland kommune i Nordland fylke.;;;;;
389;1871;1;Andøy;;;;;;;
390;1874;1;Moskenes;;;;;;;
391;1901;1;Harstad;;;;;;;
392;1902;1;Tromsø;;;;;;;
393;1911;1;Kvæfjord;;Ved grenseregulering 1.1. 2000 ble 102 personer overført fra 1911 Kvæfjord kommune i Troms fylke til 1870 Sortland kommune i Nordland fylke.;;;;;
394;1913;1;Skånland;;;;;;;
395;1915;1;Bjarkøy;;;;;;;
396;1917;1;Ibestad;;;;;;;
397;1919;1;Gratangen;;;;;;;
398;1920;1;Lavangen;;;;;;;
