aar,fylke_nr,vreg_9,tabellvariabel,tabell_navn,enhet
2006,07,ost_europa_ellers,1049,sysselsatte_land,personer
2006,07,sor_og_mellom_amerika,185,sysselsatte_land,personer
2006,07,vest_europa,1009,sysselsatte_land,personer
2006,08,afrika,350,sysselsatte_land,personer
2006,08,alle,81098,sysselsatte_land,personer
2006,08,asia,1161,sysselsatte_land,personer
2006,08,eu_ost_europa,436,sysselsatte_land,personer
2006,08,nord_amerika_oseania,75,sysselsatte_land,personer
2006,08,norden,824,sysselsatte_land,personer
2006,08,ost_europa_ellers,619,sysselsatte_land,personer
2006,08,sor_og_mellom_amerika,235,sysselsatte_land,personer
2006,08,vest_europa,637,sysselsatte_land,personer
2006,09,afrika,113,sysselsatte_land,personer
2006,09,alle,50806,sysselsatte_land,personer
2006,09,asia,615,sysselsatte_land,personer
2006,09,eu_ost_europa,263,sysselsatte_land,personer
2006,09,nord_amerika_oseania,90,sysselsatte_land,personer
2006,09,norden,554,sysselsatte_land,personer
2006,09,ost_europa_ellers,377,sysselsatte_land,personer
2006,09,sor_og_mellom_amerika,79,sysselsatte_land,personer
2006,09,vest_europa,470,sysselsatte_land,personer
2006,10,afrika,288,sysselsatte_land,personer
2006,10,alle,80503,sysselsatte_land,personer
2006,10,asia,1492,sysselsatte_land,personer
2006,10,eu_ost_europa,551,sysselsatte_land,personer
2006,10,nord_amerika_oseania,170,sysselsatte_land,personer
2006,10,norden,764,sysselsatte_land,personer
2006,10,ost_europa_ellers,928,sysselsatte_land,personer
2006,10,sor_og_mellom_amerika,515,sysselsatte_land,personer
2006,10,vest_europa,786,sysselsatte_land,personer
2006,11,afrika,1104,sysselsatte_land,personer
2006,11,alle,211677,sysselsatte_land,personer
2006,11,asia,4296,sysselsatte_land,personer
2006,11,eu_ost_europa,2140,sysselsatte_land,personer
2006,11,nord_amerika_oseania,611,sysselsatte_land,personer
2006,11,norden,2264,sysselsatte_land,personer
2006,11,ost_europa_ellers,1778,sysselsatte_land,personer
2006,11,sor_og_mellom_amerika,624,sysselsatte_land,personer
2006,11,vest_europa,3094,sysselsatte_land,personer
2006,12,afrika,1183,sysselsatte_land,personer
2006,12,alle,234618,sysselsatte_land,personer
2006,12,asia,3870,sysselsatte_land,personer
2006,12,eu_ost_europa,2015,sysselsatte_land,personer
2006,12,nord_amerika_oseania,439,sysselsatte_land,personer
2006,12,norden,1766,sysselsatte_land,personer
2006,12,ost_europa_ellers,1164,sysselsatte_land,personer
2006,12,sor_og_mellom_amerika,1059,sysselsatte_land,personer
2006,12,vest_europa,2371,sysselsatte_land,personer
2006,14,afrika,114,sysselsatte_land,personer
2006,14,alle,55157,sysselsatte_land,personer
2006,14,asia,583,sysselsatte_land,personer
2006,14,eu_ost_europa,363,sysselsatte_land,personer
2006,14,nord_amerika_oseania,40,sysselsatte_land,personer
2006,14,norden,389,sysselsatte_land,personer
2006,14,ost_europa_ellers,218,sysselsatte_land,personer
2006,14,sor_og_mellom_amerika,166,sysselsatte_land,personer
2006,14,vest_europa,511,sysselsatte_land,personer
2006,15,afrika,293,sysselsatte_land,personer
2006,15,alle,125793,sysselsatte_land,personer
2006,15,asia,1511,sysselsatte_land,personer
2006,15,eu_ost_europa,716,sysselsatte_land,personer
2006,15,nord_amerika_oseania,112,sysselsatte_land,personer
2006,15,norden,834,sysselsatte_land,personer
2006,15,ost_europa_ellers,749,sysselsatte_land,personer
2006,15,sor_og_mellom_amerika,173,sysselsatte_land,personer
2006,15,vest_europa,972,sysselsatte_land,personer
2006,16,afrika,563,sysselsatte_land,personer
2006,16,alle,144020,sysselsatte_land,personer
2006,16,asia,2254,sysselsatte_land,personer
2006,16,eu_ost_europa,1017,sysselsatte_land,personer
2006,16,nord_amerika_oseania,207,sysselsatte_land,personer
2006,16,norden,1211,sysselsatte_land,personer
2006,16,ost_europa_ellers,820,sysselsatte_land,personer
2006,16,sor_og_mellom_amerika,325,sysselsatte_land,personer
2006,16,vest_europa,1138,sysselsatte_land,personer
2006,17,afrika,124,sysselsatte_land,personer
2006,17,alle,63558,sysselsatte_land,personer
2006,17,asia,454,sysselsatte_land,personer
2006,17,eu_ost_europa,238,sysselsatte_land,personer
2006,17,nord_amerika_oseania,37,sysselsatte_land,personer
2006,17,norden,414,sysselsatte_land,personer
2006,17,ost_europa_ellers,216,sysselsatte_land,personer
2006,17,sor_og_mellom_amerika,23,sysselsatte_land,personer
2006,17,vest_europa,253,sysselsatte_land,personer
2006,18,afrika,249,sysselsatte_land,personer
2006,18,alle,114524,sysselsatte_land,personer
2006,18,asia,1130,sysselsatte_land,personer
2006,18,eu_ost_europa,385,sysselsatte_land,personer
2006,18,nord_amerika_oseania,82,sysselsatte_land,personer
2006,18,norden,932,sysselsatte_land,personer
2006,18,ost_europa_ellers,598,sysselsatte_land,personer
2006,18,sor_og_mellom_amerika,108,sysselsatte_land,personer
2006,18,vest_europa,525,sysselsatte_land,personer
2006,19,afrika,404,sysselsatte_land,personer
2006,19,alle,79037,sysselsatte_land,personer
2006,19,asia,789,sysselsatte_land,personer
2006,19,eu_ost_europa,316,sysselsatte_land,personer
2006,19,nord_amerika_oseania,101,sysselsatte_land,personer
2006,19,norden,1089,sysselsatte_land,personer
2006,19,ost_europa_ellers,496,sysselsatte_land,personer
2006,19,sor_og_mellom_amerika,121,sysselsatte_land,personer
2006,19,vest_europa,725,sysselsatte_land,personer
2006,20,afrika,147,sysselsatte_land,personer
2006,20,alle,36464,sysselsatte_land,personer
2006,20,asia,423,sysselsatte_land,personer
2006,20,eu_ost_europa,102,sysselsatte_land,personer
2006,20,nord_amerika_oseania,15,sysselsatte_land,personer
2006,20,norden,879,sysselsatte_land,personer
2006,20,ost_europa_ellers,627,sysselsatte_land,personer
2006,20,sor_og_mellom_amerika,40,sysselsatte_land,personer
2006,20,vest_europa,194,sysselsatte_land,personer
2007,00,afrika,17728,sysselsatte_land,personer
2007,00,alle,2483703,sysselsatte_land,personer
2007,00,asia,65075,sysselsatte_land,personer
2007,00,eu_ost_europa,32094,sysselsatte_land,personer
2007,00,nord_amerika_oseania,5018,sysselsatte_land,personer
2007,00,norden,35330,sysselsatte_land,personer
2007,00,ost_europa_ellers,22134,sysselsatte_land,personer
2007,00,sor_og_mellom_amerika,8506,sysselsatte_land,personer
2007,00,vest_europa,27223,sysselsatte_land,personer
2007,01,afrika,563,sysselsatte_land,personer
2007,01,alle,132237,sysselsatte_land,personer
2007,01,asia,2976,sysselsatte_land,personer
2007,01,eu_ost_europa,1737,sysselsatte_land,personer
2007,01,nord_amerika_oseania,150,sysselsatte_land,personer
2007,01,norden,1950,sysselsatte_land,personer
2007,01,ost_europa_ellers,1862,sysselsatte_land,personer
2007,01,sor_og_mellom_amerika,242,sysselsatte_land,personer
2007,01,vest_europa,886,sysselsatte_land,personer
2007,02,afrika,1710,sysselsatte_land,personer
2007,02,alle,277140,sysselsatte_land,personer
2007,02,asia,9004,sysselsatte_land,personer
2007,02,eu_ost_europa,4202,sysselsatte_land,personer
2007,02,nord_amerika_oseania,806,sysselsatte_land,personer
2007,02,norden,6043,sysselsatte_land,personer
2007,02,ost_europa_ellers,2385,sysselsatte_land,personer
2007,02,sor_og_mellom_amerika,948,sysselsatte_land,personer
2007,02,vest_europa,3762,sysselsatte_land,personer
2007,03,afrika,7709,sysselsatte_land,personer
2007,03,alle,307404,sysselsatte_land,personer
2007,03,asia,23183,sysselsatte_land,personer
2007,03,eu_ost_europa,6220,sysselsatte_land,personer
2007,03,nord_amerika_oseania,1221,sysselsatte_land,personer
2007,03,norden,9106,sysselsatte_land,personer
2007,03,ost_europa_ellers,4307,sysselsatte_land,personer
2007,03,sor_og_mellom_amerika,2504,sysselsatte_land,personer
2007,03,vest_europa,5110,sysselsatte_land,personer
2007,04,afrika,240,sysselsatte_land,personer
2007,04,alle,94179,sysselsatte_land,personer
2007,04,asia,1054,sysselsatte_land,personer
2007,04,eu_ost_europa,672,sysselsatte_land,personer
2007,04,nord_amerika_oseania,80,sysselsatte_land,personer
2007,04,norden,1129,sysselsatte_land,personer
2007,04,ost_europa_ellers,571,sysselsatte_land,personer
2007,04,sor_og_mellom_amerika,123,sysselsatte_land,personer
2007,04,vest_europa,574,sysselsatte_land,personer
2007,05,afrika,268,sysselsatte_land,personer
2007,05,alle,95542,sysselsatte_land,personer
2007,05,asia,1041,sysselsatte_land,personer
2007,05,eu_ost_europa,694,sysselsatte_land,personer
2007,05,nord_amerika_oseania,92,sysselsatte_land,personer
2007,05,norden,873,sysselsatte_land,personer
2007,05,ost_europa_ellers,714,sysselsatte_land,personer
2007,05,sor_og_mellom_amerika,116,sysselsatte_land,personer
2007,05,vest_europa,694,sysselsatte_land,personer
2007,06,afrika,712,sysselsatte_land,personer
2007,06,alle,133121,sysselsatte_land,personer
2007,06,asia,3972,sysselsatte_land,personer
2007,06,eu_ost_europa,1937,sysselsatte_land,personer
2007,06,nord_amerika_oseania,228,sysselsatte_land,personer
2007,06,norden,2145,sysselsatte_land,personer
2007,06,ost_europa_ellers,1400,sysselsatte_land,personer
2007,06,sor_og_mellom_amerika,443,sysselsatte_land,personer
2007,06,vest_europa,1426,sysselsatte_land,personer
2007,07,afrika,447,sysselsatte_land,personer
2007,07,alle,114904,sysselsatte_land,personer
2007,07,asia,2293,sysselsatte_land,personer
2007,07,eu_ost_europa,1611,sysselsatte_land,personer
2007,07,nord_amerika_oseania,198,sysselsatte_land,personer
2007,07,norden,1475,sysselsatte_land,personer
2007,07,ost_europa_ellers,1180,sysselsatte_land,personer
2007,07,sor_og_mellom_amerika,221,sysselsatte_land,personer
2007,07,vest_europa,1130,sysselsatte_land,personer
2007,08,afrika,418,sysselsatte_land,personer
2007,08,alle,83403,sysselsatte_land,personer
2007,08,asia,1362,sysselsatte_land,personer
2007,08,eu_ost_europa,754,sysselsatte_land,personer
2007,08,nord_amerika_oseania,85,sysselsatte_land,personer
2007,08,norden,837,sysselsatte_land,personer
2007,08,ost_europa_ellers,681,sysselsatte_land,personer
2007,08,sor_og_mellom_amerika,268,sysselsatte_land,personer
2007,08,vest_europa,690,sysselsatte_land,personer
2007,09,afrika,152,sysselsatte_land,personer
2007,09,alle,53370,sysselsatte_land,personer
2007,09,asia,786,sysselsatte_land,personer
2007,09,eu_ost_europa,465,sysselsatte_land,personer
2007,09,nord_amerika_oseania,101,sysselsatte_land,personer
2007,09,norden,579,sysselsatte_land,personer
2007,09,ost_europa_ellers,453,sysselsatte_land,personer
2007,09,sor_og_mellom_amerika,94,sysselsatte_land,personer
2007,09,vest_europa,565,sysselsatte_land,personer
2007,10,afrika,366,sysselsatte_land,personer
2007,10,alle,84716,sysselsatte_land,personer
2007,10,asia,1724,sysselsatte_land,personer
2007,10,eu_ost_europa,833,sysselsatte_land,personer
2007,10,nord_amerika_oseania,185,sysselsatte_land,personer
2007,10,norden,838,sysselsatte_land,personer
2007,10,ost_europa_ellers,1053,sysselsatte_land,personer
2007,10,sor_og_mellom_amerika,554,sysselsatte_land,personer
2007,10,vest_europa,1013,sysselsatte_land,personer
2007,11,afrika,1368,sysselsatte_land,personer
2007,11,alle,222959,sysselsatte_land,personer
2007,11,asia,5157,sysselsatte_land,personer
2007,11,eu_ost_europa,3933,sysselsatte_land,personer
2007,11,nord_amerika_oseania,684,sysselsatte_land,personer
2007,11,norden,2456,sysselsatte_land,personer
2007,11,ost_europa_ellers,2084,sysselsatte_land,personer
2007,11,sor_og_mellom_amerika,717,sysselsatte_land,personer
2007,11,vest_europa,3631,sysselsatte_land,personer
2007,12,afrika,1406,sysselsatte_land,personer
2007,12,alle,244073,sysselsatte_land,personer
2007,12,asia,4396,sysselsatte_land,personer
2007,12,eu_ost_europa,3492,sysselsatte_land,personer
2007,12,nord_amerika_oseania,496,sysselsatte_land,personer
2007,12,norden,1866,sysselsatte_land,personer
2007,12,ost_europa_ellers,1336,sysselsatte_land,personer
2007,12,sor_og_mellom_amerika,1185,sysselsatte_land,personer
2007,12,vest_europa,2658,sysselsatte_land,personer
2007,14,afrika,152,sysselsatte_land,personer
2007,14,alle,56705,sysselsatte_land,personer
2007,14,asia,608,sysselsatte_land,personer
2007,14,eu_ost_europa,592,sysselsatte_land,personer
2007,14,nord_amerika_oseania,50,sysselsatte_land,personer
2007,14,norden,412,sysselsatte_land,personer
2007,14,ost_europa_ellers,257,sysselsatte_land,personer
2007,14,sor_og_mellom_amerika,185,sysselsatte_land,personer
2007,14,vest_europa,594,sysselsatte_land,personer
2007,15,afrika,352,sysselsatte_land,personer
2007,15,alle,130668,sysselsatte_land,personer
2007,15,asia,1752,sysselsatte_land,personer
2007,15,eu_ost_europa,1314,sysselsatte_land,personer
2007,15,nord_amerika_oseania,132,sysselsatte_land,personer
2007,15,norden,899,sysselsatte_land,personer
2007,15,ost_europa_ellers,810,sysselsatte_land,personer
2007,15,sor_og_mellom_amerika,236,sysselsatte_land,personer
2007,15,vest_europa,1240,sysselsatte_land,personer
2007,16,afrika,697,sysselsatte_land,personer
2007,16,alle,150021,sysselsatte_land,personer
2007,16,asia,2581,sysselsatte_land,personer
2007,16,eu_ost_europa,1762,sysselsatte_land,personer
2007,16,nord_amerika_oseania,240,sysselsatte_land,personer
2007,16,norden,1266,sysselsatte_land,personer
2007,16,ost_europa_ellers,909,sysselsatte_land,personer
2007,16,sor_og_mellom_amerika,363,sysselsatte_land,personer
2007,16,vest_europa,1352,sysselsatte_land,personer
2007,17,afrika,163,sysselsatte_land,personer
2007,17,alle,66160,sysselsatte_land,personer
2007,17,asia,516,sysselsatte_land,personer
2007,17,eu_ost_europa,603,sysselsatte_land,personer
2007,17,nord_amerika_oseania,51,sysselsatte_land,personer
2007,17,norden,426,sysselsatte_land,personer
2007,17,ost_europa_ellers,258,sysselsatte_land,personer
2007,17,sor_og_mellom_amerika,26,sysselsatte_land,personer
2007,17,vest_europa,287,sysselsatte_land,personer
2007,18,afrika,321,sysselsatte_land,personer
2007,18,alle,118372,sysselsatte_land,personer
2007,18,asia,1329,sysselsatte_land,personer
2007,18,eu_ost_europa,607,sysselsatte_land,personer
2007,18,nord_amerika_oseania,89,sysselsatte_land,personer
2007,18,norden,1012,sysselsatte_land,personer
2007,18,ost_europa_ellers,630,sysselsatte_land,personer
2007,18,sor_og_mellom_amerika,124,sysselsatte_land,personer
2007,18,vest_europa,597,sysselsatte_land,personer
2007,19,afrika,464,sysselsatte_land,personer
2007,19,alle,81295,sysselsatte_land,personer
2007,19,asia,843,sysselsatte_land,personer
2007,19,eu_ost_europa,482,sysselsatte_land,personer
2007,19,nord_amerika_oseania,110,sysselsatte_land,personer
2007,19,norden,1132,sysselsatte_land,personer
2007,19,ost_europa_ellers,561,sysselsatte_land,personer
2007,19,sor_og_mellom_amerika,122,sysselsatte_land,personer
2007,19,vest_europa,806,sysselsatte_land,personer
2007,20,afrika,220,sysselsatte_land,personer
2007,20,alle,37434,sysselsatte_land,personer
2007,20,asia,498,sysselsatte_land,personer
2007,20,eu_ost_europa,184,sysselsatte_land,personer
2007,20,nord_amerika_oseania,20,sysselsatte_land,personer
2007,20,norden,886,sysselsatte_land,personer
2007,20,ost_europa_ellers,683,sysselsatte_land,personer
2007,20,sor_og_mellom_amerika,35,sysselsatte_land,personer
2007,20,vest_europa,208,sysselsatte_land,personer
2008,00,afrika,19467,sysselsatte_land,personer
2008,00,alle,2524752,sysselsatte_land,personer
2008,00,asia,70735,sysselsatte_land,personer
2008,00,eu_ost_europa,43121,sysselsatte_land,personer
2008,00,nord_amerika_oseania,5488,sysselsatte_land,personer
2008,00,norden,37584,sysselsatte_land,personer
2008,00,ost_europa_ellers,24017,sysselsatte_land,personer
2008,00,sor_og_mellom_amerika,9300,sysselsatte_land,personer
2008,00,vest_europa,31303,sysselsatte_land,personer
2008,01,afrika,669,sysselsatte_land,personer
2008,01,alle,133968,sysselsatte_land,personer
2008,01,asia,3288,sysselsatte_land,personer
2008,01,eu_ost_europa,2274,sysselsatte_land,personer
2008,01,nord_amerika_oseania,144,sysselsatte_land,personer
2008,01,norden,2046,sysselsatte_land,personer
2008,01,ost_europa_ellers,2049,sysselsatte_land,personer
2008,01,sor_og_mellom_amerika,280,sysselsatte_land,personer
2008,01,vest_europa,963,sysselsatte_land,personer
2008,02,afrika,1937,sysselsatte_land,personer
2008,02,alle,282382,sysselsatte_land,personer
2008,02,asia,10037,sysselsatte_land,personer
2008,02,eu_ost_europa,5398,sysselsatte_land,personer
2008,02,nord_amerika_oseania,859,sysselsatte_land,personer
2008,02,norden,6250,sysselsatte_land,personer
2008,02,ost_europa_ellers,2557,sysselsatte_land,personer
2008,02,sor_og_mellom_amerika,1011,sysselsatte_land,personer
2008,02,vest_europa,4151,sysselsatte_land,personer
2008,03,afrika,8172,sysselsatte_land,personer
2008,03,alle,316353,sysselsatte_land,personer
2008,03,asia,24410,sysselsatte_land,personer
2008,03,eu_ost_europa,8129,sysselsatte_land,personer
2008,03,nord_amerika_oseania,1358,sysselsatte_land,personer
2008,03,norden,10076,sysselsatte_land,personer
2008,03,ost_europa_ellers,4807,sysselsatte_land,personer
2008,03,sor_og_mellom_amerika,2740,sysselsatte_land,personer
2008,03,vest_europa,6027,sysselsatte_land,personer
2008,04,afrika,279,sysselsatte_land,personer
2008,04,alle,95057,sysselsatte_land,personer
2008,04,asia,1137,sysselsatte_land,personer
2008,04,eu_ost_europa,842,sysselsatte_land,personer
2008,04,nord_amerika_oseania,83,sysselsatte_land,personer
2008,04,norden,1152,sysselsatte_land,personer
2008,04,ost_europa_ellers,605,sysselsatte_land,personer
2008,04,sor_og_mellom_amerika,124,sysselsatte_land,personer
2008,04,vest_europa,667,sysselsatte_land,personer
2008,05,afrika,286,sysselsatte_land,personer
2008,05,alle,95882,sysselsatte_land,personer
2008,05,asia,1152,sysselsatte_land,personer
2008,05,eu_ost_europa,980,sysselsatte_land,personer
2008,05,nord_amerika_oseania,97,sysselsatte_land,personer
2008,05,norden,892,sysselsatte_land,personer
2008,05,ost_europa_ellers,753,sysselsatte_land,personer
2008,05,sor_og_mellom_amerika,120,sysselsatte_land,personer
2008,05,vest_europa,793,sysselsatte_land,personer
2008,06,afrika,811,sysselsatte_land,personer
2008,06,alle,135125,sysselsatte_land,personer
2008,06,asia,4279,sysselsatte_land,personer
2008,06,eu_ost_europa,2591,sysselsatte_land,personer
2008,06,nord_amerika_oseania,240,sysselsatte_land,personer
2008,06,norden,2230,sysselsatte_land,personer
2008,06,ost_europa_ellers,1549,sysselsatte_land,personer
2008,06,sor_og_mellom_amerika,475,sysselsatte_land,personer
2008,06,vest_europa,1588,sysselsatte_land,personer
2008,07,afrika,494,sysselsatte_land,personer
2008,07,alle,116420,sysselsatte_land,personer
2008,07,asia,2462,sysselsatte_land,personer
2008,07,eu_ost_europa,2135,sysselsatte_land,personer
2008,07,nord_amerika_oseania,231,sysselsatte_land,personer
2008,07,norden,1547,sysselsatte_land,personer
2008,07,ost_europa_ellers,1238,sysselsatte_land,personer
2008,07,sor_og_mellom_amerika,225,sysselsatte_land,personer
2008,07,vest_europa,1229,sysselsatte_land,personer
2008,08,afrika,482,sysselsatte_land,personer
2008,08,alle,84641,sysselsatte_land,personer
2008,08,asia,1495,sysselsatte_land,personer
2008,08,eu_ost_europa,941,sysselsatte_land,personer
2008,08,nord_amerika_oseania,92,sysselsatte_land,personer
2008,08,norden,878,sysselsatte_land,personer
2008,08,ost_europa_ellers,749,sysselsatte_land,personer
2008,08,sor_og_mellom_amerika,274,sysselsatte_land,personer
2008,08,vest_europa,799,sysselsatte_land,personer
2008,09,afrika,192,sysselsatte_land,personer
2008,09,alle,54352,sysselsatte_land,personer
2008,09,asia,902,sysselsatte_land,personer
2008,09,eu_ost_europa,663,sysselsatte_land,personer
2008,09,nord_amerika_oseania,110,sysselsatte_land,personer
2008,09,norden,616,sysselsatte_land,personer
2008,09,ost_europa_ellers,467,sysselsatte_land,personer
2008,09,sor_og_mellom_amerika,98,sysselsatte_land,personer
2008,09,vest_europa,682,sysselsatte_land,personer
2008,10,afrika,414,sysselsatte_land,personer
2008,10,alle,86172,sysselsatte_land,personer
2008,10,asia,1922,sysselsatte_land,personer
2008,10,eu_ost_europa,1160,sysselsatte_land,personer
2008,10,nord_amerika_oseania,204,sysselsatte_land,personer
2008,10,norden,875,sysselsatte_land,personer
2008,10,ost_europa_ellers,1131,sysselsatte_land,personer
2008,10,sor_og_mellom_amerika,590,sysselsatte_land,personer
2008,10,vest_europa,1182,sysselsatte_land,personer
2008,11,afrika,1577,sysselsatte_land,personer
2008,11,alle,229132,sysselsatte_land,personer
2008,11,asia,5773,sysselsatte_land,personer
2008,11,eu_ost_europa,5504,sysselsatte_land,personer
2008,11,nord_amerika_oseania,764,sysselsatte_land,personer
2008,11,norden,2643,sysselsatte_land,personer
2008,11,ost_europa_ellers,2288,sysselsatte_land,personer
2008,11,sor_og_mellom_amerika,865,sysselsatte_land,personer
2008,11,vest_europa,4336,sysselsatte_land,personer
2008,12,afrika,1567,sysselsatte_land,personer
2008,12,alle,249354,sysselsatte_land,personer
2008,12,asia,4929,sysselsatte_land,personer
2008,12,eu_ost_europa,4651,sysselsatte_land,personer
2008,12,nord_amerika_oseania,571,sysselsatte_land,personer
2008,12,norden,2048,sysselsatte_land,personer
2008,12,ost_europa_ellers,1413,sysselsatte_land,personer
2008,12,sor_og_mellom_amerika,1272,sysselsatte_land,personer
2008,12,vest_europa,3020,sysselsatte_land,personer
2008,14,afrika,169,sysselsatte_land,personer
2008,14,alle,56953,sysselsatte_land,personer
2008,14,asia,645,sysselsatte_land,personer
2008,14,eu_ost_europa,846,sysselsatte_land,personer
2008,14,nord_amerika_oseania,53,sysselsatte_land,personer
2008,14,norden,406,sysselsatte_land,personer
2008,14,ost_europa_ellers,273,sysselsatte_land,personer
2008,14,sor_og_mellom_amerika,183,sysselsatte_land,personer
2008,14,vest_europa,698,sysselsatte_land,personer
2008,15,afrika,391,sysselsatte_land,personer
2008,15,alle,131931,sysselsatte_land,personer
2008,15,asia,1953,sysselsatte_land,personer
2008,15,eu_ost_europa,2108,sysselsatte_land,personer
2008,15,nord_amerika_oseania,145,sysselsatte_land,personer
2008,15,norden,950,sysselsatte_land,personer
2008,15,ost_europa_ellers,815,sysselsatte_land,personer
2008,15,sor_og_mellom_amerika,256,sysselsatte_land,personer
2008,15,vest_europa,1498,sysselsatte_land,personer
2008,16,afrika,752,sysselsatte_land,personer
2008,16,alle,152508,sysselsatte_land,personer
2008,16,asia,2818,sysselsatte_land,personer
2008,16,eu_ost_europa,2257,sysselsatte_land,personer
2008,16,nord_amerika_oseania,260,sysselsatte_land,personer
2008,16,norden,1383,sysselsatte_land,personer
2008,16,ost_europa_ellers,1007,sysselsatte_land,personer
2008,16,sor_og_mellom_amerika,407,sysselsatte_land,personer
2008,16,vest_europa,1498,sysselsatte_land,personer
2008,17,afrika,207,sysselsatte_land,personer
2008,17,alle,66254,sysselsatte_land,personer
2008,17,asia,581,sysselsatte_land,personer
2008,17,eu_ost_europa,712,sysselsatte_land,personer
2008,17,nord_amerika_oseania,48,sysselsatte_land,personer
2008,17,norden,437,sysselsatte_land,personer
2008,17,ost_europa_ellers,264,sysselsatte_land,personer
2008,17,sor_og_mellom_amerika,42,sysselsatte_land,personer
2008,17,vest_europa,350,sysselsatte_land,personer
2008,18,afrika,370,sysselsatte_land,personer
2008,18,alle,118941,sysselsatte_land,personer
2008,18,asia,1468,sysselsatte_land,personer
2008,18,eu_ost_europa,898,sysselsatte_land,personer
2008,18,nord_amerika_oseania,94,sysselsatte_land,personer
2008,18,norden,1067,sysselsatte_land,personer
2008,18,ost_europa_ellers,690,sysselsatte_land,personer
2008,18,sor_og_mellom_amerika,153,sysselsatte_land,personer
2008,18,vest_europa,674,sysselsatte_land,personer
2008,19,afrika,500,sysselsatte_land,personer
2008,19,alle,81652,sysselsatte_land,personer
2008,19,asia,947,sysselsatte_land,personer
2008,19,eu_ost_europa,629,sysselsatte_land,personer
2008,19,nord_amerika_oseania,119,sysselsatte_land,personer
2008,19,norden,1151,sysselsatte_land,personer
