aar,fylke_nr,vreg_3,botid_5,tabellvariabel,tabell_navn,enhet
2006,02,alle,5_9,4973,sysselsatte_botid_land,personer
2006,02,alle,alle,25028,sysselsatte_botid_land,personer
2006,03,1,0_4,6987,sysselsatte_botid_land,personer
2006,03,1,10+,7564,sysselsatte_botid_land,personer
2006,03,1,5_9,3589,sysselsatte_botid_land,personer
2006,03,1,alle,18140,sysselsatte_botid_land,personer
2006,03,2,0_4,6142,sysselsatte_botid_land,personer
2006,03,2,10+,21427,sysselsatte_botid_land,personer
2006,03,2,5_9,6918,sysselsatte_botid_land,personer
2006,03,2,alle,34487,sysselsatte_botid_land,personer
2006,03,alle,0_4,13129,sysselsatte_botid_land,personer
2006,03,alle,10+,28991,sysselsatte_botid_land,personer
2006,03,alle,5_9,10507,sysselsatte_botid_land,personer
2006,03,alle,alle,52627,sysselsatte_botid_land,personer
2006,04,1,0_4,512,sysselsatte_botid_land,personer
2006,04,1,10+,1161,sysselsatte_botid_land,personer
2006,04,1,5_9,367,sysselsatte_botid_land,personer
2006,04,1,alle,2040,sysselsatte_botid_land,personer
2006,04,2,0_4,482,sysselsatte_botid_land,personer
2006,04,2,10+,902,sysselsatte_botid_land,personer
2006,04,2,5_9,471,sysselsatte_botid_land,personer
2006,04,2,alle,1855,sysselsatte_botid_land,personer
2006,04,alle,0_4,994,sysselsatte_botid_land,personer
2006,04,alle,10+,2063,sysselsatte_botid_land,personer
2006,04,alle,5_9,838,sysselsatte_botid_land,personer
2006,04,alle,alle,3895,sysselsatte_botid_land,personer
2006,05,1,0_4,606,sysselsatte_botid_land,personer
2006,05,1,10+,977,sysselsatte_botid_land,personer
2006,05,1,5_9,318,sysselsatte_botid_land,personer
2006,05,1,alle,1901,sysselsatte_botid_land,personer
2006,05,2,0_4,561,sysselsatte_botid_land,personer
2006,05,2,10+,910,sysselsatte_botid_land,personer
2006,05,2,5_9,456,sysselsatte_botid_land,personer
2006,05,2,alle,1927,sysselsatte_botid_land,personer
2006,05,alle,0_4,1167,sysselsatte_botid_land,personer
2006,05,alle,10+,1887,sysselsatte_botid_land,personer
2006,05,alle,5_9,774,sysselsatte_botid_land,personer
2006,05,alle,alle,3828,sysselsatte_botid_land,personer
2006,06,1,0_4,1408,sysselsatte_botid_land,personer
2006,06,1,10+,2303,sysselsatte_botid_land,personer
2006,06,1,5_9,815,sysselsatte_botid_land,personer
2006,06,1,alle,4526,sysselsatte_botid_land,personer
2006,06,2,0_4,1189,sysselsatte_botid_land,personer
2006,06,2,10+,3325,sysselsatte_botid_land,personer
2006,06,2,5_9,1386,sysselsatte_botid_land,personer
2006,06,2,alle,5900,sysselsatte_botid_land,personer
2006,06,alle,0_4,2597,sysselsatte_botid_land,personer
2006,06,alle,10+,5628,sysselsatte_botid_land,personer
2006,06,alle,5_9,2201,sysselsatte_botid_land,personer
2006,06,alle,alle,10426,sysselsatte_botid_land,personer
2006,07,1,0_4,1029,sysselsatte_botid_land,personer
2006,07,1,10+,1836,sysselsatte_botid_land,personer
2006,07,1,5_9,513,sysselsatte_botid_land,personer
2006,07,1,alle,3378,sysselsatte_botid_land,personer
2006,07,2,0_4,771,sysselsatte_botid_land,personer
2006,07,2,10+,1986,sysselsatte_botid_land,personer
2006,07,2,5_9,860,sysselsatte_botid_land,personer
2006,07,2,alle,3617,sysselsatte_botid_land,personer
2006,07,alle,0_4,1800,sysselsatte_botid_land,personer
2006,07,alle,10+,3822,sysselsatte_botid_land,personer
2006,07,alle,5_9,1373,sysselsatte_botid_land,personer
2006,07,alle,alle,6995,sysselsatte_botid_land,personer
2006,08,1,0_4,493,sysselsatte_botid_land,personer
2006,08,1,10+,1071,sysselsatte_botid_land,personer
2006,08,1,5_9,321,sysselsatte_botid_land,personer
2006,08,1,alle,1885,sysselsatte_botid_land,personer
2006,08,2,0_4,525,sysselsatte_botid_land,personer
2006,08,2,10+,1320,sysselsatte_botid_land,personer
2006,08,2,5_9,607,sysselsatte_botid_land,personer
2006,08,2,alle,2452,sysselsatte_botid_land,personer
2006,08,alle,0_4,1018,sysselsatte_botid_land,personer
2006,08,alle,10+,2391,sysselsatte_botid_land,personer
2006,08,alle,5_9,928,sysselsatte_botid_land,personer
2006,08,alle,alle,4337,sysselsatte_botid_land,personer
2006,09,1,0_4,356,sysselsatte_botid_land,personer
2006,09,1,10+,784,sysselsatte_botid_land,personer
2006,09,1,5_9,212,sysselsatte_botid_land,personer
2006,09,1,alle,1352,sysselsatte_botid_land,personer
2006,09,2,0_4,313,sysselsatte_botid_land,personer
2006,09,2,10+,593,sysselsatte_botid_land,personer
2006,09,2,5_9,303,sysselsatte_botid_land,personer
2006,09,2,alle,1209,sysselsatte_botid_land,personer
2006,09,alle,0_4,669,sysselsatte_botid_land,personer
2006,09,alle,10+,1377,sysselsatte_botid_land,personer
2006,09,alle,5_9,515,sysselsatte_botid_land,personer
2006,09,alle,alle,2561,sysselsatte_botid_land,personer
2006,10,1,0_4,574,sysselsatte_botid_land,personer
2006,10,1,10+,1175,sysselsatte_botid_land,personer
2006,10,1,5_9,363,sysselsatte_botid_land,personer
2006,10,1,alle,2112,sysselsatte_botid_land,personer
2006,10,2,0_4,639,sysselsatte_botid_land,personer
2006,10,2,10+,1964,sysselsatte_botid_land,personer
2006,10,2,5_9,779,sysselsatte_botid_land,personer
2006,10,2,alle,3382,sysselsatte_botid_land,personer
2006,10,alle,0_4,1213,sysselsatte_botid_land,personer
2006,10,alle,10+,3139,sysselsatte_botid_land,personer
2006,10,alle,5_9,1142,sysselsatte_botid_land,personer
2006,10,alle,alle,5494,sysselsatte_botid_land,personer
2006,11,1,0_4,3189,sysselsatte_botid_land,personer
2006,11,1,10+,3502,sysselsatte_botid_land,personer
2006,11,1,5_9,1295,sysselsatte_botid_land,personer
2006,11,1,alle,7986,sysselsatte_botid_land,personer
2006,11,2,0_4,2002,sysselsatte_botid_land,personer
2006,11,2,10+,4211,sysselsatte_botid_land,personer
2006,11,2,5_9,1712,sysselsatte_botid_land,personer
2006,11,2,alle,7925,sysselsatte_botid_land,personer
2006,11,alle,0_4,5191,sysselsatte_botid_land,personer
2006,11,alle,10+,7713,sysselsatte_botid_land,personer
2006,11,alle,5_9,3007,sysselsatte_botid_land,personer
2006,11,alle,alle,15911,sysselsatte_botid_land,personer
2006,12,1,0_4,2739,sysselsatte_botid_land,personer
2006,12,1,10+,2722,sysselsatte_botid_land,personer
2006,12,1,5_9,1018,sysselsatte_botid_land,personer
2006,12,1,alle,6479,sysselsatte_botid_land,personer
2006,12,2,0_4,1942,sysselsatte_botid_land,personer
2006,12,2,10+,3878,sysselsatte_botid_land,personer
2006,12,2,5_9,1568,sysselsatte_botid_land,personer
2006,12,2,alle,7388,sysselsatte_botid_land,personer
2006,12,alle,0_4,4681,sysselsatte_botid_land,personer
2006,12,alle,10+,6600,sysselsatte_botid_land,personer
2006,12,alle,5_9,2586,sysselsatte_botid_land,personer
2006,12,alle,alle,13867,sysselsatte_botid_land,personer
2006,14,1,0_4,558,sysselsatte_botid_land,personer
2006,14,1,10+,481,sysselsatte_botid_land,personer
2006,14,1,5_9,260,sysselsatte_botid_land,personer
2006,14,1,alle,1299,sysselsatte_botid_land,personer
2006,14,2,0_4,322,sysselsatte_botid_land,personer
2006,14,2,10+,517,sysselsatte_botid_land,personer
2006,14,2,5_9,246,sysselsatte_botid_land,personer
2006,14,2,alle,1085,sysselsatte_botid_land,personer
2006,14,alle,0_4,880,sysselsatte_botid_land,personer
2006,14,alle,10+,998,sysselsatte_botid_land,personer
2006,14,alle,5_9,506,sysselsatte_botid_land,personer
2006,14,alle,alle,2384,sysselsatte_botid_land,personer
2006,15,1,0_4,1120,sysselsatte_botid_land,personer
2006,15,1,10+,961,sysselsatte_botid_land,personer
2006,15,1,5_9,519,sysselsatte_botid_land,personer
2006,15,1,alle,2600,sysselsatte_botid_land,personer
2006,15,2,0_4,781,sysselsatte_botid_land,personer
2006,15,2,10+,1247,sysselsatte_botid_land,personer
2006,15,2,5_9,732,sysselsatte_botid_land,personer
2006,15,2,alle,2760,sysselsatte_botid_land,personer
2006,15,alle,0_4,1901,sysselsatte_botid_land,personer
2006,15,alle,10+,2208,sysselsatte_botid_land,personer
2006,15,alle,5_9,1251,sysselsatte_botid_land,personer
2006,15,alle,alle,5360,sysselsatte_botid_land,personer
2006,16,1,0_4,1440,sysselsatte_botid_land,personer
2006,16,1,10+,1435,sysselsatte_botid_land,personer
2006,16,1,5_9,649,sysselsatte_botid_land,personer
2006,16,1,alle,3524,sysselsatte_botid_land,personer
2006,16,2,0_4,1163,sysselsatte_botid_land,personer
2006,16,2,10+,1847,sysselsatte_botid_land,personer
2006,16,2,5_9,1001,sysselsatte_botid_land,personer
2006,16,2,alle,4011,sysselsatte_botid_land,personer
2006,16,alle,0_4,2603,sysselsatte_botid_land,personer
2006,16,alle,10+,3282,sysselsatte_botid_land,personer
2006,16,alle,5_9,1650,sysselsatte_botid_land,personer
2006,16,alle,alle,7535,sysselsatte_botid_land,personer
2006,17,1,0_4,309,sysselsatte_botid_land,personer
2006,17,1,10+,452,sysselsatte_botid_land,personer
2006,17,1,5_9,171,sysselsatte_botid_land,personer
2006,17,1,alle,932,sysselsatte_botid_land,personer
2006,17,2,0_4,284,sysselsatte_botid_land,personer
2006,17,2,10+,305,sysselsatte_botid_land,personer
2006,17,2,5_9,238,sysselsatte_botid_land,personer
2006,17,2,alle,827,sysselsatte_botid_land,personer
2006,17,alle,0_4,593,sysselsatte_botid_land,personer
2006,17,alle,10+,757,sysselsatte_botid_land,personer
2006,17,alle,5_9,409,sysselsatte_botid_land,personer
2006,17,alle,alle,1759,sysselsatte_botid_land,personer
2006,18,1,0_4,499,sysselsatte_botid_land,personer
2006,18,1,10+,965,sysselsatte_botid_land,personer
2006,18,1,5_9,400,sysselsatte_botid_land,personer
2006,18,1,alle,1864,sysselsatte_botid_land,personer
2006,18,2,0_4,941,sysselsatte_botid_land,personer
2006,18,2,10+,598,sysselsatte_botid_land,personer
2006,18,2,5_9,606,sysselsatte_botid_land,personer
2006,18,2,alle,2145,sysselsatte_botid_land,personer
2006,18,alle,0_4,1440,sysselsatte_botid_land,personer
2006,18,alle,10+,1563,sysselsatte_botid_land,personer
2006,18,alle,5_9,1006,sysselsatte_botid_land,personer
2006,18,alle,alle,4009,sysselsatte_botid_land,personer
2006,19,1,0_4,790,sysselsatte_botid_land,personer
2006,19,1,10+,911,sysselsatte_botid_land,personer
2006,19,1,5_9,522,sysselsatte_botid_land,personer
2006,19,1,alle,2223,sysselsatte_botid_land,personer
2006,19,2,0_4,742,sysselsatte_botid_land,personer
2006,19,2,10+,536,sysselsatte_botid_land,personer
2006,19,2,5_9,540,sysselsatte_botid_land,personer
2006,19,2,alle,1818,sysselsatte_botid_land,personer
2006,19,alle,0_4,1532,sysselsatte_botid_land,personer
2006,19,alle,10+,1447,sysselsatte_botid_land,personer
2006,19,alle,5_9,1062,sysselsatte_botid_land,personer
2006,19,alle,alle,4041,sysselsatte_botid_land,personer
2006,20,1,0_4,284,sysselsatte_botid_land,personer
2006,20,1,10+,647,sysselsatte_botid_land,personer
2006,20,1,5_9,244,sysselsatte_botid_land,personer
2006,20,1,alle,1175,sysselsatte_botid_land,personer
2006,20,2,0_4,501,sysselsatte_botid_land,personer
2006,20,2,10+,280,sysselsatte_botid_land,personer
2006,20,2,5_9,471,sysselsatte_botid_land,personer
2006,20,2,alle,1252,sysselsatte_botid_land,personer
2006,20,alle,0_4,785,sysselsatte_botid_land,personer
2006,20,alle,10+,927,sysselsatte_botid_land,personer
2006,20,alle,5_9,715,sysselsatte_botid_land,personer
2006,20,alle,alle,2427,sysselsatte_botid_land,personer
2007,00,1,0_4,42700,sysselsatte_botid_land,personer
2007,00,1,10+,40315,sysselsatte_botid_land,personer
2007,00,1,5_9,15053,sysselsatte_botid_land,personer
2007,00,1,alle,98068,sysselsatte_botid_land,personer
2007,00,2,0_4,25838,sysselsatte_botid_land,personer
2007,00,2,10+,60811,sysselsatte_botid_land,personer
2007,00,2,5_9,28391,sysselsatte_botid_land,personer
2007,00,2,alle,115040,sysselsatte_botid_land,personer
2007,00,alle,0_4,68538,sysselsatte_botid_land,personer
2007,00,alle,10+,101126,sysselsatte_botid_land,personer
2007,00,alle,5_9,43444,sysselsatte_botid_land,personer
2007,00,alle,alle,213108,sysselsatte_botid_land,personer
2007,01,1,0_4,1639,sysselsatte_botid_land,personer
2007,01,1,10+,2339,sysselsatte_botid_land,personer
2007,01,1,5_9,658,sysselsatte_botid_land,personer
2007,01,1,alle,4636,sysselsatte_botid_land,personer
2007,01,2,0_4,866,sysselsatte_botid_land,personer
2007,01,2,10+,3178,sysselsatte_botid_land,personer
2007,01,2,5_9,1686,sysselsatte_botid_land,personer
2007,01,2,alle,5730,sysselsatte_botid_land,personer
2007,01,alle,0_4,2505,sysselsatte_botid_land,personer
2007,01,alle,10+,5517,sysselsatte_botid_land,personer
2007,01,alle,5_9,2344,sysselsatte_botid_land,personer
2007,01,alle,alle,10366,sysselsatte_botid_land,personer
2007,02,1,0_4,4931,sysselsatte_botid_land,personer
2007,02,1,10+,7386,sysselsatte_botid_land,personer
2007,02,1,5_9,2272,sysselsatte_botid_land,personer
2007,02,1,alle,14589,sysselsatte_botid_land,personer
2007,02,2,0_4,2674,sysselsatte_botid_land,personer
2007,02,2,10+,8263,sysselsatte_botid_land,personer
2007,02,2,5_9,3334,sysselsatte_botid_land,personer
2007,02,2,alle,14271,sysselsatte_botid_land,personer
2007,02,alle,0_4,7605,sysselsatte_botid_land,personer
2007,02,alle,10+,15649,sysselsatte_botid_land,personer
2007,02,alle,5_9,5606,sysselsatte_botid_land,personer
2007,02,alle,alle,28860,sysselsatte_botid_land,personer
2007,03,1,0_4,9681,sysselsatte_botid_land,personer
2007,03,1,10+,7962,sysselsatte_botid_land,personer
2007,03,1,5_9,3686,sysselsatte_botid_land,personer
2007,03,1,alle,21329,sysselsatte_botid_land,personer
2007,03,2,0_4,6711,sysselsatte_botid_land,personer
2007,03,2,10+,23057,sysselsatte_botid_land,personer
2007,03,2,5_9,8263,sysselsatte_botid_land,personer
2007,03,2,alle,38031,sysselsatte_botid_land,personer
2007,03,alle,0_4,16392,sysselsatte_botid_land,personer
2007,03,alle,10+,31019,sysselsatte_botid_land,personer
2007,03,alle,5_9,11949,sysselsatte_botid_land,personer
2007,03,alle,alle,59360,sysselsatte_botid_land,personer
2007,04,1,0_4,780,sysselsatte_botid_land,personer
2007,04,1,10+,1241,sysselsatte_botid_land,personer
2007,04,1,5_9,365,sysselsatte_botid_land,personer
2007,04,1,alle,2386,sysselsatte_botid_land,personer
2007,04,2,0_4,519,sysselsatte_botid_land,personer
2007,04,2,10+,937,sysselsatte_botid_land,personer
2007,04,2,5_9,601,sysselsatte_botid_land,personer
2007,04,2,alle,2057,sysselsatte_botid_land,personer
2007,04,alle,0_4,1299,sysselsatte_botid_land,personer
2007,04,alle,10+,2178,sysselsatte_botid_land,personer
2007,04,alle,5_9,966,sysselsatte_botid_land,personer
2007,04,alle,alle,4443,sysselsatte_botid_land,personer
2007,05,1,0_4,944,sysselsatte_botid_land,personer
2007,05,1,10+,1028,sysselsatte_botid_land,personer
2007,05,1,5_9,349,sysselsatte_botid_land,personer
2007,05,1,alle,2321,sysselsatte_botid_land,personer
2007,05,2,0_4,582,sysselsatte_botid_land,personer
2007,05,2,10+,976,sysselsatte_botid_land,personer
2007,05,2,5_9,613,sysselsatte_botid_land,personer
2007,05,2,alle,2171,sysselsatte_botid_land,personer
2007,05,alle,0_4,1526,sysselsatte_botid_land,personer
2007,05,alle,10+,2004,sysselsatte_botid_land,personer
2007,05,alle,5_9,962,sysselsatte_botid_land,personer
2007,05,alle,alle,4492,sysselsatte_botid_land,personer
2007,06,1,0_4,2311,sysselsatte_botid_land,personer
2007,06,1,10+,2411,sysselsatte_botid_land,personer
2007,06,1,5_9,905,sysselsatte_botid_land,personer
2007,06,1,alle,5627,sysselsatte_botid_land,personer
2007,06,2,0_4,1347,sysselsatte_botid_land,personer
2007,06,2,10+,3540,sysselsatte_botid_land,personer
2007,06,2,5_9,1749,sysselsatte_botid_land,personer
2007,06,2,alle,6636,sysselsatte_botid_land,personer
2007,06,alle,0_4,3658,sysselsatte_botid_land,personer
2007,06,alle,10+,5951,sysselsatte_botid_land,personer
2007,06,alle,5_9,2654,sysselsatte_botid_land,personer
2007,06,alle,alle,12263,sysselsatte_botid_land,personer
2007,07,1,0_4,1888,sysselsatte_botid_land,personer
2007,07,1,10+,1928,sysselsatte_botid_land,personer
2007,07,1,5_9,552,sysselsatte_botid_land,personer
2007,07,1,alle,4368,sysselsatte_botid_land,personer
2007,07,2,0_4,909,sysselsatte_botid_land,personer
2007,07,2,10+,2185,sysselsatte_botid_land,personer
2007,07,2,5_9,1093,sysselsatte_botid_land,personer
2007,07,2,alle,4187,sysselsatte_botid_land,personer
2007,07,alle,0_4,2797,sysselsatte_botid_land,personer
2007,07,alle,10+,4113,sysselsatte_botid_land,personer
2007,07,alle,5_9,1645,sysselsatte_botid_land,personer
2007,07,alle,alle,8555,sysselsatte_botid_land,personer
2007,08,1,0_4,835,sysselsatte_botid_land,personer
2007,08,1,10+,1093,sysselsatte_botid_land,personer
2007,08,1,5_9,344,sysselsatte_botid_land,personer
2007,08,1,alle,2272,sysselsatte_botid_land,personer
2007,08,2,0_4,680,sysselsatte_botid_land,personer
2007,08,2,10+,1411,sysselsatte_botid_land,personer
2007,08,2,5_9,732,sysselsatte_botid_land,personer
2007,08,2,alle,2823,sysselsatte_botid_land,personer
2007,08,alle,0_4,1515,sysselsatte_botid_land,personer
2007,08,alle,10+,2504,sysselsatte_botid_land,personer
2007,08,alle,5_9,1076,sysselsatte_botid_land,personer
2007,08,alle,alle,5095,sysselsatte_botid_land,personer
2007,09,1,0_4,635,sysselsatte_botid_land,personer
2007,09,1,10+,822,sysselsatte_botid_land,personer
2007,09,1,5_9,225,sysselsatte_botid_land,personer
2007,09,1,alle,1682,sysselsatte_botid_land,personer
2007,09,2,0_4,436,sysselsatte_botid_land,personer
2007,09,2,10+,684,sysselsatte_botid_land,personer
2007,09,2,5_9,393,sysselsatte_botid_land,personer
2007,09,2,alle,1513,sysselsatte_botid_land,personer
2007,09,alle,0_4,1071,sysselsatte_botid_land,personer
2007,09,alle,10+,1506,sysselsatte_botid_land,personer
2007,09,alle,5_9,618,sysselsatte_botid_land,personer
2007,09,alle,alle,3195,sysselsatte_botid_land,personer
2007,10,1,0_4,1095,sysselsatte_botid_land,personer
2007,10,1,10+,1250,sysselsatte_botid_land,personer
2007,10,1,5_9,366,sysselsatte_botid_land,personer
2007,10,1,alle,2711,sysselsatte_botid_land,personer
2007,10,2,0_4,756,sysselsatte_botid_land,personer
2007,10,2,10+,2061,sysselsatte_botid_land,personer
2007,10,2,5_9,1038,sysselsatte_botid_land,personer
2007,10,2,alle,3855,sysselsatte_botid_land,personer
2007,10,alle,0_4,1851,sysselsatte_botid_land,personer
2007,10,alle,10+,3311,sysselsatte_botid_land,personer
2007,10,alle,5_9,1404,sysselsatte_botid_land,personer
2007,10,alle,alle,6566,sysselsatte_botid_land,personer
2007,11,1,0_4,5539,sysselsatte_botid_land,personer
2007,11,1,10+,3714,sysselsatte_botid_land,personer
2007,11,1,5_9,1330,sysselsatte_botid_land,personer
2007,11,1,alle,10583,sysselsatte_botid_land,personer
2007,11,2,0_4,2635,sysselsatte_botid_land,personer
2007,11,2,10+,4585,sysselsatte_botid_land,personer
2007,11,2,5_9,2227,sysselsatte_botid_land,personer
2007,11,2,alle,9447,sysselsatte_botid_land,personer
2007,11,alle,0_4,8174,sysselsatte_botid_land,personer
2007,11,alle,10+,8299,sysselsatte_botid_land,personer
2007,11,alle,5_9,3557,sysselsatte_botid_land,personer
2007,11,alle,alle,20030,sysselsatte_botid_land,personer
2007,12,1,0_4,4444,sysselsatte_botid_land,personer
2007,12,1,10+,2869,sysselsatte_botid_land,personer
2007,12,1,5_9,1091,sysselsatte_botid_land,personer
2007,12,1,alle,8404,sysselsatte_botid_land,personer
2007,12,2,0_4,2276,sysselsatte_botid_land,personer
2007,12,2,10+,4181,sysselsatte_botid_land,personer
2007,12,2,5_9,1974,sysselsatte_botid_land,personer
2007,12,2,alle,8431,sysselsatte_botid_land,personer
2007,12,alle,0_4,6720,sysselsatte_botid_land,personer
2007,12,alle,10+,7050,sysselsatte_botid_land,personer
2007,12,alle,5_9,3065,sysselsatte_botid_land,personer
2007,12,alle,alle,16835,sysselsatte_botid_land,personer
2007,14,1,0_4,781,sysselsatte_botid_land,personer
2007,14,1,10+,520,sysselsatte_botid_land,personer
2007,14,1,5_9,341,sysselsatte_botid_land,personer
2007,14,1,alle,1642,sysselsatte_botid_land,personer
2007,14,2,0_4,362,sysselsatte_botid_land,personer
2007,14,2,10+,545,sysselsatte_botid_land,personer
2007,14,2,5_9,301,sysselsatte_botid_land,personer
2007,14,2,alle,1208,sysselsatte_botid_land,personer
2007,14,alle,0_4,1143,sysselsatte_botid_land,personer
2007,14,alle,10+,1065,sysselsatte_botid_land,personer
2007,14,alle,5_9,642,sysselsatte_botid_land,personer
2007,14,alle,alle,2850,sysselsatte_botid_land,personer
2007,15,1,0_4,1896,sysselsatte_botid_land,personer
2007,15,1,10+,1054,sysselsatte_botid_land,personer
2007,15,1,5_9,598,sysselsatte_botid_land,personer
2007,15,1,alle,3548,sysselsatte_botid_land,personer
2007,15,2,0_4,951,sysselsatte_botid_land,personer
2007,15,2,10+,1312,sysselsatte_botid_land,personer
2007,15,2,5_9,924,sysselsatte_botid_land,personer
2007,15,2,alle,3187,sysselsatte_botid_land,personer
2007,15,alle,0_4,2847,sysselsatte_botid_land,personer
2007,15,alle,10+,2366,sysselsatte_botid_land,personer
2007,15,alle,5_9,1522,sysselsatte_botid_land,personer
2007,15,alle,alle,6735,sysselsatte_botid_land,personer
2007,16,1,0_4,2324,sysselsatte_botid_land,personer
2007,16,1,10+,1544,sysselsatte_botid_land,personer
2007,16,1,5_9,693,sysselsatte_botid_land,personer
2007,16,1,alle,4561,sysselsatte_botid_land,personer
2007,16,2,0_4,1371,sysselsatte_botid_land,personer
2007,16,2,10+,1995,sysselsatte_botid_land,personer
2007,16,2,5_9,1243,sysselsatte_botid_land,personer
2007,16,2,alle,4609,sysselsatte_botid_land,personer
2007,16,alle,0_4,3695,sysselsatte_botid_land,personer
2007,16,alle,10+,3539,sysselsatte_botid_land,personer
2007,16,alle,5_9,1936,sysselsatte_botid_land,personer
2007,16,alle,alle,9170,sysselsatte_botid_land,personer
2007,17,1,0_4,696,sysselsatte_botid_land,personer
2007,17,1,10+,480,sysselsatte_botid_land,personer
2007,17,1,5_9,177,sysselsatte_botid_land,personer
2007,17,1,alle,1353,sysselsatte_botid_land,personer
2007,17,2,0_4,343,sysselsatte_botid_land,personer
2007,17,2,10+,324,sysselsatte_botid_land,personer
2007,17,2,5_9,310,sysselsatte_botid_land,personer
2007,17,2,alle,977,sysselsatte_botid_land,personer
2007,17,alle,0_4,1039,sysselsatte_botid_land,personer
2007,17,alle,10+,804,sysselsatte_botid_land,personer
2007,17,alle,5_9,487,sysselsatte_botid_land,personer
2007,17,alle,alle,2330,sysselsatte_botid_land,personer
2007,18,1,0_4,824,sysselsatte_botid_land,personer
2007,18,1,10+,1037,sysselsatte_botid_land,personer
2007,18,1,5_9,388,sysselsatte_botid_land,personer
2007,18,1,alle,2249,sysselsatte_botid_land,personer
2007,18,2,0_4,1016,sysselsatte_botid_land,personer
2007,18,2,10+,667,sysselsatte_botid_land,personer
2007,18,2,5_9,777,sysselsatte_botid_land,personer
2007,18,2,alle,2460,sysselsatte_botid_land,personer
2007,18,alle,0_4,1840,sysselsatte_botid_land,personer
2007,18,alle,10+,1704,sysselsatte_botid_land,personer
2007,18,alle,5_9,1165,sysselsatte_botid_land,personer
2007,18,alle,alle,4709,sysselsatte_botid_land,personer
2007,19,1,0_4,1074,sysselsatte_botid_land,personer
2007,19,1,10+,962,sysselsatte_botid_land,personer
2007,19,1,5_9,483,sysselsatte_botid_land,personer
2007,19,1,alle,2519,sysselsatte_botid_land,personer
2007,19,2,0_4,811,sysselsatte_botid_land,personer
2007,19,2,10+,574,sysselsatte_botid_land,personer
2007,19,2,5_9,616,sysselsatte_botid_land,personer
2007,19,2,alle,2001,sysselsatte_botid_land,personer
2007,19,alle,0_4,1885,sysselsatte_botid_land,personer
2007,19,alle,10+,1536,sysselsatte_botid_land,personer
2007,19,alle,5_9,1099,sysselsatte_botid_land,personer
2007,19,alle,alle,4520,sysselsatte_botid_land,personer
2007,20,1,0_4,383,sysselsatte_botid_land,personer
2007,20,1,10+,675,sysselsatte_botid_land,personer
2007,20,1,5_9,230,sysselsatte_botid_land,personer
2007,20,1,alle,1288,sysselsatte_botid_land,personer
2007,20,2,0_4,593,sysselsatte_botid_land,personer
2007,20,2,10+,336,sysselsatte_botid_land,personer
2007,20,2,5_9,517,sysselsatte_botid_land,personer
2007,20,2,alle,1446,sysselsatte_botid_land,personer
2007,20,alle,0_4,976,sysselsatte_botid_land,personer
2007,20,alle,10+,1011,sysselsatte_botid_land,personer
2007,20,alle,5_9,747,sysselsatte_botid_land,personer
2007,20,alle,alle,2734,sysselsatte_botid_land,personer
2008,00,1,0_4,57906,sysselsatte_botid_land,personer
2008,00,1,10+,43093,sysselsatte_botid_land,personer
2008,00,1,5_9,14810,sysselsatte_botid_land,personer
2008,00,1,alle,115809,sysselsatte_botid_land,personer
2008,00,2,0_4,27845,sysselsatte_botid_land,personer
2008,00,2,10+,65047,sysselsatte_botid_land,personer
2008,00,2,5_9,32314,sysselsatte_botid_land,personer
2008,00,2,alle,125206,sysselsatte_botid_land,personer
