kommune_nr,innvkat_2,arbeidsalder_18_69,aar,tabellvariabel,tabellnavn,enhet
0217,befolkningen_ellers,alle,2006,11621,sysselsatte_innvkat_alder,personer
0217,innvandrere,alle,2006,1098,sysselsatte_innvkat_alder,personer
0219,alle,alle,2006,54951,sysselsatte_innvkat_alder,personer
0219,befolkningen_ellers,alle,2006,48479,sysselsatte_innvkat_alder,personer
0219,innvandrere,alle,2006,6472,sysselsatte_innvkat_alder,personer
0220,alle,alle,2006,26948,sysselsatte_innvkat_alder,personer
0220,befolkningen_ellers,alle,2006,23979,sysselsatte_innvkat_alder,personer
0220,innvandrere,alle,2006,2969,sysselsatte_innvkat_alder,personer
0221,alle,alle,2006,7024,sysselsatte_innvkat_alder,personer
0221,befolkningen_ellers,alle,2006,6754,sysselsatte_innvkat_alder,personer
0221,innvandrere,alle,2006,270,sysselsatte_innvkat_alder,personer
0226,alle,alle,2006,7419,sysselsatte_innvkat_alder,personer
0226,befolkningen_ellers,alle,2006,6943,sysselsatte_innvkat_alder,personer
0226,innvandrere,alle,2006,476,sysselsatte_innvkat_alder,personer
0227,alle,alle,2006,5314,sysselsatte_innvkat_alder,personer
0227,befolkningen_ellers,alle,2006,4981,sysselsatte_innvkat_alder,personer
0227,innvandrere,alle,2006,333,sysselsatte_innvkat_alder,personer
0228,alle,alle,2006,8435,sysselsatte_innvkat_alder,personer
0228,befolkningen_ellers,alle,2006,7551,sysselsatte_innvkat_alder,personer
0228,innvandrere,alle,2006,884,sysselsatte_innvkat_alder,personer
0229,alle,alle,2006,5314,sysselsatte_innvkat_alder,personer
0229,befolkningen_ellers,alle,2006,4992,sysselsatte_innvkat_alder,personer
0229,innvandrere,alle,2006,322,sysselsatte_innvkat_alder,personer
0230,alle,alle,2006,16820,sysselsatte_innvkat_alder,personer
0230,befolkningen_ellers,alle,2006,14746,sysselsatte_innvkat_alder,personer
0230,innvandrere,alle,2006,2074,sysselsatte_innvkat_alder,personer
0231,alle,alle,2006,23290,sysselsatte_innvkat_alder,personer
0231,befolkningen_ellers,alle,2006,20740,sysselsatte_innvkat_alder,personer
0231,innvandrere,alle,2006,2550,sysselsatte_innvkat_alder,personer
0233,alle,alle,2006,10595,sysselsatte_innvkat_alder,personer
0233,befolkningen_ellers,alle,2006,9764,sysselsatte_innvkat_alder,personer
0233,innvandrere,alle,2006,831,sysselsatte_innvkat_alder,personer
0234,alle,alle,2006,2854,sysselsatte_innvkat_alder,personer
0234,befolkningen_ellers,alle,2006,2690,sysselsatte_innvkat_alder,personer
0234,innvandrere,alle,2006,164,sysselsatte_innvkat_alder,personer
0235,alle,alle,2006,13807,sysselsatte_innvkat_alder,personer
0235,befolkningen_ellers,alle,2006,12588,sysselsatte_innvkat_alder,personer
0235,innvandrere,alle,2006,1219,sysselsatte_innvkat_alder,personer
0236,alle,alle,2006,9482,sysselsatte_innvkat_alder,personer
0236,befolkningen_ellers,alle,2006,9071,sysselsatte_innvkat_alder,personer
0236,innvandrere,alle,2006,411,sysselsatte_innvkat_alder,personer
0237,alle,alle,2006,9974,sysselsatte_innvkat_alder,personer
0237,befolkningen_ellers,alle,2006,9476,sysselsatte_innvkat_alder,personer
0237,innvandrere,alle,2006,498,sysselsatte_innvkat_alder,personer
0238,alle,alle,2006,5555,sysselsatte_innvkat_alder,personer
0238,befolkningen_ellers,alle,2006,5201,sysselsatte_innvkat_alder,personer
0238,innvandrere,alle,2006,354,sysselsatte_innvkat_alder,personer
0239,alle,alle,2006,1310,sysselsatte_innvkat_alder,personer
0239,befolkningen_ellers,alle,2006,1259,sysselsatte_innvkat_alder,personer
0239,innvandrere,alle,2006,51,sysselsatte_innvkat_alder,personer
0301,alle,alle,2006,293464,sysselsatte_innvkat_alder,personer
0301,befolkningen_ellers,alle,2006,240830,sysselsatte_innvkat_alder,personer
0301,innvandrere,alle,2006,52634,sysselsatte_innvkat_alder,personer
0402,alle,alle,2006,8193,sysselsatte_innvkat_alder,personer
0402,befolkningen_ellers,alle,2006,7638,sysselsatte_innvkat_alder,personer
0402,innvandrere,alle,2006,555,sysselsatte_innvkat_alder,personer
0403,alle,alle,2006,13790,sysselsatte_innvkat_alder,personer
0403,befolkningen_ellers,alle,2006,12977,sysselsatte_innvkat_alder,personer
0403,innvandrere,alle,2006,813,sysselsatte_innvkat_alder,personer
0412,alle,alle,2006,15844,sysselsatte_innvkat_alder,personer
0412,befolkningen_ellers,alle,2006,15294,sysselsatte_innvkat_alder,personer
0412,innvandrere,alle,2006,550,sysselsatte_innvkat_alder,personer
0415,alle,alle,2006,3586,sysselsatte_innvkat_alder,personer
0415,befolkningen_ellers,alle,2006,3491,sysselsatte_innvkat_alder,personer
0415,innvandrere,alle,2006,95,sysselsatte_innvkat_alder,personer
0417,alle,alle,2006,9007,sysselsatte_innvkat_alder,personer
0417,befolkningen_ellers,alle,2006,8639,sysselsatte_innvkat_alder,personer
0417,innvandrere,alle,2006,368,sysselsatte_innvkat_alder,personer
0418,alle,alle,2006,2369,sysselsatte_innvkat_alder,personer
0418,befolkningen_ellers,alle,2006,2328,sysselsatte_innvkat_alder,personer
0418,innvandrere,alle,2006,41,sysselsatte_innvkat_alder,personer
0419,alle,alle,2006,3814,sysselsatte_innvkat_alder,personer
0419,befolkningen_ellers,alle,2006,3715,sysselsatte_innvkat_alder,personer
0419,innvandrere,alle,2006,99,sysselsatte_innvkat_alder,personer
0420,alle,alle,2006,2924,sysselsatte_innvkat_alder,personer
0420,befolkningen_ellers,alle,2006,2811,sysselsatte_innvkat_alder,personer
0420,innvandrere,alle,2006,113,sysselsatte_innvkat_alder,personer
0423,alle,alle,2006,2429,sysselsatte_innvkat_alder,personer
0423,befolkningen_ellers,alle,2006,2320,sysselsatte_innvkat_alder,personer
0423,innvandrere,alle,2006,109,sysselsatte_innvkat_alder,personer
0425,alle,alle,2006,3513,sysselsatte_innvkat_alder,personer
0425,befolkningen_ellers,alle,2006,3417,sysselsatte_innvkat_alder,personer
0425,innvandrere,alle,2006,96,sysselsatte_innvkat_alder,personer
0426,alle,alle,2006,1811,sysselsatte_innvkat_alder,personer
0426,befolkningen_ellers,alle,2006,1770,sysselsatte_innvkat_alder,personer
0426,innvandrere,alle,2006,41,sysselsatte_innvkat_alder,personer
0427,alle,alle,2006,9346,sysselsatte_innvkat_alder,personer
0427,befolkningen_ellers,alle,2006,8950,sysselsatte_innvkat_alder,personer
0427,innvandrere,alle,2006,396,sysselsatte_innvkat_alder,personer
0428,alle,alle,2006,3208,sysselsatte_innvkat_alder,personer
0428,befolkningen_ellers,alle,2006,3052,sysselsatte_innvkat_alder,personer
0428,innvandrere,alle,2006,156,sysselsatte_innvkat_alder,personer
0429,alle,alle,2006,2020,sysselsatte_innvkat_alder,personer
0429,befolkningen_ellers,alle,2006,1939,sysselsatte_innvkat_alder,personer
0429,innvandrere,alle,2006,81,sysselsatte_innvkat_alder,personer
0430,alle,alle,2006,1265,sysselsatte_innvkat_alder,personer
0430,befolkningen_ellers,alle,2006,1224,sysselsatte_innvkat_alder,personer
0430,innvandrere,alle,2006,41,sysselsatte_innvkat_alder,personer
0432,alle,alle,2006,984,sysselsatte_innvkat_alder,personer
0432,befolkningen_ellers,alle,2006,967,sysselsatte_innvkat_alder,personer
0432,innvandrere,alle,2006,17,sysselsatte_innvkat_alder,personer
0434,alle,alle,2006,739,sysselsatte_innvkat_alder,personer
0434,befolkningen_ellers,alle,2006,707,sysselsatte_innvkat_alder,personer
0434,innvandrere,alle,2006,32,sysselsatte_innvkat_alder,personer
0436,alle,alle,2006,864,sysselsatte_innvkat_alder,personer
0436,befolkningen_ellers,alle,2006,831,sysselsatte_innvkat_alder,personer
0436,innvandrere,alle,2006,33,sysselsatte_innvkat_alder,personer
0437,alle,alle,2006,2855,sysselsatte_innvkat_alder,personer
0437,befolkningen_ellers,alle,2006,2721,sysselsatte_innvkat_alder,personer
0437,innvandrere,alle,2006,134,sysselsatte_innvkat_alder,personer
0438,alle,alle,2006,1301,sysselsatte_innvkat_alder,personer
0438,befolkningen_ellers,alle,2006,1255,sysselsatte_innvkat_alder,personer
0438,innvandrere,alle,2006,46,sysselsatte_innvkat_alder,personer
0439,alle,alle,2006,895,sysselsatte_innvkat_alder,personer
0439,befolkningen_ellers,alle,2006,873,sysselsatte_innvkat_alder,personer
0439,innvandrere,alle,2006,22,sysselsatte_innvkat_alder,personer
0441,alle,alle,2006,1074,sysselsatte_innvkat_alder,personer
0441,befolkningen_ellers,alle,2006,1017,sysselsatte_innvkat_alder,personer
0441,innvandrere,alle,2006,57,sysselsatte_innvkat_alder,personer
0501,alle,alle,2006,13130,sysselsatte_innvkat_alder,personer
0501,befolkningen_ellers,alle,2006,12317,sysselsatte_innvkat_alder,personer
0501,innvandrere,alle,2006,813,sysselsatte_innvkat_alder,personer
0502,alle,alle,2006,14085,sysselsatte_innvkat_alder,personer
0502,befolkningen_ellers,alle,2006,13267,sysselsatte_innvkat_alder,personer
0502,innvandrere,alle,2006,818,sysselsatte_innvkat_alder,personer
0511,alle,alle,2006,1447,sysselsatte_innvkat_alder,personer
0511,befolkningen_ellers,alle,2006,1409,sysselsatte_innvkat_alder,personer
0511,innvandrere,alle,2006,38,sysselsatte_innvkat_alder,personer
0512,alle,alle,2006,1131,sysselsatte_innvkat_alder,personer
0512,befolkningen_ellers,alle,2006,1091,sysselsatte_innvkat_alder,personer
0512,innvandrere,alle,2006,40,sysselsatte_innvkat_alder,personer
0513,alle,alle,2006,1241,sysselsatte_innvkat_alder,personer
0513,befolkningen_ellers,alle,2006,1206,sysselsatte_innvkat_alder,personer
0513,innvandrere,alle,2006,35,sysselsatte_innvkat_alder,personer
0514,alle,alle,2006,1312,sysselsatte_innvkat_alder,personer
0514,befolkningen_ellers,alle,2006,1281,sysselsatte_innvkat_alder,personer
0514,innvandrere,alle,2006,31,sysselsatte_innvkat_alder,personer
0515,alle,alle,2006,1914,sysselsatte_innvkat_alder,personer
0515,befolkningen_ellers,alle,2006,1879,sysselsatte_innvkat_alder,personer
0515,innvandrere,alle,2006,35,sysselsatte_innvkat_alder,personer
0516,alle,alle,2006,2981,sysselsatte_innvkat_alder,personer
0516,befolkningen_ellers,alle,2006,2919,sysselsatte_innvkat_alder,personer
0516,innvandrere,alle,2006,62,sysselsatte_innvkat_alder,personer
0517,alle,alle,2006,3079,sysselsatte_innvkat_alder,personer
0517,befolkningen_ellers,alle,2006,3015,sysselsatte_innvkat_alder,personer
0517,innvandrere,alle,2006,64,sysselsatte_innvkat_alder,personer
0519,alle,alle,2006,1602,sysselsatte_innvkat_alder,personer
0519,befolkningen_ellers,alle,2006,1547,sysselsatte_innvkat_alder,personer
0519,innvandrere,alle,2006,55,sysselsatte_innvkat_alder,personer
0520,alle,alle,2006,2261,sysselsatte_innvkat_alder,personer
0520,befolkningen_ellers,alle,2006,2175,sysselsatte_innvkat_alder,personer
0520,innvandrere,alle,2006,86,sysselsatte_innvkat_alder,personer
0521,alle,alle,2006,2562,sysselsatte_innvkat_alder,personer
0521,befolkningen_ellers,alle,2006,2436,sysselsatte_innvkat_alder,personer
0521,innvandrere,alle,2006,126,sysselsatte_innvkat_alder,personer
0522,alle,alle,2006,3199,sysselsatte_innvkat_alder,personer
0522,befolkningen_ellers,alle,2006,3116,sysselsatte_innvkat_alder,personer
0522,innvandrere,alle,2006,83,sysselsatte_innvkat_alder,personer
0528,alle,alle,2006,7277,sysselsatte_innvkat_alder,personer
0528,befolkningen_ellers,alle,2006,7024,sysselsatte_innvkat_alder,personer
0528,innvandrere,alle,2006,253,sysselsatte_innvkat_alder,personer
0529,alle,alle,2006,6265,sysselsatte_innvkat_alder,personer
0529,befolkningen_ellers,alle,2006,6086,sysselsatte_innvkat_alder,personer
0529,innvandrere,alle,2006,179,sysselsatte_innvkat_alder,personer
0532,alle,alle,2006,3091,sysselsatte_innvkat_alder,personer
0532,befolkningen_ellers,alle,2006,2949,sysselsatte_innvkat_alder,personer
0532,innvandrere,alle,2006,142,sysselsatte_innvkat_alder,personer
0533,alle,alle,2006,4534,sysselsatte_innvkat_alder,personer
0533,befolkningen_ellers,alle,2006,4358,sysselsatte_innvkat_alder,personer
0533,innvandrere,alle,2006,176,sysselsatte_innvkat_alder,personer
0534,alle,alle,2006,6682,sysselsatte_innvkat_alder,personer
0534,befolkningen_ellers,alle,2006,6440,sysselsatte_innvkat_alder,personer
0534,innvandrere,alle,2006,242,sysselsatte_innvkat_alder,personer
0536,alle,alle,2006,2736,sysselsatte_innvkat_alder,personer
0536,befolkningen_ellers,alle,2006,2629,sysselsatte_innvkat_alder,personer
0536,innvandrere,alle,2006,107,sysselsatte_innvkat_alder,personer
0538,alle,alle,2006,3236,sysselsatte_innvkat_alder,personer
0538,befolkningen_ellers,alle,2006,3175,sysselsatte_innvkat_alder,personer
0538,innvandrere,alle,2006,61,sysselsatte_innvkat_alder,personer
0540,alle,alle,2006,1610,sysselsatte_innvkat_alder,personer
0540,befolkningen_ellers,alle,2006,1568,sysselsatte_innvkat_alder,personer
0540,innvandrere,alle,2006,42,sysselsatte_innvkat_alder,personer
0541,alle,alle,2006,676,sysselsatte_innvkat_alder,personer
0541,befolkningen_ellers,alle,2006,660,sysselsatte_innvkat_alder,personer
0541,innvandrere,alle,2006,16,sysselsatte_innvkat_alder,personer
0542,alle,alle,2006,3422,sysselsatte_innvkat_alder,personer
0542,befolkningen_ellers,alle,2006,3265,sysselsatte_innvkat_alder,personer
0542,innvandrere,alle,2006,157,sysselsatte_innvkat_alder,personer
0543,alle,alle,2006,1191,sysselsatte_innvkat_alder,personer
0543,befolkningen_ellers,alle,2006,1149,sysselsatte_innvkat_alder,personer
0543,innvandrere,alle,2006,42,sysselsatte_innvkat_alder,personer
0544,alle,alle,2006,1751,sysselsatte_innvkat_alder,personer
0544,befolkningen_ellers,alle,2006,1674,sysselsatte_innvkat_alder,personer
0544,innvandrere,alle,2006,77,sysselsatte_innvkat_alder,personer
0545,alle,alle,2006,855,sysselsatte_innvkat_alder,personer
0545,befolkningen_ellers,alle,2006,807,sysselsatte_innvkat_alder,personer
0545,innvandrere,alle,2006,48,sysselsatte_innvkat_alder,personer
0602,alle,alle,2006,29250,sysselsatte_innvkat_alder,personer
0602,befolkningen_ellers,alle,2006,25336,sysselsatte_innvkat_alder,personer
0602,innvandrere,alle,2006,3914,sysselsatte_innvkat_alder,personer
0604,alle,alle,2006,12737,sysselsatte_innvkat_alder,personer
0604,befolkningen_ellers,alle,2006,11873,sysselsatte_innvkat_alder,personer
0604,innvandrere,alle,2006,864,sysselsatte_innvkat_alder,personer
0605,alle,alle,2006,14377,sysselsatte_innvkat_alder,personer
0605,befolkningen_ellers,alle,2006,13508,sysselsatte_innvkat_alder,personer
0605,innvandrere,alle,2006,869,sysselsatte_innvkat_alder,personer
0612,alle,alle,2006,2869,sysselsatte_innvkat_alder,personer
0612,befolkningen_ellers,alle,2006,2692,sysselsatte_innvkat_alder,personer
0612,innvandrere,alle,2006,177,sysselsatte_innvkat_alder,personer
0615,alle,alle,2006,518,sysselsatte_innvkat_alder,personer
0615,befolkningen_ellers,alle,2006,491,sysselsatte_innvkat_alder,personer
0615,innvandrere,alle,2006,27,sysselsatte_innvkat_alder,personer
0616,alle,alle,2006,1862,sysselsatte_innvkat_alder,personer
0616,befolkningen_ellers,alle,2006,1751,sysselsatte_innvkat_alder,personer
0616,innvandrere,alle,2006,111,sysselsatte_innvkat_alder,personer
0617,alle,alle,2006,2465,sysselsatte_innvkat_alder,personer
0617,befolkningen_ellers,alle,2006,2270,sysselsatte_innvkat_alder,personer
0617,innvandrere,alle,2006,195,sysselsatte_innvkat_alder,personer
0618,alle,alle,2006,1109,sysselsatte_innvkat_alder,personer
0618,befolkningen_ellers,alle,2006,974,sysselsatte_innvkat_alder,personer
0618,innvandrere,alle,2006,135,sysselsatte_innvkat_alder,personer
0619,alle,alle,2006,2478,sysselsatte_innvkat_alder,personer
0619,befolkningen_ellers,alle,2006,2372,sysselsatte_innvkat_alder,personer
0619,innvandrere,alle,2006,106,sysselsatte_innvkat_alder,personer
0620,alle,alle,2006,2497,sysselsatte_innvkat_alder,personer
0620,befolkningen_ellers,alle,2006,2243,sysselsatte_innvkat_alder,personer
0620,innvandrere,alle,2006,254,sysselsatte_innvkat_alder,personer
0621,alle,alle,2006,1905,sysselsatte_innvkat_alder,personer
0621,befolkningen_ellers,alle,2006,1877,sysselsatte_innvkat_alder,personer
0621,innvandrere,alle,2006,28,sysselsatte_innvkat_alder,personer
0622,alle,alle,2006,1150,sysselsatte_innvkat_alder,personer
0622,befolkningen_ellers,alle,2006,1110,sysselsatte_innvkat_alder,personer
0622,innvandrere,alle,2006,40,sysselsatte_innvkat_alder,personer
0623,alle,alle,2006,6443,sysselsatte_innvkat_alder,personer
0623,befolkningen_ellers,alle,2006,6165,sysselsatte_innvkat_alder,personer
0623,innvandrere,alle,2006,278,sysselsatte_innvkat_alder,personer
0624,alle,alle,2006,7972,sysselsatte_innvkat_alder,personer
0624,befolkningen_ellers,alle,2006,7568,sysselsatte_innvkat_alder,personer
0624,innvandrere,alle,2006,404,sysselsatte_innvkat_alder,personer
0625,alle,alle,2006,11235,sysselsatte_innvkat_alder,personer
0625,befolkningen_ellers,alle,2006,10297,sysselsatte_innvkat_alder,personer
0625,innvandrere,alle,2006,938,sysselsatte_innvkat_alder,personer
0626,alle,alle,2006,11686,sysselsatte_innvkat_alder,personer
0626,befolkningen_ellers,alle,2006,10620,sysselsatte_innvkat_alder,personer
0626,innvandrere,alle,2006,1066,sysselsatte_innvkat_alder,personer
0627,alle,alle,2006,9514,sysselsatte_innvkat_alder,personer
0627,befolkningen_ellers,alle,2006,8847,sysselsatte_innvkat_alder,personer
0627,innvandrere,alle,2006,667,sysselsatte_innvkat_alder,personer
0628,alle,alle,2006,4508,sysselsatte_innvkat_alder,personer
0628,befolkningen_ellers,alle,2006,4251,sysselsatte_innvkat_alder,personer
0628,innvandrere,alle,2006,257,sysselsatte_innvkat_alder,personer
0631,alle,alle,2006,1313,sysselsatte_innvkat_alder,personer
0631,befolkningen_ellers,alle,2006,1271,sysselsatte_innvkat_alder,personer
0631,innvandrere,alle,2006,42,sysselsatte_innvkat_alder,personer
0632,alle,alle,2006,739,sysselsatte_innvkat_alder,personer
0632,befolkningen_ellers,alle,2006,714,sysselsatte_innvkat_alder,personer
0632,innvandrere,alle,2006,25,sysselsatte_innvkat_alder,personer
0633,alle,alle,2006,1328,sysselsatte_innvkat_alder,personer
0633,befolkningen_ellers,alle,2006,1299,sysselsatte_innvkat_alder,personer
0633,innvandrere,alle,2006,29,sysselsatte_innvkat_alder,personer
0701,alle,alle,2006,12025,sysselsatte_innvkat_alder,personer
0701,befolkningen_ellers,alle,2006,11187,sysselsatte_innvkat_alder,personer
0701,innvandrere,alle,2006,838,sysselsatte_innvkat_alder,personer
0702,alle,alle,2006,4720,sysselsatte_innvkat_alder,personer
0702,befolkningen_ellers,alle,2006,4475,sysselsatte_innvkat_alder,personer
0702,innvandrere,alle,2006,245,sysselsatte_innvkat_alder,personer
0704,alle,alle,2006,18817,sysselsatte_innvkat_alder,personer
0704,befolkningen_ellers,alle,2006,17424,sysselsatte_innvkat_alder,personer
0704,innvandrere,alle,2006,1393,sysselsatte_innvkat_alder,personer
0706,alle,alle,2006,20181,sysselsatte_innvkat_alder,personer
0706,befolkningen_ellers,alle,2006,18705,sysselsatte_innvkat_alder,personer
0706,innvandrere,alle,2006,1476,sysselsatte_innvkat_alder,personer
0709,alle,alle,2006,20115,sysselsatte_innvkat_alder,personer
0709,befolkningen_ellers,alle,2006,18866,sysselsatte_innvkat_alder,personer
0709,innvandrere,alle,2006,1249,sysselsatte_innvkat_alder,personer
0711,alle,alle,2006,3176,sysselsatte_innvkat_alder,personer
0711,befolkningen_ellers,alle,2006,3006,sysselsatte_innvkat_alder,personer
0711,innvandrere,alle,2006,170,sysselsatte_innvkat_alder,personer
0713,alle,alle,2006,3911,sysselsatte_innvkat_alder,personer
0713,befolkningen_ellers,alle,2006,3718,sysselsatte_innvkat_alder,personer
0713,innvandrere,alle,2006,193,sysselsatte_innvkat_alder,personer
0714,alle,alle,2006,1529,sysselsatte_innvkat_alder,personer
0714,befolkningen_ellers,alle,2006,1473,sysselsatte_innvkat_alder,personer
0714,innvandrere,alle,2006,56,sysselsatte_innvkat_alder,personer
0716,alle,alle,2006,4430,sysselsatte_innvkat_alder,personer
0716,befolkningen_ellers,alle,2006,4249,sysselsatte_innvkat_alder,personer
0716,innvandrere,alle,2006,181,sysselsatte_innvkat_alder,personer
0719,alle,alle,2006,2613,sysselsatte_innvkat_alder,personer
0719,befolkningen_ellers,alle,2006,2486,sysselsatte_innvkat_alder,personer
0719,innvandrere,alle,2006,127,sysselsatte_innvkat_alder,personer
0720,alle,alle,2006,5343,sysselsatte_innvkat_alder,personer
0720,befolkningen_ellers,alle,2006,5050,sysselsatte_innvkat_alder,personer
0720,innvandrere,alle,2006,293,sysselsatte_innvkat_alder,personer
0722,alle,alle,2006,9923,sysselsatte_innvkat_alder,personer
0722,befolkningen_ellers,alle,2006,9305,sysselsatte_innvkat_alder,personer
0722,innvandrere,alle,2006,618,sysselsatte_innvkat_alder,personer
0723,alle,alle,2006,2160,sysselsatte_innvkat_alder,personer
0723,befolkningen_ellers,alle,2006,2054,sysselsatte_innvkat_alder,personer
0723,innvandrere,alle,2006,106,sysselsatte_innvkat_alder,personer
0728,alle,alle,2006,1242,sysselsatte_innvkat_alder,personer
0728,befolkningen_ellers,alle,2006,1192,sysselsatte_innvkat_alder,personer
0728,innvandrere,alle,2006,50,sysselsatte_innvkat_alder,personer
0805,alle,alle,2006,16324,sysselsatte_innvkat_alder,personer
0805,befolkningen_ellers,alle,2006,15352,sysselsatte_innvkat_alder,personer
0805,innvandrere,alle,2006,972,sysselsatte_innvkat_alder,personer
0806,alle,alle,2006,24558,sysselsatte_innvkat_alder,personer
0806,befolkningen_ellers,alle,2006,22890,sysselsatte_innvkat_alder,personer
0806,innvandrere,alle,2006,1668,sysselsatte_innvkat_alder,personer
0807,alle,alle,2006,5863,sysselsatte_innvkat_alder,personer
0807,befolkningen_ellers,alle,2006,5593,sysselsatte_innvkat_alder,personer
0807,innvandrere,alle,2006,270,sysselsatte_innvkat_alder,personer
0811,alle,alle,2006,1215,sysselsatte_innvkat_alder,personer
0811,befolkningen_ellers,alle,2006,1178,sysselsatte_innvkat_alder,personer
0811,innvandrere,alle,2006,37,sysselsatte_innvkat_alder,personer
0814,alle,alle,2006,6967,sysselsatte_innvkat_alder,personer
0814,befolkningen_ellers,alle,2006,6754,sysselsatte_innvkat_alder,personer
