aar,bydel_nr,botid_5,tabellvariabel,tabell_navn,enhet
2008,030117,10+,1271,sysselsatte_botid,personer
2008,030117,5_9,420,sysselsatte_botid,personer
2008,030117,alle,2007,sysselsatte_botid,personer
2008,030199,0_4,407,sysselsatte_botid,personer
2008,030199,10+,114,sysselsatte_botid,personer
2008,030199,5_9,100,sysselsatte_botid,personer
2008,030199,alle,621,sysselsatte_botid,personer
2009,00,0_4,91020,sysselsatte_botid,personer
2009,00,10+,113658,sysselsatte_botid,personer
2009,00,5_9,46458,sysselsatte_botid,personer
2009,00,alle,251136,sysselsatte_botid,personer
2009,030101,0_4,2577,sysselsatte_botid,personer
2009,030101,10+,2818,sysselsatte_botid,personer
2009,030101,5_9,1140,sysselsatte_botid,personer
2009,030101,alle,6535,sysselsatte_botid,personer
2009,030102,0_4,1841,sysselsatte_botid,personer
2009,030102,10+,2406,sysselsatte_botid,personer
2009,030102,5_9,989,sysselsatte_botid,personer
2009,030102,alle,5236,sysselsatte_botid,personer
2009,030103,0_4,2138,sysselsatte_botid,personer
2009,030103,10+,3091,sysselsatte_botid,personer
2009,030103,5_9,1124,sysselsatte_botid,personer
2009,030103,alle,6353,sysselsatte_botid,personer
2009,030104,0_4,2138,sysselsatte_botid,personer
2009,030104,10+,2854,sysselsatte_botid,personer
2009,030104,5_9,1060,sysselsatte_botid,personer
2009,030104,alle,6052,sysselsatte_botid,personer
2009,030105,0_4,1783,sysselsatte_botid,personer
2009,030105,10+,2400,sysselsatte_botid,personer
2009,030105,5_9,834,sysselsatte_botid,personer
2009,030105,alle,5017,sysselsatte_botid,personer
2009,030106,0_4,1741,sysselsatte_botid,personer
2009,030106,10+,2393,sysselsatte_botid,personer
2009,030106,5_9,826,sysselsatte_botid,personer
2009,030106,alle,4960,sysselsatte_botid,personer
2009,030107,0_4,1288,sysselsatte_botid,personer
2009,030107,10+,2153,sysselsatte_botid,personer
2009,030107,5_9,702,sysselsatte_botid,personer
2009,030107,alle,4143,sysselsatte_botid,personer
2009,030108,0_4,1865,sysselsatte_botid,personer
2009,030108,10+,2055,sysselsatte_botid,personer
2009,030108,5_9,827,sysselsatte_botid,personer
2009,030108,alle,4747,sysselsatte_botid,personer
2009,030109,0_4,1002,sysselsatte_botid,personer
2009,030109,10+,1803,sysselsatte_botid,personer
2009,030109,5_9,593,sysselsatte_botid,personer
2009,030109,alle,3398,sysselsatte_botid,personer
2009,030110,0_4,842,sysselsatte_botid,personer
2009,030110,10+,1971,sysselsatte_botid,personer
2009,030110,5_9,674,sysselsatte_botid,personer
2009,030110,alle,3487,sysselsatte_botid,personer
2009,030111,0_4,604,sysselsatte_botid,personer
2009,030111,10+,1123,sysselsatte_botid,personer
2009,030111,5_9,353,sysselsatte_botid,personer
2009,030111,alle,2080,sysselsatte_botid,personer
2009,030112,0_4,539,sysselsatte_botid,personer
2009,030112,10+,915,sysselsatte_botid,personer
2009,030112,5_9,294,sysselsatte_botid,personer
2009,030112,alle,1748,sysselsatte_botid,personer
2009,030113,0_4,515,sysselsatte_botid,personer
2009,030113,10+,1394,sysselsatte_botid,personer
2009,030113,5_9,514,sysselsatte_botid,personer
2009,030113,alle,2423,sysselsatte_botid,personer
2009,030114,0_4,311,sysselsatte_botid,personer
2009,030114,10+,1037,sysselsatte_botid,personer
2009,030114,5_9,338,sysselsatte_botid,personer
2009,030114,alle,1686,sysselsatte_botid,personer
2009,030115,0_4,273,sysselsatte_botid,personer
2009,030115,10+,1067,sysselsatte_botid,personer
2009,030115,5_9,315,sysselsatte_botid,personer
2009,030115,alle,1655,sysselsatte_botid,personer
2009,030116,0_4,179,sysselsatte_botid,personer
2009,030116,10+,779,sysselsatte_botid,personer
2009,030116,5_9,198,sysselsatte_botid,personer
2009,030116,alle,1156,sysselsatte_botid,personer
2009,030117,0_4,297,sysselsatte_botid,personer
2009,030117,10+,1298,sysselsatte_botid,personer
2009,030117,5_9,385,sysselsatte_botid,personer
2009,030117,alle,1980,sysselsatte_botid,personer
2009,030199,0_4,339,sysselsatte_botid,personer
2009,030199,10+,194,sysselsatte_botid,personer
2009,030199,5_9,80,sysselsatte_botid,personer
2009,030199,alle,613,sysselsatte_botid,personer
2010,00,0_4,105359,sysselsatte_botid,personer
2010,00,10+,120204,sysselsatte_botid,personer
2010,00,5_9,49252,sysselsatte_botid,personer
2010,00,alle,274815,sysselsatte_botid,personer
2010,030101,0_4,3037,sysselsatte_botid,personer
2010,030101,10+,2974,sysselsatte_botid,personer
2010,030101,5_9,1168,sysselsatte_botid,personer
2010,030101,alle,7179,sysselsatte_botid,personer
2010,030102,0_4,2144,sysselsatte_botid,personer
2010,030102,10+,2536,sysselsatte_botid,personer
2010,030102,5_9,938,sysselsatte_botid,personer
2010,030102,alle,5618,sysselsatte_botid,personer
2010,030103,0_4,2398,sysselsatte_botid,personer
2010,030103,10+,3264,sysselsatte_botid,personer
2010,030103,5_9,1079,sysselsatte_botid,personer
2010,030103,alle,6741,sysselsatte_botid,personer
2010,030104,0_4,2431,sysselsatte_botid,personer
2010,030104,10+,2955,sysselsatte_botid,personer
2010,030104,5_9,1060,sysselsatte_botid,personer
2010,030104,alle,6446,sysselsatte_botid,personer
2010,030105,0_4,2092,sysselsatte_botid,personer
2010,030105,10+,2455,sysselsatte_botid,personer
2010,030105,5_9,840,sysselsatte_botid,personer
2010,030105,alle,5387,sysselsatte_botid,personer
2010,030106,0_4,1949,sysselsatte_botid,personer
2010,030106,10+,2556,sysselsatte_botid,personer
2010,030106,5_9,882,sysselsatte_botid,personer
2010,030106,alle,5387,sysselsatte_botid,personer
2010,030107,0_4,1405,sysselsatte_botid,personer
2010,030107,10+,2229,sysselsatte_botid,personer
2010,030107,5_9,739,sysselsatte_botid,personer
2010,030107,alle,4373,sysselsatte_botid,personer
2010,030108,0_4,1973,sysselsatte_botid,personer
2010,030108,10+,2083,sysselsatte_botid,personer
2010,030108,5_9,836,sysselsatte_botid,personer
2010,030108,alle,4892,sysselsatte_botid,personer
2010,030109,0_4,1131,sysselsatte_botid,personer
2010,030109,10+,1871,sysselsatte_botid,personer
2010,030109,5_9,568,sysselsatte_botid,personer
2010,030109,alle,3570,sysselsatte_botid,personer
2010,030110,0_4,943,sysselsatte_botid,personer
2010,030110,10+,2048,sysselsatte_botid,personer
2010,030110,5_9,671,sysselsatte_botid,personer
2010,030110,alle,3662,sysselsatte_botid,personer
2010,030111,0_4,711,sysselsatte_botid,personer
2010,030111,10+,1209,sysselsatte_botid,personer
2010,030111,5_9,354,sysselsatte_botid,personer
2010,030111,alle,2274,sysselsatte_botid,personer
2010,030112,0_4,621,sysselsatte_botid,personer
2010,030112,10+,940,sysselsatte_botid,personer
2010,030112,5_9,345,sysselsatte_botid,personer
2010,030112,alle,1906,sysselsatte_botid,personer
2010,030113,0_4,586,sysselsatte_botid,personer
2010,030113,10+,1470,sysselsatte_botid,personer
2010,030113,5_9,494,sysselsatte_botid,personer
2010,030113,alle,2550,sysselsatte_botid,personer
2010,030114,0_4,349,sysselsatte_botid,personer
2010,030114,10+,1111,sysselsatte_botid,personer
2010,030114,5_9,349,sysselsatte_botid,personer
2010,030114,alle,1809,sysselsatte_botid,personer
2010,030115,0_4,289,sysselsatte_botid,personer
2010,030115,10+,1111,sysselsatte_botid,personer
2010,030115,5_9,320,sysselsatte_botid,personer
2010,030115,alle,1720,sysselsatte_botid,personer
2010,030116,0_4,173,sysselsatte_botid,personer
2010,030116,10+,836,sysselsatte_botid,personer
2010,030116,5_9,225,sysselsatte_botid,personer
2010,030116,alle,1234,sysselsatte_botid,personer
2010,030117,0_4,345,sysselsatte_botid,personer
2010,030117,10+,1355,sysselsatte_botid,personer
2010,030117,5_9,383,sysselsatte_botid,personer
2010,030117,alle,2083,sysselsatte_botid,personer
2010,030199,0_4,443,sysselsatte_botid,personer
2010,030199,10+,270,sysselsatte_botid,personer
2010,030199,5_9,107,sysselsatte_botid,personer
2010,030199,alle,820,sysselsatte_botid,personer
2011,00,0_4,122914,sysselsatte_botid,personer
2011,00,10+,127894,sysselsatte_botid,personer
2011,00,5_9,56353,sysselsatte_botid,personer
2011,00,alle,307161,sysselsatte_botid,personer
2011,030101,0_4,3637,sysselsatte_botid,personer
2011,030101,10+,3158,sysselsatte_botid,personer
2011,030101,5_9,1274,sysselsatte_botid,personer
2011,030101,alle,8069,sysselsatte_botid,personer
2011,030102,0_4,2616,sysselsatte_botid,personer
2011,030102,10+,2717,sysselsatte_botid,personer
2011,030102,5_9,1006,sysselsatte_botid,personer
2011,030102,alle,6339,sysselsatte_botid,personer
2011,030103,0_4,2750,sysselsatte_botid,personer
2011,030103,10+,3389,sysselsatte_botid,personer
2011,030103,5_9,1196,sysselsatte_botid,personer
2011,030103,alle,7335,sysselsatte_botid,personer
2011,030104,0_4,2832,sysselsatte_botid,personer
2011,030104,10+,3190,sysselsatte_botid,personer
2011,030104,5_9,1170,sysselsatte_botid,personer
2011,030104,alle,7192,sysselsatte_botid,personer
2011,030105,0_4,2498,sysselsatte_botid,personer
2011,030105,10+,2654,sysselsatte_botid,personer
2011,030105,5_9,973,sysselsatte_botid,personer
2011,030105,alle,6125,sysselsatte_botid,personer
2011,030106,0_4,2227,sysselsatte_botid,personer
2011,030106,10+,2672,sysselsatte_botid,personer
2011,030106,5_9,957,sysselsatte_botid,personer
2011,030106,alle,5856,sysselsatte_botid,personer
2011,030107,0_4,1695,sysselsatte_botid,personer
2011,030107,10+,2362,sysselsatte_botid,personer
2011,030107,5_9,790,sysselsatte_botid,personer
2011,030107,alle,4847,sysselsatte_botid,personer
2011,030108,0_4,2233,sysselsatte_botid,personer
2011,030108,10+,2162,sysselsatte_botid,personer
2011,030108,5_9,914,sysselsatte_botid,personer
2011,030108,alle,5309,sysselsatte_botid,personer
2011,030109,0_4,1315,sysselsatte_botid,personer
2011,030109,10+,1941,sysselsatte_botid,personer
2011,030109,5_9,638,sysselsatte_botid,personer
2011,030109,alle,3894,sysselsatte_botid,personer
2011,030110,0_4,1112,sysselsatte_botid,personer
2011,030110,10+,2182,sysselsatte_botid,personer
2011,030110,5_9,686,sysselsatte_botid,personer
2011,030110,alle,3980,sysselsatte_botid,personer
2011,030111,0_4,853,sysselsatte_botid,personer
2011,030111,10+,1275,sysselsatte_botid,personer
2011,030111,5_9,395,sysselsatte_botid,personer
2011,030111,alle,2523,sysselsatte_botid,personer
2011,030112,0_4,646,sysselsatte_botid,personer
2011,030112,10+,1018,sysselsatte_botid,personer
2011,030112,5_9,372,sysselsatte_botid,personer
2011,030112,alle,2036,sysselsatte_botid,personer
2011,030113,0_4,745,sysselsatte_botid,personer
2011,030113,10+,1515,sysselsatte_botid,personer
2011,030113,5_9,520,sysselsatte_botid,personer
2011,030113,alle,2780,sysselsatte_botid,personer
2011,030114,0_4,401,sysselsatte_botid,personer
2011,030114,10+,1184,sysselsatte_botid,personer
2011,030114,5_9,402,sysselsatte_botid,personer
2011,030114,alle,1987,sysselsatte_botid,personer
2011,030115,0_4,353,sysselsatte_botid,personer
2011,030115,10+,1171,sysselsatte_botid,personer
2011,030115,5_9,336,sysselsatte_botid,personer
2011,030115,alle,1860,sysselsatte_botid,personer
2011,030116,0_4,194,sysselsatte_botid,personer
2011,030116,10+,907,sysselsatte_botid,personer
2011,030116,5_9,239,sysselsatte_botid,personer
2011,030116,alle,1340,sysselsatte_botid,personer
2011,030117,0_4,379,sysselsatte_botid,personer
2011,030117,10+,1365,sysselsatte_botid,personer
2011,030117,5_9,399,sysselsatte_botid,personer
2011,030117,alle,2143,sysselsatte_botid,personer
2011,030199,0_4,102,sysselsatte_botid,personer
2011,030199,10+,179,sysselsatte_botid,personer
2011,030199,5_9,48,sysselsatte_botid,personer
2011,030199,alle,329,sysselsatte_botid,personer
2012,00,0_4,128128,sysselsatte_botid,personer
2012,00,10+,137282,sysselsatte_botid,personer
2012,00,5_9,68549,sysselsatte_botid,personer
2012,00,alle,333959,sysselsatte_botid,personer
2012,030101,0_4,3768,sysselsatte_botid,personer
2012,030101,10+,3416,sysselsatte_botid,personer
2012,030101,5_9,1555,sysselsatte_botid,personer
2012,030101,alle,8739,sysselsatte_botid,personer
2012,030102,0_4,2656,sysselsatte_botid,personer
2012,030102,10+,2861,sysselsatte_botid,personer
2012,030102,5_9,1125,sysselsatte_botid,personer
2012,030102,alle,6642,sysselsatte_botid,personer
2012,030103,0_4,2843,sysselsatte_botid,personer
2012,030103,10+,3569,sysselsatte_botid,personer
2012,030103,5_9,1383,sysselsatte_botid,personer
2012,030103,alle,7795,sysselsatte_botid,personer
2012,030104,0_4,2811,sysselsatte_botid,personer
2012,030104,10+,3234,sysselsatte_botid,personer
2012,030104,5_9,1294,sysselsatte_botid,personer
2012,030104,alle,7339,sysselsatte_botid,personer
2012,030105,0_4,2520,sysselsatte_botid,personer
2012,030105,10+,2794,sysselsatte_botid,personer
2012,030105,5_9,1171,sysselsatte_botid,personer
2012,030105,alle,6485,sysselsatte_botid,personer
2012,030106,0_4,2243,sysselsatte_botid,personer
2012,030106,10+,2773,sysselsatte_botid,personer
2012,030106,5_9,1042,sysselsatte_botid,personer
2012,030106,alle,6058,sysselsatte_botid,personer
2012,030107,0_4,1696,sysselsatte_botid,personer
2012,030107,10+,2475,sysselsatte_botid,personer
2012,030107,5_9,862,sysselsatte_botid,personer
2012,030107,alle,5033,sysselsatte_botid,personer
2012,030108,0_4,2242,sysselsatte_botid,personer
2012,030108,10+,2325,sysselsatte_botid,personer
2012,030108,5_9,990,sysselsatte_botid,personer
2012,030108,alle,5557,sysselsatte_botid,personer
2012,030109,0_4,1287,sysselsatte_botid,personer
2012,030109,10+,2118,sysselsatte_botid,personer
2012,030109,5_9,692,sysselsatte_botid,personer
2012,030109,alle,4097,sysselsatte_botid,personer
2012,030110,0_4,1149,sysselsatte_botid,personer
2012,030110,10+,2307,sysselsatte_botid,personer
2012,030110,5_9,723,sysselsatte_botid,personer
2012,030110,alle,4179,sysselsatte_botid,personer
2012,030111,0_4,729,sysselsatte_botid,personer
2012,030111,10+,1286,sysselsatte_botid,personer
2012,030111,5_9,411,sysselsatte_botid,personer
2012,030111,alle,2426,sysselsatte_botid,personer
2012,030112,0_4,573,sysselsatte_botid,personer
2012,030112,10+,1098,sysselsatte_botid,personer
2012,030112,5_9,386,sysselsatte_botid,personer
2012,030112,alle,2057,sysselsatte_botid,personer
2012,030113,0_4,719,sysselsatte_botid,personer
2012,030113,10+,1539,sysselsatte_botid,personer
2012,030113,5_9,543,sysselsatte_botid,personer
2012,030113,alle,2801,sysselsatte_botid,personer
2012,030114,0_4,369,sysselsatte_botid,personer
2012,030114,10+,1234,sysselsatte_botid,personer
2012,030114,5_9,397,sysselsatte_botid,personer
2012,030114,alle,2000,sysselsatte_botid,personer
2012,030115,0_4,338,sysselsatte_botid,personer
2012,030115,10+,1211,sysselsatte_botid,personer
2012,030115,5_9,352,sysselsatte_botid,personer
2012,030115,alle,1901,sysselsatte_botid,personer
2012,030116,0_4,191,sysselsatte_botid,personer
2012,030116,10+,931,sysselsatte_botid,personer
2012,030116,5_9,255,sysselsatte_botid,personer
2012,030116,alle,1377,sysselsatte_botid,personer
2012,030117,0_4,369,sysselsatte_botid,personer
2012,030117,10+,1441,sysselsatte_botid,personer
2012,030117,5_9,392,sysselsatte_botid,personer
2012,030117,alle,2202,sysselsatte_botid,personer
2012,030199,0_4,801,sysselsatte_botid,personer
2012,030199,10+,383,sysselsatte_botid,personer
2012,030199,5_9,228,sysselsatte_botid,personer
2012,030199,alle,1412,sysselsatte_botid,personer
2013,00,0_4,129894,sysselsatte_botid,personer
2013,00,10+,145675,sysselsatte_botid,personer
2013,00,5_9,82821,sysselsatte_botid,personer
2013,00,alle,358390,sysselsatte_botid,personer
2013,030101,0_4,3920,sysselsatte_botid,personer
2013,030101,10+,3771,sysselsatte_botid,personer
2013,030101,5_9,1887,sysselsatte_botid,personer
2013,030101,alle,9578,sysselsatte_botid,personer
2013,030102,0_4,2762,sysselsatte_botid,personer
2013,030102,10+,3042,sysselsatte_botid,personer
2013,030102,5_9,1374,sysselsatte_botid,personer
2013,030102,alle,7178,sysselsatte_botid,personer
2013,030103,0_4,2901,sysselsatte_botid,personer
2013,030103,10+,3706,sysselsatte_botid,personer
2013,030103,5_9,1602,sysselsatte_botid,personer
2013,030103,alle,8209,sysselsatte_botid,personer
2013,030104,0_4,3040,sysselsatte_botid,personer
2013,030104,10+,3354,sysselsatte_botid,personer
2013,030104,5_9,1546,sysselsatte_botid,personer
2013,030104,alle,7940,sysselsatte_botid,personer
2013,030105,0_4,2498,sysselsatte_botid,personer
2013,030105,10+,2913,sysselsatte_botid,personer
2013,030105,5_9,1382,sysselsatte_botid,personer
