aar,fylke_nr,innvgrunn_6,kjonn,tabellvariabel,tabell_navn,enhet
2006,03,uoppgitt,alle,2473,sysselsatte_innvandringsgrunn,personer
2006,03,utdanning,0,1715,sysselsatte_innvandringsgrunn,personer
2006,03,utdanning,1,1186,sysselsatte_innvandringsgrunn,personer
2006,03,utdanning,alle,2901,sysselsatte_innvandringsgrunn,personer
2006,04,alle,0,1925,sysselsatte_innvandringsgrunn,personer
2006,04,alle,1,1970,sysselsatte_innvandringsgrunn,personer
2006,04,alle,alle,3895,sysselsatte_innvandringsgrunn,personer
2006,04,annet,0,5,sysselsatte_innvandringsgrunn,personer
2006,04,annet,1,4,sysselsatte_innvandringsgrunn,personer
2006,04,annet,alle,9,sysselsatte_innvandringsgrunn,personer
2006,04,arbeid,0,403,sysselsatte_innvandringsgrunn,personer
2006,04,arbeid,1,693,sysselsatte_innvandringsgrunn,personer
2006,04,arbeid,alle,1096,sysselsatte_innvandringsgrunn,personer
2006,04,familie,0,713,sysselsatte_innvandringsgrunn,personer
2006,04,familie,1,368,sysselsatte_innvandringsgrunn,personer
2006,04,familie,alle,1081,sysselsatte_innvandringsgrunn,personer
2006,04,flukt,0,399,sysselsatte_innvandringsgrunn,personer
2006,04,flukt,1,625,sysselsatte_innvandringsgrunn,personer
2006,04,flukt,alle,1024,sysselsatte_innvandringsgrunn,personer
2006,04,uoppgitt,0,303,sysselsatte_innvandringsgrunn,personer
2006,04,uoppgitt,1,225,sysselsatte_innvandringsgrunn,personer
2006,04,uoppgitt,alle,528,sysselsatte_innvandringsgrunn,personer
2006,04,utdanning,0,102,sysselsatte_innvandringsgrunn,personer
2006,04,utdanning,1,55,sysselsatte_innvandringsgrunn,personer
2006,04,utdanning,alle,157,sysselsatte_innvandringsgrunn,personer
2006,05,alle,0,1881,sysselsatte_innvandringsgrunn,personer
2006,05,alle,1,1947,sysselsatte_innvandringsgrunn,personer
2006,05,alle,alle,3828,sysselsatte_innvandringsgrunn,personer
2006,05,annet,0,5,sysselsatte_innvandringsgrunn,personer
2006,05,annet,1,11,sysselsatte_innvandringsgrunn,personer
2006,05,annet,alle,16,sysselsatte_innvandringsgrunn,personer
2006,05,arbeid,0,426,sysselsatte_innvandringsgrunn,personer
2006,05,arbeid,1,658,sysselsatte_innvandringsgrunn,personer
2006,05,arbeid,alle,1084,sysselsatte_innvandringsgrunn,personer
2006,05,familie,0,724,sysselsatte_innvandringsgrunn,personer
2006,05,familie,1,362,sysselsatte_innvandringsgrunn,personer
2006,05,familie,alle,1086,sysselsatte_innvandringsgrunn,personer
2006,05,flukt,0,406,sysselsatte_innvandringsgrunn,personer
2006,05,flukt,1,702,sysselsatte_innvandringsgrunn,personer
2006,05,flukt,alle,1108,sysselsatte_innvandringsgrunn,personer
2006,05,uoppgitt,0,228,sysselsatte_innvandringsgrunn,personer
2006,05,uoppgitt,1,150,sysselsatte_innvandringsgrunn,personer
2006,05,uoppgitt,alle,378,sysselsatte_innvandringsgrunn,personer
2006,05,utdanning,0,92,sysselsatte_innvandringsgrunn,personer
2006,05,utdanning,1,64,sysselsatte_innvandringsgrunn,personer
2006,05,utdanning,alle,156,sysselsatte_innvandringsgrunn,personer
2006,06,alle,0,4787,sysselsatte_innvandringsgrunn,personer
2006,06,alle,1,5639,sysselsatte_innvandringsgrunn,personer
2006,06,alle,alle,10426,sysselsatte_innvandringsgrunn,personer
2006,06,annet,0,22,sysselsatte_innvandringsgrunn,personer
2006,06,annet,1,27,sysselsatte_innvandringsgrunn,personer
2006,06,annet,alle,49,sysselsatte_innvandringsgrunn,personer
2006,06,arbeid,0,917,sysselsatte_innvandringsgrunn,personer
2006,06,arbeid,1,1776,sysselsatte_innvandringsgrunn,personer
2006,06,arbeid,alle,2693,sysselsatte_innvandringsgrunn,personer
2006,06,familie,0,2166,sysselsatte_innvandringsgrunn,personer
2006,06,familie,1,1548,sysselsatte_innvandringsgrunn,personer
2006,06,familie,alle,3714,sysselsatte_innvandringsgrunn,personer
2006,06,flukt,0,1017,sysselsatte_innvandringsgrunn,personer
2006,06,flukt,1,1720,sysselsatte_innvandringsgrunn,personer
2006,06,flukt,alle,2737,sysselsatte_innvandringsgrunn,personer
2006,06,uoppgitt,0,455,sysselsatte_innvandringsgrunn,personer
2006,06,uoppgitt,1,424,sysselsatte_innvandringsgrunn,personer
2006,06,uoppgitt,alle,879,sysselsatte_innvandringsgrunn,personer
2006,06,utdanning,0,210,sysselsatte_innvandringsgrunn,personer
2006,06,utdanning,1,144,sysselsatte_innvandringsgrunn,personer
2006,06,utdanning,alle,354,sysselsatte_innvandringsgrunn,personer
2006,07,alle,0,3327,sysselsatte_innvandringsgrunn,personer
2006,07,alle,1,3668,sysselsatte_innvandringsgrunn,personer
2006,07,alle,alle,6995,sysselsatte_innvandringsgrunn,personer
2006,07,annet,0,9,sysselsatte_innvandringsgrunn,personer
2006,07,annet,1,9,sysselsatte_innvandringsgrunn,personer
2006,07,annet,alle,18,sysselsatte_innvandringsgrunn,personer
2006,07,arbeid,0,656,sysselsatte_innvandringsgrunn,personer
2006,07,arbeid,1,1251,sysselsatte_innvandringsgrunn,personer
2006,07,arbeid,alle,1907,sysselsatte_innvandringsgrunn,personer
2006,07,familie,0,1485,sysselsatte_innvandringsgrunn,personer
2006,07,familie,1,845,sysselsatte_innvandringsgrunn,personer
2006,07,familie,alle,2330,sysselsatte_innvandringsgrunn,personer
2006,07,flukt,0,686,sysselsatte_innvandringsgrunn,personer
2006,07,flukt,1,1158,sysselsatte_innvandringsgrunn,personer
2006,07,flukt,alle,1844,sysselsatte_innvandringsgrunn,personer
2006,07,uoppgitt,0,351,sysselsatte_innvandringsgrunn,personer
2006,07,uoppgitt,1,316,sysselsatte_innvandringsgrunn,personer
2006,07,uoppgitt,alle,667,sysselsatte_innvandringsgrunn,personer
2006,07,utdanning,0,140,sysselsatte_innvandringsgrunn,personer
2006,07,utdanning,1,89,sysselsatte_innvandringsgrunn,personer
2006,07,utdanning,alle,229,sysselsatte_innvandringsgrunn,personer
2006,08,alle,0,2052,sysselsatte_innvandringsgrunn,personer
2006,08,alle,1,2285,sysselsatte_innvandringsgrunn,personer
2006,08,alle,alle,4337,sysselsatte_innvandringsgrunn,personer
2006,08,annet,0,6,sysselsatte_innvandringsgrunn,personer
2006,08,annet,1,10,sysselsatte_innvandringsgrunn,personer
2006,08,annet,alle,16,sysselsatte_innvandringsgrunn,personer
2006,08,arbeid,0,341,sysselsatte_innvandringsgrunn,personer
2006,08,arbeid,1,660,sysselsatte_innvandringsgrunn,personer
2006,08,arbeid,alle,1001,sysselsatte_innvandringsgrunn,personer
2006,08,familie,0,902,sysselsatte_innvandringsgrunn,personer
2006,08,familie,1,486,sysselsatte_innvandringsgrunn,personer
2006,08,familie,alle,1388,sysselsatte_innvandringsgrunn,personer
2006,08,flukt,0,513,sysselsatte_innvandringsgrunn,personer
2006,08,flukt,1,838,sysselsatte_innvandringsgrunn,personer
2006,08,flukt,alle,1351,sysselsatte_innvandringsgrunn,personer
2006,08,uoppgitt,0,195,sysselsatte_innvandringsgrunn,personer
2006,08,uoppgitt,1,221,sysselsatte_innvandringsgrunn,personer
2006,08,uoppgitt,alle,416,sysselsatte_innvandringsgrunn,personer
2006,08,utdanning,0,95,sysselsatte_innvandringsgrunn,personer
2006,08,utdanning,1,70,sysselsatte_innvandringsgrunn,personer
2006,08,utdanning,alle,165,sysselsatte_innvandringsgrunn,personer
2006,09,alle,0,1175,sysselsatte_innvandringsgrunn,personer
2006,09,alle,1,1386,sysselsatte_innvandringsgrunn,personer
2006,09,alle,alle,2561,sysselsatte_innvandringsgrunn,personer
2006,09,annet,0,9,sysselsatte_innvandringsgrunn,personer
2006,09,annet,1,7,sysselsatte_innvandringsgrunn,personer
2006,09,annet,alle,16,sysselsatte_innvandringsgrunn,personer
2006,09,arbeid,0,222,sysselsatte_innvandringsgrunn,personer
2006,09,arbeid,1,456,sysselsatte_innvandringsgrunn,personer
2006,09,arbeid,alle,678,sysselsatte_innvandringsgrunn,personer
2006,09,familie,0,471,sysselsatte_innvandringsgrunn,personer
2006,09,familie,1,287,sysselsatte_innvandringsgrunn,personer
2006,09,familie,alle,758,sysselsatte_innvandringsgrunn,personer
2006,09,flukt,0,270,sysselsatte_innvandringsgrunn,personer
2006,09,flukt,1,465,sysselsatte_innvandringsgrunn,personer
2006,09,flukt,alle,735,sysselsatte_innvandringsgrunn,personer
2006,09,uoppgitt,0,156,sysselsatte_innvandringsgrunn,personer
2006,09,uoppgitt,1,139,sysselsatte_innvandringsgrunn,personer
2006,09,uoppgitt,alle,295,sysselsatte_innvandringsgrunn,personer
2006,09,utdanning,0,47,sysselsatte_innvandringsgrunn,personer
2006,09,utdanning,1,32,sysselsatte_innvandringsgrunn,personer
2006,09,utdanning,alle,79,sysselsatte_innvandringsgrunn,personer
2006,10,alle,0,2472,sysselsatte_innvandringsgrunn,personer
2006,10,alle,1,3022,sysselsatte_innvandringsgrunn,personer
2006,10,alle,alle,5494,sysselsatte_innvandringsgrunn,personer
2006,10,annet,0,10,sysselsatte_innvandringsgrunn,personer
2006,10,annet,1,22,sysselsatte_innvandringsgrunn,personer
2006,10,annet,alle,32,sysselsatte_innvandringsgrunn,personer
2006,10,arbeid,0,328,sysselsatte_innvandringsgrunn,personer
2006,10,arbeid,1,751,sysselsatte_innvandringsgrunn,personer
2006,10,arbeid,alle,1079,sysselsatte_innvandringsgrunn,personer
2006,10,familie,0,1006,sysselsatte_innvandringsgrunn,personer
2006,10,familie,1,679,sysselsatte_innvandringsgrunn,personer
2006,10,familie,alle,1685,sysselsatte_innvandringsgrunn,personer
2006,10,flukt,0,839,sysselsatte_innvandringsgrunn,personer
2006,10,flukt,1,1315,sysselsatte_innvandringsgrunn,personer
2006,10,flukt,alle,2154,sysselsatte_innvandringsgrunn,personer
2006,10,uoppgitt,0,214,sysselsatte_innvandringsgrunn,personer
2006,10,uoppgitt,1,192,sysselsatte_innvandringsgrunn,personer
2006,10,uoppgitt,alle,406,sysselsatte_innvandringsgrunn,personer
2006,10,utdanning,0,75,sysselsatte_innvandringsgrunn,personer
2006,10,utdanning,1,63,sysselsatte_innvandringsgrunn,personer
2006,10,utdanning,alle,138,sysselsatte_innvandringsgrunn,personer
2006,11,alle,0,6457,sysselsatte_innvandringsgrunn,personer
2006,11,alle,1,9454,sysselsatte_innvandringsgrunn,personer
2006,11,alle,alle,15911,sysselsatte_innvandringsgrunn,personer
2006,11,annet,0,22,sysselsatte_innvandringsgrunn,personer
2006,11,annet,1,28,sysselsatte_innvandringsgrunn,personer
2006,11,annet,alle,50,sysselsatte_innvandringsgrunn,personer
2006,11,arbeid,0,1241,sysselsatte_innvandringsgrunn,personer
2006,11,arbeid,1,4258,sysselsatte_innvandringsgrunn,personer
2006,11,arbeid,alle,5499,sysselsatte_innvandringsgrunn,personer
2006,11,familie,0,3217,sysselsatte_innvandringsgrunn,personer
2006,11,familie,1,1941,sysselsatte_innvandringsgrunn,personer
2006,11,familie,alle,5158,sysselsatte_innvandringsgrunn,personer
2006,11,flukt,0,1217,sysselsatte_innvandringsgrunn,personer
2006,11,flukt,1,2434,sysselsatte_innvandringsgrunn,personer
2006,11,flukt,alle,3651,sysselsatte_innvandringsgrunn,personer
2006,11,uoppgitt,0,408,sysselsatte_innvandringsgrunn,personer
2006,11,uoppgitt,1,553,sysselsatte_innvandringsgrunn,personer
2006,11,uoppgitt,alle,961,sysselsatte_innvandringsgrunn,personer
2006,11,utdanning,0,352,sysselsatte_innvandringsgrunn,personer
2006,11,utdanning,1,240,sysselsatte_innvandringsgrunn,personer
2006,11,utdanning,alle,592,sysselsatte_innvandringsgrunn,personer
2006,12,alle,0,6056,sysselsatte_innvandringsgrunn,personer
2006,12,alle,1,7811,sysselsatte_innvandringsgrunn,personer
2006,12,alle,alle,13867,sysselsatte_innvandringsgrunn,personer
2006,12,annet,0,18,sysselsatte_innvandringsgrunn,personer
2006,12,annet,1,30,sysselsatte_innvandringsgrunn,personer
2006,12,annet,alle,48,sysselsatte_innvandringsgrunn,personer
2006,12,arbeid,0,1215,sysselsatte_innvandringsgrunn,personer
2006,12,arbeid,1,3052,sysselsatte_innvandringsgrunn,personer
2006,12,arbeid,alle,4267,sysselsatte_innvandringsgrunn,personer
2006,12,familie,0,2864,sysselsatte_innvandringsgrunn,personer
2006,12,familie,1,1794,sysselsatte_innvandringsgrunn,personer
2006,12,familie,alle,4658,sysselsatte_innvandringsgrunn,personer
2006,12,flukt,0,1042,sysselsatte_innvandringsgrunn,personer
2006,12,flukt,1,2172,sysselsatte_innvandringsgrunn,personer
2006,12,flukt,alle,3214,sysselsatte_innvandringsgrunn,personer
2006,12,uoppgitt,0,347,sysselsatte_innvandringsgrunn,personer
2006,12,uoppgitt,1,348,sysselsatte_innvandringsgrunn,personer
2006,12,uoppgitt,alle,695,sysselsatte_innvandringsgrunn,personer
2006,12,utdanning,0,570,sysselsatte_innvandringsgrunn,personer
2006,12,utdanning,1,415,sysselsatte_innvandringsgrunn,personer
2006,12,utdanning,alle,985,sysselsatte_innvandringsgrunn,personer
2006,14,alle,0,1153,sysselsatte_innvandringsgrunn,personer
2006,14,alle,1,1231,sysselsatte_innvandringsgrunn,personer
2006,14,alle,alle,2384,sysselsatte_innvandringsgrunn,personer
2006,14,annet,0,6,sysselsatte_innvandringsgrunn,personer
2006,14,annet,1,7,sysselsatte_innvandringsgrunn,personer
2006,14,annet,alle,13,sysselsatte_innvandringsgrunn,personer
2006,14,arbeid,0,241,sysselsatte_innvandringsgrunn,personer
2006,14,arbeid,1,579,sysselsatte_innvandringsgrunn,personer
2006,14,arbeid,alle,820,sysselsatte_innvandringsgrunn,personer
2006,14,familie,0,636,sysselsatte_innvandringsgrunn,personer
2006,14,familie,1,228,sysselsatte_innvandringsgrunn,personer
2006,14,familie,alle,864,sysselsatte_innvandringsgrunn,personer
2006,14,flukt,0,143,sysselsatte_innvandringsgrunn,personer
2006,14,flukt,1,320,sysselsatte_innvandringsgrunn,personer
2006,14,flukt,alle,463,sysselsatte_innvandringsgrunn,personer
2006,14,uoppgitt,0,76,sysselsatte_innvandringsgrunn,personer
2006,14,uoppgitt,1,63,sysselsatte_innvandringsgrunn,personer
2006,14,uoppgitt,alle,139,sysselsatte_innvandringsgrunn,personer
2006,14,utdanning,0,51,sysselsatte_innvandringsgrunn,personer
2006,14,utdanning,1,34,sysselsatte_innvandringsgrunn,personer
2006,14,utdanning,alle,85,sysselsatte_innvandringsgrunn,personer
2006,15,alle,0,2669,sysselsatte_innvandringsgrunn,personer
2006,15,alle,1,2691,sysselsatte_innvandringsgrunn,personer
2006,15,alle,alle,5360,sysselsatte_innvandringsgrunn,personer
2006,15,annet,0,8,sysselsatte_innvandringsgrunn,personer
2006,15,annet,1,8,sysselsatte_innvandringsgrunn,personer
2006,15,annet,alle,16,sysselsatte_innvandringsgrunn,personer
2006,15,arbeid,0,497,sysselsatte_innvandringsgrunn,personer
2006,15,arbeid,1,1176,sysselsatte_innvandringsgrunn,personer
2006,15,arbeid,alle,1673,sysselsatte_innvandringsgrunn,personer
2006,15,familie,0,1535,sysselsatte_innvandringsgrunn,personer
2006,15,familie,1,523,sysselsatte_innvandringsgrunn,personer
2006,15,familie,alle,2058,sysselsatte_innvandringsgrunn,personer
2006,15,flukt,0,349,sysselsatte_innvandringsgrunn,personer
2006,15,flukt,1,740,sysselsatte_innvandringsgrunn,personer
2006,15,flukt,alle,1089,sysselsatte_innvandringsgrunn,personer
2006,15,uoppgitt,0,137,sysselsatte_innvandringsgrunn,personer
2006,15,uoppgitt,1,159,sysselsatte_innvandringsgrunn,personer
2006,15,uoppgitt,alle,296,sysselsatte_innvandringsgrunn,personer
2006,15,utdanning,0,143,sysselsatte_innvandringsgrunn,personer
2006,15,utdanning,1,85,sysselsatte_innvandringsgrunn,personer
2006,15,utdanning,alle,228,sysselsatte_innvandringsgrunn,personer
2006,16,alle,0,3459,sysselsatte_innvandringsgrunn,personer
2006,16,alle,1,4076,sysselsatte_innvandringsgrunn,personer
2006,16,alle,alle,7535,sysselsatte_innvandringsgrunn,personer
2006,16,annet,0,10,sysselsatte_innvandringsgrunn,personer
2006,16,annet,1,12,sysselsatte_innvandringsgrunn,personer
2006,16,annet,alle,22,sysselsatte_innvandringsgrunn,personer
2006,16,arbeid,0,746,sysselsatte_innvandringsgrunn,personer
2006,16,arbeid,1,1660,sysselsatte_innvandringsgrunn,personer
2006,16,arbeid,alle,2406,sysselsatte_innvandringsgrunn,personer
2006,16,familie,0,1538,sysselsatte_innvandringsgrunn,personer
2006,16,familie,1,799,sysselsatte_innvandringsgrunn,personer
2006,16,familie,alle,2337,sysselsatte_innvandringsgrunn,personer
2006,16,flukt,0,646,sysselsatte_innvandringsgrunn,personer
2006,16,flukt,1,1105,sysselsatte_innvandringsgrunn,personer
2006,16,flukt,alle,1751,sysselsatte_innvandringsgrunn,personer
2006,16,uoppgitt,0,244,sysselsatte_innvandringsgrunn,personer
2006,16,uoppgitt,1,179,sysselsatte_innvandringsgrunn,personer
2006,16,uoppgitt,alle,423,sysselsatte_innvandringsgrunn,personer
2006,16,utdanning,0,275,sysselsatte_innvandringsgrunn,personer
2006,16,utdanning,1,321,sysselsatte_innvandringsgrunn,personer
2006,16,utdanning,alle,596,sysselsatte_innvandringsgrunn,personer
2006,17,alle,0,849,sysselsatte_innvandringsgrunn,personer
2006,17,alle,1,910,sysselsatte_innvandringsgrunn,personer
2006,17,alle,alle,1759,sysselsatte_innvandringsgrunn,personer
2006,17,annet,0,0,sysselsatte_innvandringsgrunn,personer
2006,17,annet,1,5,sysselsatte_innvandringsgrunn,personer
2006,17,annet,alle,7,sysselsatte_innvandringsgrunn,personer
2006,17,arbeid,0,170,sysselsatte_innvandringsgrunn,personer
2006,17,arbeid,1,368,sysselsatte_innvandringsgrunn,personer
2006,17,arbeid,alle,538,sysselsatte_innvandringsgrunn,personer
2006,17,familie,0,446,sysselsatte_innvandringsgrunn,personer
2006,17,familie,1,187,sysselsatte_innvandringsgrunn,personer
2006,17,familie,alle,633,sysselsatte_innvandringsgrunn,personer
2006,17,flukt,0,98,sysselsatte_innvandringsgrunn,personer
2006,17,flukt,1,240,sysselsatte_innvandringsgrunn,personer
2006,17,flukt,alle,338,sysselsatte_innvandringsgrunn,personer
2006,17,uoppgitt,0,91,sysselsatte_innvandringsgrunn,personer
2006,17,uoppgitt,1,90,sysselsatte_innvandringsgrunn,personer
2006,17,uoppgitt,alle,181,sysselsatte_innvandringsgrunn,personer
2006,17,utdanning,0,42,sysselsatte_innvandringsgrunn,personer
2006,17,utdanning,1,20,sysselsatte_innvandringsgrunn,personer
2006,17,utdanning,alle,62,sysselsatte_innvandringsgrunn,personer
2006,18,alle,0,2120,sysselsatte_innvandringsgrunn,personer
2006,18,alle,1,1889,sysselsatte_innvandringsgrunn,personer
2006,18,alle,alle,4009,sysselsatte_innvandringsgrunn,personer
2006,18,annet,0,9,sysselsatte_innvandringsgrunn,personer
2006,18,annet,1,4,sysselsatte_innvandringsgrunn,personer
2006,18,annet,alle,13,sysselsatte_innvandringsgrunn,personer
2006,18,arbeid,0,498,sysselsatte_innvandringsgrunn,personer
2006,18,arbeid,1,603,sysselsatte_innvandringsgrunn,personer
2006,18,arbeid,alle,1101,sysselsatte_innvandringsgrunn,personer
2006,18,familie,0,1061,sysselsatte_innvandringsgrunn,personer
2006,18,familie,1,416,sysselsatte_innvandringsgrunn,personer
2006,18,familie,alle,1477,sysselsatte_innvandringsgrunn,personer
2006,18,flukt,0,216,sysselsatte_innvandringsgrunn,personer
2006,18,flukt,1,607,sysselsatte_innvandringsgrunn,personer
2006,18,flukt,alle,823,sysselsatte_innvandringsgrunn,personer
2006,18,uoppgitt,0,201,sysselsatte_innvandringsgrunn,personer
2006,18,uoppgitt,1,175,sysselsatte_innvandringsgrunn,personer
2006,18,uoppgitt,alle,376,sysselsatte_innvandringsgrunn,personer
2006,18,utdanning,0,135,sysselsatte_innvandringsgrunn,personer
2006,18,utdanning,1,84,sysselsatte_innvandringsgrunn,personer
2006,18,utdanning,alle,219,sysselsatte_innvandringsgrunn,personer
2006,19,alle,0,2061,sysselsatte_innvandringsgrunn,personer
2006,19,alle,1,1980,sysselsatte_innvandringsgrunn,personer
2006,19,alle,alle,4041,sysselsatte_innvandringsgrunn,personer
2006,19,annet,0,6,sysselsatte_innvandringsgrunn,personer
2006,19,annet,1,9,sysselsatte_innvandringsgrunn,personer
2006,19,annet,alle,15,sysselsatte_innvandringsgrunn,personer
2006,19,arbeid,0,642,sysselsatte_innvandringsgrunn,personer
2006,19,arbeid,1,865,sysselsatte_innvandringsgrunn,personer
2006,19,arbeid,alle,1507,sysselsatte_innvandringsgrunn,personer
2006,19,familie,0,845,sysselsatte_innvandringsgrunn,personer
2006,19,familie,1,408,sysselsatte_innvandringsgrunn,personer
2006,19,familie,alle,1253,sysselsatte_innvandringsgrunn,personer
2006,19,flukt,0,178,sysselsatte_innvandringsgrunn,personer
2006,19,flukt,1,416,sysselsatte_innvandringsgrunn,personer
2006,19,flukt,alle,594,sysselsatte_innvandringsgrunn,personer
2006,19,uoppgitt,0,201,sysselsatte_innvandringsgrunn,personer
2006,19,uoppgitt,1,136,sysselsatte_innvandringsgrunn,personer
2006,19,uoppgitt,alle,337,sysselsatte_innvandringsgrunn,personer
2006,19,utdanning,0,189,sysselsatte_innvandringsgrunn,personer
2006,19,utdanning,1,146,sysselsatte_innvandringsgrunn,personer
2006,19,utdanning,alle,335,sysselsatte_innvandringsgrunn,personer
2006,20,alle,0,1457,sysselsatte_innvandringsgrunn,personer
2006,20,alle,1,970,sysselsatte_innvandringsgrunn,personer
2006,20,alle,alle,2427,sysselsatte_innvandringsgrunn,personer
2006,20,annet,0,5,sysselsatte_innvandringsgrunn,personer
2006,20,annet,1,5,sysselsatte_innvandringsgrunn,personer
2006,20,annet,alle,10,sysselsatte_innvandringsgrunn,personer
2006,20,arbeid,0,361,sysselsatte_innvandringsgrunn,personer
2006,20,arbeid,1,352,sysselsatte_innvandringsgrunn,personer
2006,20,arbeid,alle,713,sysselsatte_innvandringsgrunn,personer
2006,20,familie,0,680,sysselsatte_innvandringsgrunn,personer
