kommune_nr,botid_5,aar,tabellvariabel,tabellnavn,enhet
0137,alle,2006,228,sysselsatte_botid,personer
0138,0_4,2006,32,sysselsatte_botid,personer
0138,10+,2006,239,sysselsatte_botid,personer
0138,5_9,2006,32,sysselsatte_botid,personer
0138,alle,2006,303,sysselsatte_botid,personer
0211,0_4,2006,112,sysselsatte_botid,personer
0211,10+,2006,780,sysselsatte_botid,personer
0211,5_9,2006,127,sysselsatte_botid,personer
0211,alle,2006,1019,sysselsatte_botid,personer
0213,0_4,2006,228,sysselsatte_botid,personer
0213,10+,2006,1697,sysselsatte_botid,personer
0213,5_9,2006,277,sysselsatte_botid,personer
0213,alle,2006,2202,sysselsatte_botid,personer
0214,0_4,2006,263,sysselsatte_botid,personer
0214,10+,2006,962,sysselsatte_botid,personer
0214,5_9,2006,178,sysselsatte_botid,personer
0214,alle,2006,1403,sysselsatte_botid,personer
0215,0_4,2006,109,sysselsatte_botid,personer
0215,10+,2006,799,sysselsatte_botid,personer
0215,5_9,2006,95,sysselsatte_botid,personer
0215,alle,2006,1003,sysselsatte_botid,personer
0216,0_4,2006,154,sysselsatte_botid,personer
0216,10+,2006,1282,sysselsatte_botid,personer
0216,5_9,2006,135,sysselsatte_botid,personer
0216,alle,2006,1571,sysselsatte_botid,personer
0217,0_4,2006,179,sysselsatte_botid,personer
0217,10+,2006,1689,sysselsatte_botid,personer
0217,5_9,2006,185,sysselsatte_botid,personer
0217,alle,2006,2053,sysselsatte_botid,personer
0219,0_4,2006,1662,sysselsatte_botid,personer
0219,10+,2006,8435,sysselsatte_botid,personer
0219,5_9,2006,1306,sysselsatte_botid,personer
0219,alle,2006,11403,sysselsatte_botid,personer
0220,0_4,2006,772,sysselsatte_botid,personer
0220,10+,2006,3949,sysselsatte_botid,personer
0220,5_9,2006,541,sysselsatte_botid,personer
0220,alle,2006,5262,sysselsatte_botid,personer
0221,0_4,2006,85,sysselsatte_botid,personer
0221,10+,2006,384,sysselsatte_botid,personer
0221,5_9,2006,59,sysselsatte_botid,personer
0221,alle,2006,528,sysselsatte_botid,personer
0226,0_4,2006,109,sysselsatte_botid,personer
0226,10+,2006,577,sysselsatte_botid,personer
0226,5_9,2006,126,sysselsatte_botid,personer
0226,alle,2006,812,sysselsatte_botid,personer
0227,0_4,2006,78,sysselsatte_botid,personer
0227,10+,2006,427,sysselsatte_botid,personer
0227,5_9,2006,79,sysselsatte_botid,personer
0227,alle,2006,584,sysselsatte_botid,personer
0228,0_4,2006,152,sysselsatte_botid,personer
0228,10+,2006,1047,sysselsatte_botid,personer
0228,5_9,2006,155,sysselsatte_botid,personer
0228,alle,2006,1354,sysselsatte_botid,personer
0229,0_4,2006,78,sysselsatte_botid,personer
0229,10+,2006,493,sysselsatte_botid,personer
0229,5_9,2006,59,sysselsatte_botid,personer
0229,alle,2006,630,sysselsatte_botid,personer
0230,0_4,2006,367,sysselsatte_botid,personer
0230,10+,2006,2415,sysselsatte_botid,personer
0230,5_9,2006,380,sysselsatte_botid,personer
0230,alle,2006,3162,sysselsatte_botid,personer
0231,0_4,2006,493,sysselsatte_botid,personer
0231,10+,2006,2923,sysselsatte_botid,personer
0231,5_9,2006,532,sysselsatte_botid,personer
0231,alle,2006,3948,sysselsatte_botid,personer
0233,0_4,2006,154,sysselsatte_botid,personer
0233,10+,2006,1148,sysselsatte_botid,personer
0233,5_9,2006,139,sysselsatte_botid,personer
0233,alle,2006,1441,sysselsatte_botid,personer
0234,0_4,2006,46,sysselsatte_botid,personer
0234,10+,2006,221,sysselsatte_botid,personer
0234,5_9,2006,34,sysselsatte_botid,personer
0234,alle,2006,301,sysselsatte_botid,personer
0235,0_4,2006,314,sysselsatte_botid,personer
0235,10+,2006,1320,sysselsatte_botid,personer
0235,5_9,2006,300,sysselsatte_botid,personer
0235,alle,2006,1934,sysselsatte_botid,personer
0236,0_4,2006,83,sysselsatte_botid,personer
0236,10+,2006,623,sysselsatte_botid,personer
0236,5_9,2006,89,sysselsatte_botid,personer
0236,alle,2006,795,sysselsatte_botid,personer
0237,0_4,2006,125,sysselsatte_botid,personer
0237,10+,2006,621,sysselsatte_botid,personer
0237,5_9,2006,123,sysselsatte_botid,personer
0237,alle,2006,869,sysselsatte_botid,personer
0238,0_4,2006,98,sysselsatte_botid,personer
0238,10+,2006,408,sysselsatte_botid,personer
0238,5_9,2006,80,sysselsatte_botid,personer
0238,alle,2006,586,sysselsatte_botid,personer
0239,0_4,2006,11,sysselsatte_botid,personer
0239,10+,2006,75,sysselsatte_botid,personer
0239,5_9,2006,10,sysselsatte_botid,personer
0239,alle,2006,96,sysselsatte_botid,personer
0301,0_4,2006,13153,sysselsatte_botid,personer
0301,10+,2006,55216,sysselsatte_botid,personer
0301,5_9,2006,10554,sysselsatte_botid,personer
0301,alle,2006,78923,sysselsatte_botid,personer
0402,0_4,2006,101,sysselsatte_botid,personer
0402,10+,2006,687,sysselsatte_botid,personer
0402,5_9,2006,111,sysselsatte_botid,personer
0402,alle,2006,899,sysselsatte_botid,personer
0403,0_4,2006,258,sysselsatte_botid,personer
0403,10+,2006,966,sysselsatte_botid,personer
0403,5_9,2006,147,sysselsatte_botid,personer
0403,alle,2006,1371,sysselsatte_botid,personer
0412,0_4,2006,163,sysselsatte_botid,personer
0412,10+,2006,707,sysselsatte_botid,personer
0412,5_9,2006,99,sysselsatte_botid,personer
0412,alle,2006,969,sysselsatte_botid,personer
0415,0_4,2006,19,sysselsatte_botid,personer
0415,10+,2006,141,sysselsatte_botid,personer
0415,5_9,2006,24,sysselsatte_botid,personer
0415,alle,2006,184,sysselsatte_botid,personer
0417,0_4,2006,78,sysselsatte_botid,personer
0417,10+,2006,466,sysselsatte_botid,personer
0417,5_9,2006,79,sysselsatte_botid,personer
0417,alle,2006,623,sysselsatte_botid,personer
0418,0_4,2006,9,sysselsatte_botid,personer
0418,10+,2006,72,sysselsatte_botid,personer
0418,5_9,2006,11,sysselsatte_botid,personer
0418,alle,2006,92,sysselsatte_botid,personer
0419,0_4,2006,31,sysselsatte_botid,personer
0419,10+,2006,158,sysselsatte_botid,personer
0419,5_9,2006,25,sysselsatte_botid,personer
0419,alle,2006,214,sysselsatte_botid,personer
0420,0_4,2006,21,sysselsatte_botid,personer
0420,10+,2006,233,sysselsatte_botid,personer
0420,5_9,2006,23,sysselsatte_botid,personer
0420,alle,2006,277,sysselsatte_botid,personer
0423,0_4,2006,23,sysselsatte_botid,personer
0423,10+,2006,133,sysselsatte_botid,personer
0423,5_9,2006,36,sysselsatte_botid,personer
0423,alle,2006,192,sysselsatte_botid,personer
0425,0_4,2006,18,sysselsatte_botid,personer
0425,10+,2006,189,sysselsatte_botid,personer
0425,5_9,2006,15,sysselsatte_botid,personer
0425,alle,2006,222,sysselsatte_botid,personer
0426,0_4,2006,13,sysselsatte_botid,personer
0426,10+,2006,74,sysselsatte_botid,personer
0426,5_9,2006,10,sysselsatte_botid,personer
0426,alle,2006,97,sysselsatte_botid,personer
0427,0_4,2006,92,sysselsatte_botid,personer
0427,10+,2006,527,sysselsatte_botid,personer
0427,5_9,2006,82,sysselsatte_botid,personer
0427,alle,2006,701,sysselsatte_botid,personer
0428,0_4,2006,42,sysselsatte_botid,personer
0428,10+,2006,227,sysselsatte_botid,personer
0428,5_9,2006,45,sysselsatte_botid,personer
0428,alle,2006,314,sysselsatte_botid,personer
0429,0_4,2006,19,sysselsatte_botid,personer
0429,10+,2006,115,sysselsatte_botid,personer
0429,5_9,2006,25,sysselsatte_botid,personer
0429,alle,2006,159,sysselsatte_botid,personer
0430,0_4,2006,14,sysselsatte_botid,personer
0430,10+,2006,54,sysselsatte_botid,personer
0430,5_9,2006,11,sysselsatte_botid,personer
0430,alle,2006,79,sysselsatte_botid,personer
0432,0_4,2006,9,sysselsatte_botid,personer
0432,10+,2006,33,sysselsatte_botid,personer
0432,alle,2006,44,sysselsatte_botid,personer
0434,0_4,2006,4,sysselsatte_botid,personer
0434,10+,2006,73,sysselsatte_botid,personer
0434,5_9,2006,4,sysselsatte_botid,personer
0434,alle,2006,81,sysselsatte_botid,personer
0436,0_4,2006,3,sysselsatte_botid,personer
0436,10+,2006,41,sysselsatte_botid,personer
0436,5_9,2006,8,sysselsatte_botid,personer
0436,alle,2006,52,sysselsatte_botid,personer
0437,0_4,2006,47,sysselsatte_botid,personer
0437,10+,2006,119,sysselsatte_botid,personer
0437,5_9,2006,33,sysselsatte_botid,personer
0437,alle,2006,199,sysselsatte_botid,personer
0438,0_4,2006,11,sysselsatte_botid,personer
0438,10+,2006,32,sysselsatte_botid,personer
0438,5_9,2006,24,sysselsatte_botid,personer
0438,alle,2006,67,sysselsatte_botid,personer
0439,0_4,2006,7,sysselsatte_botid,personer
0439,10+,2006,21,sysselsatte_botid,personer
0439,5_9,2006,9,sysselsatte_botid,personer
0439,alle,2006,37,sysselsatte_botid,personer
0441,0_4,2006,15,sysselsatte_botid,personer
0441,10+,2006,35,sysselsatte_botid,personer
0441,5_9,2006,21,sysselsatte_botid,personer
0441,alle,2006,71,sysselsatte_botid,personer
0501,0_4,2006,240,sysselsatte_botid,personer
0501,10+,2006,1002,sysselsatte_botid,personer
0501,5_9,2006,142,sysselsatte_botid,personer
0501,alle,2006,1384,sysselsatte_botid,personer
0502,0_4,2006,179,sysselsatte_botid,personer
0502,10+,2006,875,sysselsatte_botid,personer
0502,5_9,2006,198,sysselsatte_botid,personer
0502,alle,2006,1252,sysselsatte_botid,personer
0511,0_4,2006,21,sysselsatte_botid,personer
0511,10+,2006,47,sysselsatte_botid,personer
0511,5_9,2006,5,sysselsatte_botid,personer
0511,alle,2006,73,sysselsatte_botid,personer
0512,0_4,2006,26,sysselsatte_botid,personer
0512,10+,2006,23,sysselsatte_botid,personer
0512,5_9,2006,7,sysselsatte_botid,personer
0512,alle,2006,56,sysselsatte_botid,personer
0513,0_4,2006,15,sysselsatte_botid,personer
0513,10+,2006,30,sysselsatte_botid,personer
0513,5_9,2006,6,sysselsatte_botid,personer
0513,alle,2006,51,sysselsatte_botid,personer
0514,0_4,2006,18,sysselsatte_botid,personer
0514,10+,2006,17,sysselsatte_botid,personer
0514,5_9,2006,6,sysselsatte_botid,personer
0514,alle,2006,41,sysselsatte_botid,personer
0515,0_4,2006,19,sysselsatte_botid,personer
0515,10+,2006,33,sysselsatte_botid,personer
0515,5_9,2006,4,sysselsatte_botid,personer
0515,alle,2006,56,sysselsatte_botid,personer
0516,0_4,2006,31,sysselsatte_botid,personer
0516,10+,2006,71,sysselsatte_botid,personer
0516,5_9,2006,5,sysselsatte_botid,personer
0516,alle,2006,107,sysselsatte_botid,personer
0517,0_4,2006,27,sysselsatte_botid,personer
0517,10+,2006,88,sysselsatte_botid,personer
0517,5_9,2006,11,sysselsatte_botid,personer
0517,alle,2006,126,sysselsatte_botid,personer
0519,0_4,2006,15,sysselsatte_botid,personer
0519,10+,2006,65,sysselsatte_botid,personer
0519,5_9,2006,7,sysselsatte_botid,personer
0519,alle,2006,87,sysselsatte_botid,personer
0520,0_4,2006,50,sysselsatte_botid,personer
0520,10+,2006,64,sysselsatte_botid,personer
0520,5_9,2006,11,sysselsatte_botid,personer
0520,alle,2006,125,sysselsatte_botid,personer
0521,0_4,2006,35,sysselsatte_botid,personer
0521,10+,2006,111,sysselsatte_botid,personer
0521,5_9,2006,25,sysselsatte_botid,personer
0521,alle,2006,171,sysselsatte_botid,personer
0522,0_4,2006,36,sysselsatte_botid,personer
0522,10+,2006,93,sysselsatte_botid,personer
0522,5_9,2006,17,sysselsatte_botid,personer
0522,alle,2006,146,sysselsatte_botid,personer
0528,0_4,2006,64,sysselsatte_botid,personer
0528,10+,2006,316,sysselsatte_botid,personer
0528,5_9,2006,54,sysselsatte_botid,personer
0528,alle,2006,434,sysselsatte_botid,personer
0529,0_4,2006,28,sysselsatte_botid,personer
0529,10+,2006,219,sysselsatte_botid,personer
0529,5_9,2006,60,sysselsatte_botid,personer
0529,alle,2006,307,sysselsatte_botid,personer
0532,0_4,2006,32,sysselsatte_botid,personer
0532,10+,2006,203,sysselsatte_botid,personer
0532,5_9,2006,31,sysselsatte_botid,personer
0532,alle,2006,266,sysselsatte_botid,personer
0533,0_4,2006,38,sysselsatte_botid,personer
0533,10+,2006,257,sysselsatte_botid,personer
0533,5_9,2006,34,sysselsatte_botid,personer
0533,alle,2006,329,sysselsatte_botid,personer
0534,0_4,2006,74,sysselsatte_botid,personer
0534,10+,2006,340,sysselsatte_botid,personer
0534,5_9,2006,41,sysselsatte_botid,personer
0534,alle,2006,455,sysselsatte_botid,personer
0536,0_4,2006,47,sysselsatte_botid,personer
0536,10+,2006,98,sysselsatte_botid,personer
0536,5_9,2006,23,sysselsatte_botid,personer
0536,alle,2006,168,sysselsatte_botid,personer
0538,0_4,2006,24,sysselsatte_botid,personer
0538,10+,2006,84,sysselsatte_botid,personer
0538,5_9,2006,12,sysselsatte_botid,personer
0538,alle,2006,120,sysselsatte_botid,personer
0540,0_4,2006,18,sysselsatte_botid,personer
0540,10+,2006,49,sysselsatte_botid,personer
0540,5_9,2006,8,sysselsatte_botid,personer
0540,alle,2006,75,sysselsatte_botid,personer
0541,0_4,2006,4,sysselsatte_botid,personer
0541,10+,2006,14,sysselsatte_botid,personer
0541,5_9,2006,7,sysselsatte_botid,personer
0541,alle,2006,25,sysselsatte_botid,personer
0542,0_4,2006,61,sysselsatte_botid,personer
0542,10+,2006,138,sysselsatte_botid,personer
0542,5_9,2006,41,sysselsatte_botid,personer
0542,alle,2006,240,sysselsatte_botid,personer
0543,0_4,2006,19,sysselsatte_botid,personer
0543,10+,2006,24,sysselsatte_botid,personer
0543,5_9,2006,11,sysselsatte_botid,personer
0543,alle,2006,54,sysselsatte_botid,personer
0544,0_4,2006,28,sysselsatte_botid,personer
0544,10+,2006,79,sysselsatte_botid,personer
0544,5_9,2006,8,sysselsatte_botid,personer
0544,alle,2006,115,sysselsatte_botid,personer
0545,0_4,2006,19,sysselsatte_botid,personer
0545,10+,2006,40,sysselsatte_botid,personer
0545,5_9,2006,7,sysselsatte_botid,personer
0545,alle,2006,66,sysselsatte_botid,personer
0602,0_4,2006,739,sysselsatte_botid,personer
0602,10+,2006,4317,sysselsatte_botid,personer
0602,5_9,2006,870,sysselsatte_botid,personer
0602,alle,2006,5926,sysselsatte_botid,personer
0604,0_4,2006,259,sysselsatte_botid,personer
0604,10+,2006,1022,sysselsatte_botid,personer
0604,5_9,2006,178,sysselsatte_botid,personer
0604,alle,2006,1459,sysselsatte_botid,personer
0605,0_4,2006,253,sysselsatte_botid,personer
0605,10+,2006,973,sysselsatte_botid,personer
0605,5_9,2006,193,sysselsatte_botid,personer
0605,alle,2006,1419,sysselsatte_botid,personer
0612,0_4,2006,63,sysselsatte_botid,personer
0612,10+,2006,262,sysselsatte_botid,personer
0612,5_9,2006,31,sysselsatte_botid,personer
0612,alle,2006,356,sysselsatte_botid,personer
0615,0_4,2006,12,sysselsatte_botid,personer
0615,10+,2006,18,sysselsatte_botid,personer
0615,5_9,2006,10,sysselsatte_botid,personer
0615,alle,2006,40,sysselsatte_botid,personer
0616,0_4,2006,23,sysselsatte_botid,personer
0616,10+,2006,138,sysselsatte_botid,personer
0616,5_9,2006,22,sysselsatte_botid,personer
0616,alle,2006,183,sysselsatte_botid,personer
0617,0_4,2006,63,sysselsatte_botid,personer
0617,10+,2006,129,sysselsatte_botid,personer
0617,5_9,2006,56,sysselsatte_botid,personer
0617,alle,2006,248,sysselsatte_botid,personer
0618,0_4,2006,68,sysselsatte_botid,personer
0618,10+,2006,81,sysselsatte_botid,personer
0618,5_9,2006,23,sysselsatte_botid,personer
0618,alle,2006,172,sysselsatte_botid,personer
0619,0_4,2006,44,sysselsatte_botid,personer
0619,10+,2006,106,sysselsatte_botid,personer
0619,5_9,2006,25,sysselsatte_botid,personer
0619,alle,2006,175,sysselsatte_botid,personer
0620,0_4,2006,118,sysselsatte_botid,personer
0620,10+,2006,177,sysselsatte_botid,personer
0620,5_9,2006,51,sysselsatte_botid,personer
0620,alle,2006,346,sysselsatte_botid,personer
0621,0_4,2006,14,sysselsatte_botid,personer
0621,10+,2006,37,sysselsatte_botid,personer
0621,5_9,2006,8,sysselsatte_botid,personer
0621,alle,2006,59,sysselsatte_botid,personer
0622,0_4,2006,18,sysselsatte_botid,personer
0622,10+,2006,51,sysselsatte_botid,personer
0622,5_9,2006,8,sysselsatte_botid,personer
0622,alle,2006,77,sysselsatte_botid,personer
0623,0_4,2006,72,sysselsatte_botid,personer
0623,10+,2006,352,sysselsatte_botid,personer
0623,5_9,2006,60,sysselsatte_botid,personer
0623,alle,2006,484,sysselsatte_botid,personer
0624,0_4,2006,129,sysselsatte_botid,personer
0624,10+,2006,510,sysselsatte_botid,personer
0624,5_9,2006,79,sysselsatte_botid,personer
0624,alle,2006,718,sysselsatte_botid,personer
0625,0_4,2006,188,sysselsatte_botid,personer
0625,10+,2006,1217,sysselsatte_botid,personer
0625,5_9,2006,172,sysselsatte_botid,personer
0625,alle,2006,1577,sysselsatte_botid,personer
0626,0_4,2006,268,sysselsatte_botid,personer
0626,10+,2006,1226,sysselsatte_botid,personer
0626,5_9,2006,232,sysselsatte_botid,personer
0626,alle,2006,1726,sysselsatte_botid,personer
0627,0_4,2006,167,sysselsatte_botid,personer
0627,10+,2006,1005,sysselsatte_botid,personer
0627,5_9,2006,124,sysselsatte_botid,personer
0627,alle,2006,1296,sysselsatte_botid,personer
0628,0_4,2006,81,sysselsatte_botid,personer
0628,10+,2006,415,sysselsatte_botid,personer
0628,5_9,2006,50,sysselsatte_botid,personer
0628,alle,2006,546,sysselsatte_botid,personer
0631,0_4,2006,11,sysselsatte_botid,personer
0631,10+,2006,55,sysselsatte_botid,personer
0631,5_9,2006,11,sysselsatte_botid,personer
0631,alle,2006,77,sysselsatte_botid,personer
0632,10+,2006,43,sysselsatte_botid,personer
0632,5_9,2006,5,sysselsatte_botid,personer
0632,alle,2006,50,sysselsatte_botid,personer
0633,0_4,2006,12,sysselsatte_botid,personer
0633,10+,2006,44,sysselsatte_botid,personer
0633,5_9,2006,7,sysselsatte_botid,personer
0633,alle,2006,63,sysselsatte_botid,personer
0701,0_4,2006,168,sysselsatte_botid,personer
0701,10+,2006,1204,sysselsatte_botid,personer
0701,5_9,2006,172,sysselsatte_botid,personer
0701,alle,2006,1544,sysselsatte_botid,personer
0702,0_4,2006,56,sysselsatte_botid,personer
0702,10+,2006,407,sysselsatte_botid,personer
0702,5_9,2006,47,sysselsatte_botid,personer
0702,alle,2006,510,sysselsatte_botid,personer
0704,0_4,2006,438,sysselsatte_botid,personer
0704,10+,2006,1895,sysselsatte_botid,personer
0704,5_9,2006,270,sysselsatte_botid,personer
0704,alle,2006,2603,sysselsatte_botid,personer
0706,0_4,2006,347,sysselsatte_botid,personer
0706,10+,2006,2111,sysselsatte_botid,personer
0706,5_9,2006,299,sysselsatte_botid,personer
0706,alle,2006,2757,sysselsatte_botid,personer
0709,0_4,2006,335,sysselsatte_botid,personer
0709,10+,2006,1670,sysselsatte_botid,personer
0709,5_9,2006,257,sysselsatte_botid,personer
0709,alle,2006,2262,sysselsatte_botid,personer
0711,0_4,2006,36,sysselsatte_botid,personer
0711,10+,2006,289,sysselsatte_botid,personer
0711,5_9,2006,26,sysselsatte_botid,personer
0711,alle,2006,351,sysselsatte_botid,personer
0713,0_4,2006,52,sysselsatte_botid,personer
0713,10+,2006,293,sysselsatte_botid,personer
0713,5_9,2006,38,sysselsatte_botid,personer
0713,alle,2006,383,sysselsatte_botid,personer
0714,0_4,2006,11,sysselsatte_botid,personer
0714,10+,2006,95,sysselsatte_botid,personer
0714,5_9,2006,14,sysselsatte_botid,personer
0714,alle,2006,120,sysselsatte_botid,personer
0716,0_4,2006,42,sysselsatte_botid,personer
0716,10+,2006,278,sysselsatte_botid,personer
0716,5_9,2006,43,sysselsatte_botid,personer
0716,alle,2006,363,sysselsatte_botid,personer
0719,0_4,2006,29,sysselsatte_botid,personer
0719,10+,2006,155,sysselsatte_botid,personer
0719,5_9,2006,28,sysselsatte_botid,personer
0719,alle,2006,212,sysselsatte_botid,personer
0720,0_4,2006,103,sysselsatte_botid,personer
0720,10+,2006,425,sysselsatte_botid,personer
0720,5_9,2006,45,sysselsatte_botid,personer
0720,alle,2006,573,sysselsatte_botid,personer
0722,0_4,2006,132,sysselsatte_botid,personer
0722,10+,2006,1027,sysselsatte_botid,personer
0722,5_9,2006,124,sysselsatte_botid,personer
0722,alle,2006,1283,sysselsatte_botid,personer
0723,0_4,2006,40,sysselsatte_botid,personer
0723,10+,2006,213,sysselsatte_botid,personer
0723,5_9,2006,16,sysselsatte_botid,personer
0723,alle,2006,269,sysselsatte_botid,personer
0728,0_4,2006,18,sysselsatte_botid,personer
0728,10+,2006,58,sysselsatte_botid,personer
0728,5_9,2006,11,sysselsatte_botid,personer
0728,alle,2006,87,sysselsatte_botid,personer
0805,0_4,2006,196,sysselsatte_botid,personer
0805,10+,2006,1378,sysselsatte_botid,personer
0805,5_9,2006,219,sysselsatte_botid,personer
0805,alle,2006,1793,sysselsatte_botid,personer
0806,0_4,2006,327,sysselsatte_botid,personer
0806,10+,2006,2131,sysselsatte_botid,personer
0806,5_9,2006,341,sysselsatte_botid,personer
0806,alle,2006,2799,sysselsatte_botid,personer
0807,0_4,2006,103,sysselsatte_botid,personer
0807,10+,2006,307,sysselsatte_botid,personer
0807,5_9,2006,53,sysselsatte_botid,personer
0807,alle,2006,463,sysselsatte_botid,personer
0811,0_4,2006,6,sysselsatte_botid,personer
0811,10+,2006,65,sysselsatte_botid,personer
0811,5_9,2006,13,sysselsatte_botid,personer
0811,alle,2006,84,sysselsatte_botid,personer
0814,0_4,2006,56,sysselsatte_botid,personer
0814,10+,2006,438,sysselsatte_botid,personer
0814,5_9,2006,44,sysselsatte_botid,personer
0814,alle,2006,538,sysselsatte_botid,personer
0815,0_4,2006,54,sysselsatte_botid,personer
0815,10+,2006,312,sysselsatte_botid,personer
0815,5_9,2006,62,sysselsatte_botid,personer
0815,alle,2006,428,sysselsatte_botid,personer
0817,0_4,2006,14,sysselsatte_botid,personer
0817,10+,2006,61,sysselsatte_botid,personer
0817,5_9,2006,13,sysselsatte_botid,personer
0817,alle,2006,88,sysselsatte_botid,personer
0819,0_4,2006,33,sysselsatte_botid,personer
0819,10+,2006,183,sysselsatte_botid,personer
0819,5_9,2006,29,sysselsatte_botid,personer
0819,alle,2006,245,sysselsatte_botid,personer
0821,0_4,2006,43,sysselsatte_botid,personer
0821,10+,2006,143,sysselsatte_botid,personer
0821,5_9,2006,30,sysselsatte_botid,personer
0821,alle,2006,216,sysselsatte_botid,personer
0822,0_4,2006,10,sysselsatte_botid,personer
0822,10+,2006,107,sysselsatte_botid,personer
0822,5_9,2006,19,sysselsatte_botid,personer
0822,alle,2006,136,sysselsatte_botid,personer
0826,0_4,2006,56,sysselsatte_botid,personer
0826,10+,2006,254,sysselsatte_botid,personer
0826,5_9,2006,47,sysselsatte_botid,personer
0826,alle,2006,357,sysselsatte_botid,personer
0827,0_4,2006,7,sysselsatte_botid,personer
0827,10+,2006,16,sysselsatte_botid,personer
0827,alle,2006,24,sysselsatte_botid,personer
0828,0_4,2006,11,sysselsatte_botid,personer
0828,10+,2006,61,sysselsatte_botid,personer
0828,5_9,2006,9,sysselsatte_botid,personer
0828,alle,2006,81,sysselsatte_botid,personer
0829,0_4,2006,14,sysselsatte_botid,personer
0829,10+,2006,44,sysselsatte_botid,personer
0829,5_9,2006,18,sysselsatte_botid,personer
0829,alle,2006,76,sysselsatte_botid,personer
0830,0_4,2006,15,sysselsatte_botid,personer
0830,10+,2006,30,sysselsatte_botid,personer
0830,5_9,2006,3,sysselsatte_botid,personer
0830,alle,2006,48,sysselsatte_botid,personer
0831,0_4,2006,40,sysselsatte_botid,personer
0831,10+,2006,37,sysselsatte_botid,personer
0831,5_9,2006,7,sysselsatte_botid,personer
0831,alle,2006,84,sysselsatte_botid,personer
0833,0_4,2006,20,sysselsatte_botid,personer
0833,10+,2006,48,sysselsatte_botid,personer
0833,5_9,2006,7,sysselsatte_botid,personer
0833,alle,2006,75,sysselsatte_botid,personer
0834,0_4,2006,14,sysselsatte_botid,personer
0834,10+,2006,88,sysselsatte_botid,personer
0834,5_9,2006,24,sysselsatte_botid,personer
0834,alle,2006,126,sysselsatte_botid,personer
0901,0_4,2006,29,sysselsatte_botid,personer
0901,10+,2006,289,sysselsatte_botid,personer
0901,5_9,2006,14,sysselsatte_botid,personer
