bydel_nr,innvgrunn_6,kjonn,aar,tabellvariabel,tabellnavn,enhet
alle,arbeid,0,2009,13758,sysselsatte_innvandringsgrunn,personer
alle,arbeid,1,2009,46006,sysselsatte_innvandringsgrunn,personer
alle,arbeid,alle,2009,59764,sysselsatte_innvandringsgrunn,personer
alle,familie,0,2009,30005,sysselsatte_innvandringsgrunn,personer
alle,familie,1,2009,13473,sysselsatte_innvandringsgrunn,personer
alle,familie,alle,2009,43478,sysselsatte_innvandringsgrunn,personer
alle,flukt,0,2009,29123,sysselsatte_innvandringsgrunn,personer
alle,flukt,1,2009,39500,sysselsatte_innvandringsgrunn,personer
alle,flukt,alle,2009,68623,sysselsatte_innvandringsgrunn,personer
alle,alle,0,2010,99679,sysselsatte_innvandringsgrunn,personer
alle,alle,1,2010,127262,sysselsatte_innvandringsgrunn,personer
alle,alle,alle,2010,226941,sysselsatte_innvandringsgrunn,personer
alle,annet,0,2010,244,sysselsatte_innvandringsgrunn,personer
alle,annet,1,2010,272,sysselsatte_innvandringsgrunn,personer
alle,annet,alle,2010,516,sysselsatte_innvandringsgrunn,personer
alle,arbeid,0,2010,17935,sysselsatte_innvandringsgrunn,personer
alle,arbeid,1,2010,55184,sysselsatte_innvandringsgrunn,personer
alle,arbeid,alle,2010,73119,sysselsatte_innvandringsgrunn,personer
alle,familie,0,2010,33022,sysselsatte_innvandringsgrunn,personer
alle,familie,1,2010,14411,sysselsatte_innvandringsgrunn,personer
alle,familie,alle,2010,47433,sysselsatte_innvandringsgrunn,personer
alle,flukt,0,2010,30150,sysselsatte_innvandringsgrunn,personer
alle,flukt,1,2010,40346,sysselsatte_innvandringsgrunn,personer
alle,flukt,alle,2010,70496,sysselsatte_innvandringsgrunn,personer
alle,alle,0,2011,109745,sysselsatte_innvandringsgrunn,personer
alle,alle,1,2011,146050,sysselsatte_innvandringsgrunn,personer
alle,alle,alle,2011,255795,sysselsatte_innvandringsgrunn,personer
alle,annet,0,2011,307,sysselsatte_innvandringsgrunn,personer
alle,annet,1,2011,338,sysselsatte_innvandringsgrunn,personer
alle,annet,alle,2011,645,sysselsatte_innvandringsgrunn,personer
alle,arbeid,0,2011,22092,sysselsatte_innvandringsgrunn,personer
alle,arbeid,1,2011,70473,sysselsatte_innvandringsgrunn,personer
alle,arbeid,alle,2011,92565,sysselsatte_innvandringsgrunn,personer
alle,familie,0,2011,36626,sysselsatte_innvandringsgrunn,personer
alle,familie,1,2011,15710,sysselsatte_innvandringsgrunn,personer
alle,familie,alle,2011,52336,sysselsatte_innvandringsgrunn,personer
alle,flukt,0,2011,31496,sysselsatte_innvandringsgrunn,personer
alle,flukt,1,2011,42184,sysselsatte_innvandringsgrunn,personer
alle,flukt,alle,2011,73680,sysselsatte_innvandringsgrunn,personer
alle,alle,0,2012,119081,sysselsatte_innvandringsgrunn,personer
alle,alle,1,2012,162099,sysselsatte_innvandringsgrunn,personer
alle,alle,alle,2012,281180,sysselsatte_innvandringsgrunn,personer
alle,annet,0,2012,443,sysselsatte_innvandringsgrunn,personer
alle,annet,1,2012,436,sysselsatte_innvandringsgrunn,personer
alle,annet,alle,2012,879,sysselsatte_innvandringsgrunn,personer
alle,arbeid,0,2012,26081,sysselsatte_innvandringsgrunn,personer
alle,arbeid,1,2012,82939,sysselsatte_innvandringsgrunn,personer
alle,arbeid,alle,2012,109020,sysselsatte_innvandringsgrunn,personer
alle,familie,0,2012,40161,sysselsatte_innvandringsgrunn,personer
alle,familie,1,2012,17007,sysselsatte_innvandringsgrunn,personer
alle,familie,alle,2012,57168,sysselsatte_innvandringsgrunn,personer
alle,flukt,0,2012,32516,sysselsatte_innvandringsgrunn,personer
alle,flukt,1,2012,44110,sysselsatte_innvandringsgrunn,personer
alle,flukt,alle,2012,76626,sysselsatte_innvandringsgrunn,personer
alle,alle,0,2013,129443,sysselsatte_innvandringsgrunn,personer
alle,alle,1,2013,175066,sysselsatte_innvandringsgrunn,personer
alle,alle,alle,2013,304509,sysselsatte_innvandringsgrunn,personer
alle,annet,0,2013,526,sysselsatte_innvandringsgrunn,personer
alle,annet,1,2013,496,sysselsatte_innvandringsgrunn,personer
alle,annet,alle,2013,1022,sysselsatte_innvandringsgrunn,personer
alle,arbeid,0,2013,30045,sysselsatte_innvandringsgrunn,personer
alle,arbeid,1,2013,92212,sysselsatte_innvandringsgrunn,personer
alle,arbeid,alle,2013,122257,sysselsatte_innvandringsgrunn,personer
alle,familie,0,2013,43992,sysselsatte_innvandringsgrunn,personer
alle,familie,1,2013,18462,sysselsatte_innvandringsgrunn,personer
alle,familie,alle,2013,62454,sysselsatte_innvandringsgrunn,personer
alle,flukt,0,2013,33854,sysselsatte_innvandringsgrunn,personer
alle,flukt,1,2013,45792,sysselsatte_innvandringsgrunn,personer
alle,flukt,alle,2013,79646,sysselsatte_innvandringsgrunn,personer
alle,alle,0,2014,140423,sysselsatte_innvandringsgrunn,personer
alle,alle,1,2014,188360,sysselsatte_innvandringsgrunn,personer
alle,alle,alle,2014,328783,sysselsatte_innvandringsgrunn,personer
alle,annet,0,2014,585,sysselsatte_innvandringsgrunn,personer
alle,annet,1,2014,535,sysselsatte_innvandringsgrunn,personer
alle,annet,alle,2014,1120,sysselsatte_innvandringsgrunn,personer
alle,arbeid,0,2014,34273,sysselsatte_innvandringsgrunn,personer
alle,arbeid,1,2014,101145,sysselsatte_innvandringsgrunn,personer
alle,arbeid,alle,2014,135418,sysselsatte_innvandringsgrunn,personer
alle,familie,0,2014,48151,sysselsatte_innvandringsgrunn,personer
alle,familie,1,2014,19946,sysselsatte_innvandringsgrunn,personer
alle,familie,alle,2014,68097,sysselsatte_innvandringsgrunn,personer
alle,flukt,0,2014,35435,sysselsatte_innvandringsgrunn,personer
alle,flukt,1,2014,48186,sysselsatte_innvandringsgrunn,personer
alle,flukt,alle,2014,83621,sysselsatte_innvandringsgrunn,personer
alle,alle,0,2006,53.85,sysselsatte_innvandringsgrunn,prosent
alle,alle,1,2006,65.47,sysselsatte_innvandringsgrunn,prosent
alle,alle,alle,2006,59.68,sysselsatte_innvandringsgrunn,prosent
alle,annet,0,2006,53.28,sysselsatte_innvandringsgrunn,prosent
alle,annet,1,2006,59.35,sysselsatte_innvandringsgrunn,prosent
alle,annet,alle,2006,56.30,sysselsatte_innvandringsgrunn,prosent
alle,arbeid,0,2006,76.78,sysselsatte_innvandringsgrunn,prosent
alle,arbeid,1,2006,75.45,sysselsatte_innvandringsgrunn,prosent
alle,arbeid,alle,2006,75.90,sysselsatte_innvandringsgrunn,prosent
alle,familie,0,2006,50.79,sysselsatte_innvandringsgrunn,prosent
alle,familie,1,2006,66.71,sysselsatte_innvandringsgrunn,prosent
alle,familie,alle,2006,56.22,sysselsatte_innvandringsgrunn,prosent
alle,flukt,0,2006,45.49,sysselsatte_innvandringsgrunn,prosent
alle,flukt,1,2006,57.03,sysselsatte_innvandringsgrunn,prosent
alle,flukt,alle,2006,52.09,sysselsatte_innvandringsgrunn,prosent
alle,alle,0,2007,54.43,sysselsatte_innvandringsgrunn,prosent
alle,alle,1,2007,68.86,sysselsatte_innvandringsgrunn,prosent
alle,alle,alle,2007,61.86,sysselsatte_innvandringsgrunn,prosent
alle,annet,0,2007,45.35,sysselsatte_innvandringsgrunn,prosent
alle,annet,1,2007,56.56,sysselsatte_innvandringsgrunn,prosent
alle,annet,alle,2007,50.81,sysselsatte_innvandringsgrunn,prosent
alle,arbeid,0,2007,81.82,sysselsatte_innvandringsgrunn,prosent
alle,arbeid,1,2007,83.63,sysselsatte_innvandringsgrunn,prosent
alle,arbeid,alle,2007,83.26,sysselsatte_innvandringsgrunn,prosent
alle,familie,0,2007,54.40,sysselsatte_innvandringsgrunn,prosent
alle,familie,1,2007,69.40,sysselsatte_innvandringsgrunn,prosent
alle,familie,alle,2007,58.81,sysselsatte_innvandringsgrunn,prosent
alle,flukt,0,2007,48.70,sysselsatte_innvandringsgrunn,prosent
alle,flukt,1,2007,60.16,sysselsatte_innvandringsgrunn,prosent
alle,flukt,alle,2007,55.23,sysselsatte_innvandringsgrunn,prosent
alle,alle,0,2008,58.69,sysselsatte_innvandringsgrunn,prosent
alle,alle,1,2008,69.28,sysselsatte_innvandringsgrunn,prosent
alle,alle,alle,2008,64.18,sysselsatte_innvandringsgrunn,prosent
alle,annet,0,2008,48.21,sysselsatte_innvandringsgrunn,prosent
alle,annet,1,2008,57.49,sysselsatte_innvandringsgrunn,prosent
alle,annet,alle,2008,52.74,sysselsatte_innvandringsgrunn,prosent
alle,arbeid,0,2008,83.47,sysselsatte_innvandringsgrunn,prosent
alle,arbeid,1,2008,80.54,sysselsatte_innvandringsgrunn,prosent
alle,arbeid,alle,2008,81.13,sysselsatte_innvandringsgrunn,prosent
alle,familie,0,2008,56.93,sysselsatte_innvandringsgrunn,prosent
alle,familie,1,2008,67.59,sysselsatte_innvandringsgrunn,prosent
alle,familie,alle,2008,59.96,sysselsatte_innvandringsgrunn,prosent
alle,flukt,0,2008,50.38,sysselsatte_innvandringsgrunn,prosent
alle,flukt,1,2008,61.20,sysselsatte_innvandringsgrunn,prosent
alle,flukt,alle,2008,56.19,sysselsatte_innvandringsgrunn,prosent
alle,alle,0,2009,57.07,sysselsatte_innvandringsgrunn,prosent
alle,alle,1,2009,66.38,sysselsatte_innvandringsgrunn,prosent
alle,alle,alle,2009,61.94,sysselsatte_innvandringsgrunn,prosent
alle,annet,0,2009,45.32,sysselsatte_innvandringsgrunn,prosent
alle,annet,1,2009,53.78,sysselsatte_innvandringsgrunn,prosent
alle,annet,alle,2009,49.41,sysselsatte_innvandringsgrunn,prosent
alle,arbeid,0,2009,80.62,sysselsatte_innvandringsgrunn,prosent
alle,arbeid,1,2009,77.57,sysselsatte_innvandringsgrunn,prosent
alle,arbeid,alle,2009,78.25,sysselsatte_innvandringsgrunn,prosent
alle,familie,0,2009,55.38,sysselsatte_innvandringsgrunn,prosent
alle,familie,1,2009,63.38,sysselsatte_innvandringsgrunn,prosent
alle,familie,alle,2009,57.63,sysselsatte_innvandringsgrunn,prosent
alle,flukt,0,2009,47.61,sysselsatte_innvandringsgrunn,prosent
alle,flukt,1,2009,55.83,sysselsatte_innvandringsgrunn,prosent
alle,flukt,alle,2009,52.02,sysselsatte_innvandringsgrunn,prosent
alle,alle,0,2010,56.82,sysselsatte_innvandringsgrunn,prosent
alle,alle,1,2010,66.04,sysselsatte_innvandringsgrunn,prosent
alle,alle,alle,2010,61.65,sysselsatte_innvandringsgrunn,prosent
alle,annet,0,2010,43.88,sysselsatte_innvandringsgrunn,prosent
alle,annet,1,2010,55.62,sysselsatte_innvandringsgrunn,prosent
alle,annet,alle,2010,49.38,sysselsatte_innvandringsgrunn,prosent
alle,arbeid,0,2010,78.46,sysselsatte_innvandringsgrunn,prosent
alle,arbeid,1,2010,78.22,sysselsatte_innvandringsgrunn,prosent
alle,arbeid,alle,2010,78.28,sysselsatte_innvandringsgrunn,prosent
alle,familie,0,2010,55.38,sysselsatte_innvandringsgrunn,prosent
alle,familie,1,2010,62.36,sysselsatte_innvandringsgrunn,prosent
alle,familie,alle,2010,57.33,sysselsatte_innvandringsgrunn,prosent
alle,flukt,0,2010,46.87,sysselsatte_innvandringsgrunn,prosent
alle,flukt,1,2010,54.12,sysselsatte_innvandringsgrunn,prosent
alle,flukt,alle,2010,50.77,sysselsatte_innvandringsgrunn,prosent
alle,alle,0,2011,57.30,sysselsatte_innvandringsgrunn,prosent
alle,alle,1,2011,67.94,sysselsatte_innvandringsgrunn,prosent
alle,alle,alle,2011,62.93,sysselsatte_innvandringsgrunn,prosent
alle,annet,0,2011,42.94,sysselsatte_innvandringsgrunn,prosent
alle,annet,1,2011,54.96,sysselsatte_innvandringsgrunn,prosent
alle,annet,alle,2011,48.50,sysselsatte_innvandringsgrunn,prosent
alle,arbeid,0,2011,78.44,sysselsatte_innvandringsgrunn,prosent
alle,arbeid,1,2011,80.89,sysselsatte_innvandringsgrunn,prosent
alle,arbeid,alle,2011,80.29,sysselsatte_innvandringsgrunn,prosent
alle,familie,0,2011,55.80,sysselsatte_innvandringsgrunn,prosent
alle,familie,1,2011,62.38,sysselsatte_innvandringsgrunn,prosent
alle,familie,alle,2011,57.63,sysselsatte_innvandringsgrunn,prosent
alle,flukt,0,2011,46.70,sysselsatte_innvandringsgrunn,prosent
alle,flukt,1,2011,54.35,sysselsatte_innvandringsgrunn,prosent
alle,flukt,alle,2011,50.79,sysselsatte_innvandringsgrunn,prosent
alle,alle,0,2012,56.93,sysselsatte_innvandringsgrunn,prosent
alle,alle,1,2012,68.09,sysselsatte_innvandringsgrunn,prosent
alle,alle,alle,2012,62.87,sysselsatte_innvandringsgrunn,prosent
alle,annet,0,2012,48.15,sysselsatte_innvandringsgrunn,prosent
alle,annet,1,2012,56.33,sysselsatte_innvandringsgrunn,prosent
alle,annet,alle,2012,51.89,sysselsatte_innvandringsgrunn,prosent
alle,arbeid,0,2012,77.52,sysselsatte_innvandringsgrunn,prosent
alle,arbeid,1,2012,80.36,sysselsatte_innvandringsgrunn,prosent
alle,arbeid,alle,2012,79.66,sysselsatte_innvandringsgrunn,prosent
alle,familie,0,2012,55.21,sysselsatte_innvandringsgrunn,prosent
alle,familie,1,2012,61.75,sysselsatte_innvandringsgrunn,prosent
alle,familie,alle,2012,57.00,sysselsatte_innvandringsgrunn,prosent
alle,flukt,0,2012,45.60,sysselsatte_innvandringsgrunn,prosent
alle,flukt,1,2012,54.08,sysselsatte_innvandringsgrunn,prosent
alle,flukt,alle,2012,50.12,sysselsatte_innvandringsgrunn,prosent
alle,alle,0,2013,57.41,sysselsatte_innvandringsgrunn,prosent
alle,alle,1,2013,68.18,sysselsatte_innvandringsgrunn,prosent
alle,alle,alle,2013,63.14,sysselsatte_innvandringsgrunn,prosent
alle,annet,0,2013,50.87,sysselsatte_innvandringsgrunn,prosent
alle,annet,1,2013,59.62,sysselsatte_innvandringsgrunn,prosent
alle,annet,alle,2013,54.77,sysselsatte_innvandringsgrunn,prosent
alle,arbeid,0,2013,77.98,sysselsatte_innvandringsgrunn,prosent
alle,arbeid,1,2013,80.41,sysselsatte_innvandringsgrunn,prosent
alle,arbeid,alle,2013,79.80,sysselsatte_innvandringsgrunn,prosent
alle,familie,0,2013,55.41,sysselsatte_innvandringsgrunn,prosent
alle,familie,1,2013,61.83,sysselsatte_innvandringsgrunn,prosent
alle,familie,alle,2013,57.17,sysselsatte_innvandringsgrunn,prosent
alle,flukt,0,2013,45.36,sysselsatte_innvandringsgrunn,prosent
alle,flukt,1,2013,53.28,sysselsatte_innvandringsgrunn,prosent
alle,flukt,alle,2013,49.60,sysselsatte_innvandringsgrunn,prosent
alle,alle,0,2014,58.21,sysselsatte_innvandringsgrunn,prosent
alle,alle,1,2014,68.17,sysselsatte_innvandringsgrunn,prosent
alle,alle,alle,2014,63.53,sysselsatte_innvandringsgrunn,prosent
alle,annet,0,2014,52.66,sysselsatte_innvandringsgrunn,prosent
alle,annet,1,2014,60.32,sysselsatte_innvandringsgrunn,prosent
alle,annet,alle,2014,56.06,sysselsatte_innvandringsgrunn,prosent
alle,arbeid,0,2014,78.32,sysselsatte_innvandringsgrunn,prosent
alle,arbeid,1,2014,80.33,sysselsatte_innvandringsgrunn,prosent
alle,arbeid,alle,2014,79.81,sysselsatte_innvandringsgrunn,prosent
alle,familie,0,2014,56.13,sysselsatte_innvandringsgrunn,prosent
alle,familie,1,2014,61.57,sysselsatte_innvandringsgrunn,prosent
alle,familie,alle,2014,57.62,sysselsatte_innvandringsgrunn,prosent
alle,flukt,0,2014,45.63,sysselsatte_innvandringsgrunn,prosent
alle,flukt,1,2014,53.02,sysselsatte_innvandringsgrunn,prosent
alle,flukt,alle,2014,49.62,sysselsatte_innvandringsgrunn,prosent
