naringsregion_nr,vreg_3,botid_5,aar,tabellvariabel,tabellnavn,enhet
16,1,10+,2006,840,sysselsatte_botid_land,personer
16,1,5_9,2006,86,sysselsatte_botid_land,personer
16,1,alle,2006,1085,sysselsatte_botid_land,personer
16,2,0_4,2006,152,sysselsatte_botid_land,personer
16,2,10+,2006,366,sysselsatte_botid_land,personer
16,2,5_9,2006,98,sysselsatte_botid_land,personer
16,2,alle,2006,616,sysselsatte_botid_land,personer
16,alle,0_4,2006,311,sysselsatte_botid_land,personer
16,alle,10+,2006,1206,sysselsatte_botid_land,personer
16,alle,5_9,2006,184,sysselsatte_botid_land,personer
16,alle,alle,2006,1701,sysselsatte_botid_land,personer
17,1,0_4,2006,63,sysselsatte_botid_land,personer
17,1,10+,2006,139,sysselsatte_botid_land,personer
17,1,5_9,2006,15,sysselsatte_botid_land,personer
17,1,alle,2006,217,sysselsatte_botid_land,personer
17,2,0_4,2006,33,sysselsatte_botid_land,personer
17,2,10+,2006,61,sysselsatte_botid_land,personer
17,2,5_9,2006,8,sysselsatte_botid_land,personer
17,2,alle,2006,102,sysselsatte_botid_land,personer
17,alle,0_4,2006,96,sysselsatte_botid_land,personer
17,alle,10+,2006,200,sysselsatte_botid_land,personer
17,alle,5_9,2006,23,sysselsatte_botid_land,personer
17,alle,alle,2006,319,sysselsatte_botid_land,personer
18,1,0_4,2006,68,sysselsatte_botid_land,personer
18,1,10+,2006,188,sysselsatte_botid_land,personer
18,1,5_9,2006,24,sysselsatte_botid_land,personer
18,1,alle,2006,280,sysselsatte_botid_land,personer
18,2,0_4,2006,58,sysselsatte_botid_land,personer
18,2,10+,2006,50,sysselsatte_botid_land,personer
18,2,5_9,2006,15,sysselsatte_botid_land,personer
18,2,alle,2006,123,sysselsatte_botid_land,personer
18,alle,0_4,2006,126,sysselsatte_botid_land,personer
18,alle,10+,2006,238,sysselsatte_botid_land,personer
18,alle,5_9,2006,39,sysselsatte_botid_land,personer
18,alle,alle,2006,403,sysselsatte_botid_land,personer
19,1,0_4,2006,84,sysselsatte_botid_land,personer
19,1,10+,2006,274,sysselsatte_botid_land,personer
19,1,5_9,2006,41,sysselsatte_botid_land,personer
19,1,alle,2006,399,sysselsatte_botid_land,personer
19,2,0_4,2006,65,sysselsatte_botid_land,personer
19,2,10+,2006,70,sysselsatte_botid_land,personer
19,2,5_9,2006,41,sysselsatte_botid_land,personer
19,2,alle,2006,176,sysselsatte_botid_land,personer
19,alle,0_4,2006,149,sysselsatte_botid_land,personer
19,alle,10+,2006,344,sysselsatte_botid_land,personer
19,alle,5_9,2006,82,sysselsatte_botid_land,personer
19,alle,alle,2006,575,sysselsatte_botid_land,personer
20,1,0_4,2006,847,sysselsatte_botid_land,personer
20,1,10+,2006,5284,sysselsatte_botid_land,personer
20,1,5_9,2006,558,sysselsatte_botid_land,personer
20,1,alle,2006,6689,sysselsatte_botid_land,personer
20,2,0_4,2006,813,sysselsatte_botid_land,personer
20,2,10+,2006,3988,sysselsatte_botid_land,personer
20,2,5_9,2006,1033,sysselsatte_botid_land,personer
20,2,alle,2006,5834,sysselsatte_botid_land,personer
20,alle,0_4,2006,1660,sysselsatte_botid_land,personer
20,alle,10+,2006,9272,sysselsatte_botid_land,personer
20,alle,5_9,2006,1591,sysselsatte_botid_land,personer
20,alle,alle,2006,12523,sysselsatte_botid_land,personer
21,1,0_4,2006,211,sysselsatte_botid_land,personer
21,1,10+,2006,504,sysselsatte_botid_land,personer
21,1,5_9,2006,93,sysselsatte_botid_land,personer
21,1,alle,2006,808,sysselsatte_botid_land,personer
21,2,0_4,2006,117,sysselsatte_botid_land,personer
21,2,10+,2006,145,sysselsatte_botid_land,personer
21,2,5_9,2006,94,sysselsatte_botid_land,personer
21,2,alle,2006,356,sysselsatte_botid_land,personer
21,alle,0_4,2006,328,sysselsatte_botid_land,personer
21,alle,10+,2006,649,sysselsatte_botid_land,personer
21,alle,5_9,2006,187,sysselsatte_botid_land,personer
21,alle,alle,2006,1164,sysselsatte_botid_land,personer
22,1,0_4,2006,168,sysselsatte_botid_land,personer
22,1,10+,2006,867,sysselsatte_botid_land,personer
22,1,5_9,2006,91,sysselsatte_botid_land,personer
22,1,alle,2006,1126,sysselsatte_botid_land,personer
22,2,0_4,2006,116,sysselsatte_botid_land,personer
22,2,10+,2006,297,sysselsatte_botid_land,personer
22,2,5_9,2006,110,sysselsatte_botid_land,personer
22,2,alle,2006,523,sysselsatte_botid_land,personer
22,alle,0_4,2006,284,sysselsatte_botid_land,personer
22,alle,10+,2006,1164,sysselsatte_botid_land,personer
22,alle,5_9,2006,201,sysselsatte_botid_land,personer
22,alle,alle,2006,1649,sysselsatte_botid_land,personer
23,1,0_4,2006,56,sysselsatte_botid_land,personer
23,1,10+,2006,344,sysselsatte_botid_land,personer
23,1,5_9,2006,34,sysselsatte_botid_land,personer
23,1,alle,2006,434,sysselsatte_botid_land,personer
23,2,0_4,2006,48,sysselsatte_botid_land,personer
23,2,10+,2006,96,sysselsatte_botid_land,personer
23,2,5_9,2006,42,sysselsatte_botid_land,personer
23,2,alle,2006,186,sysselsatte_botid_land,personer
23,alle,0_4,2006,104,sysselsatte_botid_land,personer
23,alle,10+,2006,440,sysselsatte_botid_land,personer
23,alle,5_9,2006,76,sysselsatte_botid_land,personer
23,alle,alle,2006,620,sysselsatte_botid_land,personer
24,1,0_4,2006,180,sysselsatte_botid_land,personer
24,1,10+,2006,850,sysselsatte_botid_land,personer
24,1,5_9,2006,94,sysselsatte_botid_land,personer
24,1,alle,2006,1124,sysselsatte_botid_land,personer
24,2,0_4,2006,136,sysselsatte_botid_land,personer
24,2,10+,2006,385,sysselsatte_botid_land,personer
24,2,5_9,2006,130,sysselsatte_botid_land,personer
24,2,alle,2006,651,sysselsatte_botid_land,personer
24,alle,0_4,2006,316,sysselsatte_botid_land,personer
24,alle,10+,2006,1235,sysselsatte_botid_land,personer
24,alle,5_9,2006,224,sysselsatte_botid_land,personer
24,alle,alle,2006,1775,sysselsatte_botid_land,personer
25,1,0_4,2006,592,sysselsatte_botid_land,personer
25,1,10+,2006,4104,sysselsatte_botid_land,personer
25,1,5_9,2006,292,sysselsatte_botid_land,personer
25,1,alle,2006,4988,sysselsatte_botid_land,personer
25,2,0_4,2006,427,sysselsatte_botid_land,personer
25,2,10+,2006,1595,sysselsatte_botid_land,personer
25,2,5_9,2006,467,sysselsatte_botid_land,personer
25,2,alle,2006,2489,sysselsatte_botid_land,personer
25,alle,0_4,2006,1019,sysselsatte_botid_land,personer
25,alle,10+,2006,5699,sysselsatte_botid_land,personer
25,alle,5_9,2006,759,sysselsatte_botid_land,personer
25,alle,alle,2006,7477,sysselsatte_botid_land,personer
26,1,0_4,2006,394,sysselsatte_botid_land,personer
26,1,10+,2006,2547,sysselsatte_botid_land,personer
26,1,5_9,2006,193,sysselsatte_botid_land,personer
26,1,alle,2006,3134,sysselsatte_botid_land,personer
26,2,0_4,2006,306,sysselsatte_botid_land,personer
26,2,10+,2006,1292,sysselsatte_botid_land,personer
26,2,5_9,2006,374,sysselsatte_botid_land,personer
26,2,alle,2006,1972,sysselsatte_botid_land,personer
26,alle,0_4,2006,700,sysselsatte_botid_land,personer
26,alle,10+,2006,3839,sysselsatte_botid_land,personer
26,alle,5_9,2006,567,sysselsatte_botid_land,personer
26,alle,alle,2006,5106,sysselsatte_botid_land,personer
27,1,0_4,2006,294,sysselsatte_botid_land,personer
27,1,10+,2006,2896,sysselsatte_botid_land,personer
27,1,5_9,2006,236,sysselsatte_botid_land,personer
27,1,alle,2006,3426,sysselsatte_botid_land,personer
27,2,0_4,2006,359,sysselsatte_botid_land,personer
27,2,10+,2006,1489,sysselsatte_botid_land,personer
27,2,5_9,2006,456,sysselsatte_botid_land,personer
27,2,alle,2006,2304,sysselsatte_botid_land,personer
27,alle,0_4,2006,653,sysselsatte_botid_land,personer
27,alle,10+,2006,4385,sysselsatte_botid_land,personer
27,alle,5_9,2006,692,sysselsatte_botid_land,personer
27,alle,alle,2006,5730,sysselsatte_botid_land,personer
28,1,0_4,2006,32,sysselsatte_botid_land,personer
28,1,10+,2006,312,sysselsatte_botid_land,personer
28,1,5_9,2006,22,sysselsatte_botid_land,personer
28,1,alle,2006,366,sysselsatte_botid_land,personer
28,2,0_4,2006,54,sysselsatte_botid_land,personer
28,2,10+,2006,121,sysselsatte_botid_land,personer
28,2,5_9,2006,56,sysselsatte_botid_land,personer
28,2,alle,2006,231,sysselsatte_botid_land,personer
28,alle,0_4,2006,86,sysselsatte_botid_land,personer
28,alle,10+,2006,433,sysselsatte_botid_land,personer
28,alle,5_9,2006,78,sysselsatte_botid_land,personer
28,alle,alle,2006,597,sysselsatte_botid_land,personer
29,1,0_4,2006,79,sysselsatte_botid_land,personer
29,1,10+,2006,390,sysselsatte_botid_land,personer
29,1,5_9,2006,36,sysselsatte_botid_land,personer
29,1,alle,2006,505,sysselsatte_botid_land,personer
29,2,0_4,2006,87,sysselsatte_botid_land,personer
29,2,10+,2006,187,sysselsatte_botid_land,personer
29,2,5_9,2006,65,sysselsatte_botid_land,personer
29,2,alle,2006,339,sysselsatte_botid_land,personer
29,alle,0_4,2006,166,sysselsatte_botid_land,personer
29,alle,10+,2006,577,sysselsatte_botid_land,personer
29,alle,5_9,2006,101,sysselsatte_botid_land,personer
29,alle,alle,2006,844,sysselsatte_botid_land,personer
30,1,0_4,2006,89,sysselsatte_botid_land,personer
30,1,10+,2006,233,sysselsatte_botid_land,personer
30,1,5_9,2006,37,sysselsatte_botid_land,personer
30,1,alle,2006,359,sysselsatte_botid_land,personer
30,2,0_4,2006,25,sysselsatte_botid_land,personer
30,2,10+,2006,75,sysselsatte_botid_land,personer
30,2,5_9,2006,31,sysselsatte_botid_land,personer
30,2,alle,2006,131,sysselsatte_botid_land,personer
30,alle,0_4,2006,114,sysselsatte_botid_land,personer
30,alle,10+,2006,308,sysselsatte_botid_land,personer
30,alle,5_9,2006,68,sysselsatte_botid_land,personer
30,alle,alle,2006,490,sysselsatte_botid_land,personer
31,1,0_4,2006,29,sysselsatte_botid_land,personer
31,1,10+,2006,195,sysselsatte_botid_land,personer
31,1,5_9,2006,18,sysselsatte_botid_land,personer
31,1,alle,2006,242,sysselsatte_botid_land,personer
31,2,0_4,2006,15,sysselsatte_botid_land,personer
31,2,10+,2006,53,sysselsatte_botid_land,personer
31,2,5_9,2006,30,sysselsatte_botid_land,personer
31,2,alle,2006,98,sysselsatte_botid_land,personer
31,alle,0_4,2006,44,sysselsatte_botid_land,personer
31,alle,10+,2006,248,sysselsatte_botid_land,personer
31,alle,5_9,2006,48,sysselsatte_botid_land,personer
31,alle,alle,2006,340,sysselsatte_botid_land,personer
32,1,0_4,2006,283,sysselsatte_botid_land,personer
32,1,10+,2006,2630,sysselsatte_botid_land,personer
32,1,5_9,2006,173,sysselsatte_botid_land,personer
32,1,alle,2006,3086,sysselsatte_botid_land,personer
32,2,0_4,2006,256,sysselsatte_botid_land,personer
32,2,10+,2006,792,sysselsatte_botid_land,personer
32,2,5_9,2006,232,sysselsatte_botid_land,personer
32,2,alle,2006,1280,sysselsatte_botid_land,personer
32,alle,0_4,2006,539,sysselsatte_botid_land,personer
32,alle,10+,2006,3422,sysselsatte_botid_land,personer
32,alle,5_9,2006,405,sysselsatte_botid_land,personer
32,alle,alle,2006,4366,sysselsatte_botid_land,personer
33,1,0_4,2006,147,sysselsatte_botid_land,personer
33,1,10+,2006,1432,sysselsatte_botid_land,personer
33,1,5_9,2006,97,sysselsatte_botid_land,personer
33,1,alle,2006,1676,sysselsatte_botid_land,personer
33,2,0_4,2006,124,sysselsatte_botid_land,personer
33,2,10+,2006,262,sysselsatte_botid_land,personer
33,2,5_9,2006,139,sysselsatte_botid_land,personer
33,2,alle,2006,525,sysselsatte_botid_land,personer
33,alle,0_4,2006,271,sysselsatte_botid_land,personer
33,alle,10+,2006,1694,sysselsatte_botid_land,personer
33,alle,5_9,2006,236,sysselsatte_botid_land,personer
33,alle,alle,2006,2201,sysselsatte_botid_land,personer
34,1,0_4,2006,83,sysselsatte_botid_land,personer
34,1,10+,2006,797,sysselsatte_botid_land,personer
34,1,5_9,2006,38,sysselsatte_botid_land,personer
34,1,alle,2006,918,sysselsatte_botid_land,personer
34,2,0_4,2006,70,sysselsatte_botid_land,personer
34,2,10+,2006,200,sysselsatte_botid_land,personer
34,2,5_9,2006,64,sysselsatte_botid_land,personer
34,2,alle,2006,334,sysselsatte_botid_land,personer
34,alle,0_4,2006,153,sysselsatte_botid_land,personer
34,alle,10+,2006,997,sysselsatte_botid_land,personer
34,alle,5_9,2006,102,sysselsatte_botid_land,personer
34,alle,alle,2006,1252,sysselsatte_botid_land,personer
35,1,0_4,2006,395,sysselsatte_botid_land,personer
35,1,10+,2006,4211,sysselsatte_botid_land,personer
35,1,5_9,2006,261,sysselsatte_botid_land,personer
35,1,alle,2006,4867,sysselsatte_botid_land,personer
35,2,0_4,2006,488,sysselsatte_botid_land,personer
35,2,10+,2006,2444,sysselsatte_botid_land,personer
35,2,5_9,2006,619,sysselsatte_botid_land,personer
35,2,alle,2006,3551,sysselsatte_botid_land,personer
35,alle,0_4,2006,883,sysselsatte_botid_land,personer
35,alle,10+,2006,6655,sysselsatte_botid_land,personer
35,alle,5_9,2006,880,sysselsatte_botid_land,personer
35,alle,alle,2006,8418,sysselsatte_botid_land,personer
36,1,0_4,2006,86,sysselsatte_botid_land,personer
36,1,10+,2006,406,sysselsatte_botid_land,personer
36,1,5_9,2006,55,sysselsatte_botid_land,personer
36,1,alle,2006,547,sysselsatte_botid_land,personer
36,2,0_4,2006,95,sysselsatte_botid_land,personer
36,2,10+,2006,191,sysselsatte_botid_land,personer
36,2,5_9,2006,59,sysselsatte_botid_land,personer
36,2,alle,2006,345,sysselsatte_botid_land,personer
36,alle,0_4,2006,181,sysselsatte_botid_land,personer
36,alle,10+,2006,597,sysselsatte_botid_land,personer
36,alle,5_9,2006,114,sysselsatte_botid_land,personer
36,alle,alle,2006,892,sysselsatte_botid_land,personer
37,1,0_4,2006,686,sysselsatte_botid_land,personer
37,1,10+,2006,1874,sysselsatte_botid_land,personer
37,1,5_9,2006,222,sysselsatte_botid_land,personer
37,1,alle,2006,2782,sysselsatte_botid_land,personer
37,2,0_4,2006,300,sysselsatte_botid_land,personer
37,2,10+,2006,946,sysselsatte_botid_land,personer
37,2,5_9,2006,257,sysselsatte_botid_land,personer
37,2,alle,2006,1503,sysselsatte_botid_land,personer
37,alle,0_4,2006,986,sysselsatte_botid_land,personer
37,alle,10+,2006,2820,sysselsatte_botid_land,personer
37,alle,5_9,2006,479,sysselsatte_botid_land,personer
37,alle,alle,2006,4285,sysselsatte_botid_land,personer
38,1,0_4,2006,105,sysselsatte_botid_land,personer
38,1,10+,2006,384,sysselsatte_botid_land,personer
38,1,5_9,2006,41,sysselsatte_botid_land,personer
38,1,alle,2006,530,sysselsatte_botid_land,personer
38,2,0_4,2006,66,sysselsatte_botid_land,personer
38,2,10+,2006,182,sysselsatte_botid_land,personer
38,2,5_9,2006,64,sysselsatte_botid_land,personer
38,2,alle,2006,312,sysselsatte_botid_land,personer
38,alle,0_4,2006,171,sysselsatte_botid_land,personer
38,alle,10+,2006,566,sysselsatte_botid_land,personer
38,alle,5_9,2006,105,sysselsatte_botid_land,personer
38,alle,alle,2006,842,sysselsatte_botid_land,personer
39,1,0_4,2006,2322,sysselsatte_botid_land,personer
39,1,10+,2006,7977,sysselsatte_botid_land,personer
39,1,5_9,2006,992,sysselsatte_botid_land,personer
39,1,alle,2006,11291,sysselsatte_botid_land,personer
39,2,0_4,2006,1542,sysselsatte_botid_land,personer
39,2,10+,2006,5089,sysselsatte_botid_land,personer
39,2,5_9,2006,1336,sysselsatte_botid_land,personer
39,2,alle,2006,7967,sysselsatte_botid_land,personer
39,alle,0_4,2006,3864,sysselsatte_botid_land,personer
39,alle,10+,2006,13066,sysselsatte_botid_land,personer
39,alle,5_9,2006,2328,sysselsatte_botid_land,personer
39,alle,alle,2006,19258,sysselsatte_botid_land,personer
40,1,0_4,2006,1920,sysselsatte_botid_land,personer
40,1,10+,2006,6352,sysselsatte_botid_land,personer
40,1,5_9,2006,670,sysselsatte_botid_land,personer
40,1,alle,2006,8942,sysselsatte_botid_land,personer
40,2,0_4,2006,1299,sysselsatte_botid_land,personer
40,2,10+,2006,4599,sysselsatte_botid_land,personer
40,2,5_9,2006,1147,sysselsatte_botid_land,personer
40,2,alle,2006,7045,sysselsatte_botid_land,personer
40,alle,0_4,2006,3219,sysselsatte_botid_land,personer
40,alle,10+,2006,10951,sysselsatte_botid_land,personer
40,alle,5_9,2006,1817,sysselsatte_botid_land,personer
40,alle,alle,2006,15987,sysselsatte_botid_land,personer
41,1,0_4,2006,117,sysselsatte_botid_land,personer
41,1,10+,2006,317,sysselsatte_botid_land,personer
41,1,5_9,2006,38,sysselsatte_botid_land,personer
41,1,alle,2006,472,sysselsatte_botid_land,personer
41,2,0_4,2006,75,sysselsatte_botid_land,personer
41,2,10+,2006,187,sysselsatte_botid_land,personer
41,2,5_9,2006,53,sysselsatte_botid_land,personer
41,2,alle,2006,315,sysselsatte_botid_land,personer
41,alle,0_4,2006,192,sysselsatte_botid_land,personer
41,alle,10+,2006,504,sysselsatte_botid_land,personer
41,alle,5_9,2006,91,sysselsatte_botid_land,personer
41,alle,alle,2006,787,sysselsatte_botid_land,personer
42,1,0_4,2006,74,sysselsatte_botid_land,personer
42,1,10+,2006,363,sysselsatte_botid_land,personer
