aar,bydel_nr,vreg_3,kjonn,tabellvariabel,tabell_navn,enhet
2006,030109,alle,alle,15235,sysselsatte_kjonn_land,personer
2006,030110,1,0,374,sysselsatte_kjonn_land,personer
2006,030110,1,1,389,sysselsatte_kjonn_land,personer
2006,030110,1,alle,763,sysselsatte_kjonn_land,personer
2006,030110,2,0,915,sysselsatte_kjonn_land,personer
2006,030110,2,1,1360,sysselsatte_kjonn_land,personer
2006,030110,2,alle,2275,sysselsatte_kjonn_land,personer
2006,030110,alle,0,6856,sysselsatte_kjonn_land,personer
2006,030110,alle,1,7564,sysselsatte_kjonn_land,personer
2006,030110,alle,alle,14420,sysselsatte_kjonn_land,personer
2006,030111,1,0,257,sysselsatte_kjonn_land,personer
2006,030111,1,1,236,sysselsatte_kjonn_land,personer
2006,030111,1,alle,493,sysselsatte_kjonn_land,personer
2006,030111,2,0,580,sysselsatte_kjonn_land,personer
2006,030111,2,1,685,sysselsatte_kjonn_land,personer
2006,030111,2,alle,1265,sysselsatte_kjonn_land,personer
2006,030111,alle,0,4492,sysselsatte_kjonn_land,personer
2006,030111,alle,1,4747,sysselsatte_kjonn_land,personer
2006,030111,alle,alle,9239,sysselsatte_kjonn_land,personer
2006,030112,1,0,189,sysselsatte_kjonn_land,personer
2006,030112,1,1,289,sysselsatte_kjonn_land,personer
2006,030112,1,alle,478,sysselsatte_kjonn_land,personer
2006,030112,2,0,409,sysselsatte_kjonn_land,personer
2006,030112,2,1,490,sysselsatte_kjonn_land,personer
2006,030112,2,alle,899,sysselsatte_kjonn_land,personer
2006,030112,alle,0,3988,sysselsatte_kjonn_land,personer
2006,030112,alle,1,4189,sysselsatte_kjonn_land,personer
2006,030112,alle,alle,8177,sysselsatte_kjonn_land,personer
2006,030113,1,0,188,sysselsatte_kjonn_land,personer
2006,030113,1,1,212,sysselsatte_kjonn_land,personer
2006,030113,1,alle,400,sysselsatte_kjonn_land,personer
2006,030113,2,0,646,sysselsatte_kjonn_land,personer
2006,030113,2,1,873,sysselsatte_kjonn_land,personer
2006,030113,2,alle,1519,sysselsatte_kjonn_land,personer
2006,030113,alle,0,4555,sysselsatte_kjonn_land,personer
2006,030113,alle,1,4856,sysselsatte_kjonn_land,personer
2006,030113,alle,alle,9411,sysselsatte_kjonn_land,personer
2006,030114,1,0,126,sysselsatte_kjonn_land,personer
2006,030114,1,1,125,sysselsatte_kjonn_land,personer
2006,030114,1,alle,251,sysselsatte_kjonn_land,personer
2006,030114,2,0,422,sysselsatte_kjonn_land,personer
2006,030114,2,1,585,sysselsatte_kjonn_land,personer
2006,030114,2,alle,1007,sysselsatte_kjonn_land,personer
2006,030114,alle,0,2683,sysselsatte_kjonn_land,personer
2006,030114,alle,1,2889,sysselsatte_kjonn_land,personer
2006,030114,alle,alle,5572,sysselsatte_kjonn_land,personer
2006,030115,1,0,140,sysselsatte_kjonn_land,personer
2006,030115,1,1,151,sysselsatte_kjonn_land,personer
2006,030115,1,alle,291,sysselsatte_kjonn_land,personer
2006,030115,2,0,420,sysselsatte_kjonn_land,personer
2006,030115,2,1,593,sysselsatte_kjonn_land,personer
2006,030115,2,alle,1013,sysselsatte_kjonn_land,personer
2006,030115,alle,0,3431,sysselsatte_kjonn_land,personer
2006,030115,alle,1,3651,sysselsatte_kjonn_land,personer
2006,030115,alle,alle,7082,sysselsatte_kjonn_land,personer
2006,030116,1,0,93,sysselsatte_kjonn_land,personer
2006,030116,1,1,73,sysselsatte_kjonn_land,personer
2006,030116,1,alle,166,sysselsatte_kjonn_land,personer
2006,030116,2,0,361,sysselsatte_kjonn_land,personer
2006,030116,2,1,485,sysselsatte_kjonn_land,personer
2006,030116,2,alle,846,sysselsatte_kjonn_land,personer
2006,030116,alle,0,1921,sysselsatte_kjonn_land,personer
2006,030116,alle,1,2151,sysselsatte_kjonn_land,personer
2006,030116,alle,alle,4072,sysselsatte_kjonn_land,personer
2006,030117,1,0,85,sysselsatte_kjonn_land,personer
2006,030117,1,1,109,sysselsatte_kjonn_land,personer
2006,030117,1,alle,194,sysselsatte_kjonn_land,personer
2006,030117,2,0,643,sysselsatte_kjonn_land,personer
2006,030117,2,1,959,sysselsatte_kjonn_land,personer
2006,030117,2,alle,1602,sysselsatte_kjonn_land,personer
2006,030117,alle,0,2697,sysselsatte_kjonn_land,personer
2006,030117,alle,1,3056,sysselsatte_kjonn_land,personer
2006,030117,alle,alle,5753,sysselsatte_kjonn_land,personer
2006,030199,1,0,100,sysselsatte_kjonn_land,personer
2006,030199,1,1,165,sysselsatte_kjonn_land,personer
2006,030199,1,alle,265,sysselsatte_kjonn_land,personer
2006,030199,2,0,70,sysselsatte_kjonn_land,personer
2006,030199,2,1,140,sysselsatte_kjonn_land,personer
2006,030199,2,alle,210,sysselsatte_kjonn_land,personer
2006,030199,alle,0,771,sysselsatte_kjonn_land,personer
2006,030199,alle,1,1086,sysselsatte_kjonn_land,personer
2006,030199,alle,alle,1857,sysselsatte_kjonn_land,personer
2007,00,1,0,40058,sysselsatte_kjonn_land,personer
2007,00,1,1,58010,sysselsatte_kjonn_land,personer
2007,00,1,alle,98068,sysselsatte_kjonn_land,personer
2007,00,2,0,54283,sysselsatte_kjonn_land,personer
2007,00,2,1,60757,sysselsatte_kjonn_land,personer
2007,00,2,alle,115040,sysselsatte_kjonn_land,personer
2007,00,alle,0,1170885,sysselsatte_kjonn_land,personer
2007,00,alle,1,1312818,sysselsatte_kjonn_land,personer
2007,00,alle,alle,2483703,sysselsatte_kjonn_land,personer
2007,030101,1,0,1083,sysselsatte_kjonn_land,personer
2007,030101,1,1,1434,sysselsatte_kjonn_land,personer
2007,030101,1,alle,2517,sysselsatte_kjonn_land,personer
2007,030101,2,0,1237,sysselsatte_kjonn_land,personer
2007,030101,2,1,1736,sysselsatte_kjonn_land,personer
2007,030101,2,alle,2973,sysselsatte_kjonn_land,personer
2007,030101,alle,0,14718,sysselsatte_kjonn_land,personer
2007,030101,alle,1,16332,sysselsatte_kjonn_land,personer
2007,030101,alle,alle,31050,sysselsatte_kjonn_land,personer
2007,030102,1,0,927,sysselsatte_kjonn_land,personer
2007,030102,1,1,1072,sysselsatte_kjonn_land,personer
2007,030102,1,alle,1999,sysselsatte_kjonn_land,personer
2007,030102,2,0,1070,sysselsatte_kjonn_land,personer
2007,030102,2,1,1255,sysselsatte_kjonn_land,personer
2007,030102,2,alle,2325,sysselsatte_kjonn_land,personer
2007,030102,alle,0,13717,sysselsatte_kjonn_land,personer
2007,030102,alle,1,14022,sysselsatte_kjonn_land,personer
2007,030102,alle,alle,27739,sysselsatte_kjonn_land,personer
2007,030103,1,0,1140,sysselsatte_kjonn_land,personer
2007,030103,1,1,1417,sysselsatte_kjonn_land,personer
2007,030103,1,alle,2557,sysselsatte_kjonn_land,personer
2007,030103,2,0,1391,sysselsatte_kjonn_land,personer
2007,030103,2,1,1820,sysselsatte_kjonn_land,personer
2007,030103,2,alle,3211,sysselsatte_kjonn_land,personer
2007,030103,alle,0,15947,sysselsatte_kjonn_land,personer
2007,030103,alle,1,16985,sysselsatte_kjonn_land,personer
2007,030103,alle,alle,32932,sysselsatte_kjonn_land,personer
2007,030104,1,0,972,sysselsatte_kjonn_land,personer
2007,030104,1,1,1309,sysselsatte_kjonn_land,personer
2007,030104,1,alle,2281,sysselsatte_kjonn_land,personer
2007,030104,2,0,1264,sysselsatte_kjonn_land,personer
2007,030104,2,1,1916,sysselsatte_kjonn_land,personer
2007,030104,2,alle,3180,sysselsatte_kjonn_land,personer
2007,030104,alle,0,13666,sysselsatte_kjonn_land,personer
2007,030104,alle,1,15064,sysselsatte_kjonn_land,personer
2007,030104,alle,alle,28730,sysselsatte_kjonn_land,personer
2007,030105,1,0,849,sysselsatte_kjonn_land,personer
2007,030105,1,1,1062,sysselsatte_kjonn_land,personer
2007,030105,1,alle,1911,sysselsatte_kjonn_land,personer
2007,030105,2,0,1042,sysselsatte_kjonn_land,personer
2007,030105,2,1,1334,sysselsatte_kjonn_land,personer
2007,030105,2,alle,2376,sysselsatte_kjonn_land,personer
2007,030105,alle,0,12768,sysselsatte_kjonn_land,personer
2007,030105,alle,1,13614,sysselsatte_kjonn_land,personer
2007,030105,alle,alle,26382,sysselsatte_kjonn_land,personer
2007,030106,1,0,766,sysselsatte_kjonn_land,personer
2007,030106,1,1,1077,sysselsatte_kjonn_land,personer
2007,030106,1,alle,1843,sysselsatte_kjonn_land,personer
2007,030106,2,0,1119,sysselsatte_kjonn_land,personer
2007,030106,2,1,1463,sysselsatte_kjonn_land,personer
2007,030106,2,alle,2582,sysselsatte_kjonn_land,personer
2007,030106,alle,0,12100,sysselsatte_kjonn_land,personer
2007,030106,alle,1,12824,sysselsatte_kjonn_land,personer
2007,030106,alle,alle,24924,sysselsatte_kjonn_land,personer
2007,030107,1,0,549,sysselsatte_kjonn_land,personer
2007,030107,1,1,835,sysselsatte_kjonn_land,personer
2007,030107,1,alle,1384,sysselsatte_kjonn_land,personer
2007,030107,2,0,959,sysselsatte_kjonn_land,personer
2007,030107,2,1,1357,sysselsatte_kjonn_land,personer
2007,030107,2,alle,2316,sysselsatte_kjonn_land,personer
2007,030107,alle,0,8983,sysselsatte_kjonn_land,personer
2007,030107,alle,1,9968,sysselsatte_kjonn_land,personer
2007,030107,alle,alle,18951,sysselsatte_kjonn_land,personer
2007,030108,1,0,688,sysselsatte_kjonn_land,personer
2007,030108,1,1,907,sysselsatte_kjonn_land,personer
2007,030108,1,alle,1595,sysselsatte_kjonn_land,personer
2007,030108,2,0,1138,sysselsatte_kjonn_land,personer
2007,030108,2,1,1436,sysselsatte_kjonn_land,personer
2007,030108,2,alle,2574,sysselsatte_kjonn_land,personer
2007,030108,alle,0,10383,sysselsatte_kjonn_land,personer
2007,030108,alle,1,11047,sysselsatte_kjonn_land,personer
2007,030108,alle,alle,21430,sysselsatte_kjonn_land,personer
2007,030109,1,0,428,sysselsatte_kjonn_land,personer
2007,030109,1,1,586,sysselsatte_kjonn_land,personer
2007,030109,1,alle,1014,sysselsatte_kjonn_land,personer
2007,030109,2,0,800,sysselsatte_kjonn_land,personer
2007,030109,2,1,1143,sysselsatte_kjonn_land,personer
2007,030109,2,alle,1943,sysselsatte_kjonn_land,personer
2007,030109,alle,0,7520,sysselsatte_kjonn_land,personer
2007,030109,alle,1,8171,sysselsatte_kjonn_land,personer
2007,030109,alle,alle,15691,sysselsatte_kjonn_land,personer
2007,030110,1,0,411,sysselsatte_kjonn_land,personer
2007,030110,1,1,510,sysselsatte_kjonn_land,personer
2007,030110,1,alle,921,sysselsatte_kjonn_land,personer
2007,030110,2,0,1034,sysselsatte_kjonn_land,personer
2007,030110,2,1,1379,sysselsatte_kjonn_land,personer
2007,030110,2,alle,2413,sysselsatte_kjonn_land,personer
2007,030110,alle,0,7157,sysselsatte_kjonn_land,personer
2007,030110,alle,1,7811,sysselsatte_kjonn_land,personer
2007,030110,alle,alle,14968,sysselsatte_kjonn_land,personer
2007,030111,1,0,283,sysselsatte_kjonn_land,personer
2007,030111,1,1,281,sysselsatte_kjonn_land,personer
2007,030111,1,alle,564,sysselsatte_kjonn_land,personer
2007,030111,2,0,637,sysselsatte_kjonn_land,personer
2007,030111,2,1,726,sysselsatte_kjonn_land,personer
2007,030111,2,alle,1363,sysselsatte_kjonn_land,personer
2007,030111,alle,0,4635,sysselsatte_kjonn_land,personer
2007,030111,alle,1,4869,sysselsatte_kjonn_land,personer
2007,030111,alle,alle,9504,sysselsatte_kjonn_land,personer
2007,030112,1,0,202,sysselsatte_kjonn_land,personer
2007,030112,1,1,374,sysselsatte_kjonn_land,personer
2007,030112,1,alle,576,sysselsatte_kjonn_land,personer
2007,030112,2,0,471,sysselsatte_kjonn_land,personer
2007,030112,2,1,557,sysselsatte_kjonn_land,personer
2007,030112,2,alle,1028,sysselsatte_kjonn_land,personer
2007,030112,alle,0,4157,sysselsatte_kjonn_land,personer
2007,030112,alle,1,4356,sysselsatte_kjonn_land,personer
2007,030112,alle,alle,8513,sysselsatte_kjonn_land,personer
2007,030113,1,0,202,sysselsatte_kjonn_land,personer
2007,030113,1,1,253,sysselsatte_kjonn_land,personer
2007,030113,1,alle,455,sysselsatte_kjonn_land,personer
2007,030113,2,0,721,sysselsatte_kjonn_land,personer
2007,030113,2,1,956,sysselsatte_kjonn_land,personer
2007,030113,2,alle,1677,sysselsatte_kjonn_land,personer
2007,030113,alle,0,4726,sysselsatte_kjonn_land,personer
2007,030113,alle,1,5094,sysselsatte_kjonn_land,personer
2007,030113,alle,alle,9820,sysselsatte_kjonn_land,personer
2007,030114,1,0,138,sysselsatte_kjonn_land,personer
2007,030114,1,1,151,sysselsatte_kjonn_land,personer
2007,030114,1,alle,289,sysselsatte_kjonn_land,personer
2007,030114,2,0,489,sysselsatte_kjonn_land,personer
2007,030114,2,1,651,sysselsatte_kjonn_land,personer
2007,030114,2,alle,1140,sysselsatte_kjonn_land,personer
2007,030114,alle,0,2853,sysselsatte_kjonn_land,personer
2007,030114,alle,1,3041,sysselsatte_kjonn_land,personer
2007,030114,alle,alle,5894,sysselsatte_kjonn_land,personer
2007,030115,1,0,163,sysselsatte_kjonn_land,personer
2007,030115,1,1,174,sysselsatte_kjonn_land,personer
2007,030115,1,alle,337,sysselsatte_kjonn_land,personer
2007,030115,2,0,501,sysselsatte_kjonn_land,personer
2007,030115,2,1,621,sysselsatte_kjonn_land,personer
2007,030115,2,alle,1122,sysselsatte_kjonn_land,personer
2007,030115,alle,0,3588,sysselsatte_kjonn_land,personer
2007,030115,alle,1,3760,sysselsatte_kjonn_land,personer
2007,030115,alle,alle,7348,sysselsatte_kjonn_land,personer
2007,030116,1,0,88,sysselsatte_kjonn_land,personer
2007,030116,1,1,75,sysselsatte_kjonn_land,personer
2007,030116,1,alle,163,sysselsatte_kjonn_land,personer
2007,030116,2,0,396,sysselsatte_kjonn_land,personer
2007,030116,2,1,541,sysselsatte_kjonn_land,personer
2007,030116,2,alle,937,sysselsatte_kjonn_land,personer
2007,030116,alle,0,1978,sysselsatte_kjonn_land,personer
2007,030116,alle,1,2214,sysselsatte_kjonn_land,personer
2007,030116,alle,alle,4192,sysselsatte_kjonn_land,personer
2007,030117,1,0,99,sysselsatte_kjonn_land,personer
2007,030117,1,1,152,sysselsatte_kjonn_land,personer
2007,030117,1,alle,251,sysselsatte_kjonn_land,personer
2007,030117,2,0,672,sysselsatte_kjonn_land,personer
2007,030117,2,1,1023,sysselsatte_kjonn_land,personer
2007,030117,2,alle,1695,sysselsatte_kjonn_land,personer
2007,030117,alle,0,2801,sysselsatte_kjonn_land,personer
2007,030117,alle,1,3243,sysselsatte_kjonn_land,personer
2007,030117,alle,alle,6044,sysselsatte_kjonn_land,personer
2007,030199,1,0,79,sysselsatte_kjonn_land,personer
2007,030199,1,1,164,sysselsatte_kjonn_land,personer
2007,030199,1,alle,243,sysselsatte_kjonn_land,personer
2007,030199,2,0,79,sysselsatte_kjonn_land,personer
2007,030199,2,1,144,sysselsatte_kjonn_land,personer
2007,030199,2,alle,223,sysselsatte_kjonn_land,personer
2007,030199,alle,0,797,sysselsatte_kjonn_land,personer
2007,030199,alle,1,1080,sysselsatte_kjonn_land,personer
2007,030199,alle,alle,1877,sysselsatte_kjonn_land,personer
2008,00,1,0,45941,sysselsatte_kjonn_land,personer
2008,00,1,1,69868,sysselsatte_kjonn_land,personer
2008,00,1,alle,115809,sysselsatte_kjonn_land,personer
2008,00,2,0,60124,sysselsatte_kjonn_land,personer
2008,00,2,1,65082,sysselsatte_kjonn_land,personer
2008,00,2,alle,125206,sysselsatte_kjonn_land,personer
2008,00,alle,0,1190476,sysselsatte_kjonn_land,personer
2008,00,alle,1,1334276,sysselsatte_kjonn_land,personer
2008,00,alle,alle,2524752,sysselsatte_kjonn_land,personer
2008,030101,1,0,1325,sysselsatte_kjonn_land,personer
2008,030101,1,1,1766,sysselsatte_kjonn_land,personer
2008,030101,1,alle,3091,sysselsatte_kjonn_land,personer
2008,030101,2,0,1334,sysselsatte_kjonn_land,personer
2008,030101,2,1,1829,sysselsatte_kjonn_land,personer
2008,030101,2,alle,3163,sysselsatte_kjonn_land,personer
2008,030101,alle,0,15460,sysselsatte_kjonn_land,personer
2008,030101,alle,1,17127,sysselsatte_kjonn_land,personer
2008,030101,alle,alle,32587,sysselsatte_kjonn_land,personer
2008,030102,1,0,1042,sysselsatte_kjonn_land,personer
2008,030102,1,1,1443,sysselsatte_kjonn_land,personer
2008,030102,1,alle,2485,sysselsatte_kjonn_land,personer
2008,030102,2,0,1218,sysselsatte_kjonn_land,personer
2008,030102,2,1,1363,sysselsatte_kjonn_land,personer
2008,030102,2,alle,2581,sysselsatte_kjonn_land,personer
2008,030102,alle,0,14184,sysselsatte_kjonn_land,personer
2008,030102,alle,1,14656,sysselsatte_kjonn_land,personer
2008,030102,alle,alle,28840,sysselsatte_kjonn_land,personer
2008,030103,1,0,1251,sysselsatte_kjonn_land,personer
2008,030103,1,1,1653,sysselsatte_kjonn_land,personer
2008,030103,1,alle,2904,sysselsatte_kjonn_land,personer
2008,030103,2,0,1521,sysselsatte_kjonn_land,personer
2008,030103,2,1,1841,sysselsatte_kjonn_land,personer
2008,030103,2,alle,3362,sysselsatte_kjonn_land,personer
2008,030103,alle,0,16509,sysselsatte_kjonn_land,personer
2008,030103,alle,1,17488,sysselsatte_kjonn_land,personer
2008,030103,alle,alle,33997,sysselsatte_kjonn_land,personer
2008,030104,1,0,1120,sysselsatte_kjonn_land,personer
2008,030104,1,1,1524,sysselsatte_kjonn_land,personer
2008,030104,1,alle,2644,sysselsatte_kjonn_land,personer
2008,030104,2,0,1404,sysselsatte_kjonn_land,personer
2008,030104,2,1,1963,sysselsatte_kjonn_land,personer
2008,030104,2,alle,3367,sysselsatte_kjonn_land,personer
2008,030104,alle,0,14260,sysselsatte_kjonn_land,personer
2008,030104,alle,1,15572,sysselsatte_kjonn_land,personer
2008,030104,alle,alle,29832,sysselsatte_kjonn_land,personer
2008,030105,1,0,959,sysselsatte_kjonn_land,personer
2008,030105,1,1,1337,sysselsatte_kjonn_land,personer
2008,030105,1,alle,2296,sysselsatte_kjonn_land,personer
2008,030105,2,0,1151,sysselsatte_kjonn_land,personer
2008,030105,2,1,1463,sysselsatte_kjonn_land,personer
2008,030105,2,alle,2614,sysselsatte_kjonn_land,personer
2008,030105,alle,0,13220,sysselsatte_kjonn_land,personer
2008,030105,alle,1,14256,sysselsatte_kjonn_land,personer
2008,030105,alle,alle,27476,sysselsatte_kjonn_land,personer
2008,030106,1,0,865,sysselsatte_kjonn_land,personer
2008,030106,1,1,1231,sysselsatte_kjonn_land,personer
2008,030106,1,alle,2096,sysselsatte_kjonn_land,personer
2008,030106,2,0,1183,sysselsatte_kjonn_land,personer
2008,030106,2,1,1525,sysselsatte_kjonn_land,personer
2008,030106,2,alle,2708,sysselsatte_kjonn_land,personer
2008,030106,alle,0,12325,sysselsatte_kjonn_land,personer
2008,030106,alle,1,13177,sysselsatte_kjonn_land,personer
2008,030106,alle,alle,25502,sysselsatte_kjonn_land,personer
2008,030107,1,0,634,sysselsatte_kjonn_land,personer
2008,030107,1,1,984,sysselsatte_kjonn_land,personer
2008,030107,1,alle,1618,sysselsatte_kjonn_land,personer
2008,030107,2,0,1082,sysselsatte_kjonn_land,personer
2008,030107,2,1,1415,sysselsatte_kjonn_land,personer
2008,030107,2,alle,2497,sysselsatte_kjonn_land,personer
2008,030107,alle,0,9227,sysselsatte_kjonn_land,personer
2008,030107,alle,1,10201,sysselsatte_kjonn_land,personer
2008,030107,alle,alle,19428,sysselsatte_kjonn_land,personer
2008,030108,1,0,791,sysselsatte_kjonn_land,personer
2008,030108,1,1,1079,sysselsatte_kjonn_land,personer
2008,030108,1,alle,1870,sysselsatte_kjonn_land,personer
2008,030108,2,0,1259,sysselsatte_kjonn_land,personer
2008,030108,2,1,1541,sysselsatte_kjonn_land,personer
2008,030108,2,alle,2800,sysselsatte_kjonn_land,personer
2008,030108,alle,0,10598,sysselsatte_kjonn_land,personer
2008,030108,alle,1,11302,sysselsatte_kjonn_land,personer
2008,030108,alle,alle,21900,sysselsatte_kjonn_land,personer
2008,030109,1,0,506,sysselsatte_kjonn_land,personer
2008,030109,1,1,703,sysselsatte_kjonn_land,personer
2008,030109,1,alle,1209,sysselsatte_kjonn_land,personer
2008,030109,2,0,889,sysselsatte_kjonn_land,personer
2008,030109,2,1,1191,sysselsatte_kjonn_land,personer
2008,030109,2,alle,2080,sysselsatte_kjonn_land,personer
2008,030109,alle,0,7802,sysselsatte_kjonn_land,personer
2008,030109,alle,1,8303,sysselsatte_kjonn_land,personer
2008,030109,alle,alle,16105,sysselsatte_kjonn_land,personer
2008,030110,1,0,451,sysselsatte_kjonn_land,personer
2008,030110,1,1,562,sysselsatte_kjonn_land,personer
2008,030110,1,alle,1013,sysselsatte_kjonn_land,personer
2008,030110,2,0,1068,sysselsatte_kjonn_land,personer
2008,030110,2,1,1303,sysselsatte_kjonn_land,personer
2008,030110,2,alle,2371,sysselsatte_kjonn_land,personer
2008,030110,alle,0,7245,sysselsatte_kjonn_land,personer
2008,030110,alle,1,7752,sysselsatte_kjonn_land,personer
2008,030110,alle,alle,14997,sysselsatte_kjonn_land,personer
2008,030111,1,0,330,sysselsatte_kjonn_land,personer
2008,030111,1,1,356,sysselsatte_kjonn_land,personer
2008,030111,1,alle,686,sysselsatte_kjonn_land,personer
2008,030111,2,0,685,sysselsatte_kjonn_land,personer
2008,030111,2,1,797,sysselsatte_kjonn_land,personer
2008,030111,2,alle,1482,sysselsatte_kjonn_land,personer
2008,030111,alle,0,4727,sysselsatte_kjonn_land,personer
2008,030111,alle,1,4998,sysselsatte_kjonn_land,personer
2008,030111,alle,alle,9725,sysselsatte_kjonn_land,personer
2008,030112,1,0,208,sysselsatte_kjonn_land,personer
2008,030112,1,1,419,sysselsatte_kjonn_land,personer
2008,030112,1,alle,627,sysselsatte_kjonn_land,personer
2008,030112,2,0,491,sysselsatte_kjonn_land,personer
2008,030112,2,1,609,sysselsatte_kjonn_land,personer
2008,030112,2,alle,1100,sysselsatte_kjonn_land,personer
2008,030112,alle,0,4202,sysselsatte_kjonn_land,personer
2008,030112,alle,1,4447,sysselsatte_kjonn_land,personer
2008,030112,alle,alle,8649,sysselsatte_kjonn_land,personer
