fylke_nr,innvkat_2,aar,tabellvariabel,tabellnavn,enhet
12,alle,2007,244090,sysselsatte_innvkat,personer
12,befolkningen_ellers,2007,227254,sysselsatte_innvkat,personer
12,innvandrere,2007,16836,sysselsatte_innvkat,personer
14,alle,2007,56713,sysselsatte_innvkat,personer
14,befolkningen_ellers,2007,53863,sysselsatte_innvkat,personer
14,innvandrere,2007,2850,sysselsatte_innvkat,personer
15,alle,2007,130681,sysselsatte_innvkat,personer
15,befolkningen_ellers,2007,123945,sysselsatte_innvkat,personer
15,innvandrere,2007,6736,sysselsatte_innvkat,personer
16,alle,2007,150041,sysselsatte_innvkat,personer
16,befolkningen_ellers,2007,140870,sysselsatte_innvkat,personer
16,innvandrere,2007,9171,sysselsatte_innvkat,personer
17,alle,2007,66166,sysselsatte_innvkat,personer
17,befolkningen_ellers,2007,63836,sysselsatte_innvkat,personer
17,innvandrere,2007,2330,sysselsatte_innvkat,personer
18,alle,2007,118384,sysselsatte_innvkat,personer
18,befolkningen_ellers,2007,113675,sysselsatte_innvkat,personer
18,innvandrere,2007,4709,sysselsatte_innvkat,personer
19,alle,2007,81299,sysselsatte_innvkat,personer
19,befolkningen_ellers,2007,76779,sysselsatte_innvkat,personer
19,innvandrere,2007,4520,sysselsatte_innvkat,personer
20,alle,2007,37440,sysselsatte_innvkat,personer
20,befolkningen_ellers,2007,34706,sysselsatte_innvkat,personer
20,innvandrere,2007,2734,sysselsatte_innvkat,personer
alle,alle,2007,2484002,sysselsatte_innvkat,personer
alle,befolkningen_ellers,2007,2270858,sysselsatte_innvkat,personer
alle,innvandrere,2007,213144,sysselsatte_innvkat,personer
01,alle,2008,133985,sysselsatte_innvkat,personer
01,befolkningen_ellers,2008,122271,sysselsatte_innvkat,personer
01,innvandrere,2008,11714,sysselsatte_innvkat,personer
02,alle,2008,282408,sysselsatte_innvkat,personer
02,befolkningen_ellers,2008,250207,sysselsatte_innvkat,personer
02,innvandrere,2008,32201,sysselsatte_innvkat,personer
03,alle,2008,316389,sysselsatte_innvkat,personer
03,befolkningen_ellers,2008,250665,sysselsatte_innvkat,personer
03,innvandrere,2008,65724,sysselsatte_innvkat,personer
04,alle,2008,95073,sysselsatte_innvkat,personer
04,befolkningen_ellers,2008,90182,sysselsatte_innvkat,personer
04,innvandrere,2008,4891,sysselsatte_innvkat,personer
05,alle,2008,95894,sysselsatte_innvkat,personer
05,befolkningen_ellers,2008,90821,sysselsatte_innvkat,personer
05,innvandrere,2008,5073,sysselsatte_innvkat,personer
06,alle,2008,135134,sysselsatte_innvkat,personer
06,befolkningen_ellers,2008,121369,sysselsatte_innvkat,personer
06,innvandrere,2008,13765,sysselsatte_innvkat,personer
07,alle,2008,116426,sysselsatte_innvkat,personer
07,befolkningen_ellers,2008,106864,sysselsatte_innvkat,personer
07,innvandrere,2008,9562,sysselsatte_innvkat,personer
08,alle,2008,84658,sysselsatte_innvkat,personer
08,befolkningen_ellers,2008,78946,sysselsatte_innvkat,personer
08,innvandrere,2008,5712,sysselsatte_innvkat,personer
09,alle,2008,54356,sysselsatte_innvkat,personer
09,befolkningen_ellers,2008,50626,sysselsatte_innvkat,personer
09,innvandrere,2008,3730,sysselsatte_innvkat,personer
10,alle,2008,86183,sysselsatte_innvkat,personer
10,befolkningen_ellers,2008,78705,sysselsatte_innvkat,personer
10,innvandrere,2008,7478,sysselsatte_innvkat,personer
11,alle,2008,229147,sysselsatte_innvkat,personer
11,befolkningen_ellers,2008,205394,sysselsatte_innvkat,personer
11,innvandrere,2008,23753,sysselsatte_innvkat,personer
12,alle,2008,249376,sysselsatte_innvkat,personer
12,befolkningen_ellers,2008,229904,sysselsatte_innvkat,personer
12,innvandrere,2008,19472,sysselsatte_innvkat,personer
14,alle,2008,56960,sysselsatte_innvkat,personer
14,befolkningen_ellers,2008,53686,sysselsatte_innvkat,personer
14,innvandrere,2008,3274,sysselsatte_innvkat,personer
15,alle,2008,131948,sysselsatte_innvkat,personer
15,befolkningen_ellers,2008,123831,sysselsatte_innvkat,personer
15,innvandrere,2008,8117,sysselsatte_innvkat,personer
16,alle,2008,152517,sysselsatte_innvkat,personer
16,befolkningen_ellers,2008,142135,sysselsatte_innvkat,personer
16,innvandrere,2008,10382,sysselsatte_innvkat,personer
17,alle,2008,66260,sysselsatte_innvkat,personer
17,befolkningen_ellers,2008,63619,sysselsatte_innvkat,personer
17,innvandrere,2008,2641,sysselsatte_innvkat,personer
18,alle,2008,118945,sysselsatte_innvkat,personer
18,befolkningen_ellers,2008,113530,sysselsatte_innvkat,personer
18,innvandrere,2008,5415,sysselsatte_innvkat,personer
19,alle,2008,81659,sysselsatte_innvkat,personer
19,befolkningen_ellers,2008,76648,sysselsatte_innvkat,personer
19,innvandrere,2008,5011,sysselsatte_innvkat,personer
20,alle,2008,37682,sysselsatte_innvkat,personer
20,befolkningen_ellers,2008,34561,sysselsatte_innvkat,personer
20,innvandrere,2008,3121,sysselsatte_innvkat,personer
alle,alle,2008,2525000,sysselsatte_innvkat,personer
alle,befolkningen_ellers,2008,2283964,sysselsatte_innvkat,personer
alle,innvandrere,2008,241036,sysselsatte_innvkat,personer
01,alle,2009,130737,sysselsatte_innvkat,personer
01,befolkningen_ellers,2009,118963,sysselsatte_innvkat,personer
01,innvandrere,2009,11774,sysselsatte_innvkat,personer
02,alle,2009,279567,sysselsatte_innvkat,personer
02,befolkningen_ellers,2009,246091,sysselsatte_innvkat,personer
02,innvandrere,2009,33476,sysselsatte_innvkat,personer
03,alle,2009,314847,sysselsatte_innvkat,personer
03,befolkningen_ellers,2009,247943,sysselsatte_innvkat,personer
03,innvandrere,2009,66904,sysselsatte_innvkat,personer
04,alle,2009,92901,sysselsatte_innvkat,personer
04,befolkningen_ellers,2009,87809,sysselsatte_innvkat,personer
04,innvandrere,2009,5092,sysselsatte_innvkat,personer
05,alle,2009,93877,sysselsatte_innvkat,personer
05,befolkningen_ellers,2009,88681,sysselsatte_innvkat,personer
05,innvandrere,2009,5196,sysselsatte_innvkat,personer
06,alle,2009,132963,sysselsatte_innvkat,personer
06,befolkningen_ellers,2009,118751,sysselsatte_innvkat,personer
06,innvandrere,2009,14212,sysselsatte_innvkat,personer
07,alle,2009,113995,sysselsatte_innvkat,personer
07,befolkningen_ellers,2009,104226,sysselsatte_innvkat,personer
07,innvandrere,2009,9769,sysselsatte_innvkat,personer
08,alle,2009,82692,sysselsatte_innvkat,personer
08,befolkningen_ellers,2009,76908,sysselsatte_innvkat,personer
08,innvandrere,2009,5784,sysselsatte_innvkat,personer
09,alle,2009,53304,sysselsatte_innvkat,personer
09,befolkningen_ellers,2009,49426,sysselsatte_innvkat,personer
09,innvandrere,2009,3878,sysselsatte_innvkat,personer
10,alle,2009,85126,sysselsatte_innvkat,personer
10,befolkningen_ellers,2009,77412,sysselsatte_innvkat,personer
10,innvandrere,2009,7714,sysselsatte_innvkat,personer
11,alle,2009,228107,sysselsatte_innvkat,personer
11,befolkningen_ellers,2009,202918,sysselsatte_innvkat,personer
11,innvandrere,2009,25189,sysselsatte_innvkat,personer
12,alle,2009,249481,sysselsatte_innvkat,personer
12,befolkningen_ellers,2009,228459,sysselsatte_innvkat,personer
12,innvandrere,2009,21022,sysselsatte_innvkat,personer
14,alle,2009,56272,sysselsatte_innvkat,personer
14,befolkningen_ellers,2009,52562,sysselsatte_innvkat,personer
14,innvandrere,2009,3710,sysselsatte_innvkat,personer
15,alle,2009,130977,sysselsatte_innvkat,personer
15,befolkningen_ellers,2009,121818,sysselsatte_innvkat,personer
15,innvandrere,2009,9159,sysselsatte_innvkat,personer
16,alle,2009,151144,sysselsatte_innvkat,personer
16,befolkningen_ellers,2009,140066,sysselsatte_innvkat,personer
16,innvandrere,2009,11078,sysselsatte_innvkat,personer
17,alle,2009,65433,sysselsatte_innvkat,personer
17,befolkningen_ellers,2009,62725,sysselsatte_innvkat,personer
17,innvandrere,2009,2708,sysselsatte_innvkat,personer
18,alle,2009,117575,sysselsatte_innvkat,personer
18,befolkningen_ellers,2009,111665,sysselsatte_innvkat,personer
18,innvandrere,2009,5910,sysselsatte_innvkat,personer
19,alle,2009,80765,sysselsatte_innvkat,personer
19,befolkningen_ellers,2009,75493,sysselsatte_innvkat,personer
19,innvandrere,2009,5272,sysselsatte_innvkat,personer
20,alle,2009,37237,sysselsatte_innvkat,personer
20,befolkningen_ellers,2009,33923,sysselsatte_innvkat,personer
20,innvandrere,2009,3314,sysselsatte_innvkat,personer
alle,alle,2009,2497000,sysselsatte_innvkat,personer
alle,befolkningen_ellers,2009,2245839,sysselsatte_innvkat,personer
alle,innvandrere,2009,251161,sysselsatte_innvkat,personer
01,alle,2010,131579,sysselsatte_innvkat,personer
01,befolkningen_ellers,2010,118697,sysselsatte_innvkat,personer
01,innvandrere,2010,12882,sysselsatte_innvkat,personer
02,alle,2010,282079,sysselsatte_innvkat,personer
02,befolkningen_ellers,2010,245877,sysselsatte_innvkat,personer
02,innvandrere,2010,36202,sysselsatte_innvkat,personer
03,alle,2010,319883,sysselsatte_innvkat,personer
03,befolkningen_ellers,2010,248369,sysselsatte_innvkat,personer
03,innvandrere,2010,71514,sysselsatte_innvkat,personer
04,alle,2010,92872,sysselsatte_innvkat,personer
04,befolkningen_ellers,2010,87310,sysselsatte_innvkat,personer
04,innvandrere,2010,5562,sysselsatte_innvkat,personer
05,alle,2010,94231,sysselsatte_innvkat,personer
05,befolkningen_ellers,2010,88435,sysselsatte_innvkat,personer
05,innvandrere,2010,5796,sysselsatte_innvkat,personer
06,alle,2010,133957,sysselsatte_innvkat,personer
06,befolkningen_ellers,2010,118321,sysselsatte_innvkat,personer
06,innvandrere,2010,15636,sysselsatte_innvkat,personer
07,alle,2010,114419,sysselsatte_innvkat,personer
07,befolkningen_ellers,2010,103826,sysselsatte_innvkat,personer
07,innvandrere,2010,10593,sysselsatte_innvkat,personer
08,alle,2010,82531,sysselsatte_innvkat,personer
08,befolkningen_ellers,2010,76236,sysselsatte_innvkat,personer
08,innvandrere,2010,6295,sysselsatte_innvkat,personer
09,alle,2010,53942,sysselsatte_innvkat,personer
09,befolkningen_ellers,2010,49664,sysselsatte_innvkat,personer
09,innvandrere,2010,4278,sysselsatte_innvkat,personer
10,alle,2010,85865,sysselsatte_innvkat,personer
10,befolkningen_ellers,2010,77573,sysselsatte_innvkat,personer
10,innvandrere,2010,8292,sysselsatte_innvkat,personer
11,alle,2010,231723,sysselsatte_innvkat,personer
11,befolkningen_ellers,2010,203399,sysselsatte_innvkat,personer
11,innvandrere,2010,28324,sysselsatte_innvkat,personer
12,alle,2010,251110,sysselsatte_innvkat,personer
12,befolkningen_ellers,2010,227800,sysselsatte_innvkat,personer
12,innvandrere,2010,23310,sysselsatte_innvkat,personer
14,alle,2010,56513,sysselsatte_innvkat,personer
14,befolkningen_ellers,2010,52338,sysselsatte_innvkat,personer
14,innvandrere,2010,4175,sysselsatte_innvkat,personer
15,alle,2010,131801,sysselsatte_innvkat,personer
15,befolkningen_ellers,2010,121120,sysselsatte_innvkat,personer
15,innvandrere,2010,10681,sysselsatte_innvkat,personer
16,alle,2010,152256,sysselsatte_innvkat,personer
16,befolkningen_ellers,2010,140053,sysselsatte_innvkat,personer
16,innvandrere,2010,12203,sysselsatte_innvkat,personer
17,alle,2010,65493,sysselsatte_innvkat,personer
17,befolkningen_ellers,2010,62627,sysselsatte_innvkat,personer
17,innvandrere,2010,2866,sysselsatte_innvkat,personer
18,alle,2010,118321,sysselsatte_innvkat,personer
18,befolkningen_ellers,2010,111680,sysselsatte_innvkat,personer
18,innvandrere,2010,6641,sysselsatte_innvkat,personer
19,alle,2010,80892,sysselsatte_innvkat,personer
19,befolkningen_ellers,2010,75077,sysselsatte_innvkat,personer
19,innvandrere,2010,5815,sysselsatte_innvkat,personer
20,alle,2010,37533,sysselsatte_innvkat,personer
20,befolkningen_ellers,2010,33775,sysselsatte_innvkat,personer
20,innvandrere,2010,3758,sysselsatte_innvkat,personer
alle,alle,2010,2517000,sysselsatte_innvkat,personer
alle,befolkningen_ellers,2010,2242177,sysselsatte_innvkat,personer
alle,innvandrere,2010,274823,sysselsatte_innvkat,personer
01,alle,2011,133114,sysselsatte_innvkat,personer
01,befolkningen_ellers,2011,118697,sysselsatte_innvkat,personer
01,innvandrere,2011,14417,sysselsatte_innvkat,personer
02,alle,2011,288464,sysselsatte_innvkat,personer
02,befolkningen_ellers,2011,247644,sysselsatte_innvkat,personer
02,innvandrere,2011,40820,sysselsatte_innvkat,personer
03,alle,2011,330068,sysselsatte_innvkat,personer
03,befolkningen_ellers,2011,251561,sysselsatte_innvkat,personer
03,innvandrere,2011,78507,sysselsatte_innvkat,personer
04,alle,2011,93172,sysselsatte_innvkat,personer
04,befolkningen_ellers,2011,86967,sysselsatte_innvkat,personer
04,innvandrere,2011,6205,sysselsatte_innvkat,personer
05,alle,2011,94701,sysselsatte_innvkat,personer
05,befolkningen_ellers,2011,88149,sysselsatte_innvkat,personer
05,innvandrere,2011,6552,sysselsatte_innvkat,personer
06,alle,2011,136256,sysselsatte_innvkat,personer
06,befolkningen_ellers,2011,118483,sysselsatte_innvkat,personer
06,innvandrere,2011,17773,sysselsatte_innvkat,personer
07,alle,2011,115885,sysselsatte_innvkat,personer
07,befolkningen_ellers,2011,104241,sysselsatte_innvkat,personer
07,innvandrere,2011,11644,sysselsatte_innvkat,personer
08,alle,2011,82731,sysselsatte_innvkat,personer
08,befolkningen_ellers,2011,75894,sysselsatte_innvkat,personer
08,innvandrere,2011,6837,sysselsatte_innvkat,personer
09,alle,2011,54429,sysselsatte_innvkat,personer
09,befolkningen_ellers,2011,49699,sysselsatte_innvkat,personer
09,innvandrere,2011,4730,sysselsatte_innvkat,personer
10,alle,2011,86847,sysselsatte_innvkat,personer
10,befolkningen_ellers,2011,77928,sysselsatte_innvkat,personer
10,innvandrere,2011,8919,sysselsatte_innvkat,personer
11,alle,2011,238104,sysselsatte_innvkat,personer
11,befolkningen_ellers,2011,206104,sysselsatte_innvkat,personer
11,innvandrere,2011,32000,sysselsatte_innvkat,personer
12,alle,2011,256335,sysselsatte_innvkat,personer
12,befolkningen_ellers,2011,229865,sysselsatte_innvkat,personer
12,innvandrere,2011,26470,sysselsatte_innvkat,personer
14,alle,2011,57004,sysselsatte_innvkat,personer
14,befolkningen_ellers,2011,52265,sysselsatte_innvkat,personer
14,innvandrere,2011,4739,sysselsatte_innvkat,personer
15,alle,2011,133446,sysselsatte_innvkat,personer
15,befolkningen_ellers,2011,121123,sysselsatte_innvkat,personer
15,innvandrere,2011,12323,sysselsatte_innvkat,personer
16,alle,2011,155218,sysselsatte_innvkat,personer
16,befolkningen_ellers,2011,141567,sysselsatte_innvkat,personer
16,innvandrere,2011,13651,sysselsatte_innvkat,personer
17,alle,2011,66546,sysselsatte_innvkat,personer
17,befolkningen_ellers,2011,63059,sysselsatte_innvkat,personer
17,innvandrere,2011,3487,sysselsatte_innvkat,personer
18,alle,2011,119535,sysselsatte_innvkat,personer
18,befolkningen_ellers,2011,111977,sysselsatte_innvkat,personer
18,innvandrere,2011,7558,sysselsatte_innvkat,personer
19,alle,2011,82104,sysselsatte_innvkat,personer
19,befolkningen_ellers,2011,75715,sysselsatte_innvkat,personer
19,innvandrere,2011,6389,sysselsatte_innvkat,personer
20,alle,2011,38041,sysselsatte_innvkat,personer
20,befolkningen_ellers,2011,33880,sysselsatte_innvkat,personer
20,innvandrere,2011,4161,sysselsatte_innvkat,personer
alle,alle,2011,2562000,sysselsatte_innvkat,personer
alle,befolkningen_ellers,2011,2254818,sysselsatte_innvkat,personer
alle,innvandrere,2011,307182,sysselsatte_innvkat,personer
01,alle,2012,133841,sysselsatte_innvkat,personer
01,befolkningen_ellers,2012,118185,sysselsatte_innvkat,personer
01,innvandrere,2012,15656,sysselsatte_innvkat,personer
02,alle,2012,292928,sysselsatte_innvkat,personer
02,befolkningen_ellers,2012,248532,sysselsatte_innvkat,personer
02,innvandrere,2012,44396,sysselsatte_innvkat,personer
03,alle,2012,334670,sysselsatte_innvkat,personer
03,befolkningen_ellers,2012,252320,sysselsatte_innvkat,personer
03,innvandrere,2012,82350,sysselsatte_innvkat,personer
04,alle,2012,93568,sysselsatte_innvkat,personer
04,befolkningen_ellers,2012,86870,sysselsatte_innvkat,personer
04,innvandrere,2012,6698,sysselsatte_innvkat,personer
05,alle,2012,94336,sysselsatte_innvkat,personer
05,befolkningen_ellers,2012,87299,sysselsatte_innvkat,personer
05,innvandrere,2012,7037,sysselsatte_innvkat,personer
06,alle,2012,137727,sysselsatte_innvkat,personer
06,befolkningen_ellers,2012,118325,sysselsatte_innvkat,personer
06,innvandrere,2012,19402,sysselsatte_innvkat,personer
07,alle,2012,116614,sysselsatte_innvkat,personer
07,befolkningen_ellers,2012,103919,sysselsatte_innvkat,personer
07,innvandrere,2012,12695,sysselsatte_innvkat,personer
08,alle,2012,82726,sysselsatte_innvkat,personer
08,befolkningen_ellers,2012,75496,sysselsatte_innvkat,personer
08,innvandrere,2012,7230,sysselsatte_innvkat,personer
09,alle,2012,54830,sysselsatte_innvkat,personer
09,befolkningen_ellers,2012,49653,sysselsatte_innvkat,personer
09,innvandrere,2012,5177,sysselsatte_innvkat,personer
10,alle,2012,87479,sysselsatte_innvkat,personer
10,befolkningen_ellers,2012,77962,sysselsatte_innvkat,personer
10,innvandrere,2012,9517,sysselsatte_innvkat,personer
11,alle,2012,242675,sysselsatte_innvkat,personer
11,befolkningen_ellers,2012,206945,sysselsatte_innvkat,personer
11,innvandrere,2012,35730,sysselsatte_innvkat,personer
12,alle,2012,260175,sysselsatte_innvkat,personer
12,befolkningen_ellers,2012,230623,sysselsatte_innvkat,personer
12,innvandrere,2012,29552,sysselsatte_innvkat,personer
14,alle,2012,56890,sysselsatte_innvkat,personer
14,befolkningen_ellers,2012,51751,sysselsatte_innvkat,personer
14,innvandrere,2012,5139,sysselsatte_innvkat,personer
15,alle,2012,134720,sysselsatte_innvkat,personer
15,befolkningen_ellers,2012,120859,sysselsatte_innvkat,personer
15,innvandrere,2012,13861,sysselsatte_innvkat,personer
16,alle,2012,158372,sysselsatte_innvkat,personer
16,befolkningen_ellers,2012,143199,sysselsatte_innvkat,personer
16,innvandrere,2012,15173,sysselsatte_innvkat,personer
17,alle,2012,67350,sysselsatte_innvkat,personer
17,befolkningen_ellers,2012,63180,sysselsatte_innvkat,personer
17,innvandrere,2012,4170,sysselsatte_innvkat,personer
18,alle,2012,119121,sysselsatte_innvkat,personer
18,befolkningen_ellers,2012,110664,sysselsatte_innvkat,personer
18,innvandrere,2012,8457,sysselsatte_innvkat,personer
19,alle,2012,82749,sysselsatte_innvkat,personer
19,befolkningen_ellers,2012,75699,sysselsatte_innvkat,personer
19,innvandrere,2012,7050,sysselsatte_innvkat,personer
20,alle,2012,38229,sysselsatte_innvkat,personer
20,befolkningen_ellers,2012,33547,sysselsatte_innvkat,personer
20,innvandrere,2012,4682,sysselsatte_innvkat,personer
alle,alle,2012,2589000,sysselsatte_innvkat,personer
alle,befolkningen_ellers,2012,2255028,sysselsatte_innvkat,personer
alle,innvandrere,2012,333972,sysselsatte_innvkat,personer
01,alle,2013,134883,sysselsatte_innvkat,personer
01,befolkningen_ellers,2013,118207,sysselsatte_innvkat,personer
01,innvandrere,2013,16676,sysselsatte_innvkat,personer
02,alle,2013,296887,sysselsatte_innvkat,personer
02,befolkningen_ellers,2013,249186,sysselsatte_innvkat,personer
02,innvandrere,2013,47701,sysselsatte_innvkat,personer
03,alle,2013,341523,sysselsatte_innvkat,personer
03,befolkningen_ellers,2013,254421,sysselsatte_innvkat,personer
03,innvandrere,2013,87102,sysselsatte_innvkat,personer
04,alle,2013,93630,sysselsatte_innvkat,personer
04,befolkningen_ellers,2013,86373,sysselsatte_innvkat,personer
04,innvandrere,2013,7257,sysselsatte_innvkat,personer
05,alle,2013,94769,sysselsatte_innvkat,personer
05,befolkningen_ellers,2013,87233,sysselsatte_innvkat,personer
05,innvandrere,2013,7536,sysselsatte_innvkat,personer
06,alle,2013,139023,sysselsatte_innvkat,personer
06,befolkningen_ellers,2013,118011,sysselsatte_innvkat,personer
06,innvandrere,2013,21012,sysselsatte_innvkat,personer
07,alle,2013,117613,sysselsatte_innvkat,personer
07,befolkningen_ellers,2013,104166,sysselsatte_innvkat,personer
07,innvandrere,2013,13447,sysselsatte_innvkat,personer
08,alle,2013,83115,sysselsatte_innvkat,personer
08,befolkningen_ellers,2013,75373,sysselsatte_innvkat,personer
08,innvandrere,2013,7742,sysselsatte_innvkat,personer
09,alle,2013,54792,sysselsatte_innvkat,personer
09,befolkningen_ellers,2013,49304,sysselsatte_innvkat,personer
09,innvandrere,2013,5488,sysselsatte_innvkat,personer
10,alle,2013,88599,sysselsatte_innvkat,personer
10,befolkningen_ellers,2013,78568,sysselsatte_innvkat,personer
10,innvandrere,2013,10031,sysselsatte_innvkat,personer
11,alle,2013,246837,sysselsatte_innvkat,personer
11,befolkningen_ellers,2013,208264,sysselsatte_innvkat,personer
11,innvandrere,2013,38573,sysselsatte_innvkat,personer
12,alle,2013,264372,sysselsatte_innvkat,personer
12,befolkningen_ellers,2013,232205,sysselsatte_innvkat,personer
12,innvandrere,2013,32167,sysselsatte_innvkat,personer
14,alle,2013,57179,sysselsatte_innvkat,personer
14,befolkningen_ellers,2013,51713,sysselsatte_innvkat,personer
14,innvandrere,2013,5466,sysselsatte_innvkat,personer
15,alle,2013,135481,sysselsatte_innvkat,personer
15,befolkningen_ellers,2013,120466,sysselsatte_innvkat,personer
15,innvandrere,2013,15015,sysselsatte_innvkat,personer
16,alle,2013,160765,sysselsatte_innvkat,personer
16,befolkningen_ellers,2013,144125,sysselsatte_innvkat,personer
16,innvandrere,2013,16640,sysselsatte_innvkat,personer
17,alle,2013,67285,sysselsatte_innvkat,personer
17,befolkningen_ellers,2013,62964,sysselsatte_innvkat,personer
17,innvandrere,2013,4321,sysselsatte_innvkat,personer
18,alle,2013,119786,sysselsatte_innvkat,personer
18,befolkningen_ellers,2013,110531,sysselsatte_innvkat,personer
18,innvandrere,2013,9255,sysselsatte_innvkat,personer
19,alle,2013,84038,sysselsatte_innvkat,personer
19,befolkningen_ellers,2013,76082,sysselsatte_innvkat,personer
