"aar","bydel_nr","botid_3","vreg_3","enhet","tabellvariabel","tabell_navn","fylke_nr","naringsregion_nr","kommune_nr"
"2013","030102","0-4","alle","prosent","73.1","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030102","5+","1","personer","1880","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030102","5+","1","prosent","78.7","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030102","5+","2","personer","2911","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030102","5+","2","prosent","54.7","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030102","5+","alle","personer","4791","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030102","5+","alle","prosent","62.2","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030103","alle","1","personer","2350","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030103","alle","1","prosent","78.3","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030103","alle","2","personer","2025","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030103","alle","2","prosent","50.5","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030103","alle","alle","personer","4375","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030103","alle","alle","prosent","62.4","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030103","0-4","1","personer","1240","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030103","0-4","1","prosent","76.9","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030103","0-4","2","personer","469","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030103","0-4","2","prosent","55","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030103","0-4","alle","personer","1709","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030103","0-4","alle","prosent","69.3","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030103","5+","1","personer","1110","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030103","5+","1","prosent","80","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030103","5+","2","personer","1556","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030103","5+","2","prosent","49.3","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030103","5+","alle","personer","2666","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030103","5+","alle","prosent","58.7","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030104","alle","1","personer","3359","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030104","alle","1","prosent","79.3","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030104","alle","2","personer","1961","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030104","alle","2","prosent","60.9","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030104","alle","alle","personer","5320","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030104","alle","alle","prosent","71.4","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030104","0-4","1","personer","1999","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030104","0-4","1","prosent","79.4","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030104","0-4","2","personer","679","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030104","0-4","2","prosent","63.3","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030104","0-4","alle","personer","2678","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030104","0-4","alle","prosent","74.6","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030104","5+","1","personer","1360","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030104","5+","1","prosent","79.3","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030104","5+","2","personer","1282","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030104","5+","2","prosent","59.7","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030104","5+","alle","personer","2642","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030104","5+","alle","prosent","68.4","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030105","alle","1","personer","5619","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030105","alle","1","prosent","80.3","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030105","alle","2","personer","2647","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030105","alle","2","prosent","59.7","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030105","alle","alle","personer","8266","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030105","alle","alle","prosent","72.3","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030105","0-4","1","personer","3402","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030105","0-4","1","prosent","81.6","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030105","0-4","2","personer","1033","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030105","0-4","2","prosent","58.8","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030105","0-4","alle","personer","4435","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030105","0-4","alle","prosent","74.9","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030105","5+","1","personer","2217","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030105","5+","1","prosent","78.5","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030105","5+","2","personer","1614","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030105","5+","2","prosent","60.3","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030105","5+","alle","personer","3831","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030105","5+","alle","prosent","69.6","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030106","alle","1","personer","1800","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030106","alle","1","prosent","79.5","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030106","alle","2","personer","1022","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030106","alle","2","prosent","60.1","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030106","alle","alle","personer","2822","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030106","alle","alle","prosent","71.2","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030106","0-4","1","personer","734","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030106","0-4","1","prosent","75.4","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030106","0-4","2","personer","309","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030106","0-4","2","prosent","47.6","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030106","0-4","alle","personer","1043","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030106","0-4","alle","prosent","64.3","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030106","5+","1","personer","1066","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030106","5+","1","prosent","82.6","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030106","5+","2","personer","713","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030106","5+","2","prosent","67.8","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030106","5+","alle","personer","1779","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030106","5+","alle","prosent","76","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030107","alle","1","personer","2498","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030107","alle","1","prosent","78.1","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030107","alle","2","personer","1231","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030107","alle","2","prosent","52.4","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030107","alle","alle","personer","3729","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030107","alle","alle","prosent","67.2","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030107","0-4","1","personer","993","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030107","0-4","1","prosent","73.3","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030107","0-4","2","personer","379","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030107","0-4","2","prosent","37.2","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030107","0-4","alle","personer","1372","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030107","0-4","alle","prosent","57.8","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030107","5+","1","personer","1505","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030107","5+","1","prosent","81.7","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030107","5+","2","personer","852","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030107","5+","2","prosent","64.1","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030107","5+","alle","personer","2357","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030107","5+","alle","prosent","74.3","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030108","alle","1","personer","2295","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030108","alle","1","prosent","74.2","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030108","alle","2","personer","1769","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030108","alle","2","prosent","55.6","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030108","alle","alle","personer","4064","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030108","alle","alle","prosent","64.8","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030108","0-4","1","personer","988","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030108","0-4","1","prosent","64.5","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030108","0-4","2","personer","681","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030108","0-4","2","prosent","46.9","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030108","0-4","alle","personer","1669","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030108","0-4","alle","prosent","56","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030108","5+","1","personer","1307","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030108","5+","1","prosent","83.7","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030108","5+","2","personer","1088","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030108","5+","2","prosent","62.9","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030108","5+","alle","personer","2395","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030108","5+","alle","prosent","72.8","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030109","alle","1","personer","1674","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030109","alle","1","prosent","75.8","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030109","alle","2","personer","3477","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030109","alle","2","prosent","59.6","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030109","alle","alle","personer","5151","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030109","alle","alle","prosent","64.1","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030109","0-4","1","personer","806","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030109","0-4","1","prosent","71.2","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030109","0-4","2","personer","606","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030109","0-4","2","prosent","57.5","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030109","0-4","alle","personer","1412","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030109","0-4","alle","prosent","64.6","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030109","5+","1","personer","868","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030109","5+","1","prosent","80.6","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030109","5+","2","personer","2871","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030109","5+","2","prosent","60.1","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030109","5+","alle","personer","3739","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030109","5+","alle","prosent","63.9","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030110","alle","1","personer","1010","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030110","alle","1","prosent","74.4","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030110","alle","2","personer","3791","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030110","alle","2","prosent","62.2","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030110","alle","alle","personer","4801","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030110","alle","alle","prosent","64.4","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030110","0-4","1","personer","391","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030110","0-4","1","prosent","69.9","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030110","0-4","2","personer","431","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030110","0-4","2","prosent","54.8","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030110","0-4","alle","personer","822","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030110","0-4","alle","prosent","61.1","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030110","5+","1","personer","619","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030110","5+","1","prosent","77.6","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030110","5+","2","personer","3360","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030110","5+","2","prosent","63.3","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030110","5+","alle","personer","3979","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030110","5+","alle","prosent","65.2","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030111","alle","1","personer","1105","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030111","alle","1","prosent","76.3","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030111","alle","2","personer","4459","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030111","alle","2","prosent","59.2","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030111","alle","alle","personer","5564","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030111","alle","alle","prosent","61.9","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030111","0-4","1","personer","524","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030111","0-4","1","prosent","74.2","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030111","0-4","2","personer","445","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030111","0-4","2","prosent","47.6","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030111","0-4","alle","personer","969","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030111","0-4","alle","prosent","59.1","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030111","5+","1","personer","581","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030111","5+","1","prosent","78.2","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030111","5+","2","personer","4014","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030111","5+","2","prosent","60.8","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030111","5+","alle","personer","4595","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030111","5+","alle","prosent","62.6","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030112","alle","1","personer","1780","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030112","alle","1","prosent","75.8","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030112","alle","2","personer","6979","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030112","alle","2","prosent","59.8","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030112","alle","alle","personer","8759","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030112","alle","alle","prosent","62.5","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030112","0-4","1","personer","739","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030112","0-4","1","prosent","74.6","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030112","0-4","2","personer","758","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030112","0-4","2","prosent","51.3","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030112","0-4","alle","personer","1497","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030112","0-4","alle","prosent","60.7","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030112","5+","1","personer","1041","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030112","5+","1","prosent","76.7","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030112","5+","2","personer","6221","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030112","5+","2","prosent","61","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030112","5+","alle","personer","7262","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030112","5+","alle","prosent","62.9","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030113","alle","1","personer","1729","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030113","alle","1","prosent","79.8","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030113","alle","2","personer","2960","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030113","alle","2","prosent","60.9","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030113","alle","alle","personer","4689","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030113","alle","alle","prosent","66.7","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030113","0-4","1","personer","610","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030113","0-4","1","prosent","75.2","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030113","0-4","2","personer","418","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030113","0-4","2","prosent","52.7","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030113","0-4","alle","personer","1028","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030113","0-4","alle","prosent","64.1","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030113","5+","1","personer","1119","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030113","5+","1","prosent","82.5","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030113","5+","2","personer","2542","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030113","5+","2","prosent","62.5","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030113","5+","alle","personer","3661","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030113","5+","alle","prosent","67.5","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030114","alle","1","personer","2289","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030114","alle","1","prosent","79.8","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030114","alle","2","personer","1511","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030114","alle","2","prosent","58.6","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030114","alle","alle","personer","3800","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030114","alle","alle","prosent","69.8","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030114","0-4","1","personer","890","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030114","0-4","1","prosent","75.8","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030114","0-4","2","personer","262","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030114","0-4","2","prosent","42","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030114","0-4","alle","personer","1152","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030114","0-4","alle","prosent","64.1","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030114","5+","1","personer","1399","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030114","5+","1","prosent","82.6","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030114","5+","2","personer","1249","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030114","5+","2","prosent","63.9","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030114","5+","alle","personer","2648","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030114","5+","alle","prosent","72.6","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030115","alle","1","personer","1618","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030115","alle","1","prosent","75.3","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030115","alle","2","personer","4746","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030115","alle","2","prosent","56.5","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030115","alle","alle","personer","6364","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030115","alle","alle","prosent","60.4","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030115","0-4","1","personer","599","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030115","0-4","1","prosent","69.1","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030115","0-4","2","personer","438","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030115","0-4","2","prosent","47.2","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030115","0-4","alle","personer","1037","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030115","0-4","alle","prosent","57.8","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030115","5+","1","personer","1019","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030115","5+","1","prosent","79.4","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030115","5+","2","personer","4308","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030115","5+","2","prosent","57.7","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030115","5+","alle","personer","5327","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030115","5+","alle","prosent","60.9","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030116","alle","1","personer","14","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030116","alle","1","prosent","66.7","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030116","alle","2","personer","22","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030116","alle","2","prosent","68.8","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030116","alle","alle","personer","36","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030116","alle","alle","prosent","67.9","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030116","0-4","1","personer","9","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030116","0-4","1","prosent","60","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030116","0-4","2","personer","6","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030116","0-4","2","prosent","66.7","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030116","0-4","alle","personer","15","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030116","0-4","alle","prosent","62.5","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030116","5+","1","personer","5","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030116","5+","1","prosent","83.3","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030116","5+","2","personer","16","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030116","5+","2","prosent","69.6","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030116","5+","alle","personer","21","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030116","5+","alle","prosent","72.4","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030117","alle","1","personer","76","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030117","alle","1","prosent","78.4","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030117","alle","2","personer","16","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030117","alle","2","prosent","55.2","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030117","alle","alle","personer","92","sysselsatte_botid_land","NULL","NULL","NULL"
"2013","030117","alle","alle","prosent","73","sysselsatte_botid_land","NULL","NULL","NULL"
