tabell_navn;aar;bydel_id;botid_3;forste_bosettingskommune;enhet;tabellvariabel;
flyktning_botid_flytting;2015;11;5+;ja;person;1165;
flyktning_botid_flytting;2015;11;5+;nei;person;1638;
flyktning_botid_flytting;2015;11;5+;uoppgitt;person;1321;
flyktning_botid_flytting;2015;12;alle;alle;person;6653;
flyktning_botid_flytting;2015;12;0-4;alle;person;485;
flyktning_botid_flytting;2015;12;5+;alle;person;6168;
flyktning_botid_flytting;2015;12;0-4;ja;person;227;
flyktning_botid_flytting;2015;12;0-4;nei;person;93;
flyktning_botid_flytting;2015;12;0-4;uoppgitt;person;165;
flyktning_botid_flytting;2015;12;5+;ja;person;1792;
flyktning_botid_flytting;2015;12;5+;nei;person;2469;
flyktning_botid_flytting;2015;12;5+;uoppgitt;person;1907;
flyktning_botid_flytting;2015;13;alle;alle;person;2759;
flyktning_botid_flytting;2015;13;0-4;alle;person;243;
flyktning_botid_flytting;2015;13;5+;alle;person;2516;
flyktning_botid_flytting;2015;13;0-4;ja;person;157;
flyktning_botid_flytting;2015;13;0-4;nei;person;26;
flyktning_botid_flytting;2015;13;0-4;uoppgitt;person;60;
flyktning_botid_flytting;2015;13;5+;ja;person;833;
flyktning_botid_flytting;2015;13;5+;nei;person;959;
flyktning_botid_flytting;2015;13;5+;uoppgitt;person;724;
flyktning_botid_flytting;2015;14;alle;alle;person;1379;
flyktning_botid_flytting;2015;14;0-4;alle;person;192;
flyktning_botid_flytting;2015;14;5+;alle;person;1187;
flyktning_botid_flytting;2015;14;0-4;ja;person;137;
flyktning_botid_flytting;2015;14;0-4;nei;person;14;
flyktning_botid_flytting;2015;14;0-4;uoppgitt;person;41;
flyktning_botid_flytting;2015;14;5+;ja;person;410;
flyktning_botid_flytting;2015;14;5+;nei;person;435;
flyktning_botid_flytting;2015;14;5+;uoppgitt;person;342;
flyktning_botid_flytting;2015;15;alle;alle;person;4554;
flyktning_botid_flytting;2015;15;0-4;alle;person;311;
flyktning_botid_flytting;2015;15;5+;alle;person;4243;
flyktning_botid_flytting;2015;15;0-4;ja;person;155;
flyktning_botid_flytting;2015;15;0-4;nei;person;64;
flyktning_botid_flytting;2015;15;0-4;uoppgitt;person;92;
flyktning_botid_flytting;2015;15;5+;ja;person;1244;
flyktning_botid_flytting;2015;15;5+;nei;person;1790;
flyktning_botid_flytting;2015;15;5+;uoppgitt;person;1209;
flyktning_botid_flytting;2015;16;alle;alle;person;102;
flyktning_botid_flytting;2015;16;0-4;alle;person;6;
flyktning_botid_flytting;2015;16;5+;alle;person;96;
flyktning_botid_flytting;2015;16;0-4;ja;person;3;
flyktning_botid_flytting;2015;16;0-4;nei;person;0;
flyktning_botid_flytting;2015;16;0-4;uoppgitt;person;3;
flyktning_botid_flytting;2015;16;5+;ja;person;27;
flyktning_botid_flytting;2015;16;5+;nei;person;50;
flyktning_botid_flytting;2015;16;5+;uoppgitt;person;19;
flyktning_botid_flytting;2015;17;alle;alle;person;6;
flyktning_botid_flytting;2015;17;0-4;alle;person;3;
flyktning_botid_flytting;2015;17;5+;alle;person;3;
flyktning_botid_flytting;2015;17;0-4;ja;person;0;
flyktning_botid_flytting;2015;17;0-4;nei;person;3;
flyktning_botid_flytting;2015;17;0-4;uoppgitt;person;0;
flyktning_botid_flytting;2015;17;5+;ja;person;0;
flyktning_botid_flytting;2015;17;5+;nei;person;0;
flyktning_botid_flytting;2015;17;5+;uoppgitt;person;3;
flyktning_botid_flytting;2015;99;alle;alle;person;947;
flyktning_botid_flytting;2015;99;0-4;alle;person;52;
flyktning_botid_flytting;2015;99;5+;alle;person;895;
flyktning_botid_flytting;2015;99;0-4;ja;person;22;
flyktning_botid_flytting;2015;99;0-4;nei;person;16;
flyktning_botid_flytting;2015;99;0-4;uoppgitt;person;14;
flyktning_botid_flytting;2015;99;5+;ja;person;231;
flyktning_botid_flytting;2015;99;5+;nei;person;463;
flyktning_botid_flytting;2015;99;5+;uoppgitt;person;201;
flyktning_botid_flytting;2015;01;alle;alle;prosent;100,0;
flyktning_botid_flytting;2015;01;0-4;alle;prosent;9,0;
flyktning_botid_flytting;2015;01;5+;alle;prosent;91,0;
flyktning_botid_flytting;2015;01;0-4;ja;prosent;4,2;
flyktning_botid_flytting;2015;01;0-4;nei;prosent;2,0;
flyktning_botid_flytting;2015;01;0-4;uoppgitt;prosent;2,8;
flyktning_botid_flytting;2015;01;5+;ja;prosent;24,6;
flyktning_botid_flytting;2015;01;5+;nei;prosent;44,0;
flyktning_botid_flytting;2015;01;5+;uoppgitt;prosent;22,4;
flyktning_botid_flytting;2015;02;alle;alle;prosent;100,0;
flyktning_botid_flytting;2015;02;0-4;alle;prosent;10,0;
flyktning_botid_flytting;2015;02;5+;alle;prosent;90,0;
flyktning_botid_flytting;2015;02;0-4;ja;prosent;5,2;
flyktning_botid_flytting;2015;02;0-4;nei;prosent;2,0;
flyktning_botid_flytting;2015;02;0-4;uoppgitt;prosent;2,8;
flyktning_botid_flytting;2015;02;5+;ja;prosent;22,2;
flyktning_botid_flytting;2015;02;5+;nei;prosent;45,3;
flyktning_botid_flytting;2015;02;5+;uoppgitt;prosent;22,5;
flyktning_botid_flytting;2015;03;alle;alle;prosent;100,0;
flyktning_botid_flytting;2015;03;0-4;alle;prosent;10,2;
flyktning_botid_flytting;2015;03;5+;alle;prosent;89,8;
flyktning_botid_flytting;2015;03;0-4;ja;prosent;6,9;
flyktning_botid_flytting;2015;03;0-4;nei;prosent;1,0;
flyktning_botid_flytting;2015;03;0-4;uoppgitt;prosent;2,3;
flyktning_botid_flytting;2015;03;5+;ja;prosent;24,1;
flyktning_botid_flytting;2015;03;5+;nei;prosent;42,4;
flyktning_botid_flytting;2015;03;5+;uoppgitt;prosent;23,3;
flyktning_botid_flytting;2015;04;alle;alle;prosent;100,0;
flyktning_botid_flytting;2015;04;0-4;alle;prosent;13,6;
flyktning_botid_flytting;2015;04;5+;alle;prosent;86,4;
flyktning_botid_flytting;2015;04;0-4;ja;prosent;9,8;
flyktning_botid_flytting;2015;04;0-4;nei;prosent;1,8;
flyktning_botid_flytting;2015;04;0-4;uoppgitt;prosent;2,0;
flyktning_botid_flytting;2015;04;5+;ja;prosent;21,7;
flyktning_botid_flytting;2015;04;5+;nei;prosent;44,3;
flyktning_botid_flytting;2015;04;5+;uoppgitt;prosent;20,3;
flyktning_botid_flytting;2015;05;alle;alle;prosent;100,0;
flyktning_botid_flytting;2015;05;0-4;alle;prosent;13,7;
flyktning_botid_flytting;2015;05;5+;alle;prosent;86,3;
flyktning_botid_flytting;2015;05;0-4;ja;prosent;9,5;
flyktning_botid_flytting;2015;05;0-4;nei;prosent;1,4;
flyktning_botid_flytting;2015;05;0-4;uoppgitt;prosent;2,8;
flyktning_botid_flytting;2015;05;5+;ja;prosent;24,8;
flyktning_botid_flytting;2015;05;5+;nei;prosent;38,6;
flyktning_botid_flytting;2015;05;5+;uoppgitt;prosent;22,9;
flyktning_botid_flytting;2015;06;alle;alle;prosent;100,0;
flyktning_botid_flytting;2015;06;0-4;alle;prosent;14,8;
flyktning_botid_flytting;2015;06;5+;alle;prosent;85,2;
flyktning_botid_flytting;2015;06;0-4;ja;prosent;11,1;
flyktning_botid_flytting;2015;06;0-4;nei;prosent;1,4;
flyktning_botid_flytting;2015;06;0-4;uoppgitt;prosent;2,3;
flyktning_botid_flytting;2015;06;5+;ja;prosent;24,7;
flyktning_botid_flytting;2015;06;5+;nei;prosent;31,4;
flyktning_botid_flytting;2015;06;5+;uoppgitt;prosent;29,1;
flyktning_botid_flytting;2015;07;alle;alle;prosent;100,0;
flyktning_botid_flytting;2015;07;0-4;alle;prosent;19,2;
flyktning_botid_flytting;2015;07;5+;alle;prosent;80,8;
flyktning_botid_flytting;2015;07;0-4;ja;prosent;15,5;
flyktning_botid_flytting;2015;07;0-4;nei;prosent;1,3;
flyktning_botid_flytting;2015;07;0-4;uoppgitt;prosent;2,4;
flyktning_botid_flytting;2015;07;5+;ja;prosent;29,1;
flyktning_botid_flytting;2015;07;5+;nei;prosent;27,1;
flyktning_botid_flytting;2015;07;5+;uoppgitt;prosent;24,7;
flyktning_botid_flytting;2015;08;alle;alle;prosent;100,0;
flyktning_botid_flytting;2015;08;0-4;alle;prosent;13,4;
flyktning_botid_flytting;2015;08;5+;alle;prosent;86,6;
flyktning_botid_flytting;2015;08;0-4;ja;prosent;8,2;
flyktning_botid_flytting;2015;08;0-4;nei;prosent;1,9;
flyktning_botid_flytting;2015;08;0-4;uoppgitt;prosent;3,3;
flyktning_botid_flytting;2015;08;5+;ja;prosent;22,8;
flyktning_botid_flytting;2015;08;5+;nei;prosent;41,0;
flyktning_botid_flytting;2015;08;5+;uoppgitt;prosent;22,9;
flyktning_botid_flytting;2015;09;alle;alle;prosent;100,0;
flyktning_botid_flytting;2015;09;0-4;alle;prosent;7,0;
flyktning_botid_flytting;2015;09;5+;alle;prosent;93,0;
flyktning_botid_flytting;2015;09;0-4;ja;prosent;3,6;
flyktning_botid_flytting;2015;09;0-4;nei;prosent;1,1;
flyktning_botid_flytting;2015;09;0-4;uoppgitt;prosent;2,3;
flyktning_botid_flytting;2015;09;5+;ja;prosent;24,6;
flyktning_botid_flytting;2015;09;5+;nei;prosent;40,5;
flyktning_botid_flytting;2015;09;5+;uoppgitt;prosent;28,0;
flyktning_botid_flytting;2015;10;alle;alle;prosent;100,0;
flyktning_botid_flytting;2015;10;0-4;alle;prosent;7,0;
flyktning_botid_flytting;2015;10;5+;alle;prosent;93,0;
flyktning_botid_flytting;2015;10;0-4;ja;prosent;3,1;
flyktning_botid_flytting;2015;10;0-4;nei;prosent;1,3;
flyktning_botid_flytting;2015;10;0-4;uoppgitt;prosent;2,6;
flyktning_botid_flytting;2015;10;5+;ja;prosent;27,8;
flyktning_botid_flytting;2015;10;5+;nei;prosent;35,8;
flyktning_botid_flytting;2015;10;5+;uoppgitt;prosent;29,3;
flyktning_botid_flytting;2015;11;alle;alle;prosent;100,0;
flyktning_botid_flytting;2015;11;0-4;alle;prosent;7,9;
flyktning_botid_flytting;2015;11;5+;alle;prosent;92,1;
flyktning_botid_flytting;2015;11;0-4;ja;prosent;4,2;
flyktning_botid_flytting;2015;11;0-4;nei;prosent;1,1;
flyktning_botid_flytting;2015;11;0-4;uoppgitt;prosent;2,6;
flyktning_botid_flytting;2015;11;5+;ja;prosent;26,0;
flyktning_botid_flytting;2015;11;5+;nei;prosent;36,6;
flyktning_botid_flytting;2015;11;5+;uoppgitt;prosent;29,5;
flyktning_botid_flytting;2015;12;alle;alle;prosent;100,0;
flyktning_botid_flytting;2015;12;0-4;alle;prosent;7,3;
flyktning_botid_flytting;2015;12;5+;alle;prosent;92,7;
flyktning_botid_flytting;2015;12;0-4;ja;prosent;3,4;
flyktning_botid_flytting;2015;12;0-4;nei;prosent;1,4;
flyktning_botid_flytting;2015;12;0-4;uoppgitt;prosent;2,5;
flyktning_botid_flytting;2015;12;5+;ja;prosent;26,9;
flyktning_botid_flytting;2015;12;5+;nei;prosent;37,1;
flyktning_botid_flytting;2015;12;5+;uoppgitt;prosent;28,7;
flyktning_botid_flytting;2015;13;alle;alle;prosent;100,0;
flyktning_botid_flytting;2015;13;0-4;alle;prosent;8,8;
flyktning_botid_flytting;2015;13;5+;alle;prosent;91,2;
flyktning_botid_flytting;2015;13;0-4;ja;prosent;5,7;
flyktning_botid_flytting;2015;13;0-4;nei;prosent;0,9;
flyktning_botid_flytting;2015;13;0-4;uoppgitt;prosent;2,2;
flyktning_botid_flytting;2015;13;5+;ja;prosent;30,2;
flyktning_botid_flytting;2015;13;5+;nei;prosent;34,8;
flyktning_botid_flytting;2015;13;5+;uoppgitt;prosent;26,2;
flyktning_botid_flytting;2015;14;alle;alle;prosent;100,0;
flyktning_botid_flytting;2015;14;0-4;alle;prosent;13,9;
flyktning_botid_flytting;2015;14;5+;alle;prosent;86,1;
flyktning_botid_flytting;2015;14;0-4;ja;prosent;9,9;
flyktning_botid_flytting;2015;14;0-4;nei;prosent;1,0;
flyktning_botid_flytting;2015;14;0-4;uoppgitt;prosent;3,0;
flyktning_botid_flytting;2015;14;5+;ja;prosent;29,7;
flyktning_botid_flytting;2015;14;5+;nei;prosent;31,5;
flyktning_botid_flytting;2015;14;5+;uoppgitt;prosent;24,8;
flyktning_botid_flytting;2015;15;alle;alle;prosent;100,0;
flyktning_botid_flytting;2015;15;0-4;alle;prosent;6,8;
flyktning_botid_flytting;2015;15;5+;alle;prosent;93,2;
flyktning_botid_flytting;2015;15;0-4;ja;prosent;3,4;
flyktning_botid_flytting;2015;15;0-4;nei;prosent;1,4;
flyktning_botid_flytting;2015;15;0-4;uoppgitt;prosent;2,0;
flyktning_botid_flytting;2015;15;5+;ja;prosent;27,3;
flyktning_botid_flytting;2015;15;5+;nei;prosent;39,3;
flyktning_botid_flytting;2015;15;5+;uoppgitt;prosent;26,5;
flyktning_botid_flytting;2015;16;alle;alle;prosent;100,0;
flyktning_botid_flytting;2015;16;0-4;alle;prosent;5,9;
flyktning_botid_flytting;2015;16;5+;alle;prosent;94,1;
flyktning_botid_flytting;2015;16;0-4;ja;prosent;2,9;
flyktning_botid_flytting;2015;16;0-4;nei;prosent;0,0;
flyktning_botid_flytting;2015;16;0-4;uoppgitt;prosent;2,9;
flyktning_botid_flytting;2015;16;5+;ja;prosent;26,5;
flyktning_botid_flytting;2015;16;5+;nei;prosent;49,0;
flyktning_botid_flytting;2015;16;5+;uoppgitt;prosent;18,6;
flyktning_botid_flytting;2015;17;alle;alle;prosent;100,0;
flyktning_botid_flytting;2015;17;0-4;alle;prosent;50,0;
flyktning_botid_flytting;2015;17;5+;alle;prosent;50,0;
flyktning_botid_flytting;2015;17;0-4;ja;prosent;0,0;
flyktning_botid_flytting;2015;17;0-4;nei;prosent;50,0;
flyktning_botid_flytting;2015;17;0-4;uoppgitt;prosent;0,0;
flyktning_botid_flytting;2015;17;5+;ja;prosent;0,0;
flyktning_botid_flytting;2015;17;5+;nei;prosent;0,0;
flyktning_botid_flytting;2015;17;5+;uoppgitt;prosent;50,0;
flyktning_botid_flytting;2015;99;alle;alle;prosent;100,0;
flyktning_botid_flytting;2015;99;0-4;alle;prosent;5,5;
flyktning_botid_flytting;2015;99;5+;alle;prosent;94,5;
flyktning_botid_flytting;2015;99;0-4;ja;prosent;2,3;
flyktning_botid_flytting;2015;99;0-4;nei;prosent;1,7;
flyktning_botid_flytting;2015;99;0-4;uoppgitt;prosent;1,5;
flyktning_botid_flytting;2015;99;5+;ja;prosent;24,4;
flyktning_botid_flytting;2015;99;5+;nei;prosent;48,9;
flyktning_botid_flytting;2015;99;5+;uoppgitt;prosent;21,2;
