tabell_navn;aar;kommune_nr;kjonn;innvkat_5;vreg_3;invalder_3;enhet;tabellvariabel
grunnskolepoeng;2014-2015;0101;1;innvandrere;alle;7+;person;13
grunnskolepoeng;2014-2015;0101;1;innvandrere;alle;alle;grunnskolepoeng;32
grunnskolepoeng;2014-2015;0101;1;innvandrere;alle;alle;person;20
grunnskolepoeng;2014-2015;0101;1;norskfodte_m_innvf;NULL;NULL;grunnskolepoeng;32,4
grunnskolepoeng;2014-2015;0101;1;norskfodte_m_innvf;NULL;NULL;person;8
grunnskolepoeng;2014-2015;0101;0;alle;NULL;NULL;grunnskolepoeng;41,6
grunnskolepoeng;2014-2015;0101;0;alle;NULL;NULL;person;167
grunnskolepoeng;2014-2015;0101;0;bef_u_innv_og_norskf;NULL;NULL;grunnskolepoeng;42,4
grunnskolepoeng;2014-2015;0101;0;bef_u_innv_og_norskf;NULL;NULL;person;139
grunnskolepoeng;2014-2015;0101;0;befolkningen_ellers;NULL;NULL;grunnskolepoeng;42
grunnskolepoeng;2014-2015;0101;0;befolkningen_ellers;NULL;NULL;person;152
grunnskolepoeng;2014-2015;0101;0;innvandrere;1;0_6;grunnskolepoeng;29,2
grunnskolepoeng;2014-2015;0101;0;innvandrere;1;0_6;person;3
grunnskolepoeng;2014-2015;0101;0;innvandrere;1;7+;grunnskolepoeng;41,4
grunnskolepoeng;2014-2015;0101;0;innvandrere;1;7+;person;4
grunnskolepoeng;2014-2015;0101;0;innvandrere;1;alle;grunnskolepoeng;39
grunnskolepoeng;2014-2015;0101;0;innvandrere;1;alle;person;5
grunnskolepoeng;2014-2015;0101;0;innvandrere;2;0_6;grunnskolepoeng;42,4
grunnskolepoeng;2014-2015;0101;0;innvandrere;2;0_6;person;6
grunnskolepoeng;2014-2015;0101;0;innvandrere;2;7+;grunnskolepoeng;27,8
grunnskolepoeng;2014-2015;0101;0;innvandrere;2;7+;person;4
grunnskolepoeng;2014-2015;0101;0;innvandrere;2;alle;grunnskolepoeng;36,6
grunnskolepoeng;2014-2015;0101;0;innvandrere;2;alle;person;10
grunnskolepoeng;2014-2015;0101;0;innvandrere;alle;0_6;grunnskolepoeng;40,4
grunnskolepoeng;2014-2015;0101;0;innvandrere;alle;0_6;person;7
grunnskolepoeng;2014-2015;0101;0;innvandrere;alle;7+;grunnskolepoeng;34,6
grunnskolepoeng;2014-2015;0101;0;innvandrere;alle;7+;person;8
grunnskolepoeng;2014-2015;0101;0;innvandrere;alle;alle;grunnskolepoeng;37,4
grunnskolepoeng;2014-2015;0101;0;innvandrere;alle;alle;person;15
grunnskolepoeng;2014-2015;0101;0;norskfodte_m_innvf;NULL;NULL;grunnskolepoeng;38
grunnskolepoeng;2014-2015;0101;0;norskfodte_m_innvf;NULL;NULL;person;13
grunnskolepoeng;2014-2015;0104;alle;alle;NULL;NULL;grunnskolepoeng;40,8
grunnskolepoeng;2014-2015;0104;alle;alle;NULL;NULL;person;353
grunnskolepoeng;2014-2015;0104;alle;bef_u_innv_og_norskf;NULL;NULL;grunnskolepoeng;41,2
grunnskolepoeng;2014-2015;0104;alle;bef_u_innv_og_norskf;NULL;NULL;person;280
grunnskolepoeng;2014-2015;0104;alle;befolkningen_ellers;NULL;NULL;grunnskolepoeng;41,2
grunnskolepoeng;2014-2015;0104;alle;befolkningen_ellers;NULL;NULL;person;317
grunnskolepoeng;2014-2015;0104;alle;innvandrere;1;0_6;grunnskolepoeng;45,8
grunnskolepoeng;2014-2015;0104;alle;innvandrere;1;0_6;person;3
grunnskolepoeng;2014-2015;0104;alle;innvandrere;1;7+;grunnskolepoeng;38,8
grunnskolepoeng;2014-2015;0104;alle;innvandrere;1;7+;person;12
grunnskolepoeng;2014-2015;0104;alle;innvandrere;1;alle;grunnskolepoeng;39,8
grunnskolepoeng;2014-2015;0104;alle;innvandrere;1;alle;person;14
grunnskolepoeng;2014-2015;0104;alle;innvandrere;2;0_6;grunnskolepoeng;37,6
grunnskolepoeng;2014-2015;0104;alle;innvandrere;2;0_6;person;14
grunnskolepoeng;2014-2015;0104;alle;innvandrere;2;7+;grunnskolepoeng;32
grunnskolepoeng;2014-2015;0104;alle;innvandrere;2;7+;person;8
grunnskolepoeng;2014-2015;0104;alle;innvandrere;2;alle;grunnskolepoeng;35,6
grunnskolepoeng;2014-2015;0104;alle;innvandrere;2;alle;person;22
grunnskolepoeng;2014-2015;0104;alle;innvandrere;alle;0_6;grunnskolepoeng;38,6
grunnskolepoeng;2014-2015;0104;alle;innvandrere;alle;0_6;person;16
grunnskolepoeng;2014-2015;0104;alle;innvandrere;alle;7+;grunnskolepoeng;36
grunnskolepoeng;2014-2015;0104;alle;innvandrere;alle;7+;person;20
grunnskolepoeng;2014-2015;0104;alle;innvandrere;alle;alle;grunnskolepoeng;37,2
grunnskolepoeng;2014-2015;0104;alle;innvandrere;alle;alle;person;36
grunnskolepoeng;2014-2015;0104;alle;norskfodte_m_innvf;NULL;NULL;grunnskolepoeng;40,8
grunnskolepoeng;2014-2015;0104;alle;norskfodte_m_innvf;NULL;NULL;person;37
grunnskolepoeng;2014-2015;0104;1;alle;NULL;NULL;grunnskolepoeng;38,2
grunnskolepoeng;2014-2015;0104;1;alle;NULL;NULL;person;197
grunnskolepoeng;2014-2015;0104;1;bef_u_innv_og_norskf;NULL;NULL;grunnskolepoeng;38,8
grunnskolepoeng;2014-2015;0104;1;bef_u_innv_og_norskf;NULL;NULL;person;155
grunnskolepoeng;2014-2015;0104;1;befolkningen_ellers;NULL;NULL;grunnskolepoeng;38,6
grunnskolepoeng;2014-2015;0104;1;befolkningen_ellers;NULL;NULL;person;176
grunnskolepoeng;2014-2015;0104;1;innvandrere;1;0_6;grunnskolepoeng;0
grunnskolepoeng;2014-2015;0104;1;innvandrere;1;0_6;person;0
grunnskolepoeng;2014-2015;0104;1;innvandrere;1;7+;grunnskolepoeng;32,4
grunnskolepoeng;2014-2015;0104;1;innvandrere;1;7+;person;6
grunnskolepoeng;2014-2015;0104;1;innvandrere;1;alle;grunnskolepoeng;32,4
grunnskolepoeng;2014-2015;0104;1;innvandrere;1;alle;person;6
grunnskolepoeng;2014-2015;0104;1;innvandrere;2;0_6;grunnskolepoeng;38,6
grunnskolepoeng;2014-2015;0104;1;innvandrere;2;0_6;person;9
grunnskolepoeng;2014-2015;0104;1;innvandrere;2;7+;grunnskolepoeng;31
grunnskolepoeng;2014-2015;0104;1;innvandrere;2;7+;person;6
grunnskolepoeng;2014-2015;0104;1;innvandrere;2;alle;grunnskolepoeng;35,6
grunnskolepoeng;2014-2015;0104;1;innvandrere;2;alle;person;15
grunnskolepoeng;2014-2015;0104;1;innvandrere;alle;0_6;grunnskolepoeng;38,6
grunnskolepoeng;2014-2015;0104;1;innvandrere;alle;0_6;person;9
grunnskolepoeng;2014-2015;0104;1;innvandrere;alle;7+;grunnskolepoeng;31,8
grunnskolepoeng;2014-2015;0104;1;innvandrere;alle;7+;person;12
grunnskolepoeng;2014-2015;0104;1;innvandrere;alle;alle;grunnskolepoeng;34,6
grunnskolepoeng;2014-2015;0104;1;innvandrere;alle;alle;person;21
grunnskolepoeng;2014-2015;0104;1;norskfodte_m_innvf;NULL;NULL;grunnskolepoeng;37
grunnskolepoeng;2014-2015;0104;1;norskfodte_m_innvf;NULL;NULL;person;21
grunnskolepoeng;2014-2015;0104;0;alle;NULL;NULL;grunnskolepoeng;44,2
grunnskolepoeng;2014-2015;0104;0;alle;NULL;NULL;person;156
grunnskolepoeng;2014-2015;0104;0;bef_u_innv_og_norskf;NULL;NULL;grunnskolepoeng;44,4
grunnskolepoeng;2014-2015;0104;0;bef_u_innv_og_norskf;NULL;NULL;person;125
grunnskolepoeng;2014-2015;0104;0;befolkningen_ellers;NULL;NULL;grunnskolepoeng;44,6
grunnskolepoeng;2014-2015;0104;0;befolkningen_ellers;NULL;NULL;person;141
grunnskolepoeng;2014-2015;0104;0;innvandrere;1;0_6;grunnskolepoeng;45,8
grunnskolepoeng;2014-2015;0104;0;innvandrere;1;0_6;person;3
grunnskolepoeng;2014-2015;0104;0;innvandrere;1;7+;grunnskolepoeng;45,2
grunnskolepoeng;2014-2015;0104;0;innvandrere;1;7+;person;6
grunnskolepoeng;2014-2015;0104;0;innvandrere;1;alle;grunnskolepoeng;45,4
grunnskolepoeng;2014-2015;0104;0;innvandrere;1;alle;person;8
grunnskolepoeng;2014-2015;0104;0;innvandrere;2;0_6;grunnskolepoeng;36
grunnskolepoeng;2014-2015;0104;0;innvandrere;2;0_6;person;5
grunnskolepoeng;2014-2015;0104;0;innvandrere;2;7+;grunnskolepoeng;0
grunnskolepoeng;2014-2015;0104;0;innvandrere;2;7+;person;0
grunnskolepoeng;2014-2015;0104;0;innvandrere;2;alle;grunnskolepoeng;35,6
grunnskolepoeng;2014-2015;0104;0;innvandrere;2;alle;person;7
grunnskolepoeng;2014-2015;0104;0;innvandrere;alle;0_6;grunnskolepoeng;38,8
grunnskolepoeng;2014-2015;0104;0;innvandrere;alle;0_6;person;7
grunnskolepoeng;2014-2015;0104;0;innvandrere;alle;7+;grunnskolepoeng;42,6
grunnskolepoeng;2014-2015;0104;0;innvandrere;alle;7+;person;8
grunnskolepoeng;2014-2015;0104;0;innvandrere;alle;alle;grunnskolepoeng;40,8
grunnskolepoeng;2014-2015;0104;0;innvandrere;alle;alle;person;15
grunnskolepoeng;2014-2015;0104;0;norskfodte_m_innvf;NULL;NULL;grunnskolepoeng;45,6
grunnskolepoeng;2014-2015;0104;0;norskfodte_m_innvf;NULL;NULL;person;16
grunnskolepoeng;2014-2015;0105;alle;alle;NULL;NULL;grunnskolepoeng;38,6
grunnskolepoeng;2014-2015;0105;alle;alle;NULL;NULL;person;649
grunnskolepoeng;2014-2015;0105;alle;bef_u_innv_og_norskf;NULL;NULL;grunnskolepoeng;39,2
grunnskolepoeng;2014-2015;0105;alle;bef_u_innv_og_norskf;NULL;NULL;person;534
grunnskolepoeng;2014-2015;0105;alle;befolkningen_ellers;NULL;NULL;grunnskolepoeng;39
grunnskolepoeng;2014-2015;0105;alle;befolkningen_ellers;NULL;NULL;person;583
grunnskolepoeng;2014-2015;0105;alle;innvandrere;1;0_6;grunnskolepoeng;32,6
grunnskolepoeng;2014-2015;0105;alle;innvandrere;1;0_6;person;4
grunnskolepoeng;2014-2015;0105;alle;innvandrere;1;7+;grunnskolepoeng;36,4
grunnskolepoeng;2014-2015;0105;alle;innvandrere;1;7+;person;15
grunnskolepoeng;2014-2015;0105;alle;innvandrere;1;alle;grunnskolepoeng;35,6
grunnskolepoeng;2014-2015;0105;alle;innvandrere;1;alle;person;19
grunnskolepoeng;2014-2015;0105;alle;innvandrere;2;0_6;grunnskolepoeng;34,6
grunnskolepoeng;2014-2015;0105;alle;innvandrere;2;0_6;person;32
grunnskolepoeng;2014-2015;0105;alle;innvandrere;2;7+;grunnskolepoeng;29,6
grunnskolepoeng;2014-2015;0105;alle;innvandrere;2;7+;person;15
grunnskolepoeng;2014-2015;0105;alle;innvandrere;2;alle;grunnskolepoeng;33
grunnskolepoeng;2014-2015;0105;alle;innvandrere;2;alle;person;47
grunnskolepoeng;2014-2015;0105;alle;innvandrere;alle;0_6;grunnskolepoeng;34,4
grunnskolepoeng;2014-2015;0105;alle;innvandrere;alle;0_6;person;36
grunnskolepoeng;2014-2015;0105;alle;innvandrere;alle;7+;grunnskolepoeng;33
grunnskolepoeng;2014-2015;0105;alle;innvandrere;alle;7+;person;30
grunnskolepoeng;2014-2015;0105;alle;innvandrere;alle;alle;grunnskolepoeng;33,8
grunnskolepoeng;2014-2015;0105;alle;innvandrere;alle;alle;person;66
grunnskolepoeng;2014-2015;0105;alle;norskfodte_m_innvf;NULL;NULL;grunnskolepoeng;37,2
grunnskolepoeng;2014-2015;0105;alle;norskfodte_m_innvf;NULL;NULL;person;49
grunnskolepoeng;2014-2015;0105;1;alle;NULL;NULL;grunnskolepoeng;36,8
grunnskolepoeng;2014-2015;0105;1;alle;NULL;NULL;person;315
grunnskolepoeng;2014-2015;0105;1;bef_u_innv_og_norskf;NULL;NULL;grunnskolepoeng;37,4
grunnskolepoeng;2014-2015;0105;1;bef_u_innv_og_norskf;NULL;NULL;person;258
grunnskolepoeng;2014-2015;0105;1;befolkningen_ellers;NULL;NULL;grunnskolepoeng;37,2
grunnskolepoeng;2014-2015;0105;1;befolkningen_ellers;NULL;NULL;person;286
grunnskolepoeng;2014-2015;0105;1;innvandrere;1;0_6;grunnskolepoeng;0
grunnskolepoeng;2014-2015;0105;1;innvandrere;1;0_6;person;0
grunnskolepoeng;2014-2015;0105;1;innvandrere;1;7+;grunnskolepoeng;33
grunnskolepoeng;2014-2015;0105;1;innvandrere;1;7+;person;8
grunnskolepoeng;2014-2015;0105;1;innvandrere;1;alle;grunnskolepoeng;32,4
grunnskolepoeng;2014-2015;0105;1;innvandrere;1;alle;person;9
grunnskolepoeng;2014-2015;0105;1;innvandrere;2;0_6;grunnskolepoeng;35,2
grunnskolepoeng;2014-2015;0105;1;innvandrere;2;0_6;person;14
grunnskolepoeng;2014-2015;0105;1;innvandrere;2;7+;grunnskolepoeng;27,8
grunnskolepoeng;2014-2015;0105;1;innvandrere;2;7+;person;6
grunnskolepoeng;2014-2015;0105;1;innvandrere;2;alle;grunnskolepoeng;33
grunnskolepoeng;2014-2015;0105;1;innvandrere;2;alle;person;20
grunnskolepoeng;2014-2015;0105;1;innvandrere;alle;0_6;grunnskolepoeng;34,8
grunnskolepoeng;2014-2015;0105;1;innvandrere;alle;0_6;person;15
grunnskolepoeng;2014-2015;0105;1;innvandrere;alle;7+;grunnskolepoeng;30,8
grunnskolepoeng;2014-2015;0105;1;innvandrere;alle;7+;person;14
grunnskolepoeng;2014-2015;0105;1;innvandrere;alle;alle;grunnskolepoeng;32,8
grunnskolepoeng;2014-2015;0105;1;innvandrere;alle;alle;person;29
grunnskolepoeng;2014-2015;0105;1;norskfodte_m_innvf;NULL;NULL;grunnskolepoeng;33,8
grunnskolepoeng;2014-2015;0105;1;norskfodte_m_innvf;NULL;NULL;person;28
grunnskolepoeng;2014-2015;0105;0;alle;NULL;NULL;grunnskolepoeng;40,2
grunnskolepoeng;2014-2015;0105;0;alle;NULL;NULL;person;334
grunnskolepoeng;2014-2015;0105;0;bef_u_innv_og_norskf;NULL;NULL;grunnskolepoeng;41
grunnskolepoeng;2014-2015;0105;0;bef_u_innv_og_norskf;NULL;NULL;person;276
grunnskolepoeng;2014-2015;0105;0;befolkningen_ellers;NULL;NULL;grunnskolepoeng;41
grunnskolepoeng;2014-2015;0105;0;befolkningen_ellers;NULL;NULL;person;297
grunnskolepoeng;2014-2015;0105;0;innvandrere;1;0_6;grunnskolepoeng;34,2
grunnskolepoeng;2014-2015;0105;0;innvandrere;1;0_6;person;3
grunnskolepoeng;2014-2015;0105;0;innvandrere;1;7+;grunnskolepoeng;40,4
grunnskolepoeng;2014-2015;0105;0;innvandrere;1;7+;person;7
grunnskolepoeng;2014-2015;0105;0;innvandrere;1;alle;grunnskolepoeng;38,4
grunnskolepoeng;2014-2015;0105;0;innvandrere;1;alle;person;10
grunnskolepoeng;2014-2015;0105;0;innvandrere;2;0_6;grunnskolepoeng;34
grunnskolepoeng;2014-2015;0105;0;innvandrere;2;0_6;person;18
grunnskolepoeng;2014-2015;0105;0;innvandrere;2;7+;grunnskolepoeng;30,8
grunnskolepoeng;2014-2015;0105;0;innvandrere;2;7+;person;9
grunnskolepoeng;2014-2015;0105;0;innvandrere;2;alle;grunnskolepoeng;33
grunnskolepoeng;2014-2015;0105;0;innvandrere;2;alle;person;27
grunnskolepoeng;2014-2015;0105;0;innvandrere;alle;0_6;grunnskolepoeng;34
grunnskolepoeng;2014-2015;0105;0;innvandrere;alle;0_6;person;21
grunnskolepoeng;2014-2015;0105;0;innvandrere;alle;7+;grunnskolepoeng;35
grunnskolepoeng;2014-2015;0105;0;innvandrere;alle;7+;person;16
grunnskolepoeng;2014-2015;0105;0;innvandrere;alle;alle;grunnskolepoeng;34,4
grunnskolepoeng;2014-2015;0105;0;innvandrere;alle;alle;person;37
grunnskolepoeng;2014-2015;0105;0;norskfodte_m_innvf;NULL;NULL;grunnskolepoeng;41,8
grunnskolepoeng;2014-2015;0105;0;norskfodte_m_innvf;NULL;NULL;person;21
grunnskolepoeng;2014-2015;0106;alle;alle;NULL;NULL;grunnskolepoeng;40,4
grunnskolepoeng;2014-2015;0106;alle;alle;NULL;NULL;person;919
grunnskolepoeng;2014-2015;0106;alle;bef_u_innv_og_norskf;NULL;NULL;grunnskolepoeng;40,8
grunnskolepoeng;2014-2015;0106;alle;bef_u_innv_og_norskf;NULL;NULL;person;795
grunnskolepoeng;2014-2015;0106;alle;befolkningen_ellers;NULL;NULL;grunnskolepoeng;40,8
grunnskolepoeng;2014-2015;0106;alle;befolkningen_ellers;NULL;NULL;person;844
grunnskolepoeng;2014-2015;0106;alle;innvandrere;1;0_6;grunnskolepoeng;0
grunnskolepoeng;2014-2015;0106;alle;innvandrere;1;0_6;person;0
grunnskolepoeng;2014-2015;0106;alle;innvandrere;1;7+;grunnskolepoeng;40,8
grunnskolepoeng;2014-2015;0106;alle;innvandrere;1;7+;person;10
grunnskolepoeng;2014-2015;0106;alle;innvandrere;1;alle;grunnskolepoeng;40,6
grunnskolepoeng;2014-2015;0106;alle;innvandrere;1;alle;person;11
grunnskolepoeng;2014-2015;0106;alle;innvandrere;2;0_6;grunnskolepoeng;37,2
grunnskolepoeng;2014-2015;0106;alle;innvandrere;2;0_6;person;36
grunnskolepoeng;2014-2015;0106;alle;innvandrere;2;7+;grunnskolepoeng;35,8
grunnskolepoeng;2014-2015;0106;alle;innvandrere;2;7+;person;28
grunnskolepoeng;2014-2015;0106;alle;innvandrere;2;alle;grunnskolepoeng;36,6
grunnskolepoeng;2014-2015;0106;alle;innvandrere;2;alle;person;64
grunnskolepoeng;2014-2015;0106;alle;innvandrere;alle;0_6;grunnskolepoeng;37,2
grunnskolepoeng;2014-2015;0106;alle;innvandrere;alle;0_6;person;37
grunnskolepoeng;2014-2015;0106;alle;innvandrere;alle;7+;grunnskolepoeng;37
grunnskolepoeng;2014-2015;0106;alle;innvandrere;alle;7+;person;38
grunnskolepoeng;2014-2015;0106;alle;innvandrere;alle;alle;grunnskolepoeng;37,2
grunnskolepoeng;2014-2015;0106;alle;innvandrere;alle;alle;person;75
grunnskolepoeng;2014-2015;0106;alle;norskfodte_m_innvf;NULL;NULL;grunnskolepoeng;41,4
grunnskolepoeng;2014-2015;0106;alle;norskfodte_m_innvf;NULL;NULL;person;49
grunnskolepoeng;2014-2015;0106;1;alle;NULL;NULL;grunnskolepoeng;38,6
grunnskolepoeng;2014-2015;0106;1;alle;NULL;NULL;person;458
grunnskolepoeng;2014-2015;0106;1;bef_u_innv_og_norskf;NULL;NULL;grunnskolepoeng;39
grunnskolepoeng;2014-2015;0106;1;bef_u_innv_og_norskf;NULL;NULL;person;399
grunnskolepoeng;2014-2015;0106;1;befolkningen_ellers;NULL;NULL;grunnskolepoeng;39
grunnskolepoeng;2014-2015;0106;1;befolkningen_ellers;NULL;NULL;person;420
grunnskolepoeng;2014-2015;0106;1;innvandrere;1;0_6;grunnskolepoeng;0
grunnskolepoeng;2014-2015;0106;1;innvandrere;1;0_6;person;0
grunnskolepoeng;2014-2015;0106;1;innvandrere;1;7+;grunnskolepoeng;35,8
grunnskolepoeng;2014-2015;0106;1;innvandrere;1;7+;person;4
grunnskolepoeng;2014-2015;0106;1;innvandrere;1;alle;grunnskolepoeng;36,2
grunnskolepoeng;2014-2015;0106;1;innvandrere;1;alle;person;5
grunnskolepoeng;2014-2015;0106;1;innvandrere;2;0_6;grunnskolepoeng;35,4
grunnskolepoeng;2014-2015;0106;1;innvandrere;2;0_6;person;20
grunnskolepoeng;2014-2015;0106;1;innvandrere;2;7+;grunnskolepoeng;32,4
grunnskolepoeng;2014-2015;0106;1;innvandrere;2;7+;person;13
grunnskolepoeng;2014-2015;0106;1;innvandrere;2;alle;grunnskolepoeng;34,2
grunnskolepoeng;2014-2015;0106;1;innvandrere;2;alle;person;33
grunnskolepoeng;2014-2015;0106;1;innvandrere;alle;0_6;grunnskolepoeng;35,4
grunnskolepoeng;2014-2015;0106;1;innvandrere;alle;0_6;person;21
grunnskolepoeng;2014-2015;0106;1;innvandrere;alle;7+;grunnskolepoeng;33,2
grunnskolepoeng;2014-2015;0106;1;innvandrere;alle;7+;person;17
grunnskolepoeng;2014-2015;0106;1;innvandrere;alle;alle;grunnskolepoeng;34,4
grunnskolepoeng;2014-2015;0106;1;innvandrere;alle;alle;person;38
grunnskolepoeng;2014-2015;0106;1;norskfodte_m_innvf;NULL;NULL;grunnskolepoeng;38
grunnskolepoeng;2014-2015;0106;1;norskfodte_m_innvf;NULL;NULL;person;21
grunnskolepoeng;2014-2015;0106;0;alle;NULL;NULL;grunnskolepoeng;42,4
grunnskolepoeng;2014-2015;0106;0;alle;NULL;NULL;person;461
grunnskolepoeng;2014-2015;0106;0;bef_u_innv_og_norskf;NULL;NULL;grunnskolepoeng;42,4
grunnskolepoeng;2014-2015;0106;0;bef_u_innv_og_norskf;NULL;NULL;person;396
grunnskolepoeng;2014-2015;0106;0;befolkningen_ellers;NULL;NULL;grunnskolepoeng;42,6
grunnskolepoeng;2014-2015;0106;0;befolkningen_ellers;NULL;NULL;person;424
grunnskolepoeng;2014-2015;0106;0;innvandrere;1;0_6;grunnskolepoeng;0
grunnskolepoeng;2014-2015;0106;0;innvandrere;1;0_6;person;0
grunnskolepoeng;2014-2015;0106;0;innvandrere;1;7+;grunnskolepoeng;44,2
grunnskolepoeng;2014-2015;0106;0;innvandrere;1;7+;person;6
grunnskolepoeng;2014-2015;0106;0;innvandrere;1;alle;grunnskolepoeng;44,2
grunnskolepoeng;2014-2015;0106;0;innvandrere;1;alle;person;6
grunnskolepoeng;2014-2015;0106;0;innvandrere;2;0_6;grunnskolepoeng;39,4
grunnskolepoeng;2014-2015;0106;0;innvandrere;2;0_6;person;16
grunnskolepoeng;2014-2015;0106;0;innvandrere;2;7+;grunnskolepoeng;38,6
grunnskolepoeng;2014-2015;0106;0;innvandrere;2;7+;person;15
grunnskolepoeng;2014-2015;0106;0;innvandrere;2;alle;grunnskolepoeng;39
grunnskolepoeng;2014-2015;0106;0;innvandrere;2;alle;person;31
grunnskolepoeng;2014-2015;0106;0;innvandrere;alle;0_6;grunnskolepoeng;39,4
grunnskolepoeng;2014-2015;0106;0;innvandrere;alle;0_6;person;16
grunnskolepoeng;2014-2015;0106;0;innvandrere;alle;7+;grunnskolepoeng;40,2
grunnskolepoeng;2014-2015;0106;0;innvandrere;alle;7+;person;21
grunnskolepoeng;2014-2015;0106;0;innvandrere;alle;alle;grunnskolepoeng;40
grunnskolepoeng;2014-2015;0106;0;innvandrere;alle;alle;person;37
grunnskolepoeng;2014-2015;0106;0;norskfodte_m_innvf;NULL;NULL;grunnskolepoeng;43,8
grunnskolepoeng;2014-2015;0106;0;norskfodte_m_innvf;NULL;NULL;person;28
grunnskolepoeng;2014-2015;0111;alle;alle;NULL;NULL;grunnskolepoeng;41,2
grunnskolepoeng;2014-2015;0111;alle;alle;NULL;NULL;person;56
grunnskolepoeng;2014-2015;0111;alle;bef_u_innv_og_norskf;NULL;NULL;grunnskolepoeng;40,6
grunnskolepoeng;2014-2015;0111;alle;bef_u_innv_og_norskf;NULL;NULL;person;49
grunnskolepoeng;2014-2015;0111;alle;befolkningen_ellers;NULL;NULL;grunnskolepoeng;40,6
