tabell_navn;aar;naringsregion_nr;kjonn;innvkat_5;vreg_3;invalder_3;enhet;tabellvariabel
grunnskolepoeng;2014-2015;01;1;befolkningen_ellers;NULL;NULL;grunnskolepoeng;37,2
grunnskolepoeng;2014-2015;01;1;befolkningen_ellers;NULL;NULL;person;163
grunnskolepoeng;2014-2015;01;1;innvandrere;1;0_6;grunnskolepoeng;0
grunnskolepoeng;2014-2015;01;1;innvandrere;1;0_6;person;0
grunnskolepoeng;2014-2015;01;1;innvandrere;1;7+;grunnskolepoeng;29,4
grunnskolepoeng;2014-2015;01;1;innvandrere;1;7+;person;3
grunnskolepoeng;2014-2015;01;1;innvandrere;1;alle;grunnskolepoeng;29,6
grunnskolepoeng;2014-2015;01;1;innvandrere;1;alle;person;4
grunnskolepoeng;2014-2015;01;1;innvandrere;2;0_6;grunnskolepoeng;34,8
grunnskolepoeng;2014-2015;01;1;innvandrere;2;0_6;person;6
grunnskolepoeng;2014-2015;01;1;innvandrere;2;7+;grunnskolepoeng;31,2
grunnskolepoeng;2014-2015;01;1;innvandrere;2;7+;person;10
grunnskolepoeng;2014-2015;01;1;innvandrere;2;alle;grunnskolepoeng;32,6
grunnskolepoeng;2014-2015;01;1;innvandrere;2;alle;person;16
grunnskolepoeng;2014-2015;01;1;innvandrere;alle;0_6;grunnskolepoeng;34,2
grunnskolepoeng;2014-2015;01;1;innvandrere;alle;0_6;person;7
grunnskolepoeng;2014-2015;01;1;innvandrere;alle;7+;grunnskolepoeng;30,8
grunnskolepoeng;2014-2015;01;1;innvandrere;alle;7+;person;13
grunnskolepoeng;2014-2015;01;1;innvandrere;alle;alle;grunnskolepoeng;32
grunnskolepoeng;2014-2015;01;1;innvandrere;alle;alle;person;20
grunnskolepoeng;2014-2015;01;1;norskfodte_m_innvf;NULL;NULL;grunnskolepoeng;32,4
grunnskolepoeng;2014-2015;01;1;norskfodte_m_innvf;NULL;NULL;person;8
grunnskolepoeng;2014-2015;01;0;alle;NULL;NULL;grunnskolepoeng;41,6
grunnskolepoeng;2014-2015;01;0;alle;NULL;NULL;person;167
grunnskolepoeng;2014-2015;01;0;bef_u_innv_og_norskf;NULL;NULL;grunnskolepoeng;42,4
grunnskolepoeng;2014-2015;01;0;bef_u_innv_og_norskf;NULL;NULL;person;139
grunnskolepoeng;2014-2015;01;0;befolkningen_ellers;NULL;NULL;grunnskolepoeng;42
grunnskolepoeng;2014-2015;01;0;befolkningen_ellers;NULL;NULL;person;152
grunnskolepoeng;2014-2015;01;0;innvandrere;1;0_6;grunnskolepoeng;29,2
grunnskolepoeng;2014-2015;01;0;innvandrere;1;0_6;person;3
grunnskolepoeng;2014-2015;01;0;innvandrere;1;7+;grunnskolepoeng;41,4
grunnskolepoeng;2014-2015;01;0;innvandrere;1;7+;person;4
grunnskolepoeng;2014-2015;01;0;innvandrere;1;alle;grunnskolepoeng;39
grunnskolepoeng;2014-2015;01;0;innvandrere;1;alle;person;5
grunnskolepoeng;2014-2015;01;0;innvandrere;2;0_6;grunnskolepoeng;42,4
grunnskolepoeng;2014-2015;01;0;innvandrere;2;0_6;person;6
grunnskolepoeng;2014-2015;01;0;innvandrere;2;7+;grunnskolepoeng;27,8
grunnskolepoeng;2014-2015;01;0;innvandrere;2;7+;person;4
grunnskolepoeng;2014-2015;01;0;innvandrere;2;alle;grunnskolepoeng;36,6
grunnskolepoeng;2014-2015;01;0;innvandrere;2;alle;person;10
grunnskolepoeng;2014-2015;01;0;innvandrere;alle;0_6;grunnskolepoeng;40,4
grunnskolepoeng;2014-2015;01;0;innvandrere;alle;0_6;person;7
grunnskolepoeng;2014-2015;01;0;innvandrere;alle;7+;grunnskolepoeng;34,6
grunnskolepoeng;2014-2015;01;0;innvandrere;alle;7+;person;8
grunnskolepoeng;2014-2015;01;0;innvandrere;alle;alle;grunnskolepoeng;37,4
grunnskolepoeng;2014-2015;01;0;innvandrere;alle;alle;person;15
grunnskolepoeng;2014-2015;01;0;norskfodte_m_innvf;NULL;NULL;grunnskolepoeng;38
grunnskolepoeng;2014-2015;01;0;norskfodte_m_innvf;NULL;NULL;person;13
grunnskolepoeng;2014-2015;02;alle;alle;NULL;NULL;grunnskolepoeng;39,8
grunnskolepoeng;2014-2015;02;alle;alle;NULL;NULL;person;743
grunnskolepoeng;2014-2015;02;alle;bef_u_innv_og_norskf;NULL;NULL;grunnskolepoeng;40
grunnskolepoeng;2014-2015;02;alle;bef_u_innv_og_norskf;NULL;NULL;person;648
grunnskolepoeng;2014-2015;02;alle;befolkningen_ellers;NULL;NULL;grunnskolepoeng;40
grunnskolepoeng;2014-2015;02;alle;befolkningen_ellers;NULL;NULL;person;676
grunnskolepoeng;2014-2015;02;alle;innvandrere;1;0_6;grunnskolepoeng;39,2
grunnskolepoeng;2014-2015;02;alle;innvandrere;1;0_6;person;9
grunnskolepoeng;2014-2015;02;alle;innvandrere;1;7+;grunnskolepoeng;39,6
grunnskolepoeng;2014-2015;02;alle;innvandrere;1;7+;person;20
grunnskolepoeng;2014-2015;02;alle;innvandrere;1;alle;grunnskolepoeng;39,4
grunnskolepoeng;2014-2015;02;alle;innvandrere;1;alle;person;26
grunnskolepoeng;2014-2015;02;alle;innvandrere;2;0_6;grunnskolepoeng;41,8
grunnskolepoeng;2014-2015;02;alle;innvandrere;2;0_6;person;12
grunnskolepoeng;2014-2015;02;alle;innvandrere;2;7+;grunnskolepoeng;35,2
grunnskolepoeng;2014-2015;02;alle;innvandrere;2;7+;person;27
grunnskolepoeng;2014-2015;02;alle;innvandrere;2;alle;grunnskolepoeng;37,6
grunnskolepoeng;2014-2015;02;alle;innvandrere;2;alle;person;40
grunnskolepoeng;2014-2015;02;alle;innvandrere;alle;0_6;grunnskolepoeng;41,2
grunnskolepoeng;2014-2015;02;alle;innvandrere;alle;0_6;person;19
grunnskolepoeng;2014-2015;02;alle;innvandrere;alle;7+;grunnskolepoeng;37
grunnskolepoeng;2014-2015;02;alle;innvandrere;alle;7+;person;49
grunnskolepoeng;2014-2015;02;alle;innvandrere;alle;alle;grunnskolepoeng;38,2
grunnskolepoeng;2014-2015;02;alle;innvandrere;alle;alle;person;67
grunnskolepoeng;2014-2015;02;alle;norskfodte_m_innvf;NULL;NULL;grunnskolepoeng;38,8
grunnskolepoeng;2014-2015;02;alle;norskfodte_m_innvf;NULL;NULL;person;27
grunnskolepoeng;2014-2015;02;1;alle;NULL;NULL;grunnskolepoeng;37,6
grunnskolepoeng;2014-2015;02;1;alle;NULL;NULL;person;382
grunnskolepoeng;2014-2015;02;1;bef_u_innv_og_norskf;NULL;NULL;grunnskolepoeng;38
grunnskolepoeng;2014-2015;02;1;bef_u_innv_og_norskf;NULL;NULL;person;331
grunnskolepoeng;2014-2015;02;1;befolkningen_ellers;NULL;NULL;grunnskolepoeng;37,8
grunnskolepoeng;2014-2015;02;1;befolkningen_ellers;NULL;NULL;person;347
grunnskolepoeng;2014-2015;02;1;innvandrere;1;0_6;grunnskolepoeng;37,6
grunnskolepoeng;2014-2015;02;1;innvandrere;1;0_6;person;3
grunnskolepoeng;2014-2015;02;1;innvandrere;1;7+;grunnskolepoeng;37,2
grunnskolepoeng;2014-2015;02;1;innvandrere;1;7+;person;7
grunnskolepoeng;2014-2015;02;1;innvandrere;1;alle;grunnskolepoeng;37,4
grunnskolepoeng;2014-2015;02;1;innvandrere;1;alle;person;11
grunnskolepoeng;2014-2015;02;1;innvandrere;2;0_6;grunnskolepoeng;39,8
grunnskolepoeng;2014-2015;02;1;innvandrere;2;0_6;person;3
grunnskolepoeng;2014-2015;02;1;innvandrere;2;7+;grunnskolepoeng;33,4
grunnskolepoeng;2014-2015;02;1;innvandrere;2;7+;person;18
grunnskolepoeng;2014-2015;02;1;innvandrere;2;alle;grunnskolepoeng;35
grunnskolepoeng;2014-2015;02;1;innvandrere;2;alle;person;21
grunnskolepoeng;2014-2015;02;1;innvandrere;alle;0_6;grunnskolepoeng;38,8
grunnskolepoeng;2014-2015;02;1;innvandrere;alle;0_6;person;6
grunnskolepoeng;2014-2015;02;1;innvandrere;alle;7+;grunnskolepoeng;34,8
grunnskolepoeng;2014-2015;02;1;innvandrere;alle;7+;person;31
grunnskolepoeng;2014-2015;02;1;innvandrere;alle;alle;grunnskolepoeng;36
grunnskolepoeng;2014-2015;02;1;innvandrere;alle;alle;person;34
grunnskolepoeng;2014-2015;02;1;norskfodte_m_innvf;NULL;NULL;grunnskolepoeng;35,4
grunnskolepoeng;2014-2015;02;1;norskfodte_m_innvf;NULL;NULL;person;17
grunnskolepoeng;2014-2015;02;0;alle;NULL;NULL;grunnskolepoeng;42,2
grunnskolepoeng;2014-2015;02;0;alle;NULL;NULL;person;360
grunnskolepoeng;2014-2015;02;0;bef_u_innv_og_norskf;NULL;NULL;grunnskolepoeng;42,2
grunnskolepoeng;2014-2015;02;0;bef_u_innv_og_norskf;NULL;NULL;person;316
grunnskolepoeng;2014-2015;02;0;befolkningen_ellers;NULL;NULL;grunnskolepoeng;42,2
grunnskolepoeng;2014-2015;02;0;befolkningen_ellers;NULL;NULL;person;328
grunnskolepoeng;2014-2015;02;0;innvandrere;1;0_6;grunnskolepoeng;46
grunnskolepoeng;2014-2015;02;0;innvandrere;1;0_6;person;3
grunnskolepoeng;2014-2015;02;0;innvandrere;1;7+;grunnskolepoeng;41,8
grunnskolepoeng;2014-2015;02;0;innvandrere;1;7+;person;12
grunnskolepoeng;2014-2015;02;0;innvandrere;1;alle;grunnskolepoeng;42,2
grunnskolepoeng;2014-2015;02;0;innvandrere;1;alle;person;15
grunnskolepoeng;2014-2015;02;0;innvandrere;2;0_6;grunnskolepoeng;42,8
grunnskolepoeng;2014-2015;02;0;innvandrere;2;0_6;person;6
grunnskolepoeng;2014-2015;02;0;innvandrere;2;7+;grunnskolepoeng;37,8
grunnskolepoeng;2014-2015;02;0;innvandrere;2;7+;person;13
grunnskolepoeng;2014-2015;02;0;innvandrere;2;alle;grunnskolepoeng;40,2
grunnskolepoeng;2014-2015;02;0;innvandrere;2;alle;person;18
grunnskolepoeng;2014-2015;02;0;innvandrere;alle;0_6;grunnskolepoeng;43
grunnskolepoeng;2014-2015;02;0;innvandrere;alle;0_6;person;12
grunnskolepoeng;2014-2015;02;0;innvandrere;alle;7+;grunnskolepoeng;39,8
grunnskolepoeng;2014-2015;02;0;innvandrere;alle;7+;person;17
grunnskolepoeng;2014-2015;02;0;innvandrere;alle;alle;grunnskolepoeng;40,8
grunnskolepoeng;2014-2015;02;0;innvandrere;alle;alle;person;33
grunnskolepoeng;2014-2015;02;0;norskfodte_m_innvf;NULL;NULL;grunnskolepoeng;43,4
grunnskolepoeng;2014-2015;02;0;norskfodte_m_innvf;NULL;NULL;person;10
grunnskolepoeng;2014-2015;03;alle;alle;NULL;NULL;grunnskolepoeng;40,4
grunnskolepoeng;2014-2015;03;alle;alle;NULL;NULL;person;725
grunnskolepoeng;2014-2015;03;alle;bef_u_innv_og_norskf;NULL;NULL;grunnskolepoeng;40,8
grunnskolepoeng;2014-2015;03;alle;bef_u_innv_og_norskf;NULL;NULL;person;612
grunnskolepoeng;2014-2015;03;alle;befolkningen_ellers;NULL;NULL;grunnskolepoeng;40,8
grunnskolepoeng;2014-2015;03;alle;befolkningen_ellers;NULL;NULL;person;664
grunnskolepoeng;2014-2015;03;alle;innvandrere;1;0_6;grunnskolepoeng;42,4
grunnskolepoeng;2014-2015;03;alle;innvandrere;1;0_6;person;6
grunnskolepoeng;2014-2015;03;alle;innvandrere;1;7+;grunnskolepoeng;35,2
grunnskolepoeng;2014-2015;03;alle;innvandrere;1;7+;person;21
grunnskolepoeng;2014-2015;03;alle;innvandrere;1;alle;grunnskolepoeng;36,6
grunnskolepoeng;2014-2015;03;alle;innvandrere;1;alle;person;26
grunnskolepoeng;2014-2015;03;alle;innvandrere;2;0_6;grunnskolepoeng;38
grunnskolepoeng;2014-2015;03;alle;innvandrere;2;0_6;person;17
grunnskolepoeng;2014-2015;03;alle;innvandrere;2;7+;grunnskolepoeng;35,2
grunnskolepoeng;2014-2015;03;alle;innvandrere;2;7+;person;19
grunnskolepoeng;2014-2015;03;alle;innvandrere;2;alle;grunnskolepoeng;36,6
grunnskolepoeng;2014-2015;03;alle;innvandrere;2;alle;person;36
grunnskolepoeng;2014-2015;03;alle;innvandrere;alle;0_6;grunnskolepoeng;39
grunnskolepoeng;2014-2015;03;alle;innvandrere;alle;0_6;person;23
grunnskolepoeng;2014-2015;03;alle;innvandrere;alle;7+;grunnskolepoeng;35,2
grunnskolepoeng;2014-2015;03;alle;innvandrere;alle;7+;person;39
grunnskolepoeng;2014-2015;03;alle;innvandrere;alle;alle;grunnskolepoeng;36,6
grunnskolepoeng;2014-2015;03;alle;innvandrere;alle;alle;person;62
grunnskolepoeng;2014-2015;03;alle;norskfodte_m_innvf;NULL;NULL;grunnskolepoeng;40,2
grunnskolepoeng;2014-2015;03;alle;norskfodte_m_innvf;NULL;NULL;person;53
grunnskolepoeng;2014-2015;03;1;alle;NULL;NULL;grunnskolepoeng;37,8
grunnskolepoeng;2014-2015;03;1;alle;NULL;NULL;person;398
grunnskolepoeng;2014-2015;03;1;bef_u_innv_og_norskf;NULL;NULL;grunnskolepoeng;38,4
grunnskolepoeng;2014-2015;03;1;bef_u_innv_og_norskf;NULL;NULL;person;334
grunnskolepoeng;2014-2015;03;1;befolkningen_ellers;NULL;NULL;grunnskolepoeng;38,2
grunnskolepoeng;2014-2015;03;1;befolkningen_ellers;NULL;NULL;person;365
grunnskolepoeng;2014-2015;03;1;innvandrere;1;0_6;grunnskolepoeng;0
grunnskolepoeng;2014-2015;03;1;innvandrere;1;0_6;person;0
grunnskolepoeng;2014-2015;03;1;innvandrere;1;7+;grunnskolepoeng;31,2
grunnskolepoeng;2014-2015;03;1;innvandrere;1;7+;person;14
grunnskolepoeng;2014-2015;03;1;innvandrere;1;alle;grunnskolepoeng;31,6
grunnskolepoeng;2014-2015;03;1;innvandrere;1;alle;person;14
grunnskolepoeng;2014-2015;03;1;innvandrere;2;0_6;grunnskolepoeng;38,2
grunnskolepoeng;2014-2015;03;1;innvandrere;2;0_6;person;9
grunnskolepoeng;2014-2015;03;1;innvandrere;2;7+;grunnskolepoeng;30,2
grunnskolepoeng;2014-2015;03;1;innvandrere;2;7+;person;9
grunnskolepoeng;2014-2015;03;1;innvandrere;2;alle;grunnskolepoeng;34,4
grunnskolepoeng;2014-2015;03;1;innvandrere;2;alle;person;15
grunnskolepoeng;2014-2015;03;1;innvandrere;alle;0_6;grunnskolepoeng;38
grunnskolepoeng;2014-2015;03;1;innvandrere;alle;0_6;person;9
grunnskolepoeng;2014-2015;03;1;innvandrere;alle;7+;grunnskolepoeng;30,8
grunnskolepoeng;2014-2015;03;1;innvandrere;alle;7+;person;21
grunnskolepoeng;2014-2015;03;1;innvandrere;alle;alle;grunnskolepoeng;33,2
grunnskolepoeng;2014-2015;03;1;innvandrere;alle;alle;person;32
grunnskolepoeng;2014-2015;03;1;norskfodte_m_innvf;NULL;NULL;grunnskolepoeng;36,4
grunnskolepoeng;2014-2015;03;1;norskfodte_m_innvf;NULL;NULL;person;30
grunnskolepoeng;2014-2015;03;0;alle;NULL;NULL;grunnskolepoeng;43,6
grunnskolepoeng;2014-2015;03;0;alle;NULL;NULL;person;327
grunnskolepoeng;2014-2015;03;0;bef_u_innv_og_norskf;NULL;NULL;grunnskolepoeng;43,8
grunnskolepoeng;2014-2015;03;0;bef_u_innv_og_norskf;NULL;NULL;person;278
grunnskolepoeng;2014-2015;03;0;befolkningen_ellers;NULL;NULL;grunnskolepoeng;44
grunnskolepoeng;2014-2015;03;0;befolkningen_ellers;NULL;NULL;person;299
grunnskolepoeng;2014-2015;03;0;innvandrere;1;0_6;grunnskolepoeng;43,6
grunnskolepoeng;2014-2015;03;0;innvandrere;1;0_6;person;9
grunnskolepoeng;2014-2015;03;0;innvandrere;1;7+;grunnskolepoeng;41,8
grunnskolepoeng;2014-2015;03;0;innvandrere;1;7+;person;6
grunnskolepoeng;2014-2015;03;0;innvandrere;1;alle;grunnskolepoeng;42,4
grunnskolepoeng;2014-2015;03;0;innvandrere;1;alle;person;14
grunnskolepoeng;2014-2015;03;0;innvandrere;2;0_6;grunnskolepoeng;38
grunnskolepoeng;2014-2015;03;0;innvandrere;2;0_6;person;5
grunnskolepoeng;2014-2015;03;0;innvandrere;2;7+;grunnskolepoeng;40,8
grunnskolepoeng;2014-2015;03;0;innvandrere;2;7+;person;9
grunnskolepoeng;2014-2015;03;0;innvandrere;2;alle;grunnskolepoeng;39,4
grunnskolepoeng;2014-2015;03;0;innvandrere;2;alle;person;18
grunnskolepoeng;2014-2015;03;0;innvandrere;alle;0_6;grunnskolepoeng;39,8
grunnskolepoeng;2014-2015;03;0;innvandrere;alle;0_6;person;13
grunnskolepoeng;2014-2015;03;0;innvandrere;alle;7+;grunnskolepoeng;41,2
grunnskolepoeng;2014-2015;03;0;innvandrere;alle;7+;person;18
grunnskolepoeng;2014-2015;03;0;innvandrere;alle;alle;grunnskolepoeng;40,6
grunnskolepoeng;2014-2015;03;0;innvandrere;alle;alle;person;30
grunnskolepoeng;2014-2015;03;0;norskfodte_m_innvf;NULL;NULL;grunnskolepoeng;46
grunnskolepoeng;2014-2015;03;0;norskfodte_m_innvf;NULL;NULL;person;23
grunnskolepoeng;2014-2015;04;alle;alle;NULL;NULL;grunnskolepoeng;39,8
grunnskolepoeng;2014-2015;04;alle;alle;NULL;NULL;person;1624
grunnskolepoeng;2014-2015;04;alle;bef_u_innv_og_norskf;NULL;NULL;grunnskolepoeng;40,2
grunnskolepoeng;2014-2015;04;alle;bef_u_innv_og_norskf;NULL;NULL;person;1378
grunnskolepoeng;2014-2015;04;alle;befolkningen_ellers;NULL;NULL;grunnskolepoeng;40,2
grunnskolepoeng;2014-2015;04;alle;befolkningen_ellers;NULL;NULL;person;1476
grunnskolepoeng;2014-2015;04;alle;innvandrere;1;0_6;grunnskolepoeng;33,6
grunnskolepoeng;2014-2015;04;alle;innvandrere;1;0_6;person;4
grunnskolepoeng;2014-2015;04;alle;innvandrere;1;7+;grunnskolepoeng;38,2
grunnskolepoeng;2014-2015;04;alle;innvandrere;1;7+;person;25
grunnskolepoeng;2014-2015;04;alle;innvandrere;1;alle;grunnskolepoeng;37,4
grunnskolepoeng;2014-2015;04;alle;innvandrere;1;alle;person;30
grunnskolepoeng;2014-2015;04;alle;innvandrere;2;0_6;grunnskolepoeng;37
grunnskolepoeng;2014-2015;04;alle;innvandrere;2;0_6;person;72
grunnskolepoeng;2014-2015;04;alle;innvandrere;2;7+;grunnskolepoeng;33,6
grunnskolepoeng;2014-2015;04;alle;innvandrere;2;7+;person;46
grunnskolepoeng;2014-2015;04;alle;innvandrere;2;alle;grunnskolepoeng;35,6
grunnskolepoeng;2014-2015;04;alle;innvandrere;2;alle;person;117
grunnskolepoeng;2014-2015;04;alle;innvandrere;alle;0_6;grunnskolepoeng;36,6
grunnskolepoeng;2014-2015;04;alle;innvandrere;alle;0_6;person;77
grunnskolepoeng;2014-2015;04;alle;innvandrere;alle;7+;grunnskolepoeng;35,2
grunnskolepoeng;2014-2015;04;alle;innvandrere;alle;7+;person;71
grunnskolepoeng;2014-2015;04;alle;innvandrere;alle;alle;grunnskolepoeng;36
grunnskolepoeng;2014-2015;04;alle;innvandrere;alle;alle;person;148
grunnskolepoeng;2014-2015;04;alle;norskfodte_m_innvf;NULL;NULL;grunnskolepoeng;39,2
grunnskolepoeng;2014-2015;04;alle;norskfodte_m_innvf;NULL;NULL;person;98
grunnskolepoeng;2014-2015;04;1;alle;NULL;NULL;grunnskolepoeng;38
grunnskolepoeng;2014-2015;04;1;alle;NULL;NULL;person;798
grunnskolepoeng;2014-2015;04;1;bef_u_innv_og_norskf;NULL;NULL;grunnskolepoeng;38,4
grunnskolepoeng;2014-2015;04;1;bef_u_innv_og_norskf;NULL;NULL;person;680
grunnskolepoeng;2014-2015;04;1;befolkningen_ellers;NULL;NULL;grunnskolepoeng;38,2
grunnskolepoeng;2014-2015;04;1;befolkningen_ellers;NULL;NULL;person;729
grunnskolepoeng;2014-2015;04;1;innvandrere;1;0_6;grunnskolepoeng;0
grunnskolepoeng;2014-2015;04;1;innvandrere;1;0_6;person;0
grunnskolepoeng;2014-2015;04;1;innvandrere;1;7+;grunnskolepoeng;34
grunnskolepoeng;2014-2015;04;1;innvandrere;1;7+;person;12
grunnskolepoeng;2014-2015;04;1;innvandrere;1;alle;grunnskolepoeng;33,8
grunnskolepoeng;2014-2015;04;1;innvandrere;1;alle;person;14
grunnskolepoeng;2014-2015;04;1;innvandrere;2;0_6;grunnskolepoeng;35,8
grunnskolepoeng;2014-2015;04;1;innvandrere;2;0_6;person;34
grunnskolepoeng;2014-2015;04;1;innvandrere;2;7+;grunnskolepoeng;31,4
grunnskolepoeng;2014-2015;04;1;innvandrere;2;7+;person;19
grunnskolepoeng;2014-2015;04;1;innvandrere;2;alle;grunnskolepoeng;34,2
grunnskolepoeng;2014-2015;04;1;innvandrere;2;alle;person;56
grunnskolepoeng;2014-2015;04;1;innvandrere;alle;0_6;grunnskolepoeng;35,6
grunnskolepoeng;2014-2015;04;1;innvandrere;alle;0_6;person;36
grunnskolepoeng;2014-2015;04;1;innvandrere;alle;7+;grunnskolepoeng;32,4
grunnskolepoeng;2014-2015;04;1;innvandrere;alle;7+;person;31
grunnskolepoeng;2014-2015;04;1;innvandrere;alle;alle;grunnskolepoeng;34,2
grunnskolepoeng;2014-2015;04;1;innvandrere;alle;alle;person;70
grunnskolepoeng;2014-2015;04;1;norskfodte_m_innvf;NULL;NULL;grunnskolepoeng;35,6
grunnskolepoeng;2014-2015;04;1;norskfodte_m_innvf;NULL;NULL;person;49
grunnskolepoeng;2014-2015;04;0;alle;NULL;NULL;grunnskolepoeng;41,4
grunnskolepoeng;2014-2015;04;0;alle;NULL;NULL;person;826
grunnskolepoeng;2014-2015;04;0;bef_u_innv_og_norskf;NULL;NULL;grunnskolepoeng;41,8
grunnskolepoeng;2014-2015;04;0;bef_u_innv_og_norskf;NULL;NULL;person;698
grunnskolepoeng;2014-2015;04;0;befolkningen_ellers;NULL;NULL;grunnskolepoeng;41,8
grunnskolepoeng;2014-2015;04;0;befolkningen_ellers;NULL;NULL;person;747
grunnskolepoeng;2014-2015;04;0;innvandrere;1;0_6;grunnskolepoeng;34,2
grunnskolepoeng;2014-2015;04;0;innvandrere;1;0_6;person;3
grunnskolepoeng;2014-2015;04;0;innvandrere;1;7+;grunnskolepoeng;42
grunnskolepoeng;2014-2015;04;0;innvandrere;1;7+;person;13
grunnskolepoeng;2014-2015;04;0;innvandrere;1;alle;grunnskolepoeng;40,6
grunnskolepoeng;2014-2015;04;0;innvandrere;1;alle;person;16
grunnskolepoeng;2014-2015;04;0;innvandrere;2;0_6;grunnskolepoeng;38
grunnskolepoeng;2014-2015;04;0;innvandrere;2;0_6;person;37
grunnskolepoeng;2014-2015;04;0;innvandrere;2;7+;grunnskolepoeng;35,2
grunnskolepoeng;2014-2015;04;0;innvandrere;2;7+;person;27
grunnskolepoeng;2014-2015;04;0;innvandrere;2;alle;grunnskolepoeng;36,8
grunnskolepoeng;2014-2015;04;0;innvandrere;2;alle;person;62
grunnskolepoeng;2014-2015;04;0;innvandrere;alle;0_6;grunnskolepoeng;37,6
grunnskolepoeng;2014-2015;04;0;innvandrere;alle;0_6;person;40
grunnskolepoeng;2014-2015;04;0;innvandrere;alle;7+;grunnskolepoeng;37,6
grunnskolepoeng;2014-2015;04;0;innvandrere;alle;7+;person;40
grunnskolepoeng;2014-2015;04;0;innvandrere;alle;alle;grunnskolepoeng;37,6
grunnskolepoeng;2014-2015;04;0;innvandrere;alle;alle;person;79
grunnskolepoeng;2014-2015;04;0;norskfodte_m_innvf;NULL;NULL;grunnskolepoeng;42,8
grunnskolepoeng;2014-2015;04;0;norskfodte_m_innvf;NULL;NULL;person;49
grunnskolepoeng;2014-2015;05;alle;alle;NULL;NULL;grunnskolepoeng;43,6
grunnskolepoeng;2014-2015;05;alle;alle;NULL;NULL;person;2345
grunnskolepoeng;2014-2015;05;alle;bef_u_innv_og_norskf;NULL;NULL;grunnskolepoeng;44,2
grunnskolepoeng;2014-2015;05;alle;bef_u_innv_og_norskf;NULL;NULL;person;2061
grunnskolepoeng;2014-2015;05;alle;befolkningen_ellers;NULL;NULL;grunnskolepoeng;44
grunnskolepoeng;2014-2015;05;alle;befolkningen_ellers;NULL;NULL;person;2171
grunnskolepoeng;2014-2015;05;alle;innvandrere;1;0_6;grunnskolepoeng;43,8
grunnskolepoeng;2014-2015;05;alle;innvandrere;1;0_6;person;17
grunnskolepoeng;2014-2015;05;alle;innvandrere;1;7+;grunnskolepoeng;39,6
grunnskolepoeng;2014-2015;05;alle;innvandrere;1;7+;person;57
grunnskolepoeng;2014-2015;05;alle;innvandrere;1;alle;grunnskolepoeng;40,6
grunnskolepoeng;2014-2015;05;alle;innvandrere;1;alle;person;74
