"aar","fylke_nr","spraak","undervisning_grskole","enhet","tabellvariabel","tabell_navn","kommune_nr","naringsregion_nr"
"2013","01","minoritet","alle","prosent","80.8","voksne_grunnskole","NULL","NULL"
"2013","01","minoritet","kun_grunnskoleoppl","personer",".","voksne_grunnskole","NULL","NULL"
"2013","01","minoritet","kun_grunnskoleoppl","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","01","minoritet","kun_spesialund","personer",".","voksne_grunnskole","NULL","NULL"
"2013","01","minoritet","kun_spesialund","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","01","minoritet","grskole_og_spesial","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","01","minoritet","NULL","personer",".","voksne_grunnskole","NULL","NULL"
"2013","01","ikke_minoritet","alle","personer","48","voksne_grunnskole","NULL","NULL"
"2013","01","ikke_minoritet","alle","prosent","19.2","voksne_grunnskole","NULL","NULL"
"2013","01","ikke_minoritet","kun_grunnskoleoppl","personer",".","voksne_grunnskole","NULL","NULL"
"2013","01","ikke_minoritet","kun_grunnskoleoppl","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","01","ikke_minoritet","kun_spesialund","personer",".","voksne_grunnskole","NULL","NULL"
"2013","01","ikke_minoritet","kun_spesialund","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","01","ikke_minoritet","grskole_og_spesial","personer",".","voksne_grunnskole","NULL","NULL"
"2013","01","ikke_minoritet","grskole_og_spesial","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","02","alle","alle","personer","745","voksne_grunnskole","NULL","NULL"
"2013","02","alle","alle","prosent","100","voksne_grunnskole","NULL","NULL"
"2013","02","alle","kun_grunnskoleoppl","personer","420","voksne_grunnskole","NULL","NULL"
"2013","02","alle","kun_grunnskoleoppl","prosent","0.563758389","voksne_grunnskole","NULL","NULL"
"2013","02","alle","kun_spesialund","personer","324","voksne_grunnskole","NULL","NULL"
"2013","02","alle","kun_spesialund","prosent","0.434899329","voksne_grunnskole","NULL","NULL"
"2013","02","alle","grskole_og_spesial","personer","1","voksne_grunnskole","NULL","NULL"
"2013","02","alle","grskole_og_spesial","prosent","0.001342282","voksne_grunnskole","NULL","NULL"
"2013","02","minoritet","alle","personer","391","voksne_grunnskole","NULL","NULL"
"2013","02","minoritet","alle","prosent","52.5","voksne_grunnskole","NULL","NULL"
"2013","02","minoritet","kun_grunnskoleoppl","personer",".","voksne_grunnskole","NULL","NULL"
"2013","02","minoritet","kun_grunnskoleoppl","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","02","minoritet","kun_spesialund","personer",".","voksne_grunnskole","NULL","NULL"
"2013","02","minoritet","kun_spesialund","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","02","minoritet","grskole_og_spesial","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","02","minoritet","NULL","personer",".","voksne_grunnskole","NULL","NULL"
"2013","02","ikke_minoritet","alle","personer","354","voksne_grunnskole","NULL","NULL"
"2013","02","ikke_minoritet","alle","prosent","47.51677852","voksne_grunnskole","NULL","NULL"
"2013","02","ikke_minoritet","kun_grunnskoleoppl","personer",".","voksne_grunnskole","NULL","NULL"
"2013","02","ikke_minoritet","kun_grunnskoleoppl","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","02","ikke_minoritet","kun_spesialund","personer",".","voksne_grunnskole","NULL","NULL"
"2013","02","ikke_minoritet","kun_spesialund","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","02","ikke_minoritet","grskole_og_spesial","personer",".","voksne_grunnskole","NULL","NULL"
"2013","02","ikke_minoritet","grskole_og_spesial","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","03","alle","alle","personer","2260","voksne_grunnskole","NULL","NULL"
"2013","03","alle","alle","prosent","100","voksne_grunnskole","NULL","NULL"
"2013","03","alle","kun_grunnskoleoppl","personer","1613","voksne_grunnskole","NULL","NULL"
"2013","03","alle","kun_grunnskoleoppl","prosent","0.713716814","voksne_grunnskole","NULL","NULL"
"2013","03","alle","kun_spesialund","personer","647","voksne_grunnskole","NULL","NULL"
"2013","03","alle","kun_spesialund","prosent","0.286283186","voksne_grunnskole","NULL","NULL"
"2013","03","alle","grskole_og_spesial","personer","0","voksne_grunnskole","NULL","NULL"
"2013","03","alle","grskole_og_spesial","prosent","0","voksne_grunnskole","NULL","NULL"
"2013","03","minoritet","alle","personer","1758","voksne_grunnskole","NULL","NULL"
"2013","03","minoritet","alle","prosent","77.8","voksne_grunnskole","NULL","NULL"
"2013","03","minoritet","kun_grunnskoleoppl","personer",".","voksne_grunnskole","NULL","NULL"
"2013","03","minoritet","kun_grunnskoleoppl","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","03","minoritet","kun_spesialund","personer",".","voksne_grunnskole","NULL","NULL"
"2013","03","minoritet","kun_spesialund","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","03","minoritet","grskole_og_spesial","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","03","minoritet","NULL","personer",".","voksne_grunnskole","NULL","NULL"
"2013","03","ikke_minoritet","alle","personer","502","voksne_grunnskole","NULL","NULL"
"2013","03","ikke_minoritet","alle","prosent","22.21238938","voksne_grunnskole","NULL","NULL"
"2013","03","ikke_minoritet","kun_grunnskoleoppl","personer",".","voksne_grunnskole","NULL","NULL"
"2013","03","ikke_minoritet","kun_grunnskoleoppl","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","03","ikke_minoritet","kun_spesialund","personer",".","voksne_grunnskole","NULL","NULL"
"2013","03","ikke_minoritet","kun_spesialund","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","03","ikke_minoritet","grskole_og_spesial","personer",".","voksne_grunnskole","NULL","NULL"
"2013","03","ikke_minoritet","grskole_og_spesial","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","04","alle","alle","personer","246","voksne_grunnskole","NULL","NULL"
"2013","04","alle","alle","prosent","100","voksne_grunnskole","NULL","NULL"
"2013","04","alle","kun_grunnskoleoppl","personer","150","voksne_grunnskole","NULL","NULL"
"2013","04","alle","kun_grunnskoleoppl","prosent","0.609756098","voksne_grunnskole","NULL","NULL"
"2013","04","alle","kun_spesialund","personer","83","voksne_grunnskole","NULL","NULL"
"2013","04","alle","kun_spesialund","prosent","0.337398374","voksne_grunnskole","NULL","NULL"
"2013","04","alle","grskole_og_spesial","personer","13","voksne_grunnskole","NULL","NULL"
"2013","04","alle","grskole_og_spesial","prosent","0.052845528","voksne_grunnskole","NULL","NULL"
"2013","04","minoritet","alle","personer","136","voksne_grunnskole","NULL","NULL"
"2013","04","minoritet","alle","prosent","55.3","voksne_grunnskole","NULL","NULL"
"2013","04","minoritet","kun_grunnskoleoppl","personer",".","voksne_grunnskole","NULL","NULL"
"2013","04","minoritet","kun_grunnskoleoppl","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","04","minoritet","kun_spesialund","personer",".","voksne_grunnskole","NULL","NULL"
"2013","04","minoritet","kun_spesialund","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","04","minoritet","grskole_og_spesial","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","04","minoritet","NULL","personer",".","voksne_grunnskole","NULL","NULL"
"2013","04","ikke_minoritet","alle","personer","110","voksne_grunnskole","NULL","NULL"
"2013","04","ikke_minoritet","alle","prosent","44.71544715","voksne_grunnskole","NULL","NULL"
"2013","04","ikke_minoritet","kun_grunnskoleoppl","personer",".","voksne_grunnskole","NULL","NULL"
"2013","04","ikke_minoritet","kun_grunnskoleoppl","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","04","ikke_minoritet","kun_spesialund","personer",".","voksne_grunnskole","NULL","NULL"
"2013","04","ikke_minoritet","kun_spesialund","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","04","ikke_minoritet","grskole_og_spesial","personer",".","voksne_grunnskole","NULL","NULL"
"2013","04","ikke_minoritet","grskole_og_spesial","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","05","alle","alle","personer","378","voksne_grunnskole","NULL","NULL"
"2013","05","alle","alle","prosent","100","voksne_grunnskole","NULL","NULL"
"2013","05","alle","kun_grunnskoleoppl","personer","213","voksne_grunnskole","NULL","NULL"
"2013","05","alle","kun_grunnskoleoppl","prosent","0.563492063","voksne_grunnskole","NULL","NULL"
"2013","05","alle","kun_spesialund","personer","160","voksne_grunnskole","NULL","NULL"
"2013","05","alle","kun_spesialund","prosent","0.423280423","voksne_grunnskole","NULL","NULL"
"2013","05","alle","grskole_og_spesial","personer","5","voksne_grunnskole","NULL","NULL"
"2013","05","alle","grskole_og_spesial","prosent","0.013227513","voksne_grunnskole","NULL","NULL"
"2013","05","minoritet","alle","personer","217","voksne_grunnskole","NULL","NULL"
"2013","05","minoritet","alle","prosent","57.4","voksne_grunnskole","NULL","NULL"
"2013","05","minoritet","kun_grunnskoleoppl","personer",".","voksne_grunnskole","NULL","NULL"
"2013","05","minoritet","kun_grunnskoleoppl","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","05","minoritet","kun_spesialund","personer",".","voksne_grunnskole","NULL","NULL"
"2013","05","minoritet","kun_spesialund","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","05","minoritet","grskole_og_spesial","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","05","minoritet","NULL","personer",".","voksne_grunnskole","NULL","NULL"
"2013","05","ikke_minoritet","alle","personer","161","voksne_grunnskole","NULL","NULL"
"2013","05","ikke_minoritet","alle","prosent","42.59259259","voksne_grunnskole","NULL","NULL"
"2013","05","ikke_minoritet","kun_grunnskoleoppl","personer",".","voksne_grunnskole","NULL","NULL"
"2013","05","ikke_minoritet","kun_grunnskoleoppl","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","05","ikke_minoritet","kun_spesialund","personer",".","voksne_grunnskole","NULL","NULL"
"2013","05","ikke_minoritet","kun_spesialund","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","05","ikke_minoritet","grskole_og_spesial","personer",".","voksne_grunnskole","NULL","NULL"
"2013","05","ikke_minoritet","grskole_og_spesial","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","06","alle","alle","personer","455","voksne_grunnskole","NULL","NULL"
"2013","06","alle","alle","prosent","100","voksne_grunnskole","NULL","NULL"
"2013","06","alle","kun_grunnskoleoppl","personer","317","voksne_grunnskole","NULL","NULL"
"2013","06","alle","kun_grunnskoleoppl","prosent","0.696703297","voksne_grunnskole","NULL","NULL"
"2013","06","alle","kun_spesialund","personer","129","voksne_grunnskole","NULL","NULL"
"2013","06","alle","kun_spesialund","prosent","0.283516484","voksne_grunnskole","NULL","NULL"
"2013","06","alle","grskole_og_spesial","personer","9","voksne_grunnskole","NULL","NULL"
"2013","06","alle","grskole_og_spesial","prosent","0.01978022","voksne_grunnskole","NULL","NULL"
"2013","06","minoritet","alle","personer","312","voksne_grunnskole","NULL","NULL"
"2013","06","minoritet","alle","prosent","68.6","voksne_grunnskole","NULL","NULL"
"2013","06","minoritet","kun_grunnskoleoppl","personer",".","voksne_grunnskole","NULL","NULL"
"2013","06","minoritet","kun_grunnskoleoppl","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","06","minoritet","kun_spesialund","personer",".","voksne_grunnskole","NULL","NULL"
"2013","06","minoritet","kun_spesialund","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","06","minoritet","grskole_og_spesial","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","06","minoritet","NULL","personer",".","voksne_grunnskole","NULL","NULL"
"2013","06","ikke_minoritet","alle","personer","143","voksne_grunnskole","NULL","NULL"
"2013","06","ikke_minoritet","alle","prosent","31.42857143","voksne_grunnskole","NULL","NULL"
"2013","06","ikke_minoritet","kun_grunnskoleoppl","personer",".","voksne_grunnskole","NULL","NULL"
"2013","06","ikke_minoritet","kun_grunnskoleoppl","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","06","ikke_minoritet","kun_spesialund","personer",".","voksne_grunnskole","NULL","NULL"
"2013","06","ikke_minoritet","kun_spesialund","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","06","ikke_minoritet","grskole_og_spesial","personer",".","voksne_grunnskole","NULL","NULL"
"2013","06","ikke_minoritet","grskole_og_spesial","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","07","alle","alle","personer","465","voksne_grunnskole","NULL","NULL"
"2013","07","alle","alle","prosent","100","voksne_grunnskole","NULL","NULL"
"2013","07","alle","kun_grunnskoleoppl","personer","308","voksne_grunnskole","NULL","NULL"
"2013","07","alle","kun_grunnskoleoppl","prosent","0.662365591","voksne_grunnskole","NULL","NULL"
"2013","07","alle","kun_spesialund","personer","152","voksne_grunnskole","NULL","NULL"
"2013","07","alle","kun_spesialund","prosent","0.32688172","voksne_grunnskole","NULL","NULL"
"2013","07","alle","grskole_og_spesial","personer","5","voksne_grunnskole","NULL","NULL"
"2013","07","alle","grskole_og_spesial","prosent","0.010752688","voksne_grunnskole","NULL","NULL"
"2013","07","minoritet","alle","personer","283","voksne_grunnskole","NULL","NULL"
"2013","07","minoritet","alle","prosent","60.9","voksne_grunnskole","NULL","NULL"
"2013","07","minoritet","kun_grunnskoleoppl","personer",".","voksne_grunnskole","NULL","NULL"
"2013","07","minoritet","kun_grunnskoleoppl","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","07","minoritet","kun_spesialund","personer",".","voksne_grunnskole","NULL","NULL"
"2013","07","minoritet","kun_spesialund","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","07","minoritet","grskole_og_spesial","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","07","minoritet","NULL","personer",".","voksne_grunnskole","NULL","NULL"
"2013","07","ikke_minoritet","alle","personer","182","voksne_grunnskole","NULL","NULL"
"2013","07","ikke_minoritet","alle","prosent","39.13978495","voksne_grunnskole","NULL","NULL"
"2013","07","ikke_minoritet","kun_grunnskoleoppl","personer",".","voksne_grunnskole","NULL","NULL"
"2013","07","ikke_minoritet","kun_grunnskoleoppl","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","07","ikke_minoritet","kun_spesialund","personer",".","voksne_grunnskole","NULL","NULL"
"2013","07","ikke_minoritet","kun_spesialund","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","07","ikke_minoritet","grskole_og_spesial","personer",".","voksne_grunnskole","NULL","NULL"
"2013","07","ikke_minoritet","grskole_og_spesial","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","08","alle","alle","personer","499","voksne_grunnskole","NULL","NULL"
"2013","08","alle","alle","prosent","100","voksne_grunnskole","NULL","NULL"
"2013","08","alle","kun_grunnskoleoppl","personer","267","voksne_grunnskole","NULL","NULL"
"2013","08","alle","kun_grunnskoleoppl","prosent","0.53507014","voksne_grunnskole","NULL","NULL"
"2013","08","alle","kun_spesialund","personer","225","voksne_grunnskole","NULL","NULL"
"2013","08","alle","kun_spesialund","prosent","0.450901804","voksne_grunnskole","NULL","NULL"
"2013","08","alle","grskole_og_spesial","personer","7","voksne_grunnskole","NULL","NULL"
"2013","08","alle","grskole_og_spesial","prosent","0.014028056","voksne_grunnskole","NULL","NULL"
"2013","08","minoritet","alle","personer","290","voksne_grunnskole","NULL","NULL"
"2013","08","minoritet","alle","prosent","58.1","voksne_grunnskole","NULL","NULL"
"2013","08","minoritet","kun_grunnskoleoppl","personer",".","voksne_grunnskole","NULL","NULL"
"2013","08","minoritet","kun_grunnskoleoppl","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","08","minoritet","kun_spesialund","personer",".","voksne_grunnskole","NULL","NULL"
"2013","08","minoritet","kun_spesialund","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","08","minoritet","grskole_og_spesial","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","08","minoritet","NULL","personer",".","voksne_grunnskole","NULL","NULL"
"2013","08","ikke_minoritet","alle","personer","209","voksne_grunnskole","NULL","NULL"
"2013","08","ikke_minoritet","alle","prosent","41.88376754","voksne_grunnskole","NULL","NULL"
"2013","08","ikke_minoritet","kun_grunnskoleoppl","personer",".","voksne_grunnskole","NULL","NULL"
"2013","08","ikke_minoritet","kun_grunnskoleoppl","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","08","ikke_minoritet","kun_spesialund","personer",".","voksne_grunnskole","NULL","NULL"
"2013","08","ikke_minoritet","kun_spesialund","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","08","ikke_minoritet","grskole_og_spesial","personer",".","voksne_grunnskole","NULL","NULL"
"2013","08","ikke_minoritet","grskole_og_spesial","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","09","alle","alle","personer","337","voksne_grunnskole","NULL","NULL"
"2013","09","alle","alle","prosent","100","voksne_grunnskole","NULL","NULL"
"2013","09","alle","kun_grunnskoleoppl","personer","216","voksne_grunnskole","NULL","NULL"
"2013","09","alle","kun_grunnskoleoppl","prosent","0.640949555","voksne_grunnskole","NULL","NULL"
"2013","09","alle","kun_spesialund","personer","121","voksne_grunnskole","NULL","NULL"
"2013","09","alle","kun_spesialund","prosent","0.359050445","voksne_grunnskole","NULL","NULL"
"2013","09","alle","grskole_og_spesial","personer","0","voksne_grunnskole","NULL","NULL"
"2013","09","alle","grskole_og_spesial","prosent","0","voksne_grunnskole","NULL","NULL"
"2013","09","minoritet","alle","personer","219","voksne_grunnskole","NULL","NULL"
"2013","09","minoritet","alle","prosent","65","voksne_grunnskole","NULL","NULL"
"2013","09","minoritet","kun_grunnskoleoppl","personer",".","voksne_grunnskole","NULL","NULL"
"2013","09","minoritet","kun_grunnskoleoppl","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","09","minoritet","kun_spesialund","personer",".","voksne_grunnskole","NULL","NULL"
"2013","09","minoritet","kun_spesialund","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","09","minoritet","grskole_og_spesial","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","09","minoritet","NULL","personer",".","voksne_grunnskole","NULL","NULL"
"2013","09","ikke_minoritet","alle","personer","118","voksne_grunnskole","NULL","NULL"
"2013","09","ikke_minoritet","alle","prosent","35.0148368","voksne_grunnskole","NULL","NULL"
"2013","09","ikke_minoritet","kun_grunnskoleoppl","personer",".","voksne_grunnskole","NULL","NULL"
"2013","09","ikke_minoritet","kun_grunnskoleoppl","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","09","ikke_minoritet","kun_spesialund","personer",".","voksne_grunnskole","NULL","NULL"
"2013","09","ikke_minoritet","kun_spesialund","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","09","ikke_minoritet","grskole_og_spesial","personer",".","voksne_grunnskole","NULL","NULL"
"2013","09","ikke_minoritet","grskole_og_spesial","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","10","alle","alle","personer","497","voksne_grunnskole","NULL","NULL"
"2013","10","alle","alle","prosent","100","voksne_grunnskole","NULL","NULL"
"2013","10","alle","kun_grunnskoleoppl","personer","210","voksne_grunnskole","NULL","NULL"
"2013","10","alle","kun_grunnskoleoppl","prosent","0.422535211","voksne_grunnskole","NULL","NULL"
"2013","10","alle","kun_spesialund","personer","275","voksne_grunnskole","NULL","NULL"
"2013","10","alle","kun_spesialund","prosent","0.55331992","voksne_grunnskole","NULL","NULL"
"2013","10","alle","grskole_og_spesial","personer","12","voksne_grunnskole","NULL","NULL"
"2013","10","alle","grskole_og_spesial","prosent","0.024144869","voksne_grunnskole","NULL","NULL"
"2013","10","minoritet","alle","personer","227","voksne_grunnskole","NULL","NULL"
"2013","10","minoritet","alle","prosent","45.7","voksne_grunnskole","NULL","NULL"
"2013","10","minoritet","kun_grunnskoleoppl","personer",".","voksne_grunnskole","NULL","NULL"
"2013","10","minoritet","kun_grunnskoleoppl","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","10","minoritet","kun_spesialund","personer",".","voksne_grunnskole","NULL","NULL"
"2013","10","minoritet","kun_spesialund","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","10","minoritet","grskole_og_spesial","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","10","minoritet","NULL","personer",".","voksne_grunnskole","NULL","NULL"
"2013","10","ikke_minoritet","alle","personer","270","voksne_grunnskole","NULL","NULL"
"2013","10","ikke_minoritet","alle","prosent","54.32595573","voksne_grunnskole","NULL","NULL"
"2013","10","ikke_minoritet","kun_grunnskoleoppl","personer",".","voksne_grunnskole","NULL","NULL"
"2013","10","ikke_minoritet","kun_grunnskoleoppl","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","10","ikke_minoritet","kun_spesialund","personer",".","voksne_grunnskole","NULL","NULL"
"2013","10","ikke_minoritet","kun_spesialund","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","10","ikke_minoritet","grskole_og_spesial","personer",".","voksne_grunnskole","NULL","NULL"
"2013","10","ikke_minoritet","grskole_og_spesial","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","11","alle","alle","personer","917","voksne_grunnskole","NULL","NULL"
"2013","11","alle","alle","prosent","100","voksne_grunnskole","NULL","NULL"
"2013","11","alle","kun_grunnskoleoppl","personer","506","voksne_grunnskole","NULL","NULL"
"2013","11","alle","kun_grunnskoleoppl","prosent","0.551799346","voksne_grunnskole","NULL","NULL"
"2013","11","alle","kun_spesialund","personer","407","voksne_grunnskole","NULL","NULL"
"2013","11","alle","kun_spesialund","prosent","0.443838604","voksne_grunnskole","NULL","NULL"
"2013","11","alle","grskole_og_spesial","personer","4","voksne_grunnskole","NULL","NULL"
"2013","11","alle","grskole_og_spesial","prosent","0.00436205","voksne_grunnskole","NULL","NULL"
"2013","11","minoritet","alle","personer","502","voksne_grunnskole","NULL","NULL"
"2013","11","minoritet","alle","prosent","54.7","voksne_grunnskole","NULL","NULL"
"2013","11","minoritet","kun_grunnskoleoppl","personer",".","voksne_grunnskole","NULL","NULL"
"2013","11","minoritet","kun_grunnskoleoppl","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","11","minoritet","kun_spesialund","personer",".","voksne_grunnskole","NULL","NULL"
"2013","11","minoritet","kun_spesialund","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","11","minoritet","grskole_og_spesial","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","11","minoritet","NULL","personer",".","voksne_grunnskole","NULL","NULL"
"2013","11","ikke_minoritet","alle","personer","415","voksne_grunnskole","NULL","NULL"
"2013","11","ikke_minoritet","alle","prosent","45.25627045","voksne_grunnskole","NULL","NULL"
"2013","11","ikke_minoritet","kun_grunnskoleoppl","personer",".","voksne_grunnskole","NULL","NULL"
"2013","11","ikke_minoritet","kun_grunnskoleoppl","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","11","ikke_minoritet","kun_spesialund","personer",".","voksne_grunnskole","NULL","NULL"
"2013","11","ikke_minoritet","kun_spesialund","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","11","ikke_minoritet","grskole_og_spesial","personer",".","voksne_grunnskole","NULL","NULL"
"2013","11","ikke_minoritet","grskole_og_spesial","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","12","alle","alle","personer","606","voksne_grunnskole","NULL","NULL"
"2013","12","alle","alle","prosent","100","voksne_grunnskole","NULL","NULL"
"2013","12","alle","kun_grunnskoleoppl","personer","424","voksne_grunnskole","NULL","NULL"
"2013","12","alle","kun_grunnskoleoppl","prosent","0.699669967","voksne_grunnskole","NULL","NULL"
"2013","12","alle","kun_spesialund","personer","173","voksne_grunnskole","NULL","NULL"
"2013","12","alle","kun_spesialund","prosent","0.285478548","voksne_grunnskole","NULL","NULL"
"2013","12","alle","grskole_og_spesial","personer","9","voksne_grunnskole","NULL","NULL"
"2013","12","alle","grskole_og_spesial","prosent","0.014851485","voksne_grunnskole","NULL","NULL"
"2013","12","minoritet","alle","personer","324","voksne_grunnskole","NULL","NULL"
"2013","12","minoritet","alle","prosent","53.5","voksne_grunnskole","NULL","NULL"
"2013","12","minoritet","kun_grunnskoleoppl","personer",".","voksne_grunnskole","NULL","NULL"
"2013","12","minoritet","kun_grunnskoleoppl","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","12","minoritet","kun_spesialund","personer",".","voksne_grunnskole","NULL","NULL"
"2013","12","minoritet","kun_spesialund","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","12","minoritet","grskole_og_spesial","prosent",".","voksne_grunnskole","NULL","NULL"
"2013","12","minoritet","NULL","personer",".","voksne_grunnskole","NULL","NULL"
"2013","12","ikke_minoritet","alle","personer","282","voksne_grunnskole","NULL","NULL"
"2013","12","ikke_minoritet","alle","prosent","46.53465347","voksne_grunnskole","NULL","NULL"
"2013","12","ikke_minoritet","kun_grunnskoleoppl","personer",".","voksne_grunnskole","NULL","NULL"
