"aar","bydel_nr","spraak","enhet","tabellvariabel","tabell_navn","fylke_nr","kommune_nr","naringsregion_nr"
"2013","030111","alle","personer","307","voksne_videregaende","NULL","NULL","NULL"
"2013","030111","alle","prosent","100","voksne_videregaende","NULL","NULL","NULL"
"2013","030111","minoritet","personer","236","voksne_videregaende","NULL","NULL","NULL"
"2013","030111","minoritet","prosent","76.9","voksne_videregaende","NULL","NULL","NULL"
"2013","030111","ikke_minoritet","personer","71","voksne_videregaende","NULL","NULL","NULL"
"2013","030111","ikke_minoritet","prosent","23.1","voksne_videregaende","NULL","NULL","NULL"
"2013","030112","alle","personer","477","voksne_videregaende","NULL","NULL","NULL"
"2013","030112","alle","prosent","100","voksne_videregaende","NULL","NULL","NULL"
"2013","030112","minoritet","personer","337","voksne_videregaende","NULL","NULL","NULL"
"2013","030112","minoritet","prosent","70.6","voksne_videregaende","NULL","NULL","NULL"
"2013","030112","ikke_minoritet","personer","140","voksne_videregaende","NULL","NULL","NULL"
"2013","030112","ikke_minoritet","prosent","29.4","voksne_videregaende","NULL","NULL","NULL"
"2013","030113","alle","personer","323","voksne_videregaende","NULL","NULL","NULL"
"2013","030113","alle","prosent","100","voksne_videregaende","NULL","NULL","NULL"
"2013","030113","minoritet","personer","193","voksne_videregaende","NULL","NULL","NULL"
"2013","030113","minoritet","prosent","59.8","voksne_videregaende","NULL","NULL","NULL"
"2013","030113","ikke_minoritet","personer","130","voksne_videregaende","NULL","NULL","NULL"
"2013","030113","ikke_minoritet","prosent","40.2","voksne_videregaende","NULL","NULL","NULL"
"2013","030114","alle","personer","264","voksne_videregaende","NULL","NULL","NULL"
"2013","030114","alle","prosent","100","voksne_videregaende","NULL","NULL","NULL"
"2013","030114","minoritet","personer","121","voksne_videregaende","NULL","NULL","NULL"
"2013","030114","minoritet","prosent","45.8","voksne_videregaende","NULL","NULL","NULL"
"2013","030114","ikke_minoritet","personer","143","voksne_videregaende","NULL","NULL","NULL"
"2013","030114","ikke_minoritet","prosent","54.2","voksne_videregaende","NULL","NULL","NULL"
"2013","030115","alle","personer","378","voksne_videregaende","NULL","NULL","NULL"
"2013","030115","alle","prosent","100","voksne_videregaende","NULL","NULL","NULL"
"2013","030115","minoritet","personer","280","voksne_videregaende","NULL","NULL","NULL"
"2013","030115","minoritet","prosent","74.1","voksne_videregaende","NULL","NULL","NULL"
"2013","030115","ikke_minoritet","personer","98","voksne_videregaende","NULL","NULL","NULL"
"2013","030115","ikke_minoritet","prosent","25.9","voksne_videregaende","NULL","NULL","NULL"
"2013","030116","alle","personer","11","voksne_videregaende","NULL","NULL","NULL"
"2013","030116","alle","prosent","100","voksne_videregaende","NULL","NULL","NULL"
"2013","030116","minoritet","personer","7","voksne_videregaende","NULL","NULL","NULL"
"2013","030116","minoritet","prosent","63.6","voksne_videregaende","NULL","NULL","NULL"
"2013","030116","ikke_minoritet","personer","4","voksne_videregaende","NULL","NULL","NULL"
"2013","030116","ikke_minoritet","prosent","36.4","voksne_videregaende","NULL","NULL","NULL"
"2013","030117","alle","personer","13","voksne_videregaende","NULL","NULL","NULL"
"2013","030117","alle","prosent","100","voksne_videregaende","NULL","NULL","NULL"
"2013","030117","minoritet","personer","5","voksne_videregaende","NULL","NULL","NULL"
"2013","030117","minoritet","prosent","38.5","voksne_videregaende","NULL","NULL","NULL"
"2013","030117","ikke_minoritet","personer","8","voksne_videregaende","NULL","NULL","NULL"
"2013","030117","ikke_minoritet","prosent","61.5","voksne_videregaende","NULL","NULL","NULL"
"2013","030199","alle","personer","28","voksne_videregaende","NULL","NULL","NULL"
"2013","030199","alle","prosent","100","voksne_videregaende","NULL","NULL","NULL"
"2013","030199","minoritet","personer","10","voksne_videregaende","NULL","NULL","NULL"
"2013","030199","minoritet","prosent","35.7","voksne_videregaende","NULL","NULL","NULL"
"2013","030199","ikke_minoritet","personer","18","voksne_videregaende","NULL","NULL","NULL"
"2013","030199","ikke_minoritet","prosent","64.3","voksne_videregaende","NULL","NULL","NULL"
"2013","NULL","alle","personer","28132","voksne_videregaende","00","NULL","NULL"
"2013","NULL","alle","prosent","100","voksne_videregaende","00","NULL","NULL"
"2013","NULL","minoritet","personer","9212","voksne_videregaende","00","NULL","NULL"
"2013","NULL","minoritet","prosent","32.74562775","voksne_videregaende","00","NULL","NULL"
"2013","NULL","ikke_minoritet","personer","18920","voksne_videregaende","00","NULL","NULL"
"2013","NULL","ikke_minoritet","prosent","67.25437225","voksne_videregaende","00","NULL","NULL"
"2013","NULL","alle","personer","1255","voksne_videregaende","01","NULL","NULL"
"2013","NULL","alle","prosent","100","voksne_videregaende","01","NULL","NULL"
"2013","NULL","minoritet","personer","383","voksne_videregaende","01","NULL","NULL"
"2013","NULL","minoritet","prosent","30.5","voksne_videregaende","01","NULL","NULL"
"2013","NULL","ikke_minoritet","personer","872","voksne_videregaende","01","NULL","NULL"
"2013","NULL","ikke_minoritet","prosent","69.5","voksne_videregaende","01","NULL","NULL"
"2013","NULL","alle","personer","2678","voksne_videregaende","02","NULL","NULL"
"2013","NULL","alle","prosent","100","voksne_videregaende","02","NULL","NULL"
"2013","NULL","minoritet","personer","1077","voksne_videregaende","02","NULL","NULL"
"2013","NULL","minoritet","prosent","40.2","voksne_videregaende","02","NULL","NULL"
"2013","NULL","ikke_minoritet","personer","1601","voksne_videregaende","02","NULL","NULL"
"2013","NULL","ikke_minoritet","prosent","59.8","voksne_videregaende","02","NULL","NULL"
"2013","NULL","alle","personer","4966","voksne_videregaende","03","NULL","NULL"
"2013","NULL","alle","prosent","100","voksne_videregaende","03","NULL","NULL"
"2013","NULL","minoritet","personer","2998","voksne_videregaende","03","NULL","NULL"
"2013","NULL","minoritet","prosent","60.4","voksne_videregaende","03","NULL","NULL"
"2013","NULL","ikke_minoritet","personer","1968","voksne_videregaende","03","NULL","NULL"
"2013","NULL","ikke_minoritet","prosent","39.6","voksne_videregaende","03","NULL","NULL"
"2013","NULL","alle","personer","1008","voksne_videregaende","04","NULL","NULL"
"2013","NULL","alle","prosent","100","voksne_videregaende","04","NULL","NULL"
"2013","NULL","minoritet","personer","208","voksne_videregaende","04","NULL","NULL"
"2013","NULL","minoritet","prosent","20.6","voksne_videregaende","04","NULL","NULL"
"2013","NULL","ikke_minoritet","personer","800","voksne_videregaende","04","NULL","NULL"
"2013","NULL","ikke_minoritet","prosent","79.4","voksne_videregaende","04","NULL","NULL"
"2013","NULL","alle","personer","744","voksne_videregaende","05","NULL","NULL"
"2013","NULL","alle","prosent","100","voksne_videregaende","05","NULL","NULL"
"2013","NULL","minoritet","personer","165","voksne_videregaende","05","NULL","NULL"
"2013","NULL","minoritet","prosent","22.2","voksne_videregaende","05","NULL","NULL"
"2013","NULL","ikke_minoritet","personer","579","voksne_videregaende","05","NULL","NULL"
"2013","NULL","ikke_minoritet","prosent","77.8","voksne_videregaende","05","NULL","NULL"
"2013","NULL","alle","personer","1399","voksne_videregaende","06","NULL","NULL"
"2013","NULL","alle","prosent","100","voksne_videregaende","06","NULL","NULL"
"2013","NULL","minoritet","personer","537","voksne_videregaende","06","NULL","NULL"
"2013","NULL","minoritet","prosent","38.4","voksne_videregaende","06","NULL","NULL"
"2013","NULL","ikke_minoritet","personer","862","voksne_videregaende","06","NULL","NULL"
"2013","NULL","ikke_minoritet","prosent","61.6","voksne_videregaende","06","NULL","NULL"
"2013","NULL","alle","personer","1356","voksne_videregaende","07","NULL","NULL"
"2013","NULL","alle","prosent","100","voksne_videregaende","07","NULL","NULL"
"2013","NULL","minoritet","personer","294","voksne_videregaende","07","NULL","NULL"
"2013","NULL","minoritet","prosent","21.7","voksne_videregaende","07","NULL","NULL"
"2013","NULL","ikke_minoritet","personer","1062","voksne_videregaende","07","NULL","NULL"
"2013","NULL","ikke_minoritet","prosent","78.3","voksne_videregaende","07","NULL","NULL"
"2013","NULL","alle","personer","1266","voksne_videregaende","08","NULL","NULL"
"2013","NULL","alle","prosent","100","voksne_videregaende","08","NULL","NULL"
"2013","NULL","minoritet","personer","441","voksne_videregaende","08","NULL","NULL"
"2013","NULL","minoritet","prosent","34.8","voksne_videregaende","08","NULL","NULL"
"2013","NULL","ikke_minoritet","personer","825","voksne_videregaende","08","NULL","NULL"
"2013","NULL","ikke_minoritet","prosent","65.2","voksne_videregaende","08","NULL","NULL"
"2013","NULL","alle","personer","653","voksne_videregaende","09","NULL","NULL"
"2013","NULL","alle","prosent","100","voksne_videregaende","09","NULL","NULL"
"2013","NULL","minoritet","personer","176","voksne_videregaende","09","NULL","NULL"
"2013","NULL","minoritet","prosent","27","voksne_videregaende","09","NULL","NULL"
"2013","NULL","ikke_minoritet","personer","477","voksne_videregaende","09","NULL","NULL"
"2013","NULL","ikke_minoritet","prosent","73","voksne_videregaende","09","NULL","NULL"
"2013","NULL","alle","personer","731","voksne_videregaende","10","NULL","NULL"
"2013","NULL","alle","prosent","100","voksne_videregaende","10","NULL","NULL"
"2013","NULL","minoritet","personer","233","voksne_videregaende","10","NULL","NULL"
"2013","NULL","minoritet","prosent","31.9","voksne_videregaende","10","NULL","NULL"
"2013","NULL","ikke_minoritet","personer","498","voksne_videregaende","10","NULL","NULL"
"2013","NULL","ikke_minoritet","prosent","68.1","voksne_videregaende","10","NULL","NULL"
"2013","NULL","alle","personer","1918","voksne_videregaende","11","NULL","NULL"
"2013","NULL","alle","prosent","100","voksne_videregaende","11","NULL","NULL"
"2013","NULL","minoritet","personer","437","voksne_videregaende","11","NULL","NULL"
"2013","NULL","minoritet","prosent","22.8","voksne_videregaende","11","NULL","NULL"
"2013","NULL","ikke_minoritet","personer","1481","voksne_videregaende","11","NULL","NULL"
"2013","NULL","ikke_minoritet","prosent","77.2","voksne_videregaende","11","NULL","NULL"
"2013","NULL","alle","personer","3534","voksne_videregaende","12","NULL","NULL"
"2013","NULL","alle","prosent","100","voksne_videregaende","12","NULL","NULL"
"2013","NULL","minoritet","personer","952","voksne_videregaende","12","NULL","NULL"
"2013","NULL","minoritet","prosent","26.9","voksne_videregaende","12","NULL","NULL"
"2013","NULL","ikke_minoritet","personer","2582","voksne_videregaende","12","NULL","NULL"
"2013","NULL","ikke_minoritet","prosent","73.1","voksne_videregaende","12","NULL","NULL"
"2013","NULL","alle","personer","504","voksne_videregaende","14","NULL","NULL"
"2013","NULL","alle","prosent","100","voksne_videregaende","14","NULL","NULL"
"2013","NULL","minoritet","personer","113","voksne_videregaende","14","NULL","NULL"
"2013","NULL","minoritet","prosent","22.4","voksne_videregaende","14","NULL","NULL"
"2013","NULL","ikke_minoritet","personer","391","voksne_videregaende","14","NULL","NULL"
"2013","NULL","ikke_minoritet","prosent","77.6","voksne_videregaende","14","NULL","NULL"
"2013","NULL","alle","personer","1111","voksne_videregaende","15","NULL","NULL"
"2013","NULL","alle","prosent","100","voksne_videregaende","15","NULL","NULL"
"2013","NULL","minoritet","personer","232","voksne_videregaende","15","NULL","NULL"
"2013","NULL","minoritet","prosent","20.9","voksne_videregaende","15","NULL","NULL"
"2013","NULL","ikke_minoritet","personer","879","voksne_videregaende","15","NULL","NULL"
"2013","NULL","ikke_minoritet","prosent","79.1","voksne_videregaende","15","NULL","NULL"
"2013","NULL","alle","personer","1696","voksne_videregaende","16","NULL","NULL"
"2013","NULL","alle","prosent","100","voksne_videregaende","16","NULL","NULL"
"2013","NULL","minoritet","personer","330","voksne_videregaende","16","NULL","NULL"
"2013","NULL","minoritet","prosent","19.5","voksne_videregaende","16","NULL","NULL"
"2013","NULL","ikke_minoritet","personer","1366","voksne_videregaende","16","NULL","NULL"
"2013","NULL","ikke_minoritet","prosent","80.5","voksne_videregaende","16","NULL","NULL"
"2013","NULL","alle","personer","878","voksne_videregaende","17","NULL","NULL"
"2013","NULL","alle","prosent","100","voksne_videregaende","17","NULL","NULL"
"2013","NULL","minoritet","personer","195","voksne_videregaende","17","NULL","NULL"
"2013","NULL","minoritet","prosent","22.2","voksne_videregaende","17","NULL","NULL"
"2013","NULL","ikke_minoritet","personer","683","voksne_videregaende","17","NULL","NULL"
"2013","NULL","ikke_minoritet","prosent","77.8","voksne_videregaende","17","NULL","NULL"
"2013","NULL","alle","personer","1323","voksne_videregaende","18","NULL","NULL"
"2013","NULL","alle","prosent","100","voksne_videregaende","18","NULL","NULL"
"2013","NULL","minoritet","personer","233","voksne_videregaende","18","NULL","NULL"
"2013","NULL","minoritet","prosent","17.6","voksne_videregaende","18","NULL","NULL"
"2013","NULL","ikke_minoritet","personer","1090","voksne_videregaende","18","NULL","NULL"
"2013","NULL","ikke_minoritet","prosent","82.4","voksne_videregaende","18","NULL","NULL"
"2013","NULL","alle","personer","659","voksne_videregaende","19","NULL","NULL"
"2013","NULL","alle","prosent","100","voksne_videregaende","19","NULL","NULL"
"2013","NULL","minoritet","personer","131","voksne_videregaende","19","NULL","NULL"
"2013","NULL","minoritet","prosent","19.9","voksne_videregaende","19","NULL","NULL"
"2013","NULL","ikke_minoritet","personer","528","voksne_videregaende","19","NULL","NULL"
"2013","NULL","ikke_minoritet","prosent","80.1","voksne_videregaende","19","NULL","NULL"
"2013","NULL","alle","personer","453","voksne_videregaende","20","NULL","NULL"
"2013","NULL","alle","prosent","100","voksne_videregaende","20","NULL","NULL"
"2013","NULL","minoritet","personer","77","voksne_videregaende","20","NULL","NULL"
"2013","NULL","minoritet","prosent","17","voksne_videregaende","20","NULL","NULL"
"2013","NULL","ikke_minoritet","personer","376","voksne_videregaende","20","NULL","NULL"
"2013","NULL","ikke_minoritet","prosent","83","voksne_videregaende","20","NULL","NULL"
"2013","NULL","alle","personer",".","voksne_videregaende","99","NULL","NULL"
"2013","NULL","alle","prosent",".","voksne_videregaende","99","NULL","NULL"
"2013","NULL","minoritet","personer",".","voksne_videregaende","99","NULL","NULL"
"2013","NULL","minoritet","prosent",".","voksne_videregaende","99","NULL","NULL"
"2013","NULL","ikke_minoritet","personer",".","voksne_videregaende","99","NULL","NULL"
"2013","NULL","ikke_minoritet","prosent",".","voksne_videregaende","99","NULL","NULL"
"2013","NULL","alle","personer","117","voksne_videregaende","NULL","0101","NULL"
"2013","NULL","alle","prosent","100","voksne_videregaende","NULL","0101","NULL"
"2013","NULL","minoritet","personer","35","voksne_videregaende","NULL","0101","NULL"
"2013","NULL","minoritet","prosent","29.9","voksne_videregaende","NULL","0101","NULL"
"2013","NULL","ikke_minoritet","personer","82","voksne_videregaende","NULL","0101","NULL"
"2013","NULL","ikke_minoritet","prosent","70.1","voksne_videregaende","NULL","0101","NULL"
"2013","NULL","alle","personer","149","voksne_videregaende","NULL","0104","NULL"
"2013","NULL","alle","prosent","100","voksne_videregaende","NULL","0104","NULL"
"2013","NULL","minoritet","personer","51","voksne_videregaende","NULL","0104","NULL"
"2013","NULL","minoritet","prosent","34.2","voksne_videregaende","NULL","0104","NULL"
"2013","NULL","ikke_minoritet","personer","98","voksne_videregaende","NULL","0104","NULL"
"2013","NULL","ikke_minoritet","prosent","65.8","voksne_videregaende","NULL","0104","NULL"
"2013","NULL","alle","personer","281","voksne_videregaende","NULL","0105","NULL"
"2013","NULL","alle","prosent","100","voksne_videregaende","NULL","0105","NULL"
"2013","NULL","minoritet","personer","105","voksne_videregaende","NULL","0105","NULL"
"2013","NULL","minoritet","prosent","37.4","voksne_videregaende","NULL","0105","NULL"
"2013","NULL","ikke_minoritet","personer","176","voksne_videregaende","NULL","0105","NULL"
"2013","NULL","ikke_minoritet","prosent","62.6","voksne_videregaende","NULL","0105","NULL"
"2013","NULL","alle","personer","358","voksne_videregaende","NULL","0106","NULL"
"2013","NULL","alle","prosent","100","voksne_videregaende","NULL","0106","NULL"
"2013","NULL","minoritet","personer","99","voksne_videregaende","NULL","0106","NULL"
"2013","NULL","minoritet","prosent","27.7","voksne_videregaende","NULL","0106","NULL"
"2013","NULL","ikke_minoritet","personer","259","voksne_videregaende","NULL","0106","NULL"
"2013","NULL","ikke_minoritet","prosent","72.3","voksne_videregaende","NULL","0106","NULL"
"2013","NULL","alle","personer","11","voksne_videregaende","NULL","0111","NULL"
"2013","NULL","alle","prosent","100","voksne_videregaende","NULL","0111","NULL"
"2013","NULL","minoritet","personer","1","voksne_videregaende","NULL","0111","NULL"
"2013","NULL","minoritet","prosent","9.1","voksne_videregaende","NULL","0111","NULL"
"2013","NULL","ikke_minoritet","personer","10","voksne_videregaende","NULL","0111","NULL"
"2013","NULL","ikke_minoritet","prosent","90.9","voksne_videregaende","NULL","0111","NULL"
"2013","NULL","alle","personer",":","voksne_videregaende","NULL","0118","NULL"
"2013","NULL","alle","prosent",":","voksne_videregaende","NULL","0118","NULL"
"2013","NULL","minoritet","personer",":","voksne_videregaende","NULL","0118","NULL"
"2013","NULL","minoritet","prosent",":","voksne_videregaende","NULL","0118","NULL"
"2013","NULL","ikke_minoritet","personer",":","voksne_videregaende","NULL","0118","NULL"
"2013","NULL","ikke_minoritet","prosent",":","voksne_videregaende","NULL","0118","NULL"
"2013","NULL","alle","personer","7","voksne_videregaende","NULL","0119","NULL"
"2013","NULL","alle","prosent","100","voksne_videregaende","NULL","0119","NULL"
"2013","NULL","minoritet","personer","1","voksne_videregaende","NULL","0119","NULL"
"2013","NULL","minoritet","prosent","14.3","voksne_videregaende","NULL","0119","NULL"
"2013","NULL","ikke_minoritet","personer","6","voksne_videregaende","NULL","0119","NULL"
"2013","NULL","ikke_minoritet","prosent","85.7","voksne_videregaende","NULL","0119","NULL"
"2013","NULL","alle","personer",":","voksne_videregaende","NULL","0121","NULL"
"2013","NULL","alle","prosent",":","voksne_videregaende","NULL","0121","NULL"
"2013","NULL","minoritet","personer",":","voksne_videregaende","NULL","0121","NULL"
"2013","NULL","minoritet","prosent",":","voksne_videregaende","NULL","0121","NULL"
"2013","NULL","ikke_minoritet","personer",":","voksne_videregaende","NULL","0121","NULL"
"2013","NULL","ikke_minoritet","prosent",":","voksne_videregaende","NULL","0121","NULL"
"2013","NULL","alle","personer","29","voksne_videregaende","NULL","0122","NULL"
"2013","NULL","alle","prosent","100","voksne_videregaende","NULL","0122","NULL"
"2013","NULL","minoritet","personer","11","voksne_videregaende","NULL","0122","NULL"
"2013","NULL","minoritet","prosent","37.9","voksne_videregaende","NULL","0122","NULL"
"2013","NULL","ikke_minoritet","personer","18","voksne_videregaende","NULL","0122","NULL"
"2013","NULL","ikke_minoritet","prosent","62.1","voksne_videregaende","NULL","0122","NULL"
"2013","NULL","alle","personer","21","voksne_videregaende","NULL","0123","NULL"
"2013","NULL","alle","prosent","100","voksne_videregaende","NULL","0123","NULL"
"2013","NULL","minoritet","personer","6","voksne_videregaende","NULL","0123","NULL"
"2013","NULL","minoritet","prosent","28.6","voksne_videregaende","NULL","0123","NULL"
"2013","NULL","ikke_minoritet","personer","15","voksne_videregaende","NULL","0123","NULL"
"2013","NULL","ikke_minoritet","prosent","71.4","voksne_videregaende","NULL","0123","NULL"
"2013","NULL","alle","personer","54","voksne_videregaende","NULL","0124","NULL"
"2013","NULL","alle","prosent","100","voksne_videregaende","NULL","0124","NULL"
"2013","NULL","minoritet","personer","17","voksne_videregaende","NULL","0124","NULL"
"2013","NULL","minoritet","prosent","31.5","voksne_videregaende","NULL","0124","NULL"
"2013","NULL","ikke_minoritet","personer","37","voksne_videregaende","NULL","0124","NULL"
"2013","NULL","ikke_minoritet","prosent","68.5","voksne_videregaende","NULL","0124","NULL"
"2013","NULL","alle","personer","58","voksne_videregaende","NULL","0125","NULL"
"2013","NULL","alle","prosent","100","voksne_videregaende","NULL","0125","NULL"
"2013","NULL","minoritet","personer","25","voksne_videregaende","NULL","0125","NULL"
"2013","NULL","minoritet","prosent","43.1","voksne_videregaende","NULL","0125","NULL"
"2013","NULL","ikke_minoritet","personer","33","voksne_videregaende","NULL","0125","NULL"
"2013","NULL","ikke_minoritet","prosent","56.9","voksne_videregaende","NULL","0125","NULL"
"2013","NULL","alle","personer","14","voksne_videregaende","NULL","0127","NULL"
"2013","NULL","alle","prosent","100","voksne_videregaende","NULL","0127","NULL"
"2013","NULL","minoritet","personer","3","voksne_videregaende","NULL","0127","NULL"
"2013","NULL","minoritet","prosent","21.4","voksne_videregaende","NULL","0127","NULL"
"2013","NULL","ikke_minoritet","personer","11","voksne_videregaende","NULL","0127","NULL"
"2013","NULL","ikke_minoritet","prosent","78.6","voksne_videregaende","NULL","0127","NULL"
"2013","NULL","alle","personer","29","voksne_videregaende","NULL","0128","NULL"
"2013","NULL","alle","prosent","100","voksne_videregaende","NULL","0128","NULL"
"2013","NULL","minoritet","personer","10","voksne_videregaende","NULL","0128","NULL"
"2013","NULL","minoritet","prosent","34.5","voksne_videregaende","NULL","0128","NULL"
"2013","NULL","ikke_minoritet","personer","19","voksne_videregaende","NULL","0128","NULL"
"2013","NULL","ikke_minoritet","prosent","65.5","voksne_videregaende","NULL","0128","NULL"
"2013","NULL","alle","personer","29","voksne_videregaende","NULL","0135","NULL"
"2013","NULL","alle","prosent","100","voksne_videregaende","NULL","0135","NULL"
"2013","NULL","minoritet","personer","3","voksne_videregaende","NULL","0135","NULL"
"2013","NULL","minoritet","prosent","10.3","voksne_videregaende","NULL","0135","NULL"
"2013","NULL","ikke_minoritet","personer","26","voksne_videregaende","NULL","0135","NULL"
"2013","NULL","ikke_minoritet","prosent","89.7","voksne_videregaende","NULL","0135","NULL"
"2013","NULL","alle","personer","49","voksne_videregaende","NULL","0136","NULL"
"2013","NULL","alle","prosent","100","voksne_videregaende","NULL","0136","NULL"
"2013","NULL","minoritet","personer","9","voksne_videregaende","NULL","0136","NULL"
"2013","NULL","minoritet","prosent","18.4","voksne_videregaende","NULL","0136","NULL"
"2013","NULL","ikke_minoritet","personer","40","voksne_videregaende","NULL","0136","NULL"
"2013","NULL","ikke_minoritet","prosent","81.6","voksne_videregaende","NULL","0136","NULL"
"2013","NULL","alle","personer","25","voksne_videregaende","NULL","0137","NULL"
"2013","NULL","alle","prosent","100","voksne_videregaende","NULL","0137","NULL"
"2013","NULL","minoritet","personer","5","voksne_videregaende","NULL","0137","NULL"
"2013","NULL","minoritet","prosent","20","voksne_videregaende","NULL","0137","NULL"
"2013","NULL","ikke_minoritet","personer","20","voksne_videregaende","NULL","0137","NULL"
"2013","NULL","ikke_minoritet","prosent","80","voksne_videregaende","NULL","0137","NULL"
"2013","NULL","alle","personer","19","voksne_videregaende","NULL","0138","NULL"
