tabell_navn;aar;naringsregion_id;botid_3;forste_bosettingskommune;enhet;tabellvariabel;
flyktning_botid_flytting;2015;07;0-4;nei;person;97;
flyktning_botid_flytting;2015;07;0-4;uoppgitt;person;176;
flyktning_botid_flytting;2015;07;5+;ja;person;1350;
flyktning_botid_flytting;2015;07;5+;nei;person;3993;
flyktning_botid_flytting;2015;07;5+;uoppgitt;person;2172;
flyktning_botid_flytting;2015;08;alle;alle;person;2846;
flyktning_botid_flytting;2015;08;0-4;alle;person;419;
flyktning_botid_flytting;2015;08;5+;alle;person;2427;
flyktning_botid_flytting;2015;08;0-4;ja;person;279;
flyktning_botid_flytting;2015;08;0-4;nei;person;44;
flyktning_botid_flytting;2015;08;0-4;uoppgitt;person;96;
flyktning_botid_flytting;2015;08;5+;ja;person;499;
flyktning_botid_flytting;2015;08;5+;nei;person;1324;
flyktning_botid_flytting;2015;08;5+;uoppgitt;person;604;
flyktning_botid_flytting;2015;09;alle;alle;person;45664;
flyktning_botid_flytting;2015;09;0-4;alle;person;4123;
flyktning_botid_flytting;2015;09;5+;alle;person;41541;
flyktning_botid_flytting;2015;09;0-4;ja;person;2332;
flyktning_botid_flytting;2015;09;0-4;nei;person;655;
flyktning_botid_flytting;2015;09;0-4;uoppgitt;person;1136;
flyktning_botid_flytting;2015;09;5+;ja;person;11791;
flyktning_botid_flytting;2015;09;5+;nei;person;17949;
flyktning_botid_flytting;2015;09;5+;uoppgitt;person;11801;
flyktning_botid_flytting;2015;10;alle;alle;person;334;
flyktning_botid_flytting;2015;10;0-4;alle;person;184;
flyktning_botid_flytting;2015;10;5+;alle;person;150;
flyktning_botid_flytting;2015;10;0-4;ja;person;170;
flyktning_botid_flytting;2015;10;0-4;nei;person;4;
flyktning_botid_flytting;2015;10;0-4;uoppgitt;person;10;
flyktning_botid_flytting;2015;10;5+;ja;person;102;
flyktning_botid_flytting;2015;10;5+;nei;person;31;
flyktning_botid_flytting;2015;10;5+;uoppgitt;person;17;
flyktning_botid_flytting;2015;11;alle;alle;person;1299;
flyktning_botid_flytting;2015;11;0-4;alle;person;485;
flyktning_botid_flytting;2015;11;5+;alle;person;814;
flyktning_botid_flytting;2015;11;0-4;ja;person;221;
flyktning_botid_flytting;2015;11;0-4;nei;person;68;
flyktning_botid_flytting;2015;11;0-4;uoppgitt;person;196;
flyktning_botid_flytting;2015;11;5+;ja;person;362;
flyktning_botid_flytting;2015;11;5+;nei;person;278;
flyktning_botid_flytting;2015;11;5+;uoppgitt;person;174;
flyktning_botid_flytting;2015;12;alle;alle;person;2609;
flyktning_botid_flytting;2015;12;0-4;alle;person;768;
flyktning_botid_flytting;2015;12;5+;alle;person;1841;
flyktning_botid_flytting;2015;12;0-4;ja;person;567;
flyktning_botid_flytting;2015;12;0-4;nei;person;81;
flyktning_botid_flytting;2015;12;0-4;uoppgitt;person;120;
flyktning_botid_flytting;2015;12;5+;ja;person;899;
flyktning_botid_flytting;2015;12;5+;nei;person;603;
flyktning_botid_flytting;2015;12;5+;uoppgitt;person;339;
flyktning_botid_flytting;2015;13;alle;alle;person;1114;
flyktning_botid_flytting;2015;13;0-4;alle;person;455;
flyktning_botid_flytting;2015;13;5+;alle;person;659;
flyktning_botid_flytting;2015;13;0-4;ja;person;283;
flyktning_botid_flytting;2015;13;0-4;nei;person;58;
flyktning_botid_flytting;2015;13;0-4;uoppgitt;person;114;
flyktning_botid_flytting;2015;13;5+;ja;person;368;
flyktning_botid_flytting;2015;13;5+;nei;person;197;
flyktning_botid_flytting;2015;13;5+;uoppgitt;person;94;
flyktning_botid_flytting;2015;14;alle;alle;person;2314;
flyktning_botid_flytting;2015;14;0-4;alle;person;772;
flyktning_botid_flytting;2015;14;5+;alle;person;1542;
flyktning_botid_flytting;2015;14;0-4;ja;person;485;
flyktning_botid_flytting;2015;14;0-4;nei;person;113;
flyktning_botid_flytting;2015;14;0-4;uoppgitt;person;174;
flyktning_botid_flytting;2015;14;5+;ja;person;825;
flyktning_botid_flytting;2015;14;5+;nei;person;476;
flyktning_botid_flytting;2015;14;5+;uoppgitt;person;241;
flyktning_botid_flytting;2015;15;alle;alle;person;873;
flyktning_botid_flytting;2015;15;0-4;alle;person;457;
flyktning_botid_flytting;2015;15;5+;alle;person;416;
flyktning_botid_flytting;2015;15;0-4;ja;person;405;
flyktning_botid_flytting;2015;15;0-4;nei;person;27;
flyktning_botid_flytting;2015;15;0-4;uoppgitt;person;25;
flyktning_botid_flytting;2015;15;5+;ja;person;256;
flyktning_botid_flytting;2015;15;5+;nei;person;107;
flyktning_botid_flytting;2015;15;5+;uoppgitt;person;53;
flyktning_botid_flytting;2015;16;alle;alle;person;1334;
flyktning_botid_flytting;2015;16;0-4;alle;person;360;
flyktning_botid_flytting;2015;16;5+;alle;person;974;
flyktning_botid_flytting;2015;16;0-4;ja;person;306;
flyktning_botid_flytting;2015;16;0-4;nei;person;22;
flyktning_botid_flytting;2015;16;0-4;uoppgitt;person;32;
flyktning_botid_flytting;2015;16;5+;ja;person;581;
flyktning_botid_flytting;2015;16;5+;nei;person;254;
flyktning_botid_flytting;2015;16;5+;uoppgitt;person;139;
flyktning_botid_flytting;2015;17;alle;alle;person;220;
flyktning_botid_flytting;2015;17;0-4;alle;person;115;
flyktning_botid_flytting;2015;17;5+;alle;person;105;
flyktning_botid_flytting;2015;17;0-4;ja;person;81;
flyktning_botid_flytting;2015;17;0-4;nei;person;10;
flyktning_botid_flytting;2015;17;0-4;uoppgitt;person;24;
flyktning_botid_flytting;2015;17;5+;ja;person;55;
flyktning_botid_flytting;2015;17;5+;nei;person;32;
flyktning_botid_flytting;2015;17;5+;uoppgitt;person;18;
flyktning_botid_flytting;2015;18;alle;alle;person;430;
flyktning_botid_flytting;2015;18;0-4;alle;person;333;
flyktning_botid_flytting;2015;18;5+;alle;person;97;
flyktning_botid_flytting;2015;18;0-4;ja;person;218;
flyktning_botid_flytting;2015;18;0-4;nei;person;33;
flyktning_botid_flytting;2015;18;0-4;uoppgitt;person;82;
flyktning_botid_flytting;2015;18;5+;ja;person;62;
flyktning_botid_flytting;2015;18;5+;nei;person;19;
flyktning_botid_flytting;2015;18;5+;uoppgitt;person;16;
flyktning_botid_flytting;2015;19;alle;alle;person;435;
flyktning_botid_flytting;2015;19;0-4;alle;person;286;
flyktning_botid_flytting;2015;19;5+;alle;person;149;
flyktning_botid_flytting;2015;19;0-4;ja;person;128;
flyktning_botid_flytting;2015;19;0-4;nei;person;33;
flyktning_botid_flytting;2015;19;0-4;uoppgitt;person;125;
flyktning_botid_flytting;2015;19;5+;ja;person;101;
flyktning_botid_flytting;2015;19;5+;nei;person;22;
flyktning_botid_flytting;2015;19;5+;uoppgitt;person;26;
flyktning_botid_flytting;2015;20;alle;alle;person;8595;
flyktning_botid_flytting;2015;20;0-4;alle;person;1509;
flyktning_botid_flytting;2015;20;5+;alle;person;7086;
flyktning_botid_flytting;2015;20;0-4;ja;person;1105;
flyktning_botid_flytting;2015;20;0-4;nei;person;121;
flyktning_botid_flytting;2015;20;0-4;uoppgitt;person;283;
flyktning_botid_flytting;2015;20;5+;ja;person;2059;
flyktning_botid_flytting;2015;20;5+;nei;person;3657;
flyktning_botid_flytting;2015;20;5+;uoppgitt;person;1370;
flyktning_botid_flytting;2015;21;alle;alle;person;529;
flyktning_botid_flytting;2015;21;0-4;alle;person;283;
flyktning_botid_flytting;2015;21;5+;alle;person;246;
flyktning_botid_flytting;2015;21;0-4;ja;person;149;
flyktning_botid_flytting;2015;21;0-4;nei;person;44;
flyktning_botid_flytting;2015;21;0-4;uoppgitt;person;90;
flyktning_botid_flytting;2015;21;5+;ja;person;142;
flyktning_botid_flytting;2015;21;5+;nei;person;45;
flyktning_botid_flytting;2015;21;5+;uoppgitt;person;59;
flyktning_botid_flytting;2015;22;alle;alle;person;1069;
flyktning_botid_flytting;2015;22;0-4;alle;person;373;
flyktning_botid_flytting;2015;22;5+;alle;person;696;
flyktning_botid_flytting;2015;22;0-4;ja;person;272;
flyktning_botid_flytting;2015;22;0-4;nei;person;48;
flyktning_botid_flytting;2015;22;0-4;uoppgitt;person;53;
flyktning_botid_flytting;2015;22;5+;ja;person;340;
flyktning_botid_flytting;2015;22;5+;nei;person;236;
flyktning_botid_flytting;2015;22;5+;uoppgitt;person;120;
flyktning_botid_flytting;2015;23;alle;alle;person;394;
flyktning_botid_flytting;2015;23;0-4;alle;person;119;
flyktning_botid_flytting;2015;23;5+;alle;person;275;
flyktning_botid_flytting;2015;23;0-4;ja;person;103;
flyktning_botid_flytting;2015;23;0-4;nei;person;0;
flyktning_botid_flytting;2015;23;0-4;uoppgitt;person;16;
flyktning_botid_flytting;2015;23;5+;ja;person;167;
flyktning_botid_flytting;2015;23;5+;nei;person;67;
flyktning_botid_flytting;2015;23;5+;uoppgitt;person;41;
flyktning_botid_flytting;2015;24;alle;alle;person;998;
flyktning_botid_flytting;2015;24;0-4;alle;person;196;
flyktning_botid_flytting;2015;24;5+;alle;person;802;
flyktning_botid_flytting;2015;24;0-4;ja;person;137;
flyktning_botid_flytting;2015;24;0-4;nei;person;34;
flyktning_botid_flytting;2015;24;0-4;uoppgitt;person;25;
flyktning_botid_flytting;2015;24;5+;ja;person;365;
flyktning_botid_flytting;2015;24;5+;nei;person;292;
flyktning_botid_flytting;2015;24;5+;uoppgitt;person;145;
flyktning_botid_flytting;2015;25;alle;alle;person;3838;
flyktning_botid_flytting;2015;25;0-4;alle;person;811;
flyktning_botid_flytting;2015;25;5+;alle;person;3027;
flyktning_botid_flytting;2015;25;0-4;ja;person;577;
flyktning_botid_flytting;2015;25;0-4;nei;person;100;
flyktning_botid_flytting;2015;25;0-4;uoppgitt;person;134;
flyktning_botid_flytting;2015;25;5+;ja;person;1074;
flyktning_botid_flytting;2015;25;5+;nei;person;1407;
flyktning_botid_flytting;2015;25;5+;uoppgitt;person;546;
flyktning_botid_flytting;2015;26;alle;alle;person;3333;
flyktning_botid_flytting;2015;26;0-4;alle;person;480;
flyktning_botid_flytting;2015;26;5+;alle;person;2853;
flyktning_botid_flytting;2015;26;0-4;ja;person;349;
flyktning_botid_flytting;2015;26;0-4;nei;person;36;
flyktning_botid_flytting;2015;26;0-4;uoppgitt;person;95;
flyktning_botid_flytting;2015;26;5+;ja;person;1067;
flyktning_botid_flytting;2015;26;5+;nei;person;1179;
flyktning_botid_flytting;2015;26;5+;uoppgitt;person;607;
flyktning_botid_flytting;2015;27;alle;alle;person;5314;
flyktning_botid_flytting;2015;27;0-4;alle;person;1419;
flyktning_botid_flytting;2015;27;5+;alle;person;3895;
flyktning_botid_flytting;2015;27;0-4;ja;person;1133;
flyktning_botid_flytting;2015;27;0-4;nei;person;106;
flyktning_botid_flytting;2015;27;0-4;uoppgitt;person;180;
flyktning_botid_flytting;2015;27;5+;ja;person;2026;
flyktning_botid_flytting;2015;27;5+;nei;person;1311;
flyktning_botid_flytting;2015;27;5+;uoppgitt;person;558;
flyktning_botid_flytting;2015;28;alle;alle;person;637;
flyktning_botid_flytting;2015;28;0-4;alle;person;261;
flyktning_botid_flytting;2015;28;5+;alle;person;376;
flyktning_botid_flytting;2015;28;0-4;ja;person;189;
flyktning_botid_flytting;2015;28;0-4;nei;person;27;
flyktning_botid_flytting;2015;28;0-4;uoppgitt;person;45;
flyktning_botid_flytting;2015;28;5+;ja;person;250;
flyktning_botid_flytting;2015;28;5+;nei;person;88;
flyktning_botid_flytting;2015;28;5+;uoppgitt;person;38;
flyktning_botid_flytting;2015;29;alle;alle;person;638;
flyktning_botid_flytting;2015;29;0-4;alle;person;339;
flyktning_botid_flytting;2015;29;5+;alle;person;299;
flyktning_botid_flytting;2015;29;0-4;ja;person;269;
flyktning_botid_flytting;2015;29;0-4;nei;person;26;
flyktning_botid_flytting;2015;29;0-4;uoppgitt;person;44;
flyktning_botid_flytting;2015;29;5+;ja;person;163;
flyktning_botid_flytting;2015;29;5+;nei;person;77;
flyktning_botid_flytting;2015;29;5+;uoppgitt;person;59;
flyktning_botid_flytting;2015;30;alle;alle;person;202;
flyktning_botid_flytting;2015;30;0-4;alle;person;82;
flyktning_botid_flytting;2015;30;5+;alle;person;120;
flyktning_botid_flytting;2015;30;0-4;ja;person;76;
flyktning_botid_flytting;2015;30;0-4;nei;person;0;
flyktning_botid_flytting;2015;30;0-4;uoppgitt;person;6;
flyktning_botid_flytting;2015;30;5+;ja;person;93;
flyktning_botid_flytting;2015;30;5+;nei;person;19;
flyktning_botid_flytting;2015;30;5+;uoppgitt;person;8;
flyktning_botid_flytting;2015;31;alle;alle;person;289;
flyktning_botid_flytting;2015;31;0-4;alle;person;89;
flyktning_botid_flytting;2015;31;5+;alle;person;200;
flyktning_botid_flytting;2015;31;0-4;ja;person;82;
flyktning_botid_flytting;2015;31;0-4;nei;person;3;
flyktning_botid_flytting;2015;31;0-4;uoppgitt;person;4;
flyktning_botid_flytting;2015;31;5+;ja;person;122;
flyktning_botid_flytting;2015;31;5+;nei;person;64;
flyktning_botid_flytting;2015;31;5+;uoppgitt;person;14;
flyktning_botid_flytting;2015;32;alle;alle;person;3045;
flyktning_botid_flytting;2015;32;0-4;alle;person;944;
flyktning_botid_flytting;2015;32;5+;alle;person;2101;
flyktning_botid_flytting;2015;32;0-4;ja;person;796;
flyktning_botid_flytting;2015;32;0-4;nei;person;52;
flyktning_botid_flytting;2015;32;0-4;uoppgitt;person;96;
flyktning_botid_flytting;2015;32;5+;ja;person;1335;
flyktning_botid_flytting;2015;32;5+;nei;person;506;
flyktning_botid_flytting;2015;32;5+;uoppgitt;person;260;
flyktning_botid_flytting;2015;33;alle;alle;person;1192;
flyktning_botid_flytting;2015;33;0-4;alle;person;552;
flyktning_botid_flytting;2015;33;5+;alle;person;640;
flyktning_botid_flytting;2015;33;0-4;ja;person;338;
flyktning_botid_flytting;2015;33;0-4;nei;person;85;
flyktning_botid_flytting;2015;33;0-4;uoppgitt;person;129;
flyktning_botid_flytting;2015;33;5+;ja;person;424;
flyktning_botid_flytting;2015;33;5+;nei;person;114;
flyktning_botid_flytting;2015;33;5+;uoppgitt;person;102;
flyktning_botid_flytting;2015;34;alle;alle;person;775;
flyktning_botid_flytting;2015;34;0-4;alle;person;338;
flyktning_botid_flytting;2015;34;5+;alle;person;437;
flyktning_botid_flytting;2015;34;0-4;ja;person;257;
flyktning_botid_flytting;2015;34;0-4;nei;person;31;
flyktning_botid_flytting;2015;34;0-4;uoppgitt;person;50;
flyktning_botid_flytting;2015;34;5+;ja;person;293;
flyktning_botid_flytting;2015;34;5+;nei;person;84;
flyktning_botid_flytting;2015;34;5+;uoppgitt;person;60;
flyktning_botid_flytting;2015;35;alle;alle;person;7014;
flyktning_botid_flytting;2015;35;0-4;alle;person;1499;
flyktning_botid_flytting;2015;35;5+;alle;person;5515;
flyktning_botid_flytting;2015;35;0-4;ja;person;1166;
flyktning_botid_flytting;2015;35;0-4;nei;person;110;
flyktning_botid_flytting;2015;35;0-4;uoppgitt;person;223;
flyktning_botid_flytting;2015;35;5+;ja;person;3039;
flyktning_botid_flytting;2015;35;5+;nei;person;1563;
flyktning_botid_flytting;2015;35;5+;uoppgitt;person;913;
flyktning_botid_flytting;2015;36;alle;alle;person;570;
flyktning_botid_flytting;2015;36;0-4;alle;person;235;
flyktning_botid_flytting;2015;36;5+;alle;person;335;
flyktning_botid_flytting;2015;36;0-4;ja;person;195;
flyktning_botid_flytting;2015;36;0-4;nei;person;11;
flyktning_botid_flytting;2015;36;0-4;uoppgitt;person;29;
flyktning_botid_flytting;2015;36;5+;ja;person;222;
flyktning_botid_flytting;2015;36;5+;nei;person;69;
flyktning_botid_flytting;2015;36;5+;uoppgitt;person;44;
flyktning_botid_flytting;2015;37;alle;alle;person;2394;
flyktning_botid_flytting;2015;37;0-4;alle;person;722;
flyktning_botid_flytting;2015;37;5+;alle;person;1672;
flyktning_botid_flytting;2015;37;0-4;ja;person;613;
flyktning_botid_flytting;2015;37;0-4;nei;person;27;
flyktning_botid_flytting;2015;37;0-4;uoppgitt;person;82;
flyktning_botid_flytting;2015;37;5+;ja;person;816;
flyktning_botid_flytting;2015;37;5+;nei;person;526;
flyktning_botid_flytting;2015;37;5+;uoppgitt;person;330;
flyktning_botid_flytting;2015;38;alle;alle;person;502;
flyktning_botid_flytting;2015;38;0-4;alle;person;264;
flyktning_botid_flytting;2015;38;5+;alle;person;238;
flyktning_botid_flytting;2015;38;0-4;ja;person;204;
flyktning_botid_flytting;2015;38;0-4;nei;person;25;
flyktning_botid_flytting;2015;38;0-4;uoppgitt;person;35;
flyktning_botid_flytting;2015;38;5+;ja;person;135;
flyktning_botid_flytting;2015;38;5+;nei;person;62;
flyktning_botid_flytting;2015;38;5+;uoppgitt;person;41;
flyktning_botid_flytting;2015;39;alle;alle;person;10675;
flyktning_botid_flytting;2015;39;0-4;alle;person;1935;
flyktning_botid_flytting;2015;39;5+;alle;person;8740;
flyktning_botid_flytting;2015;39;0-4;ja;person;1304;
flyktning_botid_flytting;2015;39;0-4;nei;person;216;
flyktning_botid_flytting;2015;39;0-4;uoppgitt;person;415;
flyktning_botid_flytting;2015;39;5+;ja;person;3867;
flyktning_botid_flytting;2015;39;5+;nei;person;3149;
flyktning_botid_flytting;2015;39;5+;uoppgitt;person;1724;
flyktning_botid_flytting;2015;40;alle;alle;person;9961;
flyktning_botid_flytting;2015;40;0-4;alle;person;1948;
flyktning_botid_flytting;2015;40;5+;alle;person;8013;
flyktning_botid_flytting;2015;40;0-4;ja;person;1548;
flyktning_botid_flytting;2015;40;0-4;nei;person;106;
flyktning_botid_flytting;2015;40;0-4;uoppgitt;person;294;
flyktning_botid_flytting;2015;40;5+;ja;person;4086;
flyktning_botid_flytting;2015;40;5+;nei;person;1968;
flyktning_botid_flytting;2015;40;5+;uoppgitt;person;1959;
flyktning_botid_flytting;2015;41;alle;alle;person;300;
flyktning_botid_flytting;2015;41;0-4;alle;person;61;
flyktning_botid_flytting;2015;41;5+;alle;person;239;
flyktning_botid_flytting;2015;41;0-4;ja;person;53;
flyktning_botid_flytting;2015;41;0-4;nei;person;0;
flyktning_botid_flytting;2015;41;0-4;uoppgitt;person;8;
flyktning_botid_flytting;2015;41;5+;ja;person;137;
flyktning_botid_flytting;2015;41;5+;nei;person;59;
flyktning_botid_flytting;2015;41;5+;uoppgitt;person;43;
flyktning_botid_flytting;2015;42;alle;alle;person;432;
flyktning_botid_flytting;2015;42;0-4;alle;person;256;
flyktning_botid_flytting;2015;42;5+;alle;person;176;
flyktning_botid_flytting;2015;42;0-4;ja;person;181;
flyktning_botid_flytting;2015;42;0-4;nei;person;24;
flyktning_botid_flytting;2015;42;0-4;uoppgitt;person;51;
flyktning_botid_flytting;2015;42;5+;ja;person;131;
flyktning_botid_flytting;2015;42;5+;nei;person;23;
flyktning_botid_flytting;2015;42;5+;uoppgitt;person;22;
flyktning_botid_flytting;2015;43;alle;alle;person;321;
flyktning_botid_flytting;2015;43;0-4;alle;person;157;
flyktning_botid_flytting;2015;43;5+;alle;person;164;
flyktning_botid_flytting;2015;43;0-4;ja;person;109;
flyktning_botid_flytting;2015;43;0-4;nei;person;14;
flyktning_botid_flytting;2015;43;0-4;uoppgitt;person;34;
flyktning_botid_flytting;2015;43;5+;ja;person;120;
flyktning_botid_flytting;2015;43;5+;nei;person;24;
flyktning_botid_flytting;2015;43;5+;uoppgitt;person;20;
flyktning_botid_flytting;2015;44;alle;alle;person;337;
flyktning_botid_flytting;2015;44;0-4;alle;person;151;
flyktning_botid_flytting;2015;44;5+;alle;person;186;
flyktning_botid_flytting;2015;44;0-4;ja;person;144;
flyktning_botid_flytting;2015;44;0-4;nei;person;4;
flyktning_botid_flytting;2015;44;0-4;uoppgitt;person;3;
flyktning_botid_flytting;2015;44;5+;ja;person;101;
flyktning_botid_flytting;2015;44;5+;nei;person;59;
flyktning_botid_flytting;2015;44;5+;uoppgitt;person;26;
flyktning_botid_flytting;2015;45;alle;alle;person;99;
flyktning_botid_flytting;2015;45;0-4;alle;person;51;
flyktning_botid_flytting;2015;45;5+;alle;person;48;
flyktning_botid_flytting;2015;45;0-4;ja;person;51;
flyktning_botid_flytting;2015;45;0-4;nei;person;0;
flyktning_botid_flytting;2015;45;0-4;uoppgitt;person;0;
flyktning_botid_flytting;2015;45;5+;ja;person;19;
flyktning_botid_flytting;2015;45;5+;nei;person;22;
flyktning_botid_flytting;2015;45;5+;uoppgitt;person;7;
flyktning_botid_flytting;2015;46;alle;alle;person;1089;
flyktning_botid_flytting;2015;46;0-4;alle;person;434;
flyktning_botid_flytting;2015;46;5+;alle;person;655;
flyktning_botid_flytting;2015;46;0-4;ja;person;333;
flyktning_botid_flytting;2015;46;0-4;nei;person;15;
flyktning_botid_flytting;2015;46;0-4;uoppgitt;person;86;
flyktning_botid_flytting;2015;46;5+;ja;person;386;
flyktning_botid_flytting;2015;46;5+;nei;person;147;
flyktning_botid_flytting;2015;46;5+;uoppgitt;person;122;
flyktning_botid_flytting;2015;47;alle;alle;person;1129;
flyktning_botid_flytting;2015;47;0-4;alle;person;377;
flyktning_botid_flytting;2015;47;5+;alle;person;752;
flyktning_botid_flytting;2015;47;0-4;ja;person;319;
flyktning_botid_flytting;2015;47;0-4;nei;person;19;
flyktning_botid_flytting;2015;47;0-4;uoppgitt;person;39;
flyktning_botid_flytting;2015;47;5+;ja;person;404;
flyktning_botid_flytting;2015;47;5+;nei;person;227;
flyktning_botid_flytting;2015;47;5+;uoppgitt;person;121;
flyktning_botid_flytting;2015;48;alle;alle;person;45;
flyktning_botid_flytting;2015;48;0-4;alle;person;23;
flyktning_botid_flytting;2015;48;5+;alle;person;22;
flyktning_botid_flytting;2015;48;0-4;ja;person;20;
flyktning_botid_flytting;2015;48;0-4;nei;person;3;
flyktning_botid_flytting;2015;48;0-4;uoppgitt;person;0;
flyktning_botid_flytting;2015;48;5+;ja;person;8;
flyktning_botid_flytting;2015;48;5+;nei;person;4;
flyktning_botid_flytting;2015;48;5+;uoppgitt;person;10;
flyktning_botid_flytting;2015;49;alle;alle;person;588;
flyktning_botid_flytting;2015;49;0-4;alle;person;312;
flyktning_botid_flytting;2015;49;5+;alle;person;276;
flyktning_botid_flytting;2015;49;0-4;ja;person;285;
flyktning_botid_flytting;2015;49;0-4;nei;person;6;
flyktning_botid_flytting;2015;49;0-4;uoppgitt;person;21;
flyktning_botid_flytting;2015;49;5+;ja;person;207;
flyktning_botid_flytting;2015;49;5+;nei;person;24;
flyktning_botid_flytting;2015;49;5+;uoppgitt;person;45;
flyktning_botid_flytting;2015;50;alle;alle;person;641;
flyktning_botid_flytting;2015;50;0-4;alle;person;406;
flyktning_botid_flytting;2015;50;5+;alle;person;235;
flyktning_botid_flytting;2015;50;0-4;ja;person;291;
flyktning_botid_flytting;2015;50;0-4;nei;person;51;
flyktning_botid_flytting;2015;50;0-4;uoppgitt;person;64;
flyktning_botid_flytting;2015;50;5+;ja;person;152;
flyktning_botid_flytting;2015;50;5+;nei;person;34;
flyktning_botid_flytting;2015;50;5+;uoppgitt;person;49;
flyktning_botid_flytting;2015;51;alle;alle;person;967;
flyktning_botid_flytting;2015;51;0-4;alle;person;470;
flyktning_botid_flytting;2015;51;5+;alle;person;497;
flyktning_botid_flytting;2015;51;0-4;ja;person;325;
flyktning_botid_flytting;2015;51;0-4;nei;person;51;
flyktning_botid_flytting;2015;51;0-4;uoppgitt;person;94;
flyktning_botid_flytting;2015;51;5+;ja;person;304;
flyktning_botid_flytting;2015;51;5+;nei;person;93;
flyktning_botid_flytting;2015;51;5+;uoppgitt;person;100;
flyktning_botid_flytting;2015;52;alle;alle;person;1270;
flyktning_botid_flytting;2015;52;0-4;alle;person;700;
flyktning_botid_flytting;2015;52;5+;alle;person;570;
flyktning_botid_flytting;2015;52;0-4;ja;person;523;
flyktning_botid_flytting;2015;52;0-4;nei;person;68;
flyktning_botid_flytting;2015;52;0-4;uoppgitt;person;109;
flyktning_botid_flytting;2015;52;5+;ja;person;396;
flyktning_botid_flytting;2015;52;5+;nei;person;80;
flyktning_botid_flytting;2015;52;5+;uoppgitt;person;94;
flyktning_botid_flytting;2015;53;alle;alle;person;936;
flyktning_botid_flytting;2015;53;0-4;alle;person;478;
