tabell_navn;aar;fylke_nr;kjonn;innvkat_5;vreg_3;invalder_3;enhet;tabellvariabel
grunnskolepoeng;2014-2015;00;1;norskfodte_m_innvf;NULL;NULL;grunnskolepoeng;37,2
grunnskolepoeng;2014-2015;00;1;norskfodte_m_innvf;NULL;NULL;person;1506
grunnskolepoeng;2014-2015;00;0;alle;NULL;NULL;grunnskolepoeng;43
grunnskolepoeng;2014-2015;00;0;alle;NULL;NULL;person;29645
grunnskolepoeng;2014-2015;00;0;bef_u_innv_og_norskf;NULL;NULL;grunnskolepoeng;43,4
grunnskolepoeng;2014-2015;00;0;bef_u_innv_og_norskf;NULL;NULL;person;26092
grunnskolepoeng;2014-2015;00;0;befolkningen_ellers;NULL;NULL;grunnskolepoeng;43,4
grunnskolepoeng;2014-2015;00;0;befolkningen_ellers;NULL;NULL;person;27573
grunnskolepoeng;2014-2015;00;0;innvandrere;1;0_6;grunnskolepoeng;42,8
grunnskolepoeng;2014-2015;00;0;innvandrere;1;0_6;person;164
grunnskolepoeng;2014-2015;00;0;innvandrere;1;7+;grunnskolepoeng;39,2
grunnskolepoeng;2014-2015;00;0;innvandrere;1;7+;person;641
grunnskolepoeng;2014-2015;00;0;innvandrere;1;alle;grunnskolepoeng;39,8
grunnskolepoeng;2014-2015;00;0;innvandrere;1;alle;person;804
grunnskolepoeng;2014-2015;00;0;innvandrere;2;0_6;grunnskolepoeng;39,4
grunnskolepoeng;2014-2015;00;0;innvandrere;2;0_6;person;518
grunnskolepoeng;2014-2015;00;0;innvandrere;2;7+;grunnskolepoeng;36,2
grunnskolepoeng;2014-2015;00;0;innvandrere;2;7+;person;811
grunnskolepoeng;2014-2015;00;0;innvandrere;2;alle;grunnskolepoeng;37,4
grunnskolepoeng;2014-2015;00;0;innvandrere;2;alle;person;1319
grunnskolepoeng;2014-2015;00;0;innvandrere;alle;0_6;grunnskolepoeng;40
grunnskolepoeng;2014-2015;00;0;innvandrere;alle;0_6;person;676
grunnskolepoeng;2014-2015;00;0;innvandrere;alle;7+;grunnskolepoeng;37,4
grunnskolepoeng;2014-2015;00;0;innvandrere;alle;7+;person;1436
grunnskolepoeng;2014-2015;00;0;innvandrere;alle;alle;grunnskolepoeng;38,2
grunnskolepoeng;2014-2015;00;0;innvandrere;alle;alle;person;2114
grunnskolepoeng;2014-2015;00;0;norskfodte_m_innvf;NULL;NULL;grunnskolepoeng;41
grunnskolepoeng;2014-2015;00;0;norskfodte_m_innvf;NULL;NULL;person;1508
grunnskolepoeng;2014-2015;01;alle;alle;NULL;NULL;grunnskolepoeng;39,8
grunnskolepoeng;2014-2015;01;alle;alle;NULL;NULL;person;3442
grunnskolepoeng;2014-2015;01;alle;bef_u_innv_og_norskf;NULL;NULL;grunnskolepoeng;40,2
grunnskolepoeng;2014-2015;01;alle;bef_u_innv_og_norskf;NULL;NULL;person;2932
grunnskolepoeng;2014-2015;01;alle;befolkningen_ellers;NULL;NULL;grunnskolepoeng;40,2
grunnskolepoeng;2014-2015;01;alle;befolkningen_ellers;NULL;NULL;person;3131
grunnskolepoeng;2014-2015;01;alle;innvandrere;1;0_6;grunnskolepoeng;37,4
grunnskolepoeng;2014-2015;01;alle;innvandrere;1;0_6;person;22
grunnskolepoeng;2014-2015;01;alle;innvandrere;1;7+;grunnskolepoeng;37,6
grunnskolepoeng;2014-2015;01;alle;innvandrere;1;7+;person;73
grunnskolepoeng;2014-2015;01;alle;innvandrere;1;alle;grunnskolepoeng;37,6
grunnskolepoeng;2014-2015;01;alle;innvandrere;1;alle;person;91
grunnskolepoeng;2014-2015;01;alle;innvandrere;2;0_6;grunnskolepoeng;37,8
grunnskolepoeng;2014-2015;01;alle;innvandrere;2;0_6;person;113
grunnskolepoeng;2014-2015;01;alle;innvandrere;2;7+;grunnskolepoeng;33,8
grunnskolepoeng;2014-2015;01;alle;innvandrere;2;7+;person;106
grunnskolepoeng;2014-2015;01;alle;innvandrere;2;alle;grunnskolepoeng;36
grunnskolepoeng;2014-2015;01;alle;innvandrere;2;alle;person;219
grunnskolepoeng;2014-2015;01;alle;innvandrere;alle;0_6;grunnskolepoeng;37,8
grunnskolepoeng;2014-2015;01;alle;innvandrere;alle;0_6;person;133
grunnskolepoeng;2014-2015;01;alle;innvandrere;alle;7+;grunnskolepoeng;35,4
grunnskolepoeng;2014-2015;01;alle;innvandrere;alle;7+;person;180
grunnskolepoeng;2014-2015;01;alle;innvandrere;alle;alle;grunnskolepoeng;36,4
grunnskolepoeng;2014-2015;01;alle;innvandrere;alle;alle;person;312
grunnskolepoeng;2014-2015;01;alle;norskfodte_m_innvf;NULL;NULL;grunnskolepoeng;39
grunnskolepoeng;2014-2015;01;alle;norskfodte_m_innvf;NULL;NULL;person;199
grunnskolepoeng;2014-2015;01;1;alle;NULL;NULL;grunnskolepoeng;37,6
grunnskolepoeng;2014-2015;01;1;alle;NULL;NULL;person;1761
grunnskolepoeng;2014-2015;01;1;bef_u_innv_og_norskf;NULL;NULL;grunnskolepoeng;38,2
grunnskolepoeng;2014-2015;01;1;bef_u_innv_og_norskf;NULL;NULL;person;1500
grunnskolepoeng;2014-2015;01;1;befolkningen_ellers;NULL;NULL;grunnskolepoeng;38
grunnskolepoeng;2014-2015;01;1;befolkningen_ellers;NULL;NULL;person;1604
grunnskolepoeng;2014-2015;01;1;innvandrere;1;0_6;grunnskolepoeng;35,4
grunnskolepoeng;2014-2015;01;1;innvandrere;1;0_6;person;3
grunnskolepoeng;2014-2015;01;1;innvandrere;1;7+;grunnskolepoeng;33,6
grunnskolepoeng;2014-2015;01;1;innvandrere;1;7+;person;36
grunnskolepoeng;2014-2015;01;1;innvandrere;1;alle;grunnskolepoeng;33,8
grunnskolepoeng;2014-2015;01;1;innvandrere;1;alle;person;43
grunnskolepoeng;2014-2015;01;1;innvandrere;2;0_6;grunnskolepoeng;36,4
grunnskolepoeng;2014-2015;01;1;innvandrere;2;0_6;person;52
grunnskolepoeng;2014-2015;01;1;innvandrere;2;7+;grunnskolepoeng;31,8
grunnskolepoeng;2014-2015;01;1;innvandrere;2;7+;person;56
grunnskolepoeng;2014-2015;01;1;innvandrere;2;alle;grunnskolepoeng;34,2
grunnskolepoeng;2014-2015;01;1;innvandrere;2;alle;person;108
grunnskolepoeng;2014-2015;01;1;innvandrere;alle;0_6;grunnskolepoeng;36,4
grunnskolepoeng;2014-2015;01;1;innvandrere;alle;0_6;person;58
grunnskolepoeng;2014-2015;01;1;innvandrere;alle;7+;grunnskolepoeng;32,4
grunnskolepoeng;2014-2015;01;1;innvandrere;alle;7+;person;96
grunnskolepoeng;2014-2015;01;1;innvandrere;alle;alle;grunnskolepoeng;34
grunnskolepoeng;2014-2015;01;1;innvandrere;alle;alle;person;156
grunnskolepoeng;2014-2015;01;1;norskfodte_m_innvf;NULL;NULL;grunnskolepoeng;35,6
grunnskolepoeng;2014-2015;01;1;norskfodte_m_innvf;NULL;NULL;person;104
grunnskolepoeng;2014-2015;01;0;alle;NULL;NULL;grunnskolepoeng;42
grunnskolepoeng;2014-2015;01;0;alle;NULL;NULL;person;1680
grunnskolepoeng;2014-2015;01;0;bef_u_innv_og_norskf;NULL;NULL;grunnskolepoeng;42,4
grunnskolepoeng;2014-2015;01;0;bef_u_innv_og_norskf;NULL;NULL;person;1431
grunnskolepoeng;2014-2015;01;0;befolkningen_ellers;NULL;NULL;grunnskolepoeng;42,4
grunnskolepoeng;2014-2015;01;0;befolkningen_ellers;NULL;NULL;person;1526
grunnskolepoeng;2014-2015;01;0;innvandrere;1;0_6;grunnskolepoeng;39
grunnskolepoeng;2014-2015;01;0;innvandrere;1;0_6;person;18
grunnskolepoeng;2014-2015;01;0;innvandrere;1;7+;grunnskolepoeng;41,8
grunnskolepoeng;2014-2015;01;0;innvandrere;1;7+;person;35
grunnskolepoeng;2014-2015;01;0;innvandrere;1;alle;grunnskolepoeng;41,2
grunnskolepoeng;2014-2015;01;0;innvandrere;1;alle;person;50
grunnskolepoeng;2014-2015;01;0;innvandrere;2;0_6;grunnskolepoeng;39,2
grunnskolepoeng;2014-2015;01;0;innvandrere;2;0_6;person;54
grunnskolepoeng;2014-2015;01;0;innvandrere;2;7+;grunnskolepoeng;36,2
grunnskolepoeng;2014-2015;01;0;innvandrere;2;7+;person;53
grunnskolepoeng;2014-2015;01;0;innvandrere;2;alle;grunnskolepoeng;37,8
grunnskolepoeng;2014-2015;01;0;innvandrere;2;alle;person;108
grunnskolepoeng;2014-2015;01;0;innvandrere;alle;0_6;grunnskolepoeng;39,2
grunnskolepoeng;2014-2015;01;0;innvandrere;alle;0_6;person;72
grunnskolepoeng;2014-2015;01;0;innvandrere;alle;7+;grunnskolepoeng;38,6
grunnskolepoeng;2014-2015;01;0;innvandrere;alle;7+;person;83
grunnskolepoeng;2014-2015;01;0;innvandrere;alle;alle;grunnskolepoeng;38,8
grunnskolepoeng;2014-2015;01;0;innvandrere;alle;alle;person;157
grunnskolepoeng;2014-2015;01;0;norskfodte_m_innvf;NULL;NULL;grunnskolepoeng;43
grunnskolepoeng;2014-2015;01;0;norskfodte_m_innvf;NULL;NULL;person;95
grunnskolepoeng;2014-2015;02;alle;alle;NULL;NULL;grunnskolepoeng;41,8
grunnskolepoeng;2014-2015;02;alle;alle;NULL;NULL;person;7418
grunnskolepoeng;2014-2015;02;alle;bef_u_innv_og_norskf;NULL;NULL;grunnskolepoeng;42,4
grunnskolepoeng;2014-2015;02;alle;bef_u_innv_og_norskf;NULL;NULL;person;6445
grunnskolepoeng;2014-2015;02;alle;befolkningen_ellers;NULL;NULL;grunnskolepoeng;42,2
grunnskolepoeng;2014-2015;02;alle;befolkningen_ellers;NULL;NULL;person;6911
grunnskolepoeng;2014-2015;02;alle;innvandrere;1;0_6;grunnskolepoeng;42,8
grunnskolepoeng;2014-2015;02;alle;innvandrere;1;0_6;person;26
grunnskolepoeng;2014-2015;02;alle;innvandrere;1;7+;grunnskolepoeng;37,4
grunnskolepoeng;2014-2015;02;alle;innvandrere;1;7+;person;169
grunnskolepoeng;2014-2015;02;alle;innvandrere;1;alle;grunnskolepoeng;38,2
grunnskolepoeng;2014-2015;02;alle;innvandrere;1;alle;person;200
grunnskolepoeng;2014-2015;02;alle;innvandrere;2;0_6;grunnskolepoeng;37,2
grunnskolepoeng;2014-2015;02;alle;innvandrere;2;0_6;person;154
grunnskolepoeng;2014-2015;02;alle;innvandrere;2;7+;grunnskolepoeng;34,2
grunnskolepoeng;2014-2015;02;alle;innvandrere;2;7+;person;156
grunnskolepoeng;2014-2015;02;alle;innvandrere;2;alle;grunnskolepoeng;35,8
grunnskolepoeng;2014-2015;02;alle;innvandrere;2;alle;person;308
grunnskolepoeng;2014-2015;02;alle;innvandrere;alle;0_6;grunnskolepoeng;38,2
grunnskolepoeng;2014-2015;02;alle;innvandrere;alle;0_6;person;191
grunnskolepoeng;2014-2015;02;alle;innvandrere;alle;7+;grunnskolepoeng;35,8
grunnskolepoeng;2014-2015;02;alle;innvandrere;alle;7+;person;321
grunnskolepoeng;2014-2015;02;alle;innvandrere;alle;alle;grunnskolepoeng;36,6
grunnskolepoeng;2014-2015;02;alle;innvandrere;alle;alle;person;509
grunnskolepoeng;2014-2015;02;alle;norskfodte_m_innvf;NULL;NULL;grunnskolepoeng;40,4
grunnskolepoeng;2014-2015;02;alle;norskfodte_m_innvf;NULL;NULL;person;468
grunnskolepoeng;2014-2015;02;1;alle;NULL;NULL;grunnskolepoeng;40
grunnskolepoeng;2014-2015;02;1;alle;NULL;NULL;person;3789
grunnskolepoeng;2014-2015;02;1;bef_u_innv_og_norskf;NULL;NULL;grunnskolepoeng;40,4
grunnskolepoeng;2014-2015;02;1;bef_u_innv_og_norskf;NULL;NULL;person;3289
grunnskolepoeng;2014-2015;02;1;befolkningen_ellers;NULL;NULL;grunnskolepoeng;40,4
grunnskolepoeng;2014-2015;02;1;befolkningen_ellers;NULL;NULL;person;3535
grunnskolepoeng;2014-2015;02;1;innvandrere;1;0_6;grunnskolepoeng;39,2
grunnskolepoeng;2014-2015;02;1;innvandrere;1;0_6;person;13
grunnskolepoeng;2014-2015;02;1;innvandrere;1;7+;grunnskolepoeng;35,4
grunnskolepoeng;2014-2015;02;1;innvandrere;1;7+;person;81
grunnskolepoeng;2014-2015;02;1;innvandrere;1;alle;grunnskolepoeng;36,2
grunnskolepoeng;2014-2015;02;1;innvandrere;1;alle;person;96
grunnskolepoeng;2014-2015;02;1;innvandrere;2;0_6;grunnskolepoeng;35,8
grunnskolepoeng;2014-2015;02;1;innvandrere;2;0_6;person;83
grunnskolepoeng;2014-2015;02;1;innvandrere;2;7+;grunnskolepoeng;32,2
grunnskolepoeng;2014-2015;02;1;innvandrere;2;7+;person;77
grunnskolepoeng;2014-2015;02;1;innvandrere;2;alle;grunnskolepoeng;34
grunnskolepoeng;2014-2015;02;1;innvandrere;2;alle;person;157
grunnskolepoeng;2014-2015;02;1;innvandrere;alle;0_6;grunnskolepoeng;36,4
grunnskolepoeng;2014-2015;02;1;innvandrere;alle;0_6;person;92
grunnskolepoeng;2014-2015;02;1;innvandrere;alle;7+;grunnskolepoeng;33,8
grunnskolepoeng;2014-2015;02;1;innvandrere;alle;7+;person;161
grunnskolepoeng;2014-2015;02;1;innvandrere;alle;alle;grunnskolepoeng;34,8
grunnskolepoeng;2014-2015;02;1;innvandrere;alle;alle;person;254
grunnskolepoeng;2014-2015;02;1;norskfodte_m_innvf;NULL;NULL;grunnskolepoeng;38,6
grunnskolepoeng;2014-2015;02;1;norskfodte_m_innvf;NULL;NULL;person;243
grunnskolepoeng;2014-2015;02;0;alle;NULL;NULL;grunnskolepoeng;43,8
grunnskolepoeng;2014-2015;02;0;alle;NULL;NULL;person;3629
grunnskolepoeng;2014-2015;02;0;bef_u_innv_og_norskf;NULL;NULL;grunnskolepoeng;44,2
grunnskolepoeng;2014-2015;02;0;bef_u_innv_og_norskf;NULL;NULL;person;3156
grunnskolepoeng;2014-2015;02;0;befolkningen_ellers;NULL;NULL;grunnskolepoeng;44,2
grunnskolepoeng;2014-2015;02;0;befolkningen_ellers;NULL;NULL;person;3376
grunnskolepoeng;2014-2015;02;0;innvandrere;1;0_6;grunnskolepoeng;47
grunnskolepoeng;2014-2015;02;0;innvandrere;1;0_6;person;15
grunnskolepoeng;2014-2015;02;0;innvandrere;1;7+;grunnskolepoeng;39
grunnskolepoeng;2014-2015;02;0;innvandrere;1;7+;person;92
grunnskolepoeng;2014-2015;02;0;innvandrere;1;alle;grunnskolepoeng;40,2
grunnskolepoeng;2014-2015;02;0;innvandrere;1;alle;person;108
grunnskolepoeng;2014-2015;02;0;innvandrere;2;0_6;grunnskolepoeng;38,8
grunnskolepoeng;2014-2015;02;0;innvandrere;2;0_6;person;80
grunnskolepoeng;2014-2015;02;0;innvandrere;2;7+;grunnskolepoeng;36,2
grunnskolepoeng;2014-2015;02;0;innvandrere;2;7+;person;73
grunnskolepoeng;2014-2015;02;0;innvandrere;2;alle;grunnskolepoeng;37,6
grunnskolepoeng;2014-2015;02;0;innvandrere;2;alle;person;151
grunnskolepoeng;2014-2015;02;0;innvandrere;alle;0_6;grunnskolepoeng;40,2
grunnskolepoeng;2014-2015;02;0;innvandrere;alle;0_6;person;92
grunnskolepoeng;2014-2015;02;0;innvandrere;alle;7+;grunnskolepoeng;37,6
grunnskolepoeng;2014-2015;02;0;innvandrere;alle;7+;person;166
grunnskolepoeng;2014-2015;02;0;innvandrere;alle;alle;grunnskolepoeng;38,6
grunnskolepoeng;2014-2015;02;0;innvandrere;alle;alle;person;255
grunnskolepoeng;2014-2015;02;0;norskfodte_m_innvf;NULL;NULL;grunnskolepoeng;42,4
grunnskolepoeng;2014-2015;02;0;norskfodte_m_innvf;NULL;NULL;person;227
grunnskolepoeng;2014-2015;03;alle;alle;NULL;NULL;grunnskolepoeng;41
grunnskolepoeng;2014-2015;03;alle;alle;NULL;NULL;person;5309
grunnskolepoeng;2014-2015;03;alle;bef_u_innv_og_norskf;NULL;NULL;grunnskolepoeng;43,4
grunnskolepoeng;2014-2015;03;alle;bef_u_innv_og_norskf;NULL;NULL;person;3424
grunnskolepoeng;2014-2015;03;alle;befolkningen_ellers;NULL;NULL;grunnskolepoeng;42
grunnskolepoeng;2014-2015;03;alle;befolkningen_ellers;NULL;NULL;person;4666
grunnskolepoeng;2014-2015;03;alle;innvandrere;1;0_6;grunnskolepoeng;39
grunnskolepoeng;2014-2015;03;alle;innvandrere;1;0_6;person;31
grunnskolepoeng;2014-2015;03;alle;innvandrere;1;7+;grunnskolepoeng;35
grunnskolepoeng;2014-2015;03;alle;innvandrere;1;7+;person;124
grunnskolepoeng;2014-2015;03;alle;innvandrere;1;alle;grunnskolepoeng;35,8
grunnskolepoeng;2014-2015;03;alle;innvandrere;1;alle;person;155
grunnskolepoeng;2014-2015;03;alle;innvandrere;2;0_6;grunnskolepoeng;36,8
grunnskolepoeng;2014-2015;03;alle;innvandrere;2;0_6;person;211
grunnskolepoeng;2014-2015;03;alle;innvandrere;2;7+;grunnskolepoeng;31,8
grunnskolepoeng;2014-2015;03;alle;innvandrere;2;7+;person;277
grunnskolepoeng;2014-2015;03;alle;innvandrere;2;alle;grunnskolepoeng;34
grunnskolepoeng;2014-2015;03;alle;innvandrere;2;alle;person;488
grunnskolepoeng;2014-2015;03;alle;innvandrere;alle;0_6;grunnskolepoeng;37
grunnskolepoeng;2014-2015;03;alle;innvandrere;alle;0_6;person;242
grunnskolepoeng;2014-2015;03;alle;innvandrere;alle;7+;grunnskolepoeng;32,8
grunnskolepoeng;2014-2015;03;alle;innvandrere;alle;7+;person;401
grunnskolepoeng;2014-2015;03;alle;innvandrere;alle;alle;grunnskolepoeng;34,4
grunnskolepoeng;2014-2015;03;alle;innvandrere;alle;alle;person;643
grunnskolepoeng;2014-2015;03;alle;norskfodte_m_innvf;NULL;NULL;grunnskolepoeng;38
grunnskolepoeng;2014-2015;03;alle;norskfodte_m_innvf;NULL;NULL;person;1242
grunnskolepoeng;2014-2015;03;1;alle;NULL;NULL;grunnskolepoeng;39,4
grunnskolepoeng;2014-2015;03;1;alle;NULL;NULL;person;2776
grunnskolepoeng;2014-2015;03;1;bef_u_innv_og_norskf;NULL;NULL;grunnskolepoeng;41,8
grunnskolepoeng;2014-2015;03;1;bef_u_innv_og_norskf;NULL;NULL;person;1801
grunnskolepoeng;2014-2015;03;1;befolkningen_ellers;NULL;NULL;grunnskolepoeng;40,2
grunnskolepoeng;2014-2015;03;1;befolkningen_ellers;NULL;NULL;person;2432
grunnskolepoeng;2014-2015;03;1;innvandrere;1;0_6;grunnskolepoeng;38,8
grunnskolepoeng;2014-2015;03;1;innvandrere;1;0_6;person;19
grunnskolepoeng;2014-2015;03;1;innvandrere;1;7+;grunnskolepoeng;33
grunnskolepoeng;2014-2015;03;1;innvandrere;1;7+;person;71
grunnskolepoeng;2014-2015;03;1;innvandrere;1;alle;grunnskolepoeng;34,2
grunnskolepoeng;2014-2015;03;1;innvandrere;1;alle;person;90
grunnskolepoeng;2014-2015;03;1;innvandrere;2;0_6;grunnskolepoeng;35,8
grunnskolepoeng;2014-2015;03;1;innvandrere;2;0_6;person;107
grunnskolepoeng;2014-2015;03;1;innvandrere;2;7+;grunnskolepoeng;30,4
grunnskolepoeng;2014-2015;03;1;innvandrere;2;7+;person;147
grunnskolepoeng;2014-2015;03;1;innvandrere;2;alle;grunnskolepoeng;32,8
grunnskolepoeng;2014-2015;03;1;innvandrere;2;alle;person;254
grunnskolepoeng;2014-2015;03;1;innvandrere;alle;0_6;grunnskolepoeng;36,4
grunnskolepoeng;2014-2015;03;1;innvandrere;alle;0_6;person;126
grunnskolepoeng;2014-2015;03;1;innvandrere;alle;7+;grunnskolepoeng;31,2
grunnskolepoeng;2014-2015;03;1;innvandrere;alle;7+;person;218
grunnskolepoeng;2014-2015;03;1;innvandrere;alle;alle;grunnskolepoeng;33,2
grunnskolepoeng;2014-2015;03;1;innvandrere;alle;alle;person;344
grunnskolepoeng;2014-2015;03;1;norskfodte_m_innvf;NULL;NULL;grunnskolepoeng;36,2
grunnskolepoeng;2014-2015;03;1;norskfodte_m_innvf;NULL;NULL;person;631
grunnskolepoeng;2014-2015;03;0;alle;NULL;NULL;grunnskolepoeng;43
grunnskolepoeng;2014-2015;03;0;alle;NULL;NULL;person;2533
grunnskolepoeng;2014-2015;03;0;bef_u_innv_og_norskf;NULL;NULL;grunnskolepoeng;45,4
grunnskolepoeng;2014-2015;03;0;bef_u_innv_og_norskf;NULL;NULL;person;1623
grunnskolepoeng;2014-2015;03;0;befolkningen_ellers;NULL;NULL;grunnskolepoeng;43,8
grunnskolepoeng;2014-2015;03;0;befolkningen_ellers;NULL;NULL;person;2234
grunnskolepoeng;2014-2015;03;0;innvandrere;1;0_6;grunnskolepoeng;39
grunnskolepoeng;2014-2015;03;0;innvandrere;1;0_6;person;12
grunnskolepoeng;2014-2015;03;0;innvandrere;1;7+;grunnskolepoeng;37,8
grunnskolepoeng;2014-2015;03;0;innvandrere;1;7+;person;53
grunnskolepoeng;2014-2015;03;0;innvandrere;1;alle;grunnskolepoeng;38
grunnskolepoeng;2014-2015;03;0;innvandrere;1;alle;person;65
grunnskolepoeng;2014-2015;03;0;innvandrere;2;0_6;grunnskolepoeng;37,8
grunnskolepoeng;2014-2015;03;0;innvandrere;2;0_6;person;104
grunnskolepoeng;2014-2015;03;0;innvandrere;2;7+;grunnskolepoeng;33,2
grunnskolepoeng;2014-2015;03;0;innvandrere;2;7+;person;130
grunnskolepoeng;2014-2015;03;0;innvandrere;2;alle;grunnskolepoeng;35,2
grunnskolepoeng;2014-2015;03;0;innvandrere;2;alle;person;234
grunnskolepoeng;2014-2015;03;0;innvandrere;alle;0_6;grunnskolepoeng;38
grunnskolepoeng;2014-2015;03;0;innvandrere;alle;0_6;person;116
grunnskolepoeng;2014-2015;03;0;innvandrere;alle;7+;grunnskolepoeng;34,6
grunnskolepoeng;2014-2015;03;0;innvandrere;alle;7+;person;183
grunnskolepoeng;2014-2015;03;0;innvandrere;alle;alle;grunnskolepoeng;35,8
grunnskolepoeng;2014-2015;03;0;innvandrere;alle;alle;person;299
grunnskolepoeng;2014-2015;03;0;norskfodte_m_innvf;NULL;NULL;grunnskolepoeng;40
grunnskolepoeng;2014-2015;03;0;norskfodte_m_innvf;NULL;NULL;person;611
grunnskolepoeng;2014-2015;04;alle;alle;NULL;NULL;grunnskolepoeng;40
grunnskolepoeng;2014-2015;04;alle;alle;NULL;NULL;person;2323
grunnskolepoeng;2014-2015;04;alle;bef_u_innv_og_norskf;NULL;NULL;grunnskolepoeng;40,2
grunnskolepoeng;2014-2015;04;alle;bef_u_innv_og_norskf;NULL;NULL;person;2171
grunnskolepoeng;2014-2015;04;alle;befolkningen_ellers;NULL;NULL;grunnskolepoeng;40,2
grunnskolepoeng;2014-2015;04;alle;befolkningen_ellers;NULL;NULL;person;2209
grunnskolepoeng;2014-2015;04;alle;innvandrere;1;0_6;grunnskolepoeng;43,8
grunnskolepoeng;2014-2015;04;alle;innvandrere;1;0_6;person;12
grunnskolepoeng;2014-2015;04;alle;innvandrere;1;7+;grunnskolepoeng;35
grunnskolepoeng;2014-2015;04;alle;innvandrere;1;7+;person;29
grunnskolepoeng;2014-2015;04;alle;innvandrere;1;alle;grunnskolepoeng;37,2
