"aar","bydel_nr","vreg_9","enhet","tabellvariabel","tabell_navn","fylke_nr","naringsregion_nr","kommune_nr"
"2013","030101","afrika","prosent","41.8","sysselsatte_land","NULL","NULL","NULL"
"2013","030101","sor_og_mellom_amerika","personer","355","sysselsatte_land","NULL","NULL","NULL"
"2013","030101","sor_og_mellom_amerika","prosent","66.9","sysselsatte_land","NULL","NULL","NULL"
"2013","030102","alle","personer","8722","sysselsatte_land","NULL","NULL","NULL"
"2013","030102","alle","prosent","66.6","sysselsatte_land","NULL","NULL","NULL"
"2013","030102","norden","personer","1995","sysselsatte_land","NULL","NULL","NULL"
"2013","030102","norden","prosent","85.8","sysselsatte_land","NULL","NULL","NULL"
"2013","030102","vest_europa","personer","902","sysselsatte_land","NULL","NULL","NULL"
"2013","030102","vest_europa","prosent","79.8","sysselsatte_land","NULL","NULL","NULL"
"2013","030102","eu_ost_europa","personer","1625","sysselsatte_land","NULL","NULL","NULL"
"2013","030102","eu_ost_europa","prosent","71.9","sysselsatte_land","NULL","NULL","NULL"
"2013","030102","ost_europa_ellers","personer","628","sysselsatte_land","NULL","NULL","NULL"
"2013","030102","ost_europa_ellers","prosent","66.5","sysselsatte_land","NULL","NULL","NULL"
"2013","030102","nord_amerika_oseania","personer","214","sysselsatte_land","NULL","NULL","NULL"
"2013","030102","nord_amerika_oseania","prosent","77","sysselsatte_land","NULL","NULL","NULL"
"2013","030102","asia","personer","2072","sysselsatte_land","NULL","NULL","NULL"
"2013","030102","asia","prosent","57.7","sysselsatte_land","NULL","NULL","NULL"
"2013","030102","afrika","personer","883","sysselsatte_land","NULL","NULL","NULL"
"2013","030102","afrika","prosent","44.7","sysselsatte_land","NULL","NULL","NULL"
"2013","030102","sor_og_mellom_amerika","personer","403","sysselsatte_land","NULL","NULL","NULL"
"2013","030102","sor_og_mellom_amerika","prosent","69.4","sysselsatte_land","NULL","NULL","NULL"
"2013","030103","alle","personer","4375","sysselsatte_land","NULL","NULL","NULL"
"2013","030103","alle","prosent","62.4","sysselsatte_land","NULL","NULL","NULL"
"2013","030103","norden","personer","1018","sysselsatte_land","NULL","NULL","NULL"
"2013","030103","norden","prosent","85.1","sysselsatte_land","NULL","NULL","NULL"
"2013","030103","vest_europa","personer","547","sysselsatte_land","NULL","NULL","NULL"
"2013","030103","vest_europa","prosent","80.6","sysselsatte_land","NULL","NULL","NULL"
"2013","030103","eu_ost_europa","personer","695","sysselsatte_land","NULL","NULL","NULL"
"2013","030103","eu_ost_europa","prosent","70.1","sysselsatte_land","NULL","NULL","NULL"
"2013","030103","ost_europa_ellers","personer","373","sysselsatte_land","NULL","NULL","NULL"
"2013","030103","ost_europa_ellers","prosent","69.7","sysselsatte_land","NULL","NULL","NULL"
"2013","030103","nord_amerika_oseania","personer","93","sysselsatte_land","NULL","NULL","NULL"
"2013","030103","nord_amerika_oseania","prosent","68.4","sysselsatte_land","NULL","NULL","NULL"
"2013","030103","asia","personer","858","sysselsatte_land","NULL","NULL","NULL"
"2013","030103","asia","prosent","52.9","sysselsatte_land","NULL","NULL","NULL"
"2013","030103","afrika","personer","568","sysselsatte_land","NULL","NULL","NULL"
"2013","030103","afrika","prosent","37.7","sysselsatte_land","NULL","NULL","NULL"
"2013","030103","sor_og_mellom_amerika","personer","223","sysselsatte_land","NULL","NULL","NULL"
"2013","030103","sor_og_mellom_amerika","prosent","64.5","sysselsatte_land","NULL","NULL","NULL"
"2013","030104","alle","personer","5320","sysselsatte_land","NULL","NULL","NULL"
"2013","030104","alle","prosent","71.4","sysselsatte_land","NULL","NULL","NULL"
"2013","030104","norden","personer","1587","sysselsatte_land","NULL","NULL","NULL"
"2013","030104","norden","prosent","85.2","sysselsatte_land","NULL","NULL","NULL"
"2013","030104","vest_europa","personer","742","sysselsatte_land","NULL","NULL","NULL"
"2013","030104","vest_europa","prosent","77.7","sysselsatte_land","NULL","NULL","NULL"
"2013","030104","eu_ost_europa","personer","879","sysselsatte_land","NULL","NULL","NULL"
"2013","030104","eu_ost_europa","prosent","72.6","sysselsatte_land","NULL","NULL","NULL"
"2013","030104","ost_europa_ellers","personer","358","sysselsatte_land","NULL","NULL","NULL"
"2013","030104","ost_europa_ellers","prosent","74","sysselsatte_land","NULL","NULL","NULL"
"2013","030104","nord_amerika_oseania","personer","151","sysselsatte_land","NULL","NULL","NULL"
"2013","030104","nord_amerika_oseania","prosent","73.7","sysselsatte_land","NULL","NULL","NULL"
"2013","030104","asia","personer","939","sysselsatte_land","NULL","NULL","NULL"
"2013","030104","asia","prosent","62.9","sysselsatte_land","NULL","NULL","NULL"
"2013","030104","afrika","personer","423","sysselsatte_land","NULL","NULL","NULL"
"2013","030104","afrika","prosent","48.2","sysselsatte_land","NULL","NULL","NULL"
"2013","030104","sor_og_mellom_amerika","personer","241","sysselsatte_land","NULL","NULL","NULL"
"2013","030104","sor_og_mellom_amerika","prosent","65.5","sysselsatte_land","NULL","NULL","NULL"
"2013","030105","alle","personer","8266","sysselsatte_land","NULL","NULL","NULL"
"2013","030105","alle","prosent","72.3","sysselsatte_land","NULL","NULL","NULL"
"2013","030105","norden","personer","2592","sysselsatte_land","NULL","NULL","NULL"
"2013","030105","norden","prosent","86.2","sysselsatte_land","NULL","NULL","NULL"
"2013","030105","vest_europa","personer","1561","sysselsatte_land","NULL","NULL","NULL"
"2013","030105","vest_europa","prosent","77.4","sysselsatte_land","NULL","NULL","NULL"
"2013","030105","eu_ost_europa","personer","1152","sysselsatte_land","NULL","NULL","NULL"
"2013","030105","eu_ost_europa","prosent","76.1","sysselsatte_land","NULL","NULL","NULL"
"2013","030105","ost_europa_ellers","personer","532","sysselsatte_land","NULL","NULL","NULL"
"2013","030105","ost_europa_ellers","prosent","64.4","sysselsatte_land","NULL","NULL","NULL"
"2013","030105","nord_amerika_oseania","personer","314","sysselsatte_land","NULL","NULL","NULL"
"2013","030105","nord_amerika_oseania","prosent","68.6","sysselsatte_land","NULL","NULL","NULL"
"2013","030105","asia","personer","1399","sysselsatte_land","NULL","NULL","NULL"
"2013","030105","asia","prosent","60.4","sysselsatte_land","NULL","NULL","NULL"
"2013","030105","afrika","personer","340","sysselsatte_land","NULL","NULL","NULL"
"2013","030105","afrika","prosent","48.8","sysselsatte_land","NULL","NULL","NULL"
"2013","030105","sor_og_mellom_amerika","personer","376","sysselsatte_land","NULL","NULL","NULL"
"2013","030105","sor_og_mellom_amerika","prosent","63.3","sysselsatte_land","NULL","NULL","NULL"
"2013","030106","alle","personer","2822","sysselsatte_land","NULL","NULL","NULL"
"2013","030106","alle","prosent","71.2","sysselsatte_land","NULL","NULL","NULL"
"2013","030106","norden","personer","581","sysselsatte_land","NULL","NULL","NULL"
"2013","030106","norden","prosent","86.5","sysselsatte_land","NULL","NULL","NULL"
"2013","030106","vest_europa","personer","511","sysselsatte_land","NULL","NULL","NULL"
"2013","030106","vest_europa","prosent","81.5","sysselsatte_land","NULL","NULL","NULL"
"2013","030106","eu_ost_europa","personer","633","sysselsatte_land","NULL","NULL","NULL"
"2013","030106","eu_ost_europa","prosent","73.8","sysselsatte_land","NULL","NULL","NULL"
"2013","030106","ost_europa_ellers","personer","195","sysselsatte_land","NULL","NULL","NULL"
"2013","030106","ost_europa_ellers","prosent","69.6","sysselsatte_land","NULL","NULL","NULL"
"2013","030106","nord_amerika_oseania","personer","75","sysselsatte_land","NULL","NULL","NULL"
"2013","030106","nord_amerika_oseania","prosent","70.1","sysselsatte_land","NULL","NULL","NULL"
"2013","030106","asia","personer","607","sysselsatte_land","NULL","NULL","NULL"
"2013","030106","asia","prosent","60.2","sysselsatte_land","NULL","NULL","NULL"
"2013","030106","afrika","personer","114","sysselsatte_land","NULL","NULL","NULL"
"2013","030106","afrika","prosent","44.5","sysselsatte_land","NULL","NULL","NULL"
"2013","030106","sor_og_mellom_amerika","personer","106","sysselsatte_land","NULL","NULL","NULL"
"2013","030106","sor_og_mellom_amerika","prosent","67.9","sysselsatte_land","NULL","NULL","NULL"
"2013","030107","alle","personer","3729","sysselsatte_land","NULL","NULL","NULL"
"2013","030107","alle","prosent","67.2","sysselsatte_land","NULL","NULL","NULL"
"2013","030107","norden","personer","788","sysselsatte_land","NULL","NULL","NULL"
"2013","030107","norden","prosent","84.6","sysselsatte_land","NULL","NULL","NULL"
"2013","030107","vest_europa","personer","604","sysselsatte_land","NULL","NULL","NULL"
"2013","030107","vest_europa","prosent","79.8","sysselsatte_land","NULL","NULL","NULL"
"2013","030107","eu_ost_europa","personer","964","sysselsatte_land","NULL","NULL","NULL"
"2013","030107","eu_ost_europa","prosent","72.9","sysselsatte_land","NULL","NULL","NULL"
"2013","030107","ost_europa_ellers","personer","213","sysselsatte_land","NULL","NULL","NULL"
"2013","030107","ost_europa_ellers","prosent","67.2","sysselsatte_land","NULL","NULL","NULL"
"2013","030107","nord_amerika_oseania","personer","142","sysselsatte_land","NULL","NULL","NULL"
"2013","030107","nord_amerika_oseania","prosent","75.9","sysselsatte_land","NULL","NULL","NULL"
"2013","030107","asia","personer","685","sysselsatte_land","NULL","NULL","NULL"
"2013","030107","asia","prosent","47.5","sysselsatte_land","NULL","NULL","NULL"
"2013","030107","afrika","personer","196","sysselsatte_land","NULL","NULL","NULL"
"2013","030107","afrika","prosent","50.5","sysselsatte_land","NULL","NULL","NULL"
"2013","030107","sor_og_mellom_amerika","personer","137","sysselsatte_land","NULL","NULL","NULL"
"2013","030107","sor_og_mellom_amerika","prosent","67.5","sysselsatte_land","NULL","NULL","NULL"
"2013","030108","alle","personer","4064","sysselsatte_land","NULL","NULL","NULL"
"2013","030108","alle","prosent","64.8","sysselsatte_land","NULL","NULL","NULL"
"2013","030108","norden","personer","805","sysselsatte_land","NULL","NULL","NULL"
"2013","030108","norden","prosent","85","sysselsatte_land","NULL","NULL","NULL"
"2013","030108","vest_europa","personer","516","sysselsatte_land","NULL","NULL","NULL"
"2013","030108","vest_europa","prosent","65.9","sysselsatte_land","NULL","NULL","NULL"
"2013","030108","eu_ost_europa","personer","857","sysselsatte_land","NULL","NULL","NULL"
"2013","030108","eu_ost_europa","prosent","71.8","sysselsatte_land","NULL","NULL","NULL"
"2013","030108","ost_europa_ellers","personer","284","sysselsatte_land","NULL","NULL","NULL"
"2013","030108","ost_europa_ellers","prosent","62.6","sysselsatte_land","NULL","NULL","NULL"
"2013","030108","nord_amerika_oseania","personer","118","sysselsatte_land","NULL","NULL","NULL"
"2013","030108","nord_amerika_oseania","prosent","69.4","sysselsatte_land","NULL","NULL","NULL"
"2013","030108","asia","personer","873","sysselsatte_land","NULL","NULL","NULL"
"2013","030108","asia","prosent","54.3","sysselsatte_land","NULL","NULL","NULL"
"2013","030108","afrika","personer","484","sysselsatte_land","NULL","NULL","NULL"
"2013","030108","afrika","prosent","53.7","sysselsatte_land","NULL","NULL","NULL"
"2013","030108","sor_og_mellom_amerika","personer","127","sysselsatte_land","NULL","NULL","NULL"
"2013","030108","sor_og_mellom_amerika","prosent","58.3","sysselsatte_land","NULL","NULL","NULL"
"2013","030109","alle","personer","5151","sysselsatte_land","NULL","NULL","NULL"
"2013","030109","alle","prosent","64.1","sysselsatte_land","NULL","NULL","NULL"
"2013","030109","norden","personer","372","sysselsatte_land","NULL","NULL","NULL"
"2013","030109","norden","prosent","85.9","sysselsatte_land","NULL","NULL","NULL"
"2013","030109","vest_europa","personer","238","sysselsatte_land","NULL","NULL","NULL"
"2013","030109","vest_europa","prosent","72.1","sysselsatte_land","NULL","NULL","NULL"
"2013","030109","eu_ost_europa","personer","1029","sysselsatte_land","NULL","NULL","NULL"
"2013","030109","eu_ost_europa","prosent","73.3","sysselsatte_land","NULL","NULL","NULL"
"2013","030109","ost_europa_ellers","personer","370","sysselsatte_land","NULL","NULL","NULL"
"2013","030109","ost_europa_ellers","prosent","66.9","sysselsatte_land","NULL","NULL","NULL"
"2013","030109","nord_amerika_oseania","personer","36","sysselsatte_land","NULL","NULL","NULL"
"2013","030109","nord_amerika_oseania","prosent","83.7","sysselsatte_land","NULL","NULL","NULL"
"2013","030109","asia","personer","2300","sysselsatte_land","NULL","NULL","NULL"
"2013","030109","asia","prosent","60.2","sysselsatte_land","NULL","NULL","NULL"
"2013","030109","afrika","personer","650","sysselsatte_land","NULL","NULL","NULL"
"2013","030109","afrika","prosent","52.4","sysselsatte_land","NULL","NULL","NULL"
"2013","030109","sor_og_mellom_amerika","personer","156","sysselsatte_land","NULL","NULL","NULL"
"2013","030109","sor_og_mellom_amerika","prosent","71.6","sysselsatte_land","NULL","NULL","NULL"
"2013","030110","alle","personer","4801","sysselsatte_land","NULL","NULL","NULL"
"2013","030110","alle","prosent","64.4","sysselsatte_land","NULL","NULL","NULL"
"2013","030110","norden","personer","186","sysselsatte_land","NULL","NULL","NULL"
"2013","030110","norden","prosent","77.2","sysselsatte_land","NULL","NULL","NULL"
"2013","030110","vest_europa","personer","140","sysselsatte_land","NULL","NULL","NULL"
"2013","030110","vest_europa","prosent","75.3","sysselsatte_land","NULL","NULL","NULL"
"2013","030110","eu_ost_europa","personer","657","sysselsatte_land","NULL","NULL","NULL"
"2013","030110","eu_ost_europa","prosent","73.5","sysselsatte_land","NULL","NULL","NULL"
"2013","030110","ost_europa_ellers","personer","373","sysselsatte_land","NULL","NULL","NULL"
"2013","030110","ost_europa_ellers","prosent","67","sysselsatte_land","NULL","NULL","NULL"
"2013","030110","nord_amerika_oseania","personer","27","sysselsatte_land","NULL","NULL","NULL"
"2013","030110","nord_amerika_oseania","prosent","73","sysselsatte_land","NULL","NULL","NULL"
"2013","030110","asia","personer","2279","sysselsatte_land","NULL","NULL","NULL"
"2013","030110","asia","prosent","61.8","sysselsatte_land","NULL","NULL","NULL"
"2013","030110","afrika","personer","915","sysselsatte_land","NULL","NULL","NULL"
"2013","030110","afrika","prosent","59.8","sysselsatte_land","NULL","NULL","NULL"
"2013","030110","sor_og_mellom_amerika","personer","224","sysselsatte_land","NULL","NULL","NULL"
"2013","030110","sor_og_mellom_amerika","prosent","70","sysselsatte_land","NULL","NULL","NULL"
"2013","030111","alle","personer","5564","sysselsatte_land","NULL","NULL","NULL"
"2013","030111","alle","prosent","61.9","sysselsatte_land","NULL","NULL","NULL"
"2013","030111","norden","personer","184","sysselsatte_land","NULL","NULL","NULL"
"2013","030111","norden","prosent","76.3","sysselsatte_land","NULL","NULL","NULL"
"2013","030111","vest_europa","personer","121","sysselsatte_land","NULL","NULL","NULL"
"2013","030111","vest_europa","prosent","68.4","sysselsatte_land","NULL","NULL","NULL"
"2013","030111","eu_ost_europa","personer","795","sysselsatte_land","NULL","NULL","NULL"
"2013","030111","eu_ost_europa","prosent","77.9","sysselsatte_land","NULL","NULL","NULL"
"2013","030111","ost_europa_ellers","personer","249","sysselsatte_land","NULL","NULL","NULL"
"2013","030111","ost_europa_ellers","prosent","60.6","sysselsatte_land","NULL","NULL","NULL"
"2013","030111","nord_amerika_oseania","personer","5","sysselsatte_land","NULL","NULL","NULL"
"2013","030111","nord_amerika_oseania","prosent","35.7","sysselsatte_land","NULL","NULL","NULL"
"2013","030111","asia","personer","3362","sysselsatte_land","NULL","NULL","NULL"
"2013","030111","asia","prosent","60.2","sysselsatte_land","NULL","NULL","NULL"
"2013","030111","afrika","personer","731","sysselsatte_land","NULL","NULL","NULL"
"2013","030111","afrika","prosent","53.5","sysselsatte_land","NULL","NULL","NULL"
"2013","030111","sor_og_mellom_amerika","personer","117","sysselsatte_land","NULL","NULL","NULL"
"2013","030111","sor_og_mellom_amerika","prosent","70.1","sysselsatte_land","NULL","NULL","NULL"
"2013","030112","alle","personer","8759","sysselsatte_land","NULL","NULL","NULL"
"2013","030112","alle","prosent","62.5","sysselsatte_land","NULL","NULL","NULL"
"2013","030112","norden","personer","338","sysselsatte_land","NULL","NULL","NULL"
"2013","030112","norden","prosent","81.1","sysselsatte_land","NULL","NULL","NULL"
"2013","030112","vest_europa","personer","305","sysselsatte_land","NULL","NULL","NULL"
"2013","030112","vest_europa","prosent","76.6","sysselsatte_land","NULL","NULL","NULL"
"2013","030112","eu_ost_europa","personer","1099","sysselsatte_land","NULL","NULL","NULL"
"2013","030112","eu_ost_europa","prosent","74.4","sysselsatte_land","NULL","NULL","NULL"
"2013","030112","ost_europa_ellers","personer","906","sysselsatte_land","NULL","NULL","NULL"
"2013","030112","ost_europa_ellers","prosent","67.2","sysselsatte_land","NULL","NULL","NULL"
"2013","030112","nord_amerika_oseania","personer","39","sysselsatte_land","NULL","NULL","NULL"
"2013","030112","nord_amerika_oseania","prosent","68.4","sysselsatte_land","NULL","NULL","NULL"
"2013","030112","asia","personer","4498","sysselsatte_land","NULL","NULL","NULL"
"2013","030112","asia","prosent","58.7","sysselsatte_land","NULL","NULL","NULL"
"2013","030112","afrika","personer","1291","sysselsatte_land","NULL","NULL","NULL"
"2013","030112","afrika","prosent","56.9","sysselsatte_land","NULL","NULL","NULL"
"2013","030112","sor_og_mellom_amerika","personer","283","sysselsatte_land","NULL","NULL","NULL"
"2013","030112","sor_og_mellom_amerika","prosent","72.9","sysselsatte_land","NULL","NULL","NULL"
"2013","030113","alle","personer","4689","sysselsatte_land","NULL","NULL","NULL"
"2013","030113","alle","prosent","66.7","sysselsatte_land","NULL","NULL","NULL"
"2013","030113","norden","personer","498","sysselsatte_land","NULL","NULL","NULL"
"2013","030113","norden","prosent","86.9","sysselsatte_land","NULL","NULL","NULL"
"2013","030113","vest_europa","personer","305","sysselsatte_land","NULL","NULL","NULL"
"2013","030113","vest_europa","prosent","79.6","sysselsatte_land","NULL","NULL","NULL"
"2013","030113","eu_ost_europa","personer","862","sysselsatte_land","NULL","NULL","NULL"
"2013","030113","eu_ost_europa","prosent","76.5","sysselsatte_land","NULL","NULL","NULL"
"2013","030113","ost_europa_ellers","personer","585","sysselsatte_land","NULL","NULL","NULL"
"2013","030113","ost_europa_ellers","prosent","71.3","sysselsatte_land","NULL","NULL","NULL"
"2013","030113","nord_amerika_oseania","personer","64","sysselsatte_land","NULL","NULL","NULL"
"2013","030113","nord_amerika_oseania","prosent","76.2","sysselsatte_land","NULL","NULL","NULL"
"2013","030113","asia","personer","1676","sysselsatte_land","NULL","NULL","NULL"
"2013","030113","asia","prosent","61.3","sysselsatte_land","NULL","NULL","NULL"
"2013","030113","afrika","personer","545","sysselsatte_land","NULL","NULL","NULL"
"2013","030113","afrika","prosent","50.6","sysselsatte_land","NULL","NULL","NULL"
"2013","030113","sor_og_mellom_amerika","personer","154","sysselsatte_land","NULL","NULL","NULL"
"2013","030113","sor_og_mellom_amerika","prosent","68.1","sysselsatte_land","NULL","NULL","NULL"
"2013","030114","alle","personer","3800","sysselsatte_land","NULL","NULL","NULL"
"2013","030114","alle","prosent","69.8","sysselsatte_land","NULL","NULL","NULL"
"2013","030114","norden","personer","747","sysselsatte_land","NULL","NULL","NULL"
"2013","030114","norden","prosent","86.9","sysselsatte_land","NULL","NULL","NULL"
"2013","030114","vest_europa","personer","487","sysselsatte_land","NULL","NULL","NULL"
"2013","030114","vest_europa","prosent","82","sysselsatte_land","NULL","NULL","NULL"
"2013","030114","eu_ost_europa","personer","970","sysselsatte_land","NULL","NULL","NULL"
"2013","030114","eu_ost_europa","prosent","74.7","sysselsatte_land","NULL","NULL","NULL"
"2013","030114","ost_europa_ellers","personer","267","sysselsatte_land","NULL","NULL","NULL"
"2013","030114","ost_europa_ellers","prosent","69.2","sysselsatte_land","NULL","NULL","NULL"
"2013","030114","nord_amerika_oseania","personer","85","sysselsatte_land","NULL","NULL","NULL"
"2013","030114","nord_amerika_oseania","prosent","73.3","sysselsatte_land","NULL","NULL","NULL"
"2013","030114","asia","personer","791","sysselsatte_land","NULL","NULL","NULL"
"2013","030114","asia","prosent","57.5","sysselsatte_land","NULL","NULL","NULL"
"2013","030114","afrika","personer","292","sysselsatte_land","NULL","NULL","NULL"
"2013","030114","afrika","prosent","49.6","sysselsatte_land","NULL","NULL","NULL"
"2013","030114","sor_og_mellom_amerika","personer","161","sysselsatte_land","NULL","NULL","NULL"
"2013","030114","sor_og_mellom_amerika","prosent","71.2","sysselsatte_land","NULL","NULL","NULL"
"2013","030115","alle","personer","6364","sysselsatte_land","NULL","NULL","NULL"
"2013","030115","alle","prosent","60.4","sysselsatte_land","NULL","NULL","NULL"
"2013","030115","norden","personer","321","sysselsatte_land","NULL","NULL","NULL"
"2013","030115","norden","prosent","84.3","sysselsatte_land","NULL","NULL","NULL"
"2013","030115","vest_europa","personer","302","sysselsatte_land","NULL","NULL","NULL"
"2013","030115","vest_europa","prosent","75.9","sysselsatte_land","NULL","NULL","NULL"
"2013","030115","eu_ost_europa","personer","940","sysselsatte_land","NULL","NULL","NULL"
"2013","030115","eu_ost_europa","prosent","72.4","sysselsatte_land","NULL","NULL","NULL"
"2013","030115","ost_europa_ellers","personer","465","sysselsatte_land","NULL","NULL","NULL"
"2013","030115","ost_europa_ellers","prosent","62.3","sysselsatte_land","NULL","NULL","NULL"
"2013","030115","nord_amerika_oseania","personer","55","sysselsatte_land","NULL","NULL","NULL"
"2013","030115","nord_amerika_oseania","prosent","76.4","sysselsatte_land","NULL","NULL","NULL"
"2013","030115","asia","personer","3250","sysselsatte_land","NULL","NULL","NULL"
"2013","030115","asia","prosent","56.6","sysselsatte_land","NULL","NULL","NULL"
"2013","030115","afrika","personer","856","sysselsatte_land","NULL","NULL","NULL"
"2013","030115","afrika","prosent","51.7","sysselsatte_land","NULL","NULL","NULL"
"2013","030115","sor_og_mellom_amerika","personer","175","sysselsatte_land","NULL","NULL","NULL"
"2013","030115","sor_og_mellom_amerika","prosent","71.1","sysselsatte_land","NULL","NULL","NULL"
"2013","030116","alle","personer","36","sysselsatte_land","NULL","NULL","NULL"
"2013","030116","alle","prosent","67.9","sysselsatte_land","NULL","NULL","NULL"
"2013","030116","norden","personer","4","sysselsatte_land","NULL","NULL","NULL"
"2013","030116","norden","prosent","66.7","sysselsatte_land","NULL","NULL","NULL"
"2013","030116","vest_europa","personer","4","sysselsatte_land","NULL","NULL","NULL"
"2013","030116","vest_europa","prosent","57.1","sysselsatte_land","NULL","NULL","NULL"
"2013","030116","eu_ost_europa","personer","5","sysselsatte_land","NULL","NULL","NULL"
"2013","030116","eu_ost_europa","prosent","71.4","sysselsatte_land","NULL","NULL","NULL"
"2013","030116","ost_europa_ellers","personer","9","sysselsatte_land","NULL","NULL","NULL"
"2013","030116","ost_europa_ellers","prosent","69.2","sysselsatte_land","NULL","NULL","NULL"
"2013","030116","nord_amerika_oseania","personer",":","sysselsatte_land","NULL","NULL","NULL"
"2013","030116","nord_amerika_oseania","prosent",":","sysselsatte_land","NULL","NULL","NULL"
"2013","030116","asia","personer","10","sysselsatte_land","NULL","NULL","NULL"
"2013","030116","asia","prosent","71.4","sysselsatte_land","NULL","NULL","NULL"
"2013","030116","afrika","personer",":","sysselsatte_land","NULL","NULL","NULL"
"2013","030116","afrika","prosent",":","sysselsatte_land","NULL","NULL","NULL"
"2013","030116","sor_og_mellom_amerika","personer","0","sysselsatte_land","NULL","NULL","NULL"
"2013","030116","sor_og_mellom_amerika","prosent","0","sysselsatte_land","NULL","NULL","NULL"
"2013","030117","alle","personer","92","sysselsatte_land","NULL","NULL","NULL"
"2013","030117","alle","prosent","73","sysselsatte_land","NULL","NULL","NULL"
"2013","030117","norden","personer","26","sysselsatte_land","NULL","NULL","NULL"
"2013","030117","norden","prosent","81.3","sysselsatte_land","NULL","NULL","NULL"
"2013","030117","vest_europa","personer","13","sysselsatte_land","NULL","NULL","NULL"
"2013","030117","vest_europa","prosent","68.4","sysselsatte_land","NULL","NULL","NULL"
"2013","030117","eu_ost_europa","personer","31","sysselsatte_land","NULL","NULL","NULL"
"2013","030117","eu_ost_europa","prosent","79.5","sysselsatte_land","NULL","NULL","NULL"
"2013","030117","ost_europa_ellers","personer","5","sysselsatte_land","NULL","NULL","NULL"
"2013","030117","ost_europa_ellers","prosent","100","sysselsatte_land","NULL","NULL","NULL"
"2013","030117","nord_amerika_oseania","personer","6","sysselsatte_land","NULL","NULL","NULL"
"2013","030117","nord_amerika_oseania","prosent","85.7","sysselsatte_land","NULL","NULL","NULL"
"2013","030117","asia","personer","11","sysselsatte_land","NULL","NULL","NULL"
"2013","030117","asia","prosent","55","sysselsatte_land","NULL","NULL","NULL"
"2013","030117","afrika","personer","0","sysselsatte_land","NULL","NULL","NULL"
"2013","030117","afrika","prosent","0","sysselsatte_land","NULL","NULL","NULL"
"2013","030117","sor_og_mellom_amerika","personer","0","sysselsatte_land","NULL","NULL","NULL"
"2013","030117","sor_og_mellom_amerika","prosent","0","sysselsatte_land","NULL","NULL","NULL"
"2013","030199","alle","personer","1383","sysselsatte_land","NULL","NULL","NULL"
"2013","030199","alle","prosent","38.3","sysselsatte_land","NULL","NULL","NULL"
"2013","030199","norden","personer","406","sysselsatte_land","NULL","NULL","NULL"
