"aar","bydel_nr","botid_5","enhet","tabellvariabel","tabell_navn","fylke_nr","kommune_nr","naringsregion_nr"
"2013","030107","5_9","personer","833","sysselsatte_botid","NULL","NULL","NULL"
"2013","030107","5_9","prosent","76.8","sysselsatte_botid","NULL","NULL","NULL"
"2013","030107","10+","personer","1524","sysselsatte_botid","NULL","NULL","NULL"
"2013","030107","10+","prosent","73","sysselsatte_botid","NULL","NULL","NULL"
"2013","030108","0_4","personer","1669","sysselsatte_botid","NULL","NULL","NULL"
"2013","030108","0_4","prosent","56","sysselsatte_botid","NULL","NULL","NULL"
"2013","030108","5_9","personer","856","sysselsatte_botid","NULL","NULL","NULL"
"2013","030108","5_9","prosent","75.4","sysselsatte_botid","NULL","NULL","NULL"
"2013","030108","10+","personer","1539","sysselsatte_botid","NULL","NULL","NULL"
"2013","030108","10+","prosent","71.4","sysselsatte_botid","NULL","NULL","NULL"
"2013","030109","0_4","personer","1412","sysselsatte_botid","NULL","NULL","NULL"
"2013","030109","0_4","prosent","64.6","sysselsatte_botid","NULL","NULL","NULL"
"2013","030109","5_9","personer","1048","sysselsatte_botid","NULL","NULL","NULL"
"2013","030109","5_9","prosent","68.8","sysselsatte_botid","NULL","NULL","NULL"
"2013","030109","10+","personer","2691","sysselsatte_botid","NULL","NULL","NULL"
"2013","030109","10+","prosent","62.1","sysselsatte_botid","NULL","NULL","NULL"
"2013","030110","0_4","personer","822","sysselsatte_botid","NULL","NULL","NULL"
"2013","030110","0_4","prosent","61.1","sysselsatte_botid","NULL","NULL","NULL"
"2013","030110","5_9","personer","964","sysselsatte_botid","NULL","NULL","NULL"
"2013","030110","5_9","prosent","70.8","sysselsatte_botid","NULL","NULL","NULL"
"2013","030110","10+","personer","3015","sysselsatte_botid","NULL","NULL","NULL"
"2013","030110","10+","prosent","63.6","sysselsatte_botid","NULL","NULL","NULL"
"2013","030111","0_4","personer","969","sysselsatte_botid","NULL","NULL","NULL"
"2013","030111","0_4","prosent","59.1","sysselsatte_botid","NULL","NULL","NULL"
"2013","030111","5_9","personer","903","sysselsatte_botid","NULL","NULL","NULL"
"2013","030111","5_9","prosent","67.8","sysselsatte_botid","NULL","NULL","NULL"
"2013","030111","10+","personer","3692","sysselsatte_botid","NULL","NULL","NULL"
"2013","030111","10+","prosent","61.4","sysselsatte_botid","NULL","NULL","NULL"
"2013","030112","0_4","personer","1497","sysselsatte_botid","NULL","NULL","NULL"
"2013","030112","0_4","prosent","60.7","sysselsatte_botid","NULL","NULL","NULL"
"2013","030112","5_9","personer","1628","sysselsatte_botid","NULL","NULL","NULL"
"2013","030112","5_9","prosent","68.2","sysselsatte_botid","NULL","NULL","NULL"
"2013","030112","10+","personer","5634","sysselsatte_botid","NULL","NULL","NULL"
"2013","030112","10+","prosent","61.5","sysselsatte_botid","NULL","NULL","NULL"
"2013","030113","0_4","personer","1028","sysselsatte_botid","NULL","NULL","NULL"
"2013","030113","0_4","prosent","64.1","sysselsatte_botid","NULL","NULL","NULL"
"2013","030113","5_9","personer","969","sysselsatte_botid","NULL","NULL","NULL"
"2013","030113","5_9","prosent","71.6","sysselsatte_botid","NULL","NULL","NULL"
"2013","030113","10+","personer","2692","sysselsatte_botid","NULL","NULL","NULL"
"2013","030113","10+","prosent","66.2","sysselsatte_botid","NULL","NULL","NULL"
"2013","030114","0_4","personer","1152","sysselsatte_botid","NULL","NULL","NULL"
"2013","030114","0_4","prosent","64.1","sysselsatte_botid","NULL","NULL","NULL"
"2013","030114","5_9","personer","878","sysselsatte_botid","NULL","NULL","NULL"
"2013","030114","5_9","prosent","76.6","sysselsatte_botid","NULL","NULL","NULL"
"2013","030114","10+","personer","1770","sysselsatte_botid","NULL","NULL","NULL"
"2013","030114","10+","prosent","70.7","sysselsatte_botid","NULL","NULL","NULL"
"2013","030115","0_4","personer","1037","sysselsatte_botid","NULL","NULL","NULL"
"2013","030115","0_4","prosent","57.8","sysselsatte_botid","NULL","NULL","NULL"
"2013","030115","5_9","personer","1041","sysselsatte_botid","NULL","NULL","NULL"
"2013","030115","5_9","prosent","66.9","sysselsatte_botid","NULL","NULL","NULL"
"2013","030115","10+","personer","4286","sysselsatte_botid","NULL","NULL","NULL"
"2013","030115","10+","prosent","59.6","sysselsatte_botid","NULL","NULL","NULL"
"2013","030116","0_4","personer",":","sysselsatte_botid","NULL","NULL","NULL"
"2013","030116","0_4","prosent",":","sysselsatte_botid","NULL","NULL","NULL"
"2013","030116","5_9","personer",":","sysselsatte_botid","NULL","NULL","NULL"
"2013","030116","5_9","prosent",":","sysselsatte_botid","NULL","NULL","NULL"
"2013","030116","10+","personer",":","sysselsatte_botid","NULL","NULL","NULL"
"2013","030116","10+","prosent",":","sysselsatte_botid","NULL","NULL","NULL"
"2013","030117","0_4","personer","41","sysselsatte_botid","NULL","NULL","NULL"
"2013","030117","0_4","prosent","67.2","sysselsatte_botid","NULL","NULL","NULL"
"2013","030117","5_9","personer","16","sysselsatte_botid","NULL","NULL","NULL"
"2013","030117","5_9","prosent","64","sysselsatte_botid","NULL","NULL","NULL"
"2013","030117","10+","personer","35","sysselsatte_botid","NULL","NULL","NULL"
"2013","030117","10+","prosent","87.5","sysselsatte_botid","NULL","NULL","NULL"
"2013","030199","0_4","personer","785","sysselsatte_botid","NULL","NULL","NULL"
"2013","030199","0_4","prosent","40.9","sysselsatte_botid","NULL","NULL","NULL"
"2013","030199","5_9","personer","265","sysselsatte_botid","NULL","NULL","NULL"
"2013","030199","5_9","prosent","37.6","sysselsatte_botid","NULL","NULL","NULL"
"2013","030199","10+","personer","333","sysselsatte_botid","NULL","NULL","NULL"
"2013","030199","10+","prosent","33.6","sysselsatte_botid","NULL","NULL","NULL"
"2013","NULL","0_4","personer","128000","sysselsatte_botid","00","NULL","NULL"
"2013","NULL","0_4","prosent","62.6","sysselsatte_botid","00","NULL","NULL"
"2013","NULL","5_9","personer","81049","sysselsatte_botid","00","NULL","NULL"
"2013","NULL","5_9","prosent","73.9","sysselsatte_botid","00","NULL","NULL"
"2013","NULL","10+","personer","140754","sysselsatte_botid","00","NULL","NULL"
"2013","NULL","10+","prosent","67.2","sysselsatte_botid","00","NULL","NULL"
"2013","NULL","0_4","personer","4663","sysselsatte_botid","01","NULL","NULL"
"2013","NULL","0_4","prosent","59.5","sysselsatte_botid","01","NULL","NULL"
"2013","NULL","5_9","personer","3626","sysselsatte_botid","01","NULL","NULL"
"2013","NULL","5_9","prosent","66","sysselsatte_botid","01","NULL","NULL"
"2013","NULL","10+","personer","7844","sysselsatte_botid","01","NULL","NULL"
"2013","NULL","10+","prosent","58.5","sysselsatte_botid","01","NULL","NULL"
"2013","NULL","0_4","personer","13952","sysselsatte_botid","02","NULL","NULL"
"2013","NULL","0_4","prosent","62","sysselsatte_botid","02","NULL","NULL"
"2013","NULL","5_9","personer","10120","sysselsatte_botid","02","NULL","NULL"
"2013","NULL","5_9","prosent","74.8","sysselsatte_botid","02","NULL","NULL"
"2013","NULL","10+","personer","22447","sysselsatte_botid","02","NULL","NULL"
"2013","NULL","10+","prosent","73.2","sysselsatte_botid","02","NULL","NULL"
"2013","NULL","0_4","personer","28351","sysselsatte_botid","03","NULL","NULL"
"2013","NULL","0_4","prosent","65.7","sysselsatte_botid","03","NULL","NULL"
"2013","NULL","5_9","personer","16650","sysselsatte_botid","03","NULL","NULL"
"2013","NULL","5_9","prosent","70.2","sysselsatte_botid","03","NULL","NULL"
"2013","NULL","10+","personer","40578","sysselsatte_botid","03","NULL","NULL"
"2013","NULL","10+","prosent","61.7","sysselsatte_botid","03","NULL","NULL"
"2013","NULL","0_4","personer","2484","sysselsatte_botid","04","NULL","NULL"
"2013","NULL","0_4","prosent","53.6","sysselsatte_botid","04","NULL","NULL"
"2013","NULL","5_9","personer","1647","sysselsatte_botid","04","NULL","NULL"
"2013","NULL","5_9","prosent","68.3","sysselsatte_botid","04","NULL","NULL"
"2013","NULL","10+","personer","2883","sysselsatte_botid","04","NULL","NULL"
"2013","NULL","10+","prosent","64.9","sysselsatte_botid","04","NULL","NULL"
"2013","NULL","0_4","personer","2795","sysselsatte_botid","05","NULL","NULL"
"2013","NULL","0_4","prosent","55.5","sysselsatte_botid","05","NULL","NULL"
"2013","NULL","5_9","personer","1863","sysselsatte_botid","05","NULL","NULL"
"2013","NULL","5_9","prosent","72.5","sysselsatte_botid","05","NULL","NULL"
"2013","NULL","10+","personer","2652","sysselsatte_botid","05","NULL","NULL"
"2013","NULL","10+","prosent","69.9","sysselsatte_botid","05","NULL","NULL"
"2013","NULL","0_4","personer","6895","sysselsatte_botid","06","NULL","NULL"
"2013","NULL","0_4","prosent","63","sysselsatte_botid","06","NULL","NULL"
"2013","NULL","5_9","personer","4917","sysselsatte_botid","06","NULL","NULL"
"2013","NULL","5_9","prosent","74.7","sysselsatte_botid","06","NULL","NULL"
"2013","NULL","10+","personer","8643","sysselsatte_botid","06","NULL","NULL"
"2013","NULL","10+","prosent","67.5","sysselsatte_botid","06","NULL","NULL"
"2013","NULL","0_4","personer","4216","sysselsatte_botid","07","NULL","NULL"
"2013","NULL","0_4","prosent","61.7","sysselsatte_botid","07","NULL","NULL"
"2013","NULL","5_9","personer","3335","sysselsatte_botid","07","NULL","NULL"
"2013","NULL","5_9","prosent","73.3","sysselsatte_botid","07","NULL","NULL"
"2013","NULL","10+","personer","5435","sysselsatte_botid","07","NULL","NULL"
"2013","NULL","10+","prosent","65.6","sysselsatte_botid","07","NULL","NULL"
"2013","NULL","0_4","personer","2218","sysselsatte_botid","08","NULL","NULL"
"2013","NULL","0_4","prosent","48.6","sysselsatte_botid","08","NULL","NULL"
"2013","NULL","5_9","personer","1873","sysselsatte_botid","08","NULL","NULL"
"2013","NULL","5_9","prosent","69.4","sysselsatte_botid","08","NULL","NULL"
"2013","NULL","10+","personer","3414","sysselsatte_botid","08","NULL","NULL"
"2013","NULL","10+","prosent","65.4","sysselsatte_botid","08","NULL","NULL"
"2013","NULL","0_4","personer","1763","sysselsatte_botid","09","NULL","NULL"
"2013","NULL","0_4","prosent","55.2","sysselsatte_botid","09","NULL","NULL"
"2013","NULL","5_9","personer","1483","sysselsatte_botid","09","NULL","NULL"
"2013","NULL","5_9","prosent","71.2","sysselsatte_botid","09","NULL","NULL"
"2013","NULL","10+","personer","2029","sysselsatte_botid","09","NULL","NULL"
"2013","NULL","10+","prosent","65.7","sysselsatte_botid","09","NULL","NULL"
"2013","NULL","0_4","personer","2789","sysselsatte_botid","10","NULL","NULL"
"2013","NULL","0_4","prosent","54.6","sysselsatte_botid","10","NULL","NULL"
"2013","NULL","5_9","personer","2378","sysselsatte_botid","10","NULL","NULL"
"2013","NULL","5_9","prosent","70.1","sysselsatte_botid","10","NULL","NULL"
"2013","NULL","10+","personer","4506","sysselsatte_botid","10","NULL","NULL"
"2013","NULL","10+","prosent","67.1","sysselsatte_botid","10","NULL","NULL"
"2013","NULL","0_4","personer","16035","sysselsatte_botid","11","NULL","NULL"
"2013","NULL","0_4","prosent","68.8","sysselsatte_botid","11","NULL","NULL"
"2013","NULL","5_9","personer","9882","sysselsatte_botid","11","NULL","NULL"
"2013","NULL","5_9","prosent","79.9","sysselsatte_botid","11","NULL","NULL"
"2013","NULL","10+","personer","11810","sysselsatte_botid","11","NULL","NULL"
"2013","NULL","10+","prosent","72.7","sysselsatte_botid","11","NULL","NULL"
"2013","NULL","0_4","personer","13414","sysselsatte_botid","12","NULL","NULL"
"2013","NULL","0_4","prosent","63.5","sysselsatte_botid","12","NULL","NULL"
"2013","NULL","5_9","personer","8096","sysselsatte_botid","12","NULL","NULL"
"2013","NULL","5_9","prosent","76.6","sysselsatte_botid","12","NULL","NULL"
"2013","NULL","10+","personer","10008","sysselsatte_botid","12","NULL","NULL"
"2013","NULL","10+","prosent","70.7","sysselsatte_botid","12","NULL","NULL"
"2013","NULL","0_4","personer","2588","sysselsatte_botid","14","NULL","NULL"
"2013","NULL","0_4","prosent","63.9","sysselsatte_botid","14","NULL","NULL"
"2013","NULL","5_9","personer","1246","sysselsatte_botid","14","NULL","NULL"
"2013","NULL","5_9","prosent","81.1","sysselsatte_botid","14","NULL","NULL"
"2013","NULL","10+","personer","1491","sysselsatte_botid","14","NULL","NULL"
"2013","NULL","10+","prosent","79.2","sysselsatte_botid","14","NULL","NULL"
"2013","NULL","0_4","personer","7229","sysselsatte_botid","15","NULL","NULL"
"2013","NULL","0_4","prosent","66.8","sysselsatte_botid","15","NULL","NULL"
"2013","NULL","5_9","personer","3766","sysselsatte_botid","15","NULL","NULL"
"2013","NULL","5_9","prosent","80.8","sysselsatte_botid","15","NULL","NULL"
"2013","NULL","10+","personer","3671","sysselsatte_botid","15","NULL","NULL"
"2013","NULL","10+","prosent","75.9","sysselsatte_botid","15","NULL","NULL"
"2013","NULL","0_4","personer","6831","sysselsatte_botid","16","NULL","NULL"
"2013","NULL","0_4","prosent","60.1","sysselsatte_botid","16","NULL","NULL"
"2013","NULL","5_9","personer","4070","sysselsatte_botid","16","NULL","NULL"
"2013","NULL","5_9","prosent","75.3","sysselsatte_botid","16","NULL","NULL"
"2013","NULL","10+","personer","5395","sysselsatte_botid","16","NULL","NULL"
"2013","NULL","10+","prosent","71","sysselsatte_botid","16","NULL","NULL"
"2013","NULL","0_4","personer","1794","sysselsatte_botid","17","NULL","NULL"
"2013","NULL","0_4","prosent","54.1","sysselsatte_botid","17","NULL","NULL"
"2013","NULL","5_9","personer","1118","sysselsatte_botid","17","NULL","NULL"
"2013","NULL","5_9","prosent","74.1","sysselsatte_botid","17","NULL","NULL"
"2013","NULL","10+","personer","1291","sysselsatte_botid","17","NULL","NULL"
"2013","NULL","10+","prosent","73.8","sysselsatte_botid","17","NULL","NULL"
"2013","NULL","0_4","personer","4196","sysselsatte_botid","18","NULL","NULL"
"2013","NULL","0_4","prosent","55.6","sysselsatte_botid","18","NULL","NULL"
"2013","NULL","5_9","personer","2090","sysselsatte_botid","18","NULL","NULL"
"2013","NULL","5_9","prosent","73.4","sysselsatte_botid","18","NULL","NULL"
"2013","NULL","10+","personer","2679","sysselsatte_botid","18","NULL","NULL"
"2013","NULL","10+","prosent","74.5","sysselsatte_botid","18","NULL","NULL"
"2013","NULL","0_4","personer","3440","sysselsatte_botid","19","NULL","NULL"
"2013","NULL","0_4","prosent","60.5","sysselsatte_botid","19","NULL","NULL"
"2013","NULL","5_9","personer","1881","sysselsatte_botid","19","NULL","NULL"
"2013","NULL","5_9","prosent","76.4","sysselsatte_botid","19","NULL","NULL"
"2013","NULL","10+","personer","2442","sysselsatte_botid","19","NULL","NULL"
"2013","NULL","10+","prosent","76.1","sysselsatte_botid","19","NULL","NULL"
"2013","NULL","0_4","personer","2347","sysselsatte_botid","20","NULL","NULL"
"2013","NULL","0_4","prosent","66.1","sysselsatte_botid","20","NULL","NULL"
"2013","NULL","5_9","personer","1008","sysselsatte_botid","20","NULL","NULL"
"2013","NULL","5_9","prosent","78.6","sysselsatte_botid","20","NULL","NULL"
"2013","NULL","10+","personer","1536","sysselsatte_botid","20","NULL","NULL"
"2013","NULL","10+","prosent","74.8","sysselsatte_botid","20","NULL","NULL"
"2013","NULL","0_4","personer","379","sysselsatte_botid","NULL","0101","NULL"
"2013","NULL","0_4","prosent","59.8","sysselsatte_botid","NULL","0101","NULL"
"2013","NULL","5_9","personer","241","sysselsatte_botid","NULL","0101","NULL"
"2013","NULL","5_9","prosent","61.3","sysselsatte_botid","NULL","0101","NULL"
"2013","NULL","10+","personer","696","sysselsatte_botid","NULL","0101","NULL"
"2013","NULL","10+","prosent","53.2","sysselsatte_botid","NULL","0101","NULL"
"2013","NULL","0_4","personer","620","sysselsatte_botid","NULL","0104","NULL"
"2013","NULL","0_4","prosent","57","sysselsatte_botid","NULL","0104","NULL"
"2013","NULL","5_9","personer","474","sysselsatte_botid","NULL","0104","NULL"
"2013","NULL","5_9","prosent","66.5","sysselsatte_botid","NULL","0104","NULL"
"2013","NULL","10+","personer","1070","sysselsatte_botid","NULL","0104","NULL"
"2013","NULL","10+","prosent","57.2","sysselsatte_botid","NULL","0104","NULL"
"2013","NULL","0_4","personer","743","sysselsatte_botid","NULL","0105","NULL"
"2013","NULL","0_4","prosent","53.7","sysselsatte_botid","NULL","0105","NULL"
"2013","NULL","5_9","personer","811","sysselsatte_botid","NULL","0105","NULL"
"2013","NULL","5_9","prosent","65.6","sysselsatte_botid","NULL","0105","NULL"
"2013","NULL","10+","personer","1604","sysselsatte_botid","NULL","0105","NULL"
"2013","NULL","10+","prosent","56.2","sysselsatte_botid","NULL","0105","NULL"
"2013","NULL","0_4","personer","1312","sysselsatte_botid","NULL","0106","NULL"
"2013","NULL","0_4","prosent","61.4","sysselsatte_botid","NULL","0106","NULL"
"2013","NULL","5_9","personer","822","sysselsatte_botid","NULL","0106","NULL"
"2013","NULL","5_9","prosent","58","sysselsatte_botid","NULL","0106","NULL"
"2013","NULL","10+","personer","2311","sysselsatte_botid","NULL","0106","NULL"
"2013","NULL","10+","prosent","58.2","sysselsatte_botid","NULL","0106","NULL"
"2013","NULL","0_4","personer","25","sysselsatte_botid","NULL","0111","NULL"
"2013","NULL","0_4","prosent","43.1","sysselsatte_botid","NULL","0111","NULL"
"2013","NULL","5_9","personer","25","sysselsatte_botid","NULL","0111","NULL"
"2013","NULL","5_9","prosent","75.8","sysselsatte_botid","NULL","0111","NULL"
"2013","NULL","10+","personer","55","sysselsatte_botid","NULL","0111","NULL"
"2013","NULL","10+","prosent","79.7","sysselsatte_botid","NULL","0111","NULL"
"2013","NULL","0_4","personer",":","sysselsatte_botid","NULL","0118","NULL"
"2013","NULL","0_4","prosent",":","sysselsatte_botid","NULL","0118","NULL"
"2013","NULL","5_9","personer",":","sysselsatte_botid","NULL","0118","NULL"
"2013","NULL","5_9","prosent",":","sysselsatte_botid","NULL","0118","NULL"
"2013","NULL","10+","personer",":","sysselsatte_botid","NULL","0118","NULL"
"2013","NULL","10+","prosent",":","sysselsatte_botid","NULL","0118","NULL"
"2013","NULL","0_4","personer","35","sysselsatte_botid","NULL","0119","NULL"
"2013","NULL","0_4","prosent","64.8","sysselsatte_botid","NULL","0119","NULL"
"2013","NULL","5_9","personer","23","sysselsatte_botid","NULL","0119","NULL"
"2013","NULL","5_9","prosent","60.5","sysselsatte_botid","NULL","0119","NULL"
"2013","NULL","10+","personer","70","sysselsatte_botid","NULL","0119","NULL"
"2013","NULL","10+","prosent","66","sysselsatte_botid","NULL","0119","NULL"
"2013","NULL","0_4","personer",":","sysselsatte_botid","NULL","0121","NULL"
"2013","NULL","0_4","prosent",":","sysselsatte_botid","NULL","0121","NULL"
"2013","NULL","5_9","personer",":","sysselsatte_botid","NULL","0121","NULL"
"2013","NULL","5_9","prosent",":","sysselsatte_botid","NULL","0121","NULL"
"2013","NULL","10+","personer",":","sysselsatte_botid","NULL","0121","NULL"
"2013","NULL","10+","prosent",":","sysselsatte_botid","NULL","0121","NULL"
"2013","NULL","0_4","personer","126","sysselsatte_botid","NULL","0122","NULL"
"2013","NULL","0_4","prosent","63.3","sysselsatte_botid","NULL","0122","NULL"
"2013","NULL","5_9","personer","47","sysselsatte_botid","NULL","0122","NULL"
"2013","NULL","5_9","prosent","69.1","sysselsatte_botid","NULL","0122","NULL"
"2013","NULL","10+","personer","74","sysselsatte_botid","NULL","0122","NULL"
"2013","NULL","10+","prosent","78.7","sysselsatte_botid","NULL","0122","NULL"
"2013","NULL","0_4","personer","99","sysselsatte_botid","NULL","0123","NULL"
"2013","NULL","0_4","prosent","58.2","sysselsatte_botid","NULL","0123","NULL"
"2013","NULL","5_9","personer","75","sysselsatte_botid","NULL","0123","NULL"
"2013","NULL","5_9","prosent","75","sysselsatte_botid","NULL","0123","NULL"
"2013","NULL","10+","personer","101","sysselsatte_botid","NULL","0123","NULL"
"2013","NULL","10+","prosent","72.7","sysselsatte_botid","NULL","0123","NULL"
"2013","NULL","0_4","personer","239","sysselsatte_botid","NULL","0124","NULL"
"2013","NULL","0_4","prosent","57.3","sysselsatte_botid","NULL","0124","NULL"
"2013","NULL","5_9","personer","242","sysselsatte_botid","NULL","0124","NULL"
"2013","NULL","5_9","prosent","69.5","sysselsatte_botid","NULL","0124","NULL"
"2013","NULL","10+","personer","677","sysselsatte_botid","NULL","0124","NULL"
"2013","NULL","10+","prosent","59.9","sysselsatte_botid","NULL","0124","NULL"
"2013","NULL","0_4","personer","262","sysselsatte_botid","NULL","0125","NULL"
"2013","NULL","0_4","prosent","62.1","sysselsatte_botid","NULL","0125","NULL"
"2013","NULL","5_9","personer","170","sysselsatte_botid","NULL","0125","NULL"
"2013","NULL","5_9","prosent","69.4","sysselsatte_botid","NULL","0125","NULL"
"2013","NULL","10+","personer","260","sysselsatte_botid","NULL","0125","NULL"
"2013","NULL","10+","prosent","58.8","sysselsatte_botid","NULL","0125","NULL"
"2013","NULL","0_4","personer","74","sysselsatte_botid","NULL","0127","NULL"
"2013","NULL","0_4","prosent","66.1","sysselsatte_botid","NULL","0127","NULL"
"2013","NULL","5_9","personer","65","sysselsatte_botid","NULL","0127","NULL"
"2013","NULL","5_9","prosent","75.6","sysselsatte_botid","NULL","0127","NULL"
"2013","NULL","10+","personer","48","sysselsatte_botid","NULL","0127","NULL"
"2013","NULL","10+","prosent","69.6","sysselsatte_botid","NULL","0127","NULL"
"2013","NULL","0_4","personer","167","sysselsatte_botid","NULL","0128","NULL"
"2013","NULL","0_4","prosent","64.7","sysselsatte_botid","NULL","0128","NULL"
"2013","NULL","5_9","personer","109","sysselsatte_botid","NULL","0128","NULL"
"2013","NULL","5_9","prosent","69.4","sysselsatte_botid","NULL","0128","NULL"
"2013","NULL","10+","personer","148","sysselsatte_botid","NULL","0128","NULL"
"2013","NULL","10+","prosent","55","sysselsatte_botid","NULL","0128","NULL"
"2013","NULL","0_4","personer","127","sysselsatte_botid","NULL","0135","NULL"
"2013","NULL","0_4","prosent","64.1","sysselsatte_botid","NULL","0135","NULL"
"2013","NULL","5_9","personer","96","sysselsatte_botid","NULL","0135","NULL"
"2013","NULL","5_9","prosent","77.4","sysselsatte_botid","NULL","0135","NULL"
"2013","NULL","10+","personer","99","sysselsatte_botid","NULL","0135","NULL"
"2013","NULL","10+","prosent","66.4","sysselsatte_botid","NULL","0135","NULL"
"2013","NULL","0_4","personer","194","sysselsatte_botid","NULL","0136","NULL"
"2013","NULL","0_4","prosent","66.9","sysselsatte_botid","NULL","0136","NULL"
"2013","NULL","5_9","personer","203","sysselsatte_botid","NULL","0136","NULL"
"2013","NULL","5_9","prosent","77.8","sysselsatte_botid","NULL","0136","NULL"
"2013","NULL","10+","personer","375","sysselsatte_botid","NULL","0136","NULL"
"2013","NULL","10+","prosent","62.8","sysselsatte_botid","NULL","0136","NULL"
"2013","NULL","0_4","personer","93","sysselsatte_botid","NULL","0137","NULL"
"2013","NULL","0_4","prosent","58.9","sysselsatte_botid","NULL","0137","NULL"
"2013","NULL","5_9","personer","96","sysselsatte_botid","NULL","0137","NULL"
"2013","NULL","5_9","prosent","78","sysselsatte_botid","NULL","0137","NULL"
"2013","NULL","10+","personer","105","sysselsatte_botid","NULL","0137","NULL"
"2013","NULL","10+","prosent","74.5","sysselsatte_botid","NULL","0137","NULL"
"2013","NULL","0_4","personer","154","sysselsatte_botid","NULL","0138","NULL"
"2013","NULL","0_4","prosent","62.9","sysselsatte_botid","NULL","0138","NULL"
"2013","NULL","5_9","personer","116","sysselsatte_botid","NULL","0138","NULL"
"2013","NULL","5_9","prosent","84.1","sysselsatte_botid","NULL","0138","NULL"
"2013","NULL","10+","personer","125","sysselsatte_botid","NULL","0138","NULL"
"2013","NULL","10+","prosent","73.1","sysselsatte_botid","NULL","0138","NULL"
"2013","NULL","0_4","personer","300","sysselsatte_botid","NULL","0211","NULL"
"2013","NULL","0_4","prosent","59.2","sysselsatte_botid","NULL","0211","NULL"
"2013","NULL","5_9","personer","224","sysselsatte_botid","NULL","0211","NULL"
"2013","NULL","5_9","prosent","72.5","sysselsatte_botid","NULL","0211","NULL"
"2013","NULL","10+","personer","555","sysselsatte_botid","NULL","0211","NULL"
