"cardName";"description";"terminology";"source";"measuredAt";"updatedAt"
"etter-intro";"Her ser du antall deltakere som har avsluttet introduksjonsprogrammet siste kalenderår for valgt område. Avslutningsårsak er delt i to; arbeid og utdanning utover grunnskole, og annet. ";"Introduksjonsloven: Introduksjonsloven regulerer enkeltpersoners rettigheter til introduksjonsprogram og opplæring i norsk og samfunnskunnskap for voksne innvandrere. Formålet med loven er å styrke innvandreres mulighet for å delta i yrkes- og samfunnslivet. Introduksjonsprogrammet: Introduksjonsprogrammet er et opplæringsprogram for flyktninger og familiegjenforente med flyktninger. I hovedsak består programmet av fagene norsk og samfunnskunnskap, samt yrkesrettet språkpraksis eller andre tiltak som forbereder til videre opplæring eller tilknytning til arbeidslivet. Målet er at deltakerne skal delta i arbeids- og samfunnslivet, og hjelpe dem til å bli økonomisk selvstendige. Avsluttet introprogram og status: viser hva de som avsluttet introduksjonsprogrammet gjør etter at de har forlatt programmet.";"IMDi";"20. okt 2014 for 2011-2013, 27. februar for 2014";""
"etter-intro";"Her ser du tidligere deltakere i introduksjonsprogrammet som har avsluttet eller avbrutt programmet, i valgt år og område. Avslutningsårsaker er fordelt på kvalifiseringstiltak i offentlig regi, grunnskole, videregående skole og høyere utdanning, arbeid, sosialstønad, andre trygdeytelser, og annet. ";"Introduksjonsloven: Introduksjonsloven regulerer enkeltpersoners rettigheter til introduksjonsprogram og opplæring i norsk og samfunnskunnskap for voksne innvandrere. Formålet med loven er å styrke innvandreres mulighet for å delta i yrkes- og samfunnslivet. Introduksjonsprogrammet: Introduksjonsprogrammet er et opplæringsprogram for flyktninger og familiegjenforente med flyktninger. I hovedsak består programmet av fagene norsk og samfunnskunnskap, samt yrkesrettet språkpraksis eller andre tiltak som forbereder til videre opplæring eller tilknytning til arbeidslivet. Målet er at deltakerne skal delta i arbeids- og samfunnslivet, og hjelpe dem til å bli økonomisk selvstendige. Avsluttet introprogram og status: viser hva de som avsluttet introduksjonsprogrammet gjør etter at de har forlatt programmet.";"IMDi";"";""
"";"Her ser du tidligere deltakere i introduksjonsprogrammet som har avsluttet eller avbrutt programmet,  i valgt område, og deres status på arbeidsmarkedet etter henholdsvis ett, to, tre, fire eller fem år. Det skilles mellom hvorvidt personen er sysselsatt eller under utdanning, registrert ledig eller på tiltak, eller har en annen eller ukjent status. 

Grafen kan lese på følgende måte: i valgt år var x antall/prosent av dem som avsluttet introduksjonsprogrammet for x antall år siden i arbeid eller utdanning. ";"Introduksjonsloven: Introduksjonsloven regulerer enkeltpersoners rettigheter til introduksjonsprogram og opplæring i norsk og samfunnskunnskap for voksne innvandrere. Formålet med loven er å styrke innvandreres mulighet for å delta i yrkes- og samfunnslivet. Introduksjonsprogrammet: Introduksjonsprogrammet er et opplæringsprogram for flyktninger og familiegjenforente med flyktninger. I hovedsak består programmet av fagene norsk og samfunnskunnskap, samt yrkesrettet språkpraksis eller andre tiltak som forbereder til videre opplæring eller tilknytning til arbeidslivet. Målet er at deltakerne skal delta i arbeids- og samfunnslivet, og hjelpe dem til å bli økonomisk selvstendige. Avsluttet introprogram og status: viser hva de som avsluttet introduksjonsprogrammet gjør etter at de har forlatt programmet.";"SSB";"";""
"sysselsetting-etter-innvandringsgrunn";"Antall og andel sysselsatte innvandrere etter femdelt innvandringsgrunn og kjønn. Andel er antall sysselsatte i gruppa over antall arbeidsføre i gruppa (eks. antall sysselsatte mannlige flyktninger av alle arbeidsføre mannlige flyktninger). Tallene er tilgjengelige for bydeler, kommuner, fylker, og næringsregioner.";"Men sysselsatte menes personer som hadde inntektsgivende arbeid i minst én time i den uken målingen ble foretatt, samt de som har inntektsgivende arbeid men som var midlertidig fraværende pga. sykdom, ferie, lønnet permisjon eller lignende. Personer som er inne til førstegangs militærtjeneste eller personer i sysselsettingstiltak som får lønn fra arbeidsgiver regnes også som sysselsatte.  (For sysselsatte med flere arbeidsforhold, fastsettes ett som det viktigste. )";"SSB";"4. kvartal 2013";""
"sysselsetting-etter-innvandringsgrunn";"Her ser du antall personer sysselsatt etter innvandringskategori og andel personer sysselsatt av alle personer i arbeidsstyrken. Andel personer sysselsatt er sysselsatte personer av alle personer i arbeidsstyrken. Tallene er tilgjenglig for";"Men sysselsatte menes personer som hadde inntektsgivende arbeid i minst én time i den uken målingen ble foretatt, samt de som har inntektsgivende arbeid men som var midlertidig fraværende pga. sykdom, ferie, lønnet permisjon eller lignende. Personer som er inne til førstegangs militærtjeneste eller personer i sysselsettingstiltak som får lønn fra arbeidsgiver regnes også som sysselsatte.  (For sysselsatte med flere arbeidsforhold, fastsettes ett som det viktigste. )";"SSB";"4. kvartal 2013";""
"sysselsetting-alder-innvkat";"Her ser du hvor mange personer  som bor i valgt område, som er sysselsatt. Grafen viser også hvor stor andel av alle i arbeidsstyrken som er sysselsatt. Befolkningen er delt i tre ulike aldersgrupper. Det skilles mellom tall for hele befolkningen, innvandrere og befolkningen unntatt innvandrere. ";"Men sysselsatte menes personer som hadde inntektsgivende arbeid i minst én time i den uken målingen ble foretatt, samt de som har inntektsgivende arbeid men som var midlertidig fraværende pga. sykdom, ferie, lønnet permisjon eller lignende. Personer som er inne til førstegangs militærtjeneste eller personer i sysselsettingstiltak som får lønn fra arbeidsgiver regnes også som sysselsatte.  (For sysselsatte med flere arbeidsforhold, fastsettes ett som det viktigste. ). Arbeidsstyrken er er summen av de sysselsatte og de arbeidsledige, det vil si personer med tilknytning til arbeidsmarkedet.";"SSB";"4. kvartal 2013";""
"sysselsatte-innvandrere-botid";"Her ser du antall og andel personer med innvandrerbakgrunn som er sysselsatt, i valgt område. Tallene er delt inn i tre kategorier av botid i Norge. ";"Men sysselsatte menes personer som hadde inntektsgivende arbeid i minst én time i den uken målingen ble foretatt, samt de som har inntektsgivende arbeid men som var midlertidig fraværende pga. sykdom, ferie, lønnet permisjon eller lignende. Personer som er inne til førstegangs militærtjeneste eller personer i sysselsettingstiltak som får lønn fra arbeidsgiver regnes også som sysselsatte.  (For sysselsatte med flere arbeidsforhold, fastsettes ett som det viktigste. )";"SSB";"4. kvartal 2013";""
"sysselsatte-innvandrere-botid-landbakgrunn";"Her ser du antall og andel innvandrere som er sysselsatt, fordelt på todelt verdensregion, i valgt område. Tallene er delt inn i to kategorier av botid i Norge.";"Men sysselsatte menes personer som hadde inntektsgivende arbeid i minst én time i den uken målingen ble foretatt, samt de som har inntektsgivende arbeid men som var midlertidig fraværende pga. sykdom, ferie, lønnet permisjon eller lignende. Personer som er inne til førstegangs militærtjeneste eller personer i sysselsettingstiltak som får lønn fra arbeidsgiver regnes også som sysselsatte.  (For sysselsatte med flere arbeidsforhold, fastsettes ett som det viktigste. )";"SSB";"4. kvartal 2013";""
"sysselsatte-innvandrere-kjonn-landbakgrunn";"Her ser du antall og andel innvandrere som er sysselsatt, fordelt på todelt verdensregion, i valgt område.";"Men sysselsatte menes personer som hadde inntektsgivende arbeid i minst én time i den uken målingen ble foretatt, samt de som har inntektsgivende arbeid men som var midlertidig fraværende pga. sykdom, ferie, lønnet permisjon eller lignende. Personer som er inne til førstegangs militærtjeneste eller personer i sysselsettingstiltak som får lønn fra arbeidsgiver regnes også som sysselsatte.  (For sysselsatte med flere arbeidsforhold, fastsettes ett som det viktigste. )";"SSB";"4. kvartal 2013";""
"sysselsatte-innvandrere-landbakgrunn";"Her ser du antall og andel innvandrere som er sysselsatt etter landbakgrunn, i valgt område. Tallene er tilgjengelig for åtte  verdensregioner samt for kategorien ""alle"". ";"Men sysselsatte menes personer som hadde inntektsgivende arbeid i minst én time i den uken målingen ble foretatt, samt de som har inntektsgivende arbeid men som var midlertidig fraværende pga. sykdom, ferie, lønnet permisjon eller lignende. Personer som er inne til førstegangs militærtjeneste eller personer i sysselsettingstiltak som får lønn fra arbeidsgiver regnes også som sysselsatte.  (For sysselsatte med flere arbeidsforhold, fastsettes ett som det viktigste. )";"SSB";"4. kvartal 2013";""
"ledige-innvkat-land";"Her ser du antall og andel personer som er ledige og på tiltak, i valgt område. Det skilles mellom tall for hele befolkningen, befolkningen unntatt innvandrere, og innvandrere. For innvandrere er landbakgrunn delt i to kategorier.";"Personer som ikke har jobb med inntekt. For å regnes som arbeidsledig må du ha vært uten arbeid i to uker og være registrert som arbeidssøker hos NAV. ";"SSB";"4. kvartal 2013";""
"ikke-arbeid-innvkat-land";"Her ser du antall og andel personer som ikke er i arbeid eller utdanning, i valgt område. Det skilles mellom tall for hele befolkningen, befolkningen unntatt innvandrere, og innvandrere. For innvandrere er landbakgrunn delt i to kategorier.  ";"";"SSB";"4. kvartal 2013";""
"ikke-arbeid-innvkat-alder";"Her ser du antall og andel personer som ikke er i arbeid eller utdanning, i valgt område. Det skilles mellom tall for hele befolkningen, befolkningen unntatt innvandrere, og innvandrere. Tallene er delt opp i to alderskategorier: 16 til 25 år og 26 til 66 år.
";"";"SSB";"4. kvartal 2013";""
"gjennomsnittsinntekt";"Her ser du median gjennomsnittsinntekt etter skatt per år, i valgt område.  Det skilles mellom tall for innvandrere og befolkningen unntatt innvandrere. For innvandrere er landbakgrunn delt i to kategorier. Studenter er ikke inkludert i tallene.
";"Medianinntekt er det inntektsbeløpet som deler den gruppen som måles i to like store grupper, etter at alle inntektene er sortert stigende (eller synkende). Det vil da være like mange personer med inntekt over som under medianinntekten.";"SSB";"";""
"vedvarende-lavinntekt";"Her ser du andel personer som bor i husholdninger med vedvarende lavinntekt. Det skilles mellom tall for innvandrere og befolkningen unntatt innvandrere. For innvandrere er landbakgrunn delt i to kategorier. ";"Vedvarende lavinntekt:
For å ha vedvarende lavinntekt må husholdningen ha lav inntekt i en treårsperiode. Lavinntekt måles som gjennomsnittlig inntekt for hele husholdningen etter skatt på 60 prosent av (median)gjennomsnittet over en treårsperiode.";"SSB";"";""
"sosialhjelp";"Her ser du antall og andel personer som har mottatt sosialhjelp, i valgt område. Det skilles mellom tall for innvandrere, befolkningen unntatt innvandrere, og norskfødte med innvandrerforeldre. 
Andel gjelder innad i gruppen av sosialhjelpsmottakere, slik at en kan se hvor mange av sosialhjelpsmottakerne som har de ulike egenskapene. For eksempel:antall sosialhjelpsmottakere som er kvinner og tilhører befolkningen ellers delt på totalt antall sosialhjelpsmottakere gir oss andelen kvinnelige sosialhjelpsmottakere i befolkningen ellers.";"Sosialhjelp:
For å bli registrert som mottaker av sosialhjelp må man ha mottatt sosialhjelp en gang i løpet av en bestemt periode.";"SSB";"";""
"tilskudd";"Her ser du utbetalt tilskudd til valgt område, fordelt på tilskuddstype.

Integreringstilskudd:
Kommuner får integreringstilskudd ved bosetting av flyktninger. Tilskuddet utbetaltes per person og over fem år. Integreringstilskuddet skal bidra til at kommunene gjennomfører et planmessig og aktivt bosettings- og integreringsarbeid, med sikte på at de bosatte skal komme i jobb og greie seg selv. Tilskuddet skal dekke kommunenes gjennomsnittlige utgifter ved bosetting og integrering i bosettingsåret og de fire neste årene.

Tilskudd til bosetting av personer med alvorlige funksjonshemminger eller atferdsvansker:
Ordningen skal dekke ekstraordinære kommunale utgifter som følger av bosetting av flyktninger med nedsatt fysisk og/eller psykiske funksjonsevne, samt personer med voldelig adferd og rusproblemer eller alvorlige atferdsproblemer. Det er kommunen som søker om og mottar tilskuddet.

Tilskudd til bosetting av enslig mindreårige flyktninger:
Kommuner som bosetter enslige mindreårige flyktninger, asylsøkere og/eller enslige mindreårige personer med opphold på humanitært grunnlag, mottar et særskilt tilskudd. Dette tilskuddet utbetales i tillegg til det ordinære integreringstilskuddet, til og med året personen fyller 20 år.

Barnehagetilskudd:
Ved bosetting av barn i barnehagealder (0 til 5 år) får kommunene et engangstilskudd til særskilt tilrettelegging for barn av nyankomne flyktninger, for eksempel til tosspråklige assistenter. 

Tilskudd til bosetting av personer over 60 år:
Ved bosetting av personer som har fylt 60 år, får kommunen et ekstra engangstilskudd.

Skoletilskudd:
Frem til 31.12.2013 fikk kommunen et engangs skoletilskudd ved bosetting av barn mellom 6 og 15 år. ";"";"IMDi";"";""
